sequence,v115@RhA8GeF8AeE8JeT/IvhFmgBRiBSoBXlBUnBFrB,v115@RhA8GeF8AeE8Jem/IvhFzgBfnBxiB0kBCoBFrB,v115@RhA8GeF8AeE8Je/EJvhFRgBGiBTjBilBUnBFrB,v115@RhA8GeF8AeE8JemAJvhFfnB6nBTjBxkB0kBFrB,v115@RhA8GeF8AeE8Je/EJvhFalBzgBGjBRnBUnBFrB,v115@RhA8GeF8AeE8Jex/IvhFylBzhBGjB0kB3nBFrB,v115@RhA8GeF8AeE8JeT/IvhFylBGjBRnBXlBUnBFrB,v115@RhA8GeF8AeE8Jei/IvhFRhBGjBzkBfrB0rBlsB,v115@RhA8GeF8AeE8JemAJvhFzhBSoBxkB0kB3nBFrB,v115@RhA8GeF8AeE8Je/EJvhFUgBFhBxiBzmBCoBmqB,v115@RhA8GeF8AeE8Je6HJvhFTjBxkBmmBlkB3lBcrB
OIJZLTS,X,X,X,X,X,X,X,X,X,X,O
OIJZLST,X,X,X,X,X,X,X,X,X,X,O
OIJZSTL,X,X,X,X,X,X,X,X,X,O,X
OIJZSLT,X,X,X,O,X,X,X,X,X,O,X
OISTLJZ,O,X,O,O,O,X,O,O,X,O,X
OISTLZJ,O,X,O,O,O,X,X,O,X,O,X
OISTJLZ,O,X,O,O,O,X,O,O,X,O,X
OISTJZL,O,X,O,O,O,X,X,O,X,O,X
OISTZLJ,O,X,O,O,O,X,X,O,X,O,X
OISTZJL,O,X,O,O,O,X,X,O,X,O,X
OISLTJZ,O,X,O,O,O,X,X,O,X,O,X
OISLTZJ,O,X,O,O,O,X,X,O,X,O,X
OISLJTZ,O,X,X,O,O,X,X,O,X,O,O
OISLJZT,O,X,O,O,X,X,X,O,X,O,O
OISLZTJ,O,X,O,X,X,X,X,O,X,O,X
OISLZJT,O,X,O,O,X,X,X,O,X,O,X
OISJTLZ,X,X,O,O,O,X,O,O,X,O,X
OISJTZL,X,X,O,X,O,X,X,O,X,O,X
OISJLTZ,O,X,X,O,O,X,X,O,X,O,O
OISJLZT,O,X,O,O,X,X,X,O,X,O,O
OISJZTL,O,X,O,X,X,X,X,O,X,O,X
OISJZLT,O,X,O,O,X,X,X,O,X,O,X
OISZTLJ,O,X,O,X,X,X,X,O,X,O,X
OISZTJL,O,X,O,X,X,X,X,O,X,O,X
OISZLTJ,O,X,O,X,X,X,X,O,X,O,X
OISZLJT,O,X,O,O,X,X,X,O,X,O,X
OISZJTL,O,X,O,X,X,X,X,O,X,O,X
OISZJLT,O,X,O,O,X,X,X,O,X,O,X
OIZTLJS,O,X,O,X,X,X,O,X,X,X,X
OIZTLSJ,O,X,O,X,X,X,X,X,X,X,X
OIZTJLS,O,X,O,X,X,X,O,X,X,X,X
OIZTJSL,O,X,O,O,X,X,X,X,X,O,X
OIZTSLJ,O,X,O,O,X,X,X,X,X,O,X
OIZTSJL,O,X,O,O,X,X,X,X,X,O,X
OIZLTJS,O,X,X,X,X,X,X,X,X,X,X
OIZLTSJ,O,X,X,X,X,X,X,X,X,X,X
OIZLJTS,O,X,X,X,X,X,X,X,X,X,O
OIZLJST,O,X,O,X,X,X,X,X,X,X,O
OIZLSTJ,O,X,O,X,X,X,X,X,X,X,X
OIZLSJT,O,X,O,O,X,X,X,X,X,X,X
OIZJTLS,O,X,O,X,X,X,O,X,X,X,X
OIZJTSL,O,X,O,X,X,X,X,X,X,O,X
OIZJLTS,O,X,X,X,X,X,X,X,X,X,O
OIZJLST,O,X,O,X,X,X,X,X,X,X,O
OIZJSTL,O,X,O,X,X,X,X,X,X,O,X
OIZJSLT,O,X,O,O,X,X,X,X,X,O,X
OIZSTLJ,O,X,O,X,X,X,X,X,X,O,X
OIZSTJL,O,X,O,X,X,X,X,X,X,O,X
OIZSLTJ,O,X,O,X,X,X,X,X,X,O,X
OIZSLJT,O,X,O,O,X,X,X,X,X,O,X
OIZSJTL,O,X,O,X,X,X,X,X,X,O,X
OIZSJLT,O,X,O,O,X,X,X,X,X,O,X
OLTIJSZ,O,X,X,O,X,X,O,O,O,O,O
OLTIJZS,O,X,X,X,X,X,O,O,O,O,O
OLTISJZ,O,O,O,O,X,X,O,O,O,O,X
OLTISZJ,O,O,O,O,X,X,X,O,X,O,X
OLTIZJS,O,O,O,X,X,X,O,O,O,O,X
OLTIZSJ,O,O,O,X,X,X,X,X,X,O,X
OLTJISZ,O,X,X,O,X,X,O,O,O,O,O
OLTJIZS,O,X,X,X,X,X,O,O,O,O,O
OLTJSIZ,O,O,O,O,X,X,O,O,O,O,X
OLTJSZI,O,O,O,O,X,X,X,O,X,O,X
OLTJZIS,O,O,O,X,X,X,O,O,O,O,X
OLTJZSI,O,O,O,X,X,X,X,O,X,O,X
OLTSIJZ,O,O,O,O,X,X,O,O,O,O,X
OLTSIZJ,O,O,O,O,X,X,X,O,X,O,X
OLTSJIZ,O,O,O,O,X,X,O,O,O,O,X
OLTSJZI,O,O,O,O,X,X,X,O,X,O,X
OLTSZIJ,O,O,O,O,X,X,X,O,X,O,X
OLTSZJI,O,O,O,O,X,X,X,O,X,O,X
OLTZIJS,O,O,O,X,X,X,O,O,O,O,X
OLTZISJ,O,O,O,X,X,X,X,X,X,O,X
OLTZJIS,O,O,O,X,X,X,O,O,O,O,X
OLTZJSI,O,O,O,X,X,X,X,O,X,O,X
OLTZSIJ,O,O,O,X,X,X,X,O,X,O,X
OLTZSJI,O,O,O,X,X,X,X,O,X,O,X
OLITJSZ,O,X,X,O,X,X,O,O,O,O,O
OLITJZS,O,X,X,X,X,X,O,O,O,O,O
OLITSJZ,O,X,X,O,X,X,O,O,O,O,X
OLITSZJ,O,X,X,O,X,X,X,O,X,O,X
OLITZJS,O,X,X,X,X,X,O,O,O,O,X
OLITZSJ,O,X,X,X,X,X,X,X,X,O,X
OLIJTSZ,O,X,X,X,X,X,O,O,O,O,O
OLIJTZS,O,X,X,X,X,X,O,O,O,O,O
OLIJSTZ,O,X,X,O,X,X,X,O,X,O,O
OLIJSZT,O,X,X,O,X,X,X,O,X,O,O
OLIJZTS,O,X,X,X,X,X,X,X,X,O,O
OLIJZST,O,X,X,X,X,X,X,X,X,O,O
OLISTJZ,O,O,X,O,X,X,X,O,X,O,X
OLISTZJ,O,O,O,O,X,X,X,O,X,O,X
OLISJTZ,O,X,X,O,X,X,X,O,X,O,O
OLISJZT,O,X,O,O,X,X,X,O,X,O,O
OLISZTJ,O,O,O,X,X,X,X,O,X,O,X
OLISZJT,O,O,O,O,X,X,X,O,X,O,X
OLIZTJS,O,X,X,X,X,X,X,X,X,O,X
OLIZTSJ,O,X,X,X,X,X,X,X,X,O,X
OLIZJTS,O,X,X,X,X,X,X,X,X,O,O
OLIZJST,O,O,O,X,X,X,X,X,X,O,O
OLIZSTJ,O,O,O,X,X,X,X,X,X,O,X
OLIZSJT,O,O,O,O,X,X,X,X,X,O,X
OLJTISZ,O,X,X,X,X,X,O,O,X,O,O
OLJTIZS,O,X,X,X,X,X,O,O,X,O,O
OLJTSIZ,O,X,X,X,X,X,O,O,X,O,X
OLJTSZI,O,X,X,X,X,X,X,O,X,O,X
OLJTZIS,O,X,X,X,X,X,O,O,X,O,X
OLJTZSI,O,X,X,X,X,X,X,O,X,O,X
OLJITSZ,O,X,X,X,X,X,O,O,X,O,O
OLJITZS,O,X,X,X,X,X,O,O,X,O,O
OLJISTZ,O,X,X,O,X,X,X,O,X,O,O
OLJISZT,O,X,X,O,X,X,X,O,X,O,O
OLJIZTS,O,X,X,X,X,X,X,X,X,O,O
OLJIZST,O,X,X,X,X,X,X,X,X,O,O
OLJSTIZ,O,X,X,O,X,X,X,O,X,O,X
OLJSTZI,O,X,X,O,X,X,X,O,X,O,X
OLJSITZ,O,X,X,O,X,X,X,O,X,O,O
OLJSIZT,O,X,O,O,X,X,X,O,X,O,O
OLJSZTI,O,X,O,X,X,X,X,O,X,O,X
OLJSZIT,O,X,O,X,X,X,X,O,X,O,X
OLJZTIS,O,X,X,X,X,X,X,O,X,O,X
OLJZTSI,O,X,O,X,X,X,X,O,X,O,X
OLJZITS,O,X,X,X,X,X,X,X,X,O,O
OLJZIST,O,X,O,X,X,X,X,X,X,O,O
OLJZSTI,O,X,O,X,X,X,X,O,X,O,X
OLJZSIT,O,X,O,X,X,X,X,O,X,O,X
OLSTIJZ,O,O,O,O,X,X,X,O,X,O,X
OLSTIZJ,O,O,O,O,X,X,X,O,X,O,X
OLSTJIZ,O,O,O,O,X,X,X,O,X,O,X
OLSTJZI,O,O,O,O,X,X,X,O,X,O,X
OLSTZIJ,O,O,O,O,X,X,X,O,X,O,X
OLSTZJI,O,O,O,O,X,X,X,O,X,O,X
OLSITJZ,O,O,O,O,X,X,X,O,X,O,X
OLSITZJ,O,O,O,O,X,X,X,O,X,O,X
