sequence,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBiiB5oBcsBet?BzqB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBiiB5oBcsBet?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBOnB8nB5oBXr?ByxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGjBXrBCt?BUtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBZnBunBcoBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBmiB5oBzqBis?B0sB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB5oBXrBms?BUsB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFxhBTjB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBxiB0nB6tBXr?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBKnBGjBUoBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThB0iB6oB2sBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB+oBUnBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBRnBctBXrBTs?BGtB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGoBXrBUt?BCtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBxiB0nB6tBzq?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne3CJvhFcoBxlBGmBNsBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFTjBxmB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mB5oBmnBzqB0s?BisB,v115@9gC8GeB8HeC8GeC8BeA8Ne9GJvhFmiB5oB0lBKsBft?BzqB
JSOZITL,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X
JSOZILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOZLIT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZTILSO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JZTILOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JZTISLO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
JZTISOL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JZTIOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X
JZTIOSL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X
JZTLISO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JZTLIOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JZTLSIO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JZTLSOI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JZTLOIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JZTLOSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZTSILO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
JZTSIOL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JZTSLIO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
JZTSLOI,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
JZTSOIL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JZTSOLI,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JZTOILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X
JZTOISL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X
JZTOLIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JZTOLSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JZTOSIL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JZTOSLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JZITLSO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JZITLOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZITSLO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
JZITSOL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JZITOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X
JZITOSL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X
JZILTSO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JZILTOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZILSTO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
JZILSOT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JZILOTS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JZILOST,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZISTLO,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X
JZISTOL,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X
JZISLTO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
JZISLOT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JZISOTL,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X
JZISOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JZIOTSL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X
JZIOLTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JZIOLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZIOSTL,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X
JZIOSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JZLTIOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JZLTSIO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JZLTSOI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JZLTOIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JZLTOSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZLITSO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JZLITOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZLISTO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
JZLISOT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JZLIOTS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JZLIOST,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZLSTIO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JZLSTOI,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JZLSITO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
JZLSIOT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JZLSOTI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JZLSOIT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JZLOTIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,O,X
JZLOTSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JZLOITS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JZLOIST,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZLOSTI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZLOSIT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZSTILO,O,O,X,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X
JZSTIOL,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X
JZSTLIO,O,O,X,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X
JZSTLOI,O,O,X,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X
JZSTOIL,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
JZSTOLI,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
JZSITLO,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X
JZSITOL,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X
JZSILTO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
JZSILOT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JZSIOTL,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X
JZSIOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JZSLTOI,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JZSLITO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
JZSLIOT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JZSLOTI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JZSLOIT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JZSOTIL,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,O,X
JZSOTLI,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,O,X
JZSOITL,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,O,X
JZSOILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZSOLIT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZOTILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X
JZOTISL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X
JZOTLIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JZOTLSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JZOTSIL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JZOTSLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JZOITLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JZOITSL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X
JZOILTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JZOILST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOISTL,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,O,X
JZOISLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JZOLTSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JZOLITS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JZOLIST,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZOLSTI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZOLSIT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZOSTIL,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,O,X
JZOSTLI,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,O,X
JZOSITL,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,O,X
JZOSILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZOSLIT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOTILSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JOTILZS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JOTISLZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOTISZL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JOTIZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JOTIZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JOTLISZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JOTLIZS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JOTLSIZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JOTLSZI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTLZIS,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X
JOTLZSI,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JOTSILZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOTSIZL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JOTSLIZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOTSLZI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOTSZIL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JOTSZLI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JOTZILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X
JOTZISL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JOTZLIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JOTZLSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JOTZSIL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JOTZSLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JOITLSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOITLZS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOITSLZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOITSZL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JOITZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JOITZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JOILTSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOILTZS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOILSTZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOILSZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILZTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOILZST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JOISTLZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOISTZL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JOISLTZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOISLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZTL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JOISZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JOIZTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JOIZLTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JOIZLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOIZSTL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JOIZSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTISZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JOLTIZS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JOLTSIZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JOLTSZI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLTZIS,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X
JOLTZSI,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JOLITSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JOLITZS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JOLISTZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JOLISZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLIZST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JOLSTIZ,O,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
JOLSTZI,O,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JOLSITZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JOLSIZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZTI,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLSZIT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLZTIS,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X
JOLZTSI,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JOLZITS,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JOLZIST,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JOLZSTI,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOLZSIT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JOSTILZ,O,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JOSTIZL,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X
JOSTLIZ,O,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JOSTLZI,O,O,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X
JOSTZIL,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X
JOSTZLI,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X
JOSITLZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOSITZL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JOSILTZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOSILZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZTL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JOSIZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLTIZ,O,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JOSLTZI,O,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JOSLITZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JOSLIZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZTI,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSLZIT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSZTIL,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X
JOSZTLI,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X
JOSZITL,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X
JOSZILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLTI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSZLIT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZTILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X
JOZTISL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JOZTLIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JOZTLSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JOZTSIL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JOZTSLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JOZITLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JOZITSL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
JOZILTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JOZILST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOZISTL,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X
JOZISLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLTIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JOZLTSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JOZLITS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
JOZLIST,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZLSTI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOZLSIT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZSTIL,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X
JOZSTLI,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X
JOZSITL,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X
JOZSILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZSLTI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZSLIT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
STILJZO,O,O,O,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,O
STILJOZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,O
STILZJO,X,X,O,O,O,X,O,X,X,O,O,O,X,O,O,X,X,X,O
STILZOJ,X,X,O,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,O
STILOJZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,O
STILOZJ,X,X,O,O,O,X,X,X,O,O,O,O,O,O,X,X,X,X,O
STIJLZO,O,O,O,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,O
STIJLOZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,O
STIJZLO,O,O,X,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X
STIJZOL,O,O,X,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X
STIJOLZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
STIJOZL,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
STIZLJO,X,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,O
STIZLOJ,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O
STIZJLO,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
STIZJOL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
STIZOLJ,X,X,O,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
STIZOJL,X,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
STIOLJZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
STIOLZJ,X,X,O,O,O,X,X,X,O,O,O,O,O,O,X,X,X,X,X
STIOJLZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
STIOJZL,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
STIOZLJ,X,X,O,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
STIOZJL,X,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
STLIJZO,O,O,O,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,O
STLIJOZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,O
STLIZJO,X,X,O,O,O,X,O,X,X,O,O,O,X,O,O,X,X,X,O
STLIZOJ,X,X,O,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,O
STLIOJZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,O
STLIOZJ,X,X,O,O,O,X,X,X,O,O,O,O,O,O,X,X,X,X,O
STLJIZO,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,O
STLJIOZ,X,O,O,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,O
STLJZIO,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,O
STLJZOI,O,O,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O
STLJOIZ,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,O
STLJOZI,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O
STLZIJO,X,X,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,X,O
STLZIOJ,X,X,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O
STLZJIO,O,O,O,O,O,X,O,O,O,X,X,O,X,O,O,X,X,X,O
STLZJOI,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,X,X,X,O
STLZOIJ,X,X,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,X,O
