sequence,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBiiB5oBcsBet?BzqB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBiiB5oBcsBet?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBOnB8nB5oBXr?ByxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGjBXrBCt?BUtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBZnBunBcoBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBmiB5oBzqBis?B0sB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB5oBXrBms?BUsB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFxhBTjB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBxiB0nB6tBXr?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBKnBGjBUoBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThB0iB6oB2sBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB+oBUnBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBRnBctBXrBTs?BGtB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGoBXrBUt?BCtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBxiB0nB6tBzq?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne3CJvhFcoBxlBGmBNsBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFTjBxmB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mB5oBmnBzqB0s?BisB,v115@9gC8GeB8HeC8GeC8BeA8Ne9GJvhFmiB5oB0lBKsBft?BzqB
TISOJZL,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TISOZLJ,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
TISOZJL,X,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
TIZLJSO,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O
TIZLJOS,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZLSJO,X,X,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,O
TIZLSOJ,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O
TIZLOJS,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIZJLSO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
TIZJLOS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
TIZJSOL,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
TIZJOLS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TIZJOSL,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X
TIZSLJO,X,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,O
TIZSLOJ,X,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,O
TIZSJLO,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TIZSJOL,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TIZSOLJ,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TIZOJLS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TIZOJSL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
TIZOSLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIZOSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOLJSZ,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TIOLSZJ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TIOLZJS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOLZSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TIOJLSZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIOJZLS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIOJZSL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TIOSLJZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOSJLZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOSZLJ,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOSZJL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOZLJS,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
TIOZLSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TIOZJLS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TIOZJSL,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
TIOZSLJ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOZSJL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TLIJSZO,O,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,O
TLIJSOZ,X,X,X,O,X,X,X,X,O,O,O,X,X,X,O,X,O,X,O
TLIJZSO,O,O,O,O,O,X,X,O,O,O,O,O,X,X,O,X,X,X,O
TLIJZOS,O,O,O,X,O,X,X,O,O,O,O,O,X,X,O,X,O,X,X
TLIJOSZ,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X
TLIJOZS,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X
TLISJZO,O,X,O,O,O,X,X,X,X,O,O,X,X,X,O,X,X,X,O
TLISJOZ,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O
TLISZJO,X,X,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,O
TLISZOJ,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O
TLISOJZ,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O
TLISOZJ,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O
TLIZJSO,X,X,O,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O
TLIZJOS,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TLIZSJO,X,X,O,O,O,X,X,X,X,O,X,O,X,O,O,O,X,X,O
TLIZSOJ,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,O
TLIZOJS,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TLIOJSZ,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
TLIOJZS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
TLIOSJZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O
TLIOSZJ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O
TLIOZJS,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
