sequence,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jex6IvhF8g?B6iBTeBmfBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Je2/IvhFRb?B0dB6jB3gBznBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8JeT6IvhFOg?B8gBxdBCjBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jei6IvhFzb?BxdBUgBWoBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8JeT6IvhFib?BxdB3gBunBcoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jex6IvhF8g?B6iBmfBTjBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Je2/IvhFzb?BxdBCjBUgBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jei6IvhFTe?BRgBWoB3gB0nBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Je2/IvhFxd?B3gBqnBTjBFlB8qB
TIZOSLJ,O,X,O,O,O,X,X,X,X
TIZOSJL,O,X,O,X,O,X,X,X,X
TIOLJSZ,X,O,X,O,X,X,X,O,X
TIOLJZS,X,O,X,O,X,O,X,O,X
TIOLSJZ,X,O,X,O,O,X,X,X,X
TIOLSZJ,X,O,X,O,O,X,X,X,X
TIOLZJS,X,O,O,O,X,O,X,X,X
TIOLZSJ,X,O,X,O,X,X,X,X,X
TIOJLSZ,X,O,X,O,X,X,X,O,X
TIOJLZS,X,O,X,O,X,O,X,O,X
TIOJSLZ,X,O,X,O,O,X,O,O,X
TIOJSZL,X,O,X,X,X,X,X,X,X
TIOJZLS,X,O,O,O,X,O,X,O,X
TIOJZSL,X,O,O,X,X,O,X,X,X
TIOSLJZ,X,O,O,O,O,X,O,X,X
TIOSLZJ,X,O,O,O,O,X,O,X,X
TIOSJLZ,X,O,X,X,O,X,O,X,X
TIOSJZL,X,O,O,X,X,X,X,X,X
TIOSZLJ,X,O,O,X,O,X,X,X,X
TIOSZJL,X,O,O,X,O,X,X,X,X
TIOZLJS,X,O,O,O,X,O,X,X,X
TIOZLSJ,X,O,X,O,O,X,X,X,X
TIOZJLS,X,O,O,O,O,O,X,X,X
TIOZJSL,X,O,O,X,O,O,X,X,X
TIOZSLJ,X,O,O,O,O,X,X,X,X
TIOZSJL,X,O,O,X,O,X,X,X,X
TLIJSZO,O,O,X,O,X,X,X,X,X
TLIJSOZ,O,O,X,O,X,X,X,O,X
TLIJZSO,O,O,X,O,X,O,X,X,X
TLIJZOS,O,O,X,O,X,O,X,O,X
TLIJOSZ,X,X,X,O,X,X,X,O,X
TLIJOZS,X,O,X,O,X,O,X,O,X
TLISJZO,O,O,X,X,X,X,X,X,X
TLISJOZ,O,O,X,X,O,X,X,O,X
TLISZJO,O,O,X,X,X,X,X,X,X
TLISZOJ,O,O,X,O,O,X,X,X,X
TLISOJZ,O,O,X,O,O,X,X,X,X
TLISOZJ,O,O,X,O,O,X,X,X,X
TLIZJSO,O,O,X,O,X,O,X,X,X
TLIZJOS,O,O,O,O,X,O,X,O,X
TLIZSJO,O,O,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,O,X,X,X,X,X
TLIZOJS,X,X,O,O,X,O,X,X,X
TLIZOSJ,O,X,X,O,X,X,X,X,X
TLIOJSZ,X,X,X,O,X,X,X,O,X
TLIOJZS,X,X,X,O,X,O,X,O,X
TLIOSJZ,X,X,X,O,O,X,X,X,X
TLIOSZJ,X,X,X,O,O,X,X,X,X
TLIOZJS,X,X,O,O,X,O,X,X,X
TLIOZSJ,X,X,X,O,X,X,X,X,X
TLJISZO,O,O,X,O,X,X,X,X,X
TLJISOZ,O,O,X,O,X,X,X,O,X
TLJIZSO,O,O,X,O,X,O,X,X,X
TLJIZOS,O,O,X,O,X,O,X,O,X
TLJIOSZ,X,O,X,O,X,X,X,O,X
TLJIOZS,X,O,X,O,X,O,X,O,X
TLJSIZO,O,O,X,O,X,X,O,X,X
TLJSIOZ,O,O,X,O,X,X,O,O,X
TLJSZIO,O,O,X,O,X,O,O,X,X
TLJSZOI,O,O,X,O,X,O,O,X,X
TLJSOIZ,O,O,X,O,X,X,O,O,O
TLJSOZI,O,O,X,X,X,O,O,X,O
TLJZISO,O,O,X,O,X,O,X,X,X
TLJZIOS,O,O,X,O,X,O,X,O,X
TLJZSIO,O,O,X,O,X,O,X,X,X
TLJZSOI,O,O,X,O,X,O,X,X,X
TLJZOIS,O,O,X,O,X,O,X,O,X
TLJZOSI,O,O,X,O,X,O,X,X,X
TLJOISZ,X,O,X,O,X,X,X,O,O
TLJOIZS,X,O,X,O,X,O,X,O,X
TLJOSIZ,O,O,X,O,X,X,O,O,O
TLJOSZI,O,O,X,X,X,O,O,X,O
TLJOZIS,O,O,X,O,X,O,X,O,X
TLJOZSI,O,O,X,O,X,O,X,X,X
TLSIJZO,O,O,O,X,X,X,O,X,X
TLSIJOZ,O,O,O,X,O,X,O,O,X
TLSIZJO,O,O,O,X,O,X,O,X,X
TLSIZOJ,O,O,O,O,O,X,O,X,X
TLSIOJZ,O,O,O,O,O,X,O,X,X
TLSIOZJ,O,O,O,O,O,X,O,X,X
TLSJIZO,O,O,O,O,X,X,O,X,X
TLSJIOZ,O,O,O,O,O,X,O,O,X
TLSJZIO,O,O,O,O,O,O,O,X,X
TLSJZOI,O,O,O,O,O,O,O,X,X
TLSJOIZ,O,O,O,O,O,X,O,O,O
TLSJOZI,O,O,O,X,O,O,O,X,O
TLSZIJO,O,O,O,X,O,X,O,X,X
TLSZIOJ,O,O,O,O,O,X,O,X,X
TLSZJIO,O,O,O,O,O,O,O,X,X
TLSZJOI,O,O,O,O,O,O,O,X,X
TLSZOIJ,O,O,O,O,O,X,O,X,X
TLSZOJI,O,O,O,O,O,O,O,X,X
TLSOIJZ,O,O,O,O,O,X,O,X,O
TLSOIZJ,O,O,O,O,O,X,O,X,X
TLSOJIZ,O,O,O,O,O,X,O,X,O
TLSOJZI,O,O,O,X,O,O,O,X,O
TLSOZIJ,O,O,O,X,O,X,O,X,X
TLSOZJI,O,O,O,X,O,O,O,X,X
TLZIJSO,O,O,X,O,X,O,X,X,X
TLZIJOS,O,O,O,O,X,O,X,O,X
TLZISJO,O,O,X,X,O,X,X,X,X
TLZISOJ,O,O,X,O,O,X,X,X,X
TLZIOJS,X,X,O,O,X,O,X,X,X
TLZIOSJ,O,X,X,O,O,X,X,X,X
TLZJISO,O,O,X,O,O,O,X,X,X
TLZJIOS,O,O,O,O,O,O,X,O,X
TLZJSIO,O,O,O,O,O,O,X,X,X
TLZJSOI,O,O,O,O,O,O,X,X,X
TLZJOIS,O,O,O,O,O,O,X,O,X
TLZJOSI,O,O,O,O,O,O,X,X,X
TLZSIJO,O,O,O,X,O,X,X,X,X
TLZSIOJ,O,O,O,O,O,X,X,X,X
TLZSJIO,O,O,O,O,O,O,X,X,X
TLZSJOI,O,O,O,O,O,O,X,X,X
TLZSOIJ,O,O,O,O,O,X,X,X,X
TLZSOJI,O,O,O,O,O,O,X,X,X
TLZOIJS,X,X,O,O,X,O,X,X,X
TLZOISJ,O,X,X,O,O,X,X,X,X
TLZOJIS,O,O,O,O,O,O,X,X,X
TLZOJSI,O,O,O,O,O,O,X,X,X
TLZOSIJ,O,O,O,O,O,X,X,X,X
TLZOSJI,O,O,O,O,O,O,X,X,X
TLOIJSZ,X,O,X,O,X,X,X,O,O
TLOIJZS,X,O,X,O,X,O,X,O,X
TLOISJZ,X,O,X,O,O,X,X,X,O
TLOISZJ,X,O,X,O,O,X,X,X,X
TLOIZJS,X,O,O,O,X,O,X,X,X
TLOIZSJ,X,O,X,O,X,X,X,X,X
TLOJISZ,X,O,X,O,X,X,X,O,O
TLOJIZS,X,O,X,O,X,O,X,O,X
TLOJSIZ,O,O,X,O,X,X,O,O,O
TLOJSZI,O,O,X,X,X,O,O,X,O
TLOJZIS,O,O,X,O,X,O,X,O,X
TLOJZSI,O,O,X,O,X,O,X,X,X
TLOSIJZ,O,O,O,O,O,X,O,X,O
TLOSIZJ,O,O,O,O,O,X,O,X,X
TLOSJIZ,O,O,O,O,O,X,O,X,O
TLOSJZI,O,O,O,X,O,O,O,X,O
TLOSZIJ,O,O,O,X,O,X,O,X,X
TLOSZJI,O,O,O,X,O,O,O,X,X
TLOZIJS,X,O,O,O,X,O,X,X,X
TLOZISJ,O,O,X,O,O,X,X,X,X
TLOZJIS,O,O,O,O,O,O,X,X,X
TLOZJSI,O,O,O,O,O,O,X,X,X
TLOZSIJ,O,O,O,O,O,X,X,X,X
TLOZSJI,O,O,O,O,O,O,X,X,X
TJILSZO,O,O,X,O,X,X,X,X,X
TJILSOZ,O,O,X,O,X,X,X,O,X
TJILZSO,O,O,X,O,X,O,X,X,X
TJILZOS,O,O,X,O,X,O,X,O,X
TJILOSZ,X,O,X,O,X,X,X,O,X
TJILOZS,X,O,X,O,X,O,X,O,X
TJISLZO,O,O,X,O,X,X,O,X,X
TJISLOZ,O,O,X,O,O,X,O,O,X
TJISZLO,O,O,X,O,X,X,X,X,X
TJISZOL,O,O,X,O,X,X,X,X,X
TJISOLZ,O,O,X,O,O,X,O,O,X
TJISOZL,O,O,X,X,X,X,X,X,X
TJIZLSO,O,O,X,O,X,O,X,X,X
TJIZLOS,O,O,O,O,X,O,X,O,X
TJIZSLO,O,O,X,O,X,O,X,X,X
TJIZSOL,O,O,O,O,X,O,X,X,X
TJIZOLS,O,O,O,O,X,O,X,O,X
TJIZOSL,O,O,O,O,X,O,X,X,X
TJIOLSZ,X,O,X,O,X,X,X,O,X
TJIOLZS,X,O,X,O,X,O,X,O,X
TJIOSLZ,X,O,X,O,O,X,O,O,X
TJIOSZL,X,O,X,X,X,X,X,X,X
TJIOZLS,X,O,O,O,X,O,X,O,X
TJIOZSL,X,O,O,O,X,O,X,X,X
TJLISZO,O,O,X,O,X,X,X,X,X
TJLISOZ,O,O,X,O,X,X,X,O,X
TJLIZSO,O,O,X,O,X,O,X,X,X
TJLIZOS,O,O,X,O,X,O,X,O,X
TJLIOSZ,X,O,X,O,X,X,X,O,X
TJLIOZS,X,O,X,O,X,O,X,O,X
TJLSIZO,O,O,X,O,X,X,O,X,X
TJLSIOZ,O,O,X,O,X,X,O,O,X
TJLSZIO,O,O,X,O,X,O,O,X,X
TJLSZOI,O,O,X,O,X,O,O,X,X
TJLSOIZ,O,O,X,O,X,X,O,O,O
TJLSOZI,O,O,X,X,X,O,O,X,O
TJLZISO,O,O,X,O,X,O,X,X,X
TJLZIOS,O,O,X,O,X,O,X,O,X
TJLZSIO,O,O,X,O,X,O,X,X,X
TJLZSOI,O,O,X,O,X,O,X,X,X
TJLZOIS,O,O,X,O,X,O,X,O,X
TJLZOSI,O,O,X,O,X,O,X,X,X
TJLOISZ,X,O,X,O,X,X,X,O,O
TJLOIZS,X,O,X,O,X,O,X,O,X
TJLOSIZ,O,O,X,O,X,X,O,O,O
TJLOSZI,O,O,X,X,X,O,O,X,O
TJLOZIS,O,O,X,O,X,O,X,O,X
TJLOZSI,O,O,X,O,X,O,X,X,X
TJSILZO,O,O,X,O,X,X,O,X,X
TJSILOZ,O,O,X,O,O,X,O,O,X
TJSIZLO,O,O,O,O,X,X,X,X,X
TJSIZOL,O,O,O,O,X,X,X,X,X
TJSIOLZ,O,O,X,O,O,X,O,O,X
TJSIOZL,O,O,O,X,X,X,X,X,X
TJSLIZO,O,O,O,O,X,X,O,X,X
TJSLIOZ,O,O,O,O,O,X,O,O,X
TJSLZIO,O,O,O,O,O,O,O,X,X
TJSLZOI,O,O,O,O,O,O,O,X,X
TJSLOIZ,O,O,O,O,O,X,O,O,O
TJSLOZI,O,O,O,X,O,O,O,X,O
TJSZILO,O,O,O,O,O,O,X,X,X
TJSZIOL,O,O,O,O,O,O,X,X,X
TJSZLIO,O,O,O,O,O,O,O,X,X
TJSZLOI,O,O,O,O,O,O,O,X,X
TJSZOIL,O,O,O,O,O,O,X,X,X
TJSZOLI,O,O,O,O,O,O,O,X,X
TJSOILZ,O,O,X,O,O,X,O,O,X
TJSOIZL,O,O,O,X,X,X,X,X,X
TJSOLIZ,O,O,O,O,O,X,O,O,X
TJSOLZI,O,O,O,X,O,O,O,X,X
TJSOZIL,O,O,O,X,O,O,X,X,X
TJSOZLI,O,O,O,X,O,O,O,X,X
TJZILSO,O,O,X,O,O,O,X,X,X
TJZILOS,O,O,O,O,O,O,X,O,X
TJZISLO,O,O,O,O,O,O,X,X,X
TJZISOL,O,O,O,O,O,O,X,X,X
TJZIOLS,O,O,O,O,O,O,X,O,X
TJZIOSL,O,O,O,O,O,O,X,X,X
TJZLISO,O,O,X,O,O,O,X,X,X
TJZLIOS,O,O,O,O,O,O,X,O,X
TJZLSIO,O,O,O,O,O,O,X,X,X
TJZLSOI,O,O,O,O,O,O,X,X,X
TJZLOIS,O,O,O,O,O,O,X,O,X
TJZLOSI,O,O,O,O,O,O,X,X,X
TJZSILO,O,O,O,O,O,O,X,X,X
TJZSIOL,O,O,O,O,O,O,X,X,X
TJZSLIO,O,O,O,O,O,O,O,X,X
TJZSLOI,O,O,O,O,O,O,O,X,X
TJZSOIL,O,O,O,O,O,O,X,X,X
TJZSOLI,O,O,O,O,O,O,O,X,X
TJZOILS,O,O,O,O,O,O,X,O,X
TJZOISL,O,O,O,O,O,O,X,X,X
TJZOLIS,O,O,O,O,O,O,X,O,X
TJZOLSI,O,O,O,O,O,O,X,X,X
TJZOSIL,O,O,O,O,O,O,X,X,X
TJZOSLI,O,O,O,O,O,O,O,X,X
TJOILSZ,X,O,X,O,X,X,X,O,X
TJOILZS,X,O,X,O,X,O,X,O,X
TJOISLZ,X,O,X,O,O,X,O,O,X
TJOISZL,X,O,X,X,X,X,X,X,X
TJOIZLS,X,O,O,O,X,O,X,O,X
TJOIZSL,X,O,O,O,X,O,X,X,X
TJOLISZ,X,O,X,O,X,X,X,O,X
TJOLIZS,X,O,X,O,X,O,X,O,X
TJOLSIZ,O,O,X,O,X,X,O,O,X
TJOLSZI,O,O,X,X,X,O,O,X,X
TJOLZIS,O,O,X,O,X,O,X,O,X
TJOLZSI,O,O,X,O,X,O,X,X,X
TJOSILZ,O,O,X,O,O,X,O,O,X
TJOSIZL,O,O,O,X,X,X,X,X,X
TJOSLIZ,O,O,O,O,O,X,O,O,X
TJOSLZI,O,O,O,X,O,O,O,X,X
TJOSZIL,O,O,O,X,O,O,X,X,X
TJOSZLI,O,O,O,X,O,O,O,X,X
TJOZILS,O,O,O,O,O,O,X,O,X
TJOZISL,O,O,O,O,O,O,X,X,X
TJOZLIS,O,O,O,O,O,O,X,O,X
TJOZLSI,O,O,O,O,O,O,X,X,X
TJOZSIL,O,O,O,O,O,O,X,X,X
TJOZSLI,O,O,O,O,O,O,O,X,X
TSILJZO,O,O,O,X,X,X,O,X,X
TSILJOZ,O,O,O,X,O,X,O,O,X
TSILZJO,O,O,O,X,O,X,O,X,X
TSILZOJ,O,O,O,O,O,X,O,X,X
TSILOJZ,O,O,O,O,O,X,O,X,X
TSILOZJ,O,O,O,O,O,X,O,X,X
TSIJLZO,O,O,X,X,X,X,O,X,X
TSIJLOZ,O,O,X,X,O,X,O,O,X
TSIJZLO,O,O,O,X,X,X,X,X,X
TSIJZOL,O,O,O,X,X,X,X,X,X
TSIJOLZ,O,O,X,X,O,X,O,O,X
TSIJOZL,O,O,O,X,X,X,X,X,X
TSIZLJO,O,O,O,X,O,X,X,X,X
TSIZLOJ,O,O,O,O,O,X,X,X,X
TSIZJLO,O,O,O,X,O,X,X,X,X
TSIZJOL,O,O,O,X,O,X,X,X,X
TSIZOLJ,O,O,O,O,O,X,X,X,X
TSIZOJL,O,O,O,X,O,X,X,X,X
TSIOLJZ,O,O,O,O,O,X,O,X,X
TSIOLZJ,O,O,O,O,O,X,O,X,X
TSIOJLZ,O,O,X,X,O,X,O,X,X
TSIOJZL,O,O,O,X,X,X,X,X,X
TSIOZLJ,O,O,O,X,O,X,X,X,X
TSIOZJL,O,O,O,X,O,X,X,X,X
TSLIJZO,O,O,O,X,X,X,O,X,X
TSLIJOZ,O,O,O,X,O,X,O,O,X
TSLIZJO,O,O,O,X,O,X,O,X,X
TSLIZOJ,O,O,O,O,O,X,O,X,X
TSLIOJZ,O,O,O,O,O,X,O,X,X
TSLIOZJ,O,O,O,O,O,X,O,X,X
TSLJIZO,O,O,O,O,X,X,O,X,X
TSLJIOZ,O,O,O,O,O,X,O,O,X
TSLJZIO,O,O,O,O,O,O,O,X,X
TSLJZOI,O,O,O,O,O,O,O,X,X
TSLJOIZ,O,O,O,O,O,X,O,O,O
TSLJOZI,O,O,O,X,O,O,O,X,O
TSLZIJO,O,O,O,X,O,X,O,X,X
TSLZIOJ,O,O,O,O,O,X,O,X,X
TSLZJIO,O,O,O,O,O,O,O,X,X
TSLZJOI,O,O,O,O,O,O,O,X,X
TSLZOIJ,O,O,O,O,O,X,O,X,X
TSLZOJI,O,O,O,O,O,O,O,X,X
TSLOIJZ,O,O,O,O,O,X,O,X,O
TSLOIZJ,O,O,O,O,O,X,O,X,X
TSLOJIZ,O,O,O,O,O,X,O,X,O
TSLOJZI,O,O,O,X,O,O,O,X,O
TSLOZIJ,O,O,O,X,O,X,O,X,X
TSLOZJI,O,O,O,X,O,O,O,X,X
TSJILZO,O,O,X,O,X,X,O,X,X
TSJILOZ,O,O,X,O,O,X,O,O,X
TSJIZLO,O,O,O,O,X,X,X,X,X
TSJIZOL,O,O,O,O,X,X,X,X,X
TSJIOLZ,O,O,X,O,O,X,O,O,X
TSJIOZL,O,O,O,X,X,X,X,X,X
TSJLIZO,O,O,O,O,X,X,O,X,X
TSJLIOZ,O,O,O,O,O,X,O,O,X
TSJLZIO,O,O,O,O,O,O,O,X,X
TSJLZOI,O,O,O,O,O,O,O,X,X
TSJLOIZ,O,O,O,O,O,X,O,O,O
TSJLOZI,O,O,O,X,O,O,O,X,O
TSJZILO,O,O,O,O,O,O,X,X,X
TSJZIOL,O,O,O,O,O,O,X,X,X
TSJZLIO,O,O,O,O,O,O,O,X,X
TSJZLOI,O,O,O,O,O,O,O,X,X
TSJZOIL,O,O,O,O,O,O,X,X,X
TSJZOLI,O,O,O,O,O,O,O,X,X
TSJOILZ,O,O,X,O,O,X,O,O,X
TSJOIZL,O,O,O,X,X,X,X,X,X
TSJOLIZ,O,O,O,O,O,X,O,O,X
TSJOLZI,O,O,O,X,O,O,O,X,X
TSJOZIL,O,O,O,X,O,O,X,X,X
TSJOZLI,O,O,O,X,O,O,O,X,X
TSZILJO,O,O,O,X,O,X,X,X,X
TSZILOJ,O,O,O,O,O,X,X,X,X
TSZIJLO,O,O,O,X,O,X,X,X,X
TSZIJOL,O,O,O,X,O,X,X,X,X
TSZIOLJ,O,O,O,O,O,X,X,X,X
TSZIOJL,O,O,O,X,O,X,X,X,X
TSZLIJO,O,O,O,X,O,X,O,X,X
TSZLIOJ,O,O,O,O,O,X,O,X,X
TSZLJIO,O,O,O,O,O,O,O,X,X
TSZLJOI,O,O,O,O,O,O,O,X,X
TSZLOIJ,O,O,O,O,O,X,O,X,X
TSZLOJI,O,O,O,O,O,O,O,X,X
TSZJILO,O,O,O,O,O,O,X,X,X
TSZJIOL,O,O,O,O,O,O,X,X,X
TSZJLIO,O,O,O,O,O,O,O,X,X
TSZJLOI,O,O,O,O,O,O,O,X,X
TSZJOIL,O,O,O,O,O,O,X,X,X
TSZJOLI,O,O,O,O,O,O,O,X,X
TSZOILJ,O,O,O,O,O,X,X,X,X
TSZOIJL,O,O,O,X,O,X,X,X,X
TSZOLIJ,O,O,O,O,O,X,O,X,X
TSZOLJI,O,O,O,O,O,O,O,X,X
TSZOJIL,O,O,O,O,O,O,X,X,X
TSZOJLI,O,O,O,O,O,O,O,X,X
TSOILJZ,O,O,O,O,O,X,O,X,X
TSOILZJ,O,O,O,O,O,X,O,X,X
TSOIJLZ,O,O,X,X,O,X,O,X,X
TSOIJZL,O,O,O,X,X,X,X,X,X
TSOIZLJ,O,O,O,X,O,X,X,X,X
TSOIZJL,O,O,O,X,O,X,X,X,X
TSOLIJZ,O,O,O,O,O,X,O,X,X
TSOLIZJ,O,O,O,O,O,X,O,X,X
TSOLJIZ,O,O,O,O,O,X,O,X,X
TSOLJZI,O,O,O,X,O,O,O,X,X
TSOLZIJ,O,O,O,X,O,X,O,X,X
TSOLZJI,O,O,O,X,O,O,O,X,X
TSOJILZ,O,O,X,O,O,X,O,X,X
TSOJIZL,O,O,O,X,X,X,X,X,X
TSOJLIZ,O,O,O,O,O,X,O,X,X
TSOJLZI,O,O,O,X,O,O,O,X,X
TSOJZIL,O,O,O,X,O,O,X,X,X
TSOJZLI,O,O,O,X,O,O,O,X,X
TSOZILJ,O,O,O,X,O,X,X,X,X
TSOZIJL,O,O,O,X,O,X,X,X,X
TSOZLIJ,O,O,O,X,O,X,O,X,X
TSOZLJI,O,O,O,X,O,O,O,X,X
TSOZJIL,O,O,O,X,O,O,X,X,X
TSOZJLI,O,O,O,X,O,O,O,X,X
TZILJSO,O,O,X,O,X,O,X,X,X
TZILJOS,O,O,O,O,X,O,X,O,X
TZILSJO,O,O,X,X,O,X,X,X,X
TZILSOJ,O,O,X,O,O,X,X,X,X
TZILOJS,X,X,O,O,X,O,X,X,X
TZILOSJ,O,X,X,O,O,X,X,X,X
TZIJLSO,O,O,X,O,O,O,X,X,X
TZIJLOS,O,O,O,O,O,O,X,O,X
TZIJSLO,O,O,O,O,O,O,X,X,X
TZIJSOL,O,O,O,O,O,O,X,X,X
TZIJOLS,O,O,O,O,O,O,X,O,X
TZIJOSL,O,X,O,O,O,O,X,X,X
TZISLJO,O,O,O,X,O,X,X,X,X
