sequence,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeqAJvhFTcBmdB5jB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFWiBxdB6oBF?mBXnB8sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFCdBejB5jBX?iBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhFchBidB5jBz?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhF1hB5jB3iBT?mB8sBisB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeC8IvhFxdBlhBziB+?oBUmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeG8IvhFyiB5jBzgB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFciBTeBfmB6?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFFeBChB0iB+?oBTmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFChBliBcoBT?mB/sBGtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBTiB/?oBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jex9IvhFfmBlhBcnBT?jBGmBCtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBfmB0hBS?sBToBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFfiBxdBSoBF?mBUoBGsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeSBJvhF/iBTjBRmBU?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBliB/?sBTtBUrB
TIOSJZL,X,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X
TIOSZLJ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TIOSZJL,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X
TIOZLJS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TIOZJLS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TIOZSJL,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TLIJSZO,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLIJSOZ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X
TLIJZSO,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJZOS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJOSZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X
TLIJOZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISJZO,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLISJOZ,O,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X
TLISZJO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLISZOJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TLISOJZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O
TLISOZJ,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O
TLIZJSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIZOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TLIOJSZ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TLIOJZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOSJZ,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TLIOSZJ,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O
TLIOZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X
TLJISZO,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLJISOZ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLJIZSO,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIZOS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIOSZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLJIOZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSIZO,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJSIOZ,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJSZIO,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJSZOI,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJSOIZ,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJSOZI,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLJZISO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZIOS,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJZSIO,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJZSOI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZOIS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZOSI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOISZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLJOIZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOSIZ,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJOSZI,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJOZIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJOZSI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSIJZO,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X
TLSIJOZ,O,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X
TLSIZJO,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TLSIZOJ,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TLSIOJZ,O,O,X,O,X,X,O,X,X,X,O,X,O,O,O,O
TLSIOZJ,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O
TLSJIZO,O,X,O,O,X,X,X,O,O,X,O,X,X,O,X,X
TLSJIOZ,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,X
TLSJZIO,O,X,O,O,X,X,X,O,O,X,O,X,X,O,X,X
TLSJZOI,O,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TLSJOIZ,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,X
TLSJOZI,O,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X
TLSZIJO,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TLSZIOJ,O,O,O,O,X,X,O,O,X,O,X,O,O,X,X,X
TLSZJIO,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TLSZJOI,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
TLSZOIJ,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X
TLSZOJI,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X
TLSOIJZ,O,O,X,O,X,X,O,X,X,X,O,X,O,O,O,O
TLSOIZJ,O,X,X,O,X,X,O,O,X,X,O,O,X,X,O,O
TLSOJIZ,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,O
TLSOJZI,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,O
TLSOZIJ,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O
TLSOZJI,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O
TLZIJSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZISOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZJISO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJSIO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJOIS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJOSI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TLZSOIJ,O,O,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TLZSOJI,O,O,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TLZOIJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X
TLZOJIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TLZOSJI,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TLOIJSZ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TLOIJZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOISJZ,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TLOISZJ,O,X,X,O,X,X,X,X,X,O,O,O,X,X,O,O
TLOIZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,O,X,X,X,X,X,O,O,O,X,X,O,X
TLOJISZ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,O
TLOJIZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJSIZ,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X
TLOJSZI,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X
TLOJZIS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJZSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,X,X,X,O,X,O,X,O,O,O,O
TLOSIZJ,O,X,X,O,X,X,X,X,X,O,O,O,X,X,O,O
TLOSJIZ,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,O
TLOSJZI,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,O
TLOSZIJ,O,O,X,O,X,X,X,X,X,O,O,O,O,X,X,O
TLOSZJI,O,O,X,O,X,X,X,X,X,O,O,O,O,X,X,O
TLOZIJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TLOZJIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TLOZSJI,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TJILSZO,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TJILSOZ,O,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X
TJILZSO,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJILZOS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
