sequence,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeqAJvhFTcBmdB5jB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFWiBxdB6oBF?mBXnB8sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFCdBejB5jBX?iBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhFchBidB5jBz?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhF1hB5jB3iBT?mB8sBisB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeC8IvhFxdBlhBziB+?oBUmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeG8IvhFyiB5jBzgB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFciBTeBfmB6?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFFeBChB0iB+?oBTmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFChBliBcoBT?mB/sBGtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBTiB/?oBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jex9IvhFfmBlhBcnBT?jBGmBCtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBfmB0hBS?sBToBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFfiBxdBSoBF?mBUoBGsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeSBJvhF/iBTjBRmBU?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBliB/?sBTtBUrB
JSITLZO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
JSITLOZ,O,X,X,X,X,O,O,O,O,X,O,X,X,O,X,X
JSITZLO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JSITZOL,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X
JSITOLZ,X,X,X,O,X,O,O,O,O,X,O,X,X,O,X,X
JSITOZL,X,X,X,O,X,O,O,O,X,X,O,X,X,O,X,X
JSILTZO,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
JSILTOZ,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X
JSILZTO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
JSILZOT,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JSILOTZ,O,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X
JSILOZT,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X
JSIZTLO,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JSIZTOL,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
JSIZLTO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JSIZLOT,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X
JSIZOTL,X,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
JSIZOLT,O,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
JSIOTLZ,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,X
JSIOTZL,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X,X
JSIOLTZ,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X
JSIOLZT,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X
JSIOZTL,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JSIOZLT,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JSLTIZO,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
JSLTIOZ,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
JSLTZIO,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
JSLTZOI,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X
JSLTOIZ,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
JSLTOZI,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
JSLITZO,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
JSLITOZ,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X
JSLIZTO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
JSLIZOT,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JSLIOTZ,O,X,X,X,X,X,O,X,O,X,O,X,O,O,X,O
JSLIOZT,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
JSLZTIO,O,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
JSLZTOI,O,X,X,X,X,O,X,O,O,O,X,O,X,O,X,X
JSLZITO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
JSLZIOT,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X
JSLZOTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JSLZOIT,O,X,X,O,X,O,X,O,O,X,X,O,O,X,X,X
JSLOTIZ,O,X,X,X,X,O,O,O,O,X,X,X,O,O,X,O
JSLOTZI,O,X,X,X,X,O,X,O,O,X,X,X,O,O,X,O
JSLOITZ,O,X,X,X,X,O,O,X,O,X,O,X,O,O,X,O
JSLOIZT,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O
JSLOZTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JSLOZIT,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O
JSZTILO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JSZTIOL,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
JSZTLIO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
JSZTLOI,O,X,X,O,X,O,X,O,O,O,X,O,X,O,X,X
JSZTOIL,X,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
JSZTOLI,X,X,X,O,X,O,X,O,O,O,O,X,X,O,X,X
JSZITLO,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JSZITOL,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
JSZILTO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JSZILOT,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X
JSZIOTL,X,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
JSZIOLT,O,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
JSZLTIO,O,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X
JSZLTOI,O,X,X,O,X,O,X,O,O,O,X,O,X,O,X,X
JSZLITO,O,X,X,O,X,O,X,O,O,X,O,X,X,O,X,X
JSZLIOT,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X
JSZLOTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JSZLOIT,O,X,X,O,X,O,X,O,O,X,X,O,O,X,X,X
JSZOTIL,X,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
JSZOTLI,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X
JSZOITL,X,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
JSZOILT,O,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
JSZOLTI,O,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X
JSZOLIT,O,X,X,O,O,O,X,O,O,O,X,X,O,X,X,X
JSOTILZ,X,X,X,X,X,O,O,O,O,X,O,X,O,O,X,O
JSOTIZL,X,X,X,X,O,O,O,O,X,X,O,X,O,O,X,O
JSOTLIZ,X,X,X,X,X,O,O,O,O,X,O,X,O,O,X,O
JSOTLZI,X,X,X,X,X,O,O,O,O,X,O,X,O,O,X,O
JSOTZIL,X,X,X,X,O,O,O,O,O,X,O,X,O,O,X,O
JSOTZLI,X,X,X,X,O,O,O,O,O,X,O,X,X,O,X,O
JSOITLZ,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,X
JSOITZL,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X,X
JSOILTZ,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,O
JSOILZT,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,O
JSOIZTL,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JSOIZLT,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JSOLTIZ,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,O
JSOLTZI,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,O
JSOLITZ,X,X,X,X,X,O,O,X,O,X,O,X,O,O,X,O
JSOLIZT,X,X,X,X,X,O,O,O,O,O,X,X,O,X,X,O
JSOLZTI,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X
JSOLZIT,X,X,X,X,X,O,O,O,O,O,X,X,O,X,X,O
JSOZTIL,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JSOZTLI,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X
JSOZITL,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JSOZILT,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JSOZLTI,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X
JSOZLIT,X,X,X,X,O,O,O,O,O,O,X,X,O,X,X,O
JZTILSO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTILOS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTISLO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTISOL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOLS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTIOSL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTLISO,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JZTLIOS,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JZTLSIO,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X
JZTLSOI,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JZTLOIS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLOSI,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JZTSILO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSIOL,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
JZTSLIO,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
JZTSLOI,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
JZTSOIL,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
JZTSOLI,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
JZTOILS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTOISL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTOLIS,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
JZTOLSI,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X
JZTOSIL,X,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
JZTOSLI,X,O,O,X,O,O,X,O,O,X,X,X,X,O,X,X
JZITLSO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITLOS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITSLO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITSOL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITOLS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZITOSL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZILTSO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILTOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILSTO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILSOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZILOST,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZISTLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZISTOL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZISLTO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZISLOT,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZISOTL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZISOLT,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZIOTLS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZIOTSL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZIOLTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZIOLST,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZIOSTL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZIOSLT,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLTISO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLTIOS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLTSIO,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JZLTSOI,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JZLTOIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTOSI,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JZLITSO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLITOS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLISTO,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JZLISOT,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLIOTS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZLIOST,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZLSTIO,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
JZLSTOI,X,O,X,X,X,O,X,O,O,O,X,O,X,O,X,X
JZLSITO,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
JZLSIOT,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLSOTI,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
JZLSOIT,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
JZLOTIS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZLOTSI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLOITS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZLOIST,X,X,X,X,O,O,X,O,O,O,X,O,X,X,X,X
JZLOSTI,X,X,X,X,X,O,X,O,O,O,X,O,X,X,X,X
JZLOSIT,X,X,X,X,O,O,X,O,O,O,X,O,X,X,X,X
JZSTILO,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JZSTIOL,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
JZSTLIO,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
JZSTLOI,X,O,O,X,X,O,X,O,O,O,X,O,X,O,X,X
JZSTOIL,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
JZSTOLI,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X,X
JZSITLO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSITOL,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
JZSILTO,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZSILOT,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZSIOTL,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZSIOLT,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZSLTIO,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
JZSLTOI,X,O,O,X,X,O,X,O,O,O,X,O,X,O,X,X
JZSLITO,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
JZSLIOT,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZSLOTI,X,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X
JZSLOIT,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
JZSOTIL,X,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X
JZSOTLI,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X
JZSOITL,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZSOILT,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZSOLTI,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X
JZSOLIT,X,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZOTILS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOTISL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOTLIS,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X
JZOTLSI,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOTSIL,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
JZOTSLI,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X
JZOITLS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOITSL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOILTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOILST,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZOISTL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZOISLT,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZOLTIS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZOLTSI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOLITS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZOLIST,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZOLSTI,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JZOLSIT,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZOSTIL,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X
JZOSTLI,X,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X
JZOSITL,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZOSILT,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZOSLTI,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X
JZOSLIT,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JOTILSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOTILZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOTISLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
JOTISZL,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
JOTIZLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTIZSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLISZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
JOTLIZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOTLSIZ,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JOTLSZI,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JOTLZIS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOTLZSI,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOTSILZ,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X
JOTSIZL,X,X,X,X,O,X,O,O,X,X,X,X,O,O,X,X
JOTSLIZ,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,O
JOTSLZI,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X
JOTSZIL,X,X,X,X,O,X,O,O,O,X,X,X,O,O,X,X
JOTSZLI,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X,X
JOTZILS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTZISL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTZLIS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOTZLSI,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JOTZSIL,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JOTZSLI,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X
JOITLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOITLZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOITSLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOITSZL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOITZLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITZSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOILTZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOILSTZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
JOILSZT,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
JOILZTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOILZST,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JOISTLZ,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X
JOISTZL,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X
JOISLTZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
JOISLZT,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
JOISZTL,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JOISZLT,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JOIZTLS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOIZTSL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOIZLTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOIZLST,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JOIZSTL,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOIZSLT,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOLTISZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
JOLTIZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLTSIZ,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JOLTSZI,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JOLTZIS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLTZSI,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOLITSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOLITZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLISTZ,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O
JOLISZT,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,O
JOLIZTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLIZST,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
JOLSTIZ,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,O
JOLSTZI,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,O
JOLSITZ,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O
JOLSIZT,X,X,X,X,X,X,O,O,O,O,X,X,O,X,X,O
JOLSZTI,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X
JOLSZIT,X,X,X,X,X,X,O,O,O,O,X,X,O,X,X,O
JOLZTIS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLZTSI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOLZITS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLZIST,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,O
JOLZSTI,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X
JOLZSIT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X,X
JOSTILZ,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,O
JOSTIZL,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X,O
JOSTLIZ,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,O
JOSTLZI,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,O
JOSTZIL,X,X,X,X,O,O,O,O,O,X,X,X,O,O,X,O
JOSTZLI,X,X,X,X,O,O,O,O,O,X,X,X,X,O,X,O
JOSITLZ,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,X
JOSITZL,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X,X
JOSILTZ,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,O
JOSILZT,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,O
JOSIZTL,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JOSIZLT,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JOSLTIZ,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,O
JOSLTZI,X,X,X,X,X,O,O,O,O,X,X,X,O,O,X,O
JOSLITZ,X,X,X,X,X,O,O,X,O,X,X,X,O,O,X,O
JOSLIZT,X,X,X,X,X,O,O,O,O,O,X,X,O,X,X,O
JOSLZTI,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X
JOSLZIT,X,X,X,X,X,O,O,O,O,O,X,X,O,X,X,O
JOSZTIL,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JOSZTLI,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X
JOSZITL,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JOSZILT,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
JOSZLTI,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X
JOSZLIT,X,X,X,X,O,O,O,O,O,O,X,X,O,X,X,O
JOZTILS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZTISL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOZTLIS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JOZTLSI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZTSIL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JOZTSLI,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JOZITLS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZITSL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOZILTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZILST,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JOZISTL,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOZISLT,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOZLTIS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JOZLTSI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZLITS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JOZLIST,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,O
JOZLSTI,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X
JOZLSIT,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X,X
