sequence,v115@EhC8FeF8DeG8AeF8JeO/IvhF6gB0cBxdBzfB/mBlqB,v115@EhC8FeF8DeG8AeF8JeO/IvhF0cBxdBCgB/mBTgBlqB,v115@EhC8FeF8DeG8AeF8JeK/IvhFzaB+gB0cBxdB/mBlqB,v115@EhC8FeF8DeG8AeF8JeO/IvhF0cBxdBflBlgBTmB6qB,v115@EhC8FeF8DeG8AeF8JeT6IvhF0bBxdBykBumBXhBlqB,v115@EhC8FeF8DeG8AeF8JeT6IvhFxdBlhBmkBUmB/lBCrB,v115@EhC8FeF8DeG8AeF8Jem6IvhFCcBxdBTfBlhB/qBUrB,v115@EhC8FeF8DeG8AeF8Jem6IvhFxdBTfBclBXmBlmBCrB
TSOIJLZ,O,O,O,O,X,X,O,X
TSOIJZL,O,O,O,O,X,X,O,X
TSOIZLJ,O,O,O,O,X,X,O,O
TSOIZJL,O,O,O,O,X,X,O,O
TSOLIJZ,O,O,O,O,X,X,O,X
TSOLIZJ,O,O,O,O,X,X,O,X
TSOLJIZ,O,O,O,O,X,X,O,X
TSOLJZI,O,O,O,O,X,X,O,X
TSOLZIJ,O,O,O,O,X,X,O,X
TSOLZJI,O,O,O,O,X,X,O,X
TSOJILZ,O,O,O,O,X,X,O,X
TSOJIZL,O,O,O,O,X,X,O,X
TSOJLIZ,O,O,O,O,X,X,O,X
TSOJLZI,O,O,O,O,X,X,O,X
TSOJZIL,O,O,O,O,X,X,O,X
TSOJZLI,O,O,O,O,X,X,O,X
TSOZILJ,O,O,O,O,X,X,O,O
TSOZIJL,O,O,O,O,X,X,O,O
TSOZLIJ,O,O,O,O,X,X,O,O
TSOZLJI,O,O,O,O,X,X,O,O
TSOZJIL,O,O,O,O,X,X,O,O
TSOZJLI,O,O,O,O,X,X,O,O
TZILJSO,O,O,O,X,X,O,X,X
TZILJOS,X,X,O,X,X,O,X,X
TZILSJO,O,O,O,X,X,X,O,X
TZILSOJ,O,O,O,X,X,X,O,X
TZILOJS,O,X,O,X,X,X,O,X
TZILOSJ,O,X,O,X,X,X,O,X
TZIJLSO,O,O,O,X,X,O,X,X
TZIJLOS,X,X,O,X,X,O,X,X
