sequence,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcB3gBGiBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygBTfBGiB0lBlm?B3rB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBzfBChBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcBGiBllB3m?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0hBll?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Je06IvhFxbB/iB2kBqlBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFWgBxbB/iB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhF3bBUdB1kBWrBxr?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeT6IvhF2gBqhB/iBxkBVr?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhFRcB3fBTiBllBcr?BGrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygB/iBTfB0lBlm?B+rB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFXcBViBUgBxmBGl?BTrB
ITLJOSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
ITLJOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
ITLSJZO,X,X,X,X,O,O,X,X,O,O,X,X,O
ITLSJOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
ITLSZJO,X,X,X,X,X,O,X,X,O,O,X,X,O
ITLSZOJ,O,X,X,X,X,O,X,X,X,O,X,X,O
ITLSOJZ,O,X,X,X,O,O,X,X,X,O,X,X,X
ITLSOZJ,O,X,X,X,X,X,X,X,X,O,X,X,O
ITLZJSO,X,X,X,X,X,X,X,X,O,X,X,X,O
ITLZJOS,X,X,X,X,X,X,X,X,O,X,X,X,X
ITLZSJO,X,X,X,X,X,X,X,X,O,X,X,X,O
ITLZSOJ,X,X,X,X,X,X,X,X,X,X,X,X,O
ITLZOJS,X,X,X,X,X,X,X,X,O,X,X,X,O
ITLZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
ITLOJSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
ITLOJZS,O,X,X,X,X,X,X,X,O,X,X,X,X
ITLOSJZ,X,X,X,X,O,X,X,X,X,O,X,X,X
ITLOSZJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ITLOZJS,X,X,X,X,X,X,X,X,O,X,X,X,X
ITLOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
ITJLSZO,O,X,X,X,X,O,X,X,O,O,X,X,O
ITJLSOZ,O,X,X,X,X,O,X,X,O,O,X,X,X
ITJLZSO,O,X,X,X,X,X,X,X,O,X,X,X,O
ITJLZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
ITJLOSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
ITJLOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
ITJSLZO,O,X,X,X,X,O,X,X,O,O,X,X,O
ITJSLOZ,O,X,X,X,X,O,X,X,O,O,X,X,X
ITJSZLO,O,X,X,X,X,X,X,X,O,O,X,X,X
ITJSZOL,X,X,X,X,X,X,X,X,O,O,X,X,X
ITJSOLZ,O,X,X,X,X,X,X,X,O,O,X,X,X
ITJSOZL,X,X,X,X,X,X,X,X,O,O,X,X,X
ITJZLSO,O,X,X,X,X,X,X,X,O,X,X,X,X
ITJZLOS,O,O,X,X,X,X,X,X,O,X,X,X,X
ITJZSLO,O,X,X,X,X,X,X,X,O,O,X,X,X
ITJZSOL,X,X,X,X,X,X,X,X,O,O,X,X,X
ITJZOLS,X,O,X,X,X,X,X,X,O,X,X,X,X
ITJZOSL,X,O,X,X,X,X,X,X,O,O,X,X,X
ITJOLSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
ITJOLZS,O,X,X,X,X,X,X,X,O,X,X,X,X
ITJOSLZ,O,X,X,X,X,X,X,X,O,O,X,X,X
ITJOSZL,X,X,X,X,X,X,X,X,O,O,X,X,X
ITJOZLS,X,O,X,X,X,X,X,X,O,X,X,X,X
ITJOZSL,X,O,X,X,X,X,X,X,O,O,X,X,X
ITSLJZO,X,X,X,X,O,O,X,X,O,O,X,X,O
ITSLJOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
ITSLZJO,X,X,X,X,X,O,X,X,O,O,X,X,O
ITSLZOJ,O,X,X,X,X,O,X,X,X,O,X,X,O
ITSLOJZ,O,X,X,X,O,O,X,X,X,O,X,X,X
ITSLOZJ,O,X,X,X,X,X,X,X,X,O,X,X,O
ITSJLZO,X,X,X,X,O,O,X,X,O,O,X,X,O
ITSJLOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
ITSJZLO,X,X,X,X,O,X,X,X,O,O,X,X,X
ITSJZOL,X,X,X,X,X,X,X,X,O,O,X,X,X
ITSJOLZ,X,X,X,X,O,X,X,X,O,O,X,X,X
ITSJOZL,X,X,X,X,X,X,X,X,O,O,X,X,X
ITSZLJO,X,X,X,X,X,X,X,X,O,O,X,X,O
ITSZLOJ,O,X,X,X,X,X,X,X,X,O,X,X,O
ITSZJLO,X,X,X,X,X,X,X,X,O,O,X,X,X
ITSZJOL,X,X,X,X,X,X,X,X,O,O,X,X,X
ITSZOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITSZOJL,X,X,X,X,X,X,X,X,X,O,X,X,X
ITSOLJZ,O,X,X,X,X,X,X,X,X,O,X,X,X
ITSOLZJ,O,X,X,X,X,X,X,X,X,O,X,X,O
ITSOJLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITSOJZL,X,X,X,X,X,X,X,X,X,O,X,X,X
ITSOZLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITSOZJL,X,X,X,X,X,X,X,X,X,O,X,X,X
ITZLJSO,X,X,X,X,X,X,X,X,O,X,X,X,O
ITZLJOS,X,O,X,X,X,X,X,X,O,X,X,X,X
ITZLSJO,X,X,X,X,X,X,X,X,O,X,X,X,O
ITZLSOJ,X,X,X,X,X,X,X,X,X,X,X,X,O
ITZLOJS,X,O,X,X,X,X,X,X,O,X,X,X,X
ITZLOSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
ITZJLSO,X,X,X,X,X,X,X,X,O,X,X,X,X
ITZJLOS,X,O,X,X,X,X,X,X,O,X,X,X,X
ITZJSLO,X,X,X,X,X,X,X,X,O,O,X,X,X
ITZJSOL,X,X,X,X,X,X,X,X,O,O,X,X,X
ITZJOLS,X,O,X,X,X,X,X,X,O,X,X,X,X
ITZJOSL,X,O,X,X,X,X,X,X,O,O,X,X,X
ITZSLJO,X,X,X,X,X,X,X,X,O,O,X,X,O
ITZSLOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ITZSJLO,X,X,X,X,X,X,X,X,O,O,X,X,X
ITZSJOL,X,X,X,X,X,X,X,X,O,O,X,X,X
ITZSOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITZSOJL,X,X,X,X,X,X,X,X,X,O,X,X,X
ITZOLJS,X,O,X,X,X,X,X,X,O,X,X,X,X
ITZOLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ITZOJLS,X,O,X,X,X,X,X,X,O,X,X,X,X
ITZOJSL,X,O,X,X,X,X,X,X,O,O,X,X,X
ITZOSLJ,X,O,X,X,X,X,X,X,X,O,X,X,X
ITZOSJL,X,O,X,X,X,X,X,X,X,O,X,X,X
ITOLJSZ,X,X,X,X,X,X,X,X,O,O,X,X,X
ITOLJZS,X,X,X,X,X,X,X,X,O,X,X,X,X
ITOLSJZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOLSZJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ITOLZJS,X,X,X,X,X,X,X,X,O,X,X,X,X
ITOLZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
ITOJLSZ,X,X,X,X,X,X,X,X,O,O,X,X,X
ITOJLZS,X,X,X,X,X,X,X,X,O,X,X,X,X
ITOJSLZ,X,X,X,X,X,X,X,X,O,O,X,X,X
ITOJSZL,X,X,X,X,X,X,X,X,O,O,X,X,X
ITOJZLS,X,O,X,X,X,X,X,X,O,X,X,X,X
ITOJZSL,X,O,X,X,X,X,X,X,O,O,X,X,X
ITOSLJZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOSLZJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ITOSJLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOSJZL,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOSZLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOSZJL,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOZLJS,X,O,X,X,X,X,X,X,O,X,X,X,X
ITOZLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ITOZJLS,X,O,X,X,X,X,X,X,O,X,X,X,X
ITOZJSL,X,O,X,X,X,X,X,X,O,O,X,X,X
ITOZSLJ,X,O,X,X,X,X,X,X,X,O,X,X,X
ITOZSJL,X,O,X,X,X,X,X,X,X,O,X,X,X
ILTJSZO,O,X,X,X,X,O,X,X,O,O,X,X,O
ILTJSOZ,O,X,X,X,X,O,X,X,O,O,X,X,X
ILTJZSO,O,X,X,X,X,X,X,X,O,X,X,X,O
ILTJZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
ILTJOSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
ILTJOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
ILTSJZO,X,X,X,X,O,O,X,X,O,O,X,X,O
ILTSJOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
ILTSZJO,X,X,X,X,X,O,X,X,O,O,X,X,O
ILTSZOJ,O,X,X,X,X,O,X,X,X,O,X,X,O
ILTSOJZ,O,X,X,X,O,O,X,X,X,O,X,X,X
ILTSOZJ,O,X,X,X,X,X,X,X,X,O,X,X,O
ILTZJSO,X,X,X,X,X,X,X,X,O,X,X,X,O
ILTZJOS,X,X,X,X,X,X,X,X,O,X,X,X,X
ILTZSJO,X,X,X,X,X,X,X,X,O,X,X,X,O
ILTZSOJ,X,X,X,X,X,X,X,X,X,X,X,X,O
ILTZOJS,X,X,X,X,X,X,X,X,O,X,X,X,O
ILTZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
ILTOJSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
ILTOJZS,O,X,X,X,X,X,X,X,O,X,X,X,X
ILTOSJZ,X,X,X,X,O,X,X,X,X,O,X,X,X
ILTOSZJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ILTOZJS,X,X,X,X,X,X,X,X,O,X,X,X,X
ILTOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
ILJTSZO,O,X,X,X,O,O,X,X,O,O,X,X,O
ILJTSOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
ILJTZSO,O,X,X,X,X,X,X,X,O,X,X,X,O
ILJTZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
ILJTOSZ,O,X,X,X,O,X,X,X,O,O,X,X,X
ILJTOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
ILJSTZO,O,X,O,X,O,O,O,O,O,X,X,X,X
ILJSTOZ,O,X,X,X,O,O,O,X,O,X,X,X,X
ILJSZTO,O,X,O,X,O,O,O,O,O,X,X,X,X
ILJSZOT,O,X,O,X,O,O,O,O,X,X,X,X,X
ILJSOTZ,O,X,X,X,O,O,X,X,X,X,X,X,X
ILJSOZT,O,X,O,X,O,O,O,O,X,X,X,X,X
ILJZTSO,O,X,X,X,X,X,X,X,O,X,X,X,O
ILJZTOS,O,X,X,X,X,X,X,X,O,X,X,X,X
ILJZSTO,O,X,O,X,O,X,O,O,O,X,X,X,X
ILJZSOT,O,X,O,X,O,X,O,O,X,X,X,X,X
ILJZOTS,O,X,X,X,X,X,X,X,X,X,X,X,O
ILJZOST,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJOTSZ,O,X,X,X,O,X,X,X,X,O,X,X,X
ILJOTZS,O,X,X,X,X,X,X,X,X,X,X,X,X
ILJOSTZ,O,X,X,X,O,O,X,X,X,X,X,X,X
ILJOSZT,O,X,X,X,O,O,X,X,X,X,X,X,X
ILJOZTS,O,X,X,X,X,X,X,X,X,X,X,X,X
ILJOZST,O,X,X,X,O,X,X,X,X,X,X,X,X
ILSTJZO,X,X,O,X,O,O,O,X,X,O,X,X,O
ILSTJOZ,O,X,X,X,O,O,O,X,X,O,X,X,X
ILSTZJO,X,X,X,X,X,O,O,O,X,O,X,X,O
ILSTZOJ,O,X,X,X,X,O,X,O,X,O,X,X,O
ILSTOJZ,O,X,X,X,O,O,O,X,X,O,X,X,X
ILSTOZJ,O,X,X,X,X,X,X,X,X,O,X,X,O
ILSJTZO,X,X,O,X,O,O,O,O,X,X,X,X,X
ILSJTOZ,O,X,X,X,O,O,O,X,X,X,X,X,X
ILSJZTO,X,X,O,X,O,O,O,O,X,X,X,X,X
ILSJZOT,O,X,O,X,O,O,O,O,X,X,X,X,X
ILSJOTZ,O,X,X,X,O,O,X,X,X,X,X,X,X
ILSJOZT,O,X,O,X,O,O,O,O,X,X,X,X,X
ILSZTJO,O,X,O,X,X,O,X,O,X,X,X,X,O
ILSZTOJ,O,X,O,X,X,X,X,O,X,X,X,X,O
ILSZJTO,O,X,O,X,X,O,O,O,X,X,X,X,X
ILSZJOT,O,X,O,X,X,O,O,O,X,X,X,X,X
ILSZOTJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ILSZOJT,O,X,O,X,X,O,X,X,X,X,X,X,X
ILSOTJZ,O,X,X,X,O,O,X,X,X,O,X,X,X
ILSOTZJ,O,X,X,X,X,O,X,X,X,O,X,X,X
ILSOJTZ,O,X,X,X,O,O,X,X,X,X,X,X,X
ILSOJZT,O,X,O,X,O,O,O,X,X,X,X,X,X
ILSOZTJ,O,X,X,X,X,O,X,X,X,X,X,X,X
ILSOZJT,O,X,X,X,X,O,X,X,X,X,X,X,X
ILZTJSO,O,X,X,X,X,X,X,X,O,X,X,X,O
ILZTJOS,O,X,X,X,X,X,X,X,O,X,X,X,X
ILZTSJO,O,X,X,X,X,X,X,X,O,X,X,X,O
ILZTSOJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ILZTOJS,O,X,X,X,X,X,X,X,O,X,X,X,O
ILZTOSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
ILZJTSO,O,X,X,X,X,X,X,X,O,X,X,X,O
ILZJTOS,O,X,X,X,X,X,X,X,O,X,X,X,X
ILZJSTO,O,X,O,X,X,X,X,O,O,X,X,X,X
ILZJSOT,O,X,O,X,X,X,X,O,X,X,X,X,X
ILZJOTS,O,X,X,X,X,X,X,X,X,X,X,X,O
ILZJOST,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZSTJO,O,X,O,X,X,X,X,O,X,X,X,X,O
ILZSTOJ,O,X,O,X,X,X,X,O,X,X,X,X,O
ILZSJTO,O,X,O,X,X,X,X,O,X,X,X,X,X
ILZSJOT,O,X,O,X,X,X,X,O,X,X,X,X,X
ILZSOTJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ILZSOJT,O,X,O,X,X,X,X,X,X,X,X,X,X
ILZOTJS,O,X,X,X,X,X,X,X,X,X,X,X,O
ILZOTSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
ILZOJTS,O,X,X,X,X,X,X,X,X,X,X,X,O
ILZOJST,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZOSTJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ILZOSJT,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOTJSZ,O,X,X,X,X,X,X,X,X,O,X,X,O
ILOTJZS,O,X,X,X,X,X,X,X,X,X,X,X,O
ILOTSJZ,X,X,X,X,O,X,X,X,X,O,X,X,O
ILOTSZJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ILOTZJS,X,X,X,X,X,X,X,X,X,X,X,X,O
ILOTZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
ILOJTSZ,O,X,X,X,O,X,X,X,X,O,X,X,O
ILOJTZS,O,X,X,X,X,X,X,X,X,X,X,X,O
ILOJSTZ,O,X,X,X,O,O,X,X,X,X,X,X,X
ILOJSZT,O,X,X,X,O,O,X,X,X,X,X,X,X
ILOJZTS,O,X,X,X,X,X,X,X,X,X,X,X,O
ILOJZST,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOSTJZ,O,X,X,X,O,O,X,X,X,O,X,X,O
ILOSTZJ,O,X,X,X,X,O,X,X,X,O,X,X,O
ILOSJTZ,O,X,X,X,O,O,X,X,X,X,X,X,X
ILOSJZT,O,X,X,X,O,O,X,X,X,X,X,X,X
ILOSZTJ,O,X,X,X,X,O,X,X,X,X,X,X,O
ILOSZJT,O,X,X,X,X,O,X,X,X,X,X,X,X
ILOZTJS,O,X,X,X,X,X,X,X,X,X,X,X,O
ILOZTSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
ILOZJTS,O,X,X,X,X,X,X,X,X,X,X,X,O
ILOZJST,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOZSTJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ILOZSJT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTLSZO,O,X,X,X,O,O,X,X,O,O,X,X,O
IJTLSOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
IJTLZSO,O,X,X,X,X,X,X,X,O,X,X,X,O
IJTLZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTLOSZ,O,X,X,X,O,X,X,X,O,O,X,X,X
IJTLOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTSLZO,O,X,X,X,O,O,X,X,O,O,X,X,O
IJTSLOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
IJTSZLO,O,X,X,X,O,X,X,X,O,O,X,X,X
IJTSZOL,X,X,X,X,X,X,X,X,O,O,X,X,X
IJTSOLZ,O,X,X,X,O,X,X,X,O,O,X,X,X
IJTSOZL,X,X,X,X,X,X,X,X,O,O,X,X,X
IJTZLSO,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTZLOS,O,O,X,X,X,X,X,X,O,X,X,X,X
IJTZSLO,O,X,X,X,X,X,X,X,O,O,X,X,X
IJTZSOL,X,X,X,X,X,X,X,X,O,O,X,X,X
IJTZOLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IJTZOSL,X,O,X,X,X,X,X,X,O,O,X,X,X
IJTOLSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
IJTOLZS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTOSLZ,O,X,X,X,X,X,X,X,O,O,X,X,X
IJTOSZL,X,X,X,X,X,X,X,X,O,O,X,X,X
IJTOZLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IJTOZSL,X,O,X,X,X,X,X,X,O,O,X,X,X
IJLTSZO,O,X,X,X,O,O,X,X,O,O,X,X,O
IJLTSOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
IJLTZSO,O,X,X,X,X,X,X,X,O,X,X,X,O
IJLTZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJLTOSZ,O,X,X,X,O,X,X,X,O,O,X,X,X
IJLTOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJLSTZO,O,X,O,X,O,O,O,X,O,X,X,X,X
IJLSTOZ,O,X,X,X,O,O,O,X,O,X,X,X,X
IJLSZTO,O,X,O,X,O,O,O,X,O,X,X,X,X
IJLSZOT,O,X,O,X,O,O,O,X,X,X,X,X,X
IJLSOTZ,O,X,X,X,O,O,X,X,X,X,X,X,X
IJLSOZT,O,X,O,X,O,O,O,X,X,X,X,X,X
IJLZTSO,O,X,X,X,X,X,X,X,O,X,X,X,O
IJLZTOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJLZSTO,O,X,O,X,O,X,O,X,O,X,X,X,X
IJLZSOT,O,X,O,X,O,X,O,X,X,X,X,X,X
IJLZOTS,O,X,X,X,X,X,X,X,X,X,X,X,O
IJLZOST,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLOTSZ,O,X,X,X,O,X,X,X,X,O,X,X,X
IJLOTZS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLOSTZ,O,X,X,X,O,O,X,X,X,X,X,X,X
IJLOSZT,O,X,X,X,O,O,X,X,X,X,X,X,X
IJLOZTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLOZST,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSTLZO,O,X,X,O,O,O,O,X,O,O,X,X,X
IJSTLOZ,O,X,X,O,O,O,O,X,O,O,X,X,X
IJSTZLO,O,X,O,X,O,X,X,X,O,O,X,X,X
IJSTZOL,X,X,X,X,X,X,X,X,O,O,X,X,X
IJSTOLZ,O,X,X,O,O,X,X,X,O,O,X,X,X
IJSTOZL,X,X,X,O,X,X,X,X,O,O,X,X,X
IJSLTZO,O,X,O,X,O,O,O,X,O,X,X,X,X
IJSLTOZ,O,X,X,X,O,O,O,X,O,X,X,X,X
IJSLZTO,O,X,O,X,O,O,O,X,O,X,X,X,X
IJSLZOT,O,X,O,X,O,O,O,X,X,X,X,X,X
IJSLOTZ,O,X,X,X,O,O,X,X,X,X,X,X,X
IJSLOZT,O,X,O,X,O,O,O,X,X,X,X,X,X
IJSZTLO,O,X,O,O,O,O,O,X,O,X,X,X,X
IJSZTOL,X,X,X,O,X,O,X,X,O,X,X,X,X
IJSZLTO,O,X,O,O,O,O,O,X,O,X,X,X,X
IJSZLOT,O,X,O,O,O,O,O,X,X,X,X,X,X
IJSZOTL,X,X,X,O,X,O,X,X,O,X,X,X,X
IJSZOLT,O,X,X,O,X,O,O,X,X,X,X,X,X
IJSOTLZ,X,X,X,O,O,O,X,X,O,O,X,X,X
IJSOTZL,X,X,X,O,X,X,X,X,O,O,X,X,X
IJSOLTZ,O,X,X,O,O,O,X,X,X,X,X,X,X
IJSOLZT,O,X,X,O,O,O,X,X,X,X,X,X,X
IJSOZTL,X,X,X,O,X,O,X,X,O,X,X,X,X
IJSOZLT,X,X,X,O,X,O,X,X,X,X,X,X,X
IJZTLSO,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZTLOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZTSLO,O,X,X,X,X,X,X,X,O,O,X,X,X
IJZTSOL,X,X,X,X,X,X,X,X,O,O,X,X,X
IJZTOLS,X,X,X,X,X,X,X,X,O,X,X,X,X
IJZTOSL,X,X,X,X,X,X,X,X,O,O,X,X,X
IJZLTSO,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZLTOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZLSTO,O,X,O,O,O,X,O,X,O,X,X,X,X
IJZLSOT,O,X,O,O,O,X,O,X,X,X,X,X,X
IJZLOTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJZLOST,O,O,X,X,O,X,X,X,X,X,X,X,X
IJZSTLO,O,X,O,O,O,X,O,X,O,X,X,X,X
IJZSTOL,X,X,X,O,X,X,X,X,O,X,X,X,X
IJZSLTO,O,X,O,O,O,X,O,X,O,X,X,X,X
IJZSLOT,O,X,O,O,O,X,O,X,X,X,X,X,X
IJZSOTL,X,X,X,O,X,X,X,X,O,X,X,X,X
IJZSOLT,O,X,X,O,X,X,O,X,X,X,X,X,X
IJZOTLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IJZOTSL,X,X,X,X,X,X,X,X,O,O,X,X,X
IJZOLTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJZOLST,O,O,X,O,X,X,X,X,X,X,X,X,X
IJZOSTL,X,X,X,O,X,X,X,X,O,X,X,X,X
IJZOSLT,O,O,X,O,X,X,X,X,X,X,X,X,X
IJOTLSZ,O,X,X,X,X,O,X,X,O,O,X,X,X
IJOTLZS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJOTSLZ,O,X,X,X,X,O,X,X,O,O,X,X,X
IJOTSZL,X,X,X,X,X,X,X,X,O,O,X,X,X
IJOTZLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IJOTZSL,X,O,X,X,X,X,X,X,O,O,X,X,X
IJOLTSZ,O,X,X,X,O,X,X,X,X,O,X,X,X
IJOLTZS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOLSTZ,O,X,X,X,O,O,X,X,X,X,X,X,X
IJOLSZT,O,X,X,X,O,O,X,X,X,X,X,X,X
IJOLZTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOLZST,O,O,X,X,O,X,X,X,X,X,X,X,X
IJOSTLZ,X,X,X,O,O,O,X,X,O,O,X,X,X
IJOSTZL,X,X,X,O,X,X,X,X,O,O,X,X,X
IJOSLTZ,O,X,X,O,O,O,X,X,X,X,X,X,X
IJOSLZT,O,X,X,O,O,O,X,X,X,X,X,X,X
IJOSZTL,X,X,X,O,X,O,X,X,O,X,X,X,X
IJOSZLT,X,O,X,O,X,O,X,X,X,X,X,X,X
IJOZTLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IJOZTSL,X,X,X,X,X,X,X,X,O,O,X,X,X
IJOZLTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOZLST,O,O,X,O,X,X,X,X,X,X,X,X,X
IJOZSTL,X,X,X,O,X,X,X,X,O,X,X,X,X
IJOZSLT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISTLJZO,X,X,X,O,O,O,O,X,O,O,X,X,O
ISTLJOZ,O,X,X,O,O,O,O,X,O,O,X,X,X
ISTLZJO,X,X,X,O,X,O,O,O,O,O,X,X,O
ISTLZOJ,O,X,X,O,X,O,X,O,X,O,X,X,O
ISTLOJZ,O,X,X,O,O,O,O,X,X,O,X,X,X
ISTLOZJ,O,X,X,O,X,X,X,X,X,O,X,X,O
ISTJLZO,X,X,X,O,O,O,O,X,O,O,X,X,O
ISTJLOZ,O,X,X,O,O,O,O,X,O,O,X,X,X
ISTJZLO,X,X,O,X,O,X,X,X,O,O,X,X,X
ISTJZOL,X,X,X,X,X,X,X,X,O,O,X,X,X
ISTJOLZ,X,X,X,O,O,X,X,X,O,O,X,X,X
ISTJOZL,X,X,X,O,X,X,X,X,O,O,X,X,X
ISTZLJO,X,X,O,X,X,X,X,O,O,O,X,X,O
ISTZLOJ,O,X,O,X,X,X,X,O,X,O,X,X,O
ISTZJLO,X,X,O,X,X,X,X,X,O,O,X,X,X
ISTZJOL,X,X,X,X,X,X,X,X,O,O,X,X,X
ISTZOLJ,X,X,X,X,X,X,X,X,X,O,X,O,X
ISTZOJL,X,X,X,X,X,X,X,X,X,O,X,O,X
ISTOLJZ,O,X,X,O,X,X,X,X,X,O,X,X,X
ISTOLZJ,O,X,X,O,X,X,X,X,X,O,X,X,O
ISTOJLZ,X,X,X,O,X,X,X,X,X,O,X,X,X
ISTOJZL,X,X,X,O,X,X,X,X,X,O,X,X,X
ISTOZLJ,X,X,X,X,X,X,X,X,X,O,X,O,X
ISTOZJL,X,X,X,O,X,X,X,X,X,O,X,O,X
ISLTJZO,X,X,O,X,O,O,O,X,X,O,X,X,O
ISLTJOZ,O,X,X,X,O,O,O,X,X,O,X,X,X
ISLTZJO,X,X,X,X,X,O,O,O,X,O,X,X,O
ISLTZOJ,O,X,X,X,X,O,X,O,X,O,X,X,O
ISLTOJZ,O,X,X,X,O,O,O,X,X,O,X,X,X
ISLTOZJ,O,X,X,X,X,X,X,X,X,O,X,X,O
ISLJTZO,X,X,O,X,O,O,O,O,X,X,X,X,X
ISLJTOZ,O,X,X,X,O,O,O,X,X,X,X,X,X
