sequence,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcB3gBGiBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygBTfBGiB0lBlm?B3rB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBzfBChBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcBGiBllB3m?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0hBll?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Je06IvhFxbB/iB2kBqlBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFWgBxbB/iB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhF3bBUdB1kBWrBxr?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeT6IvhF2gBqhB/iBxkBVr?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhFRcB3fBTiBllBcr?BGrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygB/iBTfB0lBlm?B+rB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFXcBViBUgBxmBGl?BTrB
TIOSLZJ,X,X,X,X,X,X,X,X,X,O,X,X,O
TIOSJLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSJZL,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSZLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSZJL,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZLJS,X,O,X,X,X,X,X,X,O,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X,O,X,X,X,X
TIOZJSL,X,O,X,X,X,X,X,X,O,O,X,X,X
TIOZSLJ,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOZSJL,X,O,X,X,X,X,X,X,X,O,X,X,X
TLIJSZO,O,X,X,X,X,O,X,X,O,O,X,X,O
TLIJSOZ,O,X,X,X,X,O,X,X,O,O,X,X,X
TLIJZSO,O,X,X,X,X,X,X,X,O,X,X,X,O
TLIJZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
TLIJOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TLISJZO,X,X,X,X,O,O,X,X,O,O,X,X,O
TLISJOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
TLISZJO,X,X,X,X,X,O,X,X,O,O,X,X,O
TLISZOJ,O,X,X,X,X,O,X,X,X,O,X,X,O
TLISOJZ,O,X,X,X,O,O,X,X,X,O,X,X,X
TLISOZJ,O,X,X,X,X,X,X,X,X,O,X,X,O
