sequence,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFRdBcjBylB+?mBTiBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFRdBcjB6mBT?iBmlBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeaBJvhFRdBcjBTgBG?iB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFuiBcjBTgBi?hB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhF3dBcjBTgBO?mBCnBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhF3dBcjBTgBK?mBWnBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeC8IvhFTeB2lBxhB0?iB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFCeBTgBOmB8?mBXjBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR9IvhFcjBigBGiBz?gB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFGeBTgBKmBf?nBliB8sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeaCJvhFuiBcjBxgB3?gBTmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Jez8IvhFWjBigBXjBR?mBUmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFWjBigBzhBX?jBUmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Jez7IvhFRdBcjB2lBS?nB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFGeBigBfnBU?mBznBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFaiBuiBcjBx?lBTmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JecAJvhFTcBGeBynBF?mBRsB/sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JecAJvhFTcBxdBOoBF?mBXnB6sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFTeBxlBmnBc?mBVsB6sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeC+IvhF2lBRhBXjBz?hBUmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JecAJvhFmcBCeBXjBR?mBTmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je1AJvhFzcBSjB3iBx?lB8sB2wB
TILOZSJ,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O
TIJLSZO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TIJLSOZ,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIJLZSO,O,O,X,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X
TIJLZOS,O,O,X,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,O,X,X,X
TIJLOSZ,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJLOZS,O,O,X,X,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,O
TIJSLZO,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TIJSLOZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIJSZLO,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
TIJSZOL,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJSOLZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIJSOZL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJZLSO,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X
TIJZLOS,O,O,O,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,O,X,X,O
TIJZSLO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
TIJZSOL,X,O,O,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X
TIJZOLS,O,O,O,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,O
TIJZOSL,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X
TIJOLSZ,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJOLZS,O,O,O,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,O
TIJOSLZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIJOSZL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJOZLS,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O
TIJOZSL,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TISLJZO,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TISLJOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TISLZJO,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TISLZOJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TISLOJZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TISJLZO,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TISJLOZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TISJZLO,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
TISJZOL,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TISJOLZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TISJOZL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISZLJO,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TISZLOJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O
TISZJLO,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TISZJOL,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TISZOLJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O
TISZOJL,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TISOLJZ,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TISOJLZ,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOZLJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TISOZJL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZLJSO,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,O,X
TIZLJOS,O,X,O,X,O,O,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X,O
TIZLSJO,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X,O,X
TIZLSOJ,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,O,O
TIZLOJS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X,O
TIZLOSJ,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O
TIZJLSO,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X,O,X
TIZJLOS,O,O,O,X,O,O,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X,O
TIZJSLO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZJSOL,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X
TIZJOLS,O,O,O,O,X,X,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,O
TIZJOSL,O,O,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,O,X
TIZSLJO,O,O,O,O,O,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X,O,X
TIZSLOJ,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O
TIZSJLO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZSJOL,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X
TIZSOLJ,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O
TIZSOJL,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZOLJS,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X,O,O,X,X,X,X,O
TIZOLSJ,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O
TIZOJLS,O,O,O,O,O,O,X,O,O,X,O,O,X,O,X,O,O,X,X,X,X,O
TIZOJSL,O,O,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,O,X
TIZOSLJ,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O,O
TIZOSJL,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X
TIOLJSZ,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,O,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O
TIOLSJZ,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIOLZJS,X,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O
TIOLZSJ,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIOJLSZ,O,O,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOJLZS,O,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O
TIOJSLZ,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOJZLS,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O
TIOJZSL,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOSLJZ,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIOSJLZ,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSZLJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIOSZJL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOZLJS,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O
TIOZLSJ,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIOZJLS,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O
TIOZJSL,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOZSLJ,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIOZSJL,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLIJSZO,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLIJZOS,O,X,X,X,O,O,X,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,X,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,O
TLISJZO,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLISJOZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLISOZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLIZJSO,O,O,X,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLIZJOS,O,X,X,X,O,O,X,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X
TLIZSJO,O,O,X,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X
TLIZOJS,X,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,O
TLIZOSJ,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O
TLIOJSZ,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O
TLIOSJZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TLIOZJS,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O
TLIOZSJ,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O
TLJISZO,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TLJISOZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLJIZSO,O,O,X,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJIZOS,O,O,X,X,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X
TLJIOSZ,O,O,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJIOZS,O,O,X,X,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
TLJSIZO,O,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLJSIOZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLJSZIO,O,O,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLJSZOI,O,O,O,X,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLJSOZI,O,O,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJZISO,O,O,O,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJZIOS,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X
TLJZSIO,O,O,O,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJZSOI,O,O,O,X,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TLJZOIS,O,O,O,X,O,O,O,X,O,X,O,X,O,O,O,O,X,X,X,X,X,X
TLJZOSI,O,O,O,X,O,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X
TLJOISZ,O,O,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLJOIZS,O,O,O,X,O,O,O,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOSZI,O,O,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJOZIS,O,O,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TLJOZSI,O,O,O,X,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TLSIJZO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X
TLSIJOZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLSIZJO,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
TLSIZOJ,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X
TLSIOJZ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSJIZO,O,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLSJIOZ,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLSJZIO,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X
TLSJZOI,O,O,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLSJOZI,O,O,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X
TLSZIOJ,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X
TLSZJIO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,O,O,X
TLSZJOI,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TLSZOJI,O,O,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLSOJZI,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLSOZJI,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,O,O,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,O,X
TLZIJOS,O,X,O,X,O,O,X,X,O,O,O,O,O,O,O,O,X,X,X,X,X,O
TLZISJO,O,O,O,X,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
TLZISOJ,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X,X,O,O
TLZIOJS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,O
TLZIOSJ,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O
TLZJISO,O,O,O,X,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLZJIOS,O,O,O,X,O,O,X,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X
TLZJSIO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLZJSOI,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZJOIS,O,O,O,O,O,O,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,X
TLZJOSI,O,O,O,O,O,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X
TLZSIJO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
TLZSIOJ,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X
TLZSJIO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
TLZSJOI,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,O,O,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X
TLZSOJI,O,O,O,O,O,O,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLZOIJS,O,O,O,O,O,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLZOISJ,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLZOJIS,O,O,O,O,O,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
TLZOJSI,O,O,O,O,O,O,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,O,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZOSJI,O,O,O,O,O,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,O,X,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TLOISJZ,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOISZJ,X,O,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOIZJS,X,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLOIZSJ,X,O,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
