sequence,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBCiBllBe?sBznBXrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFUhBFiB6qBz?nBXnB2wB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFTdBllBcrBm?nBXsBCrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBGiBllBy?sBXrBzrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jel7IvhFGdB/mBanB0?lBznBRwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFTdBFhB6qBc?rBmnBXsB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jel7IvhFzcBqiB/mB0?lB2sBRwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBXiBllBz?nBmrBSwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeX8IvhFFiBxlBznB0?lBOsBSwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jel7IvhFThBZnBfoB0?lBGnBSwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeX8IvhFTdBllBmnBx?rBqrB0qB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFSiBllB3mBz?nBmmBRwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeG9IvhFZnBllBcrBz?nB6qB/rB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFOnBllBcrBz?nBCrBXsB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeT8IvhFOiBfoBxlBU?rBFsB6qB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je0BJvhFfoBllBxrB6?qBOsBTrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFllBcrBmnBT?nBCrBXsB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex8IvhFXiBllBznB0?mB2wB6qB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFfoBllBUnBT?rBOsBCrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex8IvhF1lB0hBznBX?nB6qB2wB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBOnBllBz?nBXrBqrB
TLJSZOI,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJOZIS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSIJZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSIZOJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSIOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSZIOJ,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSZJIO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLSZOJI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLSOIJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSOJZI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSOZIJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZJOSI,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZSIJO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZSIOJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZSJIO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZOISJ,O,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TLZOJIS,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZOJSI,O,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZOSJI,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOIZJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOJISZ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOJZIS,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOJZSI,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOSIJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLOSJZI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TLOSZIJ,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOSZJI,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
