sequence,v115@FhC8DeB8BeB8CeH8AeG8Je//IvhFagBGcBxdBzgB0i?BFqB,v115@FhC8DeB8BeB8CeH8AeG8JeT6IvhFegBCcBxdBXhB0i?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Je2/IvhFCcBxdBXhB0iBzf?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Jem6IvhFRcBSiB0fBzgBXj?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Je2/IvhFRbBchBTdBSlBXj?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Jey/IvhFGdBRhB0fBzgBXj?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Jei6IvhFWhBxdBzfB0iBXh?BFqB,v115@FhC8DeB8BeB8CeH8AeG8JeT6IvhFShBxdB2lB0iBfq?BlqB,v115@FhC8DeB8BeB8CeH8AeG8JeT9IvhF6kBxgBmfBFhBXj?BcqB,v115@FhC8DeB8BeB8CeH8AeG8Je//IvhFTcBxdB2lB0iBSq?BFqB
TLSOIZJ,O,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,X,X,X,X,X,X
TLSOJZI,O,O,O,X,O,X,O,O,X,X
TLSOZIJ,O,O,O,O,O,X,O,O,X,X
TLSOZJI,O,O,O,O,O,X,O,O,X,X
TLZIJSO,O,O,O,X,O,O,X,X,X,X
TLZIJOS,O,O,X,O,O,O,O,X,X,X
TLZISJO,O,O,O,X,O,X,X,O,X,X
TLZISOJ,O,O,O,X,O,X,O,O,X,X
TLZIOJS,O,O,X,O,O,X,O,X,O,X
TLZIOSJ,O,O,X,O,O,X,O,X,O,X
TLZJISO,O,O,O,X,O,X,X,X,X,X
TLZJIOS,O,O,X,O,O,X,O,X,X,X
TLZJSIO,O,O,O,X,O,X,X,X,X,X
TLZJSOI,O,O,O,O,O,X,X,X,X,X
TLZJOIS,O,O,X,O,O,X,O,X,X,X
TLZJOSI,O,O,X,O,O,X,O,X,X,X
TLZSIJO,O,O,O,X,O,X,X,O,X,X
TLZSIOJ,O,O,O,X,O,X,O,O,X,X
TLZSJIO,O,O,O,X,O,X,X,O,X,X
TLZSJOI,O,O,O,O,O,X,X,O,X,X
TLZSOIJ,O,O,O,O,O,X,O,O,X,X
TLZSOJI,O,O,O,O,O,X,O,O,X,X
TLZOIJS,O,O,X,O,O,X,O,X,O,X
TLZOISJ,O,O,X,O,O,X,O,X,O,X
TLZOJIS,O,O,X,O,O,X,O,X,X,X
TLZOJSI,O,O,X,O,O,X,O,X,X,X
TLZOSIJ,O,O,X,O,O,X,O,X,X,X
TLZOSJI,O,O,X,O,O,X,O,X,X,X
TLOIJSZ,O,O,X,X,X,O,X,X,X,X
TLOIJZS,X,X,X,O,O,O,O,X,X,X
TLOISJZ,O,O,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,O,X,X,X,X,O,X
TLOIZJS,X,X,X,O,O,X,O,X,O,X
TLOIZSJ,X,X,X,O,O,X,O,X,O,X
TLOJISZ,O,O,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,O,O,X,O,X,X,X
TLOJSIZ,O,O,X,X,X,X,X,X,X,X
TLOJSZI,O,O,X,X,O,X,O,X,X,X
TLOJZIS,O,O,X,O,O,X,O,X,X,X
TLOJZSI,O,O,X,O,O,X,O,X,X,X
TLOSIJZ,O,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,O,X,X,X,X,X,X
TLOSJIZ,O,O,X,X,X,X,X,X,X,X
TLOSJZI,O,O,X,X,O,X,O,X,X,X
TLOSZIJ,O,O,X,O,O,X,O,X,X,X
TLOSZJI,O,O,X,O,O,X,O,X,X,X
TLOZIJS,O,O,X,O,O,X,O,X,O,X
TLOZISJ,O,O,X,O,O,X,O,X,O,X
TLOZJIS,O,O,X,O,O,X,O,X,X,X
TLOZJSI,O,O,X,O,O,X,O,X,X,X
TLOZSIJ,O,O,X,O,O,X,O,X,X,X
TLOZSJI,O,O,X,O,O,X,O,X,X,X
TJILSZO,O,O,X,X,X,O,X,X,X,X
TJILSOZ,O,O,X,X,X,O,X,X,X,X
TJILZSO,X,X,X,X,O,O,X,X,X,X
TJILZOS,X,X,X,X,O,O,X,X,X,X
TJILOSZ,O,O,X,X,X,O,X,X,X,X
TJILOZS,X,X,X,X,O,O,X,X,X,X
TJISLZO,O,O,O,X,X,O,X,X,X,X
TJISLOZ,O,O,X,X,X,O,X,X,X,X
TJISZLO,O,O,O,X,X,X,X,X,X,X
TJISZOL,O,O,O,X,X,X,X,X,X,X
TJISOLZ,O,O,X,X,X,X,X,X,X,X
TJISOZL,O,O,X,X,X,X,X,X,X,X
TJIZLSO,O,O,O,X,O,O,X,X,X,X
TJIZLOS,O,O,X,X,O,O,O,X,X,X
TJIZSLO,O,O,O,X,X,X,X,X,X,X
TJIZSOL,O,O,O,X,X,X,O,X,X,X
TJIZOLS,O,O,X,X,O,X,O,X,X,X
TJIZOSL,O,O,O,X,X,X,O,X,X,X
TJIOLSZ,O,O,X,X,X,O,X,X,X,X
TJIOLZS,X,X,X,X,O,O,O,X,X,X
TJIOSLZ,O,O,X,X,X,X,X,X,X,X
TJIOSZL,O,O,X,X,X,X,X,X,X,X
TJIOZLS,O,O,X,X,O,X,O,X,X,X
TJIOZSL,O,O,X,X,X,X,O,X,X,X
TJLISZO,O,O,X,X,X,O,X,X,X,X
TJLISOZ,O,O,X,X,X,O,X,X,X,X
TJLIZSO,X,X,X,X,O,O,X,X,X,X
TJLIZOS,X,X,X,X,O,O,X,X,X,X
TJLIOSZ,O,O,X,X,X,O,X,X,X,X
TJLIOZS,X,X,X,O,O,O,X,X,X,X
TJLSIZO,O,O,O,X,X,X,X,X,X,X
TJLSIOZ,O,O,X,X,X,X,X,X,X,X
TJLSZIO,O,O,O,X,O,X,X,X,X,X
TJLSZOI,O,O,O,X,O,X,X,X,X,X
TJLSOIZ,O,O,X,X,X,X,X,X,X,X
TJLSOZI,O,O,O,X,O,X,X,X,X,X
TJLZISO,O,O,O,X,O,X,X,X,X,X
TJLZIOS,O,O,X,O,O,X,O,X,X,X
TJLZSIO,O,O,O,X,O,X,X,X,X,X
TJLZSOI,O,O,O,O,O,X,X,X,X,X
TJLZOIS,O,O,X,O,O,X,O,X,X,X
TJLZOSI,O,O,X,O,O,X,O,X,X,X
TJLOISZ,O,O,X,X,X,X,X,X,X,X
TJLOIZS,X,X,X,O,O,X,O,X,X,X
TJLOSIZ,O,O,X,X,X,X,X,X,X,X
TJLOSZI,O,O,X,X,O,X,O,X,X,X
TJLOZIS,O,O,X,O,O,X,O,X,X,X
TJLOZSI,O,O,X,O,O,X,O,X,X,X
TJSILZO,O,O,O,X,X,X,X,X,X,X
TJSILOZ,O,O,X,X,X,X,X,X,X,X
TJSIZLO,O,O,O,X,X,X,X,X,X,X
TJSIZOL,O,O,O,X,X,X,X,X,X,X
TJSIOLZ,O,O,X,X,X,X,X,X,X,X
TJSIOZL,O,O,X,X,X,X,X,X,X,X
TJSLIZO,O,O,O,X,X,X,X,X,X,X
TJSLIOZ,O,O,X,X,X,X,X,X,X,X
TJSLZIO,O,O,O,X,O,X,X,X,X,X
TJSLZOI,O,O,O,X,O,X,X,X,X,X
TJSLOIZ,O,O,X,X,X,X,X,X,X,X
TJSLOZI,O,O,O,X,O,X,X,X,X,X
TJSZILO,O,O,O,X,X,X,X,X,X,O
TJSZIOL,O,O,O,X,X,X,O,X,X,O
TJSZLIO,O,O,O,X,O,X,X,X,X,O
TJSZLOI,O,O,O,X,O,X,X,X,X,O
TJSZOIL,O,O,O,X,X,X,O,X,X,O
TJSZOLI,O,O,O,X,O,X,O,X,X,O
TJSOILZ,O,O,X,X,X,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,X,X,X,X,X,X,X,X
TJSOLZI,O,O,O,X,O,X,O,X,X,X
TJSOZIL,O,O,O,X,X,X,O,X,X,O
TJSOZLI,O,O,O,X,O,X,O,X,X,O
TJZILSO,O,O,O,X,O,X,X,X,X,X
TJZILOS,O,O,X,O,O,X,O,X,X,X
TJZISLO,O,O,O,X,X,X,X,X,X,O
TJZISOL,O,O,O,X,X,X,O,X,X,O
TJZIOLS,O,O,X,O,O,X,O,X,X,X
TJZIOSL,O,O,O,O,X,X,O,X,X,O
TJZLISO,O,O,O,X,O,X,X,X,X,X
TJZLIOS,O,O,X,O,O,X,O,X,X,X
TJZLSIO,O,O,O,X,O,X,X,X,X,X
TJZLSOI,O,O,O,O,O,X,X,X,X,X
TJZLOIS,O,O,X,O,O,X,O,X,X,X
TJZLOSI,O,O,X,O,O,X,O,X,X,X
TJZSILO,O,O,O,X,X,X,X,X,X,O
TJZSIOL,O,O,O,X,X,X,O,X,X,O
TJZSLIO,O,O,O,X,O,X,X,X,X,O
TJZSLOI,O,O,O,O,O,X,X,X,X,O
TJZSOIL,O,O,O,O,X,X,O,X,X,O
TJZSOLI,O,O,O,O,O,X,O,X,X,O
TJZOILS,O,O,X,O,O,X,O,X,X,X
TJZOISL,O,O,O,O,X,X,O,X,X,O
TJZOLIS,O,O,X,O,O,X,O,X,X,X
TJZOLSI,O,O,X,O,O,X,O,X,X,X
TJZOSIL,O,O,O,O,X,X,O,X,X,O
TJZOSLI,O,O,O,O,O,X,O,X,X,O
TJOILSZ,O,O,X,X,X,X,X,X,X,X
TJOILZS,X,X,X,O,O,X,O,X,X,X
TJOISLZ,O,O,X,X,X,X,X,X,X,X
TJOISZL,O,O,X,X,X,X,X,X,X,X
TJOIZLS,O,O,X,O,O,X,O,X,X,X
TJOIZSL,O,O,X,O,X,X,O,X,X,X
TJOLISZ,O,O,X,X,X,X,X,X,X,X
TJOLIZS,X,X,X,O,O,X,O,X,X,X
TJOLSIZ,O,O,X,X,X,X,X,X,X,X
TJOLSZI,O,O,X,X,O,X,O,X,X,X
TJOLZIS,O,O,X,O,O,X,O,X,X,X
TJOLZSI,O,O,X,O,O,X,O,X,X,X
TJOSILZ,O,O,X,X,X,X,X,X,X,X
TJOSIZL,O,O,X,X,X,X,X,X,X,X
TJOSLIZ,O,O,X,X,X,X,X,X,X,X
TJOSLZI,O,O,O,X,O,X,O,X,X,X
TJOSZIL,O,O,O,X,X,X,O,X,X,O
TJOSZLI,O,O,O,X,O,X,O,X,X,O
TJOZILS,O,O,X,O,O,X,O,X,X,X
TJOZISL,O,O,O,O,X,X,O,X,X,O
TJOZLIS,O,O,X,O,O,X,O,X,X,X
TJOZLSI,O,O,X,O,O,X,O,X,X,X
TJOZSIL,O,O,O,O,X,X,O,X,X,O
TJOZSLI,O,O,O,O,O,X,O,X,X,O
TSILJZO,O,O,O,X,X,O,X,X,X,X
TSILJOZ,O,O,X,X,X,O,X,X,X,X
TSILZJO,O,O,O,X,X,X,X,X,X,X
TSILZOJ,O,O,O,X,X,X,X,X,X,X
TSILOJZ,O,O,X,X,X,X,X,X,X,X
TSILOZJ,O,X,X,X,X,X,X,X,X,X
TSIJLZO,O,O,O,X,X,O,X,X,X,X
TSIJLOZ,O,O,X,X,X,O,X,X,X,X
TSIJZLO,O,O,O,X,X,X,X,X,X,X
TSIJZOL,O,O,O,X,X,X,X,X,X,X
TSIJOLZ,O,O,X,X,X,X,X,X,X,X
TSIJOZL,O,O,X,X,X,X,X,X,X,X
TSIZLJO,O,O,O,X,X,X,X,X,X,X
TSIZLOJ,O,O,O,X,X,X,X,X,X,X
TSIZJLO,O,O,O,X,X,X,X,X,X,X
TSIZJOL,O,O,O,X,X,X,X,X,X,X
TSIZOLJ,O,O,O,X,X,X,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X,X,X,X
TSIOLJZ,O,O,X,X,X,X,X,X,X,X
TSIOLZJ,O,X,X,X,X,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,X,X,X,X,X
TSIOJZL,O,O,X,X,X,X,X,X,X,X
TSIOZLJ,O,O,X,X,X,X,X,X,X,X
TSIOZJL,O,O,X,X,X,X,X,X,X,X
TSLIJZO,O,O,O,X,X,O,X,X,X,X
TSLIJOZ,O,O,X,X,X,O,X,X,X,X
TSLIZJO,O,O,O,X,X,X,X,X,X,X
TSLIZOJ,O,O,O,X,X,X,X,X,X,X
TSLIOJZ,O,O,X,X,X,X,X,X,X,X
TSLIOZJ,O,X,X,O,X,X,X,X,X,X
TSLJIZO,O,O,O,X,X,X,X,X,X,X
TSLJIOZ,O,O,X,X,X,X,X,X,X,X
TSLJZIO,O,O,O,X,O,X,X,O,X,X
TSLJZOI,O,O,O,X,O,X,X,O,X,X
TSLJOIZ,O,O,X,X,X,X,X,X,X,X
TSLJOZI,O,O,O,X,O,X,X,O,X,X
TSLZIJO,O,O,O,X,O,X,X,O,X,X
TSLZIOJ,O,O,O,X,O,X,O,O,X,X
TSLZJIO,O,O,O,X,O,X,X,O,X,X
TSLZJOI,O,O,O,O,O,X,X,O,X,X
TSLZOIJ,O,O,O,O,O,X,O,O,X,X
TSLZOJI,O,O,O,O,O,X,O,O,X,X
TSLOIJZ,O,O,X,X,X,X,X,X,X,X
TSLOIZJ,O,X,X,O,X,X,X,X,X,X
TSLOJIZ,O,O,X,X,X,X,X,X,X,X
TSLOJZI,O,O,O,X,O,X,O,O,X,X
TSLOZIJ,O,O,O,O,O,X,O,O,X,X
TSLOZJI,O,O,O,O,O,X,O,O,X,X
TSJILZO,O,O,O,X,X,X,X,X,X,X
TSJILOZ,O,O,X,X,X,X,X,X,X,X
TSJIZLO,O,O,O,X,X,X,X,X,X,X
TSJIZOL,O,O,O,X,X,X,X,X,X,X
TSJIOLZ,O,O,X,X,X,X,X,X,X,X
TSJIOZL,O,O,X,X,X,X,X,X,X,X
TSJLIZO,O,O,O,X,X,X,X,X,X,X
TSJLIOZ,O,O,X,X,X,X,X,X,X,X
TSJLZIO,O,O,O,X,O,X,X,O,X,X
TSJLZOI,O,O,O,X,O,X,X,O,X,X
TSJLOIZ,O,O,X,X,X,X,X,X,X,X
TSJLOZI,O,O,O,X,O,X,X,O,X,X
TSJZILO,O,O,O,X,X,X,X,O,X,O
TSJZIOL,O,O,O,X,X,X,O,O,X,O
TSJZLIO,O,O,O,X,O,X,X,O,X,O
TSJZLOI,O,O,O,X,O,X,X,O,X,O
TSJZOIL,O,O,O,X,X,X,O,O,X,O
TSJZOLI,O,O,O,X,O,X,O,O,X,O
TSJOILZ,O,O,X,X,X,X,X,X,X,X
TSJOIZL,O,O,X,X,X,X,X,X,X,X
TSJOLIZ,O,O,X,X,X,X,X,X,X,X
TSJOLZI,O,O,O,X,O,X,O,O,X,X
TSJOZIL,O,O,O,X,X,X,O,O,X,O
TSJOZLI,O,O,O,X,O,X,O,O,X,O
TSZILJO,O,O,O,X,X,X,X,O,X,X
TSZILOJ,O,O,O,X,X,X,O,O,X,X
TSZIJLO,O,O,O,X,X,X,X,O,X,O
TSZIJOL,O,O,O,X,X,X,O,O,X,O
TSZIOLJ,O,O,O,X,X,X,O,O,X,X
TSZIOJL,O,O,O,X,X,X,O,O,X,O
TSZLIJO,O,O,O,X,O,X,X,O,X,X
TSZLIOJ,O,O,O,X,O,X,O,O,X,X
TSZLJIO,O,O,O,X,O,X,X,O,X,X
TSZLJOI,O,O,O,O,O,X,X,O,X,X
TSZLOIJ,O,O,O,O,O,X,O,O,X,X
TSZLOJI,O,O,O,O,O,X,O,O,X,X
TSZJILO,O,O,O,X,X,X,X,O,X,O
TSZJIOL,O,O,O,X,X,X,O,O,X,O
TSZJLIO,O,O,O,X,O,X,X,O,X,O
TSZJLOI,O,O,O,O,O,X,X,O,X,O
TSZJOIL,O,O,O,O,X,X,O,O,X,O
TSZJOLI,O,O,O,O,O,X,O,O,X,O
TSZOILJ,O,O,O,O,X,X,O,O,X,X
TSZOIJL,O,O,O,O,X,X,O,O,X,O
TSZOLIJ,O,O,O,O,O,X,O,O,X,X
TSZOLJI,O,O,O,O,O,X,O,O,X,X
TSZOJIL,O,O,O,O,X,X,O,O,X,O
TSZOJLI,O,O,O,O,O,X,O,O,X,O
TSOILJZ,O,O,X,X,X,X,X,X,X,X
TSOILZJ,O,X,X,O,X,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,X,X,X,X,X
TSOIJZL,O,O,X,X,X,X,X,X,X,X
TSOIZLJ,O,O,X,O,X,X,X,X,X,X
TSOIZJL,O,O,X,O,X,X,X,X,X,X
