sequence,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeC7IvhFxcB8kB+lBT?hB/nBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFCdBukBUhB/?nBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFcgBxcBThB/?nBSqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFFdBukBclB6?rBTsBXrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je5/IvhF2gBCdB/nBU?hBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFcBXdBqkBx?lBTnBGrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFdBqkBemB5?mB3lBTsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeG7IvhFxcBThB/nBC?lBUlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeSAJvhFxcBThB/nBU?gBWqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFukBclBXmBT?nBlmBCsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFFcBTgB3hB6?nB8rBRvB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je08IvhFflBlgBxmBC?lBTnBGrB
TLIJSOZ,X,X,X,X,X,X,X,O,X,X,X,X
TLIJZSO,X,X,X,X,X,O,O,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,O,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,O,X,X,X,X
TLIJOZS,X,X,X,X,X,X,O,X,X,X,X,X
TLISJZO,X,X,O,X,X,O,O,O,X,X,X,X
TLISJOZ,X,X,X,X,O,X,X,O,X,X,X,X
TLISZJO,X,X,O,X,X,O,X,O,X,X,X,X
TLISZOJ,X,X,O,X,O,O,X,X,X,X,X,X
TLISOJZ,X,X,O,X,O,X,X,O,X,X,X,X
TLISOZJ,X,X,O,X,O,O,X,O,X,X,X,X
TLIZJSO,X,X,O,X,X,O,O,X,X,X,X,X
TLIZJOS,X,X,O,X,X,X,O,X,X,X,X,X
TLIZSJO,X,X,O,X,X,O,X,X,X,X,X,X
TLIZSOJ,X,X,O,X,X,O,X,X,X,X,X,X
TLIZOJS,X,X,O,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,O,X,X,O,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,O,X,O,O,X,X,X,X
TLIOJZS,X,X,X,X,X,X,O,X,X,X,X,X
TLIOSJZ,X,X,O,X,O,X,O,O,X,X,X,X
TLIOSZJ,X,X,O,X,O,O,X,O,X,X,X,X
TLIOZJS,X,X,O,X,X,X,O,X,X,X,X,X
TLIOZSJ,X,X,O,X,X,O,X,X,X,X,X,X
TLJISZO,X,O,X,X,X,O,O,O,X,X,X,X
TLJISOZ,X,O,X,X,X,O,X,O,O,X,X,X
TLJIZSO,X,O,X,X,X,O,O,X,X,X,X,X
TLJIZOS,X,X,X,O,X,O,O,X,X,X,X,X
TLJIOSZ,X,X,X,O,X,O,X,O,O,X,X,X
TLJIOZS,X,X,X,O,X,O,O,X,X,X,X,X
TLJSIZO,O,O,O,X,X,O,X,O,X,X,X,X
TLJSIOZ,X,O,X,X,X,O,X,O,O,X,X,X
TLJSZIO,O,O,O,X,X,O,X,O,X,X,X,X
TLJSZOI,O,O,O,X,X,O,X,O,O,X,X,X
TLJSOIZ,O,O,O,X,X,O,X,O,O,X,X,X
TLJSOZI,O,O,O,X,X,O,X,O,O,X,X,X
TLJZISO,O,O,O,X,X,O,O,X,X,X,X,X
TLJZIOS,O,X,O,O,X,O,O,X,X,X,X,X
TLJZSIO,O,O,O,X,X,O,X,O,X,X,X,X
TLJZSOI,O,O,O,X,X,O,X,O,O,X,X,X
TLJZOIS,O,X,O,X,X,O,O,X,X,X,X,X
TLJZOSI,O,X,O,X,X,O,X,O,O,X,X,X
TLJOISZ,X,X,X,O,X,X,O,O,O,X,X,X
TLJOIZS,X,X,X,O,X,X,O,X,X,X,X,X
TLJOSIZ,O,X,O,O,X,X,X,O,O,X,X,X
TLJOSZI,O,X,O,O,X,X,X,O,O,X,X,X
TLJOZIS,O,X,O,O,X,X,O,X,X,X,X,X
TLJOZSI,O,X,O,O,X,X,X,O,O,X,X,X
TLSIJZO,O,O,O,X,X,O,O,O,X,X,X,X
TLSIJOZ,X,O,X,X,O,X,X,O,O,X,X,X
TLSIZJO,O,O,O,X,X,O,X,O,X,X,X,X
TLSIZOJ,O,O,O,X,O,O,X,X,X,X,X,X
TLSIOJZ,O,O,O,X,O,X,X,O,O,X,X,X
TLSIOZJ,X,X,O,X,O,O,X,O,X,X,X,X
TLSJIZO,O,O,O,X,X,O,X,O,X,X,X,X
TLSJIOZ,X,O,X,X,O,O,X,O,O,X,X,X
TLSJZIO,O,O,O,X,X,O,X,O,X,X,X,X
TLSJZOI,O,O,O,X,X,O,X,O,O,X,X,X
TLSJOIZ,O,O,O,X,O,O,X,O,O,X,X,X
TLSJOZI,O,O,O,X,O,O,X,O,O,X,X,X
TLSZIJO,O,O,O,X,X,O,X,O,X,X,X,X
TLSZIOJ,O,O,O,X,O,O,X,X,X,X,X,X
TLSZJIO,O,O,O,X,X,O,X,O,X,X,X,X
TLSZJOI,O,O,O,X,X,O,X,O,X,X,X,X
TLSZOIJ,O,O,O,X,O,O,X,O,X,X,X,X
