sequence,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeC7IvhFxcB8kB+lBT?hB/nBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFCdBukBUhB/?nBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFcgBxcBThB/?nBSqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFFdBukBclB6?rBTsBXrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je5/IvhF2gBCdB/nBU?hBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFcBXdBqkBx?lBTnBGrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFdBqkBemB5?mB3lBTsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeG7IvhFxcBThB/nBC?lBUlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeSAJvhFxcBThB/nBU?gBWqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFukBclBXmBT?nBlmBCsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFFcBTgB3hB6?nB8rBRvB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je08IvhFflBlgBxmBC?lBTnBGrB
ITJLOZS,X,X,X,O,X,X,O,X,X,X,X,X
ITJSLZO,O,O,X,X,X,X,O,X,X,X,X,X
ITJSLOZ,X,O,X,X,O,X,X,X,O,X,X,X
ITJSZLO,O,O,X,X,X,X,X,X,X,X,X,X
ITJSZOL,O,O,X,O,X,X,X,X,O,X,X,X
ITJSOLZ,O,O,X,O,O,X,X,X,O,X,X,X
ITJSOZL,O,X,X,O,O,X,X,X,O,X,X,X
ITJZLSO,O,O,X,X,X,X,O,X,X,X,X,X
ITJZLOS,O,X,X,O,X,X,O,X,X,X,X,X
ITJZSLO,O,O,X,X,X,X,X,X,X,X,X,X
ITJZSOL,O,O,X,O,X,X,X,X,X,X,X,X
ITJZOLS,O,X,X,O,X,X,X,X,X,X,X,X
ITJZOSL,O,O,X,O,X,X,X,X,X,X,O,X
ITJOLSZ,X,X,X,O,O,X,X,X,O,X,X,X
ITJOLZS,X,X,X,O,X,X,O,X,X,X,X,X
ITJOSLZ,O,O,X,O,O,X,X,X,O,X,X,X
ITJOSZL,O,X,X,O,O,X,X,X,O,X,X,X
ITJOZLS,O,X,X,O,X,X,X,X,X,X,X,X
ITJOZSL,O,O,X,O,O,X,X,X,X,X,O,X
ITSLJZO,O,O,O,X,X,X,O,O,X,X,X,X
ITSLJOZ,X,O,X,X,O,X,X,O,O,X,X,X
ITSLZJO,O,O,O,X,X,X,X,O,X,X,X,X
ITSLZOJ,O,O,O,X,O,X,X,X,X,X,X,X
ITSLOJZ,O,O,O,X,O,X,X,O,O,X,X,X
ITSLOZJ,X,X,O,X,O,X,X,O,X,X,X,X
ITSJLZO,O,O,O,X,X,X,O,O,X,X,X,X
ITSJLOZ,X,O,X,X,O,X,X,O,O,X,X,X
ITSJZLO,O,O,X,X,X,X,X,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,X,X,O,X,X,X
ITSJOLZ,O,O,O,X,O,X,X,O,O,X,X,X
ITSJOZL,O,X,X,X,O,X,X,X,O,X,X,X
ITSZLJO,O,O,O,X,X,X,X,O,X,X,X,X
ITSZLOJ,O,O,O,X,O,X,X,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X,X,X,X,X,X
ITSZJOL,O,O,X,X,X,X,X,X,O,X,X,X
ITSZOLJ,O,O,O,X,O,X,X,O,X,X,X,X
ITSZOJL,O,O,X,X,O,X,X,X,O,X,X,X
ITSOLJZ,O,O,O,X,O,X,X,O,O,X,X,X
ITSOLZJ,X,X,O,X,O,X,X,O,X,X,X,X
ITSOJLZ,O,O,O,X,O,X,X,O,O,X,X,X
ITSOJZL,O,O,X,X,O,X,X,X,O,X,X,X
ITSOZLJ,O,O,O,X,O,X,X,O,X,X,X,X
ITSOZJL,O,O,X,X,O,X,X,X,O,X,X,X
ITZLJSO,O,X,X,X,X,X,O,X,X,X,X,X
ITZLJOS,O,X,X,O,X,X,O,X,X,X,X,X
ITZLSJO,O,O,X,X,X,X,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,X,X,X,X,X,X
ITZLOJS,X,X,X,O,X,X,X,X,X,X,X,X
ITZLOSJ,X,X,X,O,X,X,X,X,X,X,X,X
ITZJLSO,O,O,X,X,X,X,O,X,X,X,X,X
ITZJLOS,O,X,X,O,X,X,O,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X,X,X,X,X,X
ITZJSOL,O,O,X,O,X,X,X,X,X,X,X,X
ITZJOLS,O,X,X,O,X,X,X,X,X,X,X,X
ITZJOSL,O,O,X,O,X,X,X,X,X,X,O,X
ITZSLJO,O,O,X,X,X,X,X,X,X,X,X,X
ITZSLOJ,O,O,X,X,O,X,X,X,X,X,O,X
ITZSJLO,O,O,X,X,X,X,X,X,X,X,X,X
ITZSJOL,O,O,X,O,X,X,X,X,X,X,O,X
ITZSOLJ,O,O,X,O,O,X,X,X,X,X,O,X
ITZSOJL,O,O,X,O,O,X,X,X,X,X,O,X
ITZOLJS,X,X,X,O,X,X,X,X,X,X,X,X
ITZOLSJ,X,O,X,O,X,X,X,X,X,X,X,X
ITZOJLS,X,O,X,O,X,X,X,X,X,X,X,X
ITZOJSL,X,O,X,O,O,X,X,X,X,X,O,X
ITZOSLJ,X,O,X,O,O,X,X,X,X,X,O,X
ITZOSJL,X,O,X,O,O,X,X,X,X,X,O,X
ITOLJSZ,X,X,X,O,O,X,O,O,X,X,X,X
ITOLJZS,X,X,X,O,X,X,O,X,X,X,X,X
ITOLSJZ,X,X,O,X,O,X,O,O,X,X,X,X
ITOLSZJ,X,X,O,X,O,X,X,O,X,X,X,X
ITOLZJS,X,X,O,O,X,X,O,X,X,X,X,X
ITOLZSJ,X,X,O,O,X,X,X,X,X,X,X,X
ITOJLSZ,X,O,X,O,O,X,O,X,O,X,X,X
ITOJLZS,X,O,X,O,X,X,O,X,X,X,X,X
ITOJSLZ,O,O,X,O,O,X,O,X,O,X,X,X
ITOJSZL,O,O,X,O,O,X,X,X,O,X,X,X
ITOJZLS,O,O,X,O,X,X,O,X,X,X,X,X
ITOJZSL,O,O,X,O,O,X,X,X,X,X,O,X
ITOSLJZ,O,O,O,X,O,X,O,O,O,X,X,X
ITOSLZJ,X,X,O,X,O,X,X,O,X,X,X,X
ITOSJLZ,O,O,O,X,O,X,O,O,O,X,X,X
ITOSJZL,O,O,X,X,O,X,X,X,O,X,X,X
ITOSZLJ,X,O,O,X,O,X,X,O,X,X,X,X
ITOSZJL,O,O,X,X,O,X,X,X,O,X,X,X
ITOZLJS,X,X,X,O,X,X,O,X,X,X,X,X
ITOZLSJ,X,O,X,O,X,X,X,X,X,X,X,X
ITOZJLS,X,O,X,O,X,X,O,X,X,X,X,X
ITOZJSL,X,O,X,O,O,X,X,X,X,X,O,X
ITOZSLJ,X,O,X,O,O,X,X,X,X,X,O,X
ITOZSJL,X,O,X,O,O,X,X,X,X,X,O,X
ILTJSZO,X,X,X,X,X,O,O,O,X,X,X,X
ILTJSOZ,X,X,X,X,X,X,X,O,X,X,X,X
ILTJZSO,X,X,X,X,X,O,O,X,X,X,X,X
ILTJZOS,X,X,X,X,X,X,O,X,X,X,X,X
ILTJOSZ,X,X,X,X,X,X,X,O,X,X,X,X
ILTJOZS,X,X,X,X,X,X,O,X,X,X,X,X
ILTSJZO,X,X,O,X,X,O,O,O,X,X,X,X
ILTSJOZ,X,X,X,X,O,X,X,O,X,X,X,X
ILTSZJO,X,X,O,X,X,O,X,O,X,X,X,X
ILTSZOJ,X,X,O,X,O,O,X,X,X,X,X,X
ILTSOJZ,X,X,O,X,O,X,X,O,X,X,X,X
ILTSOZJ,X,X,O,X,O,O,X,O,X,X,X,X
ILTZJSO,X,X,O,X,X,O,O,X,X,X,X,X
ILTZJOS,X,X,O,X,X,X,O,X,X,X,X,X
ILTZSJO,X,X,O,X,X,O,X,X,X,X,X,X
ILTZSOJ,X,X,O,X,X,O,X,X,X,X,X,X
ILTZOJS,X,X,O,X,X,X,X,X,X,X,X,X
ILTZOSJ,X,X,O,X,X,O,X,X,X,X,X,X
ILTOJSZ,X,X,X,X,O,X,O,O,X,X,X,X
ILTOJZS,X,X,X,X,X,X,O,X,X,X,X,X
ILTOSJZ,X,X,O,X,O,X,O,O,X,X,X,X
ILTOSZJ,X,X,O,X,O,O,X,O,X,X,X,X
ILTOZJS,X,X,O,X,X,X,O,X,X,X,X,X
ILTOZSJ,X,X,O,X,X,O,X,X,X,X,X,X
ILJTSZO,X,O,X,X,X,O,O,O,X,X,X,X
ILJTSOZ,X,O,X,X,X,O,X,O,X,X,X,X
ILJTZSO,X,X,X,X,X,O,O,X,X,X,X,X
ILJTZOS,X,X,X,X,X,O,O,X,X,X,X,X
ILJTOSZ,X,X,X,X,X,O,X,O,X,X,X,X
ILJTOZS,X,X,X,X,X,O,O,X,X,X,X,X
ILJSTZO,X,O,X,X,X,O,O,O,X,X,X,X
ILJSTOZ,X,O,X,X,O,O,X,O,O,X,X,X
ILJSZTO,X,O,X,X,X,O,O,O,X,X,X,X
ILJSZOT,X,O,X,X,X,O,X,X,X,X,X,X
ILJSOTZ,X,O,X,X,O,O,X,O,X,X,X,X
ILJSOZT,X,O,X,X,O,O,X,X,X,X,X,X
ILJZTSO,O,X,O,X,X,O,O,X,X,X,X,X
ILJZTOS,X,X,X,X,X,O,O,X,X,X,X,X
ILJZSTO,O,O,O,X,X,O,O,O,X,X,X,X
ILJZSOT,O,O,O,X,X,O,X,X,X,X,X,X
ILJZOTS,X,X,X,X,X,O,O,X,X,X,X,X
ILJZOST,O,X,O,X,X,O,O,X,X,X,O,X
ILJOTSZ,X,X,X,X,X,O,O,X,X,X,X,X
ILJOTZS,X,X,X,X,X,O,O,X,X,X,X,X
ILJOSTZ,X,O,X,X,X,O,O,O,X,X,X,X
ILJOSZT,X,O,X,X,X,O,O,X,X,X,X,X
ILJOZTS,X,X,X,X,X,O,O,X,X,X,X,X
ILJOZST,X,X,X,X,X,O,O,X,X,X,O,X
ILSTJZO,O,O,O,X,X,O,O,O,X,X,X,X
ILSTJOZ,X,O,X,X,O,X,X,O,O,X,X,X
ILSTZJO,O,O,O,X,X,O,X,O,X,X,X,X
ILSTZOJ,O,O,O,X,O,O,X,X,X,X,X,X
ILSTOJZ,O,O,O,X,O,X,X,O,O,X,X,X
ILSTOZJ,X,X,O,X,O,O,X,O,X,X,X,X
ILSJTZO,X,O,X,X,X,O,O,O,X,X,X,X
ILSJTOZ,X,O,X,X,O,O,X,O,O,X,X,X
ILSJZTO,O,O,O,X,X,O,O,O,X,X,X,X
ILSJZOT,O,O,O,X,X,O,X,X,X,X,X,X
ILSJOTZ,X,O,X,X,O,O,X,O,X,X,X,X
ILSJOZT,X,O,X,X,O,O,X,X,X,X,X,X
ILSZTJO,O,X,O,X,X,O,X,X,X,X,X,X
ILSZTOJ,O,X,O,X,O,O,X,X,X,X,X,X
ILSZJTO,O,X,O,X,X,O,O,O,X,X,X,X
ILSZJOT,O,X,O,X,X,O,X,X,X,X,X,X
ILSZOTJ,O,X,X,X,X,O,X,X,X,X,X,X
ILSZOJT,O,X,O,X,O,X,X,X,X,X,X,X
ILSOTJZ,X,X,X,X,O,O,X,X,X,X,X,X
ILSOTZJ,X,X,X,X,O,O,X,X,X,X,X,X
ILSOJTZ,X,O,X,X,O,O,X,O,X,X,X,X
ILSOJZT,X,O,X,X,O,O,X,X,X,X,X,X
ILSOZTJ,X,X,X,X,X,O,X,X,X,X,X,X
ILSOZJT,X,X,O,X,O,O,X,X,X,X,X,X
ILZTJSO,O,X,O,X,X,O,O,X,X,X,X,X
ILZTJOS,X,X,O,X,X,O,O,X,X,X,X,X
ILZTSJO,O,X,O,X,X,O,X,X,X,X,X,X
ILZTSOJ,O,X,O,X,X,O,X,X,X,X,X,X
ILZTOJS,X,X,O,X,X,X,X,X,X,X,X,X
ILZTOSJ,X,X,O,X,X,O,X,X,X,X,X,X
ILZJTSO,O,X,O,X,X,O,O,X,X,X,X,X
ILZJTOS,X,X,O,X,X,O,O,X,X,X,X,X
ILZJSTO,O,X,O,X,X,O,O,O,X,X,X,X
ILZJSOT,O,X,O,X,X,O,X,X,X,X,X,X
ILZJOTS,X,X,X,X,X,O,O,X,X,X,X,X
ILZJOST,O,X,O,X,X,O,O,X,X,X,O,X
ILZSTJO,O,X,O,X,X,O,X,X,X,X,X,X
ILZSTOJ,O,X,O,X,O,O,X,X,X,X,O,X
ILZSJTO,O,X,O,X,X,O,O,X,X,X,X,X
ILZSJOT,O,X,O,X,X,O,X,X,X,X,X,X
ILZSOTJ,O,X,X,X,X,O,X,X,X,X,O,X
ILZSOJT,O,X,O,X,O,X,X,X,X,X,O,X
ILZOTJS,X,X,X,X,X,O,O,X,X,X,X,X
ILZOTSJ,X,X,X,X,X,O,X,X,X,X,X,X
ILZOJTS,X,X,X,X,X,O,O,X,X,X,X,X
ILZOJST,O,X,O,X,X,O,O,X,X,X,O,X
ILZOSTJ,O,X,X,X,X,O,X,X,X,X,O,X
ILZOSJT,O,X,X,X,X,O,O,X,X,X,O,X
ILOTJSZ,X,X,X,X,O,O,O,X,X,X,X,X
ILOTJZS,X,X,X,X,X,O,O,X,X,X,X,X
ILOTSJZ,X,X,X,X,O,O,O,X,X,X,X,X
ILOTSZJ,X,X,X,X,O,O,X,X,X,X,X,X
ILOTZJS,X,X,X,X,X,O,O,X,X,X,X,X
ILOTZSJ,X,X,X,X,X,O,X,X,X,X,X,X
ILOJTSZ,X,X,X,X,O,O,O,X,X,X,X,X
ILOJTZS,X,X,X,X,X,O,O,X,X,X,X,X
ILOJSTZ,X,X,X,X,O,O,O,O,X,X,X,X
ILOJSZT,X,X,X,X,O,O,O,X,X,X,X,X
ILOJZTS,X,X,X,X,X,O,O,X,X,X,X,X
ILOJZST,X,X,X,X,X,O,O,X,X,X,O,X
ILOSTJZ,X,X,X,X,O,O,O,X,X,X,X,X
ILOSTZJ,X,X,X,X,O,O,X,X,X,X,X,X
ILOSJTZ,X,X,X,X,O,O,O,X,X,X,X,X
ILOSJZT,X,X,X,X,O,O,O,X,X,X,X,X
ILOSZTJ,X,X,X,X,X,O,X,X,X,X,X,X
ILOSZJT,X,X,X,X,O,O,O,X,X,X,X,X
ILOZTJS,X,X,X,X,X,O,O,X,X,X,X,X
ILOZTSJ,X,X,X,X,X,O,X,X,X,X,X,X
ILOZJTS,X,X,X,X,X,O,O,X,X,X,X,X
ILOZJST,X,X,O,X,X,O,O,X,X,X,O,X
ILOZSTJ,X,X,X,X,X,O,X,X,X,X,O,X
ILOZSJT,X,X,X,X,X,O,O,X,X,X,O,X
IJTLSZO,X,O,X,X,X,X,O,X,X,X,X,X
IJTLSOZ,X,O,X,X,X,X,X,X,O,X,X,X
IJTLZSO,X,O,X,X,X,X,O,X,X,X,X,X
IJTLZOS,X,X,X,O,X,X,O,X,X,X,X,X
IJTLOSZ,X,X,X,O,X,X,X,X,O,X,X,X
IJTLOZS,X,X,X,O,X,X,O,X,X,X,X,X
IJTSLZO,O,O,X,X,X,X,O,X,X,X,X,O
IJTSLOZ,X,O,X,X,O,X,X,X,O,X,X,X
IJTSZLO,O,O,X,X,X,X,X,X,X,X,X,O
IJTSZOL,O,O,X,O,X,X,X,X,O,X,X,O
IJTSOLZ,O,O,X,O,O,X,X,X,O,X,X,X
IJTSOZL,O,X,X,O,O,X,X,X,O,X,X,O
IJTZLSO,O,O,X,X,X,X,O,X,X,X,X,X
IJTZLOS,O,X,X,O,X,X,O,X,X,X,X,X
IJTZSLO,O,O,X,X,X,X,X,X,X,X,X,O
IJTZSOL,O,O,X,O,X,X,X,X,X,X,X,O
IJTZOLS,O,X,X,O,X,X,X,X,X,X,X,X
IJTZOSL,O,O,X,O,X,X,X,X,X,O,O,X
IJTOLSZ,X,O,X,O,O,X,X,X,O,X,X,X
IJTOLZS,X,O,X,O,X,X,O,X,X,X,X,X
IJTOSLZ,O,O,X,O,O,X,X,X,O,X,X,X
IJTOSZL,O,O,X,O,O,X,X,X,O,X,X,X
IJTOZLS,O,O,X,O,X,X,X,X,X,X,X,X
IJTOZSL,O,O,X,O,O,X,X,X,X,O,O,X
IJLTSZO,X,O,X,X,X,O,O,O,X,X,X,X
IJLTSOZ,X,O,X,X,X,O,X,O,O,X,X,X
IJLTZSO,X,O,X,X,X,O,O,X,X,X,X,X
IJLTZOS,X,X,X,O,X,O,O,X,X,X,X,X
IJLTOSZ,X,X,X,O,X,O,X,X,O,X,X,X
IJLTOZS,X,X,X,O,X,O,O,X,X,X,X,X
IJLSTZO,X,O,X,X,X,O,O,O,X,X,X,O
IJLSTOZ,X,O,X,X,O,O,X,O,O,X,X,X
IJLSZTO,X,O,X,X,X,O,O,O,X,X,X,O
IJLSZOT,X,O,X,X,X,O,X,X,X,X,X,X
IJLSOTZ,X,O,X,X,O,O,X,O,X,X,X,X
IJLSOZT,X,O,X,X,O,O,X,X,X,X,X,X
IJLZTSO,O,X,O,X,X,O,O,X,X,X,X,X
IJLZTOS,X,X,X,O,X,O,O,X,X,X,X,X
IJLZSTO,O,O,O,X,X,O,O,O,X,X,X,O
IJLZSOT,O,O,O,X,X,O,X,X,X,X,X,X
IJLZOTS,X,X,X,O,X,O,O,X,X,X,X,X
IJLZOST,O,X,O,X,X,O,O,X,X,O,O,X
IJLOTSZ,X,O,X,O,X,O,O,X,X,X,X,X
IJLOTZS,X,O,X,O,X,O,O,X,X,X,X,X
IJLOSTZ,X,O,X,O,X,O,O,O,X,X,X,X
IJLOSZT,X,O,X,X,X,O,O,X,X,X,X,X
IJLOZTS,X,X,X,O,X,O,O,X,X,X,X,X
IJLOZST,X,O,X,X,X,O,O,X,X,O,O,X
IJSTLZO,O,O,O,X,X,O,O,O,X,X,X,O
IJSTLOZ,X,O,X,X,O,O,X,O,O,X,X,X
IJSTZLO,O,O,X,X,X,X,X,X,X,X,X,O
IJSTZOL,O,O,X,O,X,X,X,X,O,X,X,O
IJSTOLZ,O,O,O,O,O,X,X,O,O,X,X,X
IJSTOZL,O,X,X,O,O,X,X,X,O,X,X,O
IJSLTZO,X,O,X,X,X,O,O,O,X,X,X,O
IJSLTOZ,X,O,X,X,O,O,X,O,O,X,X,X
IJSLZTO,O,O,O,X,X,O,O,O,X,X,X,O
IJSLZOT,O,O,O,X,X,O,X,X,X,X,X,X
IJSLOTZ,X,O,X,X,O,O,X,O,X,X,X,X
IJSLOZT,X,O,X,X,O,O,X,X,X,X,X,X
IJSZTLO,O,X,X,X,X,X,X,X,X,X,X,O
IJSZTOL,O,X,X,O,X,X,X,X,O,X,X,O
IJSZLTO,O,O,X,X,X,X,X,X,X,X,X,O
IJSZLOT,O,O,X,X,X,X,X,X,X,X,X,X
IJSZOTL,X,X,X,O,X,X,X,X,X,O,O,O
IJSZOLT,O,X,X,X,X,X,X,X,X,O,O,X
IJSOTLZ,X,O,X,O,O,X,X,X,O,X,X,X
IJSOTZL,X,O,X,O,O,X,X,X,O,X,X,O
IJSOLTZ,X,O,X,O,O,X,X,X,X,X,X,X
IJSOLZT,X,O,X,X,O,X,X,X,X,X,X,X
IJSOZTL,X,O,X,O,X,X,X,X,X,O,O,O
IJSOZLT,O,O,X,X,O,X,X,X,X,O,O,X
IJZTLSO,O,O,X,X,X,X,O,X,X,X,X,X
IJZTLOS,O,X,X,O,X,X,O,X,X,X,X,X
IJZTSLO,O,O,X,X,X,X,X,X,X,X,X,O
IJZTSOL,O,O,X,O,X,X,X,X,X,X,X,O
IJZTOLS,O,X,X,O,X,X,X,X,X,X,X,X
IJZTOSL,O,O,X,O,X,X,X,X,X,O,O,X
IJZLTSO,O,X,X,X,X,X,O,X,X,X,X,X
IJZLTOS,O,X,X,O,X,X,O,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X,O,X,X,X,X,O
IJZLSOT,O,O,X,X,X,X,X,X,X,X,X,X
IJZLOTS,X,X,X,O,X,X,O,X,X,X,X,X
IJZLOST,O,X,X,X,X,X,X,X,X,O,O,X
IJZSTLO,O,X,X,X,X,X,X,X,X,X,X,O
IJZSTOL,O,X,X,O,X,X,X,X,O,X,O,O
IJZSLTO,O,O,X,X,X,X,X,X,X,X,X,O
IJZSLOT,O,O,X,X,X,X,X,X,X,X,X,X
IJZSOTL,X,X,X,O,X,X,X,X,X,O,O,O
IJZSOLT,O,X,X,X,X,X,X,X,X,O,O,X
IJZOTLS,X,O,X,O,X,X,X,X,X,X,X,X
IJZOTSL,X,O,X,O,X,X,X,X,X,O,O,X
IJZOLTS,X,X,X,O,X,X,X,X,X,X,X,X
IJZOLST,O,O,X,O,X,X,X,X,X,O,O,X
IJZOSTL,X,O,X,O,X,X,X,X,X,O,O,O
IJZOSLT,X,O,X,X,X,X,X,X,X,O,O,X
IJOTLSZ,X,O,X,O,O,X,O,X,X,X,X,X
IJOTLZS,X,O,X,O,X,X,O,X,X,X,X,X
IJOTSLZ,X,O,X,O,O,X,O,X,X,X,X,X
IJOTSZL,X,O,X,O,O,X,X,X,X,X,X,X
IJOTZLS,X,O,X,O,X,X,O,X,X,X,X,X
IJOTZSL,X,O,X,O,O,X,X,X,X,O,O,X
IJOLTSZ,X,O,X,O,O,X,O,X,X,X,X,X
IJOLTZS,X,O,X,O,X,X,O,X,X,X,X,X
IJOLSTZ,X,O,X,O,O,X,O,X,X,X,X,X
IJOLSZT,X,O,X,X,O,X,O,X,X,X,X,X
IJOLZTS,X,X,X,O,X,X,O,X,X,X,X,X
IJOLZST,X,O,X,O,X,X,O,X,X,O,O,X
IJOSTLZ,X,O,X,O,O,X,O,X,O,X,X,X
IJOSTZL,X,O,X,O,O,X,X,X,O,X,X,O
IJOSLTZ,X,O,X,O,O,X,O,X,X,X,X,X
IJOSLZT,X,O,X,X,O,X,O,X,X,X,X,X
IJOSZTL,X,O,X,O,X,X,X,X,X,O,O,O
IJOSZLT,X,O,X,X,O,X,X,X,X,O,O,X
IJOZTLS,X,O,X,O,X,X,O,X,X,X,X,X
IJOZTSL,X,O,X,O,O,X,X,X,X,O,O,X
IJOZLTS,X,X,X,O,X,X,O,X,X,X,X,X
IJOZLST,O,O,X,O,X,X,O,X,X,O,O,X
IJOZSTL,X,O,X,O,X,X,X,X,X,O,O,O
IJOZSLT,X,O,X,X,O,X,X,X,X,O,O,X
ISTLJZO,O,O,O,X,X,O,O,O,X,X,X,X
ISTLJOZ,X,O,X,X,O,X,X,O,O,X,X,X
ISTLZJO,O,O,O,X,X,O,X,O,X,X,X,X
ISTLZOJ,O,O,O,X,O,O,X,X,X,X,X,X
ISTLOJZ,O,O,O,X,O,X,X,O,O,X,X,X
ISTLOZJ,X,X,O,X,O,O,X,O,X,X,X,X
ISTJLZO,O,O,O,X,X,O,O,O,X,X,X,X
ISTJLOZ,X,O,X,X,O,O,X,O,O,X,X,X
ISTJZLO,O,O,X,X,X,X,X,X,X,X,X,X
ISTJZOL,O,O,X,X,X,X,X,X,O,X,X,X
ISTJOLZ,O,O,O,X,O,X,X,O,O,X,X,X
ISTJOZL,O,X,X,X,O,X,X,X,O,X,X,X
ISTZLJO,O,O,O,X,X,X,X,O,X,X,X,X
ISTZLOJ,O,O,O,X,O,X,X,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X,X,X,X,X
ISTZJOL,O,O,X,X,X,X,X,X,O,X,X,X
ISTZOLJ,O,O,O,X,O,X,X,O,X,X,X,X
ISTZOJL,O,O,X,X,O,X,X,X,O,X,X,X
ISTOLJZ,O,O,O,X,O,O,X,O,O,X,X,X
ISTOLZJ,X,X,O,X,O,O,X,O,X,X,X,X
ISTOJLZ,O,O,O,X,O,O,X,O,O,X,X,X
ISTOJZL,O,O,X,X,O,X,X,X,O,X,X,X
ISTOZLJ,O,O,O,X,O,X,X,O,X,X,X,X
ISTOZJL,O,O,X,X,O,X,X,X,O,X,X,X
ISLTJZO,O,O,O,X,X,O,O,O,X,X,X,X
ISLTJOZ,X,O,X,X,O,X,X,O,O,X,X,X
ISLTZJO,O,O,O,X,X,O,X,O,X,X,X,X
ISLTZOJ,O,O,O,X,O,O,X,X,X,X,X,X
ISLTOJZ,O,O,O,X,O,X,X,O,O,X,X,X
ISLTOZJ,X,X,O,X,O,O,X,O,X,X,X,X
ISLJTZO,X,O,X,X,X,O,O,O,X,X,X,X
ISLJTOZ,X,O,X,X,O,O,X,O,O,X,X,X
ISLJZTO,O,O,O,X,X,O,O,O,X,X,X,X
ISLJZOT,O,O,O,X,X,O,X,X,X,X,X,X
ISLJOTZ,X,O,X,X,O,O,X,O,X,X,X,X
ISLJOZT,X,O,X,X,O,O,X,X,X,X,X,X
ISLZTJO,O,X,O,X,X,O,X,X,X,X,X,X
ISLZTOJ,O,X,O,X,O,O,X,X,X,X,X,X
ISLZJTO,O,X,O,X,X,O,O,O,X,X,X,X
ISLZJOT,O,X,O,X,X,O,X,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,O,X,X,X,X,X,X
ISLZOJT,O,X,O,X,O,X,X,X,X,X,X,X
ISLOTJZ,X,X,X,X,O,O,X,X,X,X,X,X
ISLOTZJ,X,X,X,X,O,O,X,X,X,X,X,X
ISLOJTZ,X,O,X,X,O,O,X,O,X,X,X,X
ISLOJZT,X,O,X,X,O,O,X,X,X,X,X,X
ISLOZTJ,X,X,X,X,X,O,X,X,X,X,X,X
ISLOZJT,X,X,O,X,O,O,X,X,X,X,X,X
ISJTLZO,O,O,O,X,X,O,O,O,X,X,X,O
ISJTLOZ,X,O,X,X,O,O,X,O,O,X,X,X
ISJTZLO,O,O,X,X,X,X,X,X,X,X,X,O
ISJTZOL,O,O,X,X,X,X,X,X,O,X,X,O
ISJTOLZ,O,O,O,X,O,X,X,O,O,X,X,X
ISJTOZL,O,X,X,X,O,X,X,X,O,X,X,O
ISJLTZO,X,O,X,X,X,O,O,O,X,X,X,O
ISJLTOZ,X,O,X,X,O,O,X,O,O,X,X,X
ISJLZTO,O,O,O,X,X,O,O,O,X,X,X,O
ISJLZOT,O,O,O,X,X,O,X,X,X,X,X,X
ISJLOTZ,X,O,X,X,O,O,X,O,X,X,X,X
ISJLOZT,X,O,X,X,O,O,X,X,X,X,X,X
ISJZTLO,O,X,X,X,X,X,X,X,X,X,X,O
ISJZTOL,O,X,X,X,X,X,X,X,O,X,X,O
ISJZLTO,O,O,X,X,X,X,X,X,X,X,X,O
ISJZLOT,O,O,X,X,X,X,X,X,X,X,X,X
ISJZOTL,X,X,X,X,X,X,X,X,X,X,O,O
ISJZOLT,O,X,X,X,X,X,X,X,X,X,O,X
ISJOTLZ,X,O,X,X,O,X,X,X,O,X,X,X
ISJOTZL,X,O,X,X,O,X,X,X,O,X,X,O
ISJOLTZ,X,O,X,X,O,X,X,X,X,X,X,X
ISJOLZT,X,O,X,X,O,X,X,X,X,X,X,X
ISJOZTL,X,O,X,X,X,X,X,X,X,X,O,O
ISJOZLT,O,O,X,X,O,X,X,X,X,X,O,X
ISZTLJO,O,X,O,X,X,X,X,O,X,X,X,X
ISZTLOJ,O,X,O,X,O,X,X,X,X,X,O,X
ISZTJLO,O,X,X,X,X,X,X,X,X,X,X,X
ISZTJOL,O,X,X,X,X,X,X,X,O,X,O,X
ISZTOLJ,O,X,O,X,O,X,X,O,X,X,O,X
ISZTOJL,O,X,X,X,O,X,X,X,O,X,O,X
ISZLTJO,O,X,O,X,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,O,X,X,X,X,X,O,X
ISZLJTO,O,X,O,X,X,X,X,O,X,X,X,X
ISZLJOT,O,X,O,X,X,X,X,X,X,X,X,X
