sequence,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8JeF7IvhFicBflB?5lBcmBTiBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8JeR7IvhFzcBflB?lgBSnB8qBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhF3bBUdB?xqB6rBlqBTsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFRcBlgB?UiB/qBTmBSxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8JeC7IvhFehBXgB?5mBTiBlqBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFCcB/iB?0hBRlBlqBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFzbBUdB?1mBxqB/qBSxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhF3bBylB?5mBTiBlqBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8JeC7IvhFehBUdB?XgB5mBlqBTsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFicBUlB?/rB5lBGsBFsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhF3bBUdB?ylB5mBlqBTsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFRcBUhB?FlBCrBXsBGsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFWhBFlB?xmBCrB/sB0rB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFlcBKmB?UlB5lBGsBXsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez8IvhFRgBSnB?flBlgB8qBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFxgBTiB?3gB6rBlqBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFWhBRlB?CnBlqB/sB0rB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez/IvhFRhBSnB?uqBFlB/rBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFUdBxgB?3gB6rBlqBTsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeq/IvhFRcBlgB?cmBTiB/qBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhF3bBTiB?xqB6rBlqBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFRcBSnB?TlB/rBlqBUsB
TIJZSLO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TIJOLZS,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TIJOSLZ,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TISLJOZ,O,X,O,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TISLZJO,O,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TISLZOJ,O,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISLOJZ,X,X,O,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TISLOZJ,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISJLZO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZLOJ,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,X,X,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TISOLZJ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TISOJLZ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZLJOS,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZLSJO,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZLSOJ,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZLOJS,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZLOSJ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZJLSO,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZOLSJ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZOJLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TIOLJZS,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TIOLSJZ,X,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TIOLSZJ,X,X,O,X,O,O,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOLZJS,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOJLSZ,X,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TIOJLZS,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TIOJSLZ,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,O,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOSLZJ,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOSJLZ,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIOZLSJ,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIOZJLS,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLIJSOZ,X,X,X,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TLIJOSZ,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X
TLISJZO,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLISJOZ,X,X,X,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLISZJO,X,X,X,X,X,X,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TLISZOJ,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TLISOJZ,X,X,X,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLISOZJ,X,X,X,X,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLIZJOS,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X
TLIZSJO,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLIZSOJ,X,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X
TLIOSJZ,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TLIOZJS,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TLJISZO,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLJISOZ,X,X,X,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TLJIOSZ,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X
TLJSIZO,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLJSIOZ,X,X,X,X,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLJSZIO,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X
TLJZSIO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X
TLJOSIZ,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJOSZI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X
TLJOZSI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLSIJZO,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLSIJOZ,X,X,X,X,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLSIZJO,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TLSIZOJ,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TLSIOJZ,X,X,X,X,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLSIOZJ,X,O,X,X,O,O,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLSJIOZ,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSJOZI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSZIJO,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSZJIO,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSZJOI,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSZOJI,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X
TLZISJO,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLZISOJ,X,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,O,X,X,X,X,X
TLZJISO,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X
TLZJIOS,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X
TLZJSIO,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZSIJO,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZSJIO,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZSJOI,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZSOJI,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLZOJSI,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZOSIJ,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZOSJI,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X
