sequence,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBxcBTeBlmBcs?BCsB,v115@AhB8FeC8DeG8CeG8BeC8Jex6IvhFXdBTeBifB+nBlm?B0rB,v115@AhB8FeC8DeG8CeG8BeC8Jex6IvhF0cBTeBifB+nBlm?BXsB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBxcBTeBFiBSs?B0rB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbB0cBSjBxmBln?BzrB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbB5iBTeB0mBas?BlrB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBlcBTeBxmBCs?BcsB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBViBTeBxmBSs?B0rB
TIJSOLZ,X,O,X,O,O,X,O,O
TIJSOZL,O,X,X,X,O,O,X,O
TIJZLSO,X,X,O,X,O,O,X,X
TIJZLOS,X,X,O,X,X,O,X,X
TIJZSLO,X,X,X,X,O,O,X,X
TIJZSOL,X,X,X,X,X,O,X,O
TIJZOLS,X,X,O,X,X,O,X,X
TIJZOSL,X,X,X,X,X,O,X,O
TIJOLSZ,X,O,O,X,O,X,O,O
TIJOLZS,X,O,O,X,O,X,O,X
TIJOSLZ,X,O,X,O,O,X,O,O
TIJOSZL,O,X,X,X,O,O,X,O
TIJOZLS,X,X,O,X,O,O,X,X
TIJOZSL,X,X,X,X,O,O,X,O
TISLJZO,X,X,X,X,O,X,X,X
TISLJOZ,X,X,X,O,O,X,X,O
TISLZJO,X,X,X,X,O,X,X,X
TISLZOJ,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,O,X,X,X,O
TISLOZJ,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,O,X,O,X
TISJLOZ,X,X,X,O,O,X,O,O
TISJZLO,X,X,X,X,O,O,X,X
TISJZOL,X,X,X,X,X,O,X,O
TISJOLZ,X,X,X,O,O,X,O,O
TISJOZL,O,X,X,X,O,O,X,O
TISZLJO,X,X,X,X,O,O,X,X
TISZLOJ,X,X,X,X,X,O,X,X
TISZJLO,X,X,X,X,O,O,X,X
TISZJOL,X,X,X,X,X,O,X,O
TISZOLJ,X,X,X,X,X,O,X,X
TISZOJL,X,X,X,X,X,O,X,O
TISOLJZ,X,X,X,X,X,X,X,O
TISOLZJ,X,X,X,X,X,X,X,X
TISOJLZ,X,X,X,O,X,X,O,O
TISOJZL,O,X,X,X,X,O,X,O
TISOZLJ,X,X,X,X,X,O,X,X
TISOZJL,X,X,X,X,X,O,X,O
TIZLJSO,X,X,O,X,O,O,X,X
TIZLJOS,X,X,O,X,X,O,X,X
TIZLSJO,X,X,O,X,O,O,X,X
TIZLSOJ,X,X,X,X,X,O,X,X
TIZLOJS,X,X,O,X,X,O,X,X
TIZLOSJ,X,X,X,X,X,O,X,X
TIZJLSO,X,X,O,X,O,O,X,X
TIZJLOS,X,X,O,X,X,O,X,X
TIZJSLO,X,X,X,X,O,O,X,X
TIZJSOL,X,X,X,X,X,O,X,O
TIZJOLS,X,X,O,X,X,O,X,X
TIZJOSL,X,X,X,X,X,O,X,O
TIZSLJO,X,X,X,X,O,O,X,X
TIZSLOJ,X,X,X,X,X,O,X,X
TIZSJLO,X,X,X,X,O,O,X,X
TIZSJOL,X,X,X,X,X,O,X,O
TIZSOLJ,X,X,X,X,X,O,X,X
TIZSOJL,X,X,X,X,X,O,X,O
TIZOLJS,X,X,X,X,X,O,X,X
TIZOLSJ,X,X,X,X,X,O,X,X
TIZOJLS,X,X,X,X,X,O,X,X
TIZOJSL,X,X,X,X,X,O,X,O
TIZOSLJ,X,X,X,X,X,O,X,X
TIZOSJL,X,X,X,X,X,O,X,O
TIOLJSZ,X,X,X,X,X,X,X,O
TIOLJZS,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,O
TIOLSZJ,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,O,O
TIOJLZS,X,X,X,X,X,X,O,X
TIOJSLZ,X,X,X,O,X,X,O,O
TIOJSZL,O,X,X,X,X,O,X,O
TIOJZLS,X,X,X,X,X,O,X,X
TIOJZSL,X,X,X,X,X,O,X,O
TIOSLJZ,X,X,X,X,X,X,X,O
TIOSLZJ,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,O,X,X,O,O
TIOSJZL,O,X,X,X,X,O,X,O
TIOSZLJ,X,X,X,X,X,O,X,X
TIOSZJL,X,X,X,X,X,O,X,O
TIOZLJS,X,X,X,X,X,O,X,X
TIOZLSJ,X,X,X,X,X,O,X,X
TIOZJLS,X,X,X,X,X,O,X,X
TIOZJSL,X,X,X,X,X,O,X,O
TIOZSLJ,X,X,X,X,X,O,X,X
TIOZSJL,X,X,X,X,X,O,X,O
TLIJSZO,X,O,O,O,O,X,O,X
TLIJSOZ,X,O,O,O,O,X,O,X
TLIJZSO,X,O,O,O,O,X,O,X
TLIJZOS,X,O,O,O,X,X,O,X
TLIJOSZ,X,O,O,O,O,X,O,X
TLIJOZS,X,O,O,O,O,X,O,X
TLISJZO,X,O,O,O,O,X,O,X
TLISJOZ,X,O,O,O,O,X,O,X
TLISZJO,X,X,O,O,O,X,X,X
TLISZOJ,X,X,X,O,X,X,X,X
TLISOJZ,X,X,X,O,X,X,O,X
TLISOZJ,X,X,X,O,X,X,X,X
TLIZJSO,X,O,O,O,O,X,X,X
TLIZJOS,X,O,O,O,X,X,X,X
TLIZSJO,X,X,O,O,O,X,X,X
TLIZSOJ,X,X,X,O,X,X,X,X
TLIZOJS,X,X,O,O,X,X,X,X
TLIZOSJ,X,X,X,O,X,X,X,X
TLIOJSZ,X,O,O,O,X,X,O,X
TLIOJZS,X,O,O,O,X,X,O,X
TLIOSJZ,X,X,X,O,X,X,O,X
TLIOSZJ,X,X,X,O,X,X,X,X
TLIOZJS,X,X,O,O,X,X,X,X
TLIOZSJ,X,X,X,O,X,X,X,X
TLJISZO,X,O,O,O,O,X,O,X
TLJISOZ,X,O,O,O,O,X,O,X
TLJIZSO,X,O,O,O,O,X,O,X
TLJIZOS,X,O,O,O,X,X,O,X
TLJIOSZ,X,O,O,O,O,X,O,X
TLJIOZS,X,O,O,O,O,X,O,X
TLJSIZO,X,O,O,O,O,X,O,X
TLJSIOZ,X,O,O,O,O,X,O,X
TLJSZIO,X,O,O,O,O,X,X,X
TLJSZOI,X,O,O,O,O,X,X,X
TLJSOIZ,X,O,O,O,X,X,O,X
TLJSOZI,X,O,O,O,O,X,X,X
TLJZISO,X,O,O,O,X,X,X,X
TLJZIOS,X,O,O,O,X,X,X,X
TLJZSIO,X,O,O,O,O,X,X,X
TLJZSOI,X,O,O,O,O,X,X,X
TLJZOIS,X,O,O,O,X,X,X,X
TLJZOSI,X,O,O,O,X,X,X,X
TLJOISZ,X,O,O,O,X,X,O,X
TLJOIZS,X,O,O,O,X,X,O,X
TLJOSIZ,X,O,O,O,X,X,O,X
TLJOSZI,X,O,O,O,O,X,X,X
TLJOZIS,X,O,O,O,X,X,X,X
TLJOZSI,X,O,O,O,O,X,X,X
TLSIJZO,X,O,O,O,O,X,O,X
TLSIJOZ,X,O,O,O,O,X,O,X
TLSIZJO,X,X,O,O,O,X,X,X
TLSIZOJ,X,X,X,O,X,X,X,X
TLSIOJZ,X,X,X,O,X,X,O,X
TLSIOZJ,X,X,X,O,X,X,X,X
TLSJIZO,X,O,O,O,O,X,O,X
TLSJIOZ,X,O,O,O,O,X,O,X
TLSJZIO,X,O,O,O,O,X,X,X
TLSJZOI,X,O,O,O,O,X,X,X
TLSJOIZ,X,O,O,O,X,X,O,X
TLSJOZI,X,O,O,O,O,X,X,X
TLSZIJO,X,X,O,O,X,X,X,X
TLSZIOJ,X,X,X,O,X,X,X,X
TLSZJIO,X,X,O,O,O,X,X,X
TLSZJOI,X,X,O,O,O,X,X,X
TLSZOIJ,X,X,X,O,X,X,X,X
TLSZOJI,X,X,X,O,X,X,X,X
TLSOIJZ,X,X,X,O,X,X,O,X
TLSOIZJ,X,X,X,O,X,X,X,X
TLSOJIZ,X,X,X,O,X,X,O,X
TLSOJZI,X,X,X,O,O,X,X,X
TLSOZIJ,X,X,X,O,X,X,X,X
TLSOZJI,X,X,X,O,O,X,X,X
TLZIJSO,X,O,O,O,X,X,X,X
TLZIJOS,X,O,O,O,X,X,X,X
TLZISJO,X,X,O,O,X,X,X,X
TLZISOJ,X,X,X,O,X,X,X,X
TLZIOJS,X,X,O,O,X,X,X,X
TLZIOSJ,X,X,X,O,X,X,X,X
TLZJISO,X,O,O,O,X,X,X,X
TLZJIOS,X,O,O,O,X,X,X,X
TLZJSIO,X,O,O,O,O,X,X,X
TLZJSOI,X,O,O,O,O,X,X,X
TLZJOIS,X,O,O,O,X,X,X,X
TLZJOSI,X,O,O,O,X,X,X,X
TLZSIJO,X,X,O,O,X,X,X,X
TLZSIOJ,X,X,X,O,X,X,X,X
TLZSJIO,X,X,O,O,O,X,X,X
TLZSJOI,X,X,O,O,O,X,X,X
TLZSOIJ,X,X,X,O,X,X,X,X
TLZSOJI,X,X,X,O,X,X,X,X
TLZOIJS,X,X,O,O,X,X,X,X
TLZOISJ,X,X,X,O,X,X,X,X
TLZOJIS,X,X,O,O,X,X,X,X
TLZOJSI,X,X,O,O,X,X,X,X
TLZOSIJ,X,X,X,O,X,X,X,X
TLZOSJI,X,X,X,O,X,X,X,X
TLOIJSZ,X,O,O,O,X,X,O,X
TLOIJZS,X,O,O,O,X,X,O,X
TLOISJZ,X,X,X,O,X,X,O,X
TLOISZJ,X,X,X,O,X,X,X,X
TLOIZJS,X,X,O,O,X,X,X,X
TLOIZSJ,X,X,X,O,X,X,X,X
TLOJISZ,X,O,O,O,X,X,O,X
TLOJIZS,X,O,O,O,X,X,O,X
TLOJSIZ,X,O,O,O,X,X,O,X
TLOJSZI,X,O,O,O,O,X,X,X
TLOJZIS,X,O,O,O,X,X,X,X
TLOJZSI,X,O,O,O,O,X,X,X
TLOSIJZ,X,X,X,O,X,X,O,X
TLOSIZJ,X,X,X,O,X,X,X,X
TLOSJIZ,X,X,X,O,X,X,O,X
TLOSJZI,X,X,X,O,O,X,X,X
TLOSZIJ,X,X,X,O,X,X,X,X
TLOSZJI,X,X,X,O,O,X,X,X
TLOZIJS,X,X,O,O,X,X,X,X
TLOZISJ,X,X,X,O,X,X,X,X
TLOZJIS,X,X,O,O,X,X,X,X
TLOZJSI,X,X,O,O,O,X,X,X
TLOZSIJ,X,X,X,O,X,X,X,X
TLOZSJI,X,X,X,O,O,X,X,X
TJILSZO,X,O,O,X,O,X,O,X
TJILSOZ,X,O,O,O,O,X,O,X
TJILZSO,X,O,O,X,O,X,O,X
TJILZOS,X,O,O,X,X,X,O,X
TJILOSZ,X,O,O,O,O,X,O,X
TJILOZS,X,O,O,X,O,X,O,X
TJISLZO,X,O,X,X,O,X,O,X
TJISLOZ,X,O,X,O,O,X,O,X
TJISZLO,X,X,X,X,O,O,X,X
TJISZOL,X,X,X,X,X,O,X,X
TJISOLZ,X,O,X,O,O,X,O,X
TJISOZL,O,X,X,X,O,O,X,X
TJIZLSO,X,X,O,X,O,O,X,X
TJIZLOS,X,X,O,X,X,O,X,X
TJIZSLO,X,X,X,X,O,O,X,X
TJIZSOL,X,X,X,X,X,O,X,X
TJIZOLS,X,X,O,X,X,O,X,X
TJIZOSL,X,X,X,X,X,O,X,X
TJIOLSZ,X,O,O,X,O,X,O,X
TJIOLZS,X,O,O,X,O,X,O,X
TJIOSLZ,X,O,X,O,O,X,O,X
TJIOSZL,O,X,X,X,O,O,X,X
TJIOZLS,X,X,O,X,O,O,X,X
TJIOZSL,X,X,X,X,O,O,X,X
TJLISZO,X,O,O,O,O,X,O,X
TJLISOZ,X,O,O,O,O,X,O,X
TJLIZSO,X,O,O,O,O,X,O,X
TJLIZOS,X,O,O,O,X,X,O,X
TJLIOSZ,X,O,O,O,O,X,O,X
TJLIOZS,X,O,O,O,O,X,O,X
TJLSIZO,X,O,O,O,O,X,O,X
TJLSIOZ,X,O,O,O,O,X,O,X
TJLSZIO,X,O,O,O,O,X,X,X
TJLSZOI,X,O,O,O,O,X,X,X
TJLSOIZ,X,O,O,O,X,X,O,X
TJLSOZI,X,O,O,O,O,X,X,X
TJLZISO,X,O,O,O,X,X,X,X
TJLZIOS,X,O,O,O,X,X,X,X
TJLZSIO,X,O,O,O,O,X,X,X
TJLZSOI,X,O,O,O,O,X,X,X
TJLZOIS,X,O,O,O,X,X,X,X
TJLZOSI,X,O,O,O,X,X,X,X
TJLOISZ,X,O,O,O,X,X,O,X
TJLOIZS,X,O,O,O,X,X,O,X
TJLOSIZ,X,O,O,O,X,X,O,X
TJLOSZI,X,O,O,O,O,X,X,X
TJLOZIS,X,O,O,O,X,X,X,X
TJLOZSI,X,O,O,O,O,X,X,X
TJSILZO,X,O,X,X,O,X,O,X
TJSILOZ,X,O,X,O,O,X,O,X
TJSIZLO,X,X,X,X,O,O,X,X
TJSIZOL,X,X,X,X,X,O,X,X
TJSIOLZ,X,O,X,O,O,X,O,X
TJSIOZL,O,X,X,X,O,O,X,X
TJSLIZO,X,O,O,O,O,X,O,X
TJSLIOZ,X,O,O,O,O,X,O,X
TJSLZIO,X,O,O,O,O,X,X,X
TJSLZOI,X,O,O,O,O,X,X,X
TJSLOIZ,X,O,O,O,X,X,O,X
TJSLOZI,X,O,O,O,O,X,X,X
TJSZILO,O,X,X,X,O,O,X,X
TJSZIOL,O,X,X,X,X,O,X,X
TJSZLIO,O,O,O,X,O,X,X,X
TJSZLOI,O,O,O,X,O,X,X,X
TJSZOIL,O,X,X,X,X,O,X,X
TJSZOLI,O,O,O,X,X,X,X,X
TJSOILZ,X,O,X,O,O,X,O,X
TJSOIZL,O,X,X,X,O,O,X,X
TJSOLIZ,X,O,O,O,X,X,O,X
TJSOLZI,X,O,O,O,O,X,X,X
TJSOZIL,O,X,X,X,O,O,X,X
TJSOZLI,O,O,O,X,O,X,X,X
TJZILSO,O,X,O,X,O,O,X,X
TJZILOS,O,X,O,X,X,O,X,X
TJZISLO,O,X,X,X,O,O,X,X
TJZISOL,O,X,X,X,X,O,X,X
TJZIOLS,O,X,O,X,X,O,X,X
TJZIOSL,O,X,X,X,X,O,X,X
TJZLISO,O,O,O,X,X,X,X,X
TJZLIOS,O,O,O,X,X,X,X,X
TJZLSIO,O,O,O,X,O,X,X,X
TJZLSOI,O,O,O,X,O,X,X,X
TJZLOIS,O,O,O,X,X,X,X,X
TJZLOSI,O,O,O,X,X,X,X,X
TJZSILO,O,X,X,X,O,O,X,X
TJZSIOL,O,X,X,X,X,O,X,X
TJZSLIO,O,O,O,X,O,X,X,X
TJZSLOI,O,O,O,X,O,X,X,X
TJZSOIL,O,X,X,X,X,O,X,X
TJZSOLI,O,O,O,X,X,X,X,X
TJZOILS,O,X,O,X,X,O,X,X
TJZOISL,O,X,X,X,X,O,X,X
TJZOLIS,O,O,O,X,X,X,X,X
TJZOLSI,O,O,O,X,X,X,X,X
TJZOSIL,O,X,X,X,X,O,X,X
TJZOSLI,O,O,O,X,X,X,X,X
TJOILSZ,X,O,O,X,O,X,O,X
TJOILZS,X,O,O,X,O,X,O,X
TJOISLZ,X,O,X,O,O,X,O,X
TJOISZL,O,X,X,X,O,O,X,X
TJOIZLS,X,X,O,X,O,O,X,X
TJOIZSL,X,X,X,X,O,O,X,X
TJOLISZ,X,O,O,O,X,X,O,X
TJOLIZS,X,O,O,O,X,X,O,X
TJOLSIZ,X,O,O,O,X,X,O,X
TJOLSZI,X,O,O,O,O,X,X,X
TJOLZIS,X,O,O,O,X,X,X,X
TJOLZSI,X,O,O,O,O,X,X,X
TJOSILZ,X,O,X,O,O,X,O,X
TJOSIZL,O,X,X,X,O,O,X,X
TJOSLIZ,X,O,O,O,X,X,O,X
TJOSLZI,X,O,O,O,O,X,X,X
TJOSZIL,O,X,X,X,O,O,X,X
TJOSZLI,O,O,O,X,O,X,X,X
TJOZILS,O,X,O,X,O,O,X,X
TJOZISL,O,X,X,X,O,O,X,X
TJOZLIS,O,O,O,X,X,X,X,X
TJOZLSI,O,O,O,X,O,X,X,X
TJOZSIL,O,X,X,X,O,O,X,X
TJOZSLI,O,O,O,X,O,X,X,X
TSILJZO,X,X,X,X,O,X,X,X
TSILJOZ,X,X,X,O,O,X,X,O
TSILZJO,X,X,X,X,O,X,X,X
TSILZOJ,X,X,X,X,X,X,X,X
TSILOJZ,X,X,X,O,X,X,X,O
TSILOZJ,X,X,X,X,X,X,X,X
TSIJLZO,X,X,X,X,O,X,O,X
TSIJLOZ,X,X,X,O,O,X,O,O
TSIJZLO,X,X,X,X,O,O,X,X
TSIJZOL,X,X,X,X,X,O,X,O
TSIJOLZ,X,X,X,O,O,X,O,O
TSIJOZL,O,X,X,X,O,O,X,O
TSIZLJO,X,X,X,X,O,O,X,X
TSIZLOJ,X,X,X,X,X,O,X,X
TSIZJLO,X,X,X,X,O,O,X,X
TSIZJOL,X,X,X,X,X,O,X,O
TSIZOLJ,X,X,X,X,X,O,X,X
TSIZOJL,X,X,X,X,X,O,X,O
TSIOLJZ,X,X,X,X,X,X,X,O
TSIOLZJ,X,X,X,X,X,X,X,X
TSIOJLZ,X,X,X,O,X,X,O,O
TSIOJZL,O,X,X,X,X,O,X,O
TSIOZLJ,X,X,X,X,X,O,X,X
TSIOZJL,X,X,X,X,X,O,X,O
TSLIJZO,X,O,O,O,O,X,O,X
TSLIJOZ,X,O,O,O,O,X,O,X
TSLIZJO,X,X,O,O,O,X,X,X
TSLIZOJ,X,X,X,O,X,X,X,X
TSLIOJZ,X,X,X,O,X,X,O,X
TSLIOZJ,X,X,X,O,X,X,X,X
TSLJIZO,X,O,O,O,O,X,O,X
TSLJIOZ,X,O,O,O,O,X,O,X
TSLJZIO,X,O,O,O,O,X,X,X
TSLJZOI,X,O,O,O,O,X,X,X
TSLJOIZ,X,O,O,O,X,X,O,X
TSLJOZI,X,O,O,O,O,X,X,X
TSLZIJO,X,X,O,O,X,X,X,X
TSLZIOJ,X,X,X,O,X,X,X,X
TSLZJIO,X,X,O,O,O,X,X,X
TSLZJOI,X,X,O,O,O,X,X,X
TSLZOIJ,X,X,X,O,X,X,X,X
TSLZOJI,X,X,X,O,X,X,X,X
TSLOIJZ,X,X,X,O,X,X,O,X
TSLOIZJ,X,X,X,O,X,X,X,X
TSLOJIZ,X,X,X,O,X,X,O,X
TSLOJZI,X,X,X,O,O,X,X,X
TSLOZIJ,X,X,X,O,X,X,X,X
TSLOZJI,X,X,X,O,O,X,X,X
TSJILZO,X,O,X,X,O,X,O,X
TSJILOZ,X,O,X,O,O,X,O,X
TSJIZLO,X,X,X,X,O,O,X,X
TSJIZOL,X,X,X,X,X,O,X,X
TSJIOLZ,X,O,X,O,O,X,O,X
TSJIOZL,O,X,X,X,O,O,X,X
TSJLIZO,X,O,O,O,O,X,O,X
TSJLIOZ,X,O,O,O,O,X,O,X
TSJLZIO,X,O,O,O,O,X,X,X
TSJLZOI,X,O,O,O,O,X,X,X
TSJLOIZ,X,O,O,O,X,X,O,X
TSJLOZI,X,O,O,O,O,X,X,X
TSJZILO,O,X,X,X,O,O,X,X
TSJZIOL,O,X,X,X,X,O,X,X
TSJZLIO,O,O,O,X,O,X,X,X
TSJZLOI,O,O,O,X,O,X,X,X
TSJZOIL,O,X,X,X,X,O,X,X
TSJZOLI,O,O,O,X,X,X,X,X
TSJOILZ,X,O,X,O,O,X,O,X
TSJOIZL,O,X,X,X,O,O,X,X
TSJOLIZ,X,O,O,O,X,X,O,X
TSJOLZI,X,O,O,O,O,X,X,X
TSJOZIL,O,X,X,X,O,O,X,X
TSJOZLI,O,O,O,X,O,X,X,X
TSZILJO,O,X,X,X,O,O,X,X
TSZILOJ,O,X,X,X,X,O,X,X
TSZIJLO,O,X,X,X,O,O,X,X
TSZIJOL,O,X,X,X,X,O,X,X
TSZIOLJ,O,X,X,X,X,O,X,X
TSZIOJL,O,X,X,X,X,O,X,X
TSZLIJO,O,X,O,X,X,X,X,X
TSZLIOJ,O,X,X,X,X,X,X,X
TSZLJIO,O,X,O,X,O,X,X,X
TSZLJOI,O,X,O,X,O,X,X,X
TSZLOIJ,O,X,X,X,X,X,X,X
TSZLOJI,O,X,X,X,X,X,X,X
TSZJILO,O,X,X,X,O,O,X,X
TSZJIOL,O,X,X,X,X,O,X,X
TSZJLIO,O,X,O,X,O,X,X,X
TSZJLOI,O,X,O,X,O,X,X,X
TSZJOIL,O,X,X,X,X,O,X,X
TSZJOLI,O,X,O,X,X,X,X,X
TSZOILJ,O,X,X,X,X,O,X,X
TSZOIJL,O,X,X,X,X,O,X,X
TSZOLIJ,O,X,X,X,X,X,X,X
TSZOLJI,O,X,X,X,X,X,X,X
TSZOJIL,O,X,X,X,X,O,X,X
TSZOJLI,O,X,X,X,X,X,X,X
TSOILJZ,X,X,X,X,O,X,X,O
TSOILZJ,X,X,X,X,O,X,X,X
TSOIJLZ,X,X,X,O,O,X,O,O
TSOIJZL,O,X,X,X,O,O,X,O
TSOIZLJ,X,X,X,X,O,O,X,X
TSOIZJL,X,X,X,X,O,O,X,O
TSOLIJZ,X,X,X,O,X,X,O,X
TSOLIZJ,X,X,X,O,X,X,X,X
TSOLJIZ,X,X,X,O,X,X,O,X
TSOLJZI,X,X,X,O,O,X,X,X
TSOLZIJ,X,X,X,O,X,X,X,X
TSOLZJI,X,X,X,O,O,X,X,X
TSOJILZ,X,X,X,O,O,X,O,X
TSOJIZL,O,X,X,X,O,O,X,X
TSOJLIZ,X,X,X,O,X,X,O,X
TSOJLZI,X,X,X,O,O,X,X,X
TSOJZIL,O,X,X,X,O,O,X,X
TSOJZLI,O,X,X,X,O,X,X,X
TSOZILJ,O,X,X,X,O,O,X,X
TSOZIJL,O,X,X,X,O,O,X,X
TSOZLIJ,O,X,X,X,X,X,X,X
TSOZLJI,O,X,X,X,O,X,X,X
TSOZJIL,O,X,X,X,O,O,X,X
TSOZJLI,O,X,X,X,O,X,X,X
TZILJSO,O,X,O,X,O,O,X,X
TZILJOS,O,X,O,X,X,O,X,X
TZILSJO,O,X,O,X,O,O,X,X
TZILSOJ,O,X,X,X,X,O,X,X
TZILOJS,O,X,O,X,X,O,X,X
TZILOSJ,O,X,X,X,X,O,X,X
TZIJLSO,O,X,O,X,O,O,X,X
TZIJLOS,O,X,O,X,X,O,X,X
TZIJSLO,O,X,X,X,O,O,X,X
TZIJSOL,O,X,X,X,X,O,X,X
TZIJOLS,O,X,O,X,X,O,X,X
TZIJOSL,O,X,X,X,X,O,X,X
TZISLJO,O,X,X,X,O,O,X,X
TZISLOJ,O,X,X,X,X,O,X,X
TZISJLO,O,X,X,X,O,O,X,X
TZISJOL,O,X,X,X,X,O,X,X
TZISOLJ,O,X,X,X,X,O,X,X
TZISOJL,O,X,X,X,X,O,X,X
TZIOLJS,O,X,X,X,X,O,X,X
TZIOLSJ,O,X,X,X,X,O,X,X
TZIOJLS,O,X,X,X,X,O,X,X
TZIOJSL,O,X,X,X,X,O,X,X
TZIOSLJ,O,X,X,X,X,O,X,X
TZIOSJL,O,X,X,X,X,O,X,X
TZLIJSO,O,O,O,X,X,X,X,X
TZLIJOS,O,O,O,X,X,X,X,X
TZLISJO,O,X,O,X,X,X,X,X
TZLISOJ,O,X,X,X,X,X,X,X
TZLIOJS,O,X,O,X,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,X,X
TZLJISO,O,O,O,X,X,X,X,X
TZLJIOS,O,O,O,X,X,X,X,X
TZLJSIO,O,O,O,X,O,X,X,X
TZLJSOI,O,O,O,X,O,X,X,X
TZLJOIS,O,O,O,X,X,X,X,X
TZLJOSI,O,O,O,X,X,X,X,X
TZLSIJO,O,X,O,X,X,X,X,X
TZLSIOJ,O,X,X,X,X,X,X,X
TZLSJIO,O,X,O,X,O,X,X,X
TZLSJOI,O,X,O,X,O,X,X,X
TZLSOIJ,O,X,X,X,X,X,X,X
TZLSOJI,O,X,X,X,X,X,X,X
TZLOIJS,O,X,O,X,X,X,X,X
TZLOISJ,O,X,X,X,X,X,X,X
TZLOJIS,O,X,O,X,X,X,X,X
TZLOJSI,O,X,O,X,X,X,X,X
TZLOSIJ,O,X,X,X,X,X,X,X
TZLOSJI,O,X,X,X,X,X,X,X
TZJILSO,O,X,O,X,O,O,X,X
TZJILOS,O,X,O,X,X,O,X,X
TZJISLO,O,X,X,X,O,O,X,X
TZJISOL,O,X,X,X,X,O,X,X
TZJIOLS,O,X,O,X,X,O,X,X
TZJIOSL,O,X,X,X,X,O,X,X
TZJLISO,O,O,O,X,X,X,X,X
TZJLIOS,O,O,O,X,X,X,X,X
TZJLSIO,O,O,O,X,O,X,X,X
TZJLSOI,O,O,O,X,O,X,X,X
TZJLOIS,O,O,O,X,X,X,X,X
TZJLOSI,O,O,O,X,X,X,X,X
TZJSILO,O,X,X,X,O,O,X,X
TZJSIOL,O,X,X,X,X,O,X,X
TZJSLIO,O,O,O,X,O,X,X,X
TZJSLOI,O,O,O,X,O,X,X,X
TZJSOIL,O,X,X,X,X,O,X,X
TZJSOLI,O,O,O,X,X,X,X,X
TZJOILS,O,X,O,X,X,O,X,X
