sequence,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhFxbBmdBChB0?iBlmBXsB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhF6gBmdBxhBl?mB3nB0rB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhF0bBxcBejBS?mBVsBXsB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhF6gBRdBmiBl?mBcsB/rB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhFxbBmdBChB0?mBlnBXsB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhFlbBajBxhBU?iBGmBXsB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhF0bBSiBejBR?mBlmBXsB
TZOSJLI,O,O,O,O,O,X,O
TOILJSZ,X,X,O,X,X,O,X
TOILJZS,O,X,O,X,O,O,X
TOILSJZ,X,O,O,X,X,X,X
TOILSZJ,O,O,O,X,X,X,X
TOILZJS,O,X,O,X,O,X,X
TOILZSJ,O,X,O,X,O,X,X
TOIJLSZ,X,X,O,X,X,O,X
TOIJLZS,O,X,O,X,O,O,X
TOIJSLZ,X,X,X,X,X,O,O
TOIJSZL,X,X,X,X,O,X,O
TOIJZLS,O,X,O,X,O,O,X
TOIJZSL,O,X,O,X,O,X,O
TOISLJZ,O,O,X,X,X,X,X
TOISLZJ,O,O,X,X,X,X,X
TOISJLZ,O,O,X,X,X,X,X
TOISJZL,O,O,X,X,O,X,X
TOISZLJ,O,O,X,X,X,X,X
TOISZJL,O,O,X,X,X,X,X
TOIZLJS,O,X,O,X,O,X,X
TOIZLSJ,O,X,O,X,O,X,X
TOIZJLS,O,X,O,X,O,X,X
TOIZJSL,O,X,O,X,O,X,O
TOIZSLJ,X,X,X,X,O,X,X
TOIZSJL,O,X,O,X,O,X,X
TOLIJSZ,X,X,O,X,X,O,X
TOLIJZS,O,X,O,X,O,O,X
TOLISJZ,X,O,O,X,X,X,X
TOLISZJ,O,O,O,X,X,X,X
TOLIZJS,O,X,O,X,O,X,X
TOLIZSJ,O,X,O,X,O,X,X
TOLJISZ,X,X,O,X,X,O,X
TOLJIZS,O,X,O,X,O,O,X
TOLJSIZ,X,O,O,X,X,O,X
TOLJSZI,X,O,O,X,X,O,X
TOLJZIS,O,X,O,O,X,O,X
TOLJZSI,O,X,O,O,X,O,X
TOLSIJZ,X,O,O,X,X,X,X
TOLSIZJ,O,O,O,X,X,X,X
TOLSJIZ,X,O,O,X,X,O,X
TOLSJZI,X,O,O,X,X,O,X
TOLSZIJ,O,O,O,X,X,X,X
TOLSZJI,O,O,O,X,X,X,X
TOLZIJS,O,X,O,O,O,X,X
TOLZISJ,O,X,O,X,O,X,X
TOLZJIS,O,X,O,O,O,O,X
TOLZJSI,O,X,O,O,O,O,X
TOLZSIJ,O,O,O,X,O,X,X
TOLZSJI,O,O,O,O,O,X,X
TOJILSZ,X,X,O,X,X,O,X
TOJILZS,O,X,O,X,O,O,X
TOJISLZ,X,X,X,X,X,O,O
TOJISZL,X,X,X,X,O,X,O
TOJIZLS,O,X,O,X,O,O,X
TOJIZSL,O,X,O,X,O,X,O
TOJLISZ,X,X,O,X,X,O,X
TOJLIZS,O,X,O,X,O,O,X
TOJLSIZ,X,O,O,X,X,O,X
TOJLSZI,X,O,O,X,X,O,X
TOJLZIS,O,X,O,O,X,O,O
TOJLZSI,O,X,O,O,X,O,O
TOJSILZ,X,O,X,X,X,O,O
TOJSIZL,X,O,X,X,O,X,O
TOJSLIZ,X,O,O,X,X,O,X
TOJSLZI,X,O,O,X,X,O,O
TOJSZIL,X,O,O,X,X,X,O
TOJSZLI,X,O,O,X,X,X,O
TOJZILS,O,X,O,O,O,O,X
TOJZISL,O,X,O,X,O,X,O
TOJZLIS,O,X,O,O,O,O,O
TOJZLSI,O,X,O,O,O,O,O
TOJZSIL,O,X,O,X,O,X,O
TOJZSLI,O,X,O,O,O,X,O
TOSILJZ,O,O,X,X,X,X,X
TOSILZJ,O,O,X,X,X,X,X
TOSIJLZ,O,O,X,X,X,X,O
TOSIJZL,O,O,X,X,O,X,O
TOSIZLJ,O,O,X,X,X,X,X
TOSIZJL,O,O,X,X,X,X,O
TOSLIJZ,O,O,O,X,X,X,X
TOSLIZJ,O,O,O,X,X,X,X
TOSLJIZ,O,O,O,X,X,O,X
TOSLJZI,O,O,O,X,X,O,X
TOSLZIJ,O,O,O,X,X,X,X
TOSLZJI,O,O,O,X,X,X,X
TOSJILZ,O,O,X,X,X,O,O
TOSJIZL,O,O,X,X,O,O,O
TOSJLIZ,O,O,O,X,X,O,X
TOSJLZI,O,O,O,X,X,O,O
TOSJZIL,O,O,O,X,X,O,O
TOSJZLI,O,O,O,X,X,O,O
TOSZILJ,O,O,X,X,O,X,X
TOSZIJL,O,O,O,X,O,X,O
TOSZLIJ,O,O,O,X,O,X,X
TOSZLJI,O,O,O,X,O,X,X
TOSZJIL,O,O,O,X,O,X,O
TOSZJLI,O,O,O,X,O,X,O
TOZILJS,O,X,O,O,O,X,X
TOZILSJ,O,X,O,X,O,X,X
TOZIJLS,O,X,O,O,O,X,X
TOZIJSL,O,X,O,X,O,X,O
TOZISLJ,X,X,X,X,O,X,X
TOZISJL,O,X,O,X,O,X,X
TOZLIJS,O,X,O,O,O,X,X
TOZLISJ,O,X,O,X,O,X,X
TOZLJIS,O,X,O,O,O,O,X
TOZLJSI,O,X,O,O,O,O,X
TOZLSIJ,O,O,O,X,O,X,X
TOZLSJI,O,O,O,O,O,X,X
TOZJILS,O,X,O,O,O,O,X
TOZJISL,O,X,O,X,O,X,O
TOZJLIS,O,X,O,O,O,O,O
TOZJLSI,O,X,O,O,O,O,O
TOZJSIL,O,X,O,X,O,X,O
TOZJSLI,O,X,O,O,O,X,O
TOZSILJ,O,O,X,X,O,X,X
TOZSIJL,O,O,O,X,O,X,O
TOZSLIJ,O,O,O,X,O,X,X
TOZSLJI,O,O,O,O,O,X,X
TOZSJIL,O,O,O,X,O,X,O
TOZSJLI,O,O,O,O,O,X,O
ITLJSZO,X,X,O,X,X,O,X
ITLJSOZ,X,X,O,X,X,O,X
ITLJZSO,O,X,O,X,X,X,X
ITLJZOS,O,X,O,X,X,O,X
ITLJOSZ,X,X,O,X,X,O,X
ITLJOZS,O,X,O,X,O,O,X
ITLSJZO,X,O,O,X,X,X,X
ITLSJOZ,X,O,O,X,X,X,X
ITLSZJO,O,O,O,X,X,X,X
ITLSZOJ,O,O,O,X,X,X,X
ITLSOJZ,X,O,O,X,X,X,X
ITLSOZJ,O,O,O,X,X,X,X
ITLZJSO,O,X,O,X,O,X,X
ITLZJOS,O,X,O,X,O,X,X
ITLZSJO,O,X,O,X,O,X,X
ITLZSOJ,O,X,O,X,O,X,X
ITLZOJS,O,X,O,X,O,X,X
ITLZOSJ,O,X,O,X,O,X,X
ITLOJSZ,X,X,O,X,X,O,X
ITLOJZS,O,X,O,X,O,O,X
ITLOSJZ,X,O,O,X,X,X,X
ITLOSZJ,O,O,O,X,X,X,X
ITLOZJS,O,X,O,X,O,X,X
ITLOZSJ,O,X,O,X,O,X,X
ITJLSZO,X,X,O,X,X,O,X
ITJLSOZ,X,X,O,X,X,O,X
ITJLZSO,O,X,O,X,X,X,X
ITJLZOS,O,X,O,X,X,O,X
ITJLOSZ,X,X,O,X,X,O,X
ITJLOZS,O,X,O,X,O,O,X
ITJSLZO,X,X,X,X,X,X,O
ITJSLOZ,X,X,X,X,X,O,O
ITJSZLO,X,X,X,X,X,X,O
ITJSZOL,X,X,X,X,X,X,O
ITJSOLZ,X,X,X,X,X,O,O
ITJSOZL,X,X,X,X,O,X,O
ITJZLSO,X,X,O,X,X,X,X
ITJZLOS,O,X,O,X,X,O,X
ITJZSLO,X,X,X,X,X,X,O
ITJZSOL,O,X,O,X,X,X,O
ITJZOLS,O,X,O,X,O,O,X
ITJZOSL,O,X,O,X,O,X,O
ITJOLSZ,X,X,O,X,X,O,X
ITJOLZS,O,X,O,X,O,O,X
ITJOSLZ,X,X,X,X,X,O,O
ITJOSZL,X,X,X,X,O,X,O
ITJOZLS,O,X,O,X,O,O,X
ITJOZSL,O,X,O,X,O,X,O
ITSLJZO,O,O,X,X,X,X,X
ITSLJOZ,O,O,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X
ITSLOJZ,O,O,X,X,X,X,X
ITSLOZJ,O,O,X,X,X,X,X
ITSJLZO,O,O,X,X,X,X,X
ITSJLOZ,O,O,X,X,X,X,X
ITSJZLO,O,O,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,X
ITSJOLZ,O,O,X,X,X,X,X
ITSJOZL,O,O,X,X,O,X,X
ITSZLJO,O,O,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X
ITSZJOL,O,O,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X
ITSZOJL,O,O,X,X,X,X,X
ITSOLJZ,O,O,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,X,X
ITSOJLZ,O,O,X,X,X,X,X
ITSOJZL,O,O,X,X,O,X,X
ITSOZLJ,O,O,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X
ITZLJSO,O,X,O,X,O,X,X
ITZLJOS,O,X,O,X,O,X,X
ITZLSJO,O,X,O,X,O,X,X
ITZLSOJ,O,X,O,X,O,X,X
ITZLOJS,O,X,O,X,O,X,X
ITZLOSJ,O,X,O,X,O,X,X
ITZJLSO,O,X,O,X,O,X,X
ITZJLOS,O,X,O,X,O,X,X
ITZJSLO,X,X,X,X,X,X,O
ITZJSOL,O,X,O,X,O,X,O
ITZJOLS,O,X,O,X,O,X,X
ITZJOSL,O,X,O,X,O,X,O
ITZSLJO,X,X,X,X,O,X,X
ITZSLOJ,X,X,X,X,O,X,X
ITZSJLO,X,X,X,X,X,X,X
ITZSJOL,O,X,O,X,O,X,X
ITZSOLJ,X,X,X,X,O,X,X
ITZSOJL,O,X,O,X,O,X,X
ITZOLJS,O,X,O,X,O,X,X
ITZOLSJ,O,X,O,X,O,X,X
ITZOJLS,O,X,O,X,O,X,X
ITZOJSL,O,X,O,X,O,X,O
ITZOSLJ,X,X,X,X,O,X,X
ITZOSJL,O,X,O,X,O,X,X
ITOLJSZ,X,X,O,X,X,O,X
ITOLJZS,O,X,O,X,O,O,X
ITOLSJZ,X,O,O,X,X,X,X
ITOLSZJ,O,O,O,X,X,X,X
ITOLZJS,O,X,O,X,O,X,X
ITOLZSJ,O,X,O,X,O,X,X
ITOJLSZ,X,X,O,X,X,O,X
ITOJLZS,O,X,O,X,O,O,X
ITOJSLZ,X,X,X,X,X,O,O
ITOJSZL,X,X,X,X,O,X,O
ITOJZLS,O,X,O,X,O,O,X
ITOJZSL,O,X,O,X,O,X,O
ITOSLJZ,O,O,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,X,X
ITOSJLZ,O,O,X,X,X,X,X
ITOSJZL,O,O,X,X,O,X,X
ITOSZLJ,O,O,X,X,X,X,X
ITOSZJL,O,O,X,X,X,X,X
ITOZLJS,O,X,O,X,O,X,X
ITOZLSJ,O,X,O,X,O,X,X
ITOZJLS,O,X,O,X,O,X,X
ITOZJSL,O,X,O,X,O,X,O
ITOZSLJ,X,X,X,X,O,X,X
ITOZSJL,O,X,O,X,O,X,X
ILTJSZO,X,X,O,X,X,O,X
ILTJSOZ,X,X,O,X,X,O,X
ILTJZSO,O,X,O,X,X,X,X
ILTJZOS,O,X,O,X,X,O,X
ILTJOSZ,X,X,O,X,X,O,X
ILTJOZS,O,X,O,X,O,O,X
ILTSJZO,X,O,O,X,X,X,X
ILTSJOZ,X,O,O,X,X,X,X
ILTSZJO,O,O,O,X,X,X,X
ILTSZOJ,O,O,O,X,X,X,X
ILTSOJZ,X,O,O,X,X,X,X
ILTSOZJ,O,O,O,X,X,X,X
ILTZJSO,O,X,O,X,O,X,X
ILTZJOS,O,X,O,X,O,X,X
ILTZSJO,O,X,O,X,O,X,X
ILTZSOJ,O,X,O,X,O,X,X
ILTZOJS,O,X,O,X,O,X,X
ILTZOSJ,O,X,O,X,O,X,X
ILTOJSZ,X,X,O,X,X,O,X
ILTOJZS,O,X,O,X,O,O,X
ILTOSJZ,X,O,O,X,X,X,X
ILTOSZJ,O,O,O,X,X,X,X
ILTOZJS,O,X,O,X,O,X,X
ILTOZSJ,O,X,O,X,O,X,X
ILJTSZO,X,X,X,X,X,O,X
ILJTSOZ,X,X,X,X,X,O,X
ILJTZSO,O,X,X,X,X,X,X
ILJTZOS,O,X,X,X,X,O,X
ILJTOSZ,X,X,X,X,X,O,X
ILJTOZS,O,X,X,X,X,O,X
ILJSTZO,X,X,X,X,X,O,O
ILJSTOZ,X,X,X,X,X,O,O
ILJSZTO,O,X,X,X,X,O,O
ILJSZOT,O,X,X,X,X,O,O
ILJSOTZ,X,X,X,X,X,O,O
ILJSOZT,O,X,X,X,X,O,O
ILJZTSO,X,X,X,O,O,X,X
ILJZTOS,O,X,X,O,O,O,X
ILJZSTO,X,X,X,X,X,X,O
ILJZSOT,O,X,X,X,X,X,O
ILJZOTS,O,X,X,O,O,O,X
ILJZOST,O,X,X,X,X,X,O
ILJOTSZ,X,X,X,X,X,O,X
ILJOTZS,O,X,X,X,X,O,X
ILJOSTZ,X,X,X,X,X,O,O
ILJOSZT,O,X,X,X,X,O,O
ILJOZTS,O,X,X,O,O,O,X
ILJOZST,O,X,X,X,X,X,O
ILSTJZO,O,O,X,X,X,X,X
ILSTJOZ,O,O,X,X,X,X,X
ILSTZJO,O,O,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,X,X
ILSTOJZ,O,O,X,X,X,X,X
ILSTOZJ,O,O,X,X,X,X,X
ILSJTZO,X,O,X,X,X,O,X
ILSJTOZ,X,O,X,X,X,O,X
ILSJZTO,O,X,X,X,X,O,X
ILSJZOT,O,O,X,X,X,O,X
ILSJOTZ,X,O,X,X,X,O,X
ILSJOZT,O,O,X,X,X,O,X
ILSZTJO,O,X,X,X,O,X,X
ILSZTOJ,O,X,X,X,O,X,X
ILSZJTO,O,X,X,X,X,X,X
ILSZJOT,O,O,X,X,X,X,X
ILSZOTJ,O,X,X,X,O,X,X
ILSZOJT,O,O,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X
ILSOJTZ,X,O,X,X,X,O,X
ILSOJZT,O,O,X,X,X,O,X
ILSOZTJ,O,X,X,X,O,X,X
ILSOZJT,O,O,X,X,X,X,X
ILZTJSO,O,X,O,O,O,X,X
ILZTJOS,O,X,O,O,O,X,X
ILZTSJO,O,X,O,X,O,X,X
ILZTSOJ,O,X,O,X,O,X,X
ILZTOJS,O,X,O,O,O,X,X
ILZTOSJ,O,X,O,X,O,X,X
ILZJTSO,X,X,X,O,O,X,X
ILZJTOS,O,X,X,O,O,X,X
ILZJSTO,X,X,X,X,X,X,O
ILZJSOT,O,X,X,X,X,X,O
ILZJOTS,O,X,X,O,O,X,X
ILZJOST,O,X,X,X,X,X,O
ILZSTJO,O,X,X,X,O,X,X
ILZSTOJ,O,X,X,X,O,X,X
ILZSJTO,O,X,X,X,X,X,X
ILZSJOT,O,X,X,X,X,X,X
ILZSOTJ,O,X,X,X,O,X,X
ILZSOJT,O,X,X,X,X,X,X
ILZOTJS,O,X,O,O,O,X,X
ILZOTSJ,O,X,O,X,O,X,X
ILZOJTS,O,X,X,O,O,X,X
ILZOJST,O,X,X,X,X,X,O
ILZOSTJ,O,X,X,X,O,X,X
ILZOSJT,O,X,X,X,X,X,X
ILOTJSZ,X,X,O,X,X,O,X
ILOTJZS,O,X,O,X,O,O,X
ILOTSJZ,X,O,O,X,X,X,X
ILOTSZJ,O,O,O,X,X,X,X
ILOTZJS,O,X,O,X,O,X,X
ILOTZSJ,O,X,O,X,O,X,X
ILOJTSZ,X,X,X,X,X,O,X
ILOJTZS,O,X,X,X,X,O,X
ILOJSTZ,X,X,X,X,X,O,O
ILOJSZT,O,X,X,X,X,O,O
ILOJZTS,O,X,X,O,O,O,X
ILOJZST,O,X,X,X,X,X,O
ILOSTJZ,O,O,X,X,X,X,X
ILOSTZJ,O,O,X,X,X,X,X
ILOSJTZ,X,O,X,X,X,O,X
ILOSJZT,O,O,X,X,X,O,X
ILOSZTJ,O,X,X,X,O,X,X
ILOSZJT,O,O,X,X,X,X,X
ILOZTJS,O,X,O,O,O,X,X
ILOZTSJ,O,X,O,X,O,X,X
ILOZJTS,O,X,X,O,O,X,X
ILOZJST,O,X,X,X,X,X,O
ILOZSTJ,O,X,X,X,O,X,X
ILOZSJT,O,X,X,X,X,X,X
IJTLSZO,X,X,O,X,X,O,X
IJTLSOZ,X,X,O,X,X,O,X
IJTLZSO,O,X,O,X,X,X,X
IJTLZOS,O,X,O,X,X,O,X
IJTLOSZ,X,X,O,X,X,O,X
IJTLOZS,O,X,O,X,O,O,X
IJTSLZO,X,X,X,X,X,X,O
IJTSLOZ,X,X,X,X,X,O,O
IJTSZLO,X,X,X,X,X,X,O
IJTSZOL,X,X,X,X,X,X,O
IJTSOLZ,X,X,X,X,X,O,O
IJTSOZL,X,X,X,X,O,X,O
IJTZLSO,X,X,O,X,X,X,X
IJTZLOS,O,X,O,X,X,O,X
IJTZSLO,X,X,X,X,X,X,O
IJTZSOL,O,X,O,X,X,X,O
IJTZOLS,O,X,O,X,O,O,X
IJTZOSL,O,X,O,X,O,X,O
IJTOLSZ,X,X,O,X,X,O,X
IJTOLZS,O,X,O,X,O,O,X
IJTOSLZ,X,X,X,X,X,O,O
IJTOSZL,X,X,X,X,O,X,O
IJTOZLS,O,X,O,X,O,O,X
IJTOZSL,O,X,O,X,O,X,O
IJLTSZO,X,X,X,X,X,O,X
IJLTSOZ,X,X,X,X,X,O,X
IJLTZSO,O,X,X,X,X,X,X
IJLTZOS,O,X,X,X,X,O,X
IJLTOSZ,X,X,X,X,X,O,X
IJLTOZS,O,X,X,X,X,O,X
IJLSTZO,X,X,X,X,X,O,O
IJLSTOZ,X,X,X,X,X,O,O
IJLSZTO,O,X,X,X,X,O,O
IJLSZOT,O,X,X,X,X,O,O
IJLSOTZ,X,X,X,X,X,O,O
IJLSOZT,O,X,X,X,X,O,O
IJLZTSO,X,X,X,O,O,X,X
IJLZTOS,O,X,X,O,O,O,X
IJLZSTO,X,X,X,X,X,X,O
IJLZSOT,O,X,X,X,X,X,O
IJLZOTS,O,X,X,O,O,O,O
IJLZOST,O,X,X,X,X,X,O
IJLOTSZ,X,X,X,X,X,O,X
IJLOTZS,O,X,X,X,X,O,X
IJLOSTZ,X,X,X,X,X,O,O
IJLOSZT,O,X,X,X,X,O,O
IJLOZTS,O,X,X,O,O,O,O
IJLOZST,O,X,X,X,X,X,O
IJSTLZO,O,X,X,X,X,X,O
IJSTLOZ,O,X,X,X,X,O,O
IJSTZLO,O,X,X,X,X,X,O
IJSTZOL,O,X,X,X,X,X,O
IJSTOLZ,O,X,X,X,X,O,O
IJSTOZL,O,X,X,X,X,X,O
IJSLTZO,X,X,X,X,X,X,O
IJSLTOZ,X,X,X,X,X,O,O
IJSLZTO,O,X,X,X,X,X,O
IJSLZOT,O,X,X,X,X,X,O
IJSLOTZ,X,X,X,X,X,O,O
IJSLOZT,O,X,X,X,X,X,O
IJSZTLO,X,X,X,X,X,X,O
IJSZTOL,O,X,X,X,X,X,O
IJSZLTO,X,X,X,X,X,X,O
IJSZLOT,O,X,X,X,X,X,O
IJSZOTL,O,X,X,X,X,X,O
IJSZOLT,O,X,X,X,X,X,O
IJSOTLZ,O,X,X,X,X,O,O
IJSOTZL,O,X,X,X,X,X,O
IJSOLTZ,X,X,X,X,X,O,O
IJSOLZT,O,X,X,X,X,X,O
IJSOZTL,O,X,X,X,X,X,O
IJSOZLT,O,X,X,X,X,X,O
IJZTLSO,X,X,O,O,O,X,X
IJZTLOS,X,X,O,O,O,O,X
IJZTSLO,X,X,X,X,X,X,O
IJZTSOL,X,X,O,X,O,X,O
IJZTOLS,O,X,O,O,O,O,X
IJZTOSL,O,X,O,X,O,X,O
IJZLTSO,X,X,X,O,O,X,X
IJZLTOS,X,X,X,O,O,O,X
IJZLSTO,X,X,X,X,X,X,O
IJZLSOT,X,X,X,X,X,X,O
IJZLOTS,O,X,O,O,O,O,O
IJZLOST,O,X,X,X,X,X,O
IJZSTLO,X,X,X,X,X,X,O
IJZSTOL,X,X,X,X,X,X,O
IJZSLTO,X,X,X,X,X,X,O
IJZSLOT,X,X,X,X,X,X,O
IJZSOTL,O,X,O,X,X,X,O
IJZSOLT,O,X,X,X,X,X,O
IJZOTLS,O,X,O,O,O,O,X
IJZOTSL,O,X,O,X,O,X,O
IJZOLTS,O,X,O,O,O,O,O
IJZOLST,O,X,X,X,X,X,O
IJZOSTL,O,X,O,X,X,X,O
IJZOSLT,O,X,X,X,X,X,O
IJOTLSZ,X,X,O,X,X,O,X
IJOTLZS,O,X,O,X,O,O,X
IJOTSLZ,X,X,X,X,X,O,O
IJOTSZL,X,X,X,X,O,X,O
IJOTZLS,O,X,O,X,O,O,X
IJOTZSL,O,X,O,X,O,X,O
IJOLTSZ,X,X,X,X,X,O,X
IJOLTZS,O,X,X,X,X,O,X
IJOLSTZ,X,X,X,X,X,O,O
IJOLSZT,O,X,X,X,X,O,O
IJOLZTS,O,X,X,O,O,O,O
IJOLZST,O,X,X,X,X,X,O
IJOSTLZ,O,X,X,X,X,O,O
IJOSTZL,O,X,X,X,X,X,O
IJOSLTZ,X,X,X,X,X,O,O
IJOSLZT,O,X,X,X,X,X,O
IJOSZTL,O,X,X,X,X,X,O
IJOSZLT,O,X,X,X,X,X,O
IJOZTLS,O,X,O,O,O,O,X
IJOZTSL,O,X,O,X,O,X,O
IJOZLTS,O,X,O,O,O,O,O
IJOZLST,O,X,X,X,X,X,O
IJOZSTL,O,X,O,X,X,X,O
IJOZSLT,O,X,X,X,X,X,O
ISTLJZO,O,O,X,X,X,X,X
ISTLJOZ,O,O,X,X,X,X,X
ISTLZJO,O,O,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X
ISTLOJZ,O,O,X,X,X,X,X
ISTLOZJ,O,O,X,X,X,X,X
ISTJLZO,O,O,X,X,X,X,O
ISTJLOZ,O,O,X,X,X,X,O
ISTJZLO,O,O,X,X,X,X,O
ISTJZOL,O,O,X,X,X,X,O
ISTJOLZ,O,O,X,X,X,X,O
ISTJOZL,O,O,X,X,O,X,O
ISTZLJO,O,O,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,O
ISTZJOL,O,O,X,X,X,X,O
ISTZOLJ,O,O,X,X,X,X,X
ISTZOJL,O,O,X,X,X,X,O
ISTOLJZ,O,O,X,X,X,X,X
ISTOLZJ,O,O,X,X,X,X,X
ISTOJLZ,O,O,X,X,X,X,O
ISTOJZL,O,O,X,X,O,X,O
ISTOZLJ,O,O,X,X,X,X,X
ISTOZJL,O,O,X,X,X,X,O
ISLTJZO,O,O,X,X,X,X,X
ISLTJOZ,O,O,X,X,X,X,X
ISLTZJO,O,O,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,X,X
ISLTOJZ,O,O,X,X,X,X,X
ISLTOZJ,O,O,X,X,X,X,X
ISLJTZO,X,O,X,X,X,O,O
ISLJTOZ,X,O,X,X,X,O,O
ISLJZTO,O,X,X,X,X,O,O
ISLJZOT,O,O,X,X,X,O,O
ISLJOTZ,X,O,X,X,X,O,O
ISLJOZT,O,O,X,X,X,O,O
ISLZTJO,O,X,X,X,O,X,X
ISLZTOJ,O,X,X,X,O,X,X
ISLZJTO,O,X,X,X,X,X,O
ISLZJOT,O,O,X,X,X,X,O
ISLZOTJ,O,X,X,X,O,X,X
ISLZOJT,O,O,X,X,X,X,O
ISLOTJZ,O,O,X,X,X,X,X
ISLOTZJ,O,O,X,X,X,X,X
ISLOJTZ,X,O,X,X,X,O,O
ISLOJZT,O,O,X,X,X,O,O
ISLOZTJ,O,X,X,X,O,X,X
ISLOZJT,O,O,X,X,X,X,O
ISJTLZO,O,O,X,X,X,O,O
ISJTLOZ,O,O,X,X,X,O,O
ISJTZLO,O,O,X,X,X,O,O
ISJTZOL,O,O,X,X,X,O,O
ISJTOLZ,O,O,X,X,X,O,O
ISJTOZL,O,O,X,X,X,O,O
ISJLTZO,X,O,X,X,X,O,O
ISJLTOZ,X,O,X,X,X,O,O
ISJLZTO,O,X,X,X,X,O,O
ISJLZOT,O,O,X,X,X,O,O
ISJLOTZ,X,O,X,X,X,O,O
ISJLOZT,O,O,X,X,X,O,O
ISJZTLO,X,X,X,X,X,O,O
ISJZTOL,O,X,X,X,X,O,O
ISJZLTO,X,X,X,X,X,O,O
ISJZLOT,O,O,X,X,X,O,O
ISJZOTL,O,X,X,X,X,O,O
ISJZOLT,O,O,X,X,X,O,O
ISJOTLZ,O,O,X,X,X,O,O
ISJOTZL,O,O,X,X,X,O,O
ISJOLTZ,X,O,X,X,X,O,O
ISJOLZT,O,O,X,X,X,O,O
ISJOZTL,O,X,X,X,X,O,O
ISJOZLT,O,O,X,X,X,O,O
ISZTLJO,O,X,X,X,O,X,X
ISZTLOJ,O,X,X,X,O,X,X
ISZTJLO,O,X,X,X,X,X,O
ISZTJOL,O,X,X,X,O,X,O
ISZTOLJ,O,X,X,X,O,X,X
ISZTOJL,O,X,X,X,O,X,O
ISZLTJO,O,X,X,X,O,X,X
ISZLTOJ,O,X,X,X,O,X,X
ISZLJTO,O,X,X,X,X,X,O
ISZLJOT,O,O,X,X,X,X,O
ISZLOTJ,O,X,X,X,O,X,X
ISZLOJT,O,O,X,X,X,X,O
ISZJTLO,O,X,X,X,X,X,O
ISZJTOL,O,X,X,X,X,X,O
ISZJLTO,O,X,X,X,X,X,O
ISZJLOT,O,O,X,X,X,X,O
ISZJOTL,O,X,X,X,X,X,O
ISZJOLT,O,O,X,X,X,X,O
ISZOTLJ,O,X,X,X,O,X,X
ISZOTJL,O,X,X,X,O,X,O
ISZOLTJ,O,X,X,X,O,X,X
ISZOLJT,O,O,X,X,X,X,O
ISZOJTL,O,X,X,X,X,X,O
ISZOJLT,O,O,X,X,X,X,O
ISOTLJZ,O,O,X,X,X,X,X
ISOTLZJ,O,O,X,X,X,X,X
ISOTJLZ,O,O,X,X,X,X,O
ISOTJZL,O,O,X,X,O,X,O
ISOTZLJ,O,O,X,X,X,X,X
ISOTZJL,O,O,X,X,X,X,O
ISOLTJZ,O,O,X,X,X,X,X
ISOLTZJ,O,O,X,X,X,X,X
ISOLJTZ,X,O,X,X,X,O,O
ISOLJZT,O,O,X,X,X,O,O
ISOLZTJ,O,X,X,X,O,X,X
ISOLZJT,O,O,X,X,X,X,O
ISOJTLZ,O,O,X,X,X,O,O
ISOJTZL,O,O,X,X,X,O,O
ISOJLTZ,X,O,X,X,X,O,O
ISOJLZT,O,O,X,X,X,O,O
ISOJZTL,O,X,X,X,X,O,O
ISOJZLT,O,O,X,X,X,O,O
ISOZTLJ,O,X,X,X,O,X,X
ISOZTJL,O,X,X,X,O,X,O
ISOZLTJ,O,X,X,X,O,X,X
ISOZLJT,O,O,X,X,X,X,O
ISOZJTL,O,X,X,X,X,X,O
ISOZJLT,O,O,X,X,X,X,O
IZTLJSO,O,X,O,O,O,X,X
IZTLJOS,O,X,O,O,O,X,X
IZTLSJO,O,X,O,X,O,X,X
IZTLSOJ,O,X,O,X,O,X,X
IZTLOJS,O,X,O,O,O,X,X
IZTLOSJ,O,X,O,X,O,X,X
IZTJLSO,O,X,O,O,O,X,X
IZTJLOS,O,X,O,O,O,X,X
IZTJSLO,X,X,X,X,X,X,O
IZTJSOL,O,X,O,X,O,X,O
