sequence,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBFnB0rBirB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxdB?lhB3iB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBxdB?lhB3iBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxdBTfB?lhB3iBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBTcB?xdBliB3mBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxcB?XeBVnB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBVnBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Je2/IvhFxdB0hB?liB3fBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jei6IvhFxdB3fB?0hBliBmrBTrB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFXeBTfB?UiBqrBZmBFsB
TIZLOSJ,X,X,X,X,O,O,X,X,X,X
TIZJLSO,X,X,O,X,O,X,X,O,X,X
TIZJLOS,X,X,X,X,O,X,X,O,X,X
TIZJSLO,X,X,O,X,O,X,X,O,O,X
TIZJSOL,X,X,O,X,O,X,O,O,X,X
TIZJOLS,X,X,X,X,O,X,X,X,X,X
TIZJOSL,X,X,X,X,O,X,X,O,X,X
TIZSLJO,X,X,O,X,O,X,X,X,O,X
TIZSLOJ,X,X,O,X,O,O,X,X,O,X
TIZSJLO,X,X,O,X,O,X,X,O,O,X
TIZSJOL,X,X,O,X,O,X,O,O,X,X
TIZSOLJ,X,X,X,X,X,X,X,X,O,X
TIZSOJL,X,X,O,X,O,X,O,X,X,X
TIZOLJS,X,X,X,X,O,X,X,X,X,X
TIZOLSJ,X,X,X,X,O,X,X,X,X,X
TIZOJLS,X,X,X,X,O,X,X,X,X,X
TIZOJSL,X,X,X,X,O,X,O,O,X,X
TIZOSLJ,X,X,X,X,X,X,X,X,O,X
TIZOSJL,X,X,X,X,O,X,O,X,X,X
TIOLJSZ,X,X,X,O,X,O,O,X,X,X
TIOLJZS,X,X,X,X,O,X,O,O,X,X
TIOLSJZ,X,X,X,O,O,O,O,X,X,X
TIOLSZJ,X,X,X,O,O,O,O,X,X,X
TIOLZJS,X,X,X,X,O,X,O,O,X,X
TIOLZSJ,X,X,X,X,O,O,O,X,X,X
TIOJLSZ,X,X,X,O,X,X,O,X,X,X
TIOJLZS,X,X,X,X,X,X,O,O,X,X
TIOJSLZ,O,X,X,O,X,X,O,X,X,X
TIOJSZL,O,X,X,O,X,X,O,X,X,X
TIOJZLS,O,X,X,X,O,X,X,X,X,X
TIOJZSL,O,X,X,X,O,X,O,O,X,X
TIOSLJZ,O,X,X,O,X,O,O,X,X,X
TIOSLZJ,X,X,X,O,X,O,O,X,O,X
TIOSJLZ,O,X,X,O,X,X,O,X,X,X
TIOSJZL,O,X,X,O,X,X,O,X,X,X
TIOSZLJ,O,X,X,X,X,X,X,X,O,X
TIOSZJL,O,X,X,O,O,X,O,X,X,X
TIOZLJS,O,X,X,X,O,X,X,X,X,X
TIOZLSJ,O,X,X,X,O,X,X,X,X,X
TIOZJLS,O,X,X,X,O,X,X,X,X,X
TIOZJSL,O,X,X,X,O,X,O,O,X,X
TIOZSLJ,O,X,X,X,X,X,X,X,O,X
TIOZSJL,O,X,X,X,O,X,O,X,X,X
TLIJSZO,X,O,X,X,O,O,O,O,X,X
TLIJSOZ,X,O,X,X,O,O,O,X,X,X
TLIJZSO,X,X,X,X,O,O,O,O,X,X
TLIJZOS,X,X,X,X,O,O,X,O,X,X
TLIJOSZ,X,O,X,X,X,O,O,X,X,X
TLIJOZS,X,X,X,X,O,O,O,O,X,X
TLISJZO,X,O,O,X,O,O,O,O,O,X
TLISJOZ,X,O,X,O,O,O,O,X,X,X
TLISZJO,X,X,O,X,O,X,O,O,O,X
TLISZOJ,X,O,O,O,O,O,O,X,O,X
TLISOJZ,X,O,X,O,O,O,O,X,X,X
TLISOZJ,X,O,O,O,O,O,O,X,O,X
TLIZJSO,X,X,O,X,O,X,O,O,X,X
TLIZJOS,X,X,X,X,O,X,X,O,X,X
TLIZSJO,X,X,O,X,O,X,O,O,O,X
TLIZSOJ,X,X,O,X,O,O,O,X,O,X
TLIZOJS,X,X,X,X,O,X,O,O,X,X
TLIZOSJ,X,X,X,X,O,O,O,X,X,X
TLIOJSZ,X,O,X,O,X,O,O,X,X,X
TLIOJZS,X,X,X,X,O,O,O,O,X,X
TLIOSJZ,X,O,X,O,O,O,O,X,X,X
TLIOSZJ,X,O,X,O,O,O,O,X,X,X
TLIOZJS,X,X,X,X,O,X,O,O,X,X
TLIOZSJ,X,X,X,X,O,O,O,X,X,X
TLJISZO,X,O,X,X,O,O,O,O,X,X
TLJISOZ,X,O,X,X,O,O,O,X,X,X
TLJIZSO,X,X,X,X,O,O,O,O,X,X
TLJIZOS,X,X,X,X,O,O,X,O,X,X
TLJIOSZ,X,O,X,X,X,O,O,X,X,X
TLJIOZS,X,X,X,X,O,O,O,O,X,X
TLJSIZO,X,O,O,X,O,O,O,O,X,X
TLJSIOZ,O,O,X,O,O,O,O,X,X,X
TLJSZIO,X,O,O,X,O,O,O,O,X,X
TLJSZOI,X,O,O,X,O,O,X,O,X,X
TLJSOIZ,X,O,X,O,O,O,O,X,X,X
TLJSOZI,X,O,X,O,O,O,O,X,X,X
TLJZISO,X,X,O,X,O,O,O,O,X,X
TLJZIOS,X,X,X,X,O,O,X,O,X,X
TLJZSIO,X,O,O,X,O,O,O,O,X,X
TLJZSOI,X,O,O,X,O,O,X,O,X,X
TLJZOIS,X,X,X,X,O,O,X,O,X,X
TLJZOSI,X,O,O,X,O,O,X,O,X,X
TLJOISZ,X,O,X,O,X,O,O,X,X,X
TLJOIZS,X,X,X,X,O,O,O,O,X,X
TLJOSIZ,X,O,X,O,X,O,O,X,X,X
TLJOSZI,X,O,X,O,X,O,O,X,X,X
TLJOZIS,X,X,X,X,O,O,O,O,X,X
TLJOZSI,X,O,X,O,O,O,O,O,X,X
TLSIJZO,X,O,O,X,O,O,O,O,O,X
TLSIJOZ,O,O,X,O,O,O,O,X,X,X
TLSIZJO,X,X,O,X,O,X,O,O,O,X
TLSIZOJ,X,O,O,O,O,O,O,X,O,X
TLSIOJZ,O,O,X,O,O,O,O,X,X,X
TLSIOZJ,X,O,O,O,O,O,O,X,O,X
TLSJIZO,X,O,O,X,O,O,O,O,O,X
TLSJIOZ,O,O,X,O,O,O,O,X,X,X
TLSJZIO,X,O,O,X,O,O,O,O,O,X
TLSJZOI,X,O,O,X,O,O,X,O,O,X
TLSJOIZ,X,O,X,O,O,O,O,X,X,X
TLSJOZI,X,O,X,O,O,O,O,X,X,X
TLSZIJO,X,X,O,X,O,X,O,O,O,X
TLSZIOJ,X,O,O,O,O,O,O,X,O,X
TLSZJIO,X,X,O,X,O,O,O,O,O,X
TLSZJOI,X,X,O,X,O,O,X,O,O,X
TLSZOIJ,X,O,O,O,O,O,O,X,O,O
TLSZOJI,X,O,O,O,O,O,O,X,O,O
TLSOIJZ,O,O,X,O,O,O,O,X,X,X
TLSOIZJ,X,O,O,O,O,O,O,X,O,X
TLSOJIZ,O,O,X,O,O,O,O,X,X,X
TLSOJZI,O,O,X,O,O,O,O,X,X,O
TLSOZIJ,O,O,O,O,O,O,O,X,O,O
TLSOZJI,O,O,O,O,O,O,O,X,O,O
TLZIJSO,X,X,O,X,O,X,O,O,X,X
TLZIJOS,X,X,X,X,O,X,X,O,X,X
TLZISJO,X,X,O,X,O,X,O,O,O,X
TLZISOJ,X,X,O,X,O,O,O,X,O,X
TLZIOJS,X,X,X,X,O,X,O,O,X,X
TLZIOSJ,X,X,X,X,O,O,O,X,X,X
TLZJISO,X,X,O,X,O,O,O,O,X,X
TLZJIOS,X,X,X,X,O,O,X,O,X,X
TLZJSIO,X,X,O,X,O,O,O,O,X,X
TLZJSOI,X,X,O,X,O,O,X,O,X,X
TLZJOIS,X,X,X,X,O,O,X,O,X,X
TLZJOSI,X,X,O,X,O,O,X,O,X,X
TLZSIJO,X,X,O,X,O,X,O,O,O,X
TLZSIOJ,X,O,O,O,O,O,O,X,O,X
TLZSJIO,X,X,O,X,O,O,O,O,O,X
TLZSJOI,X,X,O,X,O,O,X,O,O,X
TLZSOIJ,X,O,O,O,O,O,O,X,O,O
TLZSOJI,X,O,O,O,O,O,O,X,O,O
TLZOIJS,X,X,X,X,O,X,O,O,X,O
TLZOISJ,X,X,X,X,O,O,O,X,X,O
TLZOJIS,X,X,X,X,O,O,O,O,X,O
TLZOJSI,X,X,O,O,O,O,O,O,X,O
TLZOSIJ,X,O,O,O,O,O,O,X,X,O
TLZOSJI,X,O,O,O,O,O,O,X,X,O
TLOIJSZ,X,O,X,O,X,O,O,X,X,X
TLOIJZS,X,X,X,X,O,O,O,O,X,X
TLOISJZ,X,O,X,O,O,O,O,X,X,X
TLOISZJ,X,O,X,O,O,O,O,X,X,X
TLOIZJS,X,X,X,X,O,X,O,O,X,X
TLOIZSJ,X,X,X,X,O,O,O,X,X,X
TLOJISZ,X,O,X,O,X,O,O,X,X,X
TLOJIZS,X,X,X,X,O,O,O,O,X,X
TLOJSIZ,O,O,X,O,X,O,O,X,X,X
TLOJSZI,O,O,X,O,X,O,O,X,X,O
TLOJZIS,O,X,X,X,O,O,O,O,X,O
TLOJZSI,O,O,X,O,O,O,O,O,X,O
TLOSIJZ,O,O,X,O,O,O,O,X,X,X
TLOSIZJ,X,O,O,O,O,O,O,X,X,X
TLOSJIZ,O,O,X,O,O,O,O,X,X,X
TLOSJZI,O,O,X,O,O,O,O,X,X,O
TLOSZIJ,O,O,O,O,O,O,O,X,X,O
TLOSZJI,O,O,O,O,O,O,O,X,X,O
TLOZIJS,O,X,X,X,O,X,O,O,X,O
TLOZISJ,O,X,X,X,O,O,O,X,X,O
TLOZJIS,O,X,X,X,O,O,O,O,X,O
TLOZJSI,O,X,O,O,O,O,O,O,X,O
TLOZSIJ,O,O,O,O,O,O,O,X,X,O
TLOZSJI,O,O,O,O,O,O,O,X,X,O
TJILSZO,X,O,X,X,O,O,X,O,O,X
TJILSOZ,X,O,X,X,O,O,O,X,O,X
TJILZSO,X,X,X,X,O,O,X,O,O,X
TJILZOS,X,X,X,X,O,O,X,O,X,X
TJILOSZ,X,O,X,X,X,O,X,X,X,X
TJILOZS,X,X,X,X,O,O,X,O,X,X
TJISLZO,X,O,X,X,X,O,X,O,O,X
TJISLOZ,O,O,X,X,X,O,O,X,O,X
TJISZLO,X,O,X,X,X,O,X,O,O,X
TJISZOL,O,X,X,X,X,X,O,O,O,X
TJISOLZ,O,O,X,X,X,O,O,X,O,X
TJISOZL,O,X,X,X,X,X,O,X,O,X
TJIZLSO,X,X,X,X,O,O,X,O,O,X
TJIZLOS,X,X,X,X,O,O,X,O,X,X
TJIZSLO,X,X,X,X,O,O,X,O,O,X
TJIZSOL,X,X,X,X,O,X,O,O,O,X
TJIZOLS,X,X,X,X,O,X,X,X,X,X
TJIZOSL,X,X,X,X,O,X,X,O,O,X
TJIOLSZ,X,X,X,X,X,O,O,X,X,X
TJIOLZS,X,X,X,X,X,O,X,O,X,X
TJIOSLZ,X,X,X,X,X,O,O,X,O,X
TJIOSZL,X,X,X,X,X,X,O,X,O,X
TJIOZLS,X,X,X,X,O,X,X,X,X,X
TJIOZSL,X,X,X,X,O,X,O,O,O,X
TJLISZO,X,O,X,X,O,O,O,O,O,X
TJLISOZ,X,O,X,X,O,O,O,X,O,X
TJLIZSO,X,X,X,X,O,O,O,O,O,X
TJLIZOS,X,X,X,X,O,O,X,O,X,X
TJLIOSZ,X,O,X,X,X,O,O,X,X,X
TJLIOZS,X,X,X,X,O,O,X,O,X,X
TJLSIZO,X,O,X,X,O,O,O,O,O,X
TJLSIOZ,O,O,X,X,O,O,O,X,O,X
TJLSZIO,X,O,X,X,O,O,O,O,O,X
TJLSZOI,X,O,X,X,O,O,X,O,O,X
TJLSOIZ,X,O,X,X,O,O,O,X,O,X
TJLSOZI,X,O,X,X,O,O,X,X,O,X
TJLZISO,X,X,X,X,O,O,O,O,O,X
TJLZIOS,X,X,X,X,O,O,X,O,X,X
TJLZSIO,X,O,X,X,O,O,O,O,O,X
TJLZSOI,X,O,X,X,O,O,X,O,O,X
TJLZOIS,X,X,X,X,O,O,X,O,X,X
TJLZOSI,X,O,X,X,O,O,X,O,X,X
TJLOISZ,X,O,X,X,X,O,O,X,X,X
TJLOIZS,X,X,X,X,O,O,X,O,X,X
TJLOSIZ,X,O,X,X,X,O,O,X,X,X
TJLOSZI,X,O,X,X,X,O,X,X,X,X
TJLOZIS,X,X,X,X,O,O,X,O,X,X
TJLOZSI,X,O,X,X,O,O,X,O,X,X
TJSILZO,X,O,X,X,X,O,O,O,O,X
TJSILOZ,O,O,X,X,X,O,O,X,O,X
TJSIZLO,O,O,O,X,X,O,X,O,O,X
TJSIZOL,O,X,O,X,X,X,O,O,O,X
TJSIOLZ,O,O,X,O,X,O,O,X,O,X
TJSIOZL,O,X,X,O,X,X,O,X,O,X
TJSLIZO,X,O,X,X,X,O,O,O,O,X
TJSLIOZ,O,O,X,X,X,O,O,X,O,X
TJSLZIO,X,O,X,X,X,O,O,O,O,X
TJSLZOI,X,O,X,X,X,O,X,O,O,X
TJSLOIZ,X,O,X,X,X,O,O,X,O,X
TJSLOZI,X,O,X,X,X,O,X,X,O,X
TJSZILO,O,O,O,X,X,O,X,O,O,X
TJSZIOL,O,X,O,X,X,X,O,O,O,X
TJSZLIO,O,O,O,X,X,O,X,O,O,X
TJSZLOI,X,O,O,X,X,O,X,O,O,X
TJSZOIL,O,X,O,X,X,X,X,O,O,X
TJSZOLI,X,X,O,X,X,X,X,O,O,X
TJSOILZ,O,O,X,O,X,O,O,X,O,X
TJSOIZL,O,X,X,O,X,X,O,X,O,X
TJSOLIZ,O,O,X,O,X,O,O,X,O,X
TJSOLZI,O,O,X,O,X,O,O,X,O,X
TJSOZIL,O,X,X,O,X,X,O,X,O,X
TJSOZLI,O,X,X,O,X,X,O,X,O,X
TJZILSO,X,X,X,X,O,O,X,O,O,X
TJZILOS,X,X,X,X,O,O,X,O,X,X
TJZISLO,O,X,O,X,O,O,X,O,O,X
TJZISOL,O,X,O,X,O,X,O,O,O,X
TJZIOLS,X,X,X,X,O,X,X,X,X,X
TJZIOSL,X,X,X,X,O,X,X,O,O,X
TJZLISO,X,X,X,X,O,O,X,O,O,X
TJZLIOS,X,X,X,X,O,O,X,O,X,X
TJZLSIO,O,O,O,X,O,O,X,O,O,X
TJZLSOI,X,O,O,X,O,O,X,O,O,X
TJZLOIS,X,X,X,X,O,O,X,O,X,X
TJZLOSI,X,O,X,X,O,O,X,O,X,X
TJZSILO,O,O,O,X,O,O,X,O,O,X
TJZSIOL,O,X,O,X,O,X,O,O,O,X
TJZSLIO,O,O,O,X,O,O,X,O,O,X
TJZSLOI,X,O,O,X,O,O,X,O,O,X
TJZSOIL,O,X,O,X,O,X,X,O,O,X
TJZSOLI,X,X,O,X,X,X,X,O,O,X
TJZOILS,X,X,X,X,O,X,X,X,X,X
TJZOISL,X,X,X,X,O,X,X,O,O,X
TJZOLIS,X,X,X,X,O,X,X,X,X,X
TJZOLSI,X,X,X,X,O,X,X,X,X,X
TJZOSIL,O,X,O,X,O,X,X,O,O,X
TJZOSLI,X,X,O,X,X,X,X,O,O,X
TJOILSZ,X,X,X,X,X,O,O,X,X,X
TJOILZS,X,X,X,X,X,O,O,O,X,X
TJOISLZ,O,X,X,O,X,O,O,X,O,X
TJOISZL,O,X,X,O,X,X,O,X,O,X
TJOIZLS,O,X,X,X,O,X,X,X,X,X
TJOIZSL,O,X,X,X,O,X,O,O,O,X
TJOLISZ,X,O,X,X,X,O,O,X,X,X
TJOLIZS,X,X,X,X,X,O,O,O,X,X
TJOLSIZ,O,O,X,O,X,O,O,X,X,X
TJOLSZI,O,O,X,O,X,O,O,X,X,X
TJOLZIS,O,X,X,X,X,O,O,O,X,X
TJOLZSI,O,O,X,X,X,O,O,O,X,X
TJOSILZ,O,O,X,O,X,O,O,X,O,X
TJOSIZL,O,X,X,O,X,X,O,X,O,X
TJOSLIZ,O,O,X,O,X,O,O,X,O,X
TJOSLZI,O,O,X,O,X,O,O,X,O,X
TJOSZIL,O,X,X,O,X,X,O,X,O,X
TJOSZLI,O,X,X,O,X,X,O,X,O,X
TJOZILS,O,X,X,X,O,X,X,X,X,X
TJOZISL,O,X,X,X,O,X,O,O,O,X
TJOZLIS,O,X,X,X,O,X,O,X,X,X
TJOZLSI,O,X,X,X,X,X,O,X,X,X
TJOZSIL,O,X,X,O,O,X,O,O,O,X
TJOZSLI,O,X,X,O,X,X,O,O,O,X
TSILJZO,X,O,O,X,O,O,X,O,O,X
TSILJOZ,O,O,X,O,O,O,O,X,O,X
TSILZJO,X,X,O,X,O,X,X,O,O,X
TSILZOJ,X,O,O,O,O,O,X,X,O,X
TSILOJZ,O,O,X,O,O,O,O,X,X,X
TSILOZJ,X,O,O,O,O,O,X,X,O,X
TSIJLZO,X,O,X,X,X,X,O,O,O,X
TSIJLOZ,O,O,X,X,X,O,O,X,O,X
TSIJZLO,O,O,O,X,X,X,X,O,O,X
TSIJZOL,O,X,O,X,X,X,O,O,O,X
TSIJOLZ,O,O,X,O,X,X,O,X,O,X
TSIJOZL,O,X,X,O,X,X,O,X,O,X
TSIZLJO,X,X,O,X,O,X,X,X,O,X
TSIZLOJ,X,O,O,X,O,O,X,X,O,X
TSIZJLO,X,X,O,X,O,X,X,O,O,X
TSIZJOL,O,X,O,X,O,X,O,O,X,X
TSIZOLJ,X,X,X,X,X,X,X,X,O,X
TSIZOJL,O,X,O,O,O,X,O,X,X,X
TSIOLJZ,O,O,X,O,X,O,O,X,X,X
TSIOLZJ,X,O,X,O,X,O,O,X,O,X
TSIOJLZ,O,X,X,O,X,X,O,X,X,X
TSIOJZL,O,X,X,O,X,X,O,X,X,X
TSIOZLJ,O,X,X,X,X,X,X,X,O,X
TSIOZJL,O,X,O,O,O,X,O,X,X,X
TSLIJZO,X,O,O,X,O,O,O,O,O,X
TSLIJOZ,O,O,X,O,O,O,O,X,O,X
TSLIZJO,X,X,O,X,O,X,O,O,O,X
TSLIZOJ,X,O,O,O,O,O,O,X,O,X
TSLIOJZ,O,O,X,O,O,O,O,X,X,X
TSLIOZJ,X,O,O,O,O,O,O,X,O,X
TSLJIZO,X,O,O,X,O,O,O,O,O,X
TSLJIOZ,O,O,X,O,O,O,O,X,O,X
TSLJZIO,X,O,O,X,O,O,O,O,O,X
TSLJZOI,X,O,O,X,O,O,X,O,O,X
TSLJOIZ,X,O,X,O,O,O,O,X,O,X
TSLJOZI,X,O,X,O,O,O,O,X,O,X
TSLZIJO,X,X,O,X,O,X,O,O,O,X
TSLZIOJ,X,O,O,O,O,O,O,X,O,X
TSLZJIO,X,X,O,X,O,O,O,O,O,X
TSLZJOI,X,X,O,X,O,O,X,O,O,X
TSLZOIJ,X,O,O,O,O,O,O,X,O,O
TSLZOJI,X,O,O,O,O,O,O,X,O,O
TSLOIJZ,O,O,X,O,O,O,O,X,X,X
TSLOIZJ,X,O,O,O,O,O,O,X,O,X
TSLOJIZ,O,O,X,O,O,O,O,X,X,X
TSLOJZI,O,O,X,O,O,O,O,X,X,O
TSLOZIJ,O,O,O,O,O,O,O,X,O,O
TSLOZJI,O,O,O,O,O,O,O,X,O,O
TSJILZO,X,O,X,X,X,O,O,O,O,X
TSJILOZ,O,O,X,X,X,O,O,X,O,X
TSJIZLO,O,O,O,X,X,O,X,O,O,X
TSJIZOL,O,X,O,X,X,X,O,O,O,X
TSJIOLZ,O,O,X,O,X,O,O,X,O,X
TSJIOZL,O,X,X,O,X,X,O,X,O,X
TSJLIZO,X,O,X,X,X,O,O,O,O,X
TSJLIOZ,O,O,X,X,X,O,O,X,O,X
TSJLZIO,X,O,X,X,X,O,O,O,O,X
TSJLZOI,X,O,X,X,X,O,X,O,O,X
TSJLOIZ,X,O,X,X,X,O,O,X,O,X
TSJLOZI,X,O,X,X,X,O,X,X,O,X
TSJZILO,O,O,O,X,X,O,X,O,O,X
TSJZIOL,O,X,O,X,X,X,O,O,O,X
TSJZLIO,O,O,O,X,X,O,X,O,O,X
TSJZLOI,X,O,O,X,X,O,X,O,O,X
TSJZOIL,O,X,O,X,X,X,X,O,O,X
TSJZOLI,X,X,O,X,X,X,X,O,O,X
TSJOILZ,O,O,X,O,X,O,O,X,O,X
TSJOIZL,O,X,X,O,X,X,O,X,O,X
TSJOLIZ,O,O,X,O,X,O,O,X,O,X
TSJOLZI,O,O,X,O,X,O,O,X,O,X
TSJOZIL,O,X,X,O,X,X,O,X,O,X
TSJOZLI,O,X,X,O,X,X,O,X,O,X
TSZILJO,O,X,O,X,O,X,X,X,O,X
TSZILOJ,O,O,O,X,O,O,X,X,O,X
TSZIJLO,O,X,O,X,O,X,X,O,O,X
TSZIJOL,O,X,O,X,O,X,O,O,X,X
TSZIOLJ,O,X,X,X,X,X,X,X,O,X
TSZIOJL,O,X,O,O,O,X,O,X,X,X
TSZLIJO,O,X,O,X,O,X,X,X,O,X
TSZLIOJ,O,O,O,X,O,O,X,X,O,X
TSZLJIO,O,X,O,X,O,O,X,X,O,X
TSZLJOI,X,X,O,X,O,O,X,X,O,X
TSZLOIJ,O,O,O,X,O,O,X,X,O,X
TSZLOJI,O,O,O,X,O,O,X,X,O,X
TSZJILO,O,X,O,X,O,X,X,O,O,X
TSZJIOL,O,X,O,X,O,X,O,O,X,X
TSZJLIO,O,X,O,X,O,X,X,O,O,X
TSZJLOI,X,X,O,X,O,X,X,O,O,X
TSZJOIL,O,X,O,X,O,X,X,O,X,X
TSZJOLI,O,X,O,X,X,X,X,O,X,X
TSZOILJ,O,X,X,X,X,X,X,X,O,X
TSZOIJL,O,X,O,O,O,X,O,X,X,X
TSZOLIJ,O,X,X,X,X,X,O,X,O,X
TSZOLJI,O,X,X,X,X,X,O,X,O,X
TSZOJIL,O,X,O,O,O,X,O,X,X,X
TSZOJLI,O,X,O,O,X,X,O,X,X,X
