sequence,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBFiBO?oB6rBcsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBFiBO?oBSsB0rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxdBFhBXiBO?oBcsB6rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhF3dBcjBFhBR?sBCsBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxdBFhBXiBO?oBSsB0rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFCeBFhBXjBR?sB8rBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBcjBGiBR?sBlrBisB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBCeBOoBx?mBFsB8rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxcBFhB8mBC?jBOoBXsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBOoBl?mBcsBCsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhF3dBFhBRnBc?oBCsBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFVhB3dBcjBx?mBurBisB
TIOSLZJ,X,X,X,O,X,O,O,X,X,X,X,O
TIOSJLZ,X,X,X,X,X,X,O,O,X,X,X,X
TIOSJZL,X,X,X,X,X,X,O,O,X,X,X,X
TIOSZLJ,X,X,X,O,X,O,O,X,X,X,X,O
TIOSZJL,X,X,X,O,X,O,O,X,X,X,X,O
TIOZLJS,X,X,X,O,X,X,O,X,X,X,X,O
TIOZLSJ,X,X,X,O,X,O,O,X,X,X,X,O
TIOZJLS,X,X,X,O,X,X,O,O,X,X,X,O
TIOZJSL,X,X,O,O,X,O,O,O,X,X,X,O
TIOZSLJ,X,X,X,O,X,O,O,X,X,X,X,O
TIOZSJL,X,X,O,O,X,O,O,X,X,X,X,O
TLIJSZO,X,O,X,X,O,X,X,O,X,X,X,X
TLIJSOZ,O,O,X,X,O,X,X,O,X,X,X,X
TLIJZSO,X,O,X,O,X,X,X,O,X,X,O,O
TLIJZOS,X,O,X,O,X,X,X,O,X,X,O,O
TLIJOSZ,O,O,X,X,O,X,X,O,X,X,X,X
TLIJOZS,X,O,X,O,X,X,X,O,X,X,O,O
TLISJZO,X,O,X,X,O,X,X,X,X,X,X,X
TLISJOZ,O,O,X,X,O,X,X,X,X,X,X,X
TLISZJO,X,X,X,O,X,X,X,X,X,X,O,O
TLISZOJ,X,O,X,O,X,X,X,X,X,X,O,O
TLISOJZ,O,O,X,X,O,X,X,X,X,X,X,X
TLISOZJ,X,O,X,O,X,X,X,X,X,X,O,O
TLIZJSO,X,X,X,O,X,X,X,X,X,X,O,O
TLIZJOS,X,X,X,O,X,X,X,X,X,X,O,O
TLIZSJO,X,X,X,O,X,O,X,X,X,X,O,O
TLIZSOJ,X,O,X,O,X,O,X,X,X,X,O,O
TLIZOJS,X,X,X,O,X,X,X,X,X,X,O,O
TLIZOSJ,X,O,X,O,X,O,X,X,X,X,O,O
TLIOJSZ,O,O,X,X,O,X,X,O,X,X,X,X
TLIOJZS,X,O,X,O,X,X,X,O,X,X,O,O
TLIOSJZ,O,O,X,X,O,X,X,X,X,X,X,X
TLIOSZJ,X,O,X,O,X,X,X,X,X,X,O,O
TLIOZJS,X,X,X,O,X,X,X,X,X,X,O,O
TLIOZSJ,X,O,X,O,X,O,X,X,X,X,O,O
TLJISZO,X,O,X,X,O,X,X,O,X,X,X,X
TLJISOZ,O,O,X,X,O,X,X,O,X,X,X,X
TLJIZSO,X,O,X,X,X,X,X,O,X,X,O,O
TLJIZOS,X,O,X,X,X,X,X,O,X,X,O,O
TLJIOSZ,O,O,X,X,O,X,X,O,X,X,X,X
TLJIOZS,X,O,X,X,X,X,X,O,X,X,O,O
TLJSIZO,X,O,X,X,O,X,X,O,X,X,X,X
TLJSIOZ,O,O,X,X,O,X,X,O,X,X,X,X
TLJSZIO,O,O,X,X,O,X,X,X,X,X,X,X
TLJSZOI,O,O,X,X,O,X,X,X,X,X,X,X
TLJSOIZ,O,O,X,X,O,X,X,O,X,X,X,X
TLJSOZI,O,O,X,X,O,X,X,X,X,X,X,X
TLJZISO,O,O,X,X,X,X,X,O,X,X,X,O
TLJZIOS,O,O,X,X,X,X,X,O,X,X,X,O
TLJZSIO,O,O,O,X,O,X,X,X,X,X,X,X
TLJZSOI,O,O,O,X,O,X,X,X,X,X,X,O
TLJZOIS,O,O,X,X,X,X,X,O,X,X,X,O
TLJZOSI,O,O,O,X,O,X,X,X,X,X,X,O
TLJOISZ,O,O,X,X,O,X,X,O,X,X,X,X
TLJOIZS,X,O,X,X,X,X,X,O,X,X,O,O
TLJOSIZ,O,O,X,X,O,X,X,O,X,X,X,X
TLJOSZI,O,O,X,X,O,X,X,X,X,X,X,X
TLJOZIS,O,O,X,X,X,X,X,O,X,X,X,O
TLJOZSI,O,O,O,X,O,X,X,X,X,X,X,O
TLSIJZO,X,O,X,X,O,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,O,X,X,X,X,X,X,X
TLSIZJO,X,X,X,X,X,X,X,X,X,X,O,O
TLSIZOJ,X,O,X,X,X,X,X,X,X,X,O,O
TLSIOJZ,O,O,X,X,O,X,X,X,X,X,X,X
TLSIOZJ,X,O,X,X,X,X,X,X,X,X,O,O
TLSJIZO,X,O,X,X,O,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,X,O,X,X,X,X,X,X,X
TLSJZIO,O,O,X,X,O,X,X,X,X,X,X,X
TLSJZOI,O,O,X,X,O,X,X,X,X,X,X,X
TLSJOIZ,O,O,X,X,O,X,X,X,X,X,X,X
TLSJOZI,O,O,X,X,O,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,X,X,X,X,O,X,X,O
TLSZIOJ,O,O,X,X,X,X,X,X,O,X,X,O
TLSZJIO,O,O,X,X,O,X,X,X,O,X,X,X
TLSZJOI,O,O,X,X,O,X,X,X,O,X,X,O
TLSZOIJ,O,O,X,X,X,X,X,X,O,X,X,O
TLSZOJI,O,O,X,X,O,X,X,X,O,X,X,O
TLSOIJZ,O,O,X,X,O,X,X,X,X,X,X,X
TLSOIZJ,X,O,X,X,X,X,X,X,X,X,O,O
TLSOJIZ,O,O,X,X,O,X,X,X,X,X,X,X
TLSOJZI,O,O,X,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,X,X,O,X,X,O
TLSOZJI,O,O,X,X,O,X,X,X,O,X,X,O
TLZIJSO,O,X,X,O,X,X,X,X,X,X,O,O
TLZIJOS,O,X,X,O,X,X,X,X,X,X,O,O
TLZISJO,O,X,X,O,X,X,X,X,X,X,O,O
TLZISOJ,O,O,X,O,X,X,X,X,X,X,O,O
TLZIOJS,O,X,X,O,X,X,X,X,X,X,O,O
TLZIOSJ,O,O,X,O,X,X,X,X,X,X,O,O
TLZJISO,O,O,X,X,X,X,X,X,X,X,X,O
TLZJIOS,O,O,X,X,X,X,X,X,X,X,X,O
TLZJSIO,O,O,O,X,O,X,X,X,X,X,X,X
TLZJSOI,O,O,O,X,O,X,X,X,X,X,X,O
TLZJOIS,O,O,X,X,X,X,X,X,X,X,X,O
TLZJOSI,O,O,O,X,O,X,X,X,X,X,X,O
