sequence,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jex6IvhFygBuhB0fBT?iB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je//IvhFRbBUdBKlBz?gBWnBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je//IvhFRbBmgBCiBU?iBTlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je//IvhFRbBzcBOlB8?lBSnBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhFibBUdBWnBR?lB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jem7IvhFzcBxfBSnB0?fB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhFegBUdBChBx?mB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je2/IvhFRbBqhB/iBz?gBUlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je2/IvhFRbBChBTiB3?hBUlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jex6IvhFmcB0fBXhBS?nBTlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhF2gBCiBUiBR?lB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jem6IvhFRcB0fBSmBT?iB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jei6IvhFzfBWmBxhBU?iB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je2/IvhFzbBqhB/iBR?lBUlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhFqhB/iBRlBO?lB8lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jem8IvhFxfBXhBSnB0?fBTlBlsB
TILOZJS,X,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X
TILOZSJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSZO,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O
TIJLSOZ,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
TIJLZSO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJLZOS,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X
TIJLOSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TIJLOZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TIJSLZO,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O,X
TIJSLOZ,O,O,O,X,O,O,O,O,X,X,O,X,X,O,O,X
TIJSZLO,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X
TIJSZOL,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TIJSOLZ,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
TIJSOZL,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJZLSO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJZLOS,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X
TIJZSLO,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X
TIJZSOL,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TIJZOLS,O,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
TIJZOSL,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TIJOLSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TIJOLZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TIJOSLZ,X,X,X,X,O,X,O,O,X,X,O,X,O,O,O,X
TIJOSZL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJOZLS,X,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
TIJOZSL,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TISLJZO,O,O,O,X,O,O,O,O,X,X,X,X,X,O,O,O
TISLJOZ,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,O
TISLZJO,O,O,X,O,X,O,O,O,X,X,X,X,X,O,O,O
TISLZOJ,O,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X
TISLOJZ,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,O
TISLOZJ,O,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X
TISJLZO,O,O,O,X,O,O,O,O,X,X,X,X,X,O,O,X
TISJLOZ,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,X
TISJZLO,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X
TISJZOL,O,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X
TISJOLZ,X,X,O,X,O,O,O,O,X,X,O,X,X,O,O,X
TISJOZL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,O,X,O,O,O,X,O,X,X,X,O,O,X
TISZLOJ,O,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X
TISZJLO,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X
TISZJOL,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TISZOLJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X
TISZOJL,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TISOLJZ,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,X
TISOLZJ,O,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X
TISOJLZ,O,X,O,X,O,O,O,O,X,X,O,X,X,O,O,X
TISOJZL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TISOZLJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TISOZJL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLJSO,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X
TIZLJOS,O,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TIZLSJO,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O
TIZLSOJ,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZLOJS,O,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TIZLOSJ,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZJLSO,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X
TIZJLOS,O,X,X,O,O,O,O,X,O,O,O,O,X,X,X,X
TIZJSLO,O,X,X,O,O,X,O,O,X,O,X,X,X,O,X,X
TIZJSOL,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TIZJOLS,O,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X
TIZJOSL,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
TIZSLJO,O,X,X,O,X,X,O,O,X,O,X,X,X,O,O,X
TIZSLOJ,O,X,X,O,X,X,O,O,X,O,X,X,X,O,O,X
TIZSJLO,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X
TIZSJOL,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TIZSOLJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X
TIZSOJL,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZOLJS,O,X,X,X,O,X,O,X,O,O,O,O,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
TIZOJLS,O,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X
TIZOJSL,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZOSJL,O,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X
TIOLJSZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TIOLJZS,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X,X
TIOLSJZ,X,O,O,X,O,O,O,X,X,X,O,X,X,X,O,O
TIOLSZJ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TIOLZJS,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOJLSZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TIOJLZS,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X,X
TIOJSLZ,O,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
TIOJSZL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOJZLS,O,O,X,X,O,X,O,X,O,X,O,O,O,X,X,X
TIOJZSL,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X
TIOSLJZ,O,X,O,X,O,X,O,O,X,X,O,X,X,O,O,X
TIOSLZJ,O,X,X,X,X,X,O,O,X,X,X,O,X,O,O,X
TIOSJLZ,O,X,O,X,O,X,O,O,X,X,O,X,X,O,O,X
TIOSJZL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOSZJL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOZLJS,O,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
TIOZJLS,O,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X
TIOZJSL,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZSJL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLIJSZO,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O
TLIJSOZ,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
TLIJZSO,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TLIJZOS,X,O,X,X,O,O,O,X,X,O,O,O,X,X,X,X
TLIJOSZ,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TLIJOZS,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TLISJZO,X,O,O,X,O,O,O,X,X,O,X,X,X,O,O,O
TLISJOZ,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O
TLISZJO,X,O,X,O,X,O,O,X,X,O,X,O,X,O,O,O
TLISZOJ,X,O,X,O,X,O,O,X,X,O,X,X,X,O,O,X
TLISOJZ,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O
TLISOZJ,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X
TLIZJSO,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X
TLIZJOS,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TLIZSJO,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O
TLIZSOJ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TLIZOJS,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TLIZOSJ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TLIOJSZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TLIOJZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLIOSJZ,X,O,O,O,O,O,O,X,X,X,O,X,X,X,O,O
TLIOSZJ,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X
TLIOZJS,X,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X
TLIOZSJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJISZO,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O
TLJISOZ,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
TLJIZSO,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TLJIZOS,X,O,X,X,O,O,O,X,O,O,O,O,X,X,X,X
TLJIOSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLJIOZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLJSIZO,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X,O
TLJSIOZ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
TLJSZIO,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,O
TLJSZOI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLJSOIZ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
TLJSOZI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLJZISO,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
TLJZIOS,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLJZSIO,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O
TLJZSOI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLJZOIS,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLJZOSI,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJOISZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TLJOIZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLJOSIZ,X,O,O,O,X,O,X,O,X,X,X,X,O,X,X,O
TLJOSZI,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLJOZIS,X,O,X,O,O,X,X,X,O,O,X,X,O,X,X,X
TLJOZSI,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TLSIJZO,O,O,O,X,X,O,X,O,X,O,X,X,X,O,O,O
TLSIJOZ,O,O,O,O,X,O,X,O,X,X,O,X,X,O,O,O
TLSIZJO,O,O,X,O,X,O,X,O,X,O,X,O,X,O,O,O
TLSIZOJ,O,O,X,O,X,O,X,O,X,O,X,X,X,O,O,X
TLSIOJZ,O,O,O,O,X,O,X,O,X,X,O,X,X,O,O,O
TLSIOZJ,O,O,X,O,X,O,X,O,X,X,X,X,X,O,O,X
TLSJIZO,O,O,O,X,X,O,X,O,X,O,X,X,X,O,O,O
TLSJIOZ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,O,O
TLSJZIO,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,O
TLSJZOI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLSJOIZ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,O,O
TLSJOZI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLSZIJO,O,O,X,O,X,O,X,O,X,O,X,O,X,O,O,O
TLSZIOJ,O,O,X,O,X,O,X,O,X,O,X,X,X,O,O,X
TLSZJIO,O,O,O,O,X,O,X,O,X,O,X,O,X,O,X,O
TLSZJOI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLSZOIJ,O,O,X,O,X,O,X,O,X,O,X,X,X,X,O,X
TLSZOJI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLSOIJZ,O,O,O,O,X,O,X,O,X,X,O,X,X,O,O,O
TLSOIZJ,O,O,X,O,X,O,X,O,X,X,X,X,X,O,O,X
TLSOJIZ,O,O,O,O,X,O,X,O,X,X,X,X,O,O,O,O
TLSOJZI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLSOZIJ,O,O,X,O,X,O,X,O,X,O,X,X,X,X,O,X
TLSOZJI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLZIJSO,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TLZIJOS,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
TLZISJO,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O
TLZISOJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLZIOJS,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
TLZIOSJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLZJISO,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TLZJIOS,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X
TLZJSIO,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O
TLZJSOI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLZJOIS,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X
TLZJOSI,O,O,X,O,X,X,X,O,O,O,X,O,X,X,X,X
TLZSIJO,O,O,X,O,X,O,X,O,X,O,X,O,X,X,X,O
TLZSIOJ,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TLZSJIO,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,O
TLZSJOI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLZSOIJ,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TLZSOJI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLZOIJS,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X,X
TLZOISJ,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
TLZOJIS,O,O,X,O,X,X,X,X,O,O,X,O,O,X,X,X
TLZOJSI,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TLZOSIJ,O,O,X,O,X,O,X,O,O,O,X,O,X,X,X,X
TLZOSJI,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X
TLOIJSZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TLOIJZS,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X,X
TLOISJZ,X,O,O,O,O,O,O,X,X,X,O,X,X,X,O,O
TLOISZJ,X,O,X,O,X,O,O,X,X,X,X,O,X,X,O,X
TLOIZJS,X,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X
TLOIZSJ,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TLOJISZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TLOJIZS,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X,X
TLOJSIZ,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,O
TLOJSZI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLOJZIS,O,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X
TLOJZSI,O,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X
TLOSIJZ,O,O,O,O,X,O,X,O,X,X,O,X,X,X,O,O
TLOSIZJ,O,O,X,O,X,O,X,O,X,X,X,O,X,X,O,X
TLOSJIZ,O,O,O,O,X,O,X,O,X,X,X,X,O,X,O,O
TLOSJZI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLOSZIJ,O,O,X,O,X,O,X,O,X,O,X,O,X,X,O,X
TLOSZJI,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
TLOZIJS,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X,X
TLOZISJ,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
TLOZJIS,O,O,X,O,X,X,X,X,O,O,X,O,O,X,X,X
TLOZJSI,O,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X
TLOZSIJ,O,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X
TLOZSJI,O,O,O,O,X,O,X,X,O,O,X,O,X,X,X,X
TJILSZO,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O
TJILSOZ,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
TJILZSO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJILZOS,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X
TJILOSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TJILOZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TJISLZO,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O,X
TJISLOZ,O,O,O,X,O,O,O,O,X,X,O,X,X,O,O,X
TJISZLO,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X
TJISZOL,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TJISOLZ,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
TJISOZL,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJIZLSO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJIZLOS,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X
TJIZSLO,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X
TJIZSOL,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TJIZOLS,O,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
TJIZOSL,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TJIOLSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TJIOLZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TJIOSLZ,X,X,X,X,O,X,O,O,X,X,O,X,O,O,O,X
TJIOSZL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJIOZLS,X,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
TJIOZSL,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TJLISZO,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O
TJLISOZ,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
TJLIZSO,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TJLIZOS,X,O,X,X,O,O,O,X,O,O,O,O,X,X,X,X
TJLIOSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TJLIOZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TJLSIZO,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X,O
TJLSIOZ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
TJLSZIO,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,O
TJLSZOI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TJLSOIZ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
TJLSOZI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TJLZISO,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
TJLZIOS,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TJLZSIO,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O
TJLZSOI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLZOIS,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TJLZOSI,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TJLOISZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TJLOIZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TJLOSIZ,X,O,O,O,X,O,X,O,X,X,X,X,O,X,X,O
TJLOSZI,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TJLOZIS,X,O,X,O,O,X,X,X,O,O,X,X,O,X,X,X
TJLOZSI,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TJSILZO,O,O,O,X,O,O,O,O,X,X,X,X,X,O,O,X
TJSILOZ,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X
TJSIZLO,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X
TJSIZOL,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJSIOLZ,X,X,O,X,O,O,O,O,X,X,X,X,O,O,O,X
TJSIOZL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSLIZO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,O,X
TJSLIOZ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,O,X
TJSLZIO,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,X
TJSLZOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJSLOIZ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,O,X
TJSLOZI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJSZILO,O,O,O,O,O,O,X,O,X,O,X,X,X,O,X,X
TJSZIOL,O,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X
TJSZLIO,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,X
TJSZLOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJSZOIL,O,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X
