sequence,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhF6gBxcBXeBemBzh?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFxbBOiBXeBqlBTh?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFlbBXeB6mBZnBzq?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Jel6IvhFUcBXeB6lBZnBTr?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFehBXeBzhB6lBxr?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFVhBXeBZnB6qBTr?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFTcBFeBRmB6lB/n?BmrB,v115@9gA8HeD8DeF8EeH8AeC8Jex6IvhFTcBFeBUmBasB/s?BGqB
IJOTSLZ,X,X,X,X,O,X,O,X
IJOTSZL,X,X,X,X,O,O,O,X
IJOTZLS,X,X,X,X,O,X,O,X
IJOTZSL,X,X,X,X,O,O,O,X
IJOLTSZ,X,X,O,O,O,X,O,X
IJOLTZS,X,X,O,O,O,X,O,X
IJOLSTZ,X,X,O,O,O,X,O,X
IJOLSZT,O,X,O,O,O,X,O,X
IJOLZTS,X,X,O,O,O,X,O,X
IJOLZST,O,X,O,O,O,X,O,X
IJOSTLZ,X,X,X,X,O,X,O,X
IJOSTZL,X,X,X,X,O,O,O,X
IJOSLTZ,X,X,O,O,O,X,O,X
IJOSLZT,O,X,O,O,O,X,O,X
IJOSZTL,X,X,X,X,O,O,O,X
IJOSZLT,O,X,O,X,O,X,O,X
IJOZTLS,X,X,X,X,O,X,O,X
IJOZTSL,X,X,X,X,O,O,O,X
IJOZLTS,X,X,O,X,O,X,O,X
IJOZLST,O,X,O,X,O,X,O,X
IJOZSTL,X,X,X,X,O,O,O,X
IJOZSLT,O,X,O,X,O,X,O,X
ISTLJZO,O,O,X,X,X,X,X,X
ISTLJOZ,O,O,X,O,X,X,X,X
ISTLZJO,O,O,X,X,X,X,X,X
ISTLZOJ,O,O,X,O,X,X,X,X
ISTLOJZ,X,O,X,O,X,X,X,X
ISTLOZJ,X,O,X,O,X,X,X,X
ISTJLZO,O,O,X,X,X,X,X,X
ISTJLOZ,O,O,X,O,X,X,X,X
ISTJZLO,O,O,X,X,X,X,X,X
ISTJZOL,O,O,X,X,O,X,X,X
ISTJOLZ,O,O,X,X,O,X,X,X
ISTJOZL,O,X,X,X,O,X,X,X
ISTZLJO,O,O,X,X,X,X,X,X
ISTZLOJ,O,O,X,O,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X
ISTZJOL,O,O,X,X,O,X,X,X
ISTZOLJ,O,O,O,X,X,O,X,X
ISTZOJL,O,O,X,X,O,O,X,X
ISTOLJZ,X,O,O,O,X,X,X,X
ISTOLZJ,X,O,O,O,X,O,X,X
ISTOJLZ,O,O,X,X,O,X,X,X
ISTOJZL,O,X,X,X,O,O,X,X
ISTOZLJ,O,X,O,X,X,O,X,X
ISTOZJL,O,X,X,X,O,O,X,X
ISLTJZO,O,O,X,X,X,X,X,X
ISLTJOZ,O,O,X,O,X,X,X,X
ISLTZJO,O,O,X,X,X,X,X,X
ISLTZOJ,O,O,X,O,X,X,X,X
ISLTOJZ,X,O,X,O,X,X,X,X
ISLTOZJ,X,O,X,O,X,X,X,X
ISLJTZO,O,O,X,X,X,X,X,X
ISLJTOZ,X,X,X,O,X,X,X,X
ISLJZTO,O,O,X,X,X,X,X,X
ISLJZOT,O,O,X,X,O,X,X,X
ISLJOTZ,X,O,X,O,O,X,X,X
ISLJOZT,O,O,X,O,O,X,X,X
ISLZTJO,O,O,X,X,X,X,X,O
ISLZTOJ,O,O,X,O,X,X,X,O
ISLZJTO,O,O,X,X,X,X,X,O
ISLZJOT,O,O,X,X,O,X,X,O
ISLZOTJ,O,O,O,O,X,O,X,O
ISLZOJT,O,O,O,O,O,X,X,O
ISLOTJZ,X,O,O,O,X,X,X,X
ISLOTZJ,X,O,O,O,X,O,X,X
ISLOJTZ,X,O,O,O,O,X,X,X
ISLOJZT,X,O,O,O,O,X,X,X
ISLOZTJ,X,O,O,O,X,O,X,X
ISLOZJT,X,O,O,O,O,X,X,X
ISJTLZO,O,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,O,X,X,X,X
ISJTZLO,O,X,X,X,X,X,X,X
ISJTZOL,O,X,X,X,O,X,X,X
ISJTOLZ,O,X,X,X,O,X,X,X
ISJTOZL,O,X,X,X,O,X,X,X
ISJLTZO,O,O,X,X,X,X,X,X
ISJLTOZ,O,X,X,O,X,X,X,X
ISJLZTO,O,O,X,X,X,X,X,X
ISJLZOT,O,O,X,X,O,X,X,X
ISJLOTZ,X,O,X,O,O,X,X,X
ISJLOZT,O,O,X,O,O,X,X,X
ISJZTLO,O,O,X,X,X,X,X,X
ISJZTOL,O,X,X,X,O,X,X,X
ISJZLTO,O,O,X,X,X,X,X,X
ISJZLOT,O,O,X,X,O,X,X,X
ISJZOTL,X,X,X,X,O,O,X,X
ISJZOLT,O,O,O,X,O,X,X,X
ISJOTLZ,X,X,X,X,O,X,X,X
ISJOTZL,X,X,X,X,O,O,X,X
ISJOLTZ,X,X,O,O,O,X,X,X
ISJOLZT,O,X,O,O,O,X,X,X
ISJOZTL,X,X,X,X,O,O,X,X
ISJOZLT,O,X,O,X,O,X,X,X
ISZTLJO,O,O,X,X,X,X,X,X
ISZTLOJ,O,O,X,O,X,X,X,X
ISZTJLO,O,O,X,X,X,X,X,X
ISZTJOL,O,O,X,X,O,X,X,X
ISZTOLJ,O,O,O,X,X,O,X,X
ISZTOJL,O,O,X,X,O,O,X,X
ISZLTJO,O,O,X,X,X,X,X,O
ISZLTOJ,O,O,X,O,X,X,X,O
ISZLJTO,O,O,X,X,X,X,X,O
ISZLJOT,O,O,X,X,O,X,X,O
ISZLOTJ,O,O,O,O,X,O,X,O
ISZLOJT,O,O,O,O,O,X,X,O
ISZJTLO,O,O,X,X,X,X,X,X
ISZJTOL,O,X,X,X,O,X,X,X
ISZJLTO,O,O,X,X,X,X,X,X
ISZJLOT,O,O,X,X,O,X,X,X
ISZJOTL,X,X,X,X,O,O,X,X
ISZJOLT,O,O,O,X,O,X,X,X
ISZOTLJ,X,X,O,X,X,O,X,X
ISZOTJL,X,X,X,X,O,O,X,X
ISZOLTJ,O,X,O,O,X,O,X,X
ISZOLJT,O,O,O,O,O,X,X,X
ISZOJTL,X,X,X,X,O,O,X,X
ISZOJLT,O,O,O,X,O,X,X,X
ISOTLJZ,X,X,O,O,X,X,X,X
ISOTLZJ,X,X,O,O,X,O,X,X
ISOTJLZ,O,X,X,X,O,X,X,X
ISOTJZL,O,X,X,X,O,O,X,X
ISOTZLJ,O,X,O,X,X,O,X,X
ISOTZJL,O,X,X,X,O,O,X,X
ISOLTJZ,X,X,O,O,X,X,X,X
ISOLTZJ,X,X,O,O,X,O,X,X
ISOLJTZ,X,X,O,O,O,X,X,X
ISOLJZT,X,X,O,O,O,X,X,X
ISOLZTJ,X,X,O,O,X,O,X,X
ISOLZJT,X,X,O,O,O,X,X,X
ISOJTLZ,X,X,X,X,O,X,X,X
ISOJTZL,X,X,X,X,O,O,X,X
ISOJLTZ,X,X,O,O,O,X,X,X
ISOJLZT,O,X,O,O,O,X,X,X
ISOJZTL,X,X,X,X,O,O,X,X
ISOJZLT,O,X,O,X,O,X,X,X
ISOZTLJ,X,X,O,X,X,O,X,X
ISOZTJL,X,X,X,X,O,O,X,X
ISOZLTJ,O,X,O,O,X,O,X,X
ISOZLJT,O,X,O,O,O,X,X,X
ISOZJTL,X,X,X,X,O,O,X,X
ISOZJLT,O,X,O,X,O,X,X,X
IZTLJSO,O,O,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X,X
IZTLSJO,O,O,X,X,X,X,X,O
IZTLSOJ,O,O,X,O,X,X,X,O
IZTLOJS,X,O,X,O,X,X,X,X
IZTLOSJ,X,O,X,O,X,X,X,O
IZTJLSO,O,O,X,X,X,X,X,X
IZTJLOS,O,O,X,X,X,X,X,X
IZTJSLO,O,O,X,X,X,X,X,X
IZTJSOL,O,O,X,X,O,X,X,X
IZTJOLS,O,X,X,X,O,X,X,X
IZTJOSL,O,O,X,X,O,X,X,X
IZTSLJO,O,O,X,X,X,X,X,X
IZTSLOJ,O,O,X,O,X,X,X,X
IZTSJLO,O,O,X,X,X,X,X,X
IZTSJOL,O,O,X,X,O,X,X,X
IZTSOLJ,O,O,O,X,X,O,X,X
IZTSOJL,O,O,X,X,O,O,X,X
IZTOLJS,X,O,O,X,X,X,X,X
IZTOLSJ,X,O,O,X,X,O,X,X
IZTOJLS,O,X,X,X,O,X,X,X
IZTOJSL,O,O,X,X,O,O,X,X
IZTOSLJ,X,O,O,X,X,O,X,X
IZTOSJL,O,O,X,X,O,O,X,X
IZLTJSO,O,O,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,X,X
IZLTSJO,O,O,X,X,X,X,X,O
IZLTSOJ,O,O,X,O,X,X,X,O
IZLTOJS,X,O,X,O,X,X,X,X
IZLTOSJ,X,O,X,O,X,X,X,O
IZLJTSO,O,O,X,X,X,X,X,O
IZLJTOS,O,O,X,X,X,X,X,O
IZLJSTO,O,O,X,X,X,X,X,O
IZLJSOT,O,O,X,X,O,X,X,O
IZLJOTS,X,X,X,X,O,X,X,O
IZLJOST,O,X,X,X,O,X,X,O
IZLSTJO,O,O,X,X,X,X,X,O
IZLSTOJ,O,O,X,O,X,X,X,O
IZLSJTO,O,O,X,X,X,X,X,O
IZLSJOT,O,O,X,X,O,X,X,O
IZLSOTJ,O,O,O,O,X,O,X,O
IZLSOJT,O,O,O,O,O,X,X,O
IZLOTJS,X,O,O,O,X,X,X,X
IZLOTSJ,X,O,O,O,X,O,X,O
IZLOJTS,X,X,O,O,O,X,X,O
IZLOJST,X,O,O,O,O,X,X,O
IZLOSTJ,X,O,O,O,X,O,X,O
IZLOSJT,X,O,O,O,O,X,X,O
IZJTLSO,O,O,X,X,X,X,O,X
IZJTLOS,O,O,X,X,X,X,O,X
IZJTSLO,O,O,X,X,X,X,O,X
IZJTSOL,O,O,X,X,O,X,O,X
IZJTOLS,O,X,X,X,O,X,O,X
IZJTOSL,O,O,X,X,O,X,O,X
IZJLTSO,O,O,X,X,X,X,O,X
IZJLTOS,O,O,X,X,X,X,O,X
IZJLSTO,O,O,X,X,X,X,O,O
IZJLSOT,O,O,X,X,O,X,O,O
IZJLOTS,X,X,X,X,O,X,O,X
IZJLOST,O,X,X,X,O,X,O,O
IZJSTLO,O,O,X,X,X,X,O,X
IZJSTOL,O,X,X,X,O,X,O,X
IZJSLTO,O,O,X,X,X,X,O,X
IZJSLOT,O,O,X,X,O,X,O,X
IZJSOTL,X,X,X,X,O,O,O,X
IZJSOLT,O,O,O,X,O,X,O,X
IZJOTLS,X,X,X,X,O,X,O,X
IZJOTSL,X,X,X,X,O,O,O,X
IZJOLTS,X,X,O,X,O,X,O,X
IZJOLST,O,X,O,X,O,X,O,X
IZJOSTL,X,X,X,X,O,O,O,X
IZJOSLT,O,X,O,X,O,X,O,X
IZSTLJO,O,O,X,X,X,X,X,X
IZSTLOJ,O,O,X,O,X,X,X,X
IZSTJLO,O,O,X,X,X,X,X,X
IZSTJOL,O,O,X,X,O,X,X,X
IZSTOLJ,O,O,O,X,X,O,X,X
IZSTOJL,O,O,X,X,O,O,X,X
IZSLTJO,O,O,X,X,X,X,X,O
IZSLTOJ,O,O,X,O,X,X,X,O
IZSLJTO,O,O,X,X,X,X,X,O
IZSLJOT,O,O,X,X,O,X,X,O
IZSLOTJ,O,O,O,O,X,O,X,O
IZSLOJT,O,O,O,O,O,X,X,O
IZSJTLO,O,O,X,X,X,X,X,X
IZSJTOL,O,X,X,X,O,X,X,X
IZSJLTO,O,O,X,X,X,X,X,X
IZSJLOT,O,O,X,X,O,X,X,X
IZSJOTL,X,X,X,X,O,O,X,X
IZSJOLT,O,O,O,X,O,X,X,X
IZSOTLJ,X,X,O,X,X,O,X,X
IZSOTJL,X,X,X,X,O,O,X,X
IZSOLTJ,O,X,O,O,X,O,X,X
IZSOLJT,O,O,O,O,O,X,X,X
IZSOJTL,X,X,X,X,O,O,X,X
IZSOJLT,O,O,O,X,O,X,X,X
IZOTLJS,X,O,O,X,X,X,X,X
IZOTLSJ,X,O,O,X,X,O,X,X
IZOTJLS,X,X,X,X,O,X,X,X
IZOTJSL,X,O,X,X,O,O,X,X
IZOTSLJ,X,O,O,X,X,O,X,X
IZOTSJL,X,O,X,X,O,O,X,X
IZOLTJS,X,O,O,O,X,X,X,X
IZOLTSJ,X,O,O,O,X,O,X,O
IZOLJTS,X,X,O,O,O,X,X,X
IZOLJST,X,X,O,O,O,X,X,O
IZOLSTJ,X,X,O,O,X,O,X,O
IZOLSJT,X,O,O,O,O,X,X,O
IZOJTLS,X,X,X,X,O,X,X,X
IZOJTSL,X,X,X,X,O,O,X,X
IZOJLTS,X,X,O,X,O,X,X,X
IZOJLST,X,X,O,X,O,X,X,X
IZOJSTL,X,X,X,X,O,O,X,X
IZOJSLT,X,X,O,X,O,X,X,X
IZOSTLJ,X,X,O,X,X,O,X,X
IZOSTJL,X,X,X,X,O,O,X,X
IZOSLTJ,X,X,O,O,X,O,X,X
IZOSLJT,X,O,O,O,O,X,X,X
IZOSJTL,X,X,X,X,O,O,X,X
IZOSJLT,X,O,O,X,O,X,X,X
IOTLJSZ,X,X,O,O,X,X,X,X
IOTLJZS,X,X,O,O,X,X,X,X
IOTLSJZ,X,X,O,O,X,X,X,X
IOTLSZJ,X,X,O,O,X,O,X,X
IOTLZJS,X,X,O,O,X,X,X,X
IOTLZSJ,X,X,O,O,X,O,X,X
IOTJLSZ,X,X,X,X,O,X,X,X
IOTJLZS,X,X,X,X,O,X,X,X
IOTJSLZ,X,X,X,X,O,X,X,X
IOTJSZL,X,X,X,X,O,O,X,X
IOTJZLS,X,X,X,X,O,X,X,X
IOTJZSL,X,X,X,X,O,O,X,X
IOTSLJZ,X,X,O,O,X,X,X,X
IOTSLZJ,X,X,O,O,X,O,X,X
IOTSJLZ,X,X,X,X,O,X,X,X
IOTSJZL,X,X,X,X,O,O,X,X
IOTSZLJ,X,X,O,X,X,O,X,X
IOTSZJL,X,X,X,X,O,O,X,X
IOTZLJS,X,X,O,X,X,X,X,X
IOTZLSJ,X,X,O,X,X,O,X,X
IOTZJLS,X,X,X,X,O,X,X,X
IOTZJSL,X,X,X,X,O,O,X,X
IOTZSLJ,X,X,O,X,X,O,X,X
IOTZSJL,X,X,X,X,O,O,X,X
IOLTJSZ,X,X,O,O,X,X,X,X
IOLTJZS,X,X,O,O,X,X,X,X
IOLTSJZ,X,X,O,O,X,X,X,X
IOLTSZJ,X,X,O,O,X,O,X,X
IOLTZJS,X,X,O,O,X,X,X,X
IOLTZSJ,X,X,O,O,X,O,X,X
IOLJTSZ,X,X,O,O,O,X,X,X
IOLJTZS,X,X,O,O,O,X,X,X
IOLJSTZ,X,X,O,O,O,X,X,X
IOLJSZT,X,X,O,O,O,X,X,X
IOLJZTS,X,X,O,O,O,X,X,X
IOLJZST,X,X,O,O,O,X,X,X
IOLSTJZ,X,X,O,O,X,X,X,X
IOLSTZJ,X,X,O,O,X,O,X,X
IOLSJTZ,X,X,O,O,O,X,X,X
IOLSJZT,X,X,O,O,O,X,X,X
IOLSZTJ,X,X,O,O,X,O,X,X
IOLSZJT,X,X,O,O,O,X,X,X
IOLZTJS,X,X,O,O,X,X,X,X
IOLZTSJ,X,X,O,O,X,O,X,O
IOLZJTS,X,X,O,O,O,X,X,X
IOLZJST,X,X,O,O,O,X,X,O
IOLZSTJ,X,X,O,O,X,O,X,O
IOLZSJT,X,X,O,O,O,X,X,O
IOJTLSZ,X,X,X,X,O,X,X,X
IOJTLZS,X,X,X,X,O,X,X,X
IOJTSLZ,X,X,X,X,O,X,X,X
IOJTSZL,X,X,X,X,O,O,X,X
IOJTZLS,X,X,X,X,O,X,X,X
IOJTZSL,X,X,X,X,O,O,X,X
IOJLTSZ,X,X,O,O,O,X,X,X
IOJLTZS,X,X,O,O,O,X,X,X
IOJLSTZ,X,X,O,O,O,X,X,X
IOJLSZT,X,X,O,O,O,X,X,X
IOJLZTS,X,X,O,O,O,X,X,X
IOJLZST,X,X,O,O,O,X,X,X
IOJSTLZ,X,X,X,X,O,X,X,X
IOJSTZL,X,X,X,X,O,O,X,X
IOJSLTZ,X,X,O,O,O,X,X,X
IOJSLZT,X,X,O,O,O,X,X,X
IOJSZTL,X,X,X,X,O,O,X,X
IOJSZLT,X,X,O,X,O,X,X,X
IOJZTLS,X,X,X,X,O,X,X,X
IOJZTSL,X,X,X,X,O,O,X,X
IOJZLTS,X,X,O,X,O,X,X,X
IOJZLST,X,X,O,X,O,X,X,X
IOJZSTL,X,X,X,X,O,O,X,X
IOJZSLT,X,X,O,X,O,X,X,X
IOSTLJZ,X,X,O,O,X,X,X,X
IOSTLZJ,X,X,O,O,X,O,X,X
IOSTJLZ,X,X,X,X,O,X,X,X
IOSTJZL,X,X,X,X,O,O,X,X
IOSTZLJ,X,X,O,X,X,O,X,X
IOSTZJL,X,X,X,X,O,O,X,X
IOSLTJZ,X,X,O,O,X,X,X,X
IOSLTZJ,X,X,O,O,X,O,X,X
IOSLJTZ,X,X,O,O,O,X,X,X
IOSLJZT,X,X,O,O,O,X,X,X
IOSLZTJ,X,X,O,O,X,O,X,X
IOSLZJT,X,X,O,O,O,X,X,X
IOSJTLZ,X,X,X,X,O,X,X,X
IOSJTZL,X,X,X,X,O,O,X,X
IOSJLTZ,X,X,O,O,O,X,X,X
IOSJLZT,X,X,O,O,O,X,X,X
IOSJZTL,X,X,X,X,O,O,X,X
IOSJZLT,X,X,O,X,O,X,X,X
IOSZTLJ,X,X,O,X,X,O,X,X
IOSZTJL,X,X,X,X,O,O,X,X
IOSZLTJ,X,X,O,O,X,O,X,X
IOSZLJT,X,X,O,O,O,X,X,X
IOSZJTL,X,X,X,X,O,O,X,X
IOSZJLT,X,X,O,X,O,X,X,X
IOZTLJS,X,X,O,X,X,X,X,X
IOZTLSJ,X,X,O,X,X,O,X,X
IOZTJLS,X,X,X,X,O,X,X,X
IOZTJSL,X,X,X,X,O,O,X,X
IOZTSLJ,X,X,O,X,X,O,X,X
IOZTSJL,X,X,X,X,O,O,X,X
IOZLTJS,X,X,O,O,X,X,X,X
IOZLTSJ,X,X,O,O,X,O,X,O
IOZLJTS,X,X,O,O,O,X,X,X
IOZLJST,X,X,O,O,O,X,X,O
IOZLSTJ,X,X,O,O,X,O,X,O
IOZLSJT,X,X,O,O,O,X,X,O
IOZJTLS,X,X,X,X,O,X,X,X
IOZJTSL,X,X,X,X,O,O,X,X
IOZJLTS,X,X,O,X,O,X,X,X
IOZJLST,X,X,O,X,O,X,X,X
IOZJSTL,X,X,X,X,O,O,X,X
IOZJSLT,X,X,O,X,O,X,X,X
IOZSTLJ,X,X,O,X,X,O,X,X
IOZSTJL,X,X,X,X,O,O,X,X
IOZSLTJ,X,X,O,O,X,O,X,X
IOZSLJT,X,X,O,O,O,X,X,X
IOZSJTL,X,X,X,X,O,O,X,X
IOZSJLT,X,X,O,X,O,X,X,X
LTIJSZO,X,O,X,X,X,X,X,X
LTIJSOZ,X,O,X,O,X,X,X,X
LTIJZSO,X,O,X,X,X,X,X,X
LTIJZOS,X,O,X,X,X,X,X,X
LTIJOSZ,X,O,X,O,X,X,X,X
LTIJOZS,X,O,X,O,X,X,X,X
LTISJZO,X,O,X,X,X,X,X,X
LTISJOZ,X,O,X,O,X,X,X,X
LTISZJO,X,O,X,X,X,X,X,X
LTISZOJ,X,O,X,O,X,X,X,X
LTISOJZ,X,O,X,O,X,X,X,X
LTISOZJ,X,O,X,O,X,X,X,X
LTIZJSO,X,O,X,X,X,X,X,X
LTIZJOS,X,O,X,X,X,X,X,X
LTIZSJO,X,O,X,X,X,X,X,O
LTIZSOJ,X,O,X,O,X,X,X,O
LTIZOJS,X,O,X,O,X,X,X,X
LTIZOSJ,X,O,X,O,X,X,X,O
LTIOJSZ,X,O,X,O,X,X,X,X
LTIOJZS,X,O,X,O,X,X,X,X
LTIOSJZ,X,O,X,O,X,X,X,X
LTIOSZJ,X,O,X,O,X,X,X,X
LTIOZJS,X,O,X,O,X,X,X,X
LTIOZSJ,X,O,X,O,X,X,X,X
LTJISZO,O,O,X,X,X,X,X,X
LTJISOZ,O,O,X,O,X,X,X,X
LTJIZSO,O,O,X,X,X,X,X,X
LTJIZOS,O,O,X,X,X,X,X,X
LTJIOSZ,O,O,X,O,X,X,X,X
LTJIOZS,O,O,X,O,X,X,X,X
LTJSIZO,O,O,X,X,X,X,X,X
LTJSIOZ,O,O,X,O,X,X,X,X
LTJSZIO,O,O,X,X,X,X,X,X
LTJSZOI,O,O,X,X,X,X,X,X
LTJSOIZ,O,O,X,O,X,X,X,X
LTJSOZI,O,O,X,O,X,X,X,X
LTJZISO,O,O,X,X,X,X,X,X
LTJZIOS,O,O,X,X,X,X,X,X
LTJZSIO,O,O,X,X,X,X,X,X
LTJZSOI,O,O,X,X,X,X,X,X
LTJZOIS,O,O,X,X,X,X,X,X
LTJZOSI,O,O,X,X,X,X,X,X
LTJOISZ,O,O,X,O,X,X,X,X
LTJOIZS,O,O,X,O,X,X,X,X
LTJOSIZ,O,O,X,O,X,X,X,X
LTJOSZI,O,O,X,O,X,X,X,X
LTJOZIS,O,O,X,O,X,X,X,X
LTJOZSI,O,O,X,O,X,X,X,X
LTSIJZO,O,O,X,X,X,X,X,X
LTSIJOZ,O,O,X,O,X,X,X,X
LTSIZJO,O,O,X,X,X,X,X,X
LTSIZOJ,O,O,X,O,X,X,X,X
LTSIOJZ,X,O,X,O,X,X,X,X
LTSIOZJ,X,O,X,O,X,X,X,X
LTSJIZO,O,O,X,X,X,X,X,X
LTSJIOZ,O,O,X,O,X,X,X,X
LTSJZIO,O,O,X,X,X,X,X,X
LTSJZOI,O,O,X,X,X,X,X,X
LTSJOIZ,O,O,X,O,X,X,X,X
LTSJOZI,O,O,X,O,X,X,X,X
LTSZIJO,O,O,X,X,X,X,X,X
LTSZIOJ,O,O,X,O,X,X,X,X
LTSZJIO,O,O,X,X,X,X,X,X
LTSZJOI,O,O,X,X,X,X,X,X
LTSZOIJ,O,O,X,O,X,X,X,X
LTSZOJI,O,O,X,O,X,X,X,X
LTSOIJZ,X,O,X,O,X,X,X,X
LTSOIZJ,X,O,X,O,X,X,X,X
LTSOJIZ,O,O,X,O,X,X,X,X
LTSOJZI,O,O,X,O,X,X,X,X
LTSOZIJ,X,O,X,O,X,X,X,X
LTSOZJI,O,O,X,O,X,X,X,X
LTZIJSO,O,O,X,X,X,X,X,X
LTZIJOS,O,O,X,X,X,X,X,X
LTZISJO,O,O,X,X,X,X,X,O
LTZISOJ,O,O,X,O,X,X,X,O
LTZIOJS,X,O,X,O,X,X,X,X
LTZIOSJ,X,O,X,O,X,X,X,O
LTZJISO,O,O,X,X,X,X,X,O
LTZJIOS,O,O,X,X,X,X,X,O
LTZJSIO,O,O,X,X,X,X,X,O
LTZJSOI,O,O,X,X,X,X,X,O
LTZJOIS,O,O,X,X,X,X,X,O
LTZJOSI,O,O,X,X,X,X,X,O
LTZSIJO,O,O,X,X,X,X,X,O
LTZSIOJ,O,O,X,O,X,X,X,O
LTZSJIO,O,O,X,X,X,X,X,O
LTZSJOI,O,O,X,X,X,X,X,O
LTZSOIJ,O,O,X,O,X,X,X,O
LTZSOJI,O,O,X,O,X,X,X,O
LTZOIJS,X,O,X,O,X,X,X,X
LTZOISJ,X,O,X,O,X,X,X,O
LTZOJIS,O,O,X,O,X,X,X,O
LTZOJSI,O,O,X,O,X,X,X,O
LTZOSIJ,O,O,X,O,X,X,X,O
LTZOSJI,O,O,X,O,X,X,X,O
LTOIJSZ,X,O,X,O,X,X,X,X
LTOIJZS,X,O,X,O,X,X,X,X
LTOISJZ,X,O,X,O,X,X,X,X
LTOISZJ,X,O,X,O,X,X,X,X
LTOIZJS,X,O,X,O,X,X,X,X
LTOIZSJ,X,O,X,O,X,X,X,X
LTOJISZ,O,O,X,O,X,X,X,X
LTOJIZS,O,O,X,O,X,X,X,X
LTOJSIZ,O,O,X,O,X,X,X,X
LTOJSZI,O,O,X,O,X,X,X,X
LTOJZIS,O,O,X,O,X,X,X,X
LTOJZSI,O,O,X,O,X,X,X,X
LTOSIJZ,X,O,X,O,X,X,X,X
LTOSIZJ,X,O,X,O,X,X,X,X
LTOSJIZ,O,O,X,O,X,X,X,X
LTOSJZI,O,O,X,O,X,X,X,X
LTOSZIJ,X,O,X,O,X,X,X,X
LTOSZJI,O,O,X,O,X,X,X,X
LTOZIJS,X,O,X,O,X,X,X,X
LTOZISJ,X,O,X,O,X,X,X,X
LTOZJIS,O,O,X,O,X,X,X,X
LTOZJSI,O,O,X,O,X,X,X,X
LTOZSIJ,X,O,X,O,X,X,X,X
LTOZSJI,O,O,X,O,X,X,X,X
LITJSZO,X,O,X,X,X,X,X,X
LITJSOZ,X,O,X,O,X,X,X,X
LITJZSO,X,O,X,X,X,X,X,X
LITJZOS,X,O,X,X,X,X,X,X
LITJOSZ,X,O,X,O,X,X,X,X
LITJOZS,X,O,X,O,X,X,X,X
LITSJZO,X,O,X,X,X,X,X,X
LITSJOZ,X,O,X,O,X,X,X,X
LITSZJO,X,O,X,X,X,X,X,X
LITSZOJ,X,O,X,O,X,X,X,X
LITSOJZ,X,O,X,O,X,X,X,X
LITSOZJ,X,O,X,O,X,X,X,X
LITZJSO,X,O,X,X,X,X,X,X
LITZJOS,X,O,X,X,X,X,X,X
LITZSJO,X,O,X,X,X,X,X,O
LITZSOJ,X,O,X,O,X,X,X,O
LITZOJS,X,O,X,O,X,X,X,X
LITZOSJ,X,O,X,O,X,X,X,O
LITOJSZ,X,O,X,O,X,X,X,X
LITOJZS,X,O,X,O,X,X,X,X
LITOSJZ,X,O,X,O,X,X,X,X
LITOSZJ,X,O,X,O,X,X,X,X
LITOZJS,X,O,X,O,X,X,X,X
LITOZSJ,X,O,X,O,X,X,X,X
LIJTSZO,X,O,X,X,X,X,X,X
LIJTSOZ,X,O,X,O,X,X,X,X
LIJTZSO,X,O,X,X,X,X,X,X
LIJTZOS,X,O,X,X,X,X,X,X
LIJTOSZ,X,O,X,O,X,X,X,X
LIJTOZS,X,O,X,O,X,X,X,X
LIJSTZO,X,O,X,X,X,X,X,X
LIJSTOZ,X,X,X,O,X,X,X,X
LIJSZTO,X,O,X,X,X,X,X,X
LIJSZOT,X,O,X,X,O,X,X,X
LIJSOTZ,X,X,X,O,O,X,X,X
LIJSOZT,X,O,X,O,O,X,X,X
LIJZTSO,X,O,X,X,X,X,X,X
LIJZTOS,X,O,X,X,X,X,X,X
LIJZSTO,X,O,X,X,X,X,X,O
LIJZSOT,X,O,X,X,O,X,X,O
LIJZOTS,X,X,X,X,O,X,X,X
LIJZOST,X,X,X,X,O,X,X,O
LIJOTSZ,X,X,X,O,O,X,X,X
LIJOTZS,X,X,X,O,O,X,X,X
LIJOSTZ,X,X,X,O,O,X,X,X
LIJOSZT,X,X,X,O,O,X,X,X
LIJOZTS,X,X,X,O,O,X,X,X
LIJOZST,X,X,X,O,O,X,X,X
LISTJZO,X,O,X,X,X,X,X,X
LISTJOZ,X,O,X,O,X,X,X,X
LISTZJO,X,O,X,X,X,X,X,X
LISTZOJ,X,O,X,O,X,X,X,X
LISTOJZ,X,O,X,O,X,X,X,X
LISTOZJ,X,O,X,O,X,X,X,X
LISJTZO,X,O,X,X,X,X,X,X
LISJTOZ,X,X,X,O,X,X,X,X
LISJZTO,X,O,X,X,X,X,X,X
LISJZOT,X,O,X,X,O,X,X,X
LISJOTZ,X,O,X,O,O,X,X,X
