sequence,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBcmBT?iBKtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhF6jBFhBmiB3?mBcsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhF6jBFhBXiB8?nBmrBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBFhB0iB3?mB+tBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBFiBT?mBcsBKtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBFhBXiBS?tBmrBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFyiB+jBFhB3?mBcsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBTmBi?nBUtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le08IvhFxdBamBGjBf?sBlnBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le+DJvhFUhBRiB3iBi?mBFsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBFiBTmBc?sBOtB6tB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lem8IvhFzdB5jBFhB3?mBcsBKtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTdBcmBynB5?oBOtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lez9IvhF5jBFhB2nBf?sBimBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFKiBzdBcmBO?tB5oBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTmBxnBFnBG?tBctBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeFBJvhFxiBXjBasB+?tBTrB0sB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTdBcmBxnBO?tB6tBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFFiBTmBxsBG?tBctBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeFBJvhFxiB0iBasB+?tBTrBXtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le09IvhF6jBRhBOmBf?sBlnBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFcmBxiBTiBO?tB6tBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBFiBTmBc?sB6tBOtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeU+IvhFFhBXiBSoBx?rBTtBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhBXjBasB+?tB0sBTrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeVBJvhFajB5jBTiB3?hBmrBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeTCJvhF0mBXoB5oBF?mBatBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBUhBFiBf?tB6tBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhBXiBcsBO?tB6tBTrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhB0iBasB+?tBXtBTrB
JZSTILO,X,O,O,O,X,O,X,X,X,X,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X
JZSTIOL,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X
JZSTLIO,O,O,O,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
JZSTLOI,O,O,O,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JZSTOIL,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
JZSTOLI,O,O,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
JZSITLO,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
JZSITOL,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
JZSILTO,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JZSILOT,X,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZSIOTL,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JZSIOLT,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZSLTIO,O,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X
JZSLTOI,O,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
JZSLITO,O,O,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JZSLIOT,O,O,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZSLOTI,X,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZSLOIT,O,O,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZSOTIL,X,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X
JZSOTLI,X,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
JZSOITL,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X
JZSOILT,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZSOLTI,X,O,O,O,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZSOLIT,X,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZOTILS,X,O,O,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOTISL,X,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
JZOTLIS,X,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZOTLSI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZOTSIL,X,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
JZOTSLI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X
JZOITLS,X,O,O,X,X,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOITSL,X,O,O,X,X,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZOILTS,X,O,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOILST,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZOISTL,X,O,O,X,X,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JZOISLT,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZOLTIS,X,O,O,O,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZOLTSI,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZOLITS,X,O,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOLIST,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZOLSTI,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZOLSIT,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOSTIL,X,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X
JZOSTLI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X
JZOSITL,X,O,O,X,X,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X
JZOSILT,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZOSLTI,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JZOSLIT,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOTILSZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTILZS,X,O,O,O,X,O,O,X,O,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTISLZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JOTISZL,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTIZLS,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOTIZSL,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JOTLISZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,X,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSZI,X,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLZIS,X,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTLZSI,X,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOTSILZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOTSIZL,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSLIZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOTSLZI,X,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOTSZIL,X,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOTSZLI,X,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOTZILS,X,O,O,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTZISL,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
JOTZLIS,X,O,O,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTZLSI,X,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTZSIL,X,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
JOTZSLI,X,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
JOITLSZ,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITLZS,X,O,O,O,X,X,O,X,O,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOITSLZ,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOITZLS,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOITZSL,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JOILTSZ,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILTZS,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILSZT,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILZTS,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILZST,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOISTLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOISTZL,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JOISLTZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOISLZT,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOISZTL,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOISZLT,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOIZTLS,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOIZTSL,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOIZLTS,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOIZLST,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOIZSTL,X,O,O,X,X,X,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JOIZSLT,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLTISZ,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,X,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSZI,X,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTZIS,X,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLTZSI,X,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOLITSZ,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLISTZ,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISZT,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLIZTS,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLIZST,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLSTIZ,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLSTZI,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JOLSITZ,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSIZT,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLSZTI,X,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLSZIT,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTIS,X,O,O,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOLZTSI,X,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O
JOLZITS,X,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLZIST,X,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOLZSTI,X,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOLZSIT,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSTILZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X
JOSTIZL,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOSTLIZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOSTLZI,X,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOSTZIL,X,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JOSTZLI,X,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JOSITLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOSITZL,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOSILTZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSILZT,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOSIZTL,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSIZLT,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOSLTIZ,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOSLTZI,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
JOSLITZ,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSLIZT,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOSLZTI,X,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOSLZIT,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSZTIL,X,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
JOSZTLI,X,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JOSZITL,X,O,O,O,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JOSZILT,X,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOSZLTI,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JOSZLIT,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOZTILS,X,O,O,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOZTISL,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
JOZTLIS,X,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOZTLSI,X,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOZTSIL,X,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
JOZTSLI,X,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X
JOZITLS,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOZITSL,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOZILTS,X,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOZILST,X,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOZISTL,X,O,O,X,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JOZISLT,X,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOZLTIS,X,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOZLTSI,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOZLITS,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOZLIST,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOZLSTI,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JOZLSIT,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOZSTIL,X,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
JOZSTLI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X
JOZSITL,X,O,O,X,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JOZSILT,X,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOZSLTI,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JOZSLIT,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
STILJZO,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STILJOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STILZJO,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
STILZOJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
STILOJZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STILOZJ,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
STIJLZO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJLOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STIJZLO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STIJZOL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJOZL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
STIZLJO,X,O,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
STIZLOJ,X,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
