sequence,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhF0bBxcB2lBFnBXr?BzrB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFmbBFdBTgBcmBXn?BRwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFOgBxcBzgBUiBfs?BVwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFxbBXdB2lBFnB0r?BzqB,v115@7gC8FeD8GeF8CeF8DeC8Jex6IvhFXcBzfBUmBFnBOs?BSwB,v115@7gC8FeD8GeF8CeF8DeC8Jex6IvhFXcBzfBUiBFmBOs?BSwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFxbBXdBTgBFnB0r?BerB,v115@7gC8FeD8GeF8CeF8DeC8Jel6IvhFUcBXgBZnBGiBTr?BCrB,v115@7gC8FeD8GeF8CeF8DeC8Jex6IvhFOhBXdBzfBFnB0r?BqqB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFTbBxcB/rBFnB0q?BmrB,v115@7gC8FeD8GeF8CeF8DeC8Jez7IvhFXdBUgBlfBxmBmr?BSwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhF0bBXdB2lBFnBTm?BRwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFxcBTgB/rBFnBmr?B0qB,v115@7gC8FeD8GeF8CeF8DeC8Jex6IvhFzfBUiBirBuqB/r?BFsB,v115@7gC8FeD8GeF8CeF8DeC8Je06IvhFCdBzgBVnBXgB2r?BRwB,v115@7gC8FeD8GeF8CeF8DeC8JeX7IvhFCdBzgBVnB0fB2r?BRwB
TILOSJZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O
TILOSZJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
TILOZJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TILOZSJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O
TIJLSZO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIJLSOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJLZSO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJLZOS,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TIJLOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TIJLOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TIJSLZO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIJSLOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJSZLO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJSZOL,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJSOLZ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJSOZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJZLSO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJZLOS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TIJZSLO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJZOLS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TIJZOSL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJOLSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TIJOLZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TIJOSLZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
TIJOSZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJOZLS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TIJOZSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLJZO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TISLJOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLZJO,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TISLZOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TISLOJZ,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O
TISLOZJ,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O
TISJLZO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TISJLOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJZLO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TISJZOL,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TISJOLZ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TISJOZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TISZLJO,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TISZLOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TISZJLO,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TISZJOL,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TISZOLJ,X,O,O,X,X,O,X,O,X,O,O,X,X,X,O,X
TISZOJL,X,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X
TISOLJZ,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O
TISOLZJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
TISOJLZ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
TISOJZL,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TISOZLJ,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,O
TISOZJL,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TIZLJSO,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZLJOS,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X
TIZLSJO,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
TIZLSOJ,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X
TIZLOJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TIZLOSJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O
TIZJLSO,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZJLOS,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X
TIZJSLO,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZJSOL,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZJOLS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TIZJOSL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSLJO,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X
TIZSLOJ,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X
TIZSJLO,O,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIZSOLJ,X,O,O,X,O,O,X,O,O,X,O,X,X,X,O,X
TIZSOJL,X,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X
TIZOLJS,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TIZOLSJ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O
TIZOJLS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TIZOJSL,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,X,O,O,X,O,O,X,O,X,X,X,O,O
TIZOSJL,X,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X
TIOLJSZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TIOLJZS,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X
TIOLSJZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O
TIOLSZJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
TIOLZJS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TIOLZSJ,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O
TIOJLSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TIOJLZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TIOJSLZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
TIOJSZL,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TIOJZLS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
TIOJZSL,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TIOSLJZ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
TIOSLZJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
TIOSJLZ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
TIOSJZL,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TIOSZLJ,X,O,O,X,O,O,X,O,X,X,O,X,X,X,O,O
TIOSZJL,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X
TIOZLJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TIOZLSJ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O
TIOZJLS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TIOZJSL,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,X,O,O,X,O,X,X,O,X,X,X,O,O
TIOZSJL,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X
TLIJSZO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLIJSOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJZSO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIJZOS,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TLIJOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TLIJOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TLISJZO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLISJOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISZJO,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TLISZOJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X
TLISOJZ,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O
TLISOZJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
TLIZJSO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZJOS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TLIZSJO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLIZSOJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X
TLIZOJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TLIZOSJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O
TLIOJSZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TLIOJZS,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X
TLIOSJZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O
TLIOSZJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
TLIOZJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TLIOZSJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O
TLJISZO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLJISOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJIZSO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJIZOS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJIOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJSIZO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSIOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJSZOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLJSOZI,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLJZISO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJZIOS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJZSIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TLJZOSI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TLJOISZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLJOSIZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TLJOZSI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TLSIJZO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSIJOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSIZOJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSIOJZ,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TLSIOZJ,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLSJIZO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSJIOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLSJZOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
TLSJOIZ,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLSJOZI,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLSZIJO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSZIOJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSZJOI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSZOIJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSZOJI,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TLSOIJZ,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TLSOIZJ,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLSOJIZ,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLSOJZI,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLSOZIJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLSOZJI,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TLZIJSO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZIJOS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
TLZISJO,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TLZISOJ,X,X,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TLZIOJS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X
TLZIOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLZJISO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZJIOS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZJSIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZJSOI,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLZJOIS,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
TLZJOSI,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
TLZSIJO,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TLZSIOJ,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLZSJIO,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TLZSJOI,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLZSOIJ,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TLZSOJI,X,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X
TLZOIJS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X
TLZOJSI,X,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X
TLZOSIJ,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZOSJI,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJZS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLOISJZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLOISZJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLOIZJS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJIZS,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLOJSIZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJSZI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TLOJZSI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TLOSIJZ,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
TLOSIZJ,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLOSJIZ,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLOSJZI,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TLOSZIJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLOSZJI,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TLOZIJS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOZJIS,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X
TLOZJSI,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X
TLOZSIJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TJILSZO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJILSOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJILZSO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TJILZOS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TJILOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJILOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJISLZO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJISLOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJISZLO,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TJISZOL,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X
TJISOLZ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TJISOZL,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X
TJIZLSO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIZLOS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIZSLO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIZSOL,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TJIZOLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIZOSL,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TJIOLSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIOLZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIOSLZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TJIOSZL,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X
TJIOZLS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TJLISZO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJLISOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLIZSO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLIZOS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLIOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLIOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLSIZO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSIOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLSZOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLSOIZ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLSOZI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLZISO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLZIOS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLZSIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSZI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZIS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSILOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZLO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSIZOL,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TJSIOLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSIOZL,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TJSLIZO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSLIOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJSLZOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJSLOIZ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSLOZI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSZILO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TJSZIOL,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TJSZLIO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSZOIL,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TJSZOLI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TJSOILZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSOIZL,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
