sequence,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhFicB9iBfnB5oB8s?BOtB,v115@zgB8HeB8HeE8EeF8DeG8Me2AJvhFRcBCeBzhBXjB9t?B0sB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhF/hBRdBcjBOnBqs?B9tB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhF/hBRdBSjBNnB8s?B+tB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhF2hBRdB9jBfoBUn?BSyB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhF2hBXeBxsB9tBCn?B0sB,v115@zgB8HeB8HeE8EeF8DeG8Me2AJvhFRcB9iBfnB6oB8s?BTtB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhFxcB6jB0hB9sB/t?BmsB
TLOZSJI,O,O,O,X,O,X,X,O
TJILSZO,X,O,X,X,X,X,X,X
TJILSOZ,X,O,X,X,X,O,X,X
TJILZSO,X,O,X,X,X,O,X,X
TJILZOS,X,O,X,X,X,O,X,X
TJILOSZ,X,O,X,X,X,O,X,X
TJILOZS,X,O,X,X,X,O,X,X
TJISLZO,X,O,X,X,X,X,O,X
TJISLOZ,X,O,X,X,X,O,X,X
TJISZLO,X,O,X,O,X,O,O,X
TJISZOL,X,O,X,O,X,O,O,X
TJISOLZ,X,O,X,X,X,O,X,X
TJISOZL,X,O,X,O,X,O,O,X
TJIZLSO,X,O,X,O,X,O,X,X
TJIZLOS,X,O,X,O,X,O,X,X
TJIZSLO,X,O,X,O,X,O,O,X
TJIZSOL,X,O,X,O,X,O,O,X
TJIZOLS,X,O,X,O,X,O,X,X
TJIZOSL,X,O,X,O,X,O,X,X
TJIOLSZ,X,O,X,X,X,O,X,X
TJIOLZS,X,O,X,X,X,O,X,X
TJIOSLZ,X,O,X,X,X,O,X,X
TJIOSZL,X,O,X,O,X,O,X,X
TJIOZLS,X,O,X,O,X,O,X,X
TJIOZSL,X,O,X,O,X,O,X,X
TJLISZO,X,O,O,X,O,X,X,X
TJLISOZ,X,O,O,X,O,X,X,X
TJLIZSO,X,O,O,X,X,X,X,X
TJLIZOS,X,O,O,X,X,X,X,X
TJLIOSZ,X,O,O,X,O,X,X,X
TJLIOZS,X,O,O,X,X,X,X,X
TJLSIZO,X,O,O,X,O,X,X,X
TJLSIOZ,X,O,O,X,O,X,X,X
TJLSZIO,X,O,O,O,O,X,X,X
TJLSZOI,X,O,O,O,O,X,X,X
TJLSOIZ,X,O,O,X,O,X,X,X
TJLSOZI,X,O,O,O,O,X,X,X
TJLZISO,X,O,O,O,O,X,X,X
TJLZIOS,X,O,O,O,O,X,X,X
TJLZSIO,X,O,O,O,O,X,X,X
TJLZSOI,X,O,O,O,O,X,X,X
TJLZOIS,X,O,O,O,O,X,X,X
TJLZOSI,X,O,O,O,O,X,X,X
TJLOISZ,X,O,O,X,O,X,X,X
TJLOIZS,X,O,O,X,X,X,X,X
TJLOSIZ,X,O,O,X,O,X,X,X
TJLOSZI,X,O,O,O,O,X,X,X
TJLOZIS,X,O,O,O,O,X,X,X
TJLOZSI,X,O,O,O,O,X,X,X
TJSILZO,X,O,X,X,X,X,O,X
TJSILOZ,X,O,X,X,X,X,X,X
TJSIZLO,X,O,X,O,X,X,O,X
TJSIZOL,X,O,X,O,X,X,O,X
TJSIOLZ,X,O,X,X,X,X,X,X
TJSIOZL,X,O,X,O,X,X,O,X
TJSLIZO,X,O,O,X,X,X,O,X
TJSLIOZ,X,O,O,X,X,X,X,X
TJSLZIO,X,O,O,O,X,X,O,O
TJSLZOI,X,O,O,O,X,X,O,O
TJSLOIZ,X,O,O,X,X,X,X,X
TJSLOZI,X,O,O,O,X,X,X,O
TJSZILO,X,O,X,O,X,X,O,O
TJSZIOL,X,O,O,O,X,X,O,O
TJSZLIO,X,O,O,O,X,X,O,O
TJSZLOI,X,O,O,O,X,X,O,O
TJSZOIL,X,O,O,O,X,X,O,O
TJSZOLI,X,O,O,O,X,X,O,O
TJSOILZ,X,O,X,X,X,X,X,X
TJSOIZL,X,O,X,O,X,X,O,X
TJSOLIZ,X,O,O,X,X,X,X,X
TJSOLZI,X,O,O,O,X,X,X,O
TJSOZIL,X,O,O,O,X,X,O,O
TJSOZLI,X,O,O,O,X,X,O,O
TJZILSO,X,O,X,O,X,X,O,X
TJZILOS,X,O,X,O,X,X,X,X
TJZISLO,X,O,X,O,X,X,O,O
TJZISOL,X,O,X,O,X,X,O,O
TJZIOLS,X,O,X,O,X,X,X,X
TJZIOSL,X,O,X,O,X,X,X,O
TJZLISO,X,O,O,O,O,X,O,X
TJZLIOS,X,O,O,O,O,X,X,X
TJZLSIO,X,O,O,O,O,X,O,X
TJZLSOI,X,O,O,O,O,X,O,X
TJZLOIS,X,O,O,O,O,X,X,X
TJZLOSI,X,O,O,O,O,X,O,X
TJZSILO,X,O,X,O,O,X,O,O
TJZSIOL,X,O,O,O,O,X,O,O
TJZSLIO,X,O,O,O,O,X,O,O
TJZSLOI,X,O,O,O,O,X,O,O
TJZSOIL,X,O,O,O,O,X,O,O
TJZSOLI,X,O,O,O,O,X,O,O
TJZOILS,X,O,X,O,X,X,X,X
TJZOISL,X,O,X,O,X,X,X,O
TJZOLIS,X,O,O,O,O,X,X,X
TJZOLSI,X,O,O,O,O,X,O,X
TJZOSIL,X,O,O,O,O,X,O,O
TJZOSLI,X,O,O,O,O,X,O,O
TJOILSZ,X,O,X,X,X,O,X,X
TJOILZS,X,O,X,X,X,O,X,X
TJOISLZ,X,O,X,X,X,O,X,X
TJOISZL,X,O,X,O,X,O,X,X
TJOIZLS,X,O,X,O,X,O,X,X
TJOIZSL,X,O,X,O,X,O,X,X
TJOLISZ,X,O,O,X,O,X,X,X
TJOLIZS,X,O,O,X,X,X,X,X
TJOLSIZ,X,O,O,X,O,X,X,X
TJOLSZI,X,O,O,O,O,X,X,X
TJOLZIS,X,O,O,O,O,X,X,X
TJOLZSI,X,O,O,O,O,X,X,X
TJOSILZ,X,O,X,X,X,X,X,X
TJOSIZL,X,O,X,O,X,X,X,X
TJOSLIZ,X,O,O,X,X,X,X,X
TJOSLZI,X,O,O,O,X,X,X,O
TJOSZIL,X,O,O,O,X,X,X,O
TJOSZLI,X,O,O,O,X,X,X,O
TJOZILS,X,O,X,O,X,X,X,X
TJOZISL,X,O,X,O,X,X,X,O
TJOZLIS,X,O,O,O,O,X,X,X
TJOZLSI,X,O,O,O,O,X,X,X
TJOZSIL,X,O,O,O,O,X,X,O
TJOZSLI,X,O,O,O,O,X,X,O
TSILJZO,X,O,O,X,X,X,O,X
TSILJOZ,X,O,O,X,X,X,X,X
TSILZJO,O,X,O,X,X,X,O,O
TSILZOJ,O,X,O,X,X,X,O,O
TSILOJZ,X,O,O,X,X,X,X,X
TSILOZJ,O,O,O,X,X,X,X,O
TSIJLZO,X,O,X,X,X,X,O,X
TSIJLOZ,X,O,X,X,X,X,X,X
TSIJZLO,X,O,X,O,X,X,O,X
TSIJZOL,X,X,X,O,X,X,O,X
TSIJOLZ,X,O,X,X,X,X,X,X
TSIJOZL,X,O,X,O,X,X,O,X
TSIZLJO,O,X,O,X,X,X,O,O
TSIZLOJ,O,X,O,X,X,X,O,O
TSIZJLO,O,X,X,X,X,X,O,O
TSIZJOL,O,X,O,X,X,X,O,O
TSIZOLJ,O,X,O,X,X,X,O,O
TSIZOJL,O,X,O,X,X,X,O,O
TSIOLJZ,X,O,O,X,X,X,X,X
TSIOLZJ,O,O,O,X,X,X,X,O
TSIOJLZ,X,O,X,X,X,X,X,X
TSIOJZL,X,O,X,O,X,X,O,X
TSIOZLJ,O,O,O,X,X,X,O,O
TSIOZJL,O,O,O,X,X,X,O,O
TSLIJZO,X,O,O,X,X,X,O,X
TSLIJOZ,X,O,O,X,X,X,X,X
TSLIZJO,O,X,O,X,X,X,O,O
TSLIZOJ,O,X,O,X,X,X,O,O
TSLIOJZ,X,O,O,X,X,X,X,X
TSLIOZJ,O,O,O,X,X,X,X,O
TSLJIZO,X,O,O,X,X,X,O,X
TSLJIOZ,X,O,O,X,X,X,X,X
TSLJZIO,O,O,O,O,X,X,O,O
TSLJZOI,O,O,O,O,X,X,O,O
TSLJOIZ,X,O,O,X,X,X,X,X
TSLJOZI,O,O,O,O,X,X,X,O
TSLZIJO,O,X,O,X,X,X,O,O
TSLZIOJ,O,X,O,X,X,X,O,O
TSLZJIO,O,O,O,X,X,X,O,O
TSLZJOI,O,O,O,X,X,X,O,O
TSLZOIJ,O,O,O,X,X,X,O,O
TSLZOJI,O,O,O,X,X,X,O,O
TSLOIJZ,X,O,O,X,X,X,X,X
TSLOIZJ,O,O,O,X,X,X,X,O
TSLOJIZ,X,O,O,X,X,X,X,X
TSLOJZI,O,O,O,O,X,X,X,O
TSLOZIJ,O,O,O,X,X,X,X,O
TSLOZJI,O,O,O,X,X,X,X,O
TSJILZO,X,O,X,X,X,X,O,X
TSJILOZ,X,O,X,X,X,X,X,X
TSJIZLO,X,O,X,O,X,X,O,X
TSJIZOL,X,O,X,O,X,X,O,X
TSJIOLZ,X,O,X,X,X,X,X,X
TSJIOZL,X,O,X,O,X,X,O,X
TSJLIZO,X,O,O,X,X,X,O,X
TSJLIOZ,X,O,O,X,X,X,X,X
TSJLZIO,O,O,O,O,X,X,O,O
TSJLZOI,O,O,O,O,X,X,O,O
TSJLOIZ,X,O,O,X,X,X,X,X
TSJLOZI,O,O,O,O,X,X,X,O
TSJZILO,O,O,X,O,X,X,O,O
TSJZIOL,O,O,O,O,X,X,O,O
TSJZLIO,O,O,O,O,X,X,O,O
TSJZLOI,O,O,O,O,X,X,O,O
TSJZOIL,O,O,O,O,X,X,O,O
TSJZOLI,O,O,O,O,X,X,O,O
TSJOILZ,X,O,X,X,X,X,X,X
TSJOIZL,X,O,X,O,X,X,O,X
TSJOLIZ,X,O,O,X,X,X,X,X
TSJOLZI,O,O,O,O,X,X,X,O
TSJOZIL,O,O,O,O,X,X,O,O
TSJOZLI,O,O,O,O,X,X,O,O
TSZILJO,O,O,O,X,X,X,O,O
TSZILOJ,O,O,O,X,X,X,O,O
TSZIJLO,O,O,X,X,X,X,O,O
TSZIJOL,O,O,O,X,X,X,O,O
TSZIOLJ,O,O,O,X,X,X,O,O
TSZIOJL,O,O,O,X,X,X,O,O
TSZLIJO,O,O,O,X,X,X,O,O
TSZLIOJ,O,O,O,X,X,X,O,O
TSZLJIO,O,O,O,X,X,X,O,O
TSZLJOI,O,O,O,X,X,X,O,O
TSZLOIJ,O,O,O,X,X,X,O,O
TSZLOJI,O,O,O,X,X,X,O,O
TSZJILO,O,O,X,O,X,X,O,O
TSZJIOL,O,O,O,O,X,X,O,O
TSZJLIO,O,O,O,O,X,X,O,O
TSZJLOI,O,O,O,O,X,X,O,O
TSZJOIL,O,O,O,O,X,X,O,O
TSZJOLI,O,O,O,O,X,X,O,O
TSZOILJ,O,O,O,X,X,X,O,O
TSZOIJL,O,O,O,X,X,X,O,O
TSZOLIJ,O,O,O,X,X,X,O,O
TSZOLJI,O,O,O,X,X,X,O,O
TSZOJIL,O,O,O,O,X,X,O,O
TSZOJLI,O,O,O,O,X,X,O,O
TSOILJZ,X,O,O,X,X,X,X,X
TSOILZJ,O,O,O,X,X,X,X,O
TSOIJLZ,X,O,X,X,X,X,X,X
TSOIJZL,X,O,X,O,X,X,O,X
TSOIZLJ,O,O,O,X,X,X,O,O
TSOIZJL,O,O,O,X,X,X,O,O
TSOLIJZ,X,O,O,X,X,X,X,X
TSOLIZJ,O,O,O,X,X,X,X,O
TSOLJIZ,X,O,O,X,X,X,X,X
TSOLJZI,O,O,O,O,X,X,X,O
TSOLZIJ,O,O,O,X,X,X,X,O
TSOLZJI,O,O,O,X,X,X,X,O
TSOJILZ,X,O,X,X,X,X,X,X
TSOJIZL,X,O,X,O,X,X,O,X
TSOJLIZ,X,O,O,X,X,X,X,X
TSOJLZI,O,O,O,O,X,X,X,O
TSOJZIL,O,O,O,O,X,X,O,O
TSOJZLI,O,O,O,O,X,X,O,O
TSOZILJ,O,O,O,X,X,X,O,O
TSOZIJL,O,O,O,X,X,X,O,O
TSOZLIJ,O,O,O,X,X,X,O,O
TSOZLJI,O,O,O,X,X,X,O,O
TSOZJIL,O,O,O,O,X,X,O,O
TSOZJLI,O,O,O,O,X,X,O,O
TZILJSO,X,X,O,X,X,X,O,X
TZILJOS,X,X,O,X,X,X,X,X
TZILSJO,O,X,O,X,X,X,O,O
TZILSOJ,O,X,O,X,X,X,O,O
TZILOJS,X,X,O,X,X,X,X,X
TZILOSJ,O,X,O,X,X,X,X,O
TZIJLSO,X,O,X,X,X,X,O,X
TZIJLOS,X,O,X,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,O,O
TZIJSOL,O,O,X,X,X,X,O,O
TZIJOLS,X,O,X,X,X,X,X,X
TZIJOSL,O,O,X,X,X,X,X,O
TZISLJO,O,O,O,X,X,X,O,O
TZISLOJ,O,O,O,X,X,X,O,O
TZISJLO,O,O,X,X,X,X,O,O
TZISJOL,O,O,O,X,X,X,O,O
TZISOLJ,O,O,O,X,X,X,O,O
TZISOJL,O,O,O,X,X,X,O,O
TZIOLJS,X,O,O,X,X,X,X,X
TZIOLSJ,O,O,O,X,X,X,X,O
TZIOJLS,X,O,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X,O
TZIOSLJ,O,O,O,X,X,X,X,O
TZIOSJL,O,O,O,X,X,X,X,O
TZLIJSO,X,X,O,X,O,X,O,X
TZLIJOS,X,X,O,X,O,X,X,X
TZLISJO,O,X,O,X,O,X,O,O
TZLISOJ,O,X,O,X,O,X,O,O
TZLIOJS,X,X,O,X,O,X,X,X
TZLIOSJ,O,X,O,X,O,X,X,O
TZLJISO,X,O,O,X,O,X,O,X
TZLJIOS,X,O,O,X,O,X,X,X
TZLJSIO,X,O,O,X,O,X,O,X
TZLJSOI,X,O,O,X,O,X,O,X
TZLJOIS,X,O,O,X,O,X,X,X
TZLJOSI,X,O,O,X,O,X,O,X
TZLSIJO,O,O,O,X,O,X,O,O
TZLSIOJ,O,O,O,X,O,X,O,O
TZLSJIO,O,O,O,X,O,X,O,O
TZLSJOI,O,O,O,X,O,X,O,O
TZLSOIJ,O,O,O,X,O,X,O,O
TZLSOJI,O,O,O,X,O,X,O,O
TZLOIJS,X,O,O,X,O,X,X,X
TZLOISJ,O,O,O,X,O,X,X,O
TZLOJIS,X,O,O,X,O,X,X,X
TZLOJSI,X,O,O,X,O,X,O,X
TZLOSIJ,O,O,O,X,O,X,O,O
TZLOSJI,O,O,O,X,O,X,O,O
TZJILSO,X,O,X,O,X,X,O,X
TZJILOS,X,O,X,O,X,X,X,X
TZJISLO,O,O,X,O,X,X,O,O
TZJISOL,O,O,X,O,X,X,O,O
TZJIOLS,X,O,X,O,X,X,X,X
TZJIOSL,O,O,X,O,X,X,X,O
TZJLISO,X,O,O,O,O,X,O,X
TZJLIOS,X,O,O,O,O,X,X,X
TZJLSIO,X,O,O,O,O,X,O,X
TZJLSOI,X,O,O,O,O,X,O,X
TZJLOIS,X,O,O,O,O,X,X,X
TZJLOSI,X,O,O,O,O,X,O,X
TZJSILO,O,O,X,O,O,X,O,O
TZJSIOL,O,O,O,O,O,X,O,O
TZJSLIO,O,O,O,O,O,X,O,O
TZJSLOI,O,O,O,O,O,X,O,O
TZJSOIL,O,O,O,O,O,X,O,O
TZJSOLI,O,O,O,O,O,X,O,O
TZJOILS,X,O,X,O,X,X,X,X
