sequence,v115@zgB8HeC8GeB8FeD8FeF8AeE8Je07IvhFmcB5iBTeBf?nBilBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jem7IvhFRdBSjBclB3?hBTnBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jem7IvhF5iBTeBclBa?nB3hBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jex7IvhFTeBclBihB+?nBXiBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8JeR9IvhFSjB/nBTlB0?mBFmBmqB,v115@zgB8HeC8GeB8FeD8FeF8AeE8JefCJvhF6iBTeBclBZ?mBWxBlqB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jex7IvhFGeBclBThB3?iBKnBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Je08IvhFxdB3gBCjBO?rBVxBTqB
TLIOJZS,O,O,O,X,X,X,X,O
TLIOSJZ,O,O,X,X,X,X,X,X
TLIOSZJ,O,O,O,X,O,X,X,X
TLIOZJS,O,O,O,X,X,X,X,X
TLIOZSJ,O,O,O,X,X,X,X,X
TLJISZO,O,O,X,X,X,X,X,O
TLJISOZ,O,X,X,X,X,X,X,O
TLJIZSO,O,O,O,O,X,X,X,O
TLJIZOS,O,O,O,O,X,X,X,O
TLJIOSZ,O,X,X,X,X,X,X,O
TLJIOZS,O,X,O,O,X,X,X,O
TLJSIZO,O,O,X,X,X,X,X,O
TLJSIOZ,O,X,X,X,X,X,X,O
TLJSZIO,O,O,X,O,X,X,X,O
TLJSZOI,O,O,X,O,X,X,O,O
TLJSOIZ,O,X,X,X,X,X,X,O
TLJSOZI,O,X,X,O,X,X,O,O
TLJZISO,O,O,O,O,X,X,X,O
TLJZIOS,O,O,O,O,X,X,X,O
TLJZSIO,O,O,O,O,X,X,X,O
TLJZSOI,O,O,O,O,X,X,O,O
TLJZOIS,O,O,O,O,X,X,X,O
TLJZOSI,O,O,O,O,X,X,X,O
TLJOISZ,O,X,X,X,X,X,X,O
TLJOIZS,O,X,O,O,X,X,X,O
TLJOSIZ,O,X,X,X,X,X,X,O
TLJOSZI,O,X,X,O,X,X,X,O
TLJOZIS,O,X,O,O,X,X,X,O
TLJOZSI,O,X,O,O,X,X,X,O
TLSIJZO,O,O,X,X,X,X,X,O
TLSIJOZ,O,X,X,X,X,X,X,O
TLSIZJO,O,O,O,X,X,X,X,X
TLSIZOJ,O,O,O,X,X,X,X,X
TLSIOJZ,O,X,X,X,X,X,X,X
TLSIOZJ,O,O,O,X,O,X,X,X
TLSJIZO,O,O,X,X,X,X,X,O
TLSJIOZ,O,X,X,X,X,X,X,O
TLSJZIO,O,O,X,O,X,X,X,O
TLSJZOI,O,O,X,O,X,X,O,O
TLSJOIZ,O,X,X,X,X,X,X,O
TLSJOZI,O,X,X,O,X,X,O,O
TLSZIJO,O,O,O,O,X,X,X,X
TLSZIOJ,O,O,O,X,X,X,X,X
TLSZJIO,O,O,O,O,X,X,X,X
TLSZJOI,O,O,O,O,X,X,O,X
TLSZOIJ,O,O,O,X,X,X,O,X
TLSZOJI,O,O,O,X,X,X,O,X
TLSOIJZ,O,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,X,O,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,X
TLSOJZI,O,X,X,X,X,X,O,X
TLSOZIJ,O,O,O,X,O,X,O,X
TLSOZJI,O,O,O,X,O,X,O,X
TLZIJSO,O,O,O,O,X,X,X,O
TLZIJOS,O,O,O,O,X,X,X,O
TLZISJO,O,O,O,O,X,X,X,X
TLZISOJ,O,O,O,X,X,X,X,X
TLZIOJS,O,O,O,O,X,X,X,X
TLZIOSJ,O,X,O,X,X,X,X,X
TLZJISO,O,O,O,O,X,X,X,O
TLZJIOS,O,O,O,O,X,X,X,O
TLZJSIO,O,O,O,O,X,X,X,O
TLZJSOI,O,O,O,O,X,X,O,O
TLZJOIS,O,O,O,O,X,X,X,O
TLZJOSI,O,O,O,O,X,X,X,O
TLZSIJO,O,O,O,O,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,X
TLZSJIO,O,O,O,O,X,X,X,X
TLZSJOI,O,O,O,O,X,X,O,X
TLZSOIJ,O,O,O,X,X,X,O,X
TLZSOJI,O,O,O,X,X,X,O,X
TLZOIJS,O,O,O,O,X,X,X,X
TLZOISJ,O,O,O,X,X,X,X,X
TLZOJIS,O,O,O,O,X,X,X,X
TLZOJSI,O,O,O,O,X,X,X,X
TLZOSIJ,O,O,O,X,X,X,O,X
TLZOSJI,O,O,O,X,X,X,O,X
TLOIJSZ,O,O,X,X,X,X,X,O
TLOIJZS,O,O,O,X,X,X,X,O
TLOISJZ,O,O,X,X,X,X,X,X
TLOISZJ,O,O,O,X,O,X,X,X
TLOIZJS,O,O,O,X,X,X,X,X
TLOIZSJ,O,O,O,X,X,X,X,X
TLOJISZ,O,O,X,X,X,X,X,O
TLOJIZS,O,O,O,O,X,X,X,O
TLOJSIZ,O,O,X,X,X,X,X,O
TLOJSZI,O,O,X,O,X,X,X,O
TLOJZIS,O,O,O,O,X,X,X,O
TLOJZSI,O,O,O,O,X,X,X,O
TLOSIJZ,O,O,X,X,X,X,X,X
TLOSIZJ,O,O,O,X,O,X,X,X
TLOSJIZ,O,O,X,X,X,X,X,X
TLOSJZI,O,O,X,X,X,X,O,X
TLOSZIJ,O,O,O,X,O,X,O,X
TLOSZJI,O,O,O,X,O,X,O,X
TLOZIJS,O,O,O,O,X,X,X,X
TLOZISJ,O,O,O,X,X,X,X,X
TLOZJIS,O,O,O,O,X,X,X,X
TLOZJSI,O,O,O,O,X,X,X,X
TLOZSIJ,O,O,O,X,X,X,O,X
TLOZSJI,O,O,O,X,X,X,O,X
TJILSZO,O,X,X,X,X,X,X,O
TJILSOZ,O,X,X,X,X,X,X,O
TJILZSO,O,X,O,O,X,X,X,O
TJILZOS,O,X,O,O,X,X,X,O
TJILOSZ,O,X,X,X,X,X,X,O
TJILOZS,O,X,O,O,X,X,X,O
TJISLZO,O,X,X,X,X,O,X,O
TJISLOZ,O,X,X,X,X,O,X,O
TJISZLO,O,X,X,X,X,O,X,O
TJISZOL,O,X,X,X,X,O,O,X
TJISOLZ,O,X,X,X,X,O,X,X
TJISOZL,O,X,X,X,X,O,O,X
TJIZLSO,O,X,O,O,X,X,X,O
TJIZLOS,O,X,O,O,X,X,X,O
TJIZSLO,O,X,O,O,X,O,X,O
TJIZSOL,O,X,O,O,X,O,O,X
TJIZOLS,O,X,O,O,X,X,X,X
TJIZOSL,O,X,O,O,X,O,X,X
TJIOLSZ,O,X,X,X,X,X,X,X
TJIOLZS,O,X,O,O,X,X,X,X
TJIOSLZ,O,X,X,X,X,O,X,X
TJIOSZL,O,X,X,X,X,O,X,X
TJIOZLS,O,X,O,O,X,X,X,X
TJIOZSL,O,X,O,O,X,O,X,X
TJLISZO,O,O,X,X,X,X,X,O
TJLISOZ,O,X,X,X,X,X,X,O
TJLIZSO,O,O,O,O,X,X,X,O
TJLIZOS,O,O,O,O,X,X,X,O
TJLIOSZ,O,X,X,X,X,X,X,O
TJLIOZS,O,X,O,O,X,X,X,O
TJLSIZO,O,O,X,X,X,X,X,O
TJLSIOZ,O,X,X,X,X,X,X,O
TJLSZIO,O,O,X,O,X,X,X,O
TJLSZOI,O,O,X,O,X,X,O,O
TJLSOIZ,O,X,X,X,X,X,X,O
TJLSOZI,O,X,X,O,X,X,O,O
TJLZISO,O,O,O,O,X,X,X,O
TJLZIOS,O,O,O,O,X,X,X,O
TJLZSIO,O,O,O,O,X,X,X,O
TJLZSOI,O,O,O,O,X,X,O,O
TJLZOIS,O,O,O,O,X,X,X,O
TJLZOSI,O,O,O,O,X,X,X,O
TJLOISZ,O,X,X,X,X,X,X,O
TJLOIZS,O,X,O,O,X,X,X,O
TJLOSIZ,O,X,X,X,X,X,X,O
TJLOSZI,O,X,X,O,X,X,X,O
TJLOZIS,O,X,O,O,X,X,X,O
TJLOZSI,O,X,O,O,X,X,X,O
TJSILZO,O,O,X,X,X,O,X,O
TJSILOZ,O,X,X,X,X,O,X,O
TJSIZLO,O,O,X,X,X,O,X,O
TJSIZOL,O,O,X,X,X,O,O,X
TJSIOLZ,O,X,X,X,X,O,X,X
TJSIOZL,O,X,X,X,X,O,O,X
TJSLIZO,O,O,X,X,X,O,X,O
TJSLIOZ,O,X,X,X,X,O,X,O
TJSLZIO,O,O,X,O,X,O,X,O
TJSLZOI,O,O,X,O,X,O,O,O
TJSLOIZ,O,X,X,X,X,O,X,O
TJSLOZI,O,X,X,O,X,O,O,O
TJSZILO,O,O,X,O,X,O,X,O
TJSZIOL,O,O,X,O,X,O,O,X
TJSZLIO,O,O,X,O,X,O,X,O
TJSZLOI,O,O,X,O,X,O,O,O
TJSZOIL,O,O,X,O,X,O,O,X
TJSZOLI,O,O,X,O,X,O,O,O
TJSOILZ,O,X,X,X,X,O,X,X
TJSOIZL,O,X,X,X,X,O,O,X
TJSOLIZ,O,X,X,X,X,O,X,O
TJSOLZI,O,X,X,O,X,O,O,O
TJSOZIL,O,X,X,O,X,O,O,X
TJSOZLI,O,X,X,O,X,O,O,O
TJZILSO,O,O,O,O,X,X,X,O
TJZILOS,O,O,O,O,X,X,X,O
TJZISLO,O,O,O,O,X,O,X,O
TJZISOL,O,O,O,O,X,O,O,X
TJZIOLS,O,O,O,O,X,X,X,X
TJZIOSL,O,X,O,O,X,O,X,X
TJZLISO,O,O,O,O,X,X,X,O
TJZLIOS,O,O,O,O,X,X,X,O
TJZLSIO,O,O,O,O,X,X,X,O
TJZLSOI,O,O,O,O,X,X,O,O
TJZLOIS,O,O,O,O,X,X,X,O
TJZLOSI,O,O,O,O,X,X,X,O
TJZSILO,O,O,O,O,X,O,X,O
TJZSIOL,O,O,O,O,X,O,O,X
TJZSLIO,O,O,O,O,X,O,X,O
TJZSLOI,O,O,O,O,X,O,O,O
TJZSOIL,O,O,O,O,X,O,O,X
TJZSOLI,O,O,O,O,X,O,O,O
TJZOILS,O,O,O,O,X,X,X,X
TJZOISL,O,X,O,O,X,O,X,X
TJZOLIS,O,O,O,O,X,X,X,O
TJZOLSI,O,O,O,O,X,X,X,O
TJZOSIL,O,O,O,O,X,O,O,X
TJZOSLI,O,O,O,O,X,O,O,O
TJOILSZ,O,X,X,X,X,X,X,X
TJOILZS,O,X,O,O,X,X,X,X
TJOISLZ,O,X,X,X,X,O,X,X
TJOISZL,O,X,X,X,X,O,X,X
TJOIZLS,O,X,O,O,X,X,X,X
TJOIZSL,O,X,O,O,X,O,X,X
TJOLISZ,O,O,X,X,X,X,X,O
TJOLIZS,O,O,O,O,X,X,X,O
TJOLSIZ,O,O,X,X,X,X,X,O
TJOLSZI,O,O,X,O,X,X,X,O
TJOLZIS,O,O,O,O,X,X,X,O
TJOLZSI,O,O,O,O,X,X,X,O
TJOSILZ,O,O,X,X,X,O,X,X
TJOSIZL,O,O,X,X,X,O,O,X
TJOSLIZ,O,O,X,X,X,O,X,O
TJOSLZI,O,O,X,O,X,O,O,O
TJOSZIL,O,O,X,O,X,O,O,X
TJOSZLI,O,O,X,O,X,O,O,O
TJOZILS,O,O,O,O,X,X,X,X
TJOZISL,O,X,O,O,X,O,X,X
TJOZLIS,O,O,O,O,X,X,X,O
TJOZLSI,O,O,O,O,X,X,X,O
TJOZSIL,O,O,O,O,X,O,O,X
TJOZSLI,O,O,O,O,X,O,O,O
TSILJZO,O,O,X,X,X,X,X,X
TSILJOZ,O,X,X,X,X,X,X,X
TSILZJO,O,O,O,X,X,X,X,X
TSILZOJ,O,O,O,X,X,X,X,X
TSILOJZ,O,X,X,X,X,X,X,X
TSILOZJ,O,O,O,X,O,X,X,X
TSIJLZO,O,O,X,X,X,X,X,X
TSIJLOZ,O,X,X,X,X,X,X,X
TSIJZLO,O,O,X,X,X,X,X,X
TSIJZOL,O,O,X,X,X,X,O,X
TSIJOLZ,O,X,X,X,X,X,X,X
TSIJOZL,O,X,X,X,X,X,O,X
TSIZLJO,O,O,O,X,X,X,X,X
TSIZLOJ,O,O,O,X,X,X,X,X
TSIZJLO,O,O,O,X,X,X,X,X
TSIZJOL,O,O,O,X,X,X,O,X
TSIZOLJ,O,O,O,X,X,X,O,X
TSIZOJL,O,O,O,X,X,X,O,X
TSIOLJZ,O,X,X,X,X,X,X,X
TSIOLZJ,O,O,O,X,O,X,X,X
TSIOJLZ,O,X,X,X,X,X,X,X
TSIOJZL,O,X,X,X,X,X,O,X
TSIOZLJ,O,O,O,X,O,X,O,X
TSIOZJL,O,O,O,X,O,X,O,X
TSLIJZO,O,O,X,X,X,X,X,O
TSLIJOZ,O,X,X,X,X,X,X,O
TSLIZJO,O,O,O,X,X,X,X,X
TSLIZOJ,O,O,O,X,X,X,X,X
TSLIOJZ,O,X,X,X,X,X,X,X
TSLIOZJ,O,O,O,X,O,X,X,X
TSLJIZO,O,O,X,X,X,X,X,O
TSLJIOZ,O,X,X,X,X,X,X,O
TSLJZIO,O,O,X,O,X,X,X,O
TSLJZOI,O,O,X,O,X,X,O,O
TSLJOIZ,O,X,X,X,X,X,X,O
TSLJOZI,O,X,X,O,X,X,O,O
TSLZIJO,O,O,O,O,X,X,X,X
TSLZIOJ,O,O,O,X,X,X,X,X
TSLZJIO,O,O,O,O,X,X,X,X
TSLZJOI,O,O,O,O,X,X,O,X
TSLZOIJ,O,O,O,X,X,X,O,X
TSLZOJI,O,O,O,X,X,X,O,X
TSLOIJZ,O,X,X,X,X,X,X,X
TSLOIZJ,O,O,O,X,O,X,X,X
TSLOJIZ,O,X,X,X,X,X,X,X
TSLOJZI,O,X,X,X,X,X,O,X
TSLOZIJ,O,O,O,X,O,X,O,X
TSLOZJI,O,O,O,X,O,X,O,X
TSJILZO,O,O,X,X,X,X,X,O
TSJILOZ,O,X,X,X,X,X,X,O
TSJIZLO,O,O,X,X,X,X,X,O
TSJIZOL,O,O,X,X,X,X,O,X
TSJIOLZ,O,X,X,X,X,X,X,X
TSJIOZL,O,X,X,X,X,X,O,X
TSJLIZO,O,O,X,X,X,X,X,O
TSJLIOZ,O,X,X,X,X,X,X,O
TSJLZIO,O,O,X,O,X,X,X,O
TSJLZOI,O,O,X,O,X,X,O,O
TSJLOIZ,O,X,X,X,X,X,X,O
TSJLOZI,O,X,X,O,X,X,O,O
TSJZILO,O,O,X,O,X,X,X,O
TSJZIOL,O,O,X,O,X,X,O,X
TSJZLIO,O,O,X,O,X,X,X,O
TSJZLOI,O,O,X,O,X,X,O,O
TSJZOIL,O,O,X,O,X,X,O,X
TSJZOLI,O,O,X,O,X,X,O,O
TSJOILZ,O,X,X,X,X,X,X,X
TSJOIZL,O,X,X,X,X,X,O,X
TSJOLIZ,O,X,X,X,X,X,X,O
TSJOLZI,O,X,X,O,X,X,O,O
TSJOZIL,O,X,X,O,X,X,O,X
TSJOZLI,O,X,X,O,X,X,O,O
TSZILJO,O,O,O,O,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X,X
TSZIJLO,O,O,O,O,X,X,X,X
TSZIJOL,O,O,O,O,X,X,O,X
TSZIOLJ,O,O,O,X,X,X,O,X
TSZIOJL,O,O,O,O,X,X,O,X
TSZLIJO,O,O,O,O,X,X,X,X
TSZLIOJ,O,O,O,X,X,X,X,X
TSZLJIO,O,O,O,O,X,X,X,X
TSZLJOI,O,O,O,O,X,X,O,X
TSZLOIJ,O,O,O,X,X,X,O,X
TSZLOJI,O,O,O,X,X,X,O,X
TSZJILO,O,O,O,O,X,X,X,X
TSZJIOL,O,O,O,O,X,X,O,X
TSZJLIO,O,O,O,O,X,X,X,X
TSZJLOI,O,O,O,O,X,X,O,X
TSZJOIL,O,O,O,O,X,X,O,X
TSZJOLI,O,O,O,O,X,X,O,X
TSZOILJ,O,O,O,X,X,X,O,X
TSZOIJL,O,O,O,O,X,X,O,X
TSZOLIJ,O,O,O,X,X,X,O,X
TSZOLJI,O,O,O,X,X,X,O,X
TSZOJIL,O,O,O,O,X,X,O,X
TSZOJLI,O,O,O,O,X,X,O,X
TSOILJZ,O,O,X,X,X,X,X,X
TSOILZJ,O,O,O,X,O,X,X,X
TSOIJLZ,O,O,X,X,X,X,X,X
TSOIJZL,O,O,X,X,X,X,O,X
TSOIZLJ,O,O,O,X,O,X,O,X
TSOIZJL,O,O,O,X,O,X,O,X
TSOLIJZ,O,O,X,X,X,X,X,X
TSOLIZJ,O,O,O,X,O,X,X,X
TSOLJIZ,O,O,X,X,X,X,X,X
TSOLJZI,O,O,X,X,X,X,O,X
TSOLZIJ,O,O,O,X,O,X,O,X
TSOLZJI,O,O,O,X,O,X,O,X
TSOJILZ,O,O,X,X,X,X,X,X
TSOJIZL,O,O,X,X,X,X,O,X
TSOJLIZ,O,O,X,X,X,X,X,X
TSOJLZI,O,O,X,O,X,X,O,X
TSOJZIL,O,O,X,O,X,X,O,X
TSOJZLI,O,O,X,O,X,X,O,X
TSOZILJ,O,O,O,X,O,X,O,X
TSOZIJL,O,O,O,O,O,X,O,X
TSOZLIJ,O,O,O,X,O,X,O,X
TSOZLJI,O,O,O,X,O,X,O,X
TSOZJIL,O,O,O,O,O,X,O,X
TSOZJLI,O,O,O,O,O,X,O,X
TZILJSO,O,O,O,O,X,X,X,X
TZILJOS,O,O,O,O,X,X,X,X
TZILSJO,O,O,O,O,X,X,X,X
TZILSOJ,O,O,O,X,X,X,X,X
TZILOJS,O,O,O,O,X,X,X,X
TZILOSJ,O,X,O,X,X,X,X,X
TZIJLSO,O,O,O,O,X,X,X,X
TZIJLOS,O,O,O,O,X,X,X,X
TZIJSLO,O,O,O,O,X,O,X,X
TZIJSOL,O,O,O,O,X,O,O,X
TZIJOLS,O,O,O,O,X,X,X,X
TZIJOSL,O,X,O,O,X,O,X,X
TZISLJO,O,O,O,O,X,X,X,X
TZISLOJ,O,O,O,X,X,X,X,X
TZISJLO,O,O,O,O,X,X,X,X
TZISJOL,O,O,O,O,X,X,O,X
TZISOLJ,O,O,O,X,X,X,O,X
TZISOJL,O,O,O,O,X,X,O,X
TZIOLJS,O,O,O,O,X,X,X,X
TZIOLSJ,O,O,O,X,X,X,X,X
TZIOJLS,O,O,O,O,X,X,X,X
TZIOJSL,O,X,O,O,X,O,X,X
TZIOSLJ,O,O,O,X,X,X,O,X
TZIOSJL,O,O,O,O,X,X,O,X
TZLIJSO,O,O,O,O,X,X,X,O
TZLIJOS,O,O,O,O,X,X,X,O
TZLISJO,O,O,O,O,X,X,X,X
TZLISOJ,O,O,O,X,X,X,X,X
TZLIOJS,O,O,O,O,X,X,X,X
TZLIOSJ,O,X,O,X,X,X,X,X
TZLJISO,O,O,O,O,X,X,X,O
TZLJIOS,O,O,O,O,X,X,X,O
TZLJSIO,O,O,O,O,X,X,X,O
TZLJSOI,O,O,O,O,X,X,O,O
TZLJOIS,O,O,O,O,X,X,X,O
TZLJOSI,O,O,O,O,X,X,X,O
TZLSIJO,O,O,O,O,X,X,X,X
TZLSIOJ,O,O,O,X,X,X,X,X
TZLSJIO,O,O,O,O,X,X,X,X
TZLSJOI,O,O,O,O,X,X,O,X
TZLSOIJ,O,O,O,X,X,X,O,X
TZLSOJI,O,O,O,X,X,X,O,X
TZLOIJS,O,O,O,O,X,X,X,X
TZLOISJ,O,O,O,X,X,X,X,X
TZLOJIS,O,O,O,O,X,X,X,X
TZLOJSI,O,O,O,O,X,X,X,X
TZLOSIJ,O,O,O,X,X,X,O,X
TZLOSJI,O,O,O,X,X,X,O,X
TZJILSO,O,O,O,O,X,X,X,O
TZJILOS,O,O,O,O,X,X,X,O
TZJISLO,O,O,O,O,X,O,X,O
TZJISOL,O,O,O,O,X,O,O,X
TZJIOLS,O,O,O,O,X,X,X,X
TZJIOSL,O,X,O,O,X,O,X,X
TZJLISO,O,O,O,O,X,X,X,O
TZJLIOS,O,O,O,O,X,X,X,O
TZJLSIO,O,O,O,O,X,X,X,O
TZJLSOI,O,O,O,O,X,X,O,O
TZJLOIS,O,O,O,O,X,X,X,O
TZJLOSI,O,O,O,O,X,X,X,O
TZJSILO,O,O,O,O,X,O,X,O
TZJSIOL,O,O,O,O,X,O,O,X
TZJSLIO,O,O,O,O,X,O,X,O
TZJSLOI,O,O,O,O,X,O,O,O
TZJSOIL,O,O,O,O,X,O,O,X
