sequence,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgB3hBOsB0?lBzpBSwB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdBmgBqqBF?nBzpB0rB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je/AJvhFUcBFdBTmBO?sBCqBxvB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jei7IvhFFdBulBcmBX?nBzpBRwB,v115@zgB8FeD8EeF8EeC8FeD8FeC8JeT7IvhFxcB3lBFnBW?vB0rBirB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgBUiBOrBX?lBSvBzrB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgBUiBKrBf?sBTlBWvB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmBXlBO?sBSvBTrB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmBXnBC?qB2wBTqB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdB0gBFnBz?pBCrB2wB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmB6qBX?nBzpB2wB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmBTlBW?vBirBXsB,v115@zgB8FeD8EeF8EeC8FeD8FeC8JeT7IvhFOhBXdBSqBF?nB0rBRvB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je2AJvhFXdBUmBFnBC?mBzpBRwB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdBzgBFnBC?qB0rB2vB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgBUiBTmBG?qBywBXqB,v115@zgB8FeD8EeF8EeC8FeD8FeC8JeC9IvhF0gBVnBZmBG?qBzrBXqB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdBUmBFnBC?qBTqB2wB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jei7IvhF5lB/rBFnBz?pBcrBOsB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhF6lB/rBFnBz?pBmrB0qB
TILOZSJ,X,X,O,O,X,X,X,O,X,X,O,X,O,X,O,X,O,X,X,X
TIJLSZO,O,O,O,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X
TIJLSOZ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLZSO,X,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TIJLZOS,X,X,O,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLOZS,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIJSLOZ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJSZLO,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJSZOL,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJSOLZ,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIJSOZL,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIJZLSO,X,X,O,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X
TIJZLOS,X,X,O,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TIJZSLO,X,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TIJZSOL,X,X,O,X,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X
TIJZOLS,X,X,O,O,X,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X
TIJZOSL,X,X,O,X,O,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
TIJOLSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJOSZL,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIJOZLS,X,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TIJOZSL,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TISLJZO,X,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TISLJOZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISLZJO,X,O,O,O,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X
TISLZOJ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TISLOJZ,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TISLOZJ,X,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TISJLZO,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TISJLOZ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISJZLO,X,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TISJZOL,X,X,O,O,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X,X
TISJOLZ,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TISJOZL,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TISZLJO,X,O,O,O,X,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TISZLOJ,X,X,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TISZJLO,X,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TISZJOL,X,X,O,O,O,X,X,O,O,X,O,O,O,O,O,X,X,X,X,X
TISZOLJ,X,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
TISZOJL,X,O,O,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
TISOLJZ,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TISOLZJ,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TISOJLZ,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TISOJZL,X,O,O,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TISOZLJ,X,O,O,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X
TISOZJL,X,O,O,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X,X,X
TIZLJSO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TIZLJOS,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TIZLSJO,X,X,O,O,X,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TIZLSOJ,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TIZLOJS,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
TIZLOSJ,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
TIZJLSO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TIZJLOS,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X
TIZJSLO,X,X,X,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TIZJSOL,X,X,X,X,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TIZJOLS,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X
TIZJOSL,X,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,O,X,X,X
TIZSLJO,X,X,O,O,X,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TIZSLOJ,X,X,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TIZSJLO,X,X,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TIZSJOL,X,X,O,O,O,X,X,O,O,X,O,O,O,O,O,X,X,X,X,X
TIZSOLJ,X,X,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TIZSOJL,X,X,O,O,X,X,X,O,O,X,O,X,O,O,O,X,X,X,X,X
TIZOLJS,X,X,X,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X
TIZOLSJ,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,O,X,X,X
TIZOJLS,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X
TIZOJSL,X,X,X,X,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X
TIZOSLJ,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,O,X,X,X
TIZOSJL,X,X,O,X,X,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
TIOLJSZ,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOLJZS,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TIOLSJZ,O,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIOLSZJ,X,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X
TIOLZJS,X,X,X,O,X,X,X,O,O,O,O,O,O,O,X,X,O,X,X,X
TIOLZSJ,X,X,O,O,X,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X
TIOJLSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJLZS,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TIOJSLZ,O,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOJSZL,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIOJZLS,X,X,X,O,X,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
TIOJZSL,X,O,X,O,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
TIOSLJZ,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,O
TIOSLZJ,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X
TIOSJLZ,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X
TIOSJZL,X,O,O,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,O,X
TIOSZLJ,X,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,X
TIOSZJL,X,O,O,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,O,X
TIOZLJS,X,X,X,O,X,O,X,O,O,O,O,O,O,O,X,X,O,X,X,X
TIOZLSJ,X,X,O,O,X,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X
TIOZJLS,X,X,X,O,X,O,X,O,O,X,O,O,O,O,X,X,O,X,X,X
TIOZJSL,X,X,X,O,O,O,X,O,O,O,O,O,O,O,X,X,O,X,X,X
TIOZSLJ,X,X,O,O,X,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X
TIOZSJL,X,X,O,O,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X
TLIJSZO,X,O,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
TLIJSOZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJZSO,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLIJZOS,X,O,O,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJOZS,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,O,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLISJOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISZJO,X,O,O,O,X,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TLISZOJ,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLISOJZ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISOZJ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLIZJSO,X,X,X,O,O,O,X,O,O,X,O,O,X,O,X,X,X,O,X,X
TLIZJOS,X,X,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X
TLIZSJO,X,X,O,O,X,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X
TLIZSOJ,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X
TLIZOJS,X,X,X,O,X,O,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLIZOSJ,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X
TLIOJSZ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOJZS,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TLIOSJZ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOSZJ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLIOZJS,X,X,X,O,X,O,X,O,O,X,O,O,X,X,O,X,O,X,X,X
TLIOZSJ,X,X,O,O,X,X,X,O,X,X,O,X,O,X,O,X,O,X,X,X
TLJISZO,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLJIZOS,X,O,O,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TLJIOSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJSIOZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJSZOI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJSOIZ,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSOZI,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,O,O,X,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X
TLJZIOS,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJZSIO,X,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
TLJZSOI,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLJZOIS,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,O,X,X
TLJZOSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X
TLJOISZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X
TLJOSIZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TLJOZIS,X,O,X,X,X,O,X,O,O,X,X,O,X,X,O,O,O,X,X,X
TLJOZSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X
TLSIJZO,O,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIZJO,X,O,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X
TLSIZOJ,X,X,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TLSIOJZ,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLSIOZJ,X,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSJIZO,O,O,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLSJOZI,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
TLSZIOJ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TLSZJIO,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TLSZJOI,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSZOIJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X
TLSZOJI,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLSOIJZ,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLSOIZJ,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLSOZIJ,X,O,O,O,X,X,O,O,X,O,X,X,X,X,O,X,O,X,X,X
TLSOZJI,X,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
TLZIJSO,X,O,X,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X
TLZIJOS,X,O,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X
TLZISJO,X,O,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X
TLZISOJ,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TLZIOJS,X,X,X,O,X,O,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLZIOSJ,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X
TLZJISO,X,O,O,X,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X
TLZJIOS,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLZJSIO,X,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TLZJSOI,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLZJOIS,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,O,X,X
TLZJOSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X
TLZSIJO,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
TLZSIOJ,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TLZSJIO,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TLZSJOI,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZSOIJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X
TLZSOJI,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLZOIJS,X,X,X,O,X,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
TLZOISJ,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,O,O,X,X
TLZOJIS,X,O,X,X,X,O,X,O,O,O,X,X,X,X,O,O,O,O,X,X
TLZOJSI,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,O,X,X
TLZOSIJ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O,O,O,X,X
TLZOSJI,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X,X
TLOIJSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOIJZS,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TLOISJZ,O,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLOISZJ,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TLOIZJS,X,X,X,O,X,O,X,O,O,O,O,X,X,O,O,O,O,X,X,X
TLOIZSJ,X,X,O,O,X,X,X,O,X,O,O,X,X,O,O,O,O,X,X,X
TLOJISZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,X,O,O,O,X,O,X,O,O,X,O,X,X,X,X,O,O,X,X,X
TLOJSIZ,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOJSZI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TLOJZIS,X,O,X,X,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X,X
TLOJZSI,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X
TLOSIJZ,O,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,O
TLOSIZJ,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X
TLOSJIZ,O,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O
TLOSJZI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
TLOSZIJ,X,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,O,X,X,X
TLOSZJI,O,O,O,O,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,O
TLOZIJS,X,X,X,O,X,O,X,O,O,O,O,O,X,X,O,O,O,O,X,X
TLOZISJ,X,X,X,O,X,X,X,O,X,O,O,X,X,X,O,O,O,O,X,X
TLOZJIS,X,O,X,X,X,O,X,O,O,O,O,X,X,X,O,O,O,O,X,X
TLOZJSI,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,O,X,X
TLOZSIJ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O,O,O,X,X
TLOZSJI,O,O,X,O,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X,X
TJILSZO,O,O,O,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X
TJILSOZ,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJILZSO,X,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TJILZOS,X,X,O,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TJILOSZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
