sequence,v115@5gB8GeC8HeD8FeG8AeF8JeZ/IvhFCbBXcBTeB8kBGm?BlqB,v115@5gB8GeC8HeD8FeG8AeF8JeZ/IvhFCcBTeBukB/mBUg?BlqB,v115@5gB8GeC8HeD8FeG8AeF8Jex7IvhFTeBKkBGgB/mB0f?BlqB,v115@5gB8GeC8HeD8FeG8AeF8Je//IvhFUbBFcBTeB2pBxl?BCrB,v115@5gB8GeC8HeD8FeG8AeF8JeO/IvhF8fBTeB5lB/rByu?BFrB,v115@5gB8GeC8HeD8FeG8AeF8JeO/IvhFTeBRgB0gB6mB3k?BlqB
TIOJZLS,O,X,X,X,X,X
TIOJZSL,O,O,X,O,X,X
TIOSLJZ,O,O,O,X,X,O
TIOSLZJ,O,O,O,X,O,X
TIOSJLZ,O,O,O,X,X,O
TIOSJZL,O,O,X,X,X,O
TIOSZLJ,O,O,O,X,X,X
TIOSZJL,O,O,X,X,X,O
TIOZLJS,O,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X
TIOZJLS,O,X,X,X,X,X
TIOZJSL,O,O,X,X,X,X
TIOZSLJ,O,O,X,X,X,X
TIOZSJL,O,O,X,X,X,X
TLIJSZO,O,O,O,O,X,X
TLIJSOZ,O,O,O,O,X,X
TLIJZSO,O,X,X,O,X,X
TLIJZOS,O,X,X,O,X,X
TLIJOSZ,O,O,O,O,X,X
TLIJOZS,O,X,X,O,X,X
TLISJZO,O,O,O,O,X,X
TLISJOZ,O,O,O,O,X,X
TLISZJO,O,O,O,X,O,X
TLISZOJ,O,O,O,X,O,X
TLISOJZ,O,O,O,O,X,X
TLISOZJ,O,O,O,X,O,X
TLIZJSO,O,X,X,O,O,X
TLIZJOS,O,X,X,O,O,X
TLIZSJO,O,X,X,X,O,X
TLIZSOJ,O,X,X,X,O,X
TLIZOJS,O,X,X,O,O,X
TLIZOSJ,O,X,X,X,O,X
TLIOJSZ,O,O,O,O,X,X
TLIOJZS,O,X,X,O,X,X
TLIOSJZ,O,O,O,O,X,X
TLIOSZJ,O,O,O,X,O,X
TLIOZJS,O,X,X,O,O,X
TLIOZSJ,O,X,X,X,O,X
TLJISZO,O,O,O,O,X,X
TLJISOZ,O,O,O,O,X,X
TLJIZSO,O,X,X,O,X,X
TLJIZOS,O,X,X,O,X,X
TLJIOSZ,O,O,O,O,X,X
TLJIOZS,O,X,X,O,X,X
TLJSIZO,O,O,O,O,X,X
TLJSIOZ,O,O,O,O,X,X
TLJSZIO,O,O,O,O,X,X
TLJSZOI,O,O,O,O,X,X
TLJSOIZ,O,O,O,O,X,X
TLJSOZI,O,O,O,O,X,X
TLJZISO,O,X,X,O,X,X
TLJZIOS,O,X,X,O,X,X
TLJZSIO,O,X,O,O,X,X
TLJZSOI,O,X,O,O,X,X
TLJZOIS,O,X,X,O,X,X
TLJZOSI,O,X,O,O,X,X
TLJOISZ,O,O,O,O,X,X
TLJOIZS,O,X,X,O,X,X
TLJOSIZ,O,O,O,O,X,X
TLJOSZI,O,O,O,O,X,X
TLJOZIS,O,X,X,O,X,X
TLJOZSI,O,X,O,O,X,X
TLSIJZO,O,O,O,O,X,X
TLSIJOZ,O,O,O,O,X,O
TLSIZJO,O,O,O,X,O,X
TLSIZOJ,O,O,O,X,O,X
TLSIOJZ,O,O,O,O,X,O
TLSIOZJ,O,O,O,X,O,X
TLSJIZO,O,O,O,O,X,X
TLSJIOZ,O,O,O,O,X,O
TLSJZIO,O,O,O,O,X,X
TLSJZOI,O,O,O,O,X,X
TLSJOIZ,O,O,O,O,X,O
TLSJOZI,O,O,O,O,X,X
TLSZIJO,O,O,O,X,O,X
TLSZIOJ,O,O,O,X,O,X
TLSZJIO,O,O,O,X,O,X
TLSZJOI,O,O,O,X,O,X
TLSZOIJ,O,O,O,X,O,X
TLSZOJI,O,O,O,X,O,X
TLSOIJZ,O,O,O,O,X,O
TLSOIZJ,O,O,O,X,O,X
TLSOJIZ,O,O,O,O,X,O
TLSOJZI,O,O,O,O,X,X
TLSOZIJ,O,O,O,X,O,X
TLSOZJI,O,O,O,X,O,X
TLZIJSO,O,X,X,O,O,X
TLZIJOS,O,X,X,O,O,X
TLZISJO,O,X,X,X,O,X
TLZISOJ,O,X,X,X,O,X
TLZIOJS,O,X,X,O,O,X
TLZIOSJ,O,X,X,X,O,X
TLZJISO,O,X,X,O,O,X
TLZJIOS,O,X,X,O,O,X
TLZJSIO,O,X,O,O,O,X
TLZJSOI,O,X,O,O,O,X
TLZJOIS,O,X,X,O,O,X
TLZJOSI,O,X,O,O,O,X
TLZSIJO,O,X,O,X,O,X
TLZSIOJ,O,X,O,X,O,X
TLZSJIO,O,X,O,X,O,X
TLZSJOI,O,X,O,X,O,X
TLZSOIJ,O,X,O,X,O,X
TLZSOJI,O,X,O,X,O,X
TLZOIJS,O,X,X,O,O,X
TLZOISJ,O,X,X,X,O,X
TLZOJIS,O,X,X,O,O,X
TLZOJSI,O,X,O,O,O,X
TLZOSIJ,O,X,O,X,O,X
TLZOSJI,O,X,O,X,O,X
TLOIJSZ,O,O,O,O,X,X
TLOIJZS,O,X,X,O,X,X
TLOISJZ,O,O,O,O,X,X
TLOISZJ,O,O,O,X,O,X
TLOIZJS,O,X,X,O,O,X
TLOIZSJ,O,X,X,X,O,X
TLOJISZ,O,O,O,O,X,X
TLOJIZS,O,X,X,O,X,X
TLOJSIZ,O,O,O,O,X,X
TLOJSZI,O,O,O,O,X,X
TLOJZIS,O,X,X,O,X,X
TLOJZSI,O,X,O,O,X,X
TLOSIJZ,O,O,O,O,X,O
TLOSIZJ,O,O,O,X,O,X
TLOSJIZ,O,O,O,O,X,O
TLOSJZI,O,O,O,O,X,X
TLOSZIJ,O,O,O,X,O,X
TLOSZJI,O,O,O,X,O,X
TLOZIJS,O,X,X,O,O,X
TLOZISJ,O,X,X,X,O,X
TLOZJIS,O,X,X,O,O,X
TLOZJSI,O,X,O,O,O,X
TLOZSIJ,O,X,O,X,O,X
TLOZSJI,O,X,O,X,O,X
TJILSZO,O,O,X,O,X,X
TJILSOZ,O,O,X,O,X,X
TJILZSO,O,X,X,O,X,X
TJILZOS,O,X,X,O,X,X
TJILOSZ,O,O,X,O,X,X
TJILOZS,O,X,X,O,X,X
TJISLZO,O,O,X,O,X,X
TJISLOZ,O,O,X,O,X,X
TJISZLO,O,O,X,O,X,X
TJISZOL,O,O,X,O,X,X
TJISOLZ,O,O,X,O,X,X
TJISOZL,O,O,X,O,X,X
TJIZLSO,O,X,X,X,X,X
TJIZLOS,O,X,X,X,X,X
TJIZSLO,O,O,X,O,X,X
TJIZSOL,O,O,X,O,X,X
TJIZOLS,O,X,X,X,X,X
TJIZOSL,O,O,X,O,X,X
TJIOLSZ,O,O,X,O,X,X
TJIOLZS,O,X,X,O,X,X
TJIOSLZ,O,O,X,O,X,X
TJIOSZL,O,O,X,O,X,X
TJIOZLS,O,X,X,X,X,X
TJIOZSL,O,O,X,O,X,X
TJLISZO,O,O,O,O,X,X
TJLISOZ,O,O,O,O,X,X
TJLIZSO,O,X,X,O,X,X
TJLIZOS,O,X,X,O,X,X
TJLIOSZ,O,O,O,O,X,X
TJLIOZS,O,X,X,O,X,X
TJLSIZO,O,O,O,O,X,X
TJLSIOZ,O,O,O,O,X,X
TJLSZIO,O,O,O,O,X,X
TJLSZOI,O,O,O,O,X,X
TJLSOIZ,O,O,O,O,X,X
TJLSOZI,O,O,O,O,X,X
TJLZISO,O,X,X,O,X,X
TJLZIOS,O,X,X,O,X,X
TJLZSIO,O,X,O,O,X,X
TJLZSOI,O,X,O,O,X,X
TJLZOIS,O,X,X,O,X,X
TJLZOSI,O,X,O,O,X,X
TJLOISZ,O,O,O,O,X,X
TJLOIZS,O,X,X,O,X,X
TJLOSIZ,O,O,O,O,X,X
TJLOSZI,O,O,O,O,X,X
TJLOZIS,O,X,X,O,X,X
TJLOZSI,O,X,O,O,X,X
TJSILZO,O,O,O,O,X,X
TJSILOZ,O,O,O,O,X,O
TJSIZLO,O,O,X,O,X,X
TJSIZOL,O,O,X,O,X,O
TJSIOLZ,O,O,O,O,X,O
TJSIOZL,O,O,X,O,X,O
TJSLIZO,O,O,O,O,X,X
TJSLIOZ,O,O,O,O,X,O
TJSLZIO,O,O,O,O,X,X
TJSLZOI,O,O,O,O,X,X
TJSLOIZ,O,O,O,O,X,O
TJSLOZI,O,O,O,O,X,X
TJSZILO,O,O,X,O,X,X
TJSZIOL,O,O,X,O,X,O
TJSZLIO,O,O,X,O,X,X
TJSZLOI,O,O,X,O,X,X
TJSZOIL,O,O,X,O,X,O
TJSZOLI,O,O,X,O,X,X
TJSOILZ,O,O,O,O,X,O
TJSOIZL,O,O,X,O,X,O
TJSOLIZ,O,O,O,O,X,O
TJSOLZI,O,O,O,O,X,X
TJSOZIL,O,O,X,O,X,O
TJSOZLI,O,O,X,O,X,X
TJZILSO,O,X,X,X,X,X
TJZILOS,O,X,X,X,X,X
TJZISLO,O,O,X,O,X,X
TJZISOL,O,O,X,O,X,X
TJZIOLS,O,X,X,X,X,X
TJZIOSL,O,O,X,O,X,X
TJZLISO,O,X,X,O,X,X
TJZLIOS,O,X,X,O,X,X
TJZLSIO,O,X,X,O,X,X
TJZLSOI,O,X,X,O,X,X
TJZLOIS,O,X,X,O,X,X
TJZLOSI,O,X,X,O,X,X
TJZSILO,O,O,X,O,X,X
TJZSIOL,O,O,X,O,X,X
TJZSLIO,O,O,X,X,X,X
TJZSLOI,O,O,X,O,X,X
TJZSOIL,O,O,X,O,X,X
TJZSOLI,O,O,X,O,X,X
TJZOILS,O,X,X,X,X,X
TJZOISL,O,O,X,O,X,X
TJZOLIS,O,X,X,O,X,X
TJZOLSI,O,X,X,O,X,X
TJZOSIL,O,O,X,O,X,X
TJZOSLI,O,O,X,O,X,X
TJOILSZ,O,O,X,O,X,X
TJOILZS,O,X,X,O,X,X
TJOISLZ,O,O,X,O,X,X
TJOISZL,O,O,X,O,X,X
TJOIZLS,O,X,X,X,X,X
TJOIZSL,O,O,X,O,X,X
TJOLISZ,O,O,O,O,X,X
TJOLIZS,O,X,X,O,X,X
TJOLSIZ,O,O,O,O,X,X
TJOLSZI,O,O,O,O,X,X
TJOLZIS,O,X,X,O,X,X
TJOLZSI,O,X,O,O,X,X
TJOSILZ,O,O,O,O,X,O
TJOSIZL,O,O,X,O,X,O
TJOSLIZ,O,O,O,O,X,O
TJOSLZI,O,O,O,O,X,X
TJOSZIL,O,O,X,O,X,O
TJOSZLI,O,O,X,O,X,X
TJOZILS,O,X,X,X,X,X
TJOZISL,O,O,X,O,X,X
TJOZLIS,O,X,X,O,X,X
TJOZLSI,O,X,X,O,X,X
TJOZSIL,O,O,X,O,X,X
TJOZSLI,O,O,X,O,X,X
TSILJZO,O,O,O,X,X,X
TSILJOZ,O,O,O,X,X,O
TSILZJO,O,O,O,X,O,X
TSILZOJ,O,O,O,X,O,X
TSILOJZ,O,O,O,X,X,O
TSILOZJ,O,O,O,X,O,X
TSIJLZO,O,O,O,X,X,X
TSIJLOZ,O,O,O,X,X,O
TSIJZLO,O,O,X,X,X,X
TSIJZOL,O,O,X,X,X,O
TSIJOLZ,O,O,O,X,X,O
TSIJOZL,O,O,X,X,X,O
TSIZLJO,O,O,O,X,X,X
TSIZLOJ,O,O,O,X,X,X
TSIZJLO,O,O,X,X,X,X
TSIZJOL,O,O,X,X,X,O
TSIZOLJ,O,O,O,X,X,X
TSIZOJL,O,O,X,X,X,O
TSIOLJZ,O,O,O,X,X,O
TSIOLZJ,O,O,O,X,O,X
TSIOJLZ,O,O,O,X,X,O
TSIOJZL,O,O,X,X,X,O
TSIOZLJ,O,O,O,X,X,X
TSIOZJL,O,O,X,X,X,O
TSLIJZO,O,O,O,O,X,X
TSLIJOZ,O,O,O,O,X,O
TSLIZJO,O,O,O,X,O,X
TSLIZOJ,O,O,O,X,O,X
TSLIOJZ,O,O,O,O,X,O
TSLIOZJ,O,O,O,X,O,X
TSLJIZO,O,O,O,O,X,X
TSLJIOZ,O,O,O,O,X,O
TSLJZIO,O,O,O,O,X,X
TSLJZOI,O,O,O,O,X,X
TSLJOIZ,O,O,O,O,X,O
TSLJOZI,O,O,O,O,X,X
TSLZIJO,O,O,O,X,O,X
TSLZIOJ,O,O,O,X,O,X
TSLZJIO,O,O,O,X,O,X
TSLZJOI,O,O,O,X,O,X
TSLZOIJ,O,O,O,X,O,X
TSLZOJI,O,O,O,X,O,X
TSLOIJZ,O,O,O,O,X,O
TSLOIZJ,O,O,O,X,O,X
TSLOJIZ,O,O,O,O,X,O
TSLOJZI,O,O,O,O,X,X
TSLOZIJ,O,O,O,X,O,X
TSLOZJI,O,O,O,X,O,X
TSJILZO,O,O,O,O,X,X
TSJILOZ,O,O,O,O,X,O
TSJIZLO,O,O,X,O,X,X
TSJIZOL,O,O,X,O,X,O
TSJIOLZ,O,O,O,O,X,O
TSJIOZL,O,O,X,O,X,O
TSJLIZO,O,O,O,O,X,X
TSJLIOZ,O,O,O,O,X,O
TSJLZIO,O,O,O,O,X,X
TSJLZOI,O,O,O,O,X,X
TSJLOIZ,O,O,O,O,X,O
TSJLOZI,O,O,O,O,X,X
TSJZILO,O,O,X,O,X,X
TSJZIOL,O,O,X,O,X,O
TSJZLIO,O,O,X,X,X,X
TSJZLOI,O,O,X,O,X,X
TSJZOIL,O,O,X,O,X,O
TSJZOLI,O,O,X,O,X,X
TSJOILZ,O,O,O,O,X,O
TSJOIZL,O,O,X,O,X,O
TSJOLIZ,O,O,O,O,X,O
TSJOLZI,O,O,O,O,X,X
TSJOZIL,O,O,X,O,X,O
TSJOZLI,O,O,X,O,X,X
TSZILJO,O,O,O,X,X,X
TSZILOJ,O,O,O,X,X,X
TSZIJLO,O,O,X,X,X,X
TSZIJOL,O,O,X,X,X,O
TSZIOLJ,O,O,O,X,X,X
TSZIOJL,O,O,X,X,X,O
TSZLIJO,O,O,O,X,X,X
TSZLIOJ,O,O,O,X,X,X
TSZLJIO,O,O,O,X,X,X
TSZLJOI,O,O,O,X,X,X
TSZLOIJ,O,O,O,X,X,X
TSZLOJI,O,O,O,X,X,X
TSZJILO,O,O,X,X,X,X
TSZJIOL,O,O,X,X,X,O
TSZJLIO,O,O,X,X,X,X
TSZJLOI,O,O,X,X,X,X
TSZJOIL,O,O,X,X,X,O
TSZJOLI,O,O,X,X,X,X
TSZOILJ,O,O,O,X,X,X
TSZOIJL,O,O,X,X,X,O
TSZOLIJ,O,O,O,X,X,X
TSZOLJI,O,O,O,X,X,X
TSZOJIL,O,O,X,X,X,O
TSZOJLI,O,O,X,X,X,X
TSOILJZ,O,O,O,X,X,O
TSOILZJ,O,O,O,X,O,X
TSOIJLZ,O,O,O,X,X,O
TSOIJZL,O,O,X,X,X,O
TSOIZLJ,O,O,O,X,X,X
TSOIZJL,O,O,X,X,X,O
TSOLIJZ,O,O,O,O,X,O
TSOLIZJ,O,O,O,X,O,X
TSOLJIZ,O,O,O,O,X,O
TSOLJZI,O,O,O,O,X,X
TSOLZIJ,O,O,O,X,O,X
TSOLZJI,O,O,O,X,O,X
TSOJILZ,O,O,O,O,X,O
TSOJIZL,O,O,X,O,X,O
TSOJLIZ,O,O,O,O,X,O
TSOJLZI,O,O,O,O,X,X
TSOJZIL,O,O,X,O,X,O
TSOJZLI,O,O,X,O,X,X
TSOZILJ,O,O,O,X,X,X
TSOZIJL,O,O,X,X,X,O
TSOZLIJ,O,O,O,X,X,X
TSOZLJI,O,O,O,X,X,X
TSOZJIL,O,O,X,X,X,O
TSOZJLI,O,O,X,X,X,X
TZILJSO,O,X,X,X,X,X
TZILJOS,O,X,X,X,X,X
TZILSJO,O,X,X,X,X,X
TZILSOJ,O,X,X,X,X,X
TZILOJS,O,X,X,X,X,X
TZILOSJ,O,X,X,X,X,X
TZIJLSO,O,X,X,X,X,X
TZIJLOS,O,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X
TZIJSOL,O,O,X,X,X,X
TZIJOLS,O,X,X,X,X,X
TZIJOSL,O,O,X,X,X,X
TZISLJO,O,O,X,X,X,X
TZISLOJ,O,O,X,X,X,X
TZISJLO,O,O,X,X,X,X
TZISJOL,O,O,X,X,X,X
TZISOLJ,O,O,X,X,X,X
TZISOJL,O,O,X,X,X,X
TZIOLJS,O,X,X,X,X,X
TZIOLSJ,O,X,X,X,X,X
TZIOJLS,O,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X
TZIOSLJ,O,O,X,X,X,X
TZIOSJL,O,O,X,X,X,X
TZLIJSO,O,X,X,O,X,X
TZLIJOS,O,X,X,O,X,X
TZLISJO,O,X,X,X,X,X
TZLISOJ,O,X,X,X,X,X
TZLIOJS,O,X,X,O,X,X
TZLIOSJ,O,X,X,X,X,X
TZLJISO,O,X,X,O,X,X
TZLJIOS,O,X,X,O,X,X
TZLJSIO,O,X,O,O,X,X
TZLJSOI,O,X,O,O,X,X
TZLJOIS,O,X,X,O,X,X
TZLJOSI,O,X,O,O,X,X
TZLSIJO,O,X,O,X,X,X
TZLSIOJ,O,X,O,X,X,X
TZLSJIO,O,X,O,X,X,X
TZLSJOI,O,X,O,X,X,X
TZLSOIJ,O,X,O,X,X,X
TZLSOJI,O,X,O,X,X,X
TZLOIJS,O,X,X,O,X,X
TZLOISJ,O,X,X,X,X,X
TZLOJIS,O,X,X,O,X,X
TZLOJSI,O,X,O,O,X,X
TZLOSIJ,O,X,O,X,X,X
TZLOSJI,O,X,O,X,X,X
TZJILSO,O,X,X,X,X,X
TZJILOS,O,X,X,X,X,X
TZJISLO,O,O,X,O,X,X
TZJISOL,O,O,X,O,X,X
TZJIOLS,O,X,X,X,X,X
TZJIOSL,O,O,X,O,X,X
TZJLISO,O,X,X,O,X,X
TZJLIOS,O,X,X,O,X,X
TZJLSIO,O,X,X,O,X,X
TZJLSOI,O,X,X,O,X,X
TZJLOIS,O,X,X,O,X,X
TZJLOSI,O,X,X,O,X,X
TZJSILO,O,O,X,O,X,X
TZJSIOL,O,O,X,O,X,X
TZJSLIO,O,O,X,X,X,X
TZJSLOI,O,O,X,O,X,X
TZJSOIL,O,O,X,O,X,X
TZJSOLI,O,O,X,O,X,X
TZJOILS,O,X,X,X,X,X
TZJOISL,O,O,X,O,X,X
TZJOLIS,O,X,X,O,X,X
TZJOLSI,O,X,X,O,X,X
TZJOSIL,O,O,X,O,X,X
TZJOSLI,O,O,X,O,X,X
TZSILJO,O,O,O,X,X,X
TZSILOJ,O,O,O,X,X,X
TZSIJLO,O,O,X,X,X,X
TZSIJOL,O,O,X,X,X,O
TZSIOLJ,O,O,O,X,X,X
TZSIOJL,O,O,X,X,X,O
TZSLIJO,O,O,O,X,X,X
TZSLIOJ,O,O,O,X,X,X
TZSLJIO,O,O,O,X,X,X
TZSLJOI,O,O,O,X,X,X
TZSLOIJ,O,O,O,X,X,X
TZSLOJI,O,O,O,X,X,X
TZSJILO,O,O,X,X,X,X
TZSJIOL,O,O,X,X,X,O
TZSJLIO,O,O,X,X,X,X
TZSJLOI,O,O,X,X,X,X
TZSJOIL,O,O,X,X,X,O
TZSJOLI,O,O,X,X,X,X
TZSOILJ,O,O,O,X,X,X
TZSOIJL,O,O,X,X,X,O
TZSOLIJ,O,O,O,X,X,X
TZSOLJI,O,O,O,X,X,X
TZSOJIL,O,O,X,X,X,O
TZSOJLI,O,O,X,X,X,X
TZOILJS,O,X,X,X,X,X
TZOILSJ,O,X,X,X,X,X
TZOIJLS,O,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X
TZOISLJ,O,O,X,X,X,X
TZOISJL,O,O,X,X,X,X
TZOLIJS,O,X,X,O,X,X
TZOLISJ,O,X,X,X,X,X
TZOLJIS,O,X,X,O,X,X
TZOLJSI,O,X,O,O,X,X
TZOLSIJ,O,X,O,X,X,X
TZOLSJI,O,X,O,X,X,X
TZOJILS,O,X,X,X,X,X
TZOJISL,O,O,X,O,X,X
TZOJLIS,O,X,X,O,X,X
TZOJLSI,O,X,X,O,X,X
TZOJSIL,O,O,X,O,X,X
TZOJSLI,O,O,X,O,X,X
TZOSILJ,O,O,O,X,X,X
TZOSIJL,O,O,X,X,X,O
TZOSLIJ,O,O,O,X,X,X
TZOSLJI,O,O,O,X,X,X
TZOSJIL,O,O,X,X,X,O
TZOSJLI,O,O,X,X,X,X
TOILJSZ,O,O,O,O,X,X
TOILJZS,O,X,X,O,X,X
TOILSJZ,O,O,O,O,X,X
TOILSZJ,O,O,O,X,O,X
TOILZJS,O,X,X,O,O,X
TOILZSJ,O,X,X,X,O,X
TOIJLSZ,O,O,X,O,X,X
TOIJLZS,O,X,X,O,X,X
TOIJSLZ,O,O,X,O,X,X
TOIJSZL,O,O,X,O,X,X
TOIJZLS,O,X,X,X,X,X
TOIJZSL,O,O,X,O,X,X
TOISLJZ,O,O,O,X,X,O
TOISLZJ,O,O,O,X,O,X
TOISJLZ,O,O,O,X,X,O
TOISJZL,O,O,X,X,X,O
TOISZLJ,O,O,O,X,X,X
TOISZJL,O,O,X,X,X,O
TOIZLJS,O,X,X,X,X,X
TOIZLSJ,O,X,X,X,X,X
TOIZJLS,O,X,X,X,X,X
TOIZJSL,O,O,X,X,X,X
TOIZSLJ,O,O,X,X,X,X
TOIZSJL,O,O,X,X,X,X
TOLIJSZ,O,O,O,O,X,X
TOLIJZS,O,X,X,O,X,X
TOLISJZ,O,O,O,O,X,X
TOLISZJ,O,O,O,X,O,X
TOLIZJS,O,X,X,O,O,X
TOLIZSJ,O,X,X,X,O,X
TOLJISZ,O,O,O,O,X,X
TOLJIZS,O,X,X,O,X,X
TOLJSIZ,O,O,O,O,X,X
TOLJSZI,O,O,O,O,X,X
TOLJZIS,O,X,X,O,X,X
TOLJZSI,O,X,O,O,X,X
TOLSIJZ,O,O,O,O,X,O
TOLSIZJ,O,O,O,X,O,X
TOLSJIZ,O,O,O,O,X,O
TOLSJZI,O,O,O,O,X,X
TOLSZIJ,O,O,O,X,O,X
TOLSZJI,O,O,O,X,O,X
TOLZIJS,O,X,X,O,O,X
TOLZISJ,O,X,X,X,O,X
TOLZJIS,O,X,X,O,O,X
TOLZJSI,O,X,O,O,O,X
TOLZSIJ,O,X,O,X,O,X
TOLZSJI,O,X,O,X,O,X
TOJILSZ,O,O,X,O,X,X
TOJILZS,O,X,X,O,X,X
TOJISLZ,O,O,X,O,X,X
TOJISZL,O,O,X,O,X,X
TOJIZLS,O,X,X,X,X,X
TOJIZSL,O,O,X,O,X,X
TOJLISZ,O,O,O,O,X,X
TOJLIZS,O,X,X,O,X,X
TOJLSIZ,O,O,O,O,X,X
TOJLSZI,O,O,O,O,X,X
TOJLZIS,O,X,X,O,X,X
TOJLZSI,O,X,O,O,X,X
TOJSILZ,O,O,O,O,X,O
TOJSIZL,O,O,X,O,X,O
TOJSLIZ,O,O,O,O,X,O
TOJSLZI,O,O,O,O,X,X
TOJSZIL,O,O,X,O,X,O
TOJSZLI,O,O,X,O,X,X
