sequence,v115@7gB8HeB8EeE8DeF8CeG8JeNAJvhFGcBTdBZkB8lBfq?B6pB,v115@7gB8HeB8EeE8DeF8CeG8Jem6IvhFRcBSiB0fBzgBNp?BXqB,v115@7gB8HeB8EeE8DeF8CeG8Je//IvhFRbBchBTdB6lBNp?BeqB,v115@7gB8HeB8EeE8DeF8CeG8Je2/IvhFRbBchBTdB9lBKp?BfqB,v115@7gB8HeB8EeE8DeF8CeG8JeN/IvhFRbBShBTdB8kB3l?B2uB,v115@7gB8HeB8EeE8DeF8CeG8Je06IvhFShBTdBxpBNpBml?BXqB,v115@7gB8HeB8EeE8DeF8CeG8JeNAJvhFRcBSiBOkB8lBfq?BTpB,v115@7gB8HeB8EeE8DeF8CeG8JeO/IvhFxbBTdBXhBcpBNq?BCqB
TJOIZLS,X,O,O,X,O,X,X,X
TJOIZSL,O,O,O,X,O,X,X,X
TJOLISZ,X,O,O,X,X,X,X,X
TJOLIZS,X,O,O,X,O,X,X,X
TJOLSIZ,X,O,O,O,O,X,X,X
TJOLSZI,X,O,O,O,O,X,X,X
TJOLZIS,X,O,O,X,O,X,X,X
TJOLZSI,X,O,O,O,O,X,X,X
TJOSILZ,X,O,O,X,O,X,X,X
TJOSIZL,O,O,O,X,O,X,X,O
TJOSLIZ,X,O,O,X,O,X,X,X
TJOSLZI,X,O,O,X,O,X,X,X
TJOSZIL,O,O,O,X,O,X,X,O
TJOSZLI,O,O,O,X,O,X,X,O
TJOZILS,X,O,O,X,O,X,X,X
TJOZISL,O,O,O,X,O,X,X,O
TJOZLIS,X,O,O,X,O,X,X,X
TJOZLSI,O,O,O,O,O,X,X,O
TJOZSIL,O,O,O,X,O,X,X,O
TJOZSLI,O,O,O,X,O,X,X,O
TSILJZO,X,O,X,X,X,X,O,X
TSILJOZ,X,O,X,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,O,O
TSILZOJ,O,O,X,X,X,X,O,O
TSILOJZ,X,O,X,X,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X,O
TSIJLZO,X,X,O,X,X,X,O,X
TSIJLOZ,X,X,O,X,X,X,X,X
TSIJZLO,O,X,O,X,X,X,O,O
TSIJZOL,O,X,O,X,X,X,O,O
TSIJOLZ,X,X,O,X,X,X,X,X
TSIJOZL,O,X,O,X,X,X,X,O
TSIZLJO,O,O,X,X,X,X,O,O
TSIZLOJ,O,O,O,X,X,X,O,O
TSIZJLO,O,O,O,X,X,X,O,O
TSIZJOL,O,O,O,X,X,X,O,O
TSIZOLJ,O,O,O,X,X,X,O,O
TSIZOJL,O,O,O,X,X,X,O,O
TSIOLJZ,X,O,X,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,O
TSIOJLZ,X,O,O,X,X,X,X,X
TSIOJZL,O,O,O,X,X,X,X,O
TSIOZLJ,O,O,O,X,X,X,X,O
TSIOZJL,O,O,O,X,X,X,X,O
TSLIJZO,X,O,X,O,X,X,O,X
TSLIJOZ,X,O,X,O,X,X,X,X
TSLIZJO,O,O,X,O,X,X,O,O
TSLIZOJ,O,O,X,O,X,X,O,O
TSLIOJZ,X,O,X,O,X,X,X,X
TSLIOZJ,O,O,X,O,X,X,X,O
TSLJIZO,X,O,O,O,O,X,O,X
TSLJIOZ,X,O,O,O,O,X,X,X
TSLJZIO,X,O,O,O,O,X,O,X
TSLJZOI,X,O,O,O,O,X,O,X
TSLJOIZ,X,O,O,O,O,X,X,X
TSLJOZI,X,O,O,O,O,X,O,X
TSLZIJO,O,O,X,O,O,X,O,O
TSLZIOJ,O,O,O,O,O,X,O,O
TSLZJIO,O,O,O,O,O,X,O,O
TSLZJOI,O,O,O,O,O,X,O,O
TSLZOIJ,O,O,O,O,O,X,O,O
TSLZOJI,O,O,O,O,O,X,O,O
TSLOIJZ,X,O,X,O,X,X,X,X
TSLOIZJ,O,O,X,O,X,X,X,O
TSLOJIZ,X,O,O,O,O,X,X,X
TSLOJZI,X,O,O,O,O,X,O,X
TSLOZIJ,O,O,O,O,O,X,O,O
TSLOZJI,O,O,O,O,O,X,O,O
TSJILZO,X,X,O,X,O,X,O,X
