sequence,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFmcBqiBTeBFhBUn?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFlcBGeBUhBKnBzi?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFXcBTeBCiB0iBer?BVxB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFTeB2nB0mB6nBFm?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFGdBTeB3hBlnBir?B8qB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFSiBTeBUhBlnBmm?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhF6hBldBcjB/nB2r?BzqB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhF8hBGeBamBziBVs?BXrB
TIZOSLJ,O,X,X,X,X,O,X,X
TIZOSJL,X,X,X,X,X,O,O,X
TIOLJSZ,O,O,O,X,O,X,X,O
TIOLJZS,O,O,O,X,X,O,X,O
TIOLSJZ,O,O,X,X,O,O,X,O
TIOLSZJ,X,O,X,X,O,O,X,O
TIOLZJS,O,O,X,X,X,O,X,O
TIOLZSJ,O,O,X,X,X,O,X,O
TIOJLSZ,O,O,O,X,O,X,X,O
TIOJLZS,O,O,O,X,X,O,X,O
TIOJSLZ,X,X,O,X,O,O,X,X
TIOJSZL,X,X,O,X,X,O,X,X
TIOJZLS,O,O,O,O,X,O,X,O
TIOJZSL,X,X,O,O,X,X,X,X
TIOSLJZ,O,X,X,X,O,O,X,X
TIOSLZJ,X,X,X,X,O,O,X,X
TIOSJLZ,X,X,O,X,O,O,X,X
TIOSJZL,X,X,O,X,X,O,X,X
TIOSZLJ,O,X,X,X,X,O,X,X
TIOSZJL,X,X,X,X,X,O,X,X
TIOZLJS,O,O,X,X,X,O,X,O
TIOZLSJ,O,O,X,X,X,O,X,O
TIOZJLS,O,O,O,X,X,O,X,O
TIOZJSL,X,X,O,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,O,X,X
TIOZSJL,X,X,X,X,X,O,X,X
TLIJSZO,X,O,O,X,O,X,X,X
TLIJSOZ,O,O,O,X,O,X,X,X
TLIJZSO,O,O,O,X,X,X,X,X
TLIJZOS,O,O,O,X,X,O,X,O
TLIJOSZ,O,O,O,X,O,X,X,O
TLIJOZS,O,O,O,X,X,O,X,O
TLISJZO,X,O,X,X,O,O,X,X
TLISJOZ,O,O,X,X,O,O,X,X
TLISZJO,X,O,X,X,O,O,X,X
TLISZOJ,X,O,X,X,O,O,X,O
TLISOJZ,O,O,X,X,O,O,X,O
TLISOZJ,X,O,X,X,O,O,X,O
TLIZJSO,O,O,X,X,X,X,X,X
TLIZJOS,O,O,X,X,X,O,X,O
TLIZSJO,O,O,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,O,X,O
TLIZOJS,O,O,X,X,X,O,X,O
TLIZOSJ,O,O,X,X,X,O,X,O
TLIOJSZ,O,O,O,X,O,X,X,O
TLIOJZS,O,O,O,X,X,O,X,O
TLIOSJZ,O,O,X,X,O,O,X,O
TLIOSZJ,X,O,X,X,O,O,X,O
TLIOZJS,O,O,X,X,X,O,X,O
TLIOZSJ,O,O,X,X,X,O,X,O
TLJISZO,X,O,O,X,O,X,X,X
TLJISOZ,O,O,O,X,O,X,X,X
TLJIZSO,O,O,O,X,X,X,X,X
TLJIZOS,O,O,O,X,X,O,X,O
TLJIOSZ,O,O,O,X,O,X,X,O
TLJIOZS,O,O,O,X,X,O,X,O
TLJSIZO,X,O,O,X,O,X,X,X
TLJSIOZ,O,O,O,X,O,X,X,X
TLJSZIO,X,O,O,X,O,X,X,X
TLJSZOI,X,O,O,X,O,X,X,X
TLJSOIZ,O,O,O,X,O,X,X,X
TLJSOZI,X,X,O,X,O,X,X,X
TLJZISO,O,O,O,X,X,X,X,X
TLJZIOS,O,O,O,X,X,O,X,O
TLJZSIO,O,O,O,X,O,X,X,X
TLJZSOI,O,X,O,X,O,X,X,X
TLJZOIS,O,O,O,X,X,O,X,O
TLJZOSI,O,X,O,X,O,O,X,O
TLJOISZ,O,O,O,X,O,X,X,O
TLJOIZS,O,O,O,X,X,O,X,O
TLJOSIZ,O,O,O,X,O,X,X,O
TLJOSZI,X,X,O,X,O,X,X,O
TLJOZIS,O,O,O,X,X,O,X,O
TLJOZSI,X,X,O,X,O,O,X,O
TLSIJZO,X,O,X,X,O,O,X,X
TLSIJOZ,O,O,X,X,O,O,X,X
TLSIZJO,X,O,X,X,O,O,X,X
TLSIZOJ,X,O,X,X,O,O,X,O
TLSIOJZ,O,O,X,X,O,O,X,O
TLSIOZJ,X,O,X,X,O,O,X,O
TLSJIZO,X,O,X,X,O,O,X,X
TLSJIOZ,O,O,X,X,O,O,X,X
TLSJZIO,X,O,X,X,O,O,X,X
TLSJZOI,X,O,X,X,O,O,X,X
TLSJOIZ,O,O,X,X,O,O,X,X
TLSJOZI,X,O,X,X,O,O,X,X
TLSZIJO,X,O,X,X,O,O,X,X
TLSZIOJ,X,O,X,X,O,O,X,O
TLSZJIO,X,O,X,X,O,O,X,X
TLSZJOI,X,O,X,X,O,O,X,X
TLSZOIJ,X,O,X,X,O,O,X,O
TLSZOJI,X,O,X,X,O,O,X,O
TLSOIJZ,O,O,X,X,O,O,X,O
TLSOIZJ,X,O,X,X,O,O,X,O
TLSOJIZ,O,O,X,X,O,O,X,O
TLSOJZI,X,O,X,X,O,O,X,O
TLSOZIJ,X,O,X,X,O,O,X,O
TLSOZJI,X,O,X,X,O,O,X,O
TLZIJSO,O,O,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,O,X,O
TLZISJO,O,O,X,X,X,X,X,X
TLZISOJ,O,O,X,X,X,O,X,O
TLZIOJS,O,O,X,X,X,O,X,O
TLZIOSJ,O,O,X,X,X,O,X,O
TLZJISO,O,O,X,X,X,X,X,X
TLZJIOS,O,O,X,X,X,O,X,O
TLZJSIO,O,O,X,X,O,X,X,X
TLZJSOI,O,X,X,X,O,X,X,X
TLZJOIS,O,O,X,X,X,O,X,O
TLZJOSI,O,O,X,X,O,O,X,O
TLZSIJO,O,O,X,X,O,X,X,X
TLZSIOJ,O,O,X,X,O,O,X,O
TLZSJIO,O,O,X,X,O,X,X,X
TLZSJOI,O,X,X,X,O,X,X,X
TLZSOIJ,O,O,X,X,O,O,X,O
TLZSOJI,O,O,X,X,O,O,X,O
TLZOIJS,O,O,X,X,X,O,X,O
TLZOISJ,O,O,X,X,X,O,X,O
TLZOJIS,O,O,X,X,X,O,X,O
TLZOJSI,O,O,X,X,O,O,X,O
TLZOSIJ,O,O,X,X,O,O,X,O
TLZOSJI,O,O,X,X,O,O,X,O
TLOIJSZ,O,O,O,X,O,X,X,O
TLOIJZS,O,O,O,X,X,O,X,O
TLOISJZ,O,O,X,X,O,O,X,O
TLOISZJ,X,O,X,X,O,O,X,O
TLOIZJS,O,O,X,X,X,O,X,O
TLOIZSJ,O,O,X,X,X,O,X,O
TLOJISZ,O,O,O,X,O,X,X,O
TLOJIZS,O,O,O,X,X,O,X,O
TLOJSIZ,O,O,O,X,O,X,X,O
TLOJSZI,X,O,O,X,O,X,X,O
TLOJZIS,O,O,O,X,X,O,X,O
TLOJZSI,X,O,O,X,O,O,X,O
TLOSIJZ,O,O,X,X,O,O,X,O
TLOSIZJ,X,O,X,X,O,O,X,O
TLOSJIZ,O,O,X,X,O,O,X,O
TLOSJZI,X,O,X,X,O,O,X,O
TLOSZIJ,X,O,X,X,O,O,X,O
TLOSZJI,X,O,X,X,O,O,X,O
TLOZIJS,O,O,X,X,X,O,X,O
TLOZISJ,O,O,X,X,X,O,X,O
TLOZJIS,O,O,X,X,X,O,X,O
TLOZJSI,O,O,X,X,O,O,X,O
TLOZSIJ,O,O,X,X,O,O,X,O
TLOZSJI,O,O,X,X,O,O,X,O
TJILSZO,X,O,O,X,O,X,O,X
TJILSOZ,O,O,O,X,O,X,X,X
TJILZSO,O,O,O,X,X,X,O,X
TJILZOS,O,O,O,X,X,O,X,X
TJILOSZ,O,O,O,X,O,X,X,O
TJILOZS,O,O,O,X,X,O,X,O
TJISLZO,X,X,O,X,O,O,O,X
TJISLOZ,O,X,O,X,O,O,X,X
TJISZLO,O,X,O,X,X,O,O,X
TJISZOL,X,X,O,X,X,O,O,X
TJISOLZ,X,X,O,X,O,O,X,X
TJISOZL,X,X,O,X,X,O,X,X
TJIZLSO,O,O,O,O,X,X,O,X
TJIZLOS,O,O,O,O,X,O,X,X
TJIZSLO,O,O,O,O,X,X,O,X
TJIZSOL,X,X,O,O,X,X,O,X
TJIZOLS,O,O,O,O,X,O,X,X
TJIZOSL,X,X,O,O,X,X,X,X
TJIOLSZ,O,O,O,X,O,X,X,O
TJIOLZS,O,O,O,X,X,O,X,O
TJIOSLZ,X,X,O,X,O,O,X,X
TJIOSZL,X,X,O,X,X,O,X,X
TJIOZLS,O,O,O,O,X,O,X,X
TJIOZSL,X,X,O,O,X,X,X,X
TJLISZO,X,O,O,X,O,X,O,X
TJLISOZ,O,O,O,X,O,X,X,X
TJLIZSO,O,O,O,X,X,X,O,X
TJLIZOS,O,O,O,X,X,O,X,O
TJLIOSZ,O,O,O,X,O,X,X,O
TJLIOZS,O,O,O,X,X,O,X,O
TJLSIZO,X,O,O,X,O,X,O,X
TJLSIOZ,O,O,O,X,O,X,X,X
TJLSZIO,X,O,O,X,O,X,O,X
TJLSZOI,X,O,O,X,O,X,O,X
TJLSOIZ,O,O,O,X,O,X,X,X
TJLSOZI,X,X,O,X,O,X,X,X
TJLZISO,O,O,O,X,X,X,O,X
TJLZIOS,O,O,O,X,X,O,X,O
TJLZSIO,O,O,O,X,O,X,O,X
TJLZSOI,O,X,O,X,O,X,O,X
TJLZOIS,O,O,O,X,X,O,X,O
TJLZOSI,O,X,O,X,O,O,X,O
TJLOISZ,O,O,O,X,O,X,X,O
TJLOIZS,O,O,O,X,X,O,X,O
TJLOSIZ,O,X,O,X,O,X,X,O
TJLOSZI,X,X,O,X,O,X,X,O
TJLOZIS,O,X,O,X,X,O,X,O
TJLOZSI,X,X,O,X,O,O,X,O
TJSILZO,X,X,O,X,O,O,O,X
TJSILOZ,O,X,O,X,O,O,X,X
TJSIZLO,O,X,O,X,X,O,O,X
TJSIZOL,X,X,O,X,X,O,O,X
TJSIOLZ,X,X,O,X,O,O,X,X
TJSIOZL,X,X,O,X,X,O,X,X
TJSLIZO,X,X,O,X,O,O,O,X
TJSLIOZ,O,X,O,X,O,O,X,X
TJSLZIO,X,X,O,X,O,O,O,X
TJSLZOI,X,X,O,X,O,O,O,X
TJSLOIZ,O,X,O,X,O,O,X,X
TJSLOZI,X,X,O,X,O,O,X,X
TJSZILO,O,X,O,X,X,O,O,X
TJSZIOL,X,X,O,X,X,O,O,X
TJSZLIO,O,X,O,X,O,O,O,X
TJSZLOI,O,X,O,X,O,O,O,X
TJSZOIL,X,X,O,X,X,O,O,X
TJSZOLI,X,X,O,X,O,O,O,X
TJSOILZ,X,X,O,X,O,O,X,X
TJSOIZL,X,X,O,X,X,O,X,X
TJSOLIZ,X,X,O,X,O,O,X,X
TJSOLZI,X,X,O,X,O,O,X,X
TJSOZIL,X,X,O,X,X,O,X,X
TJSOZLI,X,X,O,X,O,O,X,X
TJZILSO,O,O,O,O,X,X,O,X
TJZILOS,O,O,O,O,X,O,X,X
TJZISLO,O,O,O,O,X,X,O,X
TJZISOL,X,X,O,O,X,X,O,X
TJZIOLS,O,O,O,O,X,O,X,X
TJZIOSL,X,X,O,O,X,X,X,X
TJZLISO,O,O,O,O,X,X,O,X
TJZLIOS,O,O,O,O,X,O,X,O
TJZLSIO,O,O,O,O,O,X,O,X
TJZLSOI,O,X,O,O,O,X,O,X
TJZLOIS,O,O,O,O,X,O,X,O
TJZLOSI,O,X,O,O,O,O,X,O
TJZSILO,O,O,O,O,X,X,O,X
TJZSIOL,X,X,O,O,X,X,O,X
TJZSLIO,O,X,O,O,O,X,O,X
TJZSLOI,O,X,O,O,O,X,O,X
TJZSOIL,X,X,O,O,X,X,O,X
TJZSOLI,X,X,O,O,O,X,O,X
TJZOILS,O,O,O,O,X,O,X,O
TJZOISL,X,X,O,O,X,X,X,X
TJZOLIS,O,X,O,O,X,O,X,O
TJZOLSI,O,X,O,O,O,O,X,O
TJZOSIL,X,X,O,O,X,X,X,X
TJZOSLI,X,X,O,O,O,X,X,O
TJOILSZ,O,O,O,X,O,X,X,O
TJOILZS,O,O,O,X,X,O,X,O
TJOISLZ,X,X,O,X,O,O,X,X
TJOISZL,X,X,O,X,X,O,X,X
TJOIZLS,O,O,O,O,X,O,X,O
TJOIZSL,X,X,O,O,X,X,X,X
TJOLISZ,O,O,O,X,O,X,X,O
TJOLIZS,O,O,O,X,X,O,X,O
TJOLSIZ,O,O,O,X,O,X,X,O
TJOLSZI,X,O,O,X,O,X,X,O
TJOLZIS,O,O,O,X,X,O,X,O
TJOLZSI,X,O,O,X,O,O,X,O
TJOSILZ,X,X,O,X,O,O,X,X
TJOSIZL,X,X,O,X,X,O,X,X
TJOSLIZ,X,X,O,X,O,O,X,O
TJOSLZI,X,X,O,X,O,O,X,O
TJOSZIL,X,X,O,X,X,O,X,X
TJOSZLI,X,X,O,X,O,O,X,O
TJOZILS,O,O,O,O,X,O,X,O
TJOZISL,X,X,O,O,X,X,X,X
TJOZLIS,O,O,O,O,X,O,X,O
TJOZLSI,O,O,O,O,O,O,X,O
TJOZSIL,X,X,O,O,X,X,X,X
TJOZSLI,X,X,O,O,O,X,X,O
TSILJZO,X,X,X,X,O,O,X,X
TSILJOZ,O,X,X,X,O,O,X,X
TSILZJO,X,X,X,X,O,O,X,X
TSILZOJ,X,X,X,X,O,O,X,X
TSILOJZ,O,X,X,X,O,O,X,X
TSILOZJ,X,X,X,X,O,O,X,X
TSIJLZO,X,X,O,X,O,O,O,X
TSIJLOZ,O,X,O,X,O,O,X,X
TSIJZLO,O,X,O,X,X,O,O,X
TSIJZOL,X,X,O,X,X,O,O,X
TSIJOLZ,X,X,O,X,O,O,X,X
TSIJOZL,X,X,O,X,X,O,X,X
TSIZLJO,O,X,X,X,X,O,O,X
TSIZLOJ,O,X,X,X,X,O,X,X
TSIZJLO,O,X,X,X,X,O,O,X
TSIZJOL,X,X,X,X,X,O,O,X
TSIZOLJ,O,X,X,X,X,O,X,X
TSIZOJL,X,X,X,X,X,O,O,X
TSIOLJZ,O,X,X,X,O,O,X,X
TSIOLZJ,X,X,X,X,O,O,X,X
TSIOJLZ,X,X,O,X,O,O,X,X
TSIOJZL,X,X,O,X,X,O,X,X
TSIOZLJ,O,X,X,X,X,O,X,X
TSIOZJL,X,X,X,X,X,O,X,X
TSLIJZO,X,X,X,X,O,O,X,X
TSLIJOZ,O,X,X,X,O,O,X,X
TSLIZJO,X,X,X,X,O,O,X,X
TSLIZOJ,X,X,X,X,O,O,X,O
TSLIOJZ,O,X,X,X,O,O,X,O
TSLIOZJ,X,X,X,X,O,O,X,O
TSLJIZO,X,X,X,X,O,O,X,X
TSLJIOZ,O,X,X,X,O,O,X,X
TSLJZIO,X,X,X,X,O,O,X,X
TSLJZOI,X,X,X,X,O,O,X,X
TSLJOIZ,O,X,X,X,O,O,X,X
TSLJOZI,X,X,X,X,O,O,X,X
TSLZIJO,X,X,X,X,O,O,X,X
TSLZIOJ,X,X,X,X,O,O,X,O
TSLZJIO,X,X,X,X,O,O,X,X
TSLZJOI,X,X,X,X,O,O,X,X
TSLZOIJ,X,X,X,X,O,O,X,O
TSLZOJI,X,X,X,X,O,O,X,O
TSLOIJZ,O,X,X,X,O,O,X,O
TSLOIZJ,X,X,X,X,O,O,X,O
TSLOJIZ,O,X,X,X,O,O,X,O
TSLOJZI,X,X,X,X,O,O,X,O
TSLOZIJ,X,X,X,X,O,O,X,O
TSLOZJI,X,X,X,X,O,O,X,O
TSJILZO,X,X,O,X,O,O,O,X
TSJILOZ,O,X,O,X,O,O,X,X
TSJIZLO,O,X,O,X,X,O,O,X
TSJIZOL,X,X,O,X,X,O,O,X
TSJIOLZ,X,X,O,X,O,O,X,X
TSJIOZL,X,X,O,X,X,O,X,X
TSJLIZO,X,X,O,X,O,O,O,X
TSJLIOZ,O,X,O,X,O,O,X,X
TSJLZIO,X,X,O,X,O,O,O,X
TSJLZOI,X,X,O,X,O,O,O,X
TSJLOIZ,O,X,O,X,O,O,X,X
TSJLOZI,X,X,O,X,O,O,X,X
TSJZILO,O,X,O,X,X,O,O,X
TSJZIOL,X,X,O,X,X,O,O,X
TSJZLIO,O,X,O,X,O,O,O,X
TSJZLOI,O,X,O,X,O,O,O,X
TSJZOIL,X,X,O,X,X,O,O,X
TSJZOLI,X,X,O,X,O,O,O,X
TSJOILZ,X,X,O,X,O,O,X,X
TSJOIZL,X,X,O,X,X,O,X,X
TSJOLIZ,X,X,O,X,O,O,X,X
TSJOLZI,X,X,O,X,O,O,X,X
TSJOZIL,X,X,O,X,X,O,X,X
TSJOZLI,X,X,O,X,O,O,X,X
TSZILJO,O,X,X,X,X,O,O,X
TSZILOJ,O,X,X,X,X,O,X,X
TSZIJLO,O,X,X,X,X,O,O,X
TSZIJOL,X,X,X,X,X,O,O,X
TSZIOLJ,O,X,X,X,X,O,X,X
TSZIOJL,X,X,X,X,X,O,O,X
TSZLIJO,O,X,X,X,O,O,O,X
TSZLIOJ,O,X,X,X,O,O,X,O
TSZLJIO,O,X,X,X,O,O,O,X
TSZLJOI,O,X,X,X,O,O,O,X
TSZLOIJ,O,X,X,X,O,O,X,O
TSZLOJI,O,X,X,X,O,O,X,O
TSZJILO,O,X,X,X,X,O,O,X
TSZJIOL,X,X,X,X,X,O,O,X
TSZJLIO,O,X,X,X,O,O,O,X
TSZJLOI,O,X,X,X,O,O,O,X
TSZJOIL,X,X,X,X,X,O,O,X
TSZJOLI,X,X,X,X,O,O,O,X
TSZOILJ,O,X,X,X,X,O,X,X
TSZOIJL,X,X,X,X,X,O,O,X
TSZOLIJ,O,X,X,X,O,O,X,O
TSZOLJI,O,X,X,X,O,O,X,O
TSZOJIL,X,X,X,X,X,O,O,X
TSZOJLI,X,X,X,X,O,O,O,O
TSOILJZ,O,X,X,X,O,O,X,X
TSOILZJ,X,X,X,X,O,O,X,X
TSOIJLZ,X,X,O,X,O,O,X,X
TSOIJZL,X,X,O,X,X,O,X,X
TSOIZLJ,O,X,X,X,X,O,X,X
TSOIZJL,X,X,X,X,X,O,X,X
TSOLIJZ,O,X,X,X,O,O,X,O
TSOLIZJ,X,X,X,X,O,O,X,O
TSOLJIZ,O,X,X,X,O,O,X,O
TSOLJZI,X,X,X,X,O,O,X,O
TSOLZIJ,X,X,X,X,O,O,X,O
TSOLZJI,X,X,X,X,O,O,X,O
TSOJILZ,X,X,O,X,O,O,X,X
TSOJIZL,X,X,O,X,X,O,X,X
TSOJLIZ,X,X,O,X,O,O,X,O
TSOJLZI,X,X,O,X,O,O,X,O
TSOJZIL,X,X,O,X,X,O,X,X
TSOJZLI,X,X,O,X,O,O,X,O
TSOZILJ,O,X,X,X,X,O,X,X
TSOZIJL,X,X,X,X,X,O,X,X
TSOZLIJ,O,X,X,X,O,O,X,O
TSOZLJI,O,X,X,X,O,O,X,O
TSOZJIL,X,X,X,X,X,O,X,X
TSOZJLI,X,X,X,X,O,O,X,O
TZILJSO,O,O,X,X,X,X,X,X
TZILJOS,O,O,X,X,X,O,X,O
TZILSJO,O,O,X,X,X,X,O,X
TZILSOJ,O,O,X,X,X,O,X,O
TZILOJS,O,O,X,X,X,O,X,O
TZILOSJ,O,O,X,X,X,O,X,O
TZIJLSO,O,O,O,O,X,X,O,X
TZIJLOS,O,O,O,O,X,O,X,X
TZIJSLO,O,O,O,O,X,X,O,X
TZIJSOL,X,X,O,O,X,X,O,X
TZIJOLS,O,O,O,O,X,O,X,X
TZIJOSL,X,X,O,O,X,X,X,X
TZISLJO,O,O,X,X,X,O,O,X
TZISLOJ,O,O,X,X,X,O,X,X
TZISJLO,O,O,X,X,X,O,O,X
TZISJOL,X,X,X,X,X,O,O,X
TZISOLJ,O,X,X,X,X,O,X,X
TZISOJL,X,X,X,X,X,O,O,X
TZIOLJS,O,O,X,X,X,O,X,O
TZIOLSJ,O,O,X,X,X,O,X,O
TZIOJLS,O,O,O,X,X,O,X,O
TZIOJSL,X,X,O,X,X,X,X,X
TZIOSLJ,O,X,X,X,X,O,X,X
TZIOSJL,X,X,X,X,X,O,O,X
TZLIJSO,O,O,X,X,X,X,X,X
TZLIJOS,O,O,X,X,X,O,X,O
TZLISJO,O,O,X,X,X,X,O,X
TZLISOJ,O,O,X,X,X,O,X,O
TZLIOJS,O,O,X,X,X,O,X,O
TZLIOSJ,O,O,X,X,X,O,X,O
TZLJISO,O,O,X,X,X,X,X,X
TZLJIOS,O,O,X,X,X,O,X,O
TZLJSIO,O,O,X,X,O,X,X,X
TZLJSOI,O,X,X,X,O,X,X,X
TZLJOIS,O,O,X,X,X,O,X,O
TZLJOSI,O,O,X,X,O,O,X,O
TZLSIJO,O,O,X,X,O,X,O,X
TZLSIOJ,O,O,X,X,O,O,X,O
TZLSJIO,O,O,X,X,O,X,O,X
TZLSJOI,O,X,X,X,O,X,O,X
TZLSOIJ,O,O,X,X,O,O,X,O
TZLSOJI,O,O,X,X,O,O,X,O
TZLOIJS,O,O,X,X,X,O,X,O
TZLOISJ,O,O,X,X,X,O,X,O
TZLOJIS,O,O,X,X,X,O,X,O
TZLOJSI,O,O,X,X,O,O,X,O
TZLOSIJ,O,O,X,X,O,O,X,O
TZLOSJI,O,O,X,X,O,O,X,O
TZJILSO,O,O,O,O,X,X,O,X
TZJILOS,O,O,O,O,X,O,X,X
TZJISLO,O,O,O,O,X,X,O,X
TZJISOL,X,X,O,O,X,X,O,X
TZJIOLS,O,O,O,O,X,O,X,X
TZJIOSL,X,X,O,O,X,X,X,X
TZJLISO,O,O,O,O,X,X,O,X
TZJLIOS,O,O,O,O,X,O,X,O
TZJLSIO,O,O,O,O,O,X,O,X
TZJLSOI,O,X,O,O,O,X,O,X
TZJLOIS,O,O,O,O,X,O,X,O
TZJLOSI,O,O,O,O,O,O,X,O
TZJSILO,O,O,O,O,X,X,O,X
TZJSIOL,X,X,O,O,X,X,O,X
TZJSLIO,O,X,O,O,O,X,O,X
TZJSLOI,O,X,O,O,O,X,O,X
TZJSOIL,X,X,O,O,X,X,O,X
TZJSOLI,X,X,O,O,O,X,O,X
TZJOILS,O,O,O,O,X,O,X,O
