sequence,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhF0cBTfBOlB/mBtq?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeO/IvhFxbBzfBUhB9qB3m?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeO/IvhF8fBqgBthB/qBZm?BzrB,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhFXcBTfBNlBumB8q?BywB,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhFygBthBTfB/qBmr?BUrB,v115@5gD8GeC8FeF8EeF8DeC8JeO/IvhFXbBZhBthBSlB0q?BzrB,v115@5gD8GeC8FeF8EeF8DeC8Jei6IvhFzbB3fBxlB0qBmr?BtrB,v115@5gD8GeC8FeF8EeF8DeC8JeK/IvhFRbBthBUgBerB3l?BzrB,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhFXcBTfBNlB8qB+r?BasB,v115@5gD8GeC8FeF8EeF8DeC8Je06IvhFthB2kB3lBZmBzr?B6qB,v115@5gD8GeC8FeF8EeF8DeC8JeK/IvhFfgB8gBthB2rBTl?BRwB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhF0bBthBykB3lB2r?BRwB,v115@5gD8GeC8FeF8EeF8DeC8JeO/IvhFthBflB0gBZmB6q?BzrB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhF0cB/mBxkBOlBtq?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhFthBmgBxkB/qBUm?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhFxbBykB3hB9qBmr?BUrB,v115@5gD8GeC8FeF8EeF8DeC8JeK/IvhFRbBthB3gBerBUl?BzrB,v115@5gD8GeC8FeF8EeF8DeC8Jei6IvhFzbBxkBerBfsBUl?BtrB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhFmbBxkByqBfsBtr?B0qB,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhFygBTfBmlBfsB0q?BtrB,v115@5gD8GeC8FeF8EeF8DeC8Jem7IvhFthBxfBTfB/qBUm?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeK/IvhFzaBRhB3gB0qBmr?B9rB
TLISOJZ,O,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,O,X
TLISOZJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLIZJSO,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIZSJO,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIZOSJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIOJSZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
TLIOJZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,O
TLIOSJZ,O,O,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLIOZJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIOZSJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJISZO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
TLJIZSO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TLJIOZS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
TLJSIZO,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X
TLJSIOZ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X
TLJSZIO,O,O,X,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJSZOI,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLJSOIZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLJSOZI,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJZISO,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLJZSIO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLJZSOI,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLJZOIS,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TLJZOSI,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOISZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TLJOIZS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLJOSIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
TLJOSZI,O,O,X,O,O,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X
TLJOZIS,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TLJOZSI,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TLSIJZO,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X
TLSIJOZ,O,X,X,X,O,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,O,X
TLSIZJO,O,X,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X
TLSIZOJ,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X
TLSIOJZ,O,X,X,X,O,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,O,X
TLSIOZJ,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLSJIZO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X
TLSJIOZ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X
TLSJZIO,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLSJZOI,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLSJOIZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLSJOZI,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLSZIJO,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
TLSZIOJ,O,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TLSZJIO,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
TLSZJOI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLSZOIJ,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLSZOJI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLSOIJZ,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X
TLSOIZJ,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLSOZIJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSOZJI,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLZIJSO,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
TLZISJO,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLZIOSJ,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZJISO,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJSIO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZJSOI,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZJOIS,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJOSI,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZSIJO,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
TLZSIOJ,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLZSJIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZSJOI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZSOIJ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZSOJI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZOIJS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZOISJ,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZOJIS,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZOJSI,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZOSIJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZOSJI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOIJSZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
TLOIJZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,O
TLOISJZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TLOISZJ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOIZJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TLOIZSJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOJISZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TLOJIZS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLOJSIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
TLOJSZI,O,O,X,O,O,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X
