sequence,v115@ChB8CeA8EeF8CeH8BeE8Je//IvhFRbBGdBTeBigBFm?B0qB,v115@ChB8CeA8EeF8CeH8BeE8JeT6IvhFmbBRdBSjBXgBFm?B0qB,v115@ChB8CeA8EeF8CeH8BeE8JeT6IvhFmbBRdBSjBFlBXm?B0qB,v115@ChB8CeA8EeF8CeH8BeE8Je//IvhFUbBGdBTeBxlBlq?BarB
LJTZIOS,X,O,X,X
LJTZSIO,O,O,X,X
LJTZSOI,O,O,X,X
LJTZOIS,X,O,X,X
LJTZOSI,O,X,X,X
LJTOISZ,O,O,O,O
LJTOIZS,X,O,X,X
LJTOSIZ,O,O,O,O
LJTOSZI,O,O,O,O
LJTOZIS,X,O,X,X
LJTOZSI,O,X,X,X
LJITSZO,X,O,O,X
LJITSOZ,X,O,O,X
LJITZSO,X,O,X,X
LJITZOS,X,O,X,X
LJITOSZ,X,O,O,X
LJITOZS,X,O,X,X
LJISTZO,X,X,O,O
LJISTOZ,X,O,O,O
LJISZTO,X,X,O,X
LJISZOT,X,O,O,X
LJISOTZ,X,O,O,O
LJISOZT,X,O,O,X
LJIZTSO,X,O,X,X
LJIZTOS,X,O,X,X
LJIZSTO,X,O,X,X
LJIZSOT,X,O,X,X
LJIZOTS,X,O,X,X
LJIZOST,X,O,X,X
LJIOTSZ,X,O,O,X
LJIOTZS,X,O,X,X
LJIOSTZ,X,O,O,O
LJIOSZT,X,O,O,X
LJIOZTS,X,O,X,X
LJIOZST,X,O,X,X
LJSTIZO,O,X,O,O
LJSTIOZ,O,O,O,O
LJSTZIO,O,X,O,O
LJSTZOI,O,X,O,O
LJSTOIZ,O,O,O,O
LJSTOZI,O,X,O,O
LJSITZO,X,X,O,O
LJSITOZ,X,O,O,O
LJSIZTO,X,X,O,X
LJSIZOT,X,O,O,X
LJSIOTZ,O,O,O,O
LJSIOZT,O,O,O,X
LJSZTIO,O,X,O,X
LJSZTOI,O,X,O,X
LJSZITO,O,X,O,X
LJSZIOT,O,O,O,X
LJSZOTI,O,X,X,X
LJSZOIT,O,O,O,X
LJSOTIZ,O,O,O,O
LJSOTZI,O,X,O,O
LJSOITZ,O,O,O,O
LJSOIZT,O,O,O,X
LJSOZTI,O,X,X,X
LJSOZIT,O,O,O,X
LJZTISO,O,O,X,X
LJZTIOS,O,O,X,X
LJZTSIO,O,O,X,X
LJZTSOI,O,O,X,X
LJZTOIS,O,O,X,X
LJZTOSI,O,O,X,X
LJZITSO,X,O,X,X
LJZITOS,X,O,X,X
LJZISTO,O,O,X,X
LJZISOT,O,O,X,X
LJZIOTS,X,O,X,X
LJZIOST,O,O,X,X
LJZSTIO,O,O,X,X
LJZSTOI,O,O,X,X
LJZSITO,O,O,X,X
LJZSIOT,O,O,X,X
LJZSOTI,O,O,X,X
LJZSOIT,O,O,X,X
LJZOTIS,O,O,X,X
LJZOTSI,O,O,X,X
LJZOITS,X,O,X,X
LJZOIST,O,O,X,X
LJZOSTI,O,O,X,X
LJZOSIT,O,O,X,X
LJOTISZ,O,O,O,O
LJOTIZS,X,O,X,X
LJOTSIZ,O,O,O,O
LJOTSZI,O,X,O,O
LJOTZIS,X,O,X,X
LJOTZSI,O,X,X,X
LJOITSZ,X,O,O,X
LJOITZS,X,O,X,X
LJOISTZ,X,O,O,O
LJOISZT,X,O,O,X
LJOIZTS,X,O,X,X
LJOIZST,X,O,X,X
LJOSTIZ,O,O,O,O
LJOSTZI,O,X,O,O
LJOSITZ,O,O,O,O
LJOSIZT,O,O,O,X
LJOSZTI,O,X,X,X
LJOSZIT,O,O,O,X
LJOZTIS,O,O,X,X
LJOZTSI,O,O,X,X
LJOZITS,X,O,X,X
LJOZIST,O,O,X,X
LJOZSTI,O,O,X,X
LJOZSIT,O,O,X,X
LSTIJZO,O,O,O,O
LSTIJOZ,O,O,O,O
LSTIZJO,O,O,O,O
LSTIZOJ,O,O,O,O
LSTIOJZ,O,O,O,O
LSTIOZJ,O,O,O,O
LSTJIZO,O,O,O,O
LSTJIOZ,O,O,O,O
LSTJZIO,O,O,O,O
LSTJZOI,O,O,O,O
LSTJOIZ,O,O,O,O
LSTJOZI,O,O,O,O
LSTZIJO,O,O,O,O
LSTZIOJ,O,O,O,O
LSTZJIO,O,O,O,O
LSTZJOI,O,O,O,O
LSTZOIJ,O,O,O,O
LSTZOJI,O,O,O,O
LSTOIJZ,O,O,O,O
LSTOIZJ,O,O,O,O
LSTOJIZ,O,O,O,O
LSTOJZI,O,O,O,O
LSTOZIJ,O,O,O,O
LSTOZJI,O,O,O,O
LSITJZO,X,O,O,O
LSITJOZ,X,O,O,O
LSITZJO,X,O,O,O
LSITZOJ,X,O,O,O
LSITOJZ,X,O,O,O
LSITOZJ,X,O,O,O
LSIJTZO,X,X,O,O
LSIJTOZ,X,O,O,O
LSIJZTO,X,X,O,X
LSIJZOT,X,O,O,X
LSIJOTZ,O,O,O,O
LSIJOZT,O,O,O,X
LSIZTJO,X,O,O,X
LSIZTOJ,X,O,O,X
LSIZJTO,X,O,O,X
LSIZJOT,X,O,O,X
LSIZOTJ,X,O,O,X
LSIZOJT,X,O,O,X
LSIOTJZ,X,O,O,O
LSIOTZJ,X,X,O,O
LSIOJTZ,O,O,O,O
LSIOJZT,O,O,O,X
LSIOZTJ,X,O,O,X
LSIOZJT,X,O,O,X
LSJTIZO,O,X,O,O
LSJTIOZ,O,O,O,O
LSJTZIO,O,X,O,O
LSJTZOI,O,X,O,O
LSJTOIZ,O,O,O,O
LSJTOZI,O,X,O,O
LSJITZO,X,X,O,O
LSJITOZ,X,O,O,O
LSJIZTO,X,X,O,X
LSJIZOT,X,O,O,X
LSJIOTZ,O,O,O,O
LSJIOZT,O,O,O,X
LSJZTIO,O,X,O,X
LSJZTOI,O,X,O,X
LSJZITO,O,X,O,X
LSJZIOT,O,O,O,X
LSJZOTI,O,X,X,X
LSJZOIT,O,O,O,X
LSJOTIZ,O,O,O,O
LSJOTZI,O,X,O,O
LSJOITZ,O,O,O,O
LSJOIZT,O,O,O,X
LSJOZTI,O,X,X,X
LSJOZIT,O,O,O,X
LSZTIJO,O,O,O,X
LSZTIOJ,O,O,O,X
LSZTJIO,O,O,O,X
LSZTJOI,O,O,O,X
LSZTOIJ,O,O,O,X
LSZTOJI,O,O,O,X
LSZITJO,O,O,O,X
LSZITOJ,O,O,O,X
LSZIJTO,O,O,O,X
LSZIJOT,O,O,O,X
LSZIOTJ,O,O,O,X
LSZIOJT,O,O,O,X
LSZJTIO,O,O,O,X
LSZJTOI,O,O,O,X
LSZJITO,O,O,O,X
LSZJIOT,O,O,O,X
LSZJOTI,O,O,X,X
LSZJOIT,O,O,O,X
LSZOTIJ,O,O,O,X
LSZOTJI,O,O,O,X
LSZOITJ,O,O,O,X
LSZOIJT,O,O,O,X
LSZOJTI,O,O,X,X
LSZOJIT,O,O,O,X
LSOTIJZ,O,O,O,O
LSOTIZJ,O,X,O,O
LSOTJIZ,O,O,O,O
LSOTJZI,O,X,O,O
LSOTZIJ,O,X,O,O
LSOTZJI,O,X,O,O
LSOITJZ,X,O,O,O
LSOITZJ,X,X,O,O
LSOIJTZ,O,O,O,O
LSOIJZT,O,O,O,X
LSOIZTJ,X,O,O,X
LSOIZJT,X,O,O,X
LSOJTIZ,O,O,O,O
LSOJTZI,O,X,O,O
LSOJITZ,O,O,O,O
LSOJIZT,O,O,O,X
LSOJZTI,O,X,X,X
LSOJZIT,O,O,O,X
LSOZTIJ,O,O,O,X
LSOZTJI,O,O,O,X
LSOZITJ,O,O,O,X
LSOZIJT,O,O,O,X
LSOZJTI,O,O,X,X
LSOZJIT,O,O,O,X
LZTIJSO,O,O,X,X
LZTIJOS,O,O,X,X
LZTISJO,O,O,O,X
LZTISOJ,O,O,O,X
LZTIOJS,O,O,X,X
LZTIOSJ,O,O,O,X
LZTJISO,O,O,X,X
LZTJIOS,O,O,X,X
LZTJSIO,O,O,X,X
LZTJSOI,O,O,X,X
LZTJOIS,O,O,X,X
LZTJOSI,O,O,X,X
LZTSIJO,O,O,O,X
LZTSIOJ,O,O,O,X
LZTSJIO,O,O,O,X
LZTSJOI,O,O,O,X
LZTSOIJ,O,O,O,X
LZTSOJI,O,O,O,X
LZTOIJS,O,O,X,X
LZTOISJ,O,O,O,X
LZTOJIS,O,O,X,X
LZTOJSI,O,O,X,X
LZTOSIJ,O,O,O,X
LZTOSJI,O,O,O,X
LZITJSO,X,O,X,X
LZITJOS,X,O,X,X
LZITSJO,X,O,O,X
LZITSOJ,X,O,O,X
LZITOJS,X,O,X,X
LZITOSJ,X,O,O,X
LZIJTSO,X,O,X,X
LZIJTOS,X,O,X,X
LZIJSTO,O,O,X,X
LZIJSOT,O,O,X,X
LZIJOTS,X,O,X,X
LZIJOST,O,O,X,X
LZISTJO,O,O,O,X
LZISTOJ,O,O,O,X
LZISJTO,O,O,O,X
LZISJOT,O,O,O,X
LZISOTJ,O,O,O,X
LZISOJT,O,O,O,X
LZIOTJS,X,O,X,X
LZIOTSJ,X,O,O,X
LZIOJTS,X,O,X,X
LZIOJST,O,O,X,X
LZIOSTJ,O,O,O,X
LZIOSJT,O,O,O,X
LZJTISO,O,O,X,X
LZJTIOS,O,O,X,X
LZJTSIO,O,O,X,X
LZJTSOI,O,O,X,X
LZJTOIS,O,O,X,X
LZJTOSI,O,O,X,X
LZJITSO,X,O,X,X
LZJITOS,X,O,X,X
LZJISTO,O,O,X,X
LZJISOT,O,O,X,X
LZJIOTS,X,O,X,X
LZJIOST,O,O,X,X
LZJSTIO,O,O,X,X
LZJSTOI,O,O,X,X
LZJSITO,O,O,X,X
LZJSIOT,O,O,X,X
LZJSOTI,O,O,X,X
LZJSOIT,O,O,X,X
LZJOTIS,O,O,X,X
LZJOTSI,O,O,X,X
LZJOITS,X,O,X,X
LZJOIST,O,O,X,X
LZJOSTI,O,O,X,X
LZJOSIT,O,O,X,X
LZSTIJO,O,O,O,X
LZSTIOJ,O,O,O,X
LZSTJIO,O,O,O,X
LZSTJOI,O,O,O,X
LZSTOIJ,O,O,O,X
LZSTOJI,O,O,O,X
LZSITJO,O,O,O,X
LZSITOJ,O,O,O,X
LZSIJTO,O,O,O,X
LZSIJOT,O,O,O,X
LZSIOTJ,O,O,O,X
LZSIOJT,O,O,O,X
LZSJTIO,O,O,O,X
LZSJTOI,O,O,O,X
LZSJITO,O,O,O,X
LZSJIOT,O,O,O,X
LZSJOTI,O,O,X,X
LZSJOIT,O,O,O,X
LZSOTIJ,O,O,O,X
LZSOTJI,O,O,O,X
LZSOITJ,O,O,O,X
LZSOIJT,O,O,O,X
LZSOJTI,O,O,X,X
LZSOJIT,O,O,O,X
LZOTIJS,O,O,X,X
LZOTISJ,O,O,O,X
LZOTJIS,O,O,X,X
LZOTJSI,O,O,X,X
LZOTSIJ,O,O,O,X
LZOTSJI,O,O,O,X
LZOITJS,X,O,X,X
LZOITSJ,X,O,O,X
LZOIJTS,X,O,X,X
LZOIJST,O,O,X,X
LZOISTJ,O,O,O,X
LZOISJT,O,O,O,X
LZOJTIS,O,O,X,X
LZOJTSI,O,O,X,X
LZOJITS,X,O,X,X
LZOJIST,O,O,X,X
LZOJSTI,O,O,X,X
LZOJSIT,O,O,X,X
LZOSTIJ,O,O,O,X
LZOSTJI,O,O,O,X
LZOSITJ,O,O,O,X
LZOSIJT,O,O,O,X
LZOSJTI,O,O,X,X
LZOSJIT,O,O,O,X
LOTIJSZ,O,O,O,O
LOTIJZS,X,O,X,X
LOTISJZ,O,O,O,O
LOTISZJ,O,O,O,O
LOTIZJS,X,O,X,X
LOTIZSJ,X,O,O,X
LOTJISZ,O,O,O,O
LOTJIZS,X,O,X,X
LOTJSIZ,O,O,O,O
LOTJSZI,O,O,O,O
LOTJZIS,X,O,X,X
LOTJZSI,O,X,X,X
LOTSIJZ,O,O,O,O
LOTSIZJ,O,O,O,O
LOTSJIZ,O,O,O,O
LOTSJZI,O,O,O,O
LOTSZIJ,O,O,O,O
LOTSZJI,O,O,O,O
LOTZIJS,X,O,X,X
LOTZISJ,X,O,O,X
LOTZJIS,X,O,X,X
LOTZJSI,O,O,X,X
LOTZSIJ,O,O,O,X
LOTZSJI,O,O,O,X
LOITJSZ,X,O,O,X
LOITJZS,X,O,X,X
LOITSJZ,X,O,O,X
LOITSZJ,X,O,O,X
LOITZJS,X,O,X,X
LOITZSJ,X,O,O,X
LOIJTSZ,X,O,O,X
LOIJTZS,X,O,X,X
LOIJSTZ,X,O,O,O
LOIJSZT,X,O,O,X
LOIJZTS,X,O,X,X
LOIJZST,X,O,X,X
LOISTJZ,X,O,O,O
LOISTZJ,X,X,O,O
LOISJTZ,X,O,O,O
LOISJZT,X,O,O,X
LOISZTJ,X,O,O,X
LOISZJT,X,O,O,X
LOIZTJS,X,O,X,X
LOIZTSJ,X,O,O,X
LOIZJTS,X,O,X,X
LOIZJST,X,O,X,X
LOIZSTJ,X,O,O,X
LOIZSJT,X,O,O,X
LOJTISZ,O,O,O,O
LOJTIZS,X,O,X,X
LOJTSIZ,O,O,O,O
LOJTSZI,O,X,O,O
LOJTZIS,X,O,X,X
LOJTZSI,O,X,X,X
LOJITSZ,X,O,O,X
LOJITZS,X,O,X,X
LOJISTZ,X,O,O,O
LOJISZT,X,O,O,X
LOJIZTS,X,O,X,X
LOJIZST,X,O,X,X
LOJSTIZ,O,O,O,O
LOJSTZI,O,X,O,O
LOJSITZ,O,O,O,O
LOJSIZT,O,O,O,X
LOJSZTI,O,X,X,X
LOJSZIT,O,O,O,X
LOJZTIS,O,O,X,X
LOJZTSI,O,O,X,X
LOJZITS,X,O,X,X
LOJZIST,O,O,X,X
LOJZSTI,O,O,X,X
LOJZSIT,O,O,X,X
LOSTIJZ,O,O,O,O
LOSTIZJ,O,X,O,O
LOSTJIZ,O,O,O,O
LOSTJZI,O,X,O,O
LOSTZIJ,O,X,O,O
LOSTZJI,O,X,O,O
LOSITJZ,X,O,O,O
LOSITZJ,X,X,O,O
LOSIJTZ,O,O,O,O
LOSIJZT,O,O,O,X
LOSIZTJ,X,O,O,X
LOSIZJT,X,O,O,X
LOSJTIZ,O,O,O,O
LOSJTZI,O,X,O,O
LOSJITZ,O,O,O,O
LOSJIZT,O,O,O,X
LOSJZTI,O,X,X,X
LOSJZIT,O,O,O,X
LOSZTIJ,O,O,O,X
LOSZTJI,O,O,O,X
LOSZITJ,O,O,O,X
LOSZIJT,O,O,O,X
LOSZJTI,O,O,X,X
LOSZJIT,O,O,O,X
LOZTIJS,O,O,X,X
LOZTISJ,O,O,O,X
LOZTJIS,O,O,X,X
LOZTJSI,O,O,X,X
LOZTSIJ,O,O,O,X
LOZTSJI,O,O,O,X
LOZITJS,X,O,X,X
LOZITSJ,X,O,O,X
LOZIJTS,X,O,X,X
LOZIJST,O,O,X,X
LOZISTJ,O,O,O,X
LOZISJT,O,O,O,X
LOZJTIS,O,O,X,X
LOZJTSI,O,O,X,X
LOZJITS,X,O,X,X
LOZJIST,O,O,X,X
LOZJSTI,O,O,X,X
LOZJSIT,O,O,X,X
LOZSTIJ,O,O,O,X
LOZSTJI,O,O,O,X
LOZSITJ,O,O,O,X
LOZSIJT,O,O,O,X
LOZSJTI,O,O,X,X
LOZSJIT,O,O,O,X
JTILSZO,O,O,O,O
JTILSOZ,O,O,O,O
JTILZSO,X,O,X,X
JTILZOS,X,O,X,X
JTILOSZ,O,O,O,O
JTILOZS,X,O,X,X
JTISLZO,O,O,O,O
JTISLOZ,O,O,O,O
JTISZLO,X,O,O,O
JTISZOL,O,O,O,O
JTISOLZ,O,O,O,O
JTISOZL,O,O,O,O
JTIZLSO,X,O,X,X
JTIZLOS,X,O,X,X
JTIZSLO,X,O,X,O
JTIZSOL,X,O,X,O
JTIZOLS,X,O,X,X
JTIZOSL,X,X,X,O
JTIOLSZ,O,O,O,O
JTIOLZS,X,O,X,X
JTIOSLZ,O,O,O,O
JTIOSZL,O,O,O,O
JTIOZLS,X,O,X,X
JTIOZSL,X,X,X,O
JTLISZO,O,O,O,O
JTLISOZ,O,O,O,O
JTLIZSO,X,O,X,X
JTLIZOS,X,O,X,X
JTLIOSZ,O,O,O,O
JTLIOZS,X,O,X,X
JTLSIZO,O,O,O,O
JTLSIOZ,O,O,O,O
JTLSZIO,O,O,O,O
JTLSZOI,O,O,O,O
JTLSOIZ,O,O,O,O
JTLSOZI,O,O,O,O
JTLZISO,X,O,X,X
JTLZIOS,X,O,X,X
JTLZSIO,O,O,X,X
JTLZSOI,O,O,X,X
JTLZOIS,X,O,X,X
JTLZOSI,O,X,X,X
JTLOISZ,O,O,O,O
JTLOIZS,X,O,X,X
JTLOSIZ,O,O,O,O
JTLOSZI,O,O,O,O
JTLOZIS,X,O,X,X
JTLOZSI,O,X,X,X
JTSILZO,O,O,O,O
JTSILOZ,O,O,O,O
JTSIZLO,X,O,O,O
JTSIZOL,O,O,O,O
JTSIOLZ,O,O,O,O
JTSIOZL,O,O,O,O
JTSLIZO,O,O,O,O
JTSLIOZ,O,O,O,O
JTSLZIO,O,O,O,O
JTSLZOI,O,O,O,O
JTSLOIZ,O,O,O,O
JTSLOZI,O,O,O,O
JTSZILO,O,O,O,O
JTSZIOL,O,O,O,O
JTSZLIO,O,O,O,O
JTSZLOI,O,O,O,O
JTSZOIL,O,O,O,O
JTSZOLI,O,O,O,O
JTSOILZ,O,O,O,O
JTSOIZL,O,O,O,O
JTSOLIZ,O,O,O,O
JTSOLZI,O,O,O,O
JTSOZIL,O,O,O,O
JTSOZLI,O,O,O,O
JTZILSO,O,O,X,X
JTZILOS,O,O,X,X
JTZISLO,O,O,X,O
JTZISOL,O,O,X,O
JTZIOLS,O,O,X,X
JTZIOSL,O,X,X,O
JTZLISO,O,O,X,X
JTZLIOS,O,O,X,X
JTZLSIO,O,O,X,X
JTZLSOI,O,O,X,X
JTZLOIS,O,O,X,X
JTZLOSI,O,X,X,X
JTZSILO,O,O,X,O
JTZSIOL,O,O,X,O
JTZSLIO,O,O,X,O
JTZSLOI,O,O,X,O
JTZSOIL,O,O,X,O
JTZSOLI,O,O,X,O
JTZOILS,O,O,X,X
JTZOISL,O,X,X,O
JTZOLIS,O,O,X,X
JTZOLSI,O,X,X,X
JTZOSIL,O,X,X,O
JTZOSLI,O,X,X,O
JTOILSZ,O,O,O,O
JTOILZS,X,O,X,X
JTOISLZ,O,O,O,O
JTOISZL,O,O,O,O
JTOIZLS,X,O,X,X
JTOIZSL,X,X,X,O
JTOLISZ,O,O,O,O
JTOLIZS,X,O,X,X
JTOLSIZ,O,O,O,O
JTOLSZI,O,O,O,O
JTOLZIS,X,O,X,X
JTOLZSI,O,X,X,X
JTOSILZ,O,O,O,O
JTOSIZL,O,O,O,O
JTOSLIZ,O,O,O,O
JTOSLZI,O,O,O,O
JTOSZIL,O,O,O,O
JTOSZLI,O,O,O,O
JTOZILS,O,O,X,X
JTOZISL,O,X,X,O
JTOZLIS,O,O,X,X
JTOZLSI,O,X,X,X
JTOZSIL,O,X,X,O
JTOZSLI,O,X,X,O
JITLSZO,O,O,O,O
JITLSOZ,O,O,O,O
JITLZSO,X,O,X,X
JITLZOS,X,O,X,X
JITLOSZ,O,O,O,O
JITLOZS,X,O,X,X
JITSLZO,O,O,O,O
JITSLOZ,O,O,O,O
JITSZLO,X,O,O,O
JITSZOL,O,O,O,O
JITSOLZ,O,O,O,O
JITSOZL,O,O,O,O
JITZLSO,X,O,X,X
JITZLOS,X,O,X,X
JITZSLO,X,O,X,O
JITZSOL,X,O,X,O
JITZOLS,X,O,X,X
JITZOSL,X,X,X,O
JITOLSZ,O,O,O,O
JITOLZS,X,O,X,X
JITOSLZ,O,O,O,O
JITOSZL,O,O,O,O
JITOZLS,X,O,X,X
JITOZSL,X,X,X,O
JILTSZO,X,O,O,X
JILTSOZ,X,O,O,X
JILTZSO,X,O,X,X
JILTZOS,X,O,X,X
JILTOSZ,X,O,O,X
JILTOZS,X,O,X,X
JILSTZO,X,X,O,O
JILSTOZ,X,O,O,O
JILSZTO,X,X,O,X
JILSZOT,X,O,O,X
JILSOTZ,X,O,O,O
JILSOZT,X,O,O,X
JILZTSO,X,O,X,X
JILZTOS,X,O,X,X
JILZSTO,X,O,X,X
JILZSOT,X,O,X,X
JILZOTS,X,O,X,X
JILZOST,X,O,X,X
JILOTSZ,X,O,O,X
JILOTZS,X,O,X,X
JILOSTZ,X,O,O,O
JILOSZT,X,O,O,X
JILOZTS,X,O,X,X
JILOZST,X,O,X,X
JISTLZO,O,X,O,O
JISTLOZ,O,O,O,O
JISTZLO,X,X,O,O
JISTZOL,O,X,O,O
JISTOLZ,O,O,O,O
JISTOZL,O,X,O,O
JISLTZO,X,X,O,O
JISLTOZ,X,O,O,O
JISLZTO,X,X,O,X
JISLZOT,X,O,O,X
JISLOTZ,O,O,O,O
JISLOZT,O,O,O,X
JISZTLO,O,X,O,O
JISZTOL,O,X,O,O
JISZLTO,O,X,O,X
JISZLOT,O,O,O,X
JISZOTL,O,X,X,O
JISZOLT,O,O,O,X
JISOTLZ,O,O,O,O
JISOTZL,O,X,O,O
JISOLTZ,O,O,O,O
JISOLZT,O,O,O,X
JISOZTL,O,X,X,O
JISOZLT,O,O,O,X
JIZTLSO,O,O,X,X
JIZTLOS,O,O,X,X
JIZTSLO,O,O,X,X
JIZTSOL,O,O,X,X
JIZTOLS,O,O,X,X
JIZTOSL,O,O,X,X
JIZLTSO,X,O,X,X
JIZLTOS,X,O,X,X
JIZLSTO,O,O,X,X
JIZLSOT,O,O,X,X
JIZLOTS,X,O,X,X
JIZLOST,O,O,X,X
JIZSTLO,O,O,X,O
JIZSTOL,O,O,X,O
JIZSLTO,O,O,X,X
JIZSLOT,O,O,X,X
JIZSOTL,O,O,X,O
JIZSOLT,O,O,X,X
JIZOTLS,O,O,X,X
JIZOTSL,O,O,X,X
JIZOLTS,X,O,X,X
JIZOLST,O,O,X,X
JIZOSTL,O,O,X,O
JIZOSLT,O,O,X,X
JIOTLSZ,O,O,O,O
JIOTLZS,X,O,X,X
JIOTSLZ,O,O,O,O
JIOTSZL,O,X,O,O
JIOTZLS,X,O,X,X
JIOTZSL,X,X,X,O
JIOLTSZ,X,O,O,X
JIOLTZS,X,O,X,X
JIOLSTZ,X,O,O,O
JIOLSZT,X,O,O,X
JIOLZTS,X,O,X,X
JIOLZST,X,O,X,X
JIOSTLZ,O,O,O,O
JIOSTZL,O,X,O,O
JIOSLTZ,O,O,O,O
JIOSLZT,O,O,O,X
JIOSZTL,O,X,X,O
JIOSZLT,O,O,O,X
JIOZTLS,O,O,X,X
JIOZTSL,O,O,X,X
JIOZLTS,X,O,X,X
JIOZLST,O,O,X,X
JIOZSTL,O,O,X,O
JIOZSLT,O,O,X,X
JLTISZO,O,O,O,O
JLTISOZ,O,O,O,O
JLTIZSO,X,O,X,X
JLTIZOS,X,O,X,X
JLTIOSZ,O,O,O,O
JLTIOZS,X,O,X,X
JLTSIZO,O,O,O,O
JLTSIOZ,O,O,O,O
JLTSZIO,O,O,O,O
JLTSZOI,O,O,O,O
JLTSOIZ,O,O,O,O
JLTSOZI,O,O,O,O
JLTZISO,X,O,X,X
JLTZIOS,X,O,X,X
JLTZSIO,O,O,X,X
JLTZSOI,O,O,X,X
JLTZOIS,X,O,X,X
JLTZOSI,O,X,X,X
JLTOISZ,O,O,O,O
JLTOIZS,X,O,X,X
JLTOSIZ,O,O,O,O
JLTOSZI,O,O,O,O
JLTOZIS,X,O,X,X
JLTOZSI,O,X,X,X
JLITSZO,X,O,O,X
JLITSOZ,X,O,O,X
JLITZSO,X,O,X,X
JLITZOS,X,O,X,X
JLITOSZ,X,O,O,X
JLITOZS,X,O,X,X
JLISTZO,X,X,O,O
JLISTOZ,X,O,O,O
JLISZTO,X,X,O,X
JLISZOT,X,O,O,X
JLISOTZ,X,O,O,O
JLISOZT,X,O,O,X
JLIZTSO,X,O,X,X
JLIZTOS,X,O,X,X
JLIZSTO,X,O,X,X
JLIZSOT,X,O,X,X
JLIZOTS,X,O,X,X
JLIZOST,X,O,X,X
JLIOTSZ,X,O,O,X
JLIOTZS,X,O,X,X
JLIOSTZ,X,O,O,O
JLIOSZT,X,O,O,X
JLIOZTS,X,O,X,X
JLIOZST,X,O,X,X
JLSTIZO,O,X,O,O
JLSTIOZ,O,O,O,O
JLSTZIO,O,X,O,O
JLSTZOI,O,X,O,O
JLSTOIZ,O,O,O,O
JLSTOZI,O,X,O,O
JLSITZO,X,X,O,O
JLSITOZ,X,O,O,O
JLSIZTO,X,X,O,X
JLSIZOT,X,O,O,X
JLSIOTZ,O,O,O,O
JLSIOZT,O,O,O,X
JLSZTIO,O,X,O,X
JLSZTOI,O,X,O,X
JLSZITO,O,X,O,X
JLSZIOT,O,O,O,X
JLSZOTI,O,X,X,X
JLSZOIT,O,O,O,X
JLSOTIZ,O,O,O,O
JLSOTZI,O,X,O,O
JLSOITZ,O,O,O,O
JLSOIZT,O,O,O,X
JLSOZTI,O,X,X,X
JLSOZIT,O,O,O,X
JLZTISO,O,O,X,X
JLZTIOS,O,O,X,X
JLZTSIO,O,O,X,X
JLZTSOI,O,O,X,X
JLZTOIS,O,O,X,X
JLZTOSI,O,O,X,X
JLZITSO,X,O,X,X
JLZITOS,X,O,X,X
JLZISTO,O,O,X,X
JLZISOT,O,O,X,X
JLZIOTS,X,O,X,X
JLZIOST,O,O,X,X
JLZSTIO,O,O,X,X
JLZSTOI,O,O,X,X
JLZSITO,O,O,X,X
JLZSIOT,O,O,X,X
JLZSOTI,O,O,X,X
JLZSOIT,O,O,X,X
JLZOTIS,O,O,X,X
JLZOTSI,O,O,X,X
JLZOITS,X,O,X,X
JLZOIST,O,O,X,X
JLZOSTI,O,O,X,X
JLZOSIT,O,O,X,X
JLOTISZ,O,O,O,O
JLOTIZS,X,O,X,X
JLOTSIZ,O,O,O,O
JLOTSZI,O,X,O,O
JLOTZIS,X,O,X,X
JLOTZSI,O,X,X,X
JLOITSZ,X,O,O,X
JLOITZS,X,O,X,X
JLOISTZ,X,O,O,O
JLOISZT,X,O,O,X
JLOIZTS,X,O,X,X
JLOIZST,X,O,X,X
JLOSTIZ,O,O,O,O
JLOSTZI,O,X,O,O
JLOSITZ,O,O,O,O
JLOSIZT,O,O,O,X
JLOSZTI,O,X,X,X
JLOSZIT,O,O,O,X
JLOZTIS,O,O,X,X
JLOZTSI,O,O,X,X
JLOZITS,X,O,X,X
JLOZIST,O,O,X,X
JLOZSTI,O,O,X,X
JLOZSIT,O,O,X,X
JSTILZO,O,X,O,O
JSTILOZ,O,O,O,O
JSTIZLO,X,X,O,O
JSTIZOL,O,X,O,O
JSTIOLZ,O,O,O,O
JSTIOZL,O,X,O,O
JSTLIZO,O,X,O,O
JSTLIOZ,O,O,O,O
JSTLZIO,O,X,O,O
JSTLZOI,O,X,O,O
JSTLOIZ,O,O,O,O
JSTLOZI,O,X,O,O
JSTZILO,O,X,O,O
JSTZIOL,O,X,O,O
JSTZLIO,O,X,O,O
JSTZLOI,O,X,O,O
JSTZOIL,O,X,O,O
JSTZOLI,O,X,O,O
JSTOILZ,O,O,O,O
JSTOIZL,O,X,O,O
JSTOLIZ,O,O,O,O
JSTOLZI,O,X,O,O
JSTOZIL,O,X,O,O
JSTOZLI,O,X,O,O
JSITLZO,O,X,O,O
JSITLOZ,O,O,O,O
JSITZLO,X,X,O,O
JSITZOL,O,X,O,O
JSITOLZ,O,O,O,O
JSITOZL,O,X,O,O
JSILTZO,X,X,O,O
JSILTOZ,X,O,O,O
JSILZTO,X,X,O,X
JSILZOT,X,O,O,X
JSILOTZ,O,O,O,O
JSILOZT,O,O,O,X
JSIZTLO,O,X,O,O
JSIZTOL,O,X,O,O
JSIZLTO,O,X,O,X
JSIZLOT,O,O,O,X
