sequence,v115@7gB8GeC8FeD8AeA8CeG8CeE8Jei6IvhFFcBXdBckBZ?lBWmBzqB,v115@7gB8GeC8FeD8AeA8CeG8CeE8JeT6IvhFxcBlgB3hBi?kB0lB2vB,v115@7gB8GeC8FeD8AeA8CeG8CeE8JeZ/IvhFCcBXdBzfBV?mBmqBUqB,v115@7gB8GeC8FeD8AeA8CeG8CeE8JeZ/IvhFufB3bBFdBT?hBiqB0qB,v115@7gB8GeC8FeD8AeA8CeG8CeE8JeZ/IvhFCbBXdBUlBF?mBOrBTqB,v115@7gB8GeC8FeD8AeA8CeG8CeE8Jex8IvhF0fBlgB3hBO?kBTlByvB,v115@7gB8GeC8FeD8AeA8CeG8CeE8JeZ/IvhFzaBXdBamBG?hB0qBFqB
TZOSJLI,O,X,X,X,X,O,X
TOILJSZ,X,X,O,O,X,X,X
TOILJZS,X,X,O,O,X,X,X
TOILSJZ,X,X,O,O,X,X,X
TOILSZJ,X,X,O,O,X,X,X
TOILZJS,X,X,X,O,X,X,X
TOILZSJ,X,X,O,O,X,X,X
TOIJLSZ,O,X,O,O,X,X,X
TOIJLZS,O,X,O,O,X,X,X
TOIJSLZ,O,X,O,O,X,X,X
TOIJSZL,O,X,O,O,X,X,X
TOIJZLS,O,X,O,X,X,X,X
TOIJZSL,O,X,O,O,X,X,X
TOISLJZ,X,X,O,O,X,X,X
TOISLZJ,O,X,O,O,X,X,X
TOISJLZ,O,X,O,O,X,X,X
TOISJZL,O,X,O,O,X,X,X
TOISZLJ,O,X,O,X,O,X,X
TOISZJL,O,X,O,O,O,X,X
TOIZLJS,O,X,X,O,O,X,X
TOIZLSJ,O,X,O,O,O,X,X
TOIZJLS,O,X,O,X,O,X,X
TOIZJSL,O,X,O,O,O,X,X
TOIZSLJ,O,X,O,X,O,X,X
TOIZSJL,O,X,O,O,O,X,X
TOLIJSZ,X,X,O,O,X,X,X
TOLIJZS,X,X,O,O,X,X,X
TOLISJZ,X,X,O,O,X,X,X
TOLISZJ,X,X,O,O,X,X,X
TOLIZJS,X,X,X,O,X,X,X
TOLIZSJ,X,X,O,O,X,X,X
TOLJISZ,X,X,O,O,X,X,X
TOLJIZS,X,X,X,O,X,X,X
TOLJSIZ,X,X,O,O,X,X,X
TOLJSZI,X,X,X,O,X,X,X
TOLJZIS,X,X,X,O,X,X,X
TOLJZSI,X,X,X,O,X,X,X
TOLSIJZ,X,X,O,O,X,X,X
TOLSIZJ,X,X,O,O,X,X,X
TOLSJIZ,X,X,O,O,X,X,X
TOLSJZI,X,X,X,O,X,X,X
TOLSZIJ,X,X,O,O,X,X,X
TOLSZJI,X,X,X,O,X,X,X
TOLZIJS,X,X,X,O,X,X,X
TOLZISJ,X,X,O,O,X,X,X
TOLZJIS,X,X,X,O,X,X,X
TOLZJSI,X,X,X,O,X,X,X
TOLZSIJ,X,X,O,O,X,X,X
TOLZSJI,X,X,X,O,X,X,X
TOJILSZ,O,X,O,O,X,X,X
TOJILZS,O,X,O,O,X,X,X
TOJISLZ,O,X,O,O,X,X,X
TOJISZL,O,X,O,O,X,X,X
TOJIZLS,O,X,O,X,X,X,X
TOJIZSL,O,X,O,O,X,X,X
TOJLISZ,O,X,O,O,X,X,X
TOJLIZS,O,X,O,O,X,X,X
TOJLSIZ,O,X,O,O,X,X,X
TOJLSZI,O,X,O,O,X,X,X
TOJLZIS,O,X,O,O,X,X,X
TOJLZSI,O,X,O,O,X,X,X
TOJSILZ,O,X,O,O,X,X,X
TOJSIZL,O,X,O,O,X,X,X
TOJSLIZ,O,X,O,O,X,X,X
TOJSLZI,O,X,O,X,X,X,X
TOJSZIL,O,X,O,O,X,X,X
TOJSZLI,O,X,O,X,X,X,X
TOJZILS,O,X,O,X,X,X,X
TOJZISL,O,X,O,O,X,X,X
TOJZLIS,O,X,O,X,X,X,X
TOJZLSI,O,X,O,X,X,X,X
TOJZSIL,O,X,O,O,X,X,X
TOJZSLI,O,X,O,X,X,X,X
TOSILJZ,X,X,O,O,X,X,X
TOSILZJ,O,X,O,O,X,X,X
TOSIJLZ,O,X,O,O,X,X,X
TOSIJZL,O,X,O,O,X,X,X
TOSIZLJ,O,X,O,X,O,X,X
TOSIZJL,O,X,O,O,O,X,X
TOSLIJZ,X,X,O,O,X,X,X
TOSLIZJ,O,X,O,O,X,X,X
TOSLJIZ,O,X,O,O,X,X,X
TOSLJZI,O,X,X,O,X,X,X
TOSLZIJ,O,X,O,O,X,X,X
TOSLZJI,O,X,X,O,X,X,X
TOSJILZ,O,X,O,O,X,X,X
TOSJIZL,O,X,O,O,X,X,X
TOSJLIZ,O,X,O,O,X,X,X
TOSJLZI,O,X,O,X,X,X,X
TOSJZIL,O,X,O,O,X,X,X
TOSJZLI,O,X,O,X,X,X,X
TOSZILJ,O,X,O,X,O,X,X
TOSZIJL,O,X,O,O,O,X,X
TOSZLIJ,O,X,O,X,O,X,X
TOSZLJI,O,X,X,X,X,X,X
TOSZJIL,O,X,X,O,X,X,X
TOSZJLI,O,X,X,X,X,X,X
TOZILJS,O,X,X,O,O,X,X
TOZILSJ,O,X,O,O,O,X,X
TOZIJLS,O,X,O,X,O,X,X
TOZIJSL,O,X,O,O,O,X,X
TOZISLJ,O,X,O,X,O,X,X
TOZISJL,O,X,O,O,O,X,X
TOZLIJS,O,X,X,O,O,X,X
TOZLISJ,O,X,O,O,O,X,X
TOZLJIS,O,X,X,O,X,X,X
TOZLJSI,O,X,X,O,X,X,X
TOZLSIJ,O,X,O,O,O,X,X
TOZLSJI,O,X,X,O,X,X,X
TOZJILS,O,X,X,X,X,X,X
TOZJISL,O,X,X,O,X,X,X
TOZJLIS,O,X,X,X,X,X,X
TOZJLSI,O,X,X,X,X,X,X
TOZJSIL,O,X,X,O,X,X,X
TOZJSLI,O,X,X,X,X,X,X
TOZSILJ,O,X,O,X,O,X,X
TOZSIJL,O,X,O,O,O,X,X
TOZSLIJ,O,X,O,X,O,X,X
TOZSLJI,O,X,X,X,X,X,X
TOZSJIL,O,X,X,O,X,X,X
TOZSJLI,O,X,X,X,X,X,X
ITLJSZO,X,O,O,O,X,X,X
ITLJSOZ,X,O,O,O,X,X,X
ITLJZSO,X,X,O,O,X,X,X
ITLJZOS,X,X,O,O,X,X,X
ITLJOSZ,X,O,O,O,X,X,X
ITLJOZS,X,X,O,O,X,X,X
ITLSJZO,X,O,O,O,X,O,X
ITLSJOZ,X,O,O,O,X,X,X
ITLSZJO,X,X,X,O,O,O,X
ITLSZOJ,X,O,O,O,O,O,X
ITLSOJZ,X,O,O,O,X,X,X
ITLSOZJ,X,O,O,O,X,O,X
ITLZJSO,X,X,X,O,O,X,X
ITLZJOS,X,X,X,O,O,X,X
ITLZSJO,X,X,X,O,O,O,X
ITLZSOJ,X,X,O,O,O,O,X
ITLZOJS,X,X,X,O,O,X,X
ITLZOSJ,X,X,O,O,O,X,X
ITLOJSZ,X,O,O,O,X,X,X
ITLOJZS,X,X,O,O,X,X,X
ITLOSJZ,X,O,O,O,X,X,X
ITLOSZJ,X,O,O,O,X,X,X
ITLOZJS,X,X,X,O,X,X,X
ITLOZSJ,X,X,O,O,X,X,X
ITJLSZO,O,O,O,O,X,X,X
ITJLSOZ,X,O,O,O,X,X,X
ITJLZSO,O,X,O,O,X,X,X
ITJLZOS,O,X,O,O,X,X,X
ITJLOSZ,X,O,O,O,X,X,X
ITJLOZS,X,X,O,O,X,X,X
ITJSLZO,O,O,O,O,X,X,X
ITJSLOZ,X,O,O,O,X,X,X
ITJSZLO,O,O,O,X,O,X,X
ITJSZOL,O,X,O,X,O,X,X
ITJSOLZ,X,O,O,O,X,X,X
ITJSOZL,O,X,O,O,X,X,X
ITJZLSO,O,X,O,O,O,X,X
ITJZLOS,O,X,O,O,O,X,X
ITJZSLO,O,X,O,X,O,X,X
ITJZSOL,O,X,O,X,O,X,X
ITJZOLS,O,X,O,X,O,X,X
ITJZOSL,O,X,O,O,O,X,X
ITJOLSZ,X,X,O,O,X,X,X
ITJOLZS,X,X,O,O,X,X,X
ITJOSLZ,X,X,O,O,X,X,X
ITJOSZL,O,X,O,O,X,X,X
ITJOZLS,O,X,O,X,X,X,X
ITJOZSL,O,X,O,O,X,X,X
ITSLJZO,X,O,O,O,X,O,X
ITSLJOZ,X,O,O,O,X,X,X
ITSLZJO,O,X,X,O,O,O,X
ITSLZOJ,O,O,O,O,O,O,X
ITSLOJZ,X,O,O,O,X,X,X
ITSLOZJ,X,O,O,O,X,O,X
ITSJLZO,O,O,O,O,X,X,X
ITSJLOZ,X,O,O,O,X,X,X
ITSJZLO,O,O,O,X,O,O,X
ITSJZOL,O,X,O,X,O,O,X
ITSJOLZ,X,O,O,O,X,X,X
ITSJOZL,O,X,O,O,X,X,X
ITSZLJO,O,X,X,X,O,O,O
ITSZLOJ,O,O,O,X,O,O,O
ITSZJLO,O,X,O,X,O,O,X
ITSZJOL,O,X,O,X,O,O,X
ITSZOLJ,O,X,O,X,O,X,X
ITSZOJL,O,X,O,X,O,O,X
ITSOLJZ,X,O,O,O,X,X,X
ITSOLZJ,O,O,O,O,X,X,X
ITSOJLZ,O,X,O,O,X,X,X
ITSOJZL,O,X,O,O,X,X,X
ITSOZLJ,O,X,O,X,O,X,X
ITSOZJL,O,X,O,O,O,O,X
ITZLJSO,O,X,X,O,O,X,O
ITZLJOS,O,X,X,O,O,X,O
ITZLSJO,O,X,X,O,O,O,O
ITZLSOJ,O,X,O,O,O,O,O
ITZLOJS,O,X,X,O,O,X,O
ITZLOSJ,O,X,O,O,O,X,O
ITZJLSO,O,X,O,O,O,X,X
ITZJLOS,O,X,O,O,O,X,X
ITZJSLO,O,X,O,X,O,X,X
ITZJSOL,O,X,O,X,O,X,X
ITZJOLS,O,X,O,X,O,X,X
ITZJOSL,O,X,O,O,O,X,X
ITZSLJO,O,X,X,X,O,O,O
ITZSLOJ,O,X,O,X,O,O,O
ITZSJLO,O,X,O,X,O,O,X
ITZSJOL,O,X,O,X,O,O,X
ITZSOLJ,O,X,O,X,O,X,X
ITZSOJL,O,X,O,X,O,O,X
ITZOLJS,O,X,X,O,O,X,X
ITZOLSJ,O,X,O,O,O,X,X
ITZOJLS,O,X,O,X,O,X,X
ITZOJSL,O,X,O,O,O,X,X
ITZOSLJ,O,X,O,X,O,X,X
ITZOSJL,O,X,O,O,O,X,X
ITOLJSZ,X,X,O,O,X,X,X
ITOLJZS,X,X,O,O,X,X,X
ITOLSJZ,X,X,O,O,X,X,X
ITOLSZJ,X,X,O,O,X,X,X
ITOLZJS,X,X,X,O,X,X,X
ITOLZSJ,X,X,O,O,X,X,X
ITOJLSZ,O,X,O,O,X,X,X
ITOJLZS,O,X,O,O,X,X,X
ITOJSLZ,O,X,O,O,X,X,X
ITOJSZL,O,X,O,O,X,X,X
ITOJZLS,O,X,O,X,X,X,X
ITOJZSL,O,X,O,O,X,X,X
ITOSLJZ,X,X,O,O,X,X,X
ITOSLZJ,O,X,O,O,X,X,X
ITOSJLZ,O,X,O,O,X,X,X
ITOSJZL,O,X,O,O,X,X,X
ITOSZLJ,O,X,O,X,O,X,X
ITOSZJL,O,X,O,O,O,X,X
ITOZLJS,O,X,X,O,O,X,X
ITOZLSJ,O,X,O,O,O,X,X
ITOZJLS,O,X,O,X,O,X,X
ITOZJSL,O,X,O,O,O,X,X
ITOZSLJ,O,X,O,X,O,X,X
ITOZSJL,O,X,O,O,O,X,X
ILTJSZO,X,O,O,O,X,X,X
ILTJSOZ,X,O,O,O,X,X,X
ILTJZSO,X,X,O,O,X,X,X
ILTJZOS,X,X,O,O,X,X,X
ILTJOSZ,X,O,O,O,X,X,X
ILTJOZS,X,X,O,O,X,X,X
ILTSJZO,X,O,O,O,X,O,X
ILTSJOZ,X,O,O,O,X,X,X
ILTSZJO,X,X,X,O,O,O,X
ILTSZOJ,X,O,O,O,O,O,X
ILTSOJZ,X,O,O,O,X,X,X
ILTSOZJ,X,O,O,O,X,O,X
ILTZJSO,X,X,X,O,O,X,X
ILTZJOS,X,X,X,O,O,X,X
ILTZSJO,X,X,X,O,O,O,X
ILTZSOJ,X,X,O,O,O,O,X
ILTZOJS,X,X,X,O,O,X,X
ILTZOSJ,X,X,O,O,O,X,X
ILTOJSZ,X,O,O,O,X,X,X
ILTOJZS,X,X,O,O,X,X,X
ILTOSJZ,X,O,O,O,X,X,X
ILTOSZJ,X,O,O,O,X,X,X
ILTOZJS,X,X,X,O,X,X,X
ILTOZSJ,X,X,O,O,X,X,X
ILJTSZO,O,O,O,O,X,X,X
ILJTSOZ,X,O,O,O,X,X,X
ILJTZSO,O,X,O,O,X,X,X
ILJTZOS,O,X,O,O,X,X,X
ILJTOSZ,X,O,O,O,X,X,X
ILJTOZS,X,X,O,O,X,X,X
ILJSTZO,O,O,O,O,X,O,X
ILJSTOZ,X,O,O,O,X,X,X
ILJSZTO,O,O,X,O,X,O,X
ILJSZOT,O,O,X,O,X,X,X
ILJSOTZ,X,O,O,O,X,X,X
ILJSOZT,X,O,X,O,X,X,X
ILJZTSO,O,X,X,O,X,X,X
ILJZTOS,O,X,X,O,X,X,X
ILJZSTO,O,O,X,O,X,O,X
ILJZSOT,O,O,X,O,X,X,X
ILJZOTS,O,X,X,O,X,X,X
ILJZOST,O,O,X,O,X,X,X
ILJOTSZ,X,O,O,O,X,X,X
ILJOTZS,X,X,O,O,X,X,X
ILJOSTZ,X,O,O,O,X,X,X
ILJOSZT,X,O,X,O,X,X,X
ILJOZTS,X,X,X,O,X,X,X
ILJOZST,X,O,X,O,X,X,X
ILSTJZO,X,O,O,O,X,O,X
ILSTJOZ,X,O,O,O,X,X,X
ILSTZJO,O,X,X,O,O,O,X
ILSTZOJ,O,O,O,O,O,O,X
ILSTOJZ,X,O,O,O,X,X,X
ILSTOZJ,X,O,O,O,X,O,X
ILSJTZO,O,O,O,O,X,O,X
ILSJTOZ,X,O,O,O,X,X,X
ILSJZTO,O,O,X,O,X,O,X
ILSJZOT,O,O,X,O,X,X,X
ILSJOTZ,X,O,O,O,X,X,X
ILSJOZT,X,O,X,O,X,X,X
ILSZTJO,O,X,X,O,O,O,O
ILSZTOJ,O,O,O,O,O,O,O
ILSZJTO,O,O,X,O,X,O,O
ILSZJOT,O,O,X,O,X,X,X
ILSZOTJ,O,O,X,O,X,O,O
ILSZOJT,O,O,X,O,X,X,X
ILSOTJZ,X,O,O,O,X,X,X
ILSOTZJ,O,O,O,O,X,O,X
ILSOJTZ,O,O,O,O,X,X,X
ILSOJZT,O,O,X,O,X,X,X
ILSOZTJ,O,O,X,O,X,O,X
ILSOZJT,O,O,X,O,X,X,X
ILZTJSO,O,X,X,O,O,X,O
ILZTJOS,O,X,X,O,O,X,O
ILZTSJO,O,X,X,O,O,O,O
ILZTSOJ,O,X,X,O,O,O,O
ILZTOJS,O,X,X,O,O,X,O
ILZTOSJ,O,X,X,O,O,X,O
ILZJTSO,O,X,X,O,O,X,O
ILZJTOS,O,X,X,O,O,X,O
ILZJSTO,O,O,X,O,X,O,O
ILZJSOT,O,O,X,O,X,X,X
ILZJOTS,O,X,X,O,X,X,X
ILZJOST,O,O,X,O,X,X,X
ILZSTJO,O,X,X,O,O,O,O
ILZSTOJ,O,O,X,O,O,O,O
ILZSJTO,O,O,X,O,X,O,O
ILZSJOT,O,O,X,O,X,X,X
ILZSOTJ,O,O,X,O,X,O,O
ILZSOJT,O,O,X,O,X,X,X
ILZOTJS,O,X,X,O,O,X,O
ILZOTSJ,O,X,X,O,O,X,O
ILZOJTS,O,X,X,O,X,X,X
ILZOJST,O,O,X,O,X,X,X
ILZOSTJ,O,O,X,O,X,O,O
ILZOSJT,O,O,X,O,X,X,X
ILOTJSZ,X,O,O,O,X,X,X
ILOTJZS,X,X,O,O,X,X,X
ILOTSJZ,X,O,O,O,X,X,X
ILOTSZJ,X,O,O,O,X,X,X
ILOTZJS,X,X,X,O,X,X,X
ILOTZSJ,X,X,O,O,X,X,X
ILOJTSZ,O,O,O,O,X,X,X
ILOJTZS,O,X,O,O,X,X,X
ILOJSTZ,O,O,O,O,X,X,X
ILOJSZT,O,O,X,O,X,X,X
ILOJZTS,O,X,X,O,X,X,X
ILOJZST,O,O,X,O,X,X,X
ILOSTJZ,X,O,O,O,X,X,X
ILOSTZJ,O,O,O,O,X,O,X
ILOSJTZ,O,O,O,O,X,X,X
ILOSJZT,O,O,X,O,X,X,X
ILOSZTJ,O,O,X,O,X,O,X
ILOSZJT,O,O,X,O,X,X,X
ILOZTJS,O,X,X,O,X,X,X
ILOZTSJ,O,X,X,O,X,X,X
ILOZJTS,O,X,X,O,X,X,X
ILOZJST,O,O,X,O,X,X,X
ILOZSTJ,O,O,X,O,X,O,X
ILOZSJT,O,O,X,O,X,X,X
IJTLSZO,O,O,O,O,X,X,X
IJTLSOZ,X,O,O,O,X,X,X
IJTLZSO,O,X,O,O,X,X,X
IJTLZOS,O,X,O,O,X,X,X
IJTLOSZ,X,O,O,O,X,X,X
IJTLOZS,X,X,O,O,X,X,X
IJTSLZO,O,O,O,O,X,X,X
IJTSLOZ,X,O,O,O,X,X,X
IJTSZLO,O,O,O,X,O,X,X
IJTSZOL,O,X,O,X,O,X,X
IJTSOLZ,X,O,O,O,X,X,X
IJTSOZL,O,X,O,O,X,X,X
IJTZLSO,O,X,O,O,O,X,X
IJTZLOS,O,X,O,O,O,X,X
IJTZSLO,O,X,O,X,O,X,X
IJTZSOL,O,X,O,X,O,X,X
IJTZOLS,O,X,O,X,O,X,X
IJTZOSL,O,X,O,O,O,X,X
IJTOLSZ,X,X,O,O,X,X,X
IJTOLZS,X,X,O,O,X,X,X
IJTOSLZ,X,X,O,O,X,X,X
IJTOSZL,O,X,O,O,X,X,X
IJTOZLS,O,X,O,X,X,X,X
IJTOZSL,O,X,O,O,X,X,X
IJLTSZO,O,O,O,O,X,X,X
IJLTSOZ,X,O,O,O,X,X,X
IJLTZSO,O,X,O,O,X,X,X
IJLTZOS,O,X,O,O,X,X,X
IJLTOSZ,X,O,O,O,X,X,X
IJLTOZS,X,X,O,O,X,X,X
IJLSTZO,O,O,O,O,X,O,X
IJLSTOZ,X,O,O,O,X,X,X
IJLSZTO,O,O,X,O,X,O,X
IJLSZOT,O,O,X,O,X,X,X
IJLSOTZ,X,O,O,O,X,X,X
IJLSOZT,X,O,X,O,X,X,X
IJLZTSO,O,X,X,O,X,X,X
IJLZTOS,O,X,X,O,X,X,X
IJLZSTO,O,O,X,O,X,O,X
IJLZSOT,O,O,X,O,X,X,X
IJLZOTS,O,X,X,O,X,X,X
IJLZOST,O,O,X,O,X,X,X
IJLOTSZ,X,O,O,O,X,X,X
IJLOTZS,X,X,O,O,X,X,X
IJLOSTZ,X,O,O,O,X,X,X
IJLOSZT,X,O,X,O,X,X,X
IJLOZTS,X,X,X,O,X,X,X
IJLOZST,X,O,X,O,X,X,X
IJSTLZO,O,O,O,O,X,X,X
IJSTLOZ,X,O,O,O,X,X,X
IJSTZLO,O,O,O,X,O,O,X
IJSTZOL,O,X,O,X,O,O,X
IJSTOLZ,X,O,O,O,X,X,X
IJSTOZL,O,X,O,O,X,X,X
IJSLTZO,O,O,O,O,X,O,X
IJSLTOZ,X,O,O,O,X,X,X
IJSLZTO,O,O,X,O,X,O,X
IJSLZOT,O,O,X,O,X,X,X
IJSLOTZ,X,O,O,O,X,X,X
IJSLOZT,X,O,X,O,X,X,X
IJSZTLO,O,O,O,X,O,O,X
IJSZTOL,O,X,O,X,O,O,X
IJSZLTO,O,O,X,X,X,O,O
IJSZLOT,O,O,X,X,X,X,X
IJSZOTL,O,X,O,X,X,X,X
IJSZOLT,O,X,X,X,X,X,X
IJSOTLZ,O,O,O,O,X,X,X
IJSOTZL,O,X,O,O,X,X,X
IJSOLTZ,O,O,O,O,X,X,X
IJSOLZT,O,O,X,X,X,X,X
IJSOZTL,O,X,O,O,X,X,X
IJSOZLT,O,X,X,X,X,X,X
IJZTLSO,O,X,O,O,O,X,X
IJZTLOS,O,X,O,O,O,X,X
IJZTSLO,O,X,O,X,O,X,X
IJZTSOL,O,X,O,X,O,X,X
IJZTOLS,O,X,O,X,O,X,X
IJZTOSL,O,X,O,O,O,X,X
IJZLTSO,O,X,X,O,O,X,O
IJZLTOS,O,X,X,O,O,X,O
IJZLSTO,O,O,X,O,X,O,O
IJZLSOT,O,O,X,O,X,X,X
IJZLOTS,O,X,X,O,X,X,X
IJZLOST,O,O,X,O,X,X,X
IJZSTLO,O,O,O,X,O,O,X
IJZSTOL,O,X,O,X,O,O,X
IJZSLTO,O,O,X,X,X,O,O
IJZSLOT,O,O,X,X,X,X,X
IJZSOTL,O,X,O,X,X,X,X
IJZSOLT,O,X,X,X,X,X,X
IJZOTLS,O,X,O,X,X,X,X
IJZOTSL,O,X,O,O,X,X,X
IJZOLTS,O,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,X
IJZOSTL,O,X,O,O,X,X,X
IJZOSLT,O,X,X,X,X,X,X
IJOTLSZ,O,X,O,O,X,X,X
IJOTLZS,O,X,O,O,X,X,X
IJOTSLZ,O,X,O,O,X,X,X
IJOTSZL,O,X,O,O,X,X,X
IJOTZLS,O,X,O,X,X,X,X
IJOTZSL,O,X,O,O,X,X,X
IJOLTSZ,O,O,O,O,X,X,X
IJOLTZS,O,X,O,O,X,X,X
IJOLSTZ,O,O,O,O,X,X,X
IJOLSZT,O,O,X,O,X,X,X
IJOLZTS,O,X,X,O,X,X,X
IJOLZST,O,O,X,O,X,X,X
IJOSTLZ,O,O,O,O,X,X,X
IJOSTZL,O,X,O,O,X,X,X
IJOSLTZ,O,O,O,O,X,X,X
IJOSLZT,O,O,X,X,X,X,X
IJOSZTL,O,X,O,O,X,X,X
IJOSZLT,O,X,X,X,X,X,X
IJOZTLS,O,X,O,X,X,X,X
IJOZTSL,O,X,O,O,X,X,X
IJOZLTS,O,X,X,X,X,X,X
IJOZLST,O,X,X,X,X,X,X
IJOZSTL,O,X,O,O,X,X,X
IJOZSLT,O,X,X,X,X,X,X
ISTLJZO,X,O,O,O,X,O,X
ISTLJOZ,X,O,O,O,X,X,X
ISTLZJO,O,X,X,O,O,O,X
ISTLZOJ,O,O,O,O,O,O,X
ISTLOJZ,X,O,O,O,X,X,X
ISTLOZJ,X,O,O,O,X,O,X
ISTJLZO,O,O,O,O,X,X,X
ISTJLOZ,X,O,O,O,X,X,X
ISTJZLO,O,O,O,X,O,O,X
ISTJZOL,O,X,O,X,O,O,X
ISTJOLZ,X,O,O,O,X,X,X
ISTJOZL,O,X,O,O,X,X,X
ISTZLJO,O,X,X,X,O,O,O
ISTZLOJ,O,O,O,X,O,O,O
ISTZJLO,O,X,O,X,O,O,X
ISTZJOL,O,X,O,X,O,O,X
ISTZOLJ,O,X,O,X,O,X,X
ISTZOJL,O,X,O,X,O,O,X
ISTOLJZ,X,O,O,O,X,X,X
ISTOLZJ,O,O,O,O,X,X,X
ISTOJLZ,O,X,O,O,X,X,X
ISTOJZL,O,X,O,O,X,X,X
ISTOZLJ,O,X,O,X,O,X,X
ISTOZJL,O,X,O,O,O,O,X
ISLTJZO,X,O,O,O,X,O,X
ISLTJOZ,X,O,O,O,X,X,X
ISLTZJO,O,X,X,O,O,O,X
ISLTZOJ,O,O,O,O,O,O,X
ISLTOJZ,X,O,O,O,X,X,X
ISLTOZJ,X,O,O,O,X,O,X
ISLJTZO,O,O,O,O,X,O,X
ISLJTOZ,X,O,O,O,X,X,X
ISLJZTO,O,O,X,O,X,O,X
ISLJZOT,O,O,X,O,X,X,X
ISLJOTZ,X,O,O,O,X,X,X
ISLJOZT,X,O,X,O,X,X,X
ISLZTJO,O,X,X,O,O,O,O
ISLZTOJ,O,O,O,O,O,O,O
ISLZJTO,O,O,X,O,X,O,O
ISLZJOT,O,O,X,O,X,X,X
ISLZOTJ,O,O,X,O,X,O,O
ISLZOJT,O,O,X,O,X,X,X
ISLOTJZ,X,O,O,O,X,X,X
ISLOTZJ,O,O,O,O,X,O,X
ISLOJTZ,O,O,O,O,X,X,X
ISLOJZT,O,O,X,O,X,X,X
ISLOZTJ,O,O,X,O,X,O,X
ISLOZJT,O,O,X,O,X,X,X
ISJTLZO,O,O,O,O,X,X,X
ISJTLOZ,X,O,O,O,X,X,X
ISJTZLO,O,O,O,X,O,O,X
ISJTZOL,O,X,O,X,O,O,X
ISJTOLZ,X,O,O,O,X,X,X
ISJTOZL,O,X,O,O,X,X,X
ISJLTZO,O,O,O,O,X,O,X
ISJLTOZ,X,O,O,O,X,X,X
ISJLZTO,O,O,X,O,X,O,X
ISJLZOT,O,O,X,O,X,X,X
ISJLOTZ,X,O,O,O,X,X,X
ISJLOZT,X,O,X,O,X,X,X
ISJZTLO,O,O,O,X,O,O,X
ISJZTOL,O,X,O,X,O,O,X
ISJZLTO,O,O,X,X,X,O,O
ISJZLOT,O,O,X,X,X,X,X
ISJZOTL,O,X,O,X,X,X,X
ISJZOLT,O,X,X,X,X,X,X
ISJOTLZ,O,O,O,O,X,X,X
ISJOTZL,O,X,O,O,X,X,X
ISJOLTZ,O,O,O,O,X,X,X
ISJOLZT,O,O,X,X,X,X,X
ISJOZTL,O,X,O,O,X,X,X
ISJOZLT,O,X,X,X,X,X,X
ISZTLJO,O,X,X,X,O,O,O
ISZTLOJ,O,O,O,X,O,O,O
ISZTJLO,O,X,O,X,O,O,X
ISZTJOL,O,X,O,X,O,O,X
ISZTOLJ,O,X,O,X,O,X,X
ISZTOJL,O,X,O,X,O,O,X
ISZLTJO,O,X,X,X,O,O,O
ISZLTOJ,O,O,O,X,O,O,O
ISZLJTO,O,O,X,X,X,O,O
ISZLJOT,O,O,X,X,X,X,X
ISZLOTJ,O,O,X,X,X,O,O
ISZLOJT,O,O,X,X,X,X,X
ISZJTLO,O,O,O,X,O,O,X
ISZJTOL,O,X,O,X,O,O,X
ISZJLTO,O,O,X,X,X,O,O
ISZJLOT,O,O,X,X,X,X,X
ISZJOTL,O,X,O,X,X,X,X
ISZJOLT,O,X,X,X,X,X,X
ISZOTLJ,O,X,O,X,O,X,X
ISZOTJL,O,X,O,X,O,O,X
ISZOLTJ,O,X,X,X,X,O,O
ISZOLJT,O,X,X,X,X,X,X
ISZOJTL,O,X,O,X,X,X,X
ISZOJLT,O,X,X,X,X,X,X
ISOTLJZ,X,O,O,O,X,X,X
ISOTLZJ,O,O,O,O,X,X,X
ISOTJLZ,O,X,O,O,X,X,X
ISOTJZL,O,X,O,O,X,X,X
ISOTZLJ,O,X,O,X,O,X,X
ISOTZJL,O,X,O,O,O,O,X
ISOLTJZ,X,O,O,O,X,X,X
ISOLTZJ,O,O,O,O,X,O,X
ISOLJTZ,O,O,O,O,X,X,X
ISOLJZT,O,O,X,O,X,X,X
ISOLZTJ,O,O,X,O,X,O,X
ISOLZJT,O,O,X,O,X,X,X
ISOJTLZ,O,O,O,O,X,X,X
ISOJTZL,O,X,O,O,X,X,X
ISOJLTZ,O,O,O,O,X,X,X
ISOJLZT,O,O,X,X,X,X,X
ISOJZTL,O,X,O,O,X,X,X
ISOJZLT,O,X,X,X,X,X,X
ISOZTLJ,O,X,O,X,O,X,X
ISOZTJL,O,X,O,O,O,O,X
ISOZLTJ,O,X,X,X,X,O,O
ISOZLJT,O,X,X,X,X,X,X
ISOZJTL,O,X,O,O,X,X,X
ISOZJLT,O,X,X,X,X,X,X
IZTLJSO,O,X,X,O,O,X,O
IZTLJOS,O,X,X,O,O,X,O
IZTLSJO,O,X,X,O,O,O,O
IZTLSOJ,O,X,O,O,O,O,O
IZTLOJS,O,X,X,O,O,X,O
IZTLOSJ,O,X,O,O,O,X,O
IZTJLSO,O,X,O,O,O,X,X
IZTJLOS,O,X,O,O,O,X,X
IZTJSLO,O,X,O,X,O,X,X
