sequence,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je37IvhFUdBFlBxmBu?kBCrBTrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Jeu/IvhFRcBcmBTiBX?lBllBSwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhFTcB/iBOlBl?mBUrB6qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhF3cBTiBUlBG?mBClBVwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhF0bBlcBTiB6?rBmqB/qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhFKgBWhBTiBl?hB/rB0qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhF3cBFgBTiBW?qBUmBSwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFUdBukBFhBT?lBXrBCsB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Jeu/IvhFUcB/iBTgBl?mBRqBSwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFUdBXhBzkBC?nBGlBVwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhFlcBOlB/mBT?iBUrB6qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFGgBSnBzkB8?qBlmB3rB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeG7IvhFUdBzfBSqBx?mB/mBVwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFzcBukB1lBS?nB/rB0qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeU7IvhF/iBWlBlmBR?qBTrBCrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je/CJvhFqkBxgB0lBl?mBGqBTrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je/CJvhFqkBxgBUgBl?mBzqBGrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeT8IvhF/iBCgBUgBl?mBRqBWwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je/CJvhFWlBxgBlmBz?kBUrBCrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Jez6IvhFShB/iBlmBR?qBGqBUrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhF/iBSlBlmBc?mBzkBWwB
TIZLOSJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOLZJS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIZJSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZSIO,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLSIJOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLSIZOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLSIOJZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
TLSJIZO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLSJIOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLSZIOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLSZJIO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSZJOI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLSOIZJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
TLSOJIZ,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLSOJZI,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLSOZJI,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZISOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZJISO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJSIO,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZSIJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZSJIO,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLZOJSI,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOJSZI,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJZSI,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLOSIZJ,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLOSJIZ,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLOSJZI,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
