sequence,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFfhB0cBxdBSnBTj?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFfhBxcBTeBCiBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFzbBRdBSjB3hBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBzdB+jBUiB3h?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBWjBUiB3hBTj?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBGdBTeB3hBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFzbBUdBajB5jB1m?BftB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFCcBFeBThBxnB/n?BctB
TIZLJOS,X,X,X,O,O,O,X,X
TIZLSJO,X,X,X,O,O,O,X,X
TIZLSOJ,X,X,X,X,X,O,X,X
TIZLOJS,X,X,X,O,O,O,X,X
TIZLOSJ,X,X,X,X,X,O,X,X
TIZJLSO,X,X,X,O,O,O,X,X
TIZJLOS,X,X,X,O,O,O,X,X
TIZJSLO,X,X,X,O,O,O,O,X
TIZJSOL,X,X,X,O,X,O,O,X
TIZJOLS,X,X,X,O,O,O,X,X
TIZJOSL,X,X,X,O,X,O,O,X
TIZSLJO,X,X,X,O,O,O,O,X
TIZSLOJ,X,X,X,X,X,O,O,X
TIZSJLO,X,X,X,O,O,O,O,X
TIZSJOL,X,X,X,O,X,O,O,X
TIZSOLJ,X,X,X,X,X,O,O,X
TIZSOJL,X,X,X,X,X,O,O,X
TIZOLJS,X,X,X,O,O,O,X,X
TIZOLSJ,X,X,X,X,X,O,X,X
TIZOJLS,X,X,X,O,O,O,X,X
TIZOJSL,X,X,X,O,X,O,O,X
TIZOSLJ,X,X,X,X,X,O,O,X
TIZOSJL,X,X,X,X,X,O,O,X
TIOLJSZ,O,X,X,O,X,X,O,O
TIOLJZS,O,X,X,O,X,X,X,O
TIOLSJZ,O,X,X,X,X,X,O,O
TIOLSZJ,O,X,X,X,X,X,O,O
TIOLZJS,O,X,X,O,O,X,X,O
TIOLZSJ,O,X,X,X,X,X,X,O
TIOJLSZ,O,X,X,O,X,X,O,O
TIOJLZS,O,X,X,O,X,X,X,O
TIOJSLZ,O,X,X,O,X,X,O,O
TIOJSZL,O,X,X,O,X,X,O,O
TIOJZLS,O,X,X,O,X,X,X,O
TIOJZSL,O,X,X,O,X,X,O,O
TIOSLJZ,O,X,X,X,X,X,O,O
TIOSLZJ,O,X,X,X,X,X,O,O
TIOSJLZ,O,X,X,X,X,X,O,O
TIOSJZL,O,X,X,X,X,X,O,O
TIOSZLJ,O,X,X,X,X,X,O,O
TIOSZJL,O,X,X,X,X,X,O,O
TIOZLJS,O,X,X,O,O,X,X,O
TIOZLSJ,O,X,X,X,X,X,X,O
TIOZJLS,O,X,X,O,O,X,X,O
TIOZJSL,O,X,X,O,X,X,O,O
TIOZSLJ,O,X,X,X,X,X,O,O
TIOZSJL,O,X,X,X,X,X,O,O
TLIJSZO,O,O,X,O,X,X,O,X
TLIJSOZ,O,X,X,O,X,X,O,X
TLIJZSO,O,O,X,O,O,X,X,X
TLIJZOS,X,O,X,O,O,X,X,X
TLIJOSZ,O,X,X,O,X,X,O,X
TLIJOZS,O,X,X,O,X,X,X,X
TLISJZO,O,O,X,O,X,O,O,X
TLISJOZ,O,X,X,O,X,X,O,X
TLISZJO,O,O,X,O,O,O,O,X
TLISZOJ,O,O,X,X,X,O,O,X
TLISOJZ,O,X,X,X,X,X,O,X
TLISOZJ,O,X,X,X,X,X,O,X
TLIZJSO,O,O,X,O,O,O,X,X
TLIZJOS,X,O,X,O,O,O,X,X
TLIZSJO,O,O,X,O,O,O,X,X
TLIZSOJ,O,O,X,X,X,O,X,X
TLIZOJS,X,O,X,O,O,O,X,X
TLIZOSJ,X,O,X,X,X,O,X,X
TLIOJSZ,O,X,X,O,X,X,O,X
TLIOJZS,O,X,X,O,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,O,X
TLIOSZJ,O,X,X,X,X,X,O,X
TLIOZJS,O,X,X,O,O,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X
TLJISZO,O,O,X,O,X,X,O,X
TLJISOZ,O,X,X,O,X,X,O,X
TLJIZSO,O,O,X,O,O,X,X,X
TLJIZOS,X,O,X,O,O,X,X,X
TLJIOSZ,O,X,X,O,X,X,O,X
TLJIOZS,O,X,X,O,X,X,X,X
TLJSIZO,O,O,X,O,X,X,O,X
TLJSIOZ,O,X,X,O,X,X,O,X
TLJSZIO,O,O,X,O,X,X,O,X
TLJSZOI,O,O,X,O,X,X,O,X
TLJSOIZ,O,X,X,O,X,X,O,X
TLJSOZI,O,O,X,O,X,X,O,X
TLJZISO,O,O,X,O,O,X,X,X
TLJZIOS,X,O,X,O,O,X,X,X
TLJZSIO,O,O,X,O,O,X,O,X
TLJZSOI,O,O,X,O,O,X,O,X
TLJZOIS,O,O,X,O,O,X,X,X
TLJZOSI,O,O,X,O,O,X,O,X
TLJOISZ,O,X,X,O,X,X,O,O
TLJOIZS,O,X,X,O,X,X,X,O
TLJOSIZ,O,X,X,O,X,X,O,X
TLJOSZI,O,O,X,O,X,X,O,X
TLJOZIS,O,O,X,O,X,X,X,X
TLJOZSI,O,O,X,O,X,X,O,X
TLSIJZO,O,O,X,O,X,O,O,X
TLSIJOZ,O,X,X,O,X,X,O,X
TLSIZJO,O,O,X,O,O,O,O,X
TLSIZOJ,O,O,X,X,X,O,O,X
TLSIOJZ,O,X,X,X,X,X,O,X
TLSIOZJ,O,X,X,X,X,X,O,X
TLSJIZO,O,O,X,O,X,O,O,X
TLSJIOZ,O,X,X,O,X,X,O,X
TLSJZIO,O,O,X,O,X,O,O,X
TLSJZOI,O,O,X,O,X,O,O,X
TLSJOIZ,O,X,X,O,X,X,O,X
TLSJOZI,O,O,X,O,X,X,O,X
TLSZIJO,O,O,X,O,O,O,O,X
TLSZIOJ,O,O,X,X,X,O,O,X
TLSZJIO,O,O,X,O,O,O,O,X
TLSZJOI,O,O,X,O,O,O,O,X
TLSZOIJ,O,O,X,X,X,O,O,X
TLSZOJI,O,O,X,X,X,O,O,X
TLSOIJZ,O,X,X,X,X,X,O,X
TLSOIZJ,O,X,X,X,X,X,O,X
TLSOJIZ,O,X,X,X,X,X,O,X
TLSOJZI,O,O,X,X,X,X,O,X
TLSOZIJ,O,O,X,X,X,X,O,X
TLSOZJI,O,O,X,X,X,X,O,X
TLZIJSO,O,O,X,O,O,O,X,X
TLZIJOS,X,O,X,O,O,O,X,X
TLZISJO,O,O,X,O,O,O,X,X
TLZISOJ,O,O,X,X,X,O,X,X
TLZIOJS,X,O,X,O,O,O,X,X
TLZIOSJ,X,O,X,X,X,O,X,X
TLZJISO,O,O,X,O,O,O,X,X
TLZJIOS,X,O,X,O,O,O,X,X
TLZJSIO,O,O,X,O,O,O,O,X
TLZJSOI,O,O,X,O,O,O,O,X
TLZJOIS,O,O,X,O,O,O,X,X
TLZJOSI,O,O,X,O,O,O,O,X
TLZSIJO,O,O,X,O,O,O,O,X
TLZSIOJ,O,O,X,X,X,O,O,X
TLZSJIO,O,O,X,O,O,O,O,X
TLZSJOI,O,O,X,O,O,O,O,X
TLZSOIJ,O,O,X,X,X,O,O,X
TLZSOJI,O,O,X,X,X,O,O,X
TLZOIJS,O,O,X,O,O,O,X,X
TLZOISJ,O,O,X,X,X,O,X,X
TLZOJIS,O,O,X,O,O,O,X,X
TLZOJSI,O,O,X,O,O,O,O,X
TLZOSIJ,O,O,X,X,X,O,O,X
TLZOSJI,O,O,X,X,X,O,O,X
TLOIJSZ,O,X,X,O,X,X,O,O
TLOIJZS,O,X,X,O,X,X,X,O
TLOISJZ,O,X,X,X,X,X,O,O
TLOISZJ,O,X,X,X,X,X,O,O
TLOIZJS,O,X,X,O,O,X,X,O
TLOIZSJ,O,X,X,X,X,X,X,O
TLOJISZ,O,X,X,O,X,X,O,O
TLOJIZS,O,X,X,O,X,X,X,O
TLOJSIZ,O,X,X,O,X,X,O,X
TLOJSZI,O,O,X,O,X,X,O,X
TLOJZIS,O,O,X,O,X,X,X,X
TLOJZSI,O,O,X,O,X,X,O,X
TLOSIJZ,O,X,X,X,X,X,O,X
TLOSIZJ,O,X,X,X,X,X,O,X
TLOSJIZ,O,X,X,X,X,X,O,X
TLOSJZI,O,O,X,X,X,X,O,X
TLOSZIJ,O,O,X,X,X,X,O,X
TLOSZJI,O,O,X,X,X,X,O,X
TLOZIJS,O,O,X,O,O,X,X,X
TLOZISJ,O,O,X,X,X,X,X,X
TLOZJIS,O,O,X,O,O,X,X,X
TLOZJSI,O,O,X,O,O,X,O,X
TLOZSIJ,O,O,X,X,X,X,O,X
TLOZSJI,O,O,X,X,X,X,O,X
TJILSZO,O,O,X,O,X,X,O,X
TJILSOZ,O,X,X,O,X,X,O,X
TJILZSO,O,O,X,O,O,X,X,X
TJILZOS,X,O,X,O,O,X,X,X
TJILOSZ,O,X,X,O,X,X,O,X
TJILOZS,O,X,X,O,X,X,X,X
TJISLZO,O,O,X,O,X,X,O,X
TJISLOZ,O,X,X,O,X,X,O,X
TJISZLO,O,X,X,O,X,X,O,X
TJISZOL,O,X,X,O,X,X,O,X
TJISOLZ,O,X,X,O,X,X,O,X
TJISOZL,O,X,X,O,X,X,O,X
TJIZLSO,X,X,X,O,O,X,X,X
TJIZLOS,X,X,X,O,O,X,X,X
TJIZSLO,X,X,X,O,O,X,O,X
TJIZSOL,X,X,X,O,X,X,O,X
TJIZOLS,X,X,X,O,O,X,X,X
TJIZOSL,X,X,X,O,X,X,O,X
TJIOLSZ,O,X,X,O,X,X,O,O
TJIOLZS,O,X,X,O,X,X,X,O
TJIOSLZ,O,X,X,O,X,X,O,O
TJIOSZL,O,X,X,O,X,X,O,O
TJIOZLS,O,X,X,O,X,X,X,O
TJIOZSL,O,X,X,O,X,X,O,O
TJLISZO,O,O,X,O,X,X,O,X
TJLISOZ,O,X,X,O,X,X,O,X
TJLIZSO,O,O,X,O,O,X,X,X
TJLIZOS,X,O,X,O,O,X,X,X
TJLIOSZ,O,X,X,O,X,X,O,X
TJLIOZS,O,X,X,O,X,X,X,X
TJLSIZO,O,O,X,O,X,X,O,X
TJLSIOZ,O,X,X,O,X,X,O,X
TJLSZIO,O,O,X,O,X,X,O,X
TJLSZOI,O,O,X,O,X,X,O,X
TJLSOIZ,O,X,X,O,X,X,O,X
TJLSOZI,O,O,X,O,X,X,O,X
TJLZISO,O,O,X,O,O,X,X,X
TJLZIOS,X,O,X,O,O,X,X,X
TJLZSIO,O,O,X,O,O,X,O,X
TJLZSOI,O,O,X,O,O,X,O,X
TJLZOIS,O,O,X,O,O,X,X,X
TJLZOSI,O,O,X,O,O,X,O,X
TJLOISZ,O,X,X,O,X,X,O,O
TJLOIZS,O,X,X,O,X,X,X,O
TJLOSIZ,O,X,X,O,X,X,O,X
TJLOSZI,O,O,X,O,X,X,O,X
TJLOZIS,O,O,X,O,X,X,X,X
TJLOZSI,O,O,X,O,X,X,O,X
TJSILZO,O,O,X,O,X,X,O,X
TJSILOZ,O,X,X,O,X,X,O,X
TJSIZLO,O,O,X,O,X,X,O,X
TJSIZOL,O,O,X,O,X,X,O,X
TJSIOLZ,O,X,X,O,X,X,O,X
TJSIOZL,O,X,X,O,X,X,O,X
TJSLIZO,O,O,X,O,X,X,O,X
TJSLIOZ,O,X,X,O,X,X,O,X
TJSLZIO,O,O,X,O,X,X,O,X
TJSLZOI,O,O,X,O,X,X,O,X
TJSLOIZ,O,X,X,O,X,X,O,X
TJSLOZI,O,O,X,O,X,X,O,X
TJSZILO,O,O,O,O,X,X,O,X
TJSZIOL,O,O,O,O,X,X,O,X
TJSZLIO,O,O,O,O,X,X,O,X
TJSZLOI,O,O,O,O,X,X,O,X
TJSZOIL,O,O,O,O,X,X,O,X
TJSZOLI,O,O,O,O,X,X,O,X
TJSOILZ,O,X,X,O,X,X,O,X
TJSOIZL,O,X,X,O,X,X,O,X
TJSOLIZ,O,X,X,O,X,X,O,X
TJSOLZI,O,O,X,O,X,X,O,X
TJSOZIL,O,X,O,O,X,X,O,X
TJSOZLI,O,X,O,O,X,X,O,X
TJZILSO,X,O,O,O,O,X,X,X
TJZILOS,X,O,O,O,O,X,X,X
TJZISLO,X,O,O,O,O,X,O,X
TJZISOL,X,O,O,O,X,X,O,X
TJZIOLS,X,O,O,O,O,X,X,X
TJZIOSL,X,O,X,O,X,X,O,X
TJZLISO,O,O,O,O,O,X,X,X
TJZLIOS,X,O,O,O,O,X,X,X
TJZLSIO,O,O,O,O,O,X,O,X
TJZLSOI,O,O,O,O,O,X,O,X
TJZLOIS,O,O,O,O,O,X,X,X
TJZLOSI,O,O,O,O,O,X,O,X
TJZSILO,O,O,O,O,O,X,O,X
TJZSIOL,O,O,O,O,X,X,O,X
TJZSLIO,O,O,O,O,O,X,O,X
TJZSLOI,O,O,O,O,O,X,O,X
TJZSOIL,O,O,O,O,X,X,O,X
TJZSOLI,O,O,O,O,X,X,O,X
TJZOILS,O,O,O,O,O,X,X,X
TJZOISL,O,O,X,O,X,X,O,X
TJZOLIS,O,O,O,O,O,X,X,X
TJZOLSI,O,O,O,O,O,X,O,X
TJZOSIL,O,O,O,O,X,X,O,X
TJZOSLI,O,O,O,O,X,X,O,X
TJOILSZ,O,X,X,O,X,X,O,O
TJOILZS,O,X,X,O,X,X,X,O
TJOISLZ,O,X,X,O,X,X,O,O
TJOISZL,O,X,X,O,X,X,O,O
TJOIZLS,O,X,X,O,X,X,X,O
TJOIZSL,O,X,X,O,X,X,O,O
TJOLISZ,O,X,X,O,X,X,O,O
TJOLIZS,O,X,X,O,X,X,X,O
TJOLSIZ,O,X,X,O,X,X,O,X
TJOLSZI,O,O,X,O,X,X,O,X
TJOLZIS,O,O,X,O,X,X,X,X
TJOLZSI,O,O,X,O,X,X,O,X
TJOSILZ,O,X,X,O,X,X,O,X
TJOSIZL,O,X,X,O,X,X,O,X
TJOSLIZ,O,X,X,O,X,X,O,X
TJOSLZI,O,O,X,O,X,X,O,X
TJOSZIL,O,X,O,O,X,X,O,X
TJOSZLI,O,X,O,O,X,X,O,X
TJOZILS,O,X,O,O,X,X,X,X
TJOZISL,O,X,X,O,X,X,O,X
TJOZLIS,O,X,O,O,X,X,X,X
TJOZLSI,O,X,O,O,X,X,O,X
TJOZSIL,O,X,O,O,X,X,O,X
TJOZSLI,O,X,O,O,X,X,O,X
TSILJZO,O,O,X,O,X,O,O,X
TSILJOZ,O,X,X,O,X,X,O,X
TSILZJO,O,O,X,O,O,O,O,X
TSILZOJ,O,O,X,X,X,O,O,X
TSILOJZ,O,X,X,X,X,X,O,X
TSILOZJ,O,X,X,X,X,X,O,X
TSIJLZO,O,O,X,O,X,O,O,X
TSIJLOZ,O,X,X,O,X,X,O,X
TSIJZLO,O,O,X,O,X,O,O,X
TSIJZOL,O,O,X,O,X,O,O,X
TSIJOLZ,O,X,X,O,X,X,O,X
TSIJOZL,O,X,X,O,X,X,O,X
TSIZLJO,O,O,X,O,O,O,O,X
TSIZLOJ,O,O,X,X,X,O,O,X
TSIZJLO,O,O,X,O,O,O,O,X
TSIZJOL,O,O,X,O,X,O,O,X
TSIZOLJ,O,O,X,X,X,O,O,X
TSIZOJL,O,O,X,X,X,O,O,X
TSIOLJZ,O,X,X,X,X,X,O,X
TSIOLZJ,O,X,X,X,X,X,O,X
TSIOJLZ,O,X,X,X,X,X,O,X
TSIOJZL,O,X,X,X,X,X,O,X
TSIOZLJ,O,X,X,X,X,X,O,X
TSIOZJL,O,X,X,X,X,X,O,X
TSLIJZO,O,O,X,O,X,O,O,X
TSLIJOZ,O,X,X,O,X,X,O,X
TSLIZJO,O,O,X,O,O,O,O,X
TSLIZOJ,O,O,X,X,X,O,O,X
TSLIOJZ,O,X,X,X,X,X,O,X
TSLIOZJ,O,X,X,X,X,X,O,X
TSLJIZO,O,O,X,O,X,O,O,X
TSLJIOZ,O,X,X,O,X,X,O,X
TSLJZIO,O,O,X,O,X,O,O,X
TSLJZOI,O,O,X,O,X,O,O,X
TSLJOIZ,O,X,X,O,X,X,O,X
TSLJOZI,O,O,X,O,X,X,O,X
TSLZIJO,O,O,X,O,O,O,O,X
TSLZIOJ,O,O,X,X,X,O,O,X
TSLZJIO,O,O,X,O,O,O,O,X
TSLZJOI,O,O,X,O,O,O,O,X
TSLZOIJ,O,O,X,X,X,O,O,X
TSLZOJI,O,O,X,X,X,O,O,X
TSLOIJZ,O,X,X,X,X,X,O,X
TSLOIZJ,O,X,X,X,X,X,O,X
TSLOJIZ,O,X,X,X,X,X,O,X
TSLOJZI,O,O,X,X,X,X,O,X
TSLOZIJ,O,O,X,X,X,X,O,X
TSLOZJI,O,O,X,X,X,X,O,X
TSJILZO,O,O,X,O,X,O,O,X
TSJILOZ,O,X,X,O,X,X,O,X
TSJIZLO,O,O,X,O,X,O,O,X
TSJIZOL,O,O,X,O,X,O,O,X
TSJIOLZ,O,X,X,O,X,X,O,X
TSJIOZL,O,X,X,O,X,X,O,X
TSJLIZO,O,O,X,O,X,O,O,X
TSJLIOZ,O,X,X,O,X,X,O,X
TSJLZIO,O,O,X,O,X,O,O,X
TSJLZOI,O,O,X,O,X,O,O,X
TSJLOIZ,O,X,X,O,X,X,O,X
TSJLOZI,O,O,X,O,X,X,O,X
TSJZILO,O,O,O,O,X,O,O,X
TSJZIOL,O,O,O,O,X,O,O,X
TSJZLIO,O,O,O,O,X,O,O,X
TSJZLOI,O,O,O,O,X,O,O,X
TSJZOIL,O,O,O,O,X,O,O,X
TSJZOLI,O,O,O,O,X,O,O,X
TSJOILZ,O,X,X,O,X,X,O,X
TSJOIZL,O,X,X,O,X,X,O,X
TSJOLIZ,O,X,X,O,X,X,O,X
TSJOLZI,O,O,X,O,X,X,O,X
TSJOZIL,O,X,O,O,X,X,O,X
TSJOZLI,O,X,O,O,X,X,O,X
TSZILJO,O,O,O,O,O,O,O,X
TSZILOJ,O,O,O,X,X,O,O,X
TSZIJLO,O,O,O,O,O,O,O,X
TSZIJOL,O,O,O,O,X,O,O,X
TSZIOLJ,O,O,O,X,X,O,O,X
TSZIOJL,O,O,O,X,X,O,O,X
TSZLIJO,O,O,O,O,O,O,O,X
TSZLIOJ,O,O,O,X,X,O,O,X
TSZLJIO,O,O,O,O,O,O,O,X
TSZLJOI,O,O,O,O,O,O,O,X
TSZLOIJ,O,O,O,X,X,O,O,X
TSZLOJI,O,O,O,X,X,O,O,X
TSZJILO,O,O,O,O,O,O,O,X
TSZJIOL,O,O,O,O,X,O,O,X
TSZJLIO,O,O,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,O,O,X
TSZJOIL,O,O,O,O,X,O,O,X
TSZJOLI,O,O,O,O,X,O,O,X
TSZOILJ,O,O,O,X,X,O,O,X
TSZOIJL,O,O,O,X,X,O,O,X
TSZOLIJ,O,O,O,X,X,O,O,X
TSZOLJI,O,O,O,X,X,O,O,X
TSZOJIL,O,O,O,X,X,O,O,X
TSZOJLI,O,O,O,X,X,O,O,X
TSOILJZ,O,X,X,X,X,X,O,X
TSOILZJ,O,X,X,X,X,X,O,X
TSOIJLZ,O,X,X,X,X,X,O,X
TSOIJZL,O,X,X,X,X,X,O,X
TSOIZLJ,O,X,X,X,X,X,O,X
TSOIZJL,O,X,X,X,X,X,O,X
TSOLIJZ,O,X,X,X,X,X,O,X
TSOLIZJ,O,X,X,X,X,X,O,X
TSOLJIZ,O,X,X,X,X,X,O,X
TSOLJZI,O,O,X,X,X,X,O,X
TSOLZIJ,O,O,X,X,X,X,O,X
TSOLZJI,O,O,X,X,X,X,O,X
TSOJILZ,O,X,X,X,X,X,O,X
TSOJIZL,O,X,X,X,X,X,O,X
TSOJLIZ,O,X,X,X,X,X,O,X
TSOJLZI,O,O,X,X,X,X,O,X
TSOJZIL,O,X,O,X,X,X,O,X
TSOJZLI,O,X,O,X,X,X,O,X
TSOZILJ,O,X,O,X,X,X,O,X
TSOZIJL,O,X,O,X,X,X,O,X
TSOZLIJ,O,X,O,X,X,X,O,X
TSOZLJI,O,X,O,X,X,X,O,X
TSOZJIL,O,X,O,X,X,X,O,X
TSOZJLI,O,X,O,X,X,X,O,X
TZILJSO,X,O,O,O,O,O,X,X
TZILJOS,X,O,O,O,O,O,X,X
TZILSJO,X,O,O,O,O,O,X,X
TZILSOJ,X,O,O,X,X,O,X,X
TZILOJS,X,O,O,O,O,O,X,X
TZILOSJ,X,O,O,X,X,O,X,X
TZIJLSO,X,O,O,O,O,O,X,X
TZIJLOS,X,O,O,O,O,O,X,X
TZIJSLO,X,O,O,O,O,O,O,X
TZIJSOL,X,O,O,O,X,O,O,X
TZIJOLS,X,O,O,O,O,O,X,X
TZIJOSL,X,O,X,O,X,O,O,X
TZISLJO,X,O,O,O,O,O,O,X
TZISLOJ,X,O,O,X,X,O,O,X
TZISJLO,X,O,O,O,O,O,O,X
TZISJOL,X,O,O,O,X,O,O,X
TZISOLJ,X,O,O,X,X,O,O,X
TZISOJL,X,O,O,X,X,O,O,X
TZIOLJS,X,O,O,O,O,O,X,X
TZIOLSJ,X,O,O,X,X,O,X,X
TZIOJLS,X,O,O,O,O,O,X,X
TZIOJSL,X,O,X,O,X,O,O,X
TZIOSLJ,X,O,X,X,X,O,O,X
TZIOSJL,X,O,X,X,X,O,O,X
TZLIJSO,O,O,O,O,O,O,X,X
TZLIJOS,X,O,O,O,O,O,X,X
TZLISJO,O,O,O,O,O,O,X,X
TZLISOJ,O,O,O,X,X,O,X,X
TZLIOJS,X,O,O,O,O,O,X,X
TZLIOSJ,X,O,O,X,X,O,X,X
TZLJISO,O,O,O,O,O,O,X,X
TZLJIOS,X,O,O,O,O,O,X,X
TZLJSIO,O,O,O,O,O,O,O,X
TZLJSOI,O,O,O,O,O,O,O,X
TZLJOIS,O,O,O,O,O,O,X,X
TZLJOSI,O,O,O,O,O,O,O,X
TZLSIJO,O,O,O,O,O,O,O,X
TZLSIOJ,O,O,O,X,X,O,O,X
TZLSJIO,O,O,O,O,O,O,O,X
TZLSJOI,O,O,O,O,O,O,O,X
TZLSOIJ,O,O,O,X,X,O,O,X
TZLSOJI,O,O,O,X,X,O,O,X
TZLOIJS,O,O,O,O,O,O,X,X
TZLOISJ,O,O,O,X,X,O,X,X
TZLOJIS,O,O,O,O,O,O,X,X
TZLOJSI,O,O,O,O,O,O,O,X
TZLOSIJ,O,O,O,X,X,O,O,X
TZLOSJI,O,O,O,X,X,O,O,X
TZJILSO,X,O,O,O,O,O,X,X
TZJILOS,X,O,O,O,O,O,X,X
TZJISLO,X,O,O,O,O,O,O,X
TZJISOL,X,O,O,O,X,O,O,X
TZJIOLS,X,O,O,O,O,O,X,X
TZJIOSL,X,O,X,O,X,O,O,X
TZJLISO,O,O,O,O,O,O,X,X
TZJLIOS,X,O,O,O,O,O,X,X
TZJLSIO,O,O,O,O,O,O,O,X
TZJLSOI,O,O,O,O,O,O,O,X
TZJLOIS,O,O,O,O,O,O,X,X
TZJLOSI,O,O,O,O,O,O,O,X
TZJSILO,O,O,O,O,O,O,O,X
TZJSIOL,O,O,O,O,X,O,O,X
TZJSLIO,O,O,O,O,O,O,O,X
TZJSLOI,O,O,O,O,O,O,O,X
TZJSOIL,O,O,O,O,X,O,O,X
TZJSOLI,O,O,O,O,X,O,O,X
TZJOILS,O,O,O,O,O,O,X,X
TZJOISL,O,O,X,O,X,O,O,X
