sequence,v115@FhB8FeD8CeH8AeH8Jex6IvhFXcB8hBCeBTfB2lBlpB,v115@FhB8FeD8CeH8AeH8JeT6IvhFxbB8hBCeBmgB/pBFqB,v115@FhB8FeD8CeH8AeH8Je2/IvhFRbBzcBCeBUhB/pBFqB,v115@FhB8FeD8CeH8AeH8JeK/IvhFzaBWiBxdB3gBUhBlpB,v115@FhB8FeD8CeH8AeH8Jey/IvhFWiBxdB3gBTfBUhBlpB,v115@FhB8FeD8CeH8AeH8JeT6IvhFibBWiBxdBUhB/pBFqB,v115@FhB8FeD8CeH8AeH8JeZ/IvhFufB3bBzcBCeBVmB8pB,v115@FhB8FeD8CeH8AeH8Jel6IvhFmcBCeBThBxkBclB/pB
TLSOIJZ,O,O,O,O,O,X,X,X
TLSOIZJ,O,O,X,O,X,X,O,X
TLSOJIZ,O,O,O,O,O,X,X,X
TLSOJZI,O,O,O,O,O,X,O,X
TLSOZIJ,O,O,O,O,X,X,O,X
TLSOZJI,O,O,O,O,X,X,O,X
TLZIJSO,O,O,X,O,X,X,O,X
TLZIJOS,O,X,X,O,X,X,O,X
TLZISJO,O,O,X,O,X,X,O,X
TLZISOJ,O,O,X,O,X,X,O,X
TLZIOJS,O,X,X,O,X,X,O,X
TLZIOSJ,O,X,X,O,X,X,O,X
TLZJISO,O,O,X,O,X,X,O,X
TLZJIOS,O,X,X,O,X,X,O,X
TLZJSIO,O,O,X,O,X,X,O,X
TLZJSOI,O,O,X,O,X,X,O,X
TLZJOIS,O,X,X,O,X,X,O,X
TLZJOSI,O,O,X,O,X,X,O,X
TLZSIJO,O,O,O,O,X,X,O,X
TLZSIOJ,O,O,O,O,X,X,O,X
TLZSJIO,O,O,O,O,X,X,O,X
TLZSJOI,O,O,O,O,X,X,O,X
TLZSOIJ,O,O,O,O,X,X,O,X
TLZSOJI,O,O,O,O,X,X,O,X
TLZOIJS,O,X,X,O,X,X,O,X
TLZOISJ,O,X,X,O,X,X,O,X
TLZOJIS,O,X,X,O,X,X,O,X
TLZOJSI,O,O,X,O,X,X,O,X
TLZOSIJ,O,X,O,O,X,X,O,X
TLZOSJI,O,X,O,O,X,X,O,X
TLOIJSZ,O,X,X,O,X,X,X,O
TLOIJZS,O,X,X,O,X,X,O,O
TLOISJZ,O,X,X,O,X,X,X,O
TLOISZJ,O,X,X,O,X,X,O,O
TLOIZJS,O,X,X,O,X,X,O,O
TLOIZSJ,O,X,X,O,X,X,O,O
TLOJISZ,O,X,X,O,X,X,X,O
TLOJIZS,O,X,X,O,X,X,O,O
TLOJSIZ,O,O,X,O,X,X,X,X
TLOJSZI,O,O,X,O,X,X,O,X
TLOJZIS,O,X,X,O,X,X,O,X
TLOJZSI,O,O,X,O,X,X,O,X
TLOSIJZ,O,X,O,O,X,X,X,X
TLOSIZJ,O,X,X,O,X,X,O,X
TLOSJIZ,O,X,O,O,X,X,X,X
TLOSJZI,O,X,O,O,X,X,O,X
TLOSZIJ,O,X,O,O,X,X,O,X
TLOSZJI,O,X,O,O,X,X,O,X
TLOZIJS,O,X,X,O,X,X,O,X
TLOZISJ,O,X,X,O,X,X,O,X
TLOZJIS,O,X,X,O,X,X,O,X
TLOZJSI,O,O,X,O,X,X,O,X
TLOZSIJ,O,X,O,O,X,X,O,X
TLOZSJI,O,X,O,O,X,X,O,X
TJILSZO,O,O,X,O,O,X,X,X
TJILSOZ,X,O,X,O,O,X,X,X
TJILZSO,O,O,X,O,X,X,O,X
TJILZOS,O,X,X,O,X,X,O,X
TJILOSZ,O,X,X,O,X,X,X,X
TJILOZS,O,X,X,O,X,X,O,X
TJISLZO,O,O,X,O,O,O,X,X
TJISLOZ,X,O,X,O,O,O,X,X
TJISZLO,O,O,X,O,O,O,X,X
TJISZOL,O,O,X,X,X,O,X,X
TJISOLZ,X,O,X,O,O,O,X,X
TJISOZL,X,O,X,X,X,O,X,X
TJIZLSO,O,O,X,O,X,O,O,X
TJIZLOS,O,X,X,O,X,X,O,X
TJIZSLO,O,O,X,O,O,O,O,X
TJIZSOL,O,O,X,X,X,O,O,X
TJIZOLS,O,X,X,X,X,X,O,X
TJIZOSL,O,X,X,X,X,X,O,X
TJIOLSZ,O,X,X,O,X,X,X,X
TJIOLZS,O,X,X,O,X,X,O,X
TJIOSLZ,O,X,X,O,O,X,X,X
TJIOSZL,O,X,X,X,X,X,X,X
TJIOZLS,O,X,X,X,X,X,O,X
TJIOZSL,O,X,X,X,X,X,O,X
TJLISZO,O,O,X,O,O,X,X,X
TJLISOZ,X,O,X,O,O,X,X,X
TJLIZSO,O,O,X,O,X,X,O,X
TJLIZOS,O,X,X,O,X,X,O,X
TJLIOSZ,O,X,X,O,X,X,X,X
TJLIOZS,O,X,X,O,X,X,O,X
TJLSIZO,O,O,X,O,O,X,X,X
TJLSIOZ,X,O,X,O,O,X,X,X
TJLSZIO,O,O,X,O,O,X,O,X
TJLSZOI,O,O,X,O,O,X,O,X
TJLSOIZ,O,O,X,O,O,X,X,X
TJLSOZI,O,O,X,O,O,X,O,X
TJLZISO,O,O,X,O,X,X,O,X
TJLZIOS,O,X,X,O,X,X,O,X
TJLZSIO,O,O,X,O,X,X,O,X
TJLZSOI,O,O,X,O,X,X,O,X
TJLZOIS,O,X,X,O,X,X,O,X
TJLZOSI,O,O,X,O,X,X,O,X
TJLOISZ,O,X,X,O,X,X,X,O
TJLOIZS,O,X,X,O,X,X,O,O
TJLOSIZ,O,O,X,O,X,X,X,X
TJLOSZI,O,O,X,O,X,X,O,X
TJLOZIS,O,X,X,O,X,X,O,X
TJLOZSI,O,O,X,O,X,X,O,X
TJSILZO,O,O,X,O,O,O,X,X
TJSILOZ,X,O,X,O,O,O,X,X
TJSIZLO,O,O,X,O,O,O,X,X
TJSIZOL,O,O,X,X,X,O,X,X
TJSIOLZ,X,O,X,O,O,O,X,X
TJSIOZL,X,O,X,X,X,O,X,X
TJSLIZO,O,O,X,O,O,O,X,X
TJSLIOZ,X,O,X,O,O,O,X,X
TJSLZIO,O,O,X,O,O,O,O,X
TJSLZOI,O,O,X,O,O,O,O,X
TJSLOIZ,O,O,X,O,O,O,X,X
TJSLOZI,O,O,X,O,O,O,O,X
TJSZILO,O,O,X,O,O,O,O,X
TJSZIOL,O,O,X,X,X,O,O,X
TJSZLIO,O,O,X,O,O,O,O,X
TJSZLOI,O,O,X,O,O,O,O,X
TJSZOIL,O,O,X,X,X,O,O,X
TJSZOLI,O,O,X,X,X,O,O,X
TJSOILZ,O,O,X,O,O,O,X,X
TJSOIZL,O,O,X,X,X,O,X,X
TJSOLIZ,O,O,X,O,O,O,X,X
TJSOLZI,O,O,X,O,O,O,O,X
TJSOZIL,O,O,X,X,X,O,O,X
TJSOZLI,O,O,X,X,X,O,O,X
TJZILSO,O,O,X,O,X,O,O,X
TJZILOS,O,X,X,O,X,X,O,X
TJZISLO,O,O,X,O,O,O,O,X
TJZISOL,O,O,X,X,X,O,O,X
TJZIOLS,O,X,X,X,X,X,O,X
TJZIOSL,O,X,X,X,X,X,O,X
TJZLISO,O,O,X,O,X,O,O,X
TJZLIOS,O,X,X,O,X,X,O,X
TJZLSIO,O,O,X,O,X,O,O,X
TJZLSOI,O,O,X,O,X,O,O,X
TJZLOIS,O,X,X,O,X,X,O,X
TJZLOSI,O,O,X,O,X,X,O,X
TJZSILO,O,O,X,O,O,O,O,X
TJZSIOL,O,O,X,X,X,O,O,X
TJZSLIO,O,O,X,O,O,O,O,X
TJZSLOI,O,O,X,O,O,O,O,X
TJZSOIL,O,O,X,X,X,O,O,X
TJZSOLI,O,O,X,X,X,O,O,X
TJZOILS,O,X,X,X,X,X,O,X
TJZOISL,O,X,X,X,X,X,O,X
TJZOLIS,O,X,X,X,X,X,O,X
TJZOLSI,O,O,X,X,X,X,O,X
TJZOSIL,O,O,X,X,X,X,O,X
TJZOSLI,O,O,X,X,X,X,O,X
TJOILSZ,O,X,X,O,X,X,X,O
TJOILZS,O,X,X,O,X,X,O,O
TJOISLZ,O,X,X,O,O,X,X,O
TJOISZL,O,X,X,X,X,X,X,O
TJOIZLS,O,X,X,X,X,X,O,O
TJOIZSL,O,X,X,X,X,X,O,O
TJOLISZ,O,X,X,O,X,X,X,O
TJOLIZS,O,X,X,O,X,X,O,O
TJOLSIZ,O,O,X,O,X,X,X,X
TJOLSZI,O,O,X,O,X,X,O,X
TJOLZIS,O,X,X,O,X,X,O,X
TJOLZSI,O,O,X,O,X,X,O,X
TJOSILZ,O,O,X,O,O,X,X,X
TJOSIZL,O,O,X,X,X,X,X,X
TJOSLIZ,O,O,X,O,O,X,X,X
TJOSLZI,O,O,X,O,O,X,O,X
TJOSZIL,O,O,X,X,X,X,O,X
TJOSZLI,O,O,X,X,X,X,O,X
TJOZILS,O,X,X,X,X,X,O,X
TJOZISL,O,X,X,X,X,X,O,X
TJOZLIS,O,X,X,X,X,X,O,X
TJOZLSI,O,O,X,X,X,X,O,X
TJOZSIL,O,O,X,X,X,X,O,X
TJOZSLI,O,O,X,X,X,X,O,X
TSILJZO,X,O,O,O,O,O,X,X
TSILJOZ,X,O,O,O,O,O,X,X
TSILZJO,X,O,O,O,O,O,O,X
TSILZOJ,X,O,O,O,X,O,O,X
TSILOJZ,X,O,O,O,O,O,X,X
TSILOZJ,X,O,X,O,X,O,O,X
TSIJLZO,X,O,O,O,O,O,X,X
TSIJLOZ,X,O,O,O,O,O,X,X
TSIJZLO,X,O,O,O,O,O,X,X
TSIJZOL,X,O,O,X,X,O,X,X
TSIJOLZ,X,O,O,O,O,O,X,X
TSIJOZL,X,O,O,X,X,O,X,X
TSIZLJO,X,O,O,O,O,O,O,X
TSIZLOJ,X,O,O,O,X,O,O,X
TSIZJLO,X,O,O,O,O,O,O,X
TSIZJOL,X,O,O,X,X,O,O,X
TSIZOLJ,X,O,O,X,X,O,O,X
TSIZOJL,X,O,O,X,X,O,O,X
TSIOLJZ,X,O,O,O,O,O,X,X
TSIOLZJ,X,O,X,O,X,O,O,X
TSIOJLZ,X,O,O,O,O,O,X,X
TSIOJZL,X,O,O,X,X,O,X,X
