sequence,v115@FhB8FeD8CeH8AeH8Jex6IvhFXcB8hBCeBTfB2lBlpB,v115@FhB8FeD8CeH8AeH8JeT6IvhFxbB8hBCeBmgB/pBFqB,v115@FhB8FeD8CeH8AeH8Je2/IvhFRbBzcBCeBUhB/pBFqB,v115@FhB8FeD8CeH8AeH8JeK/IvhFzaBWiBxdB3gBUhBlpB,v115@FhB8FeD8CeH8AeH8Jey/IvhFWiBxdB3gBTfBUhBlpB,v115@FhB8FeD8CeH8AeH8JeT6IvhFibBWiBxdBUhB/pBFqB,v115@FhB8FeD8CeH8AeH8JeZ/IvhFufB3bBzcBCeBVmB8pB,v115@FhB8FeD8CeH8AeH8Jel6IvhFmcBCeBThBxkBclB/pB
ISTLZOJ,X,O,O,O,X,O,O,X
ISTLOJZ,X,O,O,O,O,O,X,X
ISTLOZJ,X,O,X,O,X,O,O,X
ISTJLZO,X,O,O,O,O,O,X,X
ISTJLOZ,X,O,O,O,O,O,X,X
ISTJZLO,X,O,O,O,O,O,X,X
ISTJZOL,X,O,O,X,X,O,X,X
ISTJOLZ,X,O,O,O,O,O,X,X
ISTJOZL,X,O,O,X,X,O,X,X
ISTZLJO,X,O,O,O,O,O,O,X
ISTZLOJ,X,O,O,O,X,O,O,X
ISTZJLO,X,O,O,O,O,O,O,X
ISTZJOL,X,O,O,X,X,O,O,X
ISTZOLJ,X,O,O,X,X,O,O,X
ISTZOJL,X,O,O,X,X,O,O,X
ISTOLJZ,X,O,O,O,O,O,X,X
ISTOLZJ,X,O,X,O,X,O,O,X
ISTOJLZ,X,O,O,O,O,O,X,X
ISTOJZL,X,O,O,X,X,O,X,X
ISTOZLJ,X,O,X,X,X,O,O,X
ISTOZJL,X,O,X,X,X,O,O,X
ISLTJZO,X,O,O,O,O,O,X,X
ISLTJOZ,X,O,O,O,O,O,X,X
ISLTZJO,X,O,O,O,O,O,O,X
ISLTZOJ,X,O,O,O,X,O,O,X
ISLTOJZ,X,O,O,O,O,O,X,X
ISLTOZJ,X,O,X,O,X,O,O,X
ISLJTZO,X,X,O,O,O,O,X,X
ISLJTOZ,X,X,O,O,O,O,X,X
ISLJZTO,X,O,O,X,O,O,X,X
ISLJZOT,X,O,O,X,O,O,X,X
ISLJOTZ,X,X,O,X,O,O,X,X
ISLJOZT,X,O,O,X,O,O,X,X
ISLZTJO,X,O,O,X,X,O,O,X
ISLZTOJ,X,O,O,X,X,O,O,X
ISLZJTO,X,O,O,X,O,O,O,X
ISLZJOT,X,O,O,X,O,O,X,X
ISLZOTJ,X,O,O,X,X,O,X,X
ISLZOJT,X,O,O,X,X,O,X,X
ISLOTJZ,X,O,O,X,X,O,X,O
ISLOTZJ,X,O,X,X,X,O,O,O
ISLOJTZ,X,X,O,X,O,O,X,O
ISLOJZT,X,O,O,X,O,O,X,O
ISLOZTJ,X,O,O,X,X,O,X,O
ISLOZJT,X,O,O,X,X,O,X,O
ISJTLZO,X,X,O,O,O,O,X,X
ISJTLOZ,X,X,O,O,O,O,X,X
ISJTZLO,X,X,O,O,O,O,X,X
ISJTZOL,X,X,O,X,X,O,X,X
ISJTOLZ,X,X,O,O,O,O,X,X
ISJTOZL,X,X,X,X,X,O,X,X
ISJLTZO,X,X,O,O,O,O,X,X
ISJLTOZ,X,X,O,O,O,O,X,X
ISJLZTO,X,O,O,X,O,O,X,X
ISJLZOT,X,O,O,X,O,O,X,X
ISJLOTZ,X,X,O,X,O,O,X,X
ISJLOZT,X,O,O,X,O,O,X,X
ISJZTLO,X,O,O,O,O,O,X,X
ISJZTOL,X,O,O,X,X,O,X,X
ISJZLTO,X,O,O,X,O,O,X,X
ISJZLOT,X,O,O,X,O,O,X,X
ISJZOTL,X,O,O,X,X,O,X,X
ISJZOLT,X,O,O,X,X,O,X,X
ISJOTLZ,X,X,O,O,O,O,X,X
ISJOTZL,X,X,O,X,X,O,X,X
ISJOLTZ,X,X,O,X,O,O,X,X
ISJOLZT,X,O,O,X,O,O,X,X
ISJOZTL,X,O,O,X,X,O,X,X
ISJOZLT,X,O,O,X,X,O,X,X
ISZTLJO,X,O,O,O,O,O,O,X
ISZTLOJ,X,O,O,O,X,O,O,X
ISZTJLO,X,O,O,O,O,O,O,X
ISZTJOL,X,O,O,X,X,O,O,X
ISZTOLJ,X,O,O,X,X,O,O,X
ISZTOJL,X,O,O,X,X,O,O,X
ISZLTJO,X,O,O,X,X,O,O,X
ISZLTOJ,X,O,O,X,X,O,O,X
ISZLJTO,X,O,O,X,O,O,O,X
ISZLJOT,X,O,O,X,O,O,X,X
ISZLOTJ,X,O,O,X,X,O,X,X
ISZLOJT,X,O,O,X,X,O,X,X
ISZJTLO,X,O,O,O,O,O,O,X
ISZJTOL,X,O,O,X,X,O,O,X
ISZJLTO,X,O,O,X,O,O,O,X
ISZJLOT,X,O,O,X,O,O,X,X
ISZJOTL,X,O,O,X,X,O,X,X
ISZJOLT,X,O,O,X,X,O,X,X
ISZOTLJ,X,O,O,X,X,O,X,X
ISZOTJL,X,O,O,X,X,O,X,X
ISZOLTJ,X,O,O,X,X,O,X,X
ISZOLJT,X,O,O,X,X,O,X,X
ISZOJTL,X,O,O,X,X,O,X,X
ISZOJLT,X,O,O,X,X,O,X,X
ISOTLJZ,X,O,O,O,O,O,X,O
ISOTLZJ,X,O,X,O,X,O,O,O
ISOTJLZ,X,O,O,O,O,O,X,O
ISOTJZL,X,O,O,X,X,O,X,O
ISOTZLJ,X,O,X,X,X,O,O,O
ISOTZJL,X,O,X,X,X,O,O,O
ISOLTJZ,X,O,O,X,X,O,X,O
ISOLTZJ,X,O,X,X,X,O,O,O
ISOLJTZ,X,X,O,X,O,O,X,O
ISOLJZT,X,O,O,X,O,O,X,O
ISOLZTJ,X,O,O,X,X,O,X,O
ISOLZJT,X,O,O,X,X,O,X,O
ISOJTLZ,X,X,O,O,O,O,X,O
ISOJTZL,X,X,O,X,X,O,X,O
ISOJLTZ,X,X,O,X,O,O,X,O
ISOJLZT,X,O,O,X,O,O,X,O
ISOJZTL,X,O,O,X,X,O,X,O
ISOJZLT,X,O,O,X,X,O,X,O
ISOZTLJ,X,O,O,X,X,O,X,O
ISOZTJL,X,O,O,X,X,O,X,O
ISOZLTJ,X,O,O,X,X,O,X,O
ISOZLJT,X,O,O,X,X,O,X,O
ISOZJTL,X,O,O,X,X,O,X,O
ISOZJLT,X,O,O,X,X,O,X,O
IZTLJSO,O,O,X,O,X,O,O,X
IZTLJOS,O,X,X,O,X,X,O,X
IZTLSJO,O,O,X,O,X,O,O,X
IZTLSOJ,O,O,X,O,X,O,O,X
IZTLOJS,O,X,X,O,X,X,O,X
IZTLOSJ,O,X,X,O,X,X,O,X
IZTJLSO,O,O,X,O,X,O,O,X
IZTJLOS,O,X,X,O,X,X,O,X
IZTJSLO,O,O,X,O,O,O,O,X
IZTJSOL,O,O,X,X,X,O,O,X
IZTJOLS,O,X,X,X,X,X,O,X
IZTJOSL,O,X,X,X,X,X,O,X
IZTSLJO,O,O,X,O,O,O,O,X
IZTSLOJ,O,O,X,O,X,O,O,X
IZTSJLO,O,O,X,O,O,O,O,X
IZTSJOL,O,O,X,X,X,O,O,X
IZTSOLJ,O,O,X,X,X,O,O,X
IZTSOJL,O,O,X,X,X,O,O,X
IZTOLJS,O,X,X,X,X,X,O,X
IZTOLSJ,O,X,X,X,X,X,O,X
IZTOJLS,O,X,X,X,X,X,O,X
IZTOJSL,O,X,X,X,X,X,O,X
IZTOSLJ,O,X,X,X,X,X,O,X
IZTOSJL,O,X,X,X,X,X,O,X
IZLTJSO,O,O,X,X,X,O,O,X
IZLTJOS,O,X,X,X,X,X,O,X
IZLTSJO,O,O,X,X,X,O,O,X
IZLTSOJ,O,O,X,X,X,O,O,X
IZLTOJS,O,X,X,X,X,X,O,X
IZLTOSJ,O,X,X,X,X,X,O,X
IZLJTSO,O,O,X,X,X,O,O,X
IZLJTOS,O,X,X,X,X,X,O,X
IZLJSTO,O,O,X,X,X,O,O,X
IZLJSOT,O,O,X,X,X,O,X,X
IZLJOTS,X,X,X,X,X,X,O,X
IZLJOST,O,O,X,X,X,O,X,X
IZLSTJO,O,O,O,X,X,O,O,X
IZLSTOJ,O,O,O,X,X,O,O,X
IZLSJTO,O,O,O,X,X,O,O,X
IZLSJOT,O,O,O,X,X,O,X,X
IZLSOTJ,O,O,O,X,X,O,X,X
IZLSOJT,O,O,O,X,X,O,X,X
IZLOTJS,X,X,X,X,X,X,O,O
IZLOTSJ,X,X,X,X,X,X,O,O
IZLOJTS,X,X,X,X,X,X,O,O
IZLOJST,X,O,X,X,X,O,X,O
IZLOSTJ,X,O,O,X,X,O,X,O
IZLOSJT,X,O,O,X,X,O,X,O
IZJTLSO,O,O,X,O,X,O,O,X
IZJTLOS,O,X,X,O,X,X,O,X
IZJTSLO,O,O,X,O,O,O,O,X
IZJTSOL,O,O,X,X,X,O,O,X
IZJTOLS,O,X,X,X,X,X,O,X
IZJTOSL,O,X,X,X,X,X,O,X
IZJLTSO,O,O,X,X,X,O,O,X
IZJLTOS,O,X,X,X,X,X,O,X
IZJLSTO,O,O,X,X,X,O,O,X
IZJLSOT,O,O,X,X,X,O,X,X
IZJLOTS,X,X,X,X,X,X,O,X
IZJLOST,O,O,X,X,X,O,X,X
IZJSTLO,O,O,X,O,O,O,O,X
IZJSTOL,O,O,X,X,X,O,O,X
IZJSLTO,O,O,X,X,O,O,O,X
IZJSLOT,O,O,X,X,O,O,X,X
IZJSOTL,X,O,X,X,X,O,X,X
IZJSOLT,O,O,X,X,X,O,X,X
IZJOTLS,X,X,X,X,X,X,O,X
IZJOTSL,X,X,X,X,X,X,O,X
IZJOLTS,X,X,X,X,X,X,O,X
IZJOLST,O,O,X,X,X,O,X,X
IZJOSTL,X,O,X,X,X,O,X,X
IZJOSLT,O,O,X,X,X,O,X,X
IZSTLJO,O,O,O,O,O,O,O,X
IZSTLOJ,O,O,O,O,X,O,O,X
IZSTJLO,O,O,O,O,O,O,O,X
IZSTJOL,O,O,O,X,X,O,O,X
IZSTOLJ,O,O,O,X,X,O,O,X
IZSTOJL,O,O,O,X,X,O,O,X
IZSLTJO,O,O,O,X,X,O,O,X
IZSLTOJ,O,O,O,X,X,O,O,X
IZSLJTO,O,O,O,X,O,O,O,X
IZSLJOT,O,O,O,X,O,O,X,X
IZSLOTJ,O,O,O,X,X,O,X,X
IZSLOJT,O,O,O,X,X,O,X,X
IZSJTLO,O,O,O,O,O,O,O,X
IZSJTOL,O,O,O,X,X,O,O,X
IZSJLTO,O,O,O,X,O,O,O,X
IZSJLOT,O,O,O,X,O,O,X,X
IZSJOTL,X,O,O,X,X,O,X,X
IZSJOLT,O,O,O,X,X,O,X,X
IZSOTLJ,X,O,O,X,X,O,X,X
IZSOTJL,X,O,O,X,X,O,X,X
IZSOLTJ,O,O,O,X,X,O,X,X
IZSOLJT,O,O,O,X,X,O,X,X
IZSOJTL,X,O,O,X,X,O,X,X
IZSOJLT,X,O,O,X,X,O,X,X
IZOTLJS,X,X,X,X,X,X,O,O
IZOTLSJ,X,X,X,X,X,X,O,O
IZOTJLS,X,X,X,X,X,X,O,O
IZOTJSL,X,X,X,X,X,X,O,O
IZOTSLJ,X,X,X,X,X,X,O,O
IZOTSJL,X,X,X,X,X,X,O,O
IZOLTJS,X,X,X,X,X,X,O,O
IZOLTSJ,X,X,X,X,X,X,O,O
IZOLJTS,X,X,X,X,X,X,O,O
IZOLJST,X,O,X,X,X,O,X,O
IZOLSTJ,X,O,O,X,X,O,X,O
IZOLSJT,X,O,O,X,X,O,X,O
IZOJTLS,X,X,X,X,X,X,O,O
IZOJTSL,X,X,X,X,X,X,O,O
IZOJLTS,X,X,X,X,X,X,O,O
IZOJLST,X,O,X,X,X,O,X,O
IZOJSTL,X,O,X,X,X,O,X,O
IZOJSLT,X,O,X,X,X,O,X,O
IZOSTLJ,X,O,O,X,X,O,X,O
IZOSTJL,X,O,O,X,X,O,X,O
IZOSLTJ,X,O,O,X,X,O,X,O
IZOSLJT,X,O,O,X,X,O,X,O
IZOSJTL,X,O,O,X,X,O,X,O
IZOSJLT,X,O,O,X,X,O,X,O
IOTLJSZ,X,X,X,O,X,X,X,O
IOTLJZS,X,X,X,O,X,X,O,O
IOTLSJZ,X,X,X,O,X,X,X,O
IOTLSZJ,X,X,X,O,X,X,O,O
IOTLZJS,X,X,X,O,X,X,O,O
IOTLZSJ,X,X,X,O,X,X,O,O
IOTJLSZ,X,X,X,O,X,X,X,O
IOTJLZS,X,X,X,O,X,X,O,O
IOTJSLZ,X,X,X,O,O,X,X,O
IOTJSZL,X,X,X,X,X,X,X,O
IOTJZLS,X,X,X,X,X,X,O,O
IOTJZSL,X,X,X,X,X,X,O,O
IOTSLJZ,X,X,X,O,O,X,X,O
IOTSLZJ,X,X,X,O,X,X,O,O
IOTSJLZ,X,X,X,O,O,X,X,O
IOTSJZL,X,X,X,X,X,X,X,O
IOTSZLJ,X,X,X,X,X,X,O,O
IOTSZJL,X,X,X,X,X,X,O,O
IOTZLJS,X,X,X,X,X,X,O,O
IOTZLSJ,X,X,X,X,X,X,O,O
IOTZJLS,X,X,X,X,X,X,O,O
IOTZJSL,X,X,X,X,X,X,O,O
IOTZSLJ,X,X,X,X,X,X,O,O
IOTZSJL,X,X,X,X,X,X,O,O
IOLTJSZ,X,X,X,X,X,X,X,O
IOLTJZS,X,X,X,X,X,X,O,O
IOLTSJZ,X,X,X,X,X,X,X,O
IOLTSZJ,X,X,X,X,X,X,O,O
IOLTZJS,X,X,X,X,X,X,O,O
IOLTZSJ,X,X,X,X,X,X,O,O
IOLJTSZ,X,X,X,X,X,X,X,O
IOLJTZS,X,X,X,X,X,X,O,O
IOLJSTZ,X,X,X,X,X,X,X,O
IOLJSZT,X,X,X,X,X,X,X,O
IOLJZTS,X,X,X,X,X,X,X,O
IOLJZST,X,X,X,X,X,X,X,O
IOLSTJZ,X,X,O,X,X,X,X,O
IOLSTZJ,X,X,X,X,X,X,O,O
IOLSJTZ,X,X,O,X,X,X,X,O
IOLSJZT,X,X,O,X,X,X,X,O
IOLSZTJ,X,X,O,X,X,X,X,O
IOLSZJT,X,X,O,X,X,X,X,O
IOLZTJS,X,X,X,X,X,X,O,O
IOLZTSJ,X,X,X,X,X,X,O,O
IOLZJTS,X,X,X,X,X,X,O,O
IOLZJST,X,X,X,X,X,X,X,O
IOLZSTJ,X,X,O,X,X,X,X,O
IOLZSJT,X,X,O,X,X,X,X,O
IOJTLSZ,X,X,X,O,X,X,X,O
IOJTLZS,X,X,X,O,X,X,O,O
IOJTSLZ,X,X,X,O,O,X,X,O
IOJTSZL,X,X,X,X,X,X,X,O
IOJTZLS,X,X,X,X,X,X,O,O
IOJTZSL,X,X,X,X,X,X,O,O
IOJLTSZ,X,X,X,X,X,X,X,O
IOJLTZS,X,X,X,X,X,X,O,O
IOJLSTZ,X,X,X,X,X,X,X,O
IOJLSZT,X,X,X,X,X,X,X,O
IOJLZTS,X,X,X,X,X,X,X,O
IOJLZST,X,X,X,X,X,X,X,O
IOJSTLZ,X,X,X,O,O,O,X,O
IOJSTZL,X,X,X,X,X,O,X,O
IOJSLTZ,X,X,X,X,O,O,X,O
IOJSLZT,X,X,X,X,O,O,X,O
IOJSZTL,X,X,X,X,X,O,X,O
IOJSZLT,X,X,X,X,X,O,X,O
IOJZTLS,X,X,X,X,X,X,X,O
IOJZTSL,X,X,X,X,X,X,X,O
IOJZLTS,X,X,X,X,X,X,X,O
IOJZLST,X,X,X,X,X,O,X,O
IOJZSTL,X,X,X,X,X,O,X,O
IOJZSLT,X,X,X,X,X,O,X,O
IOSTLJZ,X,X,O,O,O,O,X,O
IOSTLZJ,X,X,X,O,X,O,O,O
IOSTJLZ,X,X,O,O,O,O,X,O
IOSTJZL,X,X,O,X,X,O,X,O
IOSTZLJ,X,X,X,X,X,O,O,O
IOSTZJL,X,X,X,X,X,O,O,O
IOSLTJZ,X,X,O,X,X,O,X,O
IOSLTZJ,X,X,X,X,X,O,O,O
IOSLJTZ,X,X,O,X,O,O,X,O
IOSLJZT,X,X,O,X,O,O,X,O
IOSLZTJ,X,X,O,X,X,O,X,O
IOSLZJT,X,X,O,X,X,O,X,O
IOSJTLZ,X,X,O,O,O,O,X,O
IOSJTZL,X,X,O,X,X,O,X,O
IOSJLTZ,X,X,O,X,O,O,X,O
IOSJLZT,X,X,O,X,O,O,X,O
IOSJZTL,X,X,O,X,X,O,X,O
IOSJZLT,X,X,O,X,X,O,X,O
IOSZTLJ,X,X,O,X,X,O,X,O
IOSZTJL,X,X,O,X,X,O,X,O
IOSZLTJ,X,X,O,X,X,O,X,O
IOSZLJT,X,X,O,X,X,O,X,O
IOSZJTL,X,X,O,X,X,O,X,O
IOSZJLT,X,X,O,X,X,O,X,O
IOZTLJS,X,X,X,X,X,X,O,O
IOZTLSJ,X,X,X,X,X,X,O,O
IOZTJLS,X,X,X,X,X,X,O,O
IOZTJSL,X,X,X,X,X,X,O,O
IOZTSLJ,X,X,X,X,X,X,O,O
IOZTSJL,X,X,X,X,X,X,O,O
IOZLTJS,X,X,X,X,X,X,O,O
IOZLTSJ,X,X,X,X,X,X,O,O
IOZLJTS,X,X,X,X,X,X,O,O
IOZLJST,X,X,X,X,X,O,X,O
IOZLSTJ,X,X,O,X,X,O,X,O
IOZLSJT,X,X,O,X,X,O,X,O
IOZJTLS,X,X,X,X,X,X,O,O
IOZJTSL,X,X,X,X,X,X,O,O
IOZJLTS,X,X,X,X,X,X,O,O
IOZJLST,X,X,X,X,X,O,X,O
IOZJSTL,X,X,X,X,X,O,X,O
IOZJSLT,X,X,X,X,X,O,X,O
IOZSTLJ,X,X,O,X,X,O,X,O
IOZSTJL,X,X,O,X,X,O,X,O
IOZSLTJ,X,X,O,X,X,O,X,O
IOZSLJT,X,X,O,X,X,O,X,O
IOZSJTL,X,X,O,X,X,O,X,O
IOZSJLT,X,X,O,X,X,O,X,O
LTIJSZO,O,O,X,O,O,X,X,X
LTIJSOZ,X,O,X,O,O,X,X,X
LTIJZSO,O,O,X,O,X,X,O,X
LTIJZOS,O,X,X,O,X,X,O,X
LTIJOSZ,O,X,X,O,X,X,X,X
LTIJOZS,O,X,X,O,X,X,O,X
LTISJZO,X,X,X,O,O,X,X,X
LTISJOZ,X,X,X,O,O,X,X,X
LTISZJO,X,X,X,O,O,X,O,X
LTISZOJ,X,X,X,O,X,X,O,X
LTISOJZ,X,X,X,O,O,X,X,X
LTISOZJ,X,X,X,O,X,X,O,X
LTIZJSO,O,O,X,O,X,X,O,X
LTIZJOS,O,X,X,O,X,X,O,X
LTIZSJO,O,X,X,O,X,X,O,X
LTIZSOJ,O,X,X,O,X,X,O,X
LTIZOJS,O,X,X,O,X,X,O,X
LTIZOSJ,O,X,X,O,X,X,O,X
LTIOJSZ,O,X,X,O,X,X,X,O
LTIOJZS,O,X,X,O,X,X,O,O
LTIOSJZ,O,X,X,O,X,X,X,O
LTIOSZJ,O,X,X,O,X,X,O,O
LTIOZJS,O,X,X,O,X,X,O,O
LTIOZSJ,O,X,X,O,X,X,O,O
LTJISZO,O,O,X,O,O,X,X,X
LTJISOZ,X,O,X,O,O,X,X,X
LTJIZSO,O,O,X,O,X,X,O,X
LTJIZOS,O,X,X,O,X,X,O,X
LTJIOSZ,O,X,X,O,X,X,X,X
LTJIOZS,O,X,X,O,X,X,O,X
LTJSIZO,O,O,X,O,O,X,X,X
LTJSIOZ,X,O,X,O,O,X,X,X
LTJSZIO,O,O,X,O,O,X,O,X
LTJSZOI,O,O,X,O,O,X,O,X
LTJSOIZ,O,O,X,O,O,X,X,X
LTJSOZI,O,O,X,O,O,X,O,X
LTJZISO,O,O,X,O,X,X,O,X
LTJZIOS,O,X,X,O,X,X,O,X
LTJZSIO,O,O,X,O,X,X,O,X
LTJZSOI,O,O,X,O,X,X,O,X
LTJZOIS,O,X,X,O,X,X,O,X
LTJZOSI,O,O,X,O,X,X,O,X
LTJOISZ,O,X,X,O,X,X,X,O
LTJOIZS,O,X,X,O,X,X,O,O
LTJOSIZ,O,O,X,O,X,X,X,X
LTJOSZI,O,O,X,O,X,X,O,X
LTJOZIS,O,X,X,O,X,X,O,X
LTJOZSI,O,O,X,O,X,X,O,X
LTSIJZO,X,O,O,O,O,X,X,X
LTSIJOZ,X,O,O,O,O,X,X,X
LTSIZJO,X,O,O,O,O,X,O,X
LTSIZOJ,X,O,O,O,X,X,O,X
LTSIOJZ,X,O,O,O,O,X,X,X
LTSIOZJ,X,O,X,O,X,X,O,X
LTSJIZO,O,O,O,O,O,X,X,X
LTSJIOZ,X,O,O,O,O,X,X,X
LTSJZIO,O,O,O,O,O,X,O,X
LTSJZOI,O,O,O,O,O,X,O,X
LTSJOIZ,O,O,O,O,O,X,X,X
LTSJOZI,O,O,O,O,O,X,O,X
LTSZIJO,O,O,O,O,O,X,O,X
LTSZIOJ,O,O,O,O,X,X,O,X
LTSZJIO,O,O,O,O,O,X,O,X
LTSZJOI,O,O,O,O,O,X,O,X
LTSZOIJ,O,O,O,O,X,X,O,X
LTSZOJI,O,O,O,O,X,X,O,X
LTSOIJZ,O,O,O,O,O,X,X,X
LTSOIZJ,O,O,X,O,X,X,O,X
LTSOJIZ,O,O,O,O,O,X,X,X
LTSOJZI,O,O,O,O,O,X,O,X
LTSOZIJ,O,O,O,O,X,X,O,X
LTSOZJI,O,O,O,O,X,X,O,X
LTZIJSO,O,O,X,O,X,X,O,X
LTZIJOS,O,X,X,O,X,X,O,X
LTZISJO,O,O,X,O,X,X,O,X
LTZISOJ,O,O,X,O,X,X,O,X
LTZIOJS,O,X,X,O,X,X,O,X
LTZIOSJ,O,X,X,O,X,X,O,X
LTZJISO,O,O,X,O,X,X,O,X
LTZJIOS,O,X,X,O,X,X,O,X
LTZJSIO,O,O,X,O,X,X,O,X
LTZJSOI,O,O,X,O,X,X,O,X
LTZJOIS,O,X,X,O,X,X,O,X
LTZJOSI,O,O,X,O,X,X,O,X
LTZSIJO,O,O,O,O,X,X,O,X
LTZSIOJ,O,O,O,O,X,X,O,X
LTZSJIO,O,O,O,O,X,X,O,X
LTZSJOI,O,O,O,O,X,X,O,X
LTZSOIJ,O,O,O,O,X,X,O,X
LTZSOJI,O,O,O,O,X,X,O,X
LTZOIJS,O,X,X,O,X,X,O,X
LTZOISJ,O,X,X,O,X,X,O,X
LTZOJIS,O,X,X,O,X,X,O,X
LTZOJSI,O,O,X,O,X,X,O,X
LTZOSIJ,O,X,O,O,X,X,O,X
LTZOSJI,O,X,O,O,X,X,O,X
LTOIJSZ,O,X,X,O,X,X,X,O
LTOIJZS,O,X,X,O,X,X,O,O
LTOISJZ,O,X,X,O,X,X,X,O
LTOISZJ,O,X,X,O,X,X,O,O
LTOIZJS,O,X,X,O,X,X,O,O
LTOIZSJ,O,X,X,O,X,X,O,O
LTOJISZ,O,X,X,O,X,X,X,O
LTOJIZS,O,X,X,O,X,X,O,O
LTOJSIZ,O,O,X,O,X,X,X,X
LTOJSZI,O,O,X,O,X,X,O,X
LTOJZIS,O,X,X,O,X,X,O,X
LTOJZSI,O,O,X,O,X,X,O,X
LTOSIJZ,O,X,O,O,X,X,X,X
LTOSIZJ,O,X,X,O,X,X,O,X
LTOSJIZ,O,X,O,O,X,X,X,X
LTOSJZI,O,X,O,O,X,X,O,X
LTOSZIJ,O,X,O,O,X,X,O,X
LTOSZJI,O,X,O,O,X,X,O,X
LTOZIJS,O,X,X,O,X,X,O,X
LTOZISJ,O,X,X,O,X,X,O,X
LTOZJIS,O,X,X,O,X,X,O,X
LTOZJSI,O,O,X,O,X,X,O,X
LTOZSIJ,O,X,O,O,X,X,O,X
LTOZSJI,O,X,O,O,X,X,O,X
LITJSZO,O,O,X,O,O,X,X,X
LITJSOZ,X,O,X,O,O,X,X,X
LITJZSO,O,O,X,O,X,X,O,X
LITJZOS,O,X,X,O,X,X,O,X
LITJOSZ,O,X,X,O,X,X,X,X
LITJOZS,O,X,X,O,X,X,O,X
LITSJZO,X,X,X,O,O,X,X,X
LITSJOZ,X,X,X,O,O,X,X,X
LITSZJO,X,X,X,O,O,X,O,X
LITSZOJ,X,X,X,O,X,X,O,X
LITSOJZ,X,X,X,O,O,X,X,X
LITSOZJ,X,X,X,O,X,X,O,X
LITZJSO,O,O,X,O,X,X,O,X
LITZJOS,O,X,X,O,X,X,O,X
LITZSJO,O,X,X,O,X,X,O,X
LITZSOJ,O,X,X,O,X,X,O,X
LITZOJS,O,X,X,O,X,X,O,X
LITZOSJ,O,X,X,O,X,X,O,X
LITOJSZ,O,X,X,O,X,X,X,O
LITOJZS,O,X,X,O,X,X,O,O
LITOSJZ,O,X,X,O,X,X,X,O
LITOSZJ,O,X,X,O,X,X,O,O
LITOZJS,O,X,X,O,X,X,O,O
LITOZSJ,O,X,X,O,X,X,O,O
LIJTSZO,O,O,X,O,O,X,X,X
LIJTSOZ,X,O,X,O,O,X,X,X
LIJTZSO,O,O,X,O,X,X,O,X
LIJTZOS,O,X,X,O,X,X,O,X
LIJTOSZ,O,X,X,O,X,X,X,X
LIJTOZS,O,X,X,O,X,X,O,X
LIJSTZO,X,X,X,O,O,O,X,X
LIJSTOZ,X,X,X,O,O,O,X,X
LIJSZTO,O,O,X,X,O,O,X,X
LIJSZOT,O,O,X,X,O,O,X,X
LIJSOTZ,X,X,X,X,O,O,X,X
LIJSOZT,X,O,X,X,O,O,X,X
LIJZTSO,O,O,X,X,X,O,O,X
LIJZTOS,O,X,X,X,X,X,O,X
LIJZSTO,O,O,X,X,X,O,O,X
LIJZSOT,O,O,X,X,X,O,X,X
LIJZOTS,X,X,X,X,X,X,O,X
LIJZOST,O,O,X,X,X,O,X,X
LIJOTSZ,X,X,X,X,X,X,X,O
LIJOTZS,X,X,X,X,X,X,O,O
LIJOSTZ,X,X,X,X,X,X,X,O
LIJOSZT,X,X,X,X,X,X,X,O
LIJOZTS,X,X,X,X,X,X,X,O
LIJOZST,O,X,X,X,X,X,X,O
LISTJZO,X,O,O,O,O,O,X,X
LISTJOZ,X,O,O,O,O,O,X,X
LISTZJO,X,O,O,O,O,O,O,X
LISTZOJ,X,O,O,O,X,O,O,X
LISTOJZ,X,O,O,O,O,O,X,X
LISTOZJ,X,O,X,O,X,O,O,X
LISJTZO,X,X,O,O,O,O,X,X
LISJTOZ,X,X,O,O,O,O,X,X
LISJZTO,X,O,O,X,O,O,X,X
LISJZOT,X,O,O,X,O,O,X,X
LISJOTZ,X,X,O,X,O,O,X,X
LISJOZT,X,O,O,X,O,O,X,X
LISZTJO,X,O,O,X,X,O,O,X
LISZTOJ,X,O,O,X,X,O,O,X
LISZJTO,X,O,O,X,O,O,O,X
LISZJOT,X,O,O,X,O,O,X,X
LISZOTJ,X,O,O,X,X,O,X,X
LISZOJT,X,O,O,X,X,O,X,X
LISOTJZ,X,O,O,X,X,O,X,O
LISOTZJ,X,O,X,X,X,O,O,O
LISOJTZ,X,X,O,X,O,O,X,O
LISOJZT,X,O,O,X,O,O,X,O
LISOZTJ,X,O,O,X,X,O,X,O
LISOZJT,X,O,O,X,X,O,X,O
LIZTJSO,O,O,X,X,X,O,O,X
LIZTJOS,O,X,X,X,X,X,O,X
LIZTSJO,O,O,X,X,X,O,O,X
LIZTSOJ,O,O,X,X,X,O,O,X
LIZTOJS,O,X,X,X,X,X,O,X
LIZTOSJ,O,X,X,X,X,X,O,X
LIZJTSO,O,O,X,X,X,O,O,X
LIZJTOS,O,X,X,X,X,X,O,X
LIZJSTO,O,O,X,X,X,O,O,X
LIZJSOT,O,O,X,X,X,O,X,X
LIZJOTS,X,X,X,X,X,X,O,X
LIZJOST,O,O,X,X,X,O,X,X
LIZSTJO,O,O,O,X,X,O,O,X
LIZSTOJ,O,O,O,X,X,O,O,X
