sequence,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhFmdBclBThBK?nBfoBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jem7IvhFRdBclB3hBa?oBTnBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhF/iBajBclBT?hB2sBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel7IvhFRdB/nBaoBT?lBOrB0rB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jem7IvhFSiBZjBclB3?hBTnBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Je07IvhFlcB3dBeoBT?lBxmBirB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel7IvhF3dBZmBqrBe?tBUnBTqB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhFidBclBThBm?nB3nBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhF2iBclBThB3?iBysBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8JeR9IvhF/nBaoBTlB0?mBFmBmqB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel8IvhFajBUhBTiBO?lBfrBRxB,v115@zgB8GeD8FeC8GeC8GeE8AeE8JeX8IvhFFiB8nBxlBT?lBmnBirB
TISLJZO,O,O,X,X,X,X,O,X,X,X,X,X
TISLJOZ,O,X,X,O,X,X,O,X,X,X,X,X
TISLZJO,O,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,O,X,O,X,X,X,X,X,X,X,X
TISLOJZ,O,X,X,O,X,X,X,X,X,X,X,X
TISLOZJ,O,O,X,O,X,X,X,X,X,X,O,X
TISJLZO,O,X,X,X,X,X,O,X,X,X,X,X
TISJLOZ,O,X,X,O,X,X,O,X,X,X,X,X
TISJZLO,O,O,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,X,X,O,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,O,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,O,O,X,O,X,X,X,X,X,X,O,X
TISZJLO,O,O,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,O,X,X,O,X,X,X,X,X,O,X
TISZOLJ,O,O,X,O,O,X,X,X,X,X,O,X
TISZOJL,O,O,X,O,O,X,X,X,X,X,O,X
TISOLJZ,X,O,X,O,X,X,X,X,X,X,X,X
TISOLZJ,X,O,X,O,O,X,X,X,X,X,O,X
TISOJLZ,X,X,X,O,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,O,X,X,X,X,X,X,X,X
TISOZLJ,X,O,X,O,O,X,X,X,X,X,O,X
TISOZJL,X,O,X,O,O,X,X,X,X,X,O,X
TIZLJSO,O,O,O,X,X,X,O,O,X,X,X,X
TIZLJOS,X,O,X,X,O,X,X,O,O,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,X,O,X,X,X
TIZLOJS,O,O,O,X,O,X,X,O,O,X,X,X
TIZLOSJ,O,X,X,X,O,X,X,X,O,X,X,X
TIZJLSO,O,O,O,X,X,X,O,O,X,X,X,X
TIZJLOS,X,O,X,X,O,X,X,O,O,X,X,X
TIZJSLO,O,O,O,X,X,X,X,O,X,X,X,X
TIZJSOL,O,O,O,X,O,X,X,X,X,X,X,X
TIZJOLS,O,O,O,X,O,X,X,O,O,X,X,X
TIZJOSL,X,X,O,X,O,X,X,O,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X,X,O,X,X,X
TIZSJLO,O,O,O,X,X,X,X,O,X,X,X,X
TIZSJOL,O,O,O,X,O,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,O,X,X,X,O,X,X,X
TIZSOJL,O,O,O,X,O,X,X,O,X,X,X,X
TIZOLJS,O,O,O,X,O,X,X,O,O,X,X,X
TIZOLSJ,O,O,X,X,O,X,X,X,O,X,X,X
TIZOJLS,O,O,O,X,O,X,X,O,O,X,X,X
TIZOJSL,X,X,O,X,O,X,X,O,X,X,X,X
TIZOSLJ,O,O,X,X,O,X,X,X,O,X,X,X
TIZOSJL,O,O,O,X,O,X,X,O,X,X,X,X
TIOLJSZ,X,O,X,O,X,X,O,X,X,X,X,X
TIOLJZS,X,O,X,O,O,X,O,X,O,X,X,X
TIOLSJZ,O,O,X,O,X,X,O,X,X,X,X,X
TIOLSZJ,O,O,X,O,O,X,X,X,X,X,O,X
TIOLZJS,O,O,X,O,O,X,O,X,O,X,X,X
TIOLZSJ,O,O,X,O,O,X,X,X,O,X,X,X
TIOJLSZ,X,X,X,O,X,X,O,X,X,X,X,X
TIOJLZS,X,X,X,O,O,X,O,O,X,X,X,X
TIOJSLZ,X,X,O,O,X,X,O,X,X,X,X,X
TIOJSZL,X,X,O,O,X,X,X,X,X,X,X,X
TIOJZLS,X,X,O,X,O,X,O,O,X,X,X,X
TIOJZSL,X,X,O,X,O,X,X,O,X,X,X,X
TIOSLJZ,X,O,X,O,X,X,O,X,X,X,X,X
TIOSLZJ,X,O,X,O,O,X,X,X,X,X,O,X
TIOSJLZ,X,X,X,O,X,X,O,X,X,X,X,X
TIOSJZL,X,O,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,O,O,X,X,X,X,X,O,X
TIOSZJL,X,O,X,O,O,X,X,X,X,X,O,X
TIOZLJS,O,O,O,X,O,X,O,O,O,X,X,X
TIOZLSJ,O,O,X,X,O,X,X,X,O,X,X,X
TIOZJLS,O,O,O,X,O,X,O,O,O,X,X,X
TIOZJSL,X,X,O,X,O,X,X,O,X,X,X,X
TIOZSLJ,O,O,X,X,O,X,X,X,O,X,X,X
TIOZSJL,X,O,O,X,O,X,X,O,X,X,X,X
TLIJSZO,X,O,X,X,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,X,O,X,X,O,X,X,X,X,X
TLIJZSO,X,O,X,X,X,X,O,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X,X,O,X,X,X
TLIJOSZ,X,X,X,O,X,X,O,X,X,X,X,X
TLIJOZS,X,X,X,O,X,X,X,X,O,X,X,X
TLISJZO,O,O,X,X,X,X,O,X,X,X,X,X
TLISJOZ,O,X,X,O,X,X,O,X,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,X,X,X,O
TLISZOJ,O,O,X,O,X,X,X,X,X,X,X,O
TLISOJZ,O,X,X,O,X,X,X,X,X,X,X,X
TLISOZJ,O,O,X,O,X,X,X,X,X,O,X,X
TLIZJSO,O,O,X,X,X,X,O,X,X,X,X,O
TLIZJOS,X,O,X,X,O,X,X,X,O,X,X,X
TLIZSJO,O,O,X,X,X,X,X,X,X,X,X,O
TLIZSOJ,O,O,X,O,X,X,X,X,O,X,X,O
TLIZOJS,O,O,X,O,O,X,X,X,O,X,X,X
TLIZOSJ,O,X,X,O,O,X,X,X,O,X,X,O
TLIOJSZ,X,O,X,O,X,X,O,X,X,X,X,X
TLIOJZS,X,O,X,O,O,X,X,X,O,X,X,X
TLIOSJZ,O,O,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,O,O,X,O,O,X,X,X,X,O,X,X
TLIOZJS,O,O,X,O,O,X,X,X,O,X,X,X
TLIOZSJ,O,O,X,O,O,X,X,X,O,X,X,X
TLJISZO,X,O,X,X,X,O,O,X,X,X,X,X
TLJISOZ,X,X,X,O,X,O,O,X,X,X,X,X
TLJIZSO,X,O,X,X,X,O,O,O,X,X,X,X
TLJIZOS,X,O,X,X,X,O,X,O,O,X,X,X
TLJIOSZ,X,X,X,O,X,O,O,X,X,X,X,X
TLJIOZS,X,X,X,O,X,O,X,O,O,X,X,X
TLJSIZO,O,O,O,X,X,O,O,X,X,X,X,X
TLJSIOZ,O,X,O,O,X,O,O,X,X,X,X,X
TLJSZIO,O,O,O,X,X,O,X,O,X,X,X,X
TLJSZOI,O,O,O,X,X,O,X,O,O,X,X,X
TLJSOIZ,O,X,O,X,X,O,O,X,X,X,X,X
TLJSOZI,O,X,O,X,X,O,X,O,O,X,X,X
TLJZISO,O,O,O,X,X,O,X,O,X,X,X,X
TLJZIOS,X,O,X,X,X,O,X,O,O,X,X,X
TLJZSIO,O,O,O,X,X,O,X,O,X,X,X,X
TLJZSOI,O,O,O,X,X,O,X,O,O,X,X,X
TLJZOIS,O,O,O,X,X,O,X,O,O,X,X,X
TLJZOSI,O,O,O,X,X,O,X,O,O,X,X,X
TLJOISZ,X,X,X,O,X,X,O,X,X,X,X,X
TLJOIZS,X,X,X,O,X,X,O,O,O,X,X,X
TLJOSIZ,O,X,O,O,X,X,O,X,X,X,X,X
TLJOSZI,O,X,O,O,X,X,X,O,O,X,X,X
TLJOZIS,O,X,O,O,X,X,X,O,O,X,X,X
TLJOZSI,O,X,O,O,X,X,X,O,O,X,X,X
TLSIJZO,O,O,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,X,O,X,X,X,X,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,O,X,X,X,X,X,X,X,X
TLSIOJZ,O,X,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,O,X,X,X,X,X,O,X,X
TLSJIZO,O,O,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,O,X,X,X,X,X,X,X,X
TLSJZIO,O,O,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,X,X,X,X,X,X,O,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,X,X,O,X,X,X
TLSZIJO,O,O,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,O,X,X,X,X,O,X,X,X
TLSZJIO,O,O,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X,X,O,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,X,O,X,X,X
TLSZOJI,O,O,X,X,X,X,X,X,O,X,X,X
TLSOIJZ,O,O,X,O,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,O,X,X,X,X,X,O,X,X
TLSOJIZ,O,O,X,O,X,X,X,X,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,X,O,X,X,X
TLSOZIJ,O,O,X,O,X,X,X,X,O,O,X,X
TLSOZJI,O,O,X,O,X,X,X,X,O,O,X,X
TLZIJSO,O,O,O,X,X,O,X,O,X,X,X,O
TLZIJOS,X,O,X,X,O,O,X,O,O,X,X,X
TLZISJO,O,O,X,X,X,X,X,X,X,X,X,O
TLZISOJ,O,O,X,O,X,X,X,X,O,X,X,O
TLZIOJS,O,O,O,O,O,X,X,O,O,X,X,X
TLZIOSJ,O,X,X,O,O,X,X,X,O,X,X,O
TLZJISO,O,O,O,X,X,O,X,O,X,X,X,O
TLZJIOS,X,O,X,X,O,O,X,O,O,X,X,X
TLZJSIO,O,O,O,X,X,O,X,O,X,X,X,O
TLZJSOI,O,O,O,X,X,O,X,O,O,X,X,X
TLZJOIS,O,O,O,X,O,O,X,O,O,X,X,X
TLZJOSI,O,O,O,X,O,O,X,O,O,X,X,X
TLZSIJO,O,O,X,X,X,X,X,X,X,X,X,O
TLZSIOJ,O,O,X,O,X,X,X,X,O,X,X,O
TLZSJIO,O,O,X,X,X,O,X,X,X,X,X,O
TLZSJOI,O,O,X,X,X,O,X,X,O,X,X,X
TLZSOIJ,O,O,X,X,X,X,X,X,O,X,X,O
TLZSOJI,O,O,X,X,X,X,X,X,O,X,X,X
TLZOIJS,O,O,O,O,O,X,X,O,O,X,X,X
TLZOISJ,O,O,X,O,O,X,X,X,O,X,X,O
TLZOJIS,O,O,O,O,O,O,X,O,O,X,X,X
TLZOJSI,O,O,O,O,O,O,X,O,O,X,X,X
TLZOSIJ,O,O,X,O,O,X,X,X,O,X,X,O
TLZOSJI,O,O,X,O,O,X,X,X,O,X,X,X
TLOIJSZ,X,O,X,O,X,X,O,X,X,X,X,X
TLOIJZS,X,O,X,O,O,X,O,X,O,X,X,X
TLOISJZ,O,O,X,O,X,X,O,X,X,X,X,X
TLOISZJ,O,O,X,O,O,X,X,X,X,O,X,X
TLOIZJS,O,O,X,O,O,X,O,X,O,X,X,X
TLOIZSJ,O,O,X,O,O,X,X,X,O,X,X,X
TLOJISZ,X,O,X,O,X,X,O,X,X,X,X,X
TLOJIZS,X,O,X,O,O,X,O,O,O,X,X,X
TLOJSIZ,O,O,O,O,X,X,O,X,X,X,X,X
TLOJSZI,O,O,O,O,X,X,X,O,O,X,X,X
TLOJZIS,O,O,O,O,O,X,X,O,O,X,X,X
TLOJZSI,O,O,O,O,O,X,X,O,O,X,X,X
TLOSIJZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,O,O,X,X,X,X,O,X,X
TLOSJIZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOSJZI,O,O,X,O,X,X,X,X,O,X,X,X
TLOSZIJ,O,O,X,O,O,X,X,X,O,O,X,X
TLOSZJI,O,O,X,O,O,X,X,X,O,O,X,X
TLOZIJS,O,O,O,O,O,X,X,O,O,X,X,X
TLOZISJ,O,O,X,O,O,X,X,X,O,X,X,X
TLOZJIS,O,O,O,O,O,X,X,O,O,X,X,X
TLOZJSI,O,O,O,O,O,X,X,O,O,X,X,X
TLOZSIJ,O,O,X,O,O,X,X,X,O,X,X,X
TLOZSJI,O,O,X,O,O,X,X,X,O,X,X,X
TJILSZO,X,X,X,X,X,O,O,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,O,X,X,X,X,X
TJILZSO,X,X,X,X,X,O,O,O,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,O,X,X,X,X
TJILOSZ,X,X,X,X,X,X,O,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,O,X,X,X,X
TJISLZO,X,X,O,X,X,O,O,X,X,X,X,X
TJISLOZ,X,X,O,X,X,X,O,X,X,X,X,X
TJISZLO,X,X,O,X,X,O,X,X,X,X,X,X
TJISZOL,X,X,O,X,X,O,X,X,X,X,X,X
TJISOLZ,X,X,O,X,X,X,X,X,X,X,X,X
TJISOZL,X,X,O,X,X,O,X,X,X,X,X,X
TJIZLSO,X,X,O,X,X,O,O,O,X,X,X,X
TJIZLOS,X,X,X,X,O,X,X,O,X,X,X,X
TJIZSLO,X,X,O,X,X,O,X,O,X,X,X,X
TJIZSOL,X,X,O,X,O,O,X,X,X,X,X,X
TJIZOLS,X,X,O,X,O,X,X,O,X,X,X,X
TJIZOSL,X,X,O,X,O,O,X,O,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,O,X,X,X,X,X
TJIOLZS,X,X,X,X,O,X,O,O,X,X,X,X
TJIOSLZ,X,X,O,X,X,X,O,X,X,X,X,X
TJIOSZL,X,X,O,X,X,O,X,X,X,X,X,X
TJIOZLS,X,X,O,X,O,X,O,O,X,X,X,X
TJIOZSL,X,X,O,X,O,O,X,O,X,X,X,X
TJLISZO,X,O,X,X,X,O,O,X,X,X,X,X
TJLISOZ,X,X,X,O,X,O,O,X,X,X,X,X
TJLIZSO,X,O,X,X,X,O,O,O,X,X,X,X
TJLIZOS,X,O,X,X,X,O,X,O,O,X,X,X
TJLIOSZ,X,X,X,O,X,O,O,X,X,X,X,X
TJLIOZS,X,X,X,O,X,O,X,O,O,X,X,X
TJLSIZO,O,O,O,X,X,O,O,X,X,X,X,X
TJLSIOZ,O,X,O,O,X,O,O,X,X,X,X,X
TJLSZIO,O,O,O,X,X,O,X,O,X,X,X,X
TJLSZOI,O,O,O,X,X,O,X,O,O,X,X,X
TJLSOIZ,O,X,O,X,X,O,O,X,X,X,X,X
TJLSOZI,O,X,O,X,X,O,X,O,O,X,X,X
TJLZISO,O,O,O,X,X,O,X,O,X,X,X,X
TJLZIOS,X,O,X,X,X,O,X,O,O,X,X,X
TJLZSIO,O,O,O,X,X,O,X,O,X,X,X,X
TJLZSOI,O,O,O,X,X,O,X,O,O,X,X,X
TJLZOIS,O,O,O,X,X,O,X,O,O,X,X,X
TJLZOSI,O,O,O,X,X,O,X,O,O,X,X,X
TJLOISZ,X,X,X,O,X,X,O,X,X,X,X,X
TJLOIZS,X,X,X,O,X,X,O,O,O,X,X,X
TJLOSIZ,O,X,O,O,X,X,O,X,X,X,X,X
TJLOSZI,O,X,O,O,X,X,X,O,O,X,X,X
TJLOZIS,O,X,O,O,X,X,X,O,O,X,X,X
TJLOZSI,O,X,O,O,X,X,X,O,O,X,X,X
TJSILZO,O,X,O,X,X,O,O,X,X,X,X,X
TJSILOZ,O,X,O,O,X,O,O,X,X,X,X,X
TJSIZLO,O,O,O,X,X,O,X,X,X,X,X,X
TJSIZOL,O,O,O,X,X,O,X,X,X,X,X,X
TJSIOLZ,X,X,O,O,X,X,X,X,X,X,X,X
TJSIOZL,X,X,O,O,X,O,X,X,X,X,X,X
TJSLIZO,O,O,O,X,X,O,O,X,X,X,X,X
TJSLIOZ,O,X,O,O,X,O,O,X,X,X,X,X
TJSLZIO,O,O,O,X,X,O,X,O,X,X,X,X
TJSLZOI,O,O,O,X,X,O,X,O,X,X,X,X
TJSLOIZ,O,X,O,X,X,O,O,X,X,X,X,X
TJSLOZI,O,X,O,X,X,O,X,O,X,X,X,X
TJSZILO,O,O,O,X,X,O,X,O,X,X,X,X
TJSZIOL,O,O,O,X,X,O,X,X,X,X,X,X
TJSZLIO,O,O,O,X,X,O,X,O,X,X,X,X
TJSZLOI,O,O,O,X,X,O,X,O,X,X,X,X
TJSZOIL,O,O,O,X,X,O,X,O,X,X,X,X
TJSZOLI,O,O,O,X,X,O,X,O,X,X,X,X
TJSOILZ,X,X,O,X,X,O,O,X,X,X,X,X
TJSOIZL,X,O,O,X,X,O,X,X,X,X,X,X
TJSOLIZ,O,O,O,X,X,O,O,X,X,X,X,X
TJSOLZI,O,O,O,X,X,O,X,O,X,X,X,X
TJSOZIL,O,O,O,X,X,O,X,O,X,X,X,X
TJSOZLI,O,O,O,X,X,O,X,O,X,X,X,X
TJZILSO,O,O,O,X,X,O,O,O,X,X,X,X
TJZILOS,X,O,X,X,O,X,X,O,O,X,X,X
TJZISLO,O,O,O,X,X,O,X,O,X,X,X,X
TJZISOL,O,O,O,X,O,O,X,X,X,X,X,X
TJZIOLS,O,O,O,X,O,X,X,O,O,X,X,X
TJZIOSL,X,X,O,X,O,O,X,O,X,X,X,X
TJZLISO,O,O,O,X,X,O,X,O,X,X,X,X
TJZLIOS,X,O,X,X,O,O,X,O,O,X,X,X
TJZLSIO,O,O,O,X,X,O,X,O,X,X,X,X
TJZLSOI,O,O,O,X,X,O,X,O,O,X,X,X
TJZLOIS,O,O,O,X,O,O,X,O,O,X,X,X
TJZLOSI,O,O,O,X,O,O,X,O,O,X,X,X
TJZSILO,O,O,O,X,X,O,X,O,X,X,X,X
TJZSIOL,O,O,O,X,O,O,X,X,X,X,X,X
TJZSLIO,O,O,O,X,X,O,X,O,X,X,X,X
TJZSLOI,O,O,O,X,X,O,X,O,X,X,X,X
TJZSOIL,O,O,O,X,O,O,X,O,X,X,X,X
TJZSOLI,O,O,O,X,O,O,X,O,X,X,X,X
TJZOILS,O,O,O,X,O,O,O,O,O,X,X,X
TJZOISL,X,X,O,X,O,O,X,O,X,X,X,X
TJZOLIS,O,O,O,X,O,O,X,O,O,X,X,X
TJZOLSI,O,O,O,X,O,O,X,O,O,X,X,X
TJZOSIL,X,O,O,X,O,O,X,O,X,X,X,X
TJZOSLI,X,O,O,X,O,O,X,O,X,X,X,X
TJOILSZ,X,X,X,O,X,O,O,X,X,X,X,X
TJOILZS,X,X,X,O,O,O,O,O,X,X,X,X
TJOISLZ,X,X,O,O,X,O,O,X,X,X,X,X
TJOISZL,X,X,O,O,X,O,X,X,X,X,X,X
TJOIZLS,X,X,O,X,O,O,O,O,X,X,X,X
TJOIZSL,X,X,O,X,O,O,X,O,X,X,X,X
TJOLISZ,X,O,X,O,X,O,O,X,X,X,X,X
TJOLIZS,X,O,X,O,O,O,O,O,O,X,X,X
TJOLSIZ,O,O,O,O,X,O,O,X,X,X,X,X
TJOLSZI,O,O,O,O,X,O,X,O,O,X,X,X
TJOLZIS,O,O,O,O,O,O,X,O,O,X,X,X
TJOLZSI,O,O,O,O,O,O,X,O,O,X,X,X
TJOSILZ,X,X,O,O,X,O,O,X,X,X,X,X
TJOSIZL,X,O,O,O,X,O,X,X,X,X,X,X
TJOSLIZ,X,O,O,O,X,O,O,X,X,X,X,X
TJOSLZI,X,O,O,O,X,O,X,O,X,X,X,X
TJOSZIL,X,O,O,O,X,O,X,O,X,X,X,X
TJOSZLI,X,O,O,O,X,O,X,O,X,X,X,X
TJOZILS,O,O,O,X,O,O,O,O,O,X,X,X
TJOZISL,X,X,O,X,O,O,X,O,X,X,X,X
TJOZLIS,O,O,O,O,O,O,X,O,O,X,X,X
TJOZLSI,O,O,O,O,O,O,X,O,O,X,X,X
TJOZSIL,X,O,O,O,O,O,X,O,X,X,X,X
TJOZSLI,X,O,O,O,O,O,X,O,X,X,X,X
TSILJZO,O,O,X,X,X,X,O,X,X,X,X,X
TSILJOZ,O,X,X,O,X,X,O,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,X,X,X,X,X,X
TSILZOJ,O,O,X,O,X,X,X,X,X,X,X,X
TSILOJZ,O,X,X,O,X,X,X,X,X,X,X,X
TSILOZJ,O,O,X,O,X,X,X,X,X,X,O,X
TSIJLZO,O,X,X,X,X,X,O,X,X,X,X,X
TSIJLOZ,O,X,X,O,X,X,O,X,X,X,X,X
TSIJZLO,O,O,X,X,X,X,X,X,X,X,X,X
TSIJZOL,O,O,X,X,X,X,X,X,X,X,X,X
TSIJOLZ,X,X,X,O,X,X,X,X,X,X,X,X
TSIJOZL,X,X,X,O,X,X,X,X,X,X,X,X
TSIZLJO,O,O,X,X,X,X,X,X,X,X,X,X
TSIZLOJ,O,O,X,O,X,X,X,X,X,X,O,X
TSIZJLO,O,O,X,X,X,X,X,X,X,X,X,X
TSIZJOL,O,O,X,X,O,X,X,X,X,X,O,X
TSIZOLJ,O,O,X,O,O,X,X,X,X,X,O,X
TSIZOJL,O,O,X,O,O,X,X,X,X,X,O,X
TSIOLJZ,X,O,X,O,X,X,X,X,X,X,X,X
TSIOLZJ,X,O,X,O,O,X,X,X,X,X,O,X
TSIOJLZ,X,X,X,O,X,X,X,X,X,X,X,X
TSIOJZL,X,O,X,O,X,X,X,X,X,X,X,X
TSIOZLJ,X,O,X,O,O,X,X,X,X,X,O,X
TSIOZJL,X,O,X,O,O,X,X,X,X,X,O,X
TSLIJZO,O,O,X,X,X,X,X,X,X,X,X,X
TSLIJOZ,O,X,X,O,X,X,X,X,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X,X,X,X,X,X
TSLIZOJ,O,O,X,O,X,X,X,X,X,X,X,X
TSLIOJZ,O,X,X,O,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,X,O,X,X,X,X,X,O,X,X
TSLJIZO,O,O,X,X,X,X,X,X,X,X,X,X
TSLJIOZ,O,X,X,O,X,X,X,X,X,X,X,X
TSLJZIO,O,O,X,X,X,X,X,X,X,X,X,X
TSLJZOI,O,O,X,X,X,X,X,X,O,X,X,X
TSLJOIZ,O,X,X,X,X,X,X,X,X,X,X,X
TSLJOZI,O,X,X,X,X,X,X,X,O,X,X,X
