sequence,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFGjBilBfsBlnBUr?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFihBGjBRnBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThBxiBesBftB6t?BFrB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhF2mBRiBSoBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFFjBTlBKrBfsB0n?B+tB,v115@9gC8GeB8HeB8HeD8CeA8LeaGJvhFfnBxiBTlBGoB1w?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFymBziB5oBXmB1w?BmsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlBcrBysB+t?BXsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlB3mBGoByw?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThB2nB5oBatBFr?BXsB,v115@9gC8GeB8HeB8HeD8CeA8Le3AJvhFSoBlmBmqBxsBzr?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFTlBKrBfsBlnBct?BGtB,v115@9gC8GeB8HeB8HeD8CeA8LezAJvhF6oB2qBRnB3rBUt?BFsB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhF0hBGjB3nBxqBTt?BywB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhFfnB0iBStBxqB2w?BTtB
TLISZJO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TLISZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLISOJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLIZJSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZSJO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TLIZSOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLIZOJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIOZJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJSIZO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJSZOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZISO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLSIJOZ,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLSIZJO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSIOJZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSJIZO,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLSJZIO,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLSJZOI,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSZJIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLSZJOI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOJZI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSOZJI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLZIJSO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZISJO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZISOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
