sequence,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFGjBilBfsBlnBUr?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFihBGjBRnBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThBxiBesBftB6t?BFrB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhF2mBRiBSoBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFFjBTlBKrBfsB0n?B+tB,v115@9gC8GeB8HeB8HeD8CeA8LeaGJvhFfnBxiBTlBGoB1w?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFymBziB5oBXmB1w?BmsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlBcrBysB+t?BXsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlB3mBGoByw?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThB2nB5oBatBFr?BXsB,v115@9gC8GeB8HeB8HeD8CeA8Le3AJvhFSoBlmBmqBxsBzr?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFTlBKrBfsBlnBct?BGtB,v115@9gC8GeB8HeB8HeD8CeA8LezAJvhF6oB2qBRnB3rBUt?BFsB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhF0hBGjB3nBxqBTt?BywB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhFfnB0iBStBxqB2w?BTtB
JSTZLIO,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JSTZLOI,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JSTZOIL,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JSTZOLI,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JSTOILZ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSTOIZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTOLIZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTOLZI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTOZIL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSTOZLI,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JSITLZO,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSITLOZ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSITZLO,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X
JSITZOL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSITOLZ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSITOZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSILTZO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JSILTOZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSILZTO,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X
JSILZOT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
JSILOZT,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JSIZTLO,X,O,O,X,O,X,X,O,X,O,O,X,O,X,X
JSIZTOL,X,X,O,X,O,X,X,O,X,O,X,X,O,X,X
JSIZLTO,X,O,O,X,O,X,X,X,X,O,O,X,O,X,X
JSIZLOT,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JSIZOTL,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JSIZOLT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIOTLZ,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X
JSIOTZL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSIOLTZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JSIOLZT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIOZTL,O,X,O,X,O,X,X,O,X,O,X,X,O,X,X
JSIOZLT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLTIZO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JSLTIOZ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSLTZIO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLTZOI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLTOZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLITZO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JSLITOZ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSLIZTO,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X
JSLIZOT,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X
JSLIOZT,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JSLZTIO,X,X,O,O,O,X,X,O,X,O,X,X,O,X,X
JSLZTOI,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X
JSLZITO,X,X,O,O,O,X,X,O,X,O,X,X,O,X,X
JSLZIOT,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
JSLZOTI,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JSLZOIT,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
JSLOTIZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLOTZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOITZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLOIZT,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JSLOZTI,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X
JSLOZIT,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X
JSZTILO,X,O,O,O,O,X,X,O,X,O,O,X,O,X,X
JSZTIOL,X,O,O,O,O,X,X,O,X,O,X,X,O,X,X
JSZTLIO,X,O,O,O,O,X,X,O,X,O,X,X,O,X,X
JSZTLOI,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X
JSZTOIL,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X
JSZTOLI,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X
JSZITLO,X,O,O,O,O,X,X,O,X,O,O,X,O,X,X
JSZITOL,X,X,O,X,O,X,X,O,X,O,X,X,O,X,X
JSZILTO,X,O,O,O,O,X,X,X,X,O,O,X,O,X,X
JSZILOT,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X
JSZIOTL,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X
JSZIOLT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JSZLTIO,X,X,O,O,O,X,X,O,X,O,X,X,O,X,X
JSZLTOI,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X
JSZLITO,X,X,O,O,O,X,X,O,X,O,X,X,O,X,X
JSZLIOT,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
JSZLOTI,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
JSZLOIT,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
JSZOTIL,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X
JSZOTLI,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X
JSZOITL,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X
JSZOILT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JSZOLTI,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X
JSZOLIT,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X
JSOTILZ,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X
JSOTIZL,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOTLIZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOTLZI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOTZIL,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JSOTZLI,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X
JSOITLZ,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X
JSOITZL,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOILTZ,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X
JSOILZT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOIZTL,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X
JSOIZLT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOLTIZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOLTZI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOLITZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOLIZT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JSOLZTI,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X
JSOLZIT,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X
JSOZTIL,X,O,O,O,O,X,X,O,X,O,X,X,O,X,X
JSOZTLI,X,O,O,O,O,X,X,O,X,O,X,X,O,X,X
JSOZITL,O,O,O,O,O,X,X,O,X,O,X,X,O,X,X
JSOZILT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JSOZLTI,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X
JSOZLIT,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X
JZTILSO,O,O,X,X,O,O,O,O,O,X,O,X,X,X,X
JZTILOS,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JZTISLO,O,O,O,X,O,O,O,O,X,O,O,X,X,X,X
JZTISOL,O,X,O,X,O,O,O,O,X,O,X,X,X,X,X
JZTIOLS,X,O,O,O,O,O,O,O,O,X,X,X,O,X,X
JZTIOSL,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X
JZTLISO,O,O,X,X,O,O,O,O,O,X,X,X,X,X,X
JZTLIOS,X,O,O,X,O,X,O,O,O,X,X,X,O,X,X
JZTLSIO,O,X,O,X,O,O,O,O,O,X,X,X,O,X,X
JZTLSOI,O,X,O,X,O,O,O,X,O,X,X,X,O,X,X
JZTLOIS,X,O,O,O,O,O,O,O,O,X,X,X,O,X,X
JZTLOSI,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X
JZTSILO,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X
JZTSIOL,O,O,O,O,O,O,O,O,X,O,X,X,O,X,X
JZTSLIO,O,O,O,O,O,O,O,O,X,O,X,X,O,X,X
JZTSLOI,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X
JZTSOIL,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X
JZTSOLI,X,O,O,O,O,O,O,X,X,O,X,X,O,X,X
JZTOILS,X,O,O,O,O,O,O,O,O,X,X,X,O,X,X
JZTOISL,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JZTOLIS,X,O,O,O,O,O,O,O,O,X,X,X,O,X,X
JZTOLSI,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X
JZTOSIL,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X
JZTOSLI,X,O,O,O,O,O,O,X,X,X,X,X,O,X,X
JZITLSO,X,X,X,X,O,O,O,O,O,X,O,X,X,X,X
JZITLOS,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X
JZITSLO,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X
JZITSOL,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X
JZITOLS,X,X,O,X,O,O,O,O,O,X,X,X,O,X,X
JZITOSL,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X
JZILTSO,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X
JZILTOS,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X
JZILSTO,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X
JZILSOT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JZILOTS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
JZILOST,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
JZISTLO,X,X,O,X,O,X,X,O,X,O,O,X,O,X,X
JZISTOL,X,X,O,X,O,X,X,O,X,O,X,X,O,X,X
JZISLTO,X,X,O,X,O,X,X,X,O,O,O,X,O,X,X
JZISLOT,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X
JZISOTL,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X
JZISOLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JZIOTLS,X,X,O,X,O,O,X,O,O,X,X,X,O,X,X
JZIOTSL,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X
JZIOLTS,X,X,X,X,O,O,X,O,O,X,X,X,O,X,X
JZIOLST,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
JZIOSTL,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
JZIOSLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JZLTISO,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
JZLTIOS,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X
JZLTSIO,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X
JZLTSOI,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X
JZLTOIS,X,X,O,X,O,O,X,O,O,X,X,X,O,X,X
JZLTOSI,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X
JZLITSO,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JZLITOS,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X
JZLISTO,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X
JZLISOT,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X
JZLIOTS,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
JZLIOST,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
JZLSTIO,O,X,O,X,O,X,X,O,O,X,X,X,O,X,X
JZLSTOI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
JZLSITO,O,X,O,X,O,X,X,O,O,X,X,X,O,X,X
JZLSIOT,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
JZLSOTI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
JZLSOIT,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
JZLOTIS,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X
JZLOTSI,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X
JZLOITS,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X
JZLOIST,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
JZLOSTI,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X
JZLOSIT,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
JZSTILO,O,O,O,O,O,O,X,O,X,O,O,X,O,X,X
JZSTIOL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X
JZSTLIO,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X
JZSTLOI,X,O,O,O,O,O,X,X,X,O,X,X,O,X,X
JZSTOIL,O,O,O,O,O,O,X,X,X,O,X,X,O,X,X
JZSTOLI,X,O,O,O,O,O,X,X,X,O,X,X,O,X,X
JZSITLO,O,O,O,O,O,X,X,O,X,O,O,X,O,X,X
JZSITOL,O,X,O,X,O,X,X,O,X,O,X,X,O,X,X
JZSILTO,X,O,O,O,O,X,X,X,O,O,O,X,O,X,X
JZSILOT,X,O,O,O,O,X,X,X,O,X,X,X,O,X,X
JZSIOTL,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X
JZSIOLT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X
JZSLTIO,X,X,O,O,O,X,X,O,O,O,X,X,O,X,X
JZSLTOI,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X
JZSLITO,X,X,O,O,O,X,X,O,O,O,X,X,O,X,X
JZSLIOT,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X
JZSLOTI,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X
JZSLOIT,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X
JZSOTIL,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X
JZSOTLI,O,O,O,O,O,O,X,X,X,O,X,X,O,X,X
JZSOITL,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
JZSOILT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X
JZSOLTI,X,O,O,O,O,O,X,X,O,X,X,X,O,X,X
JZSOLIT,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X
JZOTILS,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
JZOTISL,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
JZOTLIS,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
JZOTLSI,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
JZOTSIL,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
JZOTSLI,O,O,O,O,O,O,X,O,X,X,X,X,O,X,X
JZOITLS,O,O,O,X,O,O,X,O,O,X,X,X,O,X,X
JZOITSL,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X
JZOILTS,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X
JZOILST,O,O,X,X,O,X,X,O,O,X,X,O,O,X,X
JZOISTL,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X
JZOISLT,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JZOLTIS,O,O,X,O,O,O,X,O,O,X,X,X,O,X,X
JZOLTSI,O,O,X,O,O,O,X,O,O,X,X,X,O,X,X
JZOLITS,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X
JZOLIST,O,O,X,X,O,X,X,O,O,X,X,O,O,X,X
JZOLSTI,O,O,X,O,O,O,X,O,O,X,X,O,O,X,X
JZOLSIT,O,O,X,O,O,X,X,O,O,X,X,O,O,X,X
JZOSTIL,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
JZOSTLI,O,O,O,O,O,O,X,O,X,X,X,X,O,X,X
JZOSITL,O,O,O,O,O,X,X,O,O,X,X,X,O,X,X
JZOSILT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X
JZOSLTI,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
JZOSLIT,O,O,O,O,O,X,X,O,O,X,X,X,O,X,X
JOTILSZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JOTILZS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOTISLZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JOTISZL,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JOTIZLS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOTIZSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JOTLISZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOTLIZS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOTLSIZ,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JOTLSZI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOTLZIS,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
JOTLZSI,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
JOTSILZ,O,X,X,X,O,O,X,O,X,X,O,X,X,O,X
JOTSIZL,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X
JOTSLIZ,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JOTSLZI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOTSZIL,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JOTSZLI,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X
JOTZILS,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X
JOTZISL,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JOTZLIS,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X
JOTZLSI,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X
JOTZSIL,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X
JOTZSLI,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X
JOITLSZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JOITLZS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOITSLZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JOITSZL,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JOITZLS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOITZSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JOILTSZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JOILTZS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOILSTZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JOILSZT,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
JOILZTS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOILZST,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
JOISTLZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JOISTZL,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JOISLTZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JOISLZT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOISZTL,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X
JOISZLT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JOIZTLS,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X
JOIZTSL,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
JOIZLTS,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X
JOIZLST,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X
JOIZSTL,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X
JOIZSLT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLTISZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLTIZS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLTSIZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLTSZI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLTZIS,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JOLTZSI,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JOLITSZ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X
JOLITZS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLISTZ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X
JOLISZT,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X
JOLIZTS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLIZST,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
JOLSTIZ,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JOLSTZI,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JOLSITZ,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X
JOLSIZT,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X
JOLSZTI,O,O,X,O,O,X,X,O,O,X,X,O,O,X,X
JOLSZIT,O,O,X,O,O,X,X,O,O,X,X,O,O,X,X
JOLZTIS,O,O,X,O,O,O,X,O,O,X,X,X,O,X,X
JOLZTSI,O,O,X,O,O,O,X,O,O,X,X,X,O,X,X
JOLZITS,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X
JOLZIST,O,O,X,X,O,X,X,O,O,X,X,O,O,X,X
JOLZSTI,O,O,X,O,O,O,X,O,O,X,X,O,O,X,X
JOLZSIT,O,O,X,O,O,X,X,O,O,X,X,O,O,X,X
JOSTILZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JOSTIZL,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X
JOSTLIZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOSTLZI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSTZIL,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JOSTZLI,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X
JOSITLZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JOSITZL,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X
JOSILTZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
JOSILZT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOSIZTL,O,O,O,X,O,X,X,O,X,X,X,X,O,O,X
JOSIZLT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSLTIZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOSLTZI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSLITZ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X
JOSLIZT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JOSLZTI,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X
JOSLZIT,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X
JOSZTIL,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X
JOSZTLI,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X
JOSZITL,O,O,O,O,O,X,X,O,X,X,X,X,O,O,X
JOSZILT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JOSZLTI,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X
JOSZLIT,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X
JOZTILS,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
JOZTISL,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
JOZTLIS,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
JOZTLSI,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
JOZTSIL,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
JOZTSLI,O,O,O,O,O,O,X,O,X,X,X,X,O,X,X
JOZITLS,O,O,O,X,O,O,X,O,O,X,X,X,O,X,X
JOZITSL,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X
JOZILTS,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X
JOZILST,O,O,X,X,O,X,X,O,O,X,X,O,O,X,X
JOZISTL,O,O,X,X,X,X,X,O,O,X,X,X,O,O,X
JOZISLT,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JOZLTIS,O,O,X,O,O,O,X,O,O,X,X,X,O,X,X
JOZLTSI,O,O,X,O,O,O,X,O,O,X,X,X,O,X,X
JOZLITS,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X
JOZLIST,O,O,X,X,O,X,X,O,O,X,X,O,O,X,X
JOZLSTI,O,O,X,O,O,O,X,O,O,X,X,O,O,X,X
JOZLSIT,O,O,X,O,O,X,X,O,O,X,X,O,O,X,X
JOZSTIL,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
JOZSTLI,O,O,O,O,O,O,X,O,X,X,X,X,O,X,X
JOZSITL,O,O,O,O,O,X,X,O,O,X,X,X,O,O,X
JOZSILT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X
JOZSLTI,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X
JOZSLIT,O,O,O,O,O,X,X,O,O,X,X,X,O,X,X
STILJZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
STILJOZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
STILZJO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
STILZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STILOJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
