sequence,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8Jez6IvhFWhBxdB?0iB6oBlmBXrB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8Jez6IvhFCcBmdB?5jB0iBlmBXrB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8JeWAJvhFTcB/iB?ajB5jBlmB0qB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8Jez6IvhF/iBajB?5jBlmBuqBcrB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8JeWAJvhFlcBajB?5jB/mBTnB0qB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8JeC7IvhFlcBzdB?5jB/mB2sB0qB
IOTSJLZ,X,X,O,O,O,X
IOTSJZL,X,X,O,X,O,X
IOTSZLJ,X,O,O,O,O,X
IOTSZJL,X,O,O,X,O,X
IOTZLJS,O,O,X,X,X,X
IOTZLSJ,O,O,X,X,X,X
IOTZJLS,O,O,X,X,X,X
IOTZJSL,X,O,O,X,X,X
IOTZSLJ,X,O,O,O,X,X
IOTZSJL,X,O,O,X,X,X
IOLTJSZ,X,X,X,X,O,X
IOLTJZS,O,O,X,X,X,X
IOLTSJZ,X,X,X,O,O,X
IOLTSZJ,X,O,X,O,O,X
IOLTZJS,O,O,X,X,X,X
IOLTZSJ,O,O,X,X,X,X
IOLJTSZ,X,X,X,X,O,O
IOLJTZS,O,O,X,X,X,X
IOLJSTZ,X,X,O,O,O,O
IOLJSZT,X,X,X,X,O,O
IOLJZTS,O,O,X,X,X,X
IOLJZST,O,O,X,X,O,O
IOLSTJZ,X,X,O,O,O,O
IOLSTZJ,X,O,O,O,O,X
IOLSJTZ,X,X,O,O,O,O
IOLSJZT,X,X,X,X,O,O
IOLSZTJ,O,X,X,O,O,X
IOLSZJT,O,O,X,X,O,X
IOLZTJS,O,O,X,X,X,X
IOLZTSJ,O,O,X,X,X,X
IOLZJTS,O,O,X,X,X,X
IOLZJST,O,O,X,X,O,X
IOLZSTJ,O,X,X,O,O,X
IOLZSJT,O,O,X,X,O,X
IOJTLSZ,X,X,O,X,O,O
IOJTLZS,X,O,X,X,X,X
IOJTSLZ,X,X,O,O,O,O
IOJTSZL,X,X,O,X,O,O
IOJTZLS,X,O,X,X,X,X
IOJTZSL,X,O,O,X,X,X
IOJLTSZ,X,X,X,X,O,O
IOJLTZS,O,O,X,X,X,X
IOJLSTZ,X,X,O,O,O,O
IOJLSZT,X,X,X,X,O,O
IOJLZTS,O,O,X,X,X,X
IOJLZST,O,O,X,X,O,O
IOJSTLZ,X,X,O,O,O,O
IOJSTZL,X,X,O,X,O,O
IOJSLTZ,X,X,O,O,O,O
IOJSLZT,X,X,X,X,O,O
IOJSZTL,X,X,X,X,O,O
IOJSZLT,X,X,X,X,O,O
IOJZTLS,X,O,X,X,X,X
IOJZTSL,X,O,X,X,X,X
IOJZLTS,O,O,X,X,X,X
IOJZLST,O,O,X,X,O,O
IOJZSTL,X,O,X,X,O,O
IOJZSLT,X,O,X,X,O,O
IOSTLJZ,X,X,O,O,O,O
IOSTLZJ,X,O,O,O,O,X
IOSTJLZ,X,X,O,O,O,O
IOSTJZL,X,X,O,X,O,O
IOSTZLJ,X,O,O,O,O,X
IOSTZJL,X,O,O,X,O,X
IOSLTJZ,X,X,O,O,O,O
IOSLTZJ,X,O,O,O,O,X
IOSLJTZ,X,X,O,O,O,O
IOSLJZT,X,X,X,X,O,O
IOSLZTJ,X,X,X,O,O,X
IOSLZJT,X,O,X,X,O,X
IOSJTLZ,X,X,O,O,O,O
IOSJTZL,X,X,O,X,O,O
IOSJLTZ,X,X,O,O,O,O
IOSJLZT,X,X,X,X,O,O
IOSJZTL,X,X,X,X,O,O
IOSJZLT,X,X,X,X,O,O
IOSZTLJ,X,O,X,O,O,X
IOSZTJL,X,O,X,X,O,X
IOSZLTJ,X,X,X,O,O,X
IOSZLJT,X,O,X,X,O,X
IOSZJTL,X,O,X,X,O,X
IOSZJLT,X,O,X,X,O,X
IOZTLJS,O,O,X,X,X,X
IOZTLSJ,O,O,X,X,X,X
IOZTJLS,O,O,X,X,X,X
IOZTJSL,X,O,X,X,X,X
IOZTSLJ,X,O,X,O,X,X
IOZTSJL,X,O,X,X,X,X
IOZLTJS,O,O,X,X,X,X
IOZLTSJ,O,O,X,X,X,X
IOZLJTS,O,O,X,X,X,X
IOZLJST,O,O,X,X,O,X
IOZLSTJ,O,X,X,O,O,X
IOZLSJT,O,O,X,X,O,X
IOZJTLS,X,O,X,X,X,X
IOZJTSL,X,O,X,X,X,X
IOZJLTS,O,O,X,X,X,X
IOZJLST,O,O,X,X,O,X
IOZJSTL,X,O,X,X,O,X
IOZJSLT,X,O,X,X,O,X
IOZSTLJ,X,O,X,O,O,X
IOZSTJL,X,O,X,X,O,X
IOZSLTJ,X,X,X,O,O,X
IOZSLJT,X,O,X,X,O,X
IOZSJTL,X,O,X,X,O,X
IOZSJLT,X,O,X,X,O,X
LTIJSZO,X,X,O,X,X,O
LTIJSOZ,X,X,O,X,X,O
LTIJZSO,O,O,X,X,X,X
LTIJZOS,O,O,X,X,X,X
LTIJOSZ,X,X,O,X,O,O
LTIJOZS,O,O,X,X,X,X
LTISJZO,X,X,O,O,X,O
LTISJOZ,X,X,O,O,X,O
LTISZJO,X,O,O,O,X,O
LTISZOJ,X,O,O,O,X,X
LTISOJZ,X,X,O,O,X,O
LTISOZJ,X,O,O,O,X,X
LTIZJSO,O,O,X,X,X,X
LTIZJOS,O,O,X,X,X,X
LTIZSJO,O,O,X,X,X,X
LTIZSOJ,O,O,X,X,X,X
LTIZOJS,O,O,X,X,X,X
LTIZOSJ,O,O,X,X,X,X
LTIOJSZ,X,X,O,X,O,X
LTIOJZS,O,O,X,X,X,X
LTIOSJZ,X,X,O,O,O,X
LTIOSZJ,X,O,O,O,O,X
LTIOZJS,O,O,X,X,X,X
LTIOZSJ,O,O,X,X,X,X
LTJISZO,X,X,O,X,X,O
LTJISOZ,X,X,O,X,X,O
LTJIZSO,O,O,X,X,X,X
LTJIZOS,O,O,X,X,X,X
LTJIOSZ,X,X,O,X,O,O
LTJIOZS,O,O,X,X,X,X
LTJSIZO,X,X,O,X,X,O
LTJSIOZ,X,X,O,X,X,O
LTJSZIO,O,X,O,X,X,O
LTJSZOI,O,X,O,X,X,O
LTJSOIZ,X,X,O,X,X,O
LTJSOZI,O,X,O,X,X,O
LTJZISO,O,O,X,X,X,X
LTJZIOS,O,O,X,X,X,X
LTJZSIO,O,O,X,X,X,X
LTJZSOI,O,O,X,X,X,X
LTJZOIS,O,O,X,X,X,X
LTJZOSI,O,O,X,X,X,X
LTJOISZ,X,X,O,X,O,O
LTJOIZS,O,O,X,X,X,X
LTJOSIZ,X,X,O,X,O,O
LTJOSZI,O,X,O,X,O,O
LTJOZIS,O,O,X,X,X,X
LTJOZSI,O,O,X,X,X,X
LTSIJZO,X,X,O,O,X,O
LTSIJOZ,X,X,O,O,X,O
LTSIZJO,X,O,O,O,X,O
LTSIZOJ,X,O,O,O,X,X
LTSIOJZ,X,X,O,O,X,O
LTSIOZJ,X,O,O,O,X,X
LTSJIZO,X,X,O,O,X,O
LTSJIOZ,X,X,O,O,X,O
LTSJZIO,O,X,O,X,X,O
LTSJZOI,O,X,O,X,X,O
LTSJOIZ,X,X,O,O,X,O
LTSJOZI,O,X,O,X,X,O
LTSZIJO,O,O,O,O,X,O
LTSZIOJ,O,O,O,O,X,X
LTSZJIO,O,O,O,X,X,O
LTSZJOI,O,O,O,X,X,O
LTSZOIJ,O,O,O,O,X,X
LTSZOJI,O,O,O,X,X,X
LTSOIJZ,X,X,O,O,X,O
LTSOIZJ,X,O,O,O,X,X
LTSOJIZ,X,X,O,O,X,O
LTSOJZI,O,X,O,X,X,O
LTSOZIJ,O,O,O,O,X,X
LTSOZJI,O,O,O,X,X,X
LTZIJSO,O,O,X,X,X,X
LTZIJOS,O,O,X,X,X,X
LTZISJO,O,O,X,X,X,X
LTZISOJ,O,O,X,X,X,X
LTZIOJS,O,O,X,X,X,X
LTZIOSJ,O,O,X,X,X,X
LTZJISO,O,O,X,X,X,X
LTZJIOS,O,O,X,X,X,X
LTZJSIO,O,O,X,X,X,X
LTZJSOI,O,O,X,X,X,X
LTZJOIS,O,O,X,X,X,X
LTZJOSI,O,O,X,X,X,X
LTZSIJO,O,O,X,X,X,X
LTZSIOJ,O,O,X,X,X,X
LTZSJIO,O,O,X,X,X,X
LTZSJOI,O,O,X,X,X,X
LTZSOIJ,O,O,X,X,X,X
LTZSOJI,O,O,X,X,X,X
LTZOIJS,O,O,X,X,X,X
LTZOISJ,O,O,X,X,X,X
LTZOJIS,O,O,X,X,X,X
LTZOJSI,O,O,X,X,X,X
LTZOSIJ,O,O,X,X,X,X
LTZOSJI,O,O,X,X,X,X
LTOIJSZ,X,X,O,X,O,X
LTOIJZS,O,O,X,X,X,X
LTOISJZ,X,X,O,O,O,X
LTOISZJ,X,O,O,O,O,X
LTOIZJS,O,O,X,X,X,X
LTOIZSJ,O,O,X,X,X,X
LTOJISZ,X,X,O,X,O,X
LTOJIZS,O,O,X,X,X,X
LTOJSIZ,X,X,O,X,O,X
LTOJSZI,O,X,O,X,O,X
LTOJZIS,O,O,X,X,X,X
LTOJZSI,O,O,X,X,X,X
LTOSIJZ,X,X,O,O,O,X
LTOSIZJ,X,O,O,O,O,X
LTOSJIZ,X,X,O,O,O,X
LTOSJZI,O,X,O,X,O,X
LTOSZIJ,O,O,O,O,O,X
LTOSZJI,O,O,O,X,O,X
LTOZIJS,O,O,X,X,X,X
LTOZISJ,O,O,X,X,X,X
LTOZJIS,O,O,X,X,X,X
LTOZJSI,O,O,X,X,X,X
LTOZSIJ,O,O,X,X,X,X
LTOZSJI,O,O,X,X,X,X
LITJSZO,X,X,O,X,X,O
LITJSOZ,X,X,O,X,X,O
LITJZSO,O,O,X,X,X,X
LITJZOS,O,O,X,X,X,X
LITJOSZ,X,X,O,X,O,O
LITJOZS,O,O,X,X,X,X
LITSJZO,X,X,O,O,X,O
LITSJOZ,X,X,O,O,X,O
LITSZJO,X,O,O,O,X,O
LITSZOJ,X,O,O,O,X,X
LITSOJZ,X,X,O,O,X,O
LITSOZJ,X,O,O,O,X,X
LITZJSO,O,O,X,X,X,X
LITZJOS,O,O,X,X,X,X
LITZSJO,O,O,X,X,X,X
LITZSOJ,O,O,X,X,X,X
LITZOJS,O,O,X,X,X,X
LITZOSJ,O,O,X,X,X,X
LITOJSZ,X,X,O,X,O,X
LITOJZS,O,O,X,X,X,X
LITOSJZ,X,X,O,O,O,X
LITOSZJ,X,O,O,O,O,X
LITOZJS,O,O,X,X,X,X
LITOZSJ,O,O,X,X,X,X
LIJTSZO,X,X,O,X,X,O
LIJTSOZ,X,X,O,X,X,O
LIJTZSO,O,O,X,X,X,X
LIJTZOS,O,O,X,X,X,X
LIJTOSZ,X,X,O,X,O,O
LIJTOZS,O,O,X,X,X,X
LIJSTZO,X,X,O,O,X,O
LIJSTOZ,X,X,O,O,O,O
LIJSZTO,X,X,O,X,X,O
LIJSZOT,X,X,X,X,X,O
LIJSOTZ,X,X,O,O,O,O
LIJSOZT,X,X,X,X,O,O
LIJZTSO,O,X,X,X,X,X
LIJZTOS,O,O,X,X,X,X
LIJZSTO,X,X,O,X,X,O
LIJZSOT,O,O,X,X,X,O
LIJZOTS,O,O,X,X,X,X
LIJZOST,O,O,X,X,O,O
LIJOTSZ,X,X,X,X,O,O
LIJOTZS,O,O,X,X,X,X
LIJOSTZ,X,X,O,O,O,O
LIJOSZT,X,X,X,X,O,O
LIJOZTS,O,O,X,X,X,X
LIJOZST,O,O,X,X,O,O
LISTJZO,X,X,O,O,X,O
LISTJOZ,X,X,O,O,O,O
LISTZJO,X,O,O,O,X,O
LISTZOJ,X,O,O,O,X,X
LISTOJZ,X,X,O,O,O,O
LISTOZJ,X,O,O,O,O,X
LISJTZO,X,X,O,O,X,O
LISJTOZ,X,X,O,O,O,O
LISJZTO,X,X,O,X,X,O
LISJZOT,X,X,X,X,X,O
LISJOTZ,X,X,O,O,O,O
LISJOZT,X,X,X,X,O,O
LISZTJO,O,X,O,O,X,O
LISZTOJ,O,X,O,O,X,X
LISZJTO,X,X,O,X,X,O
LISZJOT,O,O,X,X,X,O
LISZOTJ,O,X,X,O,X,X
LISZOJT,O,O,X,X,X,X
LISOTJZ,X,X,O,O,O,O
LISOTZJ,X,O,O,O,O,X
LISOJTZ,X,X,O,O,O,O
LISOJZT,X,X,X,X,O,O
LISOZTJ,O,X,X,O,O,X
LISOZJT,O,O,X,X,O,X
LIZTJSO,O,O,X,X,X,X
LIZTJOS,O,O,X,X,X,X
LIZTSJO,O,O,X,X,X,X
LIZTSOJ,O,O,X,X,X,X
LIZTOJS,O,O,X,X,X,X
LIZTOSJ,O,O,X,X,X,X
LIZJTSO,O,O,X,X,X,X
LIZJTOS,O,O,X,X,X,X
LIZJSTO,X,X,O,X,X,O
LIZJSOT,O,O,X,X,X,O
LIZJOTS,O,O,X,X,X,X
LIZJOST,O,O,X,X,O,O
LIZSTJO,O,X,O,O,X,O
LIZSTOJ,O,X,O,O,X,X
LIZSJTO,X,X,O,X,X,O
LIZSJOT,O,O,X,X,X,O
LIZSOTJ,O,X,X,O,X,X
LIZSOJT,O,O,X,X,X,X
LIZOTJS,O,O,X,X,X,X
LIZOTSJ,O,O,X,X,X,X
LIZOJTS,O,O,X,X,X,X
LIZOJST,O,O,X,X,O,X
LIZOSTJ,O,X,X,O,O,X
LIZOSJT,O,O,X,X,O,X
LIOTJSZ,X,X,X,X,O,X
LIOTJZS,O,O,X,X,X,X
LIOTSJZ,X,X,X,O,O,X
LIOTSZJ,X,O,X,O,O,X
LIOTZJS,O,O,X,X,X,X
LIOTZSJ,O,O,X,X,X,X
LIOJTSZ,X,X,X,X,O,O
LIOJTZS,O,O,X,X,X,X
LIOJSTZ,X,X,O,O,O,O
LIOJSZT,X,X,X,X,O,O
LIOJZTS,O,O,X,X,X,X
LIOJZST,O,O,X,X,O,O
LIOSTJZ,X,X,O,O,O,O
LIOSTZJ,X,O,O,O,O,X
LIOSJTZ,X,X,O,O,O,O
LIOSJZT,X,X,X,X,O,O
LIOSZTJ,O,X,X,O,O,X
LIOSZJT,O,O,X,X,O,X
LIOZTJS,O,O,X,X,X,X
LIOZTSJ,O,O,X,X,X,X
LIOZJTS,O,O,X,X,X,X
LIOZJST,O,O,X,X,O,X
LIOZSTJ,O,X,X,O,O,X
LIOZSJT,O,O,X,X,O,X
LJTISZO,X,X,O,X,X,O
LJTISOZ,X,X,O,X,X,O
LJTIZSO,O,O,X,X,X,X
LJTIZOS,O,O,X,X,X,X
LJTIOSZ,X,X,O,X,O,O
LJTIOZS,O,O,X,X,X,X
LJTSIZO,X,X,O,X,X,O
LJTSIOZ,X,X,O,X,X,O
LJTSZIO,O,X,O,X,X,O
LJTSZOI,O,X,O,X,X,O
LJTSOIZ,X,X,O,X,X,O
LJTSOZI,O,X,O,X,X,O
LJTZISO,O,O,X,X,X,X
LJTZIOS,O,O,X,X,X,X
LJTZSIO,O,O,X,X,X,X
LJTZSOI,O,O,X,X,X,X
LJTZOIS,O,O,X,X,X,X
LJTZOSI,O,O,X,X,X,X
LJTOISZ,X,X,O,X,O,O
LJTOIZS,O,O,X,X,X,X
LJTOSIZ,X,X,O,X,O,O
LJTOSZI,O,X,O,X,O,O
LJTOZIS,O,O,X,X,X,X
LJTOZSI,O,O,X,X,X,X
LJITSZO,X,X,O,X,X,O
LJITSOZ,X,X,O,X,X,O
LJITZSO,O,O,X,X,X,X
LJITZOS,O,O,X,X,X,X
LJITOSZ,X,X,O,X,O,O
LJITOZS,O,O,X,X,X,X
LJISTZO,X,X,O,O,X,O
LJISTOZ,X,X,O,O,O,O
LJISZTO,X,X,O,X,X,O
LJISZOT,X,X,X,X,X,O
LJISOTZ,X,X,O,O,O,O
LJISOZT,X,X,X,X,O,O
LJIZTSO,O,X,X,X,X,X
LJIZTOS,O,O,X,X,X,X
LJIZSTO,X,X,O,X,X,O
LJIZSOT,O,O,X,X,X,O
LJIZOTS,O,O,X,X,X,X
LJIZOST,O,O,X,X,O,O
LJIOTSZ,X,X,X,X,O,O
LJIOTZS,O,O,X,X,X,X
LJIOSTZ,X,X,O,O,O,O
LJIOSZT,X,X,X,X,O,O
LJIOZTS,O,O,X,X,X,X
LJIOZST,O,O,X,X,O,O
LJSTIZO,X,X,O,O,X,O
LJSTIOZ,X,X,O,O,O,O
LJSTZIO,O,X,O,X,X,O
LJSTZOI,O,X,O,X,X,O
LJSTOIZ,X,X,O,O,O,O
LJSTOZI,O,X,O,X,O,O
LJSITZO,X,X,O,O,X,O
LJSITOZ,X,X,O,O,O,O
LJSIZTO,X,X,O,X,X,O
LJSIZOT,X,X,X,X,X,O
LJSIOTZ,X,X,O,O,O,O
LJSIOZT,X,X,X,X,O,O
LJSZTIO,X,X,O,X,X,O
LJSZTOI,X,X,O,X,X,O
LJSZITO,X,X,O,X,X,O
LJSZIOT,O,X,X,X,X,O
LJSZOTI,O,X,X,X,X,O
LJSZOIT,O,X,X,X,X,O
LJSOTIZ,X,X,O,O,O,O
LJSOTZI,O,X,O,X,O,O
LJSOITZ,X,X,O,O,O,O
LJSOIZT,X,X,X,X,O,O
LJSOZTI,O,X,X,X,O,O
LJSOZIT,O,X,X,X,O,O
LJZTISO,O,X,X,X,X,X
LJZTIOS,O,O,X,X,X,X
LJZTSIO,O,X,X,X,X,X
LJZTSOI,O,X,X,X,X,X
LJZTOIS,O,O,X,X,X,X
LJZTOSI,O,X,X,X,X,X
LJZITSO,O,X,X,X,X,X
LJZITOS,O,O,X,X,X,X
LJZISTO,X,X,O,X,X,O
LJZISOT,O,O,X,X,X,O
LJZIOTS,O,O,X,X,X,X
LJZIOST,O,O,X,X,O,O
LJZSTIO,X,X,O,X,X,O
LJZSTOI,X,X,O,X,X,O
LJZSITO,X,X,O,X,X,O
LJZSIOT,O,O,X,X,X,O
LJZSOTI,O,X,X,X,X,O
LJZSOIT,O,O,X,X,X,O
LJZOTIS,O,O,X,X,X,X
LJZOTSI,O,X,X,X,X,X
LJZOITS,O,O,X,X,X,X
LJZOIST,O,O,X,X,O,O
LJZOSTI,O,X,X,X,O,O
LJZOSIT,O,O,X,X,O,O
LJOTISZ,X,X,X,X,O,O
LJOTIZS,O,O,X,X,X,X
LJOTSIZ,X,X,X,X,O,O
LJOTSZI,O,X,X,X,O,O
LJOTZIS,O,O,X,X,X,X
LJOTZSI,O,O,X,X,X,X
LJOITSZ,X,X,X,X,O,O
LJOITZS,O,O,X,X,X,X
LJOISTZ,X,X,O,O,O,O
LJOISZT,X,X,X,X,O,O
LJOIZTS,O,O,X,X,X,X
LJOIZST,O,O,X,X,O,O
LJOSTIZ,X,X,O,O,O,O
LJOSTZI,O,X,O,X,O,O
LJOSITZ,X,X,O,O,O,O
LJOSIZT,X,X,X,X,O,O
LJOSZTI,O,X,X,X,O,O
LJOSZIT,O,X,X,X,O,O
LJOZTIS,O,O,X,X,X,X
LJOZTSI,O,X,X,X,X,X
LJOZITS,O,O,X,X,X,X
LJOZIST,O,O,X,X,O,O
LJOZSTI,O,X,X,X,O,O
LJOZSIT,O,O,X,X,O,O
LSTIJZO,X,X,O,O,X,O
LSTIJOZ,X,X,O,O,O,O
LSTIZJO,X,O,O,O,X,O
LSTIZOJ,X,O,O,O,X,X
LSTIOJZ,X,X,O,O,O,O
LSTIOZJ,X,O,O,O,O,X
LSTJIZO,X,X,O,O,X,O
LSTJIOZ,X,X,O,O,O,O
LSTJZIO,O,X,O,X,X,O
LSTJZOI,O,X,O,X,X,O
LSTJOIZ,X,X,O,O,O,O
LSTJOZI,O,X,O,X,O,O
LSTZIJO,O,O,O,O,X,O
LSTZIOJ,O,O,O,O,X,X
LSTZJIO,O,O,O,X,X,O
LSTZJOI,O,O,O,X,X,O
LSTZOIJ,O,O,O,O,X,X
LSTZOJI,O,O,O,X,X,X
LSTOIJZ,X,X,O,O,O,O
LSTOIZJ,X,O,O,O,O,X
LSTOJIZ,X,X,O,O,O,O
LSTOJZI,O,X,O,X,O,O
LSTOZIJ,O,O,O,O,O,X
LSTOZJI,O,O,O,X,O,X
LSITJZO,X,X,O,O,X,O
LSITJOZ,X,X,O,O,O,O
LSITZJO,X,O,O,O,X,O
LSITZOJ,X,O,O,O,X,X
LSITOJZ,X,X,O,O,O,O
LSITOZJ,X,O,O,O,O,X
LSIJTZO,X,X,O,O,X,O
LSIJTOZ,X,X,O,O,O,O
LSIJZTO,X,X,O,X,X,O
LSIJZOT,X,X,X,X,X,O
LSIJOTZ,X,X,O,O,O,O
LSIJOZT,X,X,X,X,O,O
LSIZTJO,O,X,O,O,X,O
LSIZTOJ,O,X,O,O,X,X
LSIZJTO,X,X,O,X,X,O
LSIZJOT,O,O,X,X,X,O
LSIZOTJ,O,X,X,O,X,X
LSIZOJT,O,O,X,X,X,X
LSIOTJZ,X,X,O,O,O,O
LSIOTZJ,X,O,O,O,O,X
LSIOJTZ,X,X,O,O,O,O
LSIOJZT,X,X,X,X,O,O
LSIOZTJ,O,X,X,O,O,X
LSIOZJT,O,O,X,X,O,X
LSJTIZO,X,X,O,O,X,O
LSJTIOZ,X,X,O,O,O,O
LSJTZIO,O,X,O,X,X,O
LSJTZOI,O,X,O,X,X,O
LSJTOIZ,X,X,O,O,O,O
LSJTOZI,O,X,O,X,O,O
LSJITZO,X,X,O,O,X,O
LSJITOZ,X,X,O,O,O,O
LSJIZTO,X,X,O,X,X,O
LSJIZOT,X,X,X,X,X,O
LSJIOTZ,X,X,O,O,O,O
LSJIOZT,X,X,X,X,O,O
LSJZTIO,X,X,O,X,X,O
LSJZTOI,X,X,O,X,X,O
LSJZITO,X,X,O,X,X,O
LSJZIOT,O,X,X,X,X,O
LSJZOTI,O,X,X,X,X,O
LSJZOIT,O,X,X,X,X,O
LSJOTIZ,X,X,O,O,O,O
LSJOTZI,O,X,O,X,O,O
LSJOITZ,X,X,O,O,O,O
LSJOIZT,X,X,X,X,O,O
LSJOZTI,O,X,X,X,O,O
LSJOZIT,O,X,X,X,O,O
LSZTIJO,O,X,O,O,X,O
LSZTIOJ,O,X,O,O,X,X
LSZTJIO,O,X,O,X,X,O
LSZTJOI,O,X,O,X,X,O
LSZTOIJ,O,X,O,O,X,X
LSZTOJI,O,X,O,X,X,X
LSZITJO,O,X,O,O,X,O
LSZITOJ,O,X,O,O,X,X
LSZIJTO,X,X,O,X,X,O
LSZIJOT,O,O,X,X,X,O
LSZIOTJ,O,X,X,O,X,X
LSZIOJT,O,O,X,X,X,X
LSZJTIO,X,X,O,X,X,O
LSZJTOI,X,X,O,X,X,O
LSZJITO,X,X,O,X,X,O
LSZJIOT,O,O,X,X,X,O
LSZJOTI,O,X,X,X,X,O
LSZJOIT,O,O,X,X,X,O
LSZOTIJ,O,X,X,O,X,X
LSZOTJI,O,X,X,X,X,X
LSZOITJ,O,X,X,O,X,X
LSZOIJT,O,O,X,X,X,X
LSZOJTI,O,X,X,X,X,X
LSZOJIT,O,O,X,X,X,X
LSOTIJZ,X,X,O,O,O,O
LSOTIZJ,X,O,O,O,O,X
LSOTJIZ,X,X,O,O,O,O
LSOTJZI,O,X,O,X,O,O
LSOTZIJ,O,O,O,O,O,X
LSOTZJI,O,O,O,X,O,X
LSOITJZ,X,X,O,O,O,O
LSOITZJ,X,O,O,O,O,X
LSOIJTZ,X,X,O,O,O,O
LSOIJZT,X,X,X,X,O,O
LSOIZTJ,O,X,X,O,O,X
LSOIZJT,O,O,X,X,O,X
LSOJTIZ,X,X,O,O,O,O
LSOJTZI,O,X,O,X,O,O
LSOJITZ,X,X,O,O,O,O
LSOJIZT,X,X,X,X,O,O
LSOJZTI,O,X,X,X,O,O
LSOJZIT,O,X,X,X,O,O
LSOZTIJ,O,X,X,O,O,X
LSOZTJI,O,X,X,X,O,X
LSOZITJ,O,X,X,O,O,X
LSOZIJT,O,O,X,X,O,X
LSOZJTI,O,X,X,X,O,X
LSOZJIT,O,O,X,X,O,X
LZTIJSO,O,O,X,X,X,X
LZTIJOS,O,O,X,X,X,X
LZTISJO,O,O,X,X,X,X
LZTISOJ,O,O,X,X,X,X
LZTIOJS,O,O,X,X,X,X
LZTIOSJ,O,O,X,X,X,X
LZTJISO,O,O,X,X,X,X
LZTJIOS,O,O,X,X,X,X
LZTJSIO,O,O,X,X,X,X
LZTJSOI,O,O,X,X,X,X
LZTJOIS,O,O,X,X,X,X
LZTJOSI,O,O,X,X,X,X
LZTSIJO,O,O,X,X,X,X
LZTSIOJ,O,O,X,X,X,X
LZTSJIO,O,O,X,X,X,X
LZTSJOI,O,O,X,X,X,X
LZTSOIJ,O,O,X,X,X,X
LZTSOJI,O,O,X,X,X,X
LZTOIJS,O,O,X,X,X,X
LZTOISJ,O,O,X,X,X,X
LZTOJIS,O,O,X,X,X,X
LZTOJSI,O,O,X,X,X,X
LZTOSIJ,O,O,X,X,X,X
LZTOSJI,O,O,X,X,X,X
LZITJSO,O,O,X,X,X,X
LZITJOS,O,O,X,X,X,X
LZITSJO,O,O,X,X,X,X
LZITSOJ,O,O,X,X,X,X
LZITOJS,O,O,X,X,X,X
LZITOSJ,O,O,X,X,X,X
LZIJTSO,O,O,X,X,X,X
LZIJTOS,O,O,X,X,X,X
LZIJSTO,X,X,O,X,X,O
LZIJSOT,O,O,X,X,X,O
LZIJOTS,O,O,X,X,X,X
LZIJOST,O,O,X,X,O,O
LZISTJO,O,X,O,O,X,O
LZISTOJ,O,X,O,O,X,X
LZISJTO,X,X,O,X,X,O
LZISJOT,O,O,X,X,X,O
LZISOTJ,O,X,X,O,X,X
LZISOJT,O,O,X,X,X,X
LZIOTJS,O,O,X,X,X,X
LZIOTSJ,O,O,X,X,X,X
LZIOJTS,O,O,X,X,X,X
LZIOJST,O,O,X,X,O,X
LZIOSTJ,O,X,X,O,O,X
LZIOSJT,O,O,X,X,O,X
LZJTISO,O,O,X,X,X,X
LZJTIOS,O,O,X,X,X,X
LZJTSIO,O,O,X,X,X,X
LZJTSOI,O,O,X,X,X,X
LZJTOIS,O,O,X,X,X,X
LZJTOSI,O,O,X,X,X,X
LZJITSO,O,O,X,X,X,X
LZJITOS,O,O,X,X,X,X
LZJISTO,X,X,O,X,X,O
LZJISOT,O,O,X,X,X,O
LZJIOTS,O,O,X,X,X,X
LZJIOST,O,O,X,X,O,O
LZJSTIO,X,X,O,X,X,O
LZJSTOI,X,X,O,X,X,O
LZJSITO,X,X,O,X,X,O
LZJSIOT,O,O,X,X,X,O
LZJSOTI,O,X,X,X,X,O
LZJSOIT,O,O,X,X,X,O
LZJOTIS,O,O,X,X,X,X
LZJOTSI,O,O,X,X,X,X
LZJOITS,O,O,X,X,X,X
LZJOIST,O,O,X,X,O,O
LZJOSTI,O,X,X,X,O,O
LZJOSIT,O,O,X,X,O,O
LZSTIJO,O,X,O,O,X,O
LZSTIOJ,O,X,O,O,X,X
LZSTJIO,O,X,O,X,X,O
LZSTJOI,O,X,O,X,X,O
LZSTOIJ,O,X,O,O,X,X
LZSTOJI,O,X,O,X,X,X
LZSITJO,O,X,O,O,X,O
LZSITOJ,O,X,O,O,X,X
LZSIJTO,X,X,O,X,X,O
LZSIJOT,O,O,X,X,X,O
LZSIOTJ,O,X,X,O,X,X
LZSIOJT,O,O,X,X,X,X
LZSJTIO,X,X,O,X,X,O
LZSJTOI,X,X,O,X,X,O
LZSJITO,X,X,O,X,X,O
LZSJIOT,O,O,X,X,X,O
LZSJOTI,O,X,X,X,X,O
LZSJOIT,O,O,X,X,X,O
LZSOTIJ,O,X,X,O,X,X
LZSOTJI,O,X,X,X,X,X
LZSOITJ,O,X,X,O,X,X
