sequence,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je8/IvhFugBzcBZkBN?mB/qB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je//IvhFRbBzcBelBU?hBKpBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFzaBCcB8hBd?mB+pB/qB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jem8IvhFxfBThBXgBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez6IvhFtgBmcBcmB6?pB/qBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeO/IvhFxbB8hBCgBd?mB/qBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFfgBzcBUhB+?pBtqBiqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcBXgBThBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcB0fBThBK?pBtqBXqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je+/IvhFTbBicB3hB8?pBtqBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFibBRhB3hBO?pB8pBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT7IvhFOhB8hBZkBf?lBtqB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeX8IvhF8hBifBRlBm?kBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBzcBigBU?hBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFXcB8hBzfBK?pBRqBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhF8kBRhB3hBK?pB9qBmqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBcgBKhBz?cBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFRbBzcBUhBi?kBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je8/IvhFzcB/pBxlBa?mB9qBOpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei6IvhFzcBRgBUhB2?pBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je6/IvhF/gBzcBZkBN?mB8pBuqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFxfBNmB/pBU?lBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFxbB8hBXgBd?mBKpBGqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhF0fBRhB3hB2?pBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeK/IvhFzcBUgBNmBx?pBuqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFUgBNmBxpB/?pBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhFTfBRhB3hB8?pBtqBOpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei/IvhFRhB0fB3hB9?qBmlBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JefAJvhFzcBUhB6pB9?qBZkBmqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeN/IvhF8hBRlBilBX?mBTpBGqB
LOSTJIZ,O,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LOSTJZI,O,O,X,X,O,O,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LOSTZIJ,O,O,X,X,O,O,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X
LOSTZJI,O,O,X,X,O,O,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
LOSITJZ,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
LOSITZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LOSIJTZ,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LOSIJZT,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LOSIZTJ,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LOSIZJT,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOSJTIZ,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LOSJTZI,X,O,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LOSJITZ,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LOSJIZT,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LOSJZTI,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LOSJZIT,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LOSZTIJ,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LOSZTJI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LOSZITJ,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LOSZIJT,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOSZJTI,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LOSZJIT,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LOZTIJS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O
LOZTISJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,O,O
LOZTJIS,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZTJSI,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
LOZTSIJ,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X
LOZTSJI,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
LOZITJS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O
LOZITSJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O
LOZIJTS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X
LOZIJST,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZISTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X
LOZISJT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZJTIS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZJTSI,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZJITS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZJIST,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZJSTI,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZJSIT,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZSTIJ,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZSTJI,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZSITJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZSIJT,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZSJTI,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LOZSJIT,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JTILSZO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JTILSOZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTILZSO,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JTILZOS,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X
JTILOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTILOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JTISLZO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JTISLOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTISZLO,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JTISZOL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JTISOLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTISOZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JTIZLSO,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JTIZLOS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X
JTIZSLO,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JTIZSOL,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JTIZOLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X
JTIZOSL,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JTIOLSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JTIOLZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X
JTIOSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTIOSZL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JTIOZLS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JTIOZSL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JTLISZO,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JTLISOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JTLIZSO,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JTLIZOS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JTLIOSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTLIOZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JTLSIZO,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JTLSIOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JTLSZIO,X,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X
JTLSZOI,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X
JTLSOIZ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JTLSOZI,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JTLZISO,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JTLZIOS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JTLZSIO,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X
JTLZSOI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JTLZOIS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JTLZOSI,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JTLOISZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTLOIZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JTLOSIZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JTLOSZI,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JTLOZIS,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JTLOZSI,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JTSILZO,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JTSILOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JTSIZLO,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JTSIZOL,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JTSIOLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JTSIOZL,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JTSLIZO,O,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTSLIOZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTSLZIO,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTSLZOI,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTSLOIZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTSLOZI,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTSZILO,O,X,O,X,O,O,O,X,X,O,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JTSZIOL,O,X,O,X,X,O,O,X,X,O,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JTSZLIO,O,X,O,X,O,O,O,X,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JTSZLOI,O,X,O,X,O,O,O,X,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTSZOIL,O,X,O,X,X,O,O,X,X,O,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JTSZOLI,O,X,O,X,O,O,O,X,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTSOILZ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JTSOIZL,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JTSOLIZ,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTSOLZI,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTSOZIL,O,X,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JTSOZLI,O,X,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTZILSO,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
JTZILOS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
JTZISLO,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JTZISOL,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JTZIOLS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X
JTZIOSL,X,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JTZLISO,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JTZLIOS,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X
JTZLSIO,X,O,O,X,O,X,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X
JTZLSOI,X,O,O,X,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JTZLOIS,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X
JTZLOSI,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JTZSILO,X,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JTZSIOL,X,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JTZSLIO,X,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JTZSLOI,X,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTZSOIL,X,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JTZSOLI,X,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTZOILS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X
JTZOISL,X,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JTZOLIS,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
JTZOLSI,X,O,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JTZOSIL,X,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JTZOSLI,X,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JTOILSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JTOILZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X
JTOISLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTOISZL,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JTOIZLS,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JTOIZSL,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JTOLISZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JTOLIZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JTOLSIZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JTOLSZI,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JTOLZIS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTOLZSI,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOSILZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JTOSIZL,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JTOSLIZ,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTOSLZI,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JTOSZIL,O,X,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JTOSZLI,O,X,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTOZILS,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JTOZISL,X,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JTOZLIS,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JTOZLSI,X,X,X,X,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOZSIL,X,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JTOZSLI,X,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JITLSZO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JITLSOZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JITLZSO,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JITLZOS,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X
JITLOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JITLOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JITSLZO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JITSLOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JITSZLO,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JITSZOL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JITSOLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JITSOZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JITZLSO,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JITZLOS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X
JITZSLO,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JITZSOL,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
