sequence,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je8/IvhFugBzcBZkBN?mB/qB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je//IvhFRbBzcBelBU?hBKpBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFzaBCcB8hBd?mB+pB/qB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jem8IvhFxfBThBXgBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez6IvhFtgBmcBcmB6?pB/qBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeO/IvhFxbB8hBCgBd?mB/qBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFfgBzcBUhB+?pBtqBiqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcBXgBThBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcB0fBThBK?pBtqBXqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je+/IvhFTbBicB3hB8?pBtqBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFibBRhB3hBO?pB8pBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT7IvhFOhB8hBZkBf?lBtqB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeX8IvhF8hBifBRlBm?kBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBzcBigBU?hBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFXcB8hBzfBK?pBRqBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhF8kBRhB3hBK?pB9qBmqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBcgBKhBz?cBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFRbBzcBUhBi?kBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je8/IvhFzcB/pBxlBa?mB9qBOpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei6IvhFzcBRgBUhB2?pBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je6/IvhF/gBzcBZkBN?mB8pBuqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFxfBNmB/pBU?lBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFxbB8hBXgBd?mBKpBGqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhF0fBRhB3hB2?pBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeK/IvhFzcBUgBNmBx?pBuqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFUgBNmBxpB/?pBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhFTfBRhB3hB8?pBtqBOpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei/IvhFRhB0fB3hB9?qBmlBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JefAJvhFzcBUhB6pB9?qBZkBmqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeN/IvhF8hBRlBilBX?mBTpBGqB
TIZLJSO,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIZLJOS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TIZLSJO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X
TIZLSOJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X
TIZLOJS,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X
TIZJLSO,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
TIZJSLO,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZJSOL,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X
TIZJOSL,X,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X
TIZSLOJ,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X,O,O,X,X,X
TIZSJLO,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TIZSJOL,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TIZSOLJ,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X
TIZSOJL,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TIZOLJS,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,O,X,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,O,O,X
TIZOJLS,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TIZOJSL,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
TIZOSJL,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOLJSZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIOLJZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X
TIOLSJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOLSZJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X
TIOLZJS,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,O,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X
TIOJLSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIOJLZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X
TIOJSLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOJZLS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
