sequence,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFzdB5jB3hBm?nBimBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhF8hBGeBamB3?iBToBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFlcBGeBZnBq?sB/tBTrB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhFTeBamBFiBf?sBGtB0sB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFlcBfjB6jBZ?nBTrBWyB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhFXdBTeBUhB1?nBStBmrB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFxdBzhBfoB6?oBOmBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhF5jBUhBaoB3?iBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JefCJvhFxdBUhBCjBT?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhF5jBUhB3iBa?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeU9IvhF5jBFhBynBf?sBmqBzsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeR9IvhFcjBFhBTiBf?sBSyBmqB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhFUhBxnBfoB6?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeU9IvhFFhBfsBxsBT?tBmqBCtB
TIJLOZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TIJSLOZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJSZLO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TIJSZOL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
TIJSOLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJZLSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJZSLO,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TIJZSOL,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TIJZOLS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TIJZOSL,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TIJOLSZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJOZLS,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOZSL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TISLJZO,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TISLJOZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TISLZJO,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TISLZOJ,X,O,O,X,X,X,O,O,X,O,O,O,X,O
TISLOJZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TISLOZJ,X,X,O,X,X,X,O,X,X,X,O,O,X,O
TISJLZO,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TISJLOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TISJZOL,O,O,X,X,O,X,X,X,X,O,X,X,X,O
TISJOLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TISZLJO,O,O,O,X,X,X,X,X,X,X,O,X,O,X
TISZLOJ,X,O,O,X,X,X,O,O,X,O,O,X,O,O
TISZJLO,O,O,X,X,O,X,X,X,X,X,O,X,O,X
TISZJOL,O,O,X,X,O,X,X,X,X,O,X,X,O,O
TISZOLJ,X,X,X,X,X,X,O,O,X,O,O,X,O,O
TISZOJL,O,O,X,X,X,X,X,X,X,O,X,X,O,O
TISOLJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,X,O,X,X,X,O,O,X,O
TISOJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TISOZLJ,X,X,X,X,X,X,O,X,X,O,O,X,X,O
TISOZJL,O,O,X,X,X,X,X,X,X,O,X,X,X,O
TIZLJSO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TIZLSJO,O,O,O,X,X,O,X,X,X,X,X,X,O,X
TIZLSOJ,X,O,O,X,X,O,X,O,O,O,X,X,O,X
TIZLOJS,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIZLOSJ,X,O,O,X,X,O,X,O,X,O,X,X,O,X
TIZJLSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIZJLOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZJSLO,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TIZJSOL,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TIZJOLS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TIZJOSL,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TIZSLJO,O,O,O,X,X,X,X,X,X,X,O,X,O,X
TIZSLOJ,X,O,O,X,X,X,O,O,O,O,O,X,O,O
TIZSJLO,O,O,X,X,O,X,X,X,X,X,O,X,O,X
TIZSJOL,O,O,X,X,O,X,X,X,X,O,X,X,O,O
TIZSOLJ,X,X,X,X,X,X,O,O,O,O,O,X,O,O
TIZSOJL,O,O,X,X,X,X,X,X,X,O,X,X,O,O
TIZOLJS,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZOLSJ,X,O,O,X,X,X,X,O,O,O,X,X,O,X
TIZOJLS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZOJSL,O,O,X,X,O,X,X,X,X,O,X,X,O,X
TIZOSLJ,X,X,X,X,X,X,O,O,O,O,X,X,O,X
TIZOSJL,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TIOLJSZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TIOLZSJ,X,O,O,X,X,X,X,O,O,X,X,X,X,X
TIOJLSZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOJLZS,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZLS,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIOSLZJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X
TIOSJLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSJZL,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TIOSZJL,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TIOZLJS,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TIOZLSJ,X,O,O,X,X,X,X,O,O,O,X,X,O,X
TIOZJLS,O,O,O,X,O,X,X,O,X,X,X,X,X,X
TIOZJSL,O,O,X,X,O,X,X,X,X,O,X,X,O,X
TIOZSLJ,X,X,O,X,X,X,O,O,O,O,X,X,O,X
TIOZSJL,O,O,X,X,O,X,X,X,X,O,X,X,O,X
TLIJSZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIJZSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLIJOSZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIJOZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,O,O,O,O,X,X,X,X,X,X,O,X,X,X
TLISJOZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X
TLISZJO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TLISZOJ,X,O,O,X,X,O,O,O,X,O,O,O,X,X
TLISOJZ,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TLISOZJ,X,O,O,X,X,O,O,X,X,X,O,O,X,X
TLIZJSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIZJOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLIZSJO,O,O,O,X,X,O,X,X,X,X,X,X,O,X
TLIZSOJ,X,O,O,X,X,O,X,O,O,O,X,O,O,X
TLIZOJS,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLIZOSJ,X,O,O,X,X,O,X,O,X,O,X,X,O,X
TLIOJSZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIOJZS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIOZJS,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLIOZSJ,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLJISZO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJIZSO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLJIOSZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJIOZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJSZIO,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJSZOI,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLJSOIZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJSOZI,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLJZISO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLJZSIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJZSOI,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TLJZOIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLJZOSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJOISZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJOIZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJOSZI,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJOZIS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJOZSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLSIJZO,O,O,O,O,X,X,X,X,X,X,O,X,X,X
TLSIJOZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X
TLSIZJO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TLSIZOJ,X,O,O,X,X,O,O,O,X,O,O,O,X,O
TLSIOJZ,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TLSIOZJ,X,O,O,X,X,O,O,X,X,X,O,O,X,O
TLSJIZO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TLSJIOZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TLSJZOI,O,O,O,O,X,O,O,X,X,X,X,O,X,X
TLSJOIZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X
TLSJOZI,O,O,O,O,X,O,O,X,X,X,X,O,X,X
TLSZIJO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TLSZIOJ,X,O,O,X,X,O,O,O,O,O,O,O,X,O
TLSZJIO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TLSZJOI,O,O,O,O,X,O,O,X,O,X,X,O,X,X
TLSZOIJ,X,O,O,X,X,O,O,O,O,O,O,O,X,X
TLSZOJI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
TLSOIJZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TLSOIZJ,X,O,O,X,X,O,O,X,X,X,O,O,X,X
TLSOJIZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TLSOJZI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
TLSOZIJ,X,O,O,X,X,O,O,X,X,X,O,O,X,X
TLSOZJI,X,O,O,X,X,O,O,X,X,X,X,O,X,X
TLZIJSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLZISJO,O,O,O,X,X,O,X,X,X,X,X,X,O,X
TLZISOJ,X,O,O,X,X,O,X,O,O,O,X,O,O,X
TLZIOJS,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLZIOSJ,X,O,O,X,X,O,X,O,X,O,X,X,O,X
TLZJISO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZJIOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLZJSIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,X,X,O,X,X,O,X,X,O,X,X
TLZJOIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLZJOSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,X,X,O,X,X,X,X,O,X,X,X
TLZSIOJ,X,O,O,X,X,O,O,O,O,O,O,O,X,O
TLZSJIO,O,O,O,X,X,O,X,X,X,X,O,X,X,X
TLZSJOI,O,O,O,X,X,O,O,X,O,X,X,O,X,X
TLZSOIJ,X,O,O,X,X,O,O,O,O,O,O,O,X,X
TLZSOJI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
TLZOIJS,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLZOISJ,X,O,O,X,X,O,X,O,O,O,X,X,O,X
TLZOJIS,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLZOJSI,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TLZOSIJ,X,O,O,X,X,O,O,O,O,O,X,O,X,X
TLZOSJI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
TLOIJSZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOIJZS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOISZJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOIZJS,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLOIZSJ,X,O,O,X,X,O,X,O,O,X,X,X,X,X
TLOJISZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLOJIZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOJSZI,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOJZIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLOJZSI,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TLOSIJZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLOSIZJ,X,O,O,X,X,O,O,X,X,X,X,O,X,X
TLOSJIZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLOSJZI,X,O,O,X,X,O,O,X,X,X,X,O,X,X
TLOSZIJ,X,O,O,X,X,O,O,X,O,X,X,O,X,X
TLOSZJI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
TLOZIJS,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLOZISJ,X,O,O,X,X,O,X,O,O,X,X,X,X,X
TLOZJIS,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLOZJSI,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TLOZSIJ,X,O,O,X,X,O,O,O,O,X,X,O,X,X
TLOZSJI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
TJILSZO,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TJILSOZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TJILZSO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJILZOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TJILOSZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJILOZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TJISLOZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJISZLO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TJISZOL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
TJISOLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJISOZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJIZLSO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJIZLOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TJIZSLO,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TJIZSOL,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TJIZOLS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJIZOSL,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TJIOLSZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TJIOLZS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJIOZLS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJIOZSL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJLISZO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLISOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLIZSO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLIZOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLIOSZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLIOZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLSIZO,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJLSIOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLSZIO,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJLSZOI,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TJLSOIZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLSOZI,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TJLZISO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLZIOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLZSIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLZSOI,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TJLZOIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLZOSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLOISZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJLOIZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLOSIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJLOSZI,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJLOZIS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLOZSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJSILZO,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TJSILOZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TJSIZLO,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJSIZOL,O,O,X,X,O,O,X,X,X,O,X,X,X,O
TJSIOLZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TJSIOZL,O,X,X,X,O,O,X,X,X,X,X,X,X,O
TJSLIZO,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TJSLIOZ,O,X,X,O,O,O,O,X,X,X,X,X,X,X
TJSLZIO,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TJSLZOI,O,O,X,O,O,O,O,X,X,X,X,O,X,X
TJSLOIZ,O,X,X,O,O,O,O,X,X,X,X,X,X,X
TJSLOZI,O,O,X,O,O,O,O,X,X,X,X,O,X,X
TJSZILO,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJSZIOL,O,O,X,X,O,O,X,X,X,O,X,X,X,O
TJSZLIO,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TJSZLOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X
TJSZOIL,O,O,X,X,O,O,X,X,X,O,X,X,X,X
TJSZOLI,O,O,X,O,O,O,O,X,X,X,X,X,X,X
TJSOILZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TJSOIZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,X,O,O,O,O,X,X,X,X,X,X,X
TJSOLZI,O,O,X,O,O,O,O,X,X,X,X,O,X,X
TJSOZIL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJSOZLI,O,O,X,O,O,O,O,X,X,X,X,X,X,X
TJZILSO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJZILOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TJZISLO,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TJZISOL,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TJZIOLS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJZIOSL,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TJZLISO,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJZLIOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJZLSIO,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJZLSOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X
TJZLOIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJZLOSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJZSILO,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJZSIOL,O,O,X,X,O,O,X,X,X,O,X,X,X,O
TJZSLIO,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TJZSLOI,O,O,X,X,O,O,O,X,O,X,X,X,X,X
TJZSOIL,O,O,X,X,O,O,X,X,X,O,X,X,X,X
TJZSOLI,O,O,X,X,O,O,O,X,O,X,X,X,X,X
TJZOILS,O,O,X,X,O,O,X,O,X,X,X,X,X,X
TJZOISL,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TJZOLIS,O,O,X,X,O,O,X,O,X,X,X,X,X,X
TJZOLSI,O,O,X,X,O,O,X,X,O,X,X,X,X,X
TJZOSIL,O,O,X,X,O,O,X,X,X,O,X,X,X,X
TJZOSLI,O,O,X,X,O,O,O,X,O,X,X,X,X,X
TJOILSZ,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TJOILZS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJOISLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJOISZL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJOIZLS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJOIZSL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJOLISZ,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TJOLIZS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJOLSIZ,O,O,X,O,O,O,X,X,X,X,X,X,X,X
