sequence,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbBmdBThBK?nBfoBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmbBRdB3hBa?oBTnBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbB/iBajBT?hB2sBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmbBSiBZjB3?hBTnBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbB2iBThB3?iBysBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbBidBThBm?nB3nBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFGdBZjBThB/?nBllBirB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhF3cBajBTiBO?rBlqBRxB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmdBZmBXnBz?sBqrBlqB
TIOJLSZ,O,O,O,O,O,O,X,O,X
TIOJLZS,O,O,O,O,O,O,X,O,X
TIOJSLZ,X,X,O,O,X,O,X,O,X
TIOJSZL,X,X,O,O,X,O,X,O,X
TIOJZLS,O,O,O,O,O,O,X,O,X
TIOJZSL,X,X,O,O,X,O,X,O,X
TIOSLJZ,O,O,X,O,O,X,X,X,O
TIOSLZJ,O,O,X,O,O,X,X,X,O
TIOSJLZ,X,O,O,O,X,O,X,X,O
TIOSJZL,O,O,O,O,X,O,X,X,O
TIOSZLJ,O,O,X,O,O,X,X,X,O
TIOSZJL,O,O,O,O,X,O,X,X,O
TIOZLJS,O,O,O,O,O,O,X,O,X
TIOZLSJ,O,O,X,O,O,X,X,X,X
TIOZJLS,O,O,O,O,O,O,X,O,X
TIOZJSL,X,X,O,O,X,O,X,O,X
TIOZSLJ,O,O,X,O,O,X,X,X,O
TIOZSJL,O,O,O,O,X,O,X,X,O
TLIJSZO,O,O,O,X,X,O,X,X,X
TLIJSOZ,O,O,O,X,X,X,X,X,X
TLIJZSO,O,O,O,X,X,O,X,X,X
TLIJZOS,X,O,X,O,O,O,X,X,X
TLIJOSZ,X,X,X,O,O,X,X,X,X
TLIJOZS,X,O,X,O,O,O,X,X,X
TLISJZO,O,O,X,X,X,X,X,X,X
TLISJOZ,O,O,X,X,X,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,O,X,O,X,X
TLISOJZ,O,O,X,X,O,X,O,X,X
TLISOZJ,O,O,X,X,O,X,O,X,X
TLIZJSO,O,O,O,X,X,O,X,X,X
TLIZJOS,X,O,X,O,O,O,X,X,X
TLIZSJO,O,O,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,O,X,O,X,X
TLIZOJS,O,O,O,O,O,O,X,X,X
TLIZOSJ,O,X,X,O,O,X,O,X,X
TLIOJSZ,O,X,O,O,O,O,X,X,X
TLIOJZS,O,O,O,O,O,O,X,X,X
TLIOSJZ,O,X,X,O,O,X,O,X,X
TLIOSZJ,O,X,X,O,O,X,O,X,X
TLIOZJS,O,O,O,O,O,O,X,X,X
TLIOZSJ,O,X,X,O,O,X,O,X,X
TLJISZO,O,O,O,X,X,O,X,X,X
TLJISOZ,O,O,O,X,X,X,X,X,X
TLJIZSO,O,O,O,X,X,O,X,X,X
TLJIZOS,X,O,X,O,O,O,X,X,X
TLJIOSZ,X,X,X,O,O,O,X,X,X
TLJIOZS,X,O,X,O,O,O,X,X,X
TLJSIZO,O,O,O,X,X,O,X,X,X
TLJSIOZ,O,O,O,X,X,X,X,X,X
TLJSZIO,O,O,O,X,X,O,X,X,X
TLJSZOI,O,O,O,X,O,O,X,X,X
TLJSOIZ,O,O,O,X,O,O,X,X,X
TLJSOZI,O,O,O,X,O,O,X,X,X
TLJZISO,O,O,O,X,X,O,X,X,X
TLJZIOS,X,O,X,O,O,O,X,X,X
TLJZSIO,O,O,O,X,X,O,X,X,X
TLJZSOI,O,O,O,X,O,O,X,X,X
TLJZOIS,O,O,O,O,O,O,X,X,X
TLJZOSI,O,O,O,O,O,O,X,X,X
TLJOISZ,O,O,O,O,O,O,X,X,X
TLJOIZS,O,O,O,O,O,O,X,X,X
TLJOSIZ,O,O,O,O,O,O,X,X,X
TLJOSZI,O,O,O,O,O,O,X,X,X
TLJOZIS,O,O,O,O,O,O,X,X,X
TLJOZSI,O,O,O,O,O,O,X,X,X
TLSIJZO,O,O,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,O,X,O,X,X
TLSIOJZ,O,O,X,X,O,X,O,X,X
TLSIOZJ,O,O,X,X,O,X,O,X,X
TLSJIZO,O,O,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,X,X,X,X,X,X
TLSJZIO,O,O,X,X,X,X,X,X,X
TLSJZOI,O,O,X,X,O,X,X,X,X
TLSJOIZ,O,O,X,X,O,X,X,X,X
TLSJOZI,O,O,X,X,O,X,X,X,X
TLSZIJO,O,O,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,O,X,O,X,X
TLSZJIO,O,O,X,X,X,X,X,X,X
TLSZJOI,O,O,X,X,O,X,X,X,X
TLSZOIJ,O,O,X,X,O,X,O,X,X
TLSZOJI,O,O,X,X,O,X,O,X,X
TLSOIJZ,O,O,X,X,O,X,O,X,X
TLSOIZJ,O,O,X,X,O,X,O,X,X
TLSOJIZ,O,O,X,X,O,X,O,X,X
TLSOJZI,O,O,X,X,O,X,O,X,X
TLSOZIJ,O,O,X,X,O,X,O,X,X
TLSOZJI,O,O,X,X,O,X,O,X,X
TLZIJSO,O,O,O,X,X,O,X,X,X
TLZIJOS,X,O,X,O,O,O,X,X,X
TLZISJO,O,O,X,X,X,X,X,X,X
TLZISOJ,O,O,X,X,O,X,O,X,X
TLZIOJS,O,O,O,O,O,O,X,X,X
TLZIOSJ,O,X,X,O,O,X,O,X,X
TLZJISO,O,O,O,X,X,O,X,X,X
TLZJIOS,X,O,X,O,O,O,X,X,X
TLZJSIO,O,O,O,X,X,O,X,X,X
TLZJSOI,O,O,O,X,O,O,X,X,X
TLZJOIS,O,O,O,O,O,O,X,X,X
TLZJOSI,O,O,O,O,O,O,X,X,X
TLZSIJO,O,O,X,X,X,X,X,X,X
TLZSIOJ,O,O,X,X,O,X,O,X,X
TLZSJIO,O,O,X,X,X,X,X,X,X
TLZSJOI,O,O,X,X,O,X,X,X,X
TLZSOIJ,O,O,X,X,O,X,O,X,X
TLZSOJI,O,O,X,X,O,X,O,X,X
TLZOIJS,O,O,O,O,O,O,X,X,X
TLZOISJ,O,O,X,O,O,X,O,X,X
TLZOJIS,O,O,O,O,O,O,X,X,X
TLZOJSI,O,O,O,O,O,O,X,X,X
TLZOSIJ,O,O,X,O,O,X,O,X,X
TLZOSJI,O,O,X,O,O,X,O,X,X
TLOIJSZ,O,O,O,O,O,O,X,X,X
TLOIJZS,O,O,O,O,O,O,X,X,X
TLOISJZ,O,O,X,O,O,X,O,X,X
TLOISZJ,O,O,X,O,O,X,O,X,X
TLOIZJS,O,O,O,O,O,O,X,X,X
TLOIZSJ,O,O,X,O,O,X,O,X,X
TLOJISZ,O,O,O,O,O,O,X,X,X
TLOJIZS,O,O,O,O,O,O,X,X,X
TLOJSIZ,O,O,O,O,O,O,X,X,X
TLOJSZI,O,O,O,O,O,O,X,X,X
TLOJZIS,O,O,O,O,O,O,X,X,X
TLOJZSI,O,O,O,O,O,O,X,X,X
TLOSIJZ,O,O,X,O,O,X,O,X,X
TLOSIZJ,O,O,X,O,O,X,O,X,X
TLOSJIZ,O,O,X,O,O,X,O,X,X
TLOSJZI,O,O,X,O,O,X,O,X,X
TLOSZIJ,O,O,X,O,O,X,O,X,X
TLOSZJI,O,O,X,O,O,X,O,X,X
TLOZIJS,O,O,O,O,O,O,X,X,X
TLOZISJ,O,O,X,O,O,X,O,X,X
TLOZJIS,O,O,O,O,O,O,X,X,X
TLOZJSI,O,O,O,O,O,O,X,X,X
TLOZSIJ,O,O,X,O,O,X,O,X,X
TLOZSJI,O,O,X,O,O,X,O,X,X
TJILSZO,O,O,O,X,X,O,X,X,X
TJILSOZ,O,O,O,X,X,X,X,X,X
TJILZSO,O,O,O,X,X,O,X,X,X
TJILZOS,X,O,X,O,O,O,X,X,X
TJILOSZ,X,X,X,O,O,O,X,X,X
TJILOZS,X,O,X,O,O,O,X,X,X
TJISLZO,O,O,O,X,X,O,X,X,X
TJISLOZ,O,O,O,X,X,X,X,X,X
TJISZLO,O,O,O,X,X,O,X,X,X
TJISZOL,O,O,O,O,X,X,X,O,X
TJISOLZ,X,O,O,O,X,X,X,O,X
TJISOZL,O,O,O,O,X,X,X,O,X
TJIZLSO,O,O,O,X,X,O,X,X,X
TJIZLOS,X,O,X,O,O,O,X,X,X
TJIZSLO,O,O,O,X,X,O,X,X,X
TJIZSOL,O,O,O,O,X,X,X,O,X
TJIZOLS,O,O,O,O,O,O,X,O,X
TJIZOSL,X,X,O,O,X,O,X,O,X
TJIOLSZ,O,O,O,O,O,O,X,O,X
TJIOLZS,O,O,O,O,O,O,X,O,X
TJIOSLZ,X,X,O,O,X,O,X,O,X
TJIOSZL,X,X,O,O,X,O,X,O,X
TJIOZLS,O,O,O,O,O,O,X,O,X
TJIOZSL,X,X,O,O,X,O,X,O,X
TJLISZO,O,O,O,X,X,O,X,X,X
TJLISOZ,O,O,O,X,X,X,X,X,X
TJLIZSO,O,O,O,X,X,O,X,X,X
TJLIZOS,X,O,X,O,O,O,X,X,X
TJLIOSZ,X,X,X,O,O,O,X,X,X
TJLIOZS,X,O,X,O,O,O,X,X,X
TJLSIZO,O,O,O,X,X,O,X,X,X
TJLSIOZ,O,O,O,X,X,X,X,X,X
TJLSZIO,O,O,O,X,X,O,X,X,X
TJLSZOI,O,O,O,X,O,O,X,X,X
TJLSOIZ,O,O,O,X,O,O,X,X,X
TJLSOZI,O,O,O,X,O,O,X,X,X
TJLZISO,O,O,O,X,X,O,X,X,X
TJLZIOS,X,O,X,O,O,O,X,X,X
TJLZSIO,O,O,O,X,X,O,X,X,X
TJLZSOI,O,O,O,X,O,O,X,X,X
TJLZOIS,O,O,O,O,O,O,X,X,X
TJLZOSI,O,O,O,O,O,O,X,X,X
TJLOISZ,O,O,O,O,O,O,X,X,X
TJLOIZS,O,O,O,O,O,O,X,X,X
TJLOSIZ,O,O,O,O,O,O,X,X,X
TJLOSZI,O,O,O,O,O,O,X,X,X
TJLOZIS,O,O,O,O,O,O,X,X,X
TJLOZSI,O,O,O,O,O,O,X,X,X
TJSILZO,O,O,O,X,X,O,X,X,X
TJSILOZ,O,O,O,X,X,X,X,X,X
TJSIZLO,O,O,O,X,X,O,X,X,X
TJSIZOL,O,O,O,O,X,X,X,O,X
TJSIOLZ,X,O,O,O,X,X,X,O,X
TJSIOZL,O,O,O,O,X,X,X,O,X
TJSLIZO,O,O,O,X,X,O,X,X,X
TJSLIOZ,O,O,O,X,X,X,X,X,X
TJSLZIO,O,O,O,X,X,O,X,X,X
TJSLZOI,O,O,O,X,X,O,X,X,X
TJSLOIZ,O,O,O,X,X,O,X,X,X
TJSLOZI,O,O,O,X,X,O,X,X,X
TJSZILO,O,O,O,X,X,O,X,X,X
TJSZIOL,O,O,O,O,X,X,X,O,X
TJSZLIO,O,O,O,X,X,O,X,X,X
TJSZLOI,O,O,O,X,X,O,X,X,X
TJSZOIL,O,O,O,O,X,O,X,X,X
TJSZOLI,O,O,O,O,X,O,X,X,X
TJSOILZ,X,O,O,O,X,O,X,X,X
TJSOIZL,O,O,O,O,X,O,X,X,X
TJSOLIZ,O,O,O,O,X,O,X,X,X
TJSOLZI,O,O,O,O,X,O,X,X,X
TJSOZIL,O,O,O,O,X,O,X,X,X
TJSOZLI,O,O,O,O,X,O,X,X,X
TJZILSO,O,O,O,X,X,O,X,X,X
TJZILOS,X,O,X,O,O,O,X,X,X
TJZISLO,O,O,O,X,X,O,X,X,X
TJZISOL,O,O,O,O,X,X,X,O,X
TJZIOLS,O,O,O,O,O,O,X,O,X
TJZIOSL,X,X,O,O,X,O,X,O,X
TJZLISO,O,O,O,X,X,O,X,X,X
TJZLIOS,X,O,X,O,O,O,X,X,X
TJZLSIO,O,O,O,X,X,O,X,X,X
TJZLSOI,O,O,O,X,O,O,X,X,X
TJZLOIS,O,O,O,O,O,O,X,X,X
TJZLOSI,O,O,O,O,O,O,X,X,X
TJZSILO,O,O,O,X,X,O,X,X,X
TJZSIOL,O,O,O,O,X,X,X,O,X
TJZSLIO,O,O,O,X,X,O,X,X,X
TJZSLOI,O,O,O,X,X,O,X,X,X
TJZSOIL,O,O,O,O,X,O,X,X,X
TJZSOLI,O,O,O,O,X,O,X,X,X
TJZOILS,O,O,O,O,O,O,X,X,X
TJZOISL,X,X,O,O,X,O,X,X,X
TJZOLIS,O,O,O,O,O,O,X,X,X
TJZOLSI,O,O,O,O,O,O,X,X,X
TJZOSIL,X,O,O,O,X,O,X,X,X
TJZOSLI,X,O,O,O,X,O,X,X,X
TJOILSZ,O,O,O,O,O,O,X,X,X
TJOILZS,O,O,O,O,O,O,X,X,X
TJOISLZ,X,X,O,O,X,O,X,X,X
TJOISZL,X,X,O,O,X,O,X,X,X
TJOIZLS,O,O,O,O,O,O,X,X,X
TJOIZSL,X,X,O,O,X,O,X,X,X
TJOLISZ,O,O,O,O,O,O,X,X,X
TJOLIZS,O,O,O,O,O,O,X,X,X
TJOLSIZ,O,O,O,O,O,O,X,X,X
TJOLSZI,O,O,O,O,O,O,X,X,X
TJOLZIS,O,O,O,O,O,O,X,X,X
TJOLZSI,O,O,O,O,O,O,X,X,X
TJOSILZ,X,O,O,O,X,O,X,X,X
TJOSIZL,X,O,O,O,X,O,X,X,X
TJOSLIZ,X,O,O,O,X,O,X,X,X
TJOSLZI,X,O,O,O,X,O,X,X,X
TJOSZIL,X,O,O,O,X,O,X,X,X
TJOSZLI,X,O,O,O,X,O,X,X,X
TJOZILS,O,O,O,O,O,O,X,X,X
TJOZISL,X,X,O,O,X,O,X,X,X
TJOZLIS,O,O,O,O,O,O,X,X,X
TJOZLSI,O,O,O,O,O,O,X,X,X
TJOZSIL,X,O,O,O,X,O,X,X,X
TJOZSLI,X,O,O,O,X,O,X,X,X
TSILJZO,O,O,X,X,X,X,X,X,X
TSILJOZ,O,O,X,X,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,X,X,X
TSILZOJ,O,O,X,X,O,X,O,X,X
TSILOJZ,O,O,X,X,O,X,O,X,X
TSILOZJ,O,O,X,X,O,X,O,X,X
TSIJLZO,O,O,O,X,X,O,X,X,X
TSIJLOZ,O,O,O,X,X,X,X,X,X
TSIJZLO,O,O,O,X,X,O,X,X,X
TSIJZOL,O,O,O,O,X,X,X,X,X
TSIJOLZ,X,O,O,O,X,X,X,X,X
TSIJOZL,O,O,O,O,X,X,X,X,X
TSIZLJO,O,O,X,X,X,X,X,X,X
TSIZLOJ,O,O,X,X,O,X,O,X,X
TSIZJLO,O,O,O,X,X,O,X,X,X
TSIZJOL,O,O,O,O,X,X,X,X,X
TSIZOLJ,O,O,X,O,O,X,X,X,X
TSIZOJL,O,O,O,O,X,O,X,X,X
TSIOLJZ,O,O,X,O,O,X,X,X,X
TSIOLZJ,O,O,X,O,O,X,X,X,X
TSIOJLZ,X,O,O,O,X,O,X,X,X
TSIOJZL,O,O,O,O,X,O,X,X,X
TSIOZLJ,O,O,X,O,O,X,X,X,X
TSIOZJL,O,O,O,O,X,O,X,X,X
TSLIJZO,O,O,X,X,X,X,X,X,X
TSLIJOZ,O,O,X,X,X,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,O,X,O,X,X
TSLIOJZ,O,O,X,X,O,X,O,X,X
TSLIOZJ,O,O,X,X,O,X,O,X,X
TSLJIZO,O,O,X,X,X,X,X,X,X
TSLJIOZ,O,O,X,X,X,X,X,X,X
TSLJZIO,O,O,X,X,X,X,X,X,X
TSLJZOI,O,O,X,X,O,X,X,X,X
TSLJOIZ,O,O,X,X,O,X,X,X,X
TSLJOZI,O,O,X,X,O,X,X,X,X
TSLZIJO,O,O,X,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,O,X,O,X,X
TSLZJIO,O,O,X,X,X,X,X,X,X
TSLZJOI,O,O,X,X,O,X,X,X,X
TSLZOIJ,O,O,X,X,O,X,O,X,X
TSLZOJI,O,O,X,X,O,X,O,X,X
TSLOIJZ,O,O,X,X,O,X,O,X,X
TSLOIZJ,O,O,X,X,O,X,O,X,X
TSLOJIZ,O,O,X,X,O,X,O,X,X
TSLOJZI,O,O,X,X,O,X,O,X,X
TSLOZIJ,O,O,X,X,O,X,O,X,X
TSLOZJI,O,O,X,X,O,X,O,X,X
TSJILZO,O,O,O,X,X,O,X,X,X
TSJILOZ,O,O,O,X,X,X,X,X,X
TSJIZLO,O,O,O,X,X,O,X,X,X
TSJIZOL,O,O,O,O,X,X,X,X,X
TSJIOLZ,X,O,O,O,X,X,X,X,X
TSJIOZL,O,O,O,O,X,X,X,X,X
TSJLIZO,O,O,O,X,X,O,X,X,X
TSJLIOZ,O,O,O,X,X,X,X,X,X
TSJLZIO,O,O,O,X,X,O,X,X,X
TSJLZOI,O,O,O,X,X,O,X,X,X
TSJLOIZ,O,O,O,X,X,O,X,X,X
TSJLOZI,O,O,O,X,X,O,X,X,X
TSJZILO,O,O,O,X,X,O,X,X,X
TSJZIOL,O,O,O,O,X,X,X,X,X
TSJZLIO,O,O,O,X,X,O,X,X,X
TSJZLOI,O,O,O,X,X,O,X,X,X
TSJZOIL,O,O,O,O,X,O,X,X,X
TSJZOLI,O,O,O,O,X,O,X,X,X
TSJOILZ,X,O,O,O,X,O,X,X,X
TSJOIZL,O,O,O,O,X,O,X,X,X
TSJOLIZ,O,O,O,O,X,O,X,X,X
TSJOLZI,O,O,O,O,X,O,X,X,X
TSJOZIL,O,O,O,O,X,O,X,X,X
TSJOZLI,O,O,O,O,X,O,X,X,X
TSZILJO,O,O,X,X,X,X,X,X,X
TSZILOJ,O,O,X,X,O,X,O,X,X
TSZIJLO,O,O,O,X,X,O,X,X,X
TSZIJOL,O,O,O,O,X,X,X,X,X
TSZIOLJ,O,O,X,O,O,X,X,X,X
TSZIOJL,O,O,O,O,X,O,X,X,X
TSZLIJO,O,O,X,X,X,X,X,X,X
TSZLIOJ,O,O,X,X,O,X,O,X,X
TSZLJIO,O,O,X,X,X,X,X,X,X
TSZLJOI,O,O,X,X,O,X,X,X,X
TSZLOIJ,O,O,X,X,O,X,O,X,X
TSZLOJI,O,O,X,X,O,X,O,X,X
TSZJILO,O,O,O,X,X,O,X,X,X
TSZJIOL,O,O,O,O,X,X,X,X,X
TSZJLIO,O,O,O,X,X,O,X,X,X
TSZJLOI,O,O,O,X,X,O,X,X,X
TSZJOIL,O,O,O,O,X,O,X,X,X
TSZJOLI,O,O,O,O,X,O,X,X,X
TSZOILJ,O,O,X,O,O,X,X,X,X
TSZOIJL,O,O,O,O,X,O,X,X,X
TSZOLIJ,O,O,X,O,O,X,X,X,X
TSZOLJI,O,O,X,O,O,X,X,X,X
TSZOJIL,O,O,O,O,X,O,X,X,X
TSZOJLI,O,O,O,O,X,O,X,X,X
TSOILJZ,O,O,X,O,O,X,X,X,X
TSOILZJ,O,O,X,O,O,X,X,X,X
TSOIJLZ,X,O,O,O,X,O,X,X,X
TSOIJZL,O,O,O,O,X,O,X,X,X
TSOIZLJ,O,O,X,O,O,X,X,X,X
TSOIZJL,O,O,O,O,X,O,X,X,X
TSOLIJZ,O,O,X,O,O,X,X,X,X
TSOLIZJ,O,O,X,O,O,X,X,X,X
TSOLJIZ,O,O,X,O,O,X,X,X,X
TSOLJZI,O,O,X,O,O,X,X,X,X
TSOLZIJ,O,O,X,O,O,X,X,X,X
TSOLZJI,O,O,X,O,O,X,X,X,X
TSOJILZ,X,O,O,O,X,O,X,X,X
TSOJIZL,O,O,O,O,X,O,X,X,X
TSOJLIZ,O,O,O,O,X,O,X,X,X
TSOJLZI,O,O,O,O,X,O,X,X,X
TSOJZIL,O,O,O,O,X,O,X,X,X
TSOJZLI,O,O,O,O,X,O,X,X,X
TSOZILJ,O,O,X,O,O,X,X,X,X
TSOZIJL,O,O,O,O,X,O,X,X,X
TSOZLIJ,O,O,X,O,O,X,X,X,X
TSOZLJI,O,O,X,O,O,X,X,X,X
TSOZJIL,O,O,O,O,X,O,X,X,X
TSOZJLI,O,O,O,O,X,O,X,X,X
TZILJSO,O,O,O,X,X,O,X,X,X
TZILJOS,X,O,X,O,O,O,X,X,X
TZILSJO,O,O,X,X,X,X,X,X,X
TZILSOJ,O,O,X,X,O,X,O,X,X
TZILOJS,O,O,O,O,O,O,X,O,X
TZILOSJ,O,X,X,O,O,X,O,X,X
TZIJLSO,O,O,O,X,X,O,X,X,X
TZIJLOS,X,O,X,O,O,O,X,X,X
TZIJSLO,O,O,O,X,X,O,X,X,X
TZIJSOL,O,O,O,O,X,X,X,O,X
TZIJOLS,O,O,O,O,O,O,X,O,X
TZIJOSL,X,X,O,O,X,O,X,O,X
TZISLJO,O,O,X,X,X,X,X,X,X
TZISLOJ,O,O,X,X,O,X,O,X,X
TZISJLO,O,O,O,X,X,O,X,X,X
TZISJOL,O,O,O,O,X,X,X,X,X
TZISOLJ,O,O,X,O,O,X,X,X,X
TZISOJL,O,O,O,O,X,O,X,X,X
TZIOLJS,O,O,O,O,O,O,X,O,X
