sequence,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBxcBTfBU?iBKrBfsB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgBxcB3fBU?iBOrBzrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBtgBXdBx?mB0mB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgBxcB3fBU?iBmrBTrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBXdBTfBx?mBirB0rB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBtgB0cBx?mBXnB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgB0cBTfBx?mBirBXsB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeO/IvhF8fBtgBXdBx?mBTmBywB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgB0cB3fBx?mBOsBTrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBxcBTfBc?mBXnBywB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jex6IvhF/hBTfB0gBN?nBCnB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFxcBTfBSmBN?nB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBxcBGhBN?nB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jey/IvhFxcBGhBNnBT?fB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jex/IvhFXhBNnBTfBC?iB0rBmqB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeN/IvhF/hB0gBZnBC?gBGiBTrB
TLJSZOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLJZIOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TLJZSIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TLJZSOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
TLJZOIS,X,X,O,X,X,O,O,O,X,X,O,X,O,O,X,X
TLJZOSI,X,X,O,X,X,O,O,O,X,X,O,X,O,O,X,X
TLJOISZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TLJOSIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJOZIS,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TLJOZSI,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TLSIJZO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TLSIJOZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSIZJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLSIZOJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
TLSIOJZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSIOZJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
TLSJIZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSJIOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSJZIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TLSJZOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSJOZI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSZIJO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TLSZIOJ,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TLSZJIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
TLSZJOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
TLSZOIJ,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TLSZOJI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
TLSOIJZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSOJZI,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLSOZIJ,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TLSOZJI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
TLZIJSO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLZIJOS,O,X,O,X,X,O,O,O,X,X,X,X,O,O,X,X
TLZISJO,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TLZISOJ,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O
TLZIOJS,O,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X
TLZIOSJ,X,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TLZJISO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLZJIOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TLZJSIO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLZJSOI,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TLZJOIS,X,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X
TLZJOSI,X,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X
TLZSIJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TLZSIOJ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TLZSJIO,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X
TLZSJOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
TLZSOIJ,O,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X
TLZSOJI,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,X
TLZOIJS,O,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X
TLZOISJ,X,X,O,X,O,O,O,O,X,X,O,O,X,X,X,O
TLZOJIS,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
TLZOJSI,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
TLZOSIJ,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O
TLZOSJI,O,X,O,X,O,O,O,O,X,X,O,O,O,X,X,X
TLOIJSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOIJZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TLOISJZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TLOISZJ,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X
TLOIZJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
TLOIZSJ,X,X,O,X,O,O,O,O,O,X,O,X,X,X,X,O
TLOJISZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOJIZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TLOJSIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOJSZI,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
TLOJZIS,O,X,O,X,O,O,O,X,X,X,O,O,O,X,X,X
TLOJZSI,O,X,O,X,O,O,O,X,X,X,O,O,O,X,X,X
TLOSIJZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TLOSIZJ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TLOSJZI,O,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X
TLOSZIJ,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TLOSZJI,O,O,O,X,O,O,O,O,O,O,X,X,O,X,X,X
TLOZIJS,O,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X
TLOZISJ,X,O,O,X,O,O,O,O,X,X,O,O,X,X,X,O
TLOZJIS,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
TLOZJSI,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
TLOZSIJ,O,O,O,X,X,O,X,X,O,X,O,O,X,X,X,O
TLOZSJI,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,X
TJILSZO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJILSOZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJILZSO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJILZOS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJILOSZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJILOZS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TJISLOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TJISZLO,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TJISZOL,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TJISOLZ,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJIZLSO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJIZLOS,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJIZSLO,X,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O
TJIZSOL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O
TJIZOLS,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X
TJIZOSL,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
TJIOLSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TJIOLZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TJIOSLZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TJIOZLS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TJIOZSL,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O
TJLISZO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJLISOZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLIZSO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLIZOS,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TJLIOZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TJLSIZO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLSZIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLSZOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJLSOIZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLSOZI,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLZISO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TJLZIOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TJLZSIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TJLZSOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
TJLZOIS,X,X,O,X,X,O,O,O,X,X,O,X,O,O,X,X
TJLZOSI,X,X,O,X,X,O,O,O,X,X,O,X,O,O,X,X
TJLOISZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TJLOIZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TJLOSIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TJLOSZI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TJLOZIS,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TJLOZSI,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TJSILZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSILOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSIZLO,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TJSIZOL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJSIOLZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJSLIZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSLIOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSLZIO,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TJSLZOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSLOZI,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSZILO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TJSZIOL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TJSZLIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TJSZLOI,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TJSZOIL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
