sequence,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhF0cBxiBfrB6?rBmnBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhF0cBxiBzlB+?rBinB3sB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhFlgB3hBKsBz?nBGmBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhFxdBUiBThBf?rBysBWxB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhFxdBumBXhBK?sBznBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeF8IvhFxdB6lB3hBO?sB8sBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhF0gBlhBmnBf?rB6rBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhFlgB3hBmnBS?rBTsBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhFlgB3hBOsB8?sBCmBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je37IvhF1hBxiBGmBK?sBznBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhF0gBlhBinBW?rB3sBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex8IvhFlgBUiBOoB6?rBfrBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je37IvhFqhB8lBusBZ?nBFoBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JelAJvhF3hBZnBznBG?mBUrBCtB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeX9IvhFlgBOoBxmBS?rBTsBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeG8IvhFlgBymBXjBU?rBRsBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JefCJvhFlgB6nBOoB0?mBzlBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeC9IvhFlgB2nB0mBz?lBXoBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JelAJvhFzhBXjB2rBC?mB0nBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JelAJvhFzhB0iB2rBC?mBXoBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeC9IvhFlgB/nBOoB0?mBzlBxwB
TISLZJO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TISLZOJ,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TISLOJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TISJOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TISZLJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TISZLOJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TISZJLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
TISZJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TISZOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOZLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZLJSO,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
TIZLJOS,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
TIZLSJO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TIZLSOJ,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TIZLOJS,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIZLOSJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
TIZJLOS,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TIZJSLO,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X
TIZJSOL,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TIZJOLS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
TIZJOSL,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X
TIZSLJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIZSLOJ,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZSJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZOLJS,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIZOLSJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZOSJL,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TIOLJSZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOLSZJ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOJLZS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOJSLZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TIOJSZL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X
TIOJZLS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOJZSL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TIOSLJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIOZLJS,O,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOZJSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIOZSJL,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
TLIJSZO,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIJOZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLISJZO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLISZOJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLISOJZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TLIZJOS,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TLIZSJO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIZSOJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIZOJS,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZSIO,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZSOI,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSJOZI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSOIZJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSOJZI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZIJOS,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZISJO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZISOJ,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZIOSJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,O,X,O,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TLZJIOS,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZJSIO,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TLZJSOI,X,O,O,O,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TLZJOIS,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZJOSI,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZSIJO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZSJIO,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZSJOI,O,O,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZSOIJ,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZSOJI,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZOJSI,X,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZOSIJ,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZOSJI,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOISZJ,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOSIZJ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOSJZI,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
