sequence,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeC8IvhFTdBejB?5jBVsBXrB0rB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeC8IvhFldB5jB?mhB8nBzrBXrB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeG8IvhFxdB0iB?6oBlmBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeSBJvhFmdB5jB?0iBlmBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8Jez7IvhFUdBGeB?1mB/oBSsBRwB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8Jei9IvhF5jBziB?lmBXsBuqBcrB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JefBJvhFSiBTeB?UnBGoBlmBRwB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeG8IvhFxdB6oB?0mBlnBzqBXsB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeR8IvhFGeBUhB?/oBTnBSwBFsB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8Jez7IvhFldB5jB?8nBmmBSwBfsB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeU9IvhFajB5jB?FhBWsBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeR9IvhFSjBFhB?8mBGoBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeaDJvhF5jBFhB?XiBcsBurBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeSBJvhF/iBTjB?UhBVsBGoBRwB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeR8IvhFGeBFiB?/oB6rBcsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeG8IvhF0mBxnB?6oBlnBzqBXsB
JLOITSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JLOITZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOISTZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JLOISZT,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X
JLOIZTS,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JLOIZST,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JLOSTIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOSTZI,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLOSITZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOSIZT,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JLOSZTI,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JLOSZIT,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JLOZTIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOZTSI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOZITS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOZIST,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
JLOZSTI,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLOZSIT,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
JSTILZO,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTILOZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTIZLO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JSTIZOL,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JSTIOLZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSTIOZL,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSTLIZO,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JSTLIOZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTLZIO,X,X,O,O,O,X,X,X,O,X,X,O,X,X,O,X
JSTLZOI,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X
JSTLOIZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSTLOZI,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JSTZILO,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSTZIOL,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JSTZLIO,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JSTZLOI,X,X,O,O,O,X,O,X,X,X,X,O,X,X,O,X
JSTZOIL,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JSTZOLI,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
JSTOILZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSTOIZL,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSTOLIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSTOLZI,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JSTOZIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTOZLI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSITLZO,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JSITLOZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSITZLO,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
JSITZOL,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
JSITOLZ,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JSITOZL,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JSILTZO,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JSILTOZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSILZTO,X,X,X,X,O,X,O,X,O,X,O,O,X,X,O,X
JSILZOT,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X
JSILOTZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSILOZT,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X
JSIZTLO,X,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X
JSIZTOL,X,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X
JSIZLTO,X,X,X,O,O,X,O,X,X,O,O,O,X,X,O,X
JSIZLOT,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
JSIZOTL,X,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X
JSIZOLT,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JSIOTLZ,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JSIOTZL,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JSIOLTZ,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JSIOLZT,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
JSIOZTL,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSIOZLT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSLTIZO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLTIOZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTZIO,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X
JSLTZOI,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X
JSLTOIZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLTOZI,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JSLITZO,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X
JSLITOZ,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JSLIZTO,X,X,O,X,O,X,O,X,O,X,O,O,X,X,O,X
JSLIZOT,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X
JSLIOTZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSLIOZT,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X
JSLZTIO,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X
JSLZTOI,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JSLZITO,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X
JSLZIOT,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JSLZOTI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X
JSLZOIT,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JSLOTIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLOTZI,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSLOITZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLOIZT,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JSLOZTI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X
JSLOZIT,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JSZTILO,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZTIOL,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JSZTLIO,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JSZTLOI,X,X,O,O,O,X,O,X,X,X,X,O,X,X,O,X
JSZTOIL,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JSZTOLI,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
JSZITLO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
JSZITOL,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
JSZILTO,X,X,X,O,O,X,O,X,X,O,X,O,X,X,O,X
JSZILOT,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JSZIOTL,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X
JSZIOLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZLTIO,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X
JSZLTOI,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X
JSZLITO,X,X,O,O,O,X,X,X,O,X,X,O,X,X,O,X
JSZLIOT,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JSZLOTI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X
JSZLOIT,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JSZOTIL,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JSZOTLI,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X
JSZOITL,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X
JSZOILT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZOLTI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X
JSZOLIT,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JSOTILZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOTIZL,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOTLZI,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSOTZIL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOITLZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOITZL,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOILTZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOILZT,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSOIZTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOIZLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOLTIZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOLTZI,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSOLITZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOLIZT,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JSOLZTI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X
JSOLZIT,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JSOZTIL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOZTLI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSOZITL,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JSOZILT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSOZLTI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X
JSOZLIT,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JZTILSO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JZTILOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZTISLO,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZTISOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLISO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZTLIOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTLSIO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZTLSOI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTLOIS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTLOSI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTSILO,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZTSIOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLIO,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
JZTSLOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTSOIL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOLI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTOILS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOISL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOLIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTOLSI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTOSIL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOSLI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITLSO,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X
JZITLOS,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,O
JZITSLO,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JZITSOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZITOLS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITOSL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILTSO,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X
JZILTOS,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,O
JZILSTO,X,X,X,O,X,X,O,O,X,O,O,X,O,X,X,X
JZILSOT,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
JZILOTS,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JZILOST,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZISTLO,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
JZISTOL,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZISLTO,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X,X
JZISLOT,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
JZISOTL,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JZISOLT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZIOTLS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOTSL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOLTS,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZIOLST,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZIOSTL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZIOSLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLTISO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X
JZLTIOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZLTSIO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X
JZLTSOI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
JZLTOIS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZLTOSI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZLITSO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JZLITOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZLISTO,X,X,O,O,X,X,X,O,X,O,O,O,O,X,X,X
JZLISOT,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
JZLIOTS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZLIOST,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZLSTIO,X,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X
JZLSTOI,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X
JZLSITO,X,X,O,O,X,X,X,O,X,O,X,O,O,X,O,X
JZLSIOT,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JZLSOTI,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JZLSOIT,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JZLOTIS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZLOTSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLOITS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZLOIST,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZLOSTI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLOSIT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZSTILO,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X
JZSTIOL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSTLIO,X,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X
JZSTLOI,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X
JZSTOIL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSTOLI,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JZSITLO,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X
JZSITOL,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JZSILTO,X,X,X,O,X,X,O,X,X,O,X,O,O,X,O,X
JZSILOT,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JZSIOTL,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZSIOLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSLTIO,X,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X
JZSLTOI,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X
JZSLITO,X,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X
JZSLIOT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSLOTI,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JZSLOIT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSOTIL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSOTLI,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZSOITL,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZSOILT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSOLTI,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JZSOLIT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZOTILS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTISL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTLIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOTLSI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOTSIL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSLI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOITLS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOITSL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOILTS,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZOILST,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZOISTL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOISLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOLTIS,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZOLTSI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOLITS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JZOLIST,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZOLSTI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOLSIT,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZOSTIL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTLI,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOSITL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOSILT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSLTI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSLIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTILSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTILZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOTISZL,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOTIZLS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTIZSL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTLISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTLSZI,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
JOTLZIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLZSI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSILZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTSIZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTSLIZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTSLZI,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
JOTSZIL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTZILS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZISL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZLIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZLSI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTZSIL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTZSLI,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOITLSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOITLZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X
JOITSZL,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOITZLS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOITZSL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILTSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOILTZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILSTZ,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JOILSZT,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X
JOILZTS,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOILZST,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOISTLZ,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JOISTZL,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JOISLTZ,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JOISLZT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JOISZTL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JOISZLT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JOIZTLS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOIZTSL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOIZLTS,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOIZLST,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOIZSTL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOIZSLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLTISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTSIZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLTSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOLTZIS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTZSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLITSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOLITZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLISTZ,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JOLISZT,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X
JOLIZTS,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOLIZST,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOLSTIZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOLSTZI,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JOLSITZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOLSIZT,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JOLSZTI,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JOLSZIT,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JOLZTIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLZTSI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLZITS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLZIST,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
