sequence,v115@7gC8GeD8EeE8FeF8BeD8Jel6IvhF3bBuhBciBZmBTl?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFTdBFgBXhB0hBmq?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Jel6IvhFRcBciBOlBThBfr?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFlbBGdBihBTlBxr?B3rB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBUgBFiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBUgBFiByqB+r?BTsB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFUgBFhBXiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFxbB3gBFiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBalBFiBGmBTn?BUrB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFxbB3gBFiByqB+r?BTsB,v115@7gC8GeD8EeE8FeF8BeD8JeR8IvhFciBFgBThBfrBmk?BCsB,v115@7gC8GeD8EeE8FeF8BeD8JeaBJvhFTdBFgBfrBUnB5m?BmpB
TILOJZS,O,O,X,O,X,X,X,X,X,X,X,X
TILOSJZ,O,O,X,O,X,X,X,X,X,X,X,X
TILOSZJ,O,X,O,O,X,X,X,X,X,X,X,X
TILOZJS,O,O,X,O,X,X,X,X,X,X,X,X
TILOZSJ,O,X,O,O,X,X,X,X,X,X,X,X
TIJLSZO,O,O,O,O,X,O,X,X,X,O,X,X
TIJLSOZ,X,O,O,X,X,X,X,X,X,O,X,X
TIJLZSO,O,O,O,O,X,O,X,X,X,O,X,X
TIJLZOS,O,O,O,O,X,O,X,X,X,X,X,X
TIJLOSZ,X,O,X,O,X,X,X,X,X,X,X,X
TIJLOZS,X,O,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,O,O,X,X,O,X,X,X,X,X,X
TIJSLOZ,X,O,O,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,O,X,X,X,O,O,X,X,X,X
TIJSZOL,O,O,O,X,X,X,O,X,X,X,X,X
TIJSOLZ,X,O,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,O,O,X,X,X,X,X,X,X,X,X
TIJZLSO,O,O,O,O,O,O,O,X,X,O,X,X
TIJZLOS,X,O,O,O,O,O,X,X,X,X,X,X
TIJZSLO,O,X,O,O,X,X,O,O,X,X,X,X
TIJZSOL,O,O,O,X,X,X,O,X,X,X,X,X
TIJZOLS,X,O,O,O,X,X,X,X,X,X,X,X
TIJZOSL,O,O,O,X,X,X,O,X,X,X,X,X
TIJOLSZ,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,O,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,X,O,X,X,X,X,X,X,X,X
TIJOSZL,X,O,X,O,X,X,X,X,X,X,X,X
TIJOZLS,X,O,X,O,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,O,X,X,X,X,X,X,X,X
TISLJZO,O,O,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,O,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,O,X,O,X,X,X,X,X,X,O
TISLZOJ,O,X,O,X,O,X,X,X,X,X,O,O
TISLOJZ,X,O,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,O,X,X,X,X,X,X,X,O,X
TISJLZO,O,O,X,X,X,O,X,X,X,X,X,X
TISJLOZ,X,O,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,X,X,X,O,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,O,X,X,X,X,X
TISJOLZ,X,O,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,O,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,X,O,X,X,X,O,X,X,X,X,O
TISZLOJ,O,X,O,X,X,X,O,X,X,X,O,O
TISZJLO,O,X,O,X,X,X,O,X,X,X,X,X
TISZJOL,O,X,O,X,X,X,O,X,X,X,X,X
TISZOLJ,X,X,O,X,X,X,O,X,X,X,O,O
TISZOJL,O,X,O,X,X,X,O,X,X,X,O,X
TISOLJZ,X,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,O,X,X,X,X,X,X,X,O,O
TISOZJL,O,X,O,X,X,X,X,X,X,X,O,X
TIZLJSO,O,O,O,O,O,O,X,X,O,X,X,X
TIZLJOS,O,O,O,O,O,O,X,X,O,X,X,X
TIZLSJO,O,X,O,O,O,O,O,O,O,X,X,X
TIZLSOJ,O,X,O,X,O,X,O,O,X,X,O,X
TIZLOJS,O,O,O,O,O,X,X,X,X,X,X,X
TIZLOSJ,O,X,O,X,O,X,X,X,X,X,X,X
TIZJLSO,O,O,O,O,O,X,O,X,O,O,X,X
TIZJLOS,O,O,O,O,O,X,X,X,O,X,X,X
TIZJSLO,O,X,O,O,X,X,O,O,O,X,X,X
TIZJSOL,O,O,O,X,X,X,O,X,X,X,X,X
TIZJOLS,O,O,O,O,X,X,X,X,X,X,X,X
TIZJOSL,O,O,O,X,X,X,O,X,X,X,X,X
TIZSLJO,O,X,O,O,X,X,O,X,O,X,X,X
TIZSLOJ,O,X,O,X,X,X,O,X,X,X,O,X
TIZSJLO,O,X,O,O,X,X,O,X,O,X,X,X
TIZSJOL,O,X,O,X,X,X,O,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,X,O,X,X,X,O,X
TIZSOJL,O,X,O,X,X,X,O,X,X,X,O,X
TIZOLJS,O,O,O,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,O,X,X,X,X,X,X,X,X,X
TIZOJLS,O,O,O,O,X,X,X,X,X,X,X,X
TIZOJSL,O,O,O,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,O,X,X,X,O,X,X,X,X,X
TIZOSJL,O,X,O,X,X,X,O,X,X,X,X,X
TIOLJSZ,O,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOLZJS,O,O,X,O,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,O,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,O,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,O,X,X,X,X,X,X,X,X
TIOJZLS,O,O,X,O,X,X,X,X,X,X,X,X
TIOJZSL,O,O,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSJZL,O,O,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,O,X,X,X,X,X,X,X,O
TIOSZJL,O,X,X,O,X,X,X,X,X,X,X,X
TIOZLJS,O,O,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOZJLS,O,O,X,O,X,X,X,X,X,X,X,X
TIOZJSL,O,O,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOZSJL,O,X,X,O,X,X,X,X,X,X,X,X
TLIJSZO,O,O,O,X,O,X,X,O,X,X,X,X
TLIJSOZ,X,O,O,X,X,X,X,O,X,X,X,X
TLIJZSO,O,O,O,X,O,X,X,O,X,X,X,X
TLIJZOS,O,O,O,X,O,X,X,X,X,X,X,X
TLIJOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,O,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,O,X,X,X,X,X,O,X,X,X,X
TLISJOZ,X,O,X,X,X,X,X,O,X,X,X,X
TLISZJO,O,X,O,X,O,X,X,O,X,X,X,X
TLISZOJ,O,X,O,X,O,X,X,O,X,X,O,X
TLISOJZ,X,O,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,O,X,X,X,X,O,X,X,O,X
TLIZJSO,O,O,O,X,O,X,X,X,O,X,X,X
TLIZJOS,O,O,O,X,O,X,X,X,O,X,X,X
TLIZSJO,O,X,O,X,O,X,X,O,O,X,X,X
TLIZSOJ,O,X,O,X,O,X,X,O,X,X,O,X
TLIZOJS,O,O,O,X,O,X,X,X,X,X,X,X
TLIZOSJ,O,X,O,X,O,X,X,X,X,X,X,X
TLIOJSZ,O,O,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,O,X,X,X,X,X,X,X,X,X
TLIOZJS,O,O,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,O,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,O,X,O,O,X,O,X,O,X,X
TLJISOZ,X,O,O,X,X,X,X,O,X,O,X,X
TLJIZSO,O,O,O,X,O,O,X,O,X,O,X,X
TLJIZOS,O,O,O,X,O,O,X,X,X,X,X,X
TLJIOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,O,O,X,O,O,X,O,X,O,X,X
TLJSIOZ,X,O,O,X,X,X,X,O,X,O,X,X
TLJSZIO,X,O,O,X,O,O,X,O,X,O,X,X
TLJSZOI,X,O,O,X,O,O,X,O,X,O,O,X
TLJSOIZ,X,O,O,X,X,X,X,O,X,O,X,X
TLJSOZI,X,O,O,X,O,O,X,O,X,O,O,X
TLJZISO,O,O,O,X,O,O,X,O,O,O,X,X
TLJZIOS,O,O,O,X,O,O,X,X,O,X,X,X
TLJZSIO,O,O,O,X,O,O,X,O,O,O,X,X
TLJZSOI,O,O,O,X,O,O,X,O,O,O,O,X
TLJZOIS,O,O,O,X,O,O,X,X,O,X,X,X
TLJZOSI,O,O,O,X,O,O,X,O,O,O,X,X
TLJOISZ,O,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,O,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,X,X,X,X,O,X,O,X,X
TLJOSZI,O,O,O,X,O,O,X,O,X,O,X,X
TLJOZIS,O,O,O,X,O,O,X,X,X,X,X,X
TLJOZSI,O,O,O,X,O,O,X,O,X,O,X,X
TLSIJZO,O,O,X,X,X,X,X,O,X,O,X,X
TLSIJOZ,X,O,X,X,X,X,X,O,X,O,X,X
TLSIZJO,O,X,O,X,O,X,X,O,X,O,X,O
TLSIZOJ,O,X,O,X,O,X,X,O,X,X,O,O
TLSIOJZ,X,O,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,O,X,X,X,X,O,X,X,O,X
TLSJIZO,X,O,O,X,O,O,X,O,X,O,X,X
TLSJIOZ,X,O,O,X,X,X,X,O,X,O,X,X
TLSJZIO,X,O,O,X,O,O,X,O,X,O,X,O
TLSJZOI,X,O,O,X,O,O,X,O,X,O,O,O
TLSJOIZ,X,O,O,X,X,X,X,O,X,O,X,X
TLSJOZI,X,O,O,X,O,O,X,O,X,O,O,X
TLSZIJO,O,X,O,X,O,O,X,O,O,O,X,O
TLSZIOJ,O,X,O,X,O,X,X,O,X,X,O,O
TLSZJIO,O,X,O,X,O,O,X,O,O,O,X,O
TLSZJOI,O,X,O,X,O,O,X,O,O,O,O,O
TLSZOIJ,O,X,O,X,O,X,X,O,X,X,O,O
TLSZOJI,O,X,O,X,O,X,X,O,O,X,O,O
TLSOIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,O,X,X,X,X,O,X,X,O,X
TLSOJIZ,O,O,O,X,X,X,X,O,X,X,X,X
TLSOJZI,O,O,O,X,X,X,X,O,X,X,O,X
TLSOZIJ,O,X,O,X,O,X,X,O,X,X,O,O
TLSOZJI,O,X,O,X,O,X,X,O,X,X,O,O
TLZIJSO,O,O,O,X,O,O,X,X,O,X,X,X
TLZIJOS,O,O,O,X,O,O,X,X,O,X,X,X
TLZISJO,O,X,O,X,O,O,X,O,O,X,X,X
TLZISOJ,O,X,O,X,O,X,X,O,X,X,O,X
TLZIOJS,O,O,O,X,O,X,X,X,X,X,X,X
TLZIOSJ,O,X,O,X,O,X,X,X,X,X,X,X
TLZJISO,O,O,O,X,O,O,X,O,O,O,X,X
TLZJIOS,O,O,O,X,O,O,X,X,O,X,X,X
TLZJSIO,O,O,O,X,O,O,X,O,O,O,X,X
TLZJSOI,O,O,O,X,O,O,X,O,O,O,O,X
TLZJOIS,O,O,O,X,O,O,X,X,O,X,X,X
TLZJOSI,O,O,O,X,O,O,X,O,O,O,X,X
TLZSIJO,O,X,O,X,O,O,X,O,O,O,X,X
TLZSIOJ,O,X,O,X,O,X,X,O,X,X,O,X
TLZSJIO,O,X,O,X,O,O,X,O,O,O,X,X
TLZSJOI,O,X,O,X,O,O,X,O,O,O,O,X
TLZSOIJ,O,X,O,X,O,X,X,O,X,X,O,X
TLZSOJI,O,X,O,X,O,X,X,O,O,X,O,X
TLZOIJS,O,O,O,X,O,X,X,X,X,X,X,X
TLZOISJ,O,X,O,X,O,X,X,X,X,X,X,X
TLZOJIS,O,O,O,X,O,X,X,X,O,X,X,X
TLZOJSI,O,O,O,X,O,X,X,X,O,X,X,X
TLZOSIJ,O,X,O,X,O,X,X,O,X,X,O,X
TLZOSJI,O,X,O,X,O,X,X,O,O,X,O,X
TLOIJSZ,O,O,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,O,X,X,X,X,X,X,X,X,X
TLOIZJS,O,O,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,O,X,X,X,X,X,X,X,X,X
TLOJISZ,O,O,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,O,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,O,X,X,X,X,O,X,X,X,X
TLOJSZI,O,O,O,X,O,X,X,O,X,X,X,X
TLOJZIS,O,O,O,X,O,X,X,X,X,X,X,X
TLOJZSI,O,O,O,X,O,X,X,O,X,X,X,X
TLOSIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,O,X,X,X,X,O,X,X,O,X
TLOSJIZ,O,O,X,X,X,X,X,O,X,X,X,X
TLOSJZI,O,O,O,X,X,X,X,O,X,X,O,X
TLOSZIJ,O,X,O,X,O,X,X,O,X,X,O,O
TLOSZJI,O,X,O,X,O,X,X,O,X,X,O,O
TLOZIJS,O,O,O,X,O,X,X,X,X,X,X,X
TLOZISJ,O,X,O,X,O,X,X,X,X,X,X,X
TLOZJIS,O,O,O,X,O,X,X,X,O,X,X,X
TLOZJSI,O,O,O,X,O,X,X,X,O,X,X,X
TLOZSIJ,O,X,O,X,O,X,X,O,X,X,O,X
TLOZSJI,O,X,O,X,O,X,X,O,O,X,O,X
TJILSZO,O,O,O,O,X,O,X,X,X,O,X,X
TJILSOZ,X,O,O,X,X,X,X,X,X,O,X,X
TJILZSO,O,O,O,O,X,O,X,X,X,O,X,X
TJILZOS,O,O,O,O,X,O,X,X,X,X,X,X
TJILOSZ,X,O,X,O,X,X,X,X,X,X,X,X
TJILOZS,X,O,X,O,X,X,X,X,X,X,X,X
TJISLZO,O,O,O,X,X,O,X,X,X,X,X,X
TJISLOZ,X,O,O,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,O,X,X,X,O,O,X,X,X,X
TJISZOL,O,O,O,X,X,X,O,X,X,X,X,X
TJISOLZ,X,O,X,X,X,X,X,X,X,X,X,X
TJISOZL,X,O,O,X,X,X,X,X,X,X,X,X
TJIZLSO,O,O,O,O,O,O,O,X,X,O,X,X
TJIZLOS,X,O,O,O,O,O,X,X,X,X,X,X
TJIZSLO,O,X,O,O,X,X,O,O,X,X,X,X
TJIZSOL,O,O,O,X,X,X,O,X,X,X,X,X
TJIZOLS,X,O,O,O,X,X,X,X,X,X,X,X
TJIZOSL,O,O,O,X,X,X,O,X,X,X,X,X
TJIOLSZ,X,O,X,X,X,X,X,X,X,X,X,X
TJIOLZS,X,O,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,X,O,X,O,X,X,X,X,X,X,X,X
TJIOSZL,X,O,X,O,X,X,X,X,X,X,X,X
TJIOZLS,X,O,X,O,X,X,X,X,X,X,X,X
TJIOZSL,X,O,X,O,X,X,X,X,X,X,X,X
TJLISZO,O,O,O,X,O,O,X,O,X,O,X,X
TJLISOZ,X,O,O,X,X,X,X,O,X,O,X,X
TJLIZSO,O,O,O,X,O,O,X,O,X,O,X,X
TJLIZOS,O,O,O,X,O,O,X,X,X,X,X,X
TJLIOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,O,X,X,X,X,X,X,X,X,X,X
TJLSIZO,X,O,O,X,O,O,X,O,X,O,X,X
TJLSIOZ,X,O,O,X,X,X,X,O,X,O,X,X
TJLSZIO,X,O,O,X,O,O,O,O,X,O,X,X
TJLSZOI,X,O,O,X,O,O,O,O,X,O,O,X
TJLSOIZ,X,O,O,X,X,X,X,O,X,O,X,X
TJLSOZI,X,O,O,X,O,O,X,O,X,O,O,X
TJLZISO,O,O,O,X,O,O,O,O,O,O,X,X
TJLZIOS,O,O,O,X,O,O,X,X,O,X,X,X
TJLZSIO,O,O,O,X,O,O,O,O,O,O,X,X
TJLZSOI,O,O,O,X,O,O,O,O,O,O,O,X
TJLZOIS,O,O,O,X,O,O,X,X,O,X,X,X
TJLZOSI,O,O,O,X,O,O,X,O,O,O,X,X
TJLOISZ,O,O,X,X,X,X,X,X,X,X,X,X
TJLOIZS,O,O,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,O,O,X,X,X,X,O,X,O,X,X
TJLOSZI,O,O,O,X,O,O,X,O,X,O,X,X
TJLOZIS,O,O,O,X,O,O,X,X,X,X,X,X
TJLOZSI,O,O,O,X,O,O,X,O,X,O,X,X
TJSILZO,X,O,O,X,X,O,X,X,X,X,X,X
TJSILOZ,X,O,O,X,X,X,X,X,X,X,X,X
TJSIZLO,X,X,O,X,X,X,O,O,X,X,X,X
TJSIZOL,X,O,O,X,X,X,O,X,X,X,X,X
TJSIOLZ,X,O,X,X,X,X,X,X,X,X,X,X
TJSIOZL,X,O,O,X,X,X,X,X,X,X,X,X
TJSLIZO,X,O,O,X,X,O,X,X,X,O,X,X
TJSLIOZ,X,O,O,X,X,X,X,X,X,O,X,X
TJSLZIO,X,O,O,X,O,O,O,O,X,O,X,O
TJSLZOI,X,O,O,X,O,O,O,O,X,O,O,O
TJSLOIZ,X,O,O,X,X,X,X,X,X,O,X,X
TJSLOZI,X,O,O,X,X,O,X,X,X,O,O,X
TJSZILO,X,X,O,X,X,X,O,O,X,X,X,X
TJSZIOL,X,O,O,X,X,X,O,X,X,X,X,X
TJSZLIO,X,X,O,X,X,O,O,O,X,O,X,O
TJSZLOI,X,X,O,X,X,O,O,O,X,O,O,O
TJSZOIL,X,O,O,X,X,X,O,X,X,X,O,X
TJSZOLI,X,O,O,X,X,X,O,O,X,X,O,O
TJSOILZ,X,O,X,X,X,X,X,X,X,X,X,X
TJSOIZL,X,O,O,X,X,X,X,X,X,X,X,X
TJSOLIZ,X,O,O,X,X,X,X,X,X,X,X,X
TJSOLZI,X,O,O,X,X,O,X,X,X,X,X,X
TJSOZIL,X,O,O,X,X,X,O,X,X,X,O,X
TJSOZLI,X,O,O,X,X,X,O,O,X,X,O,O
TJZILSO,O,O,O,O,O,O,O,X,O,O,X,X
TJZILOS,O,O,O,O,O,O,X,X,O,X,X,X
TJZISLO,O,X,O,O,X,X,O,O,O,X,X,X
TJZISOL,O,O,O,X,X,X,O,X,X,X,X,X
TJZIOLS,O,O,O,O,X,X,X,X,X,X,X,X
TJZIOSL,O,O,O,O,X,X,O,X,X,X,X,X
TJZLISO,O,O,O,O,O,O,O,O,O,O,X,X
TJZLIOS,O,O,O,O,O,O,X,X,O,X,X,X
TJZLSIO,O,O,O,X,O,O,O,O,O,O,X,X
TJZLSOI,O,O,O,X,O,O,O,O,O,O,O,X
TJZLOIS,O,O,O,O,O,O,X,X,O,X,X,X
TJZLOSI,O,O,O,X,O,O,X,O,O,O,X,X
TJZSILO,O,X,O,O,X,X,O,O,O,X,X,X
TJZSIOL,O,O,O,X,X,X,O,X,X,X,X,X
TJZSLIO,O,X,O,X,X,O,O,O,O,O,X,X
TJZSLOI,O,X,O,X,X,O,O,O,O,O,O,X
TJZSOIL,O,O,O,O,X,X,O,X,X,X,O,X
TJZSOLI,O,O,O,X,X,X,O,O,O,X,O,X
TJZOILS,O,O,O,O,X,X,X,X,X,X,X,X
TJZOISL,O,O,O,O,X,X,O,X,X,X,X,X
TJZOLIS,O,O,O,O,X,O,X,X,O,X,X,X
TJZOLSI,O,O,O,X,X,O,X,X,O,O,X,X
TJZOSIL,O,O,O,O,X,X,O,X,X,X,X,X
TJZOSLI,O,O,O,X,X,X,O,O,O,X,X,X
TJOILSZ,O,O,X,X,X,X,X,X,X,X,X,X
TJOILZS,O,O,X,O,X,X,X,X,X,X,X,X
TJOISLZ,O,O,X,O,X,X,X,X,X,X,X,X
TJOISZL,O,O,X,O,X,X,X,X,X,X,X,X
TJOIZLS,O,O,X,O,X,X,X,X,X,X,X,X
TJOIZSL,O,O,X,O,X,X,X,X,X,X,X,X
TJOLISZ,O,O,X,X,X,X,X,X,X,X,X,X
TJOLIZS,O,O,X,X,X,X,X,X,X,X,X,X
TJOLSIZ,O,O,O,X,X,X,X,X,X,O,X,X
TJOLSZI,O,O,O,X,X,O,X,X,X,O,X,X
TJOLZIS,O,O,O,O,X,O,X,X,X,X,X,X
TJOLZSI,O,O,O,X,X,O,X,X,X,O,X,X
TJOSILZ,O,O,X,X,X,X,X,X,X,X,X,X
TJOSIZL,O,O,O,X,X,X,X,X,X,X,X,X
TJOSLIZ,O,O,O,X,X,X,X,X,X,X,X,X
TJOSLZI,O,O,O,X,X,O,X,X,X,X,X,X
TJOSZIL,O,O,O,O,X,X,O,X,X,X,X,X
TJOSZLI,O,O,O,X,X,X,O,O,X,X,X,O
TJOZILS,O,O,O,O,X,X,X,X,X,X,X,X
TJOZISL,O,O,O,O,X,X,O,X,X,X,X,X
TJOZLIS,O,O,O,O,X,O,X,X,X,X,X,X
TJOZLSI,O,O,O,X,X,O,X,X,X,O,X,X
TJOZSIL,O,O,O,O,X,X,O,X,X,X,X,X
TJOZSLI,O,O,O,X,X,X,O,O,X,X,X,X
TSILJZO,O,O,X,X,X,X,X,X,X,X,X,X
TSILJOZ,X,O,X,X,X,X,X,X,X,X,X,X
TSILZJO,O,X,O,X,O,X,X,X,X,X,X,O
TSILZOJ,O,X,O,X,O,X,X,X,X,X,O,O
TSILOJZ,X,O,X,X,X,X,X,X,X,X,X,X
TSILOZJ,O,X,O,X,X,X,X,X,X,X,O,X
TSIJLZO,O,O,X,X,X,O,X,X,X,X,X,X
TSIJLOZ,X,O,X,X,X,X,X,X,X,X,X,X
TSIJZLO,O,X,X,X,X,X,O,X,X,X,X,X
TSIJZOL,O,O,X,X,X,X,O,X,X,X,X,X
TSIJOLZ,X,O,X,X,X,X,X,X,X,X,X,X
TSIJOZL,X,O,X,X,X,X,X,X,X,X,X,X
TSIZLJO,O,X,O,X,X,X,O,X,X,X,X,O
TSIZLOJ,O,X,O,X,X,X,O,X,X,X,O,O
TSIZJLO,O,X,O,X,X,X,O,X,X,X,X,X
TSIZJOL,O,X,O,X,X,X,O,X,X,X,X,X
TSIZOLJ,X,X,O,X,X,X,O,X,X,X,O,O
TSIZOJL,O,X,O,X,X,X,O,X,X,X,O,X
TSIOLJZ,X,O,X,X,X,X,X,X,X,X,X,X
TSIOLZJ,O,X,X,X,X,X,X,X,X,X,X,X
TSIOJLZ,X,O,X,X,X,X,X,X,X,X,X,X
TSIOJZL,X,O,X,X,X,X,X,X,X,X,X,X
TSIOZLJ,X,X,O,X,X,X,X,X,X,X,O,O
TSIOZJL,O,X,O,X,X,X,X,X,X,X,O,X
TSLIJZO,O,O,X,X,X,X,X,O,X,X,X,X
TSLIJOZ,X,O,X,X,X,X,X,O,X,X,X,X
TSLIZJO,O,X,O,X,O,X,X,O,X,X,X,O
TSLIZOJ,O,X,O,X,O,X,X,O,X,X,O,O
TSLIOJZ,X,O,X,X,X,X,X,X,X,X,X,X
TSLIOZJ,O,X,O,X,X,X,X,O,X,X,O,X
TSLJIZO,X,O,O,X,O,O,X,O,X,X,X,X
TSLJIOZ,X,O,O,X,X,X,X,O,X,X,X,X
TSLJZIO,X,O,O,X,O,O,X,O,X,X,X,O
TSLJZOI,X,O,O,X,O,O,X,O,X,X,O,O
TSLJOIZ,X,O,O,X,X,X,X,O,X,X,X,X
TSLJOZI,X,O,O,X,O,O,X,O,X,X,O,X
TSLZIJO,O,X,O,X,O,X,O,O,O,X,X,O
TSLZIOJ,O,X,O,X,O,X,O,O,X,X,O,O
