sequence,v115@PhC8GeD8BeB8AeC8JeT/IvhFelBChBxiBlmBcsB3qB,v115@PhC8GeD8BeB8AeC8Je/EJvhFRgBzhBCjBOqB8qBFsB,v115@PhC8GeD8BeB8AeC8Jei/IvhFFhBxiBzkB+qB3mBcsB,v115@PhC8GeD8BeB8AeC8JemAJvhFzhBCjBxkB0kB3qBFsB,v115@PhC8GeD8BeB8AeC8Jex/IvhFmhBCjB0kBXmBFsBTqB,v115@PhC8GeD8BeB8AeC8Je/EJvhFUgBamBWnBxnBTqBFsB,v115@PhC8GeD8BeB8AeC8JemBJvhFCjBxkBXmB0kBFsBTqB,v115@PhC8GeD8BeB8AeC8Jei/IvhFFhBxiBWqB3mBcsBTqB,v115@PhC8GeD8BeB8AeC8Je3BJvhFxkBOsBlkBUmBCoBTqB
TJIOSLZ,X,X,O,O,X,O,X,X,X
TJIOSZL,X,X,O,X,X,O,X,X,X
TJIOZLS,O,X,O,O,X,O,X,X,X
TJIOZSL,O,X,O,X,X,O,X,X,X
TJLISZO,X,X,O,X,O,O,O,X,X
TJLISOZ,X,X,O,O,X,O,O,X,X
TJLIZSO,O,X,O,X,O,O,X,O,X
TJLIZOS,O,X,O,O,O,O,X,X,X
TJLIOSZ,X,X,O,O,X,O,X,X,X
TJLIOZS,O,X,O,O,X,O,X,X,X
TJLSIZO,O,X,O,O,O,O,O,O,X
TJLSIOZ,O,O,O,O,X,O,O,X,X
TJLSZIO,O,O,O,O,O,O,O,O,X
TJLSZOI,O,O,O,O,O,O,X,O,X
TJLSOIZ,O,O,O,O,X,O,O,X,X
TJLSOZI,O,O,O,O,O,O,X,O,X
TJLZISO,O,O,O,X,O,O,X,O,X
TJLZIOS,O,O,O,X,O,O,X,X,X
TJLZSIO,O,O,O,X,O,O,O,O,X
TJLZSOI,O,O,O,X,O,O,X,O,X
TJLZOIS,O,O,O,X,O,O,X,X,X
TJLZOSI,O,O,O,X,O,O,X,X,X
TJLOISZ,X,X,O,O,X,O,X,X,X
TJLOIZS,O,X,O,O,X,O,X,X,X
TJLOSIZ,X,O,O,O,X,O,O,X,X
TJLOSZI,O,O,O,O,O,O,X,X,X
TJLOZIS,O,O,O,X,O,O,X,X,X
TJLOZSI,O,O,O,X,O,O,X,X,X
TJSILZO,O,X,O,O,O,O,O,O,O
TJSILOZ,O,O,O,O,X,O,O,X,O
TJSIZLO,X,X,O,O,O,O,O,O,O
TJSIZOL,X,X,O,O,O,O,X,O,O
TJSIOLZ,O,O,O,O,X,O,O,X,O
TJSIOZL,X,X,O,O,X,O,X,X,O
TJSLIZO,O,X,O,O,O,O,O,O,X
TJSLIOZ,O,O,O,O,X,O,O,X,X
TJSLZIO,O,O,O,O,O,O,O,O,X
TJSLZOI,O,O,O,O,O,O,X,O,X
TJSLOIZ,O,O,O,O,X,O,O,X,X
TJSLOZI,O,O,O,O,O,O,X,O,X
TJSZILO,X,O,O,O,O,O,O,O,X
TJSZIOL,X,O,O,O,O,O,X,O,X
TJSZLIO,O,O,O,O,O,O,O,O,X
TJSZLOI,O,O,O,O,O,O,X,O,X
TJSZOIL,X,O,O,O,O,O,X,O,X
TJSZOLI,O,O,O,O,O,O,X,O,X
TJSOILZ,O,O,O,O,X,O,O,X,O
TJSOIZL,X,X,O,O,X,O,X,X,O
TJSOLIZ,O,O,O,O,X,O,O,X,X
TJSOLZI,O,O,O,O,O,O,X,O,X
TJSOZIL,X,O,O,O,O,O,X,O,X
TJSOZLI,O,O,O,O,O,O,X,O,X
TJZILSO,O,O,O,X,O,O,X,O,X
TJZILOS,O,O,O,X,O,O,X,X,X
TJZISLO,O,O,O,X,O,O,X,O,X
TJZISOL,O,O,O,X,O,O,X,O,X
TJZIOLS,O,O,O,X,O,O,X,X,X
TJZIOSL,O,O,O,X,X,O,X,X,X
TJZLISO,O,O,O,X,O,O,X,O,X
TJZLIOS,O,O,O,X,O,O,X,X,X
TJZLSIO,O,O,O,X,O,O,O,O,X
TJZLSOI,O,O,O,X,O,O,X,O,X
TJZLOIS,O,O,O,X,O,O,X,X,X
TJZLOSI,O,O,O,X,O,O,X,X,X
TJZSILO,O,O,O,X,O,O,O,O,X
TJZSIOL,O,O,O,X,O,O,X,O,X
TJZSLIO,O,O,O,X,O,O,O,O,X
TJZSLOI,O,O,O,X,O,O,X,O,X
TJZSOIL,O,O,O,X,O,O,X,O,X
TJZSOLI,O,O,O,X,O,O,X,O,X
TJZOILS,O,O,O,X,O,O,X,X,X
TJZOISL,O,O,O,X,X,O,X,X,X
TJZOLIS,O,O,O,X,O,O,X,X,X
TJZOLSI,O,O,O,X,O,O,X,X,X
TJZOSIL,O,O,O,X,O,O,X,X,X
TJZOSLI,O,O,O,X,O,O,X,X,X
TJOILSZ,X,X,O,O,X,O,X,X,X
TJOILZS,O,X,O,O,X,O,X,X,X
TJOISLZ,X,X,O,O,X,O,X,X,O
TJOISZL,X,X,O,X,X,O,X,X,O
TJOIZLS,O,X,O,O,X,O,X,X,X
TJOIZSL,O,X,O,X,X,O,X,X,X
TJOLISZ,X,X,O,O,X,O,X,X,X
TJOLIZS,O,X,O,O,X,O,X,X,X
TJOLSIZ,X,O,O,O,X,O,O,X,X
TJOLSZI,O,O,O,O,O,O,X,X,X
TJOLZIS,O,O,O,X,O,O,X,X,X
TJOLZSI,O,O,O,X,O,O,X,X,X
TJOSILZ,O,O,O,O,X,O,O,X,O
TJOSIZL,X,X,O,O,X,O,X,X,O
TJOSLIZ,O,O,O,O,X,O,O,X,X
TJOSLZI,O,O,O,O,O,O,X,X,X
TJOSZIL,X,O,O,O,O,O,X,X,X
TJOSZLI,O,O,O,O,O,O,X,X,X
TJOZILS,O,O,O,X,O,O,X,X,X
TJOZISL,O,O,O,X,X,O,X,X,X
TJOZLIS,O,O,O,X,O,O,X,X,X
TJOZLSI,O,O,O,X,O,O,X,X,X
TJOZSIL,O,O,O,X,O,O,X,X,X
TJOZSLI,O,O,O,X,O,O,X,X,X
TSILJZO,O,X,X,O,O,O,O,X,X
TSILJOZ,O,O,X,O,X,O,O,X,X
TSILZJO,O,O,O,O,O,O,O,O,X
TSILZOJ,O,O,O,O,O,O,X,O,X
TSILOJZ,X,O,X,O,X,O,O,X,X
TSILOZJ,X,O,X,O,X,O,X,X,X
TSIJLZO,O,X,O,O,O,O,O,O,X
TSIJLOZ,O,O,X,O,X,O,O,X,X
TSIJZLO,O,X,O,O,O,O,O,O,X
TSIJZOL,O,X,O,O,O,O,X,O,X
TSIJOLZ,O,O,O,O,X,O,O,X,X
TSIJOZL,O,X,O,O,X,O,X,X,X
TSIZLJO,O,O,O,O,O,O,O,O,X
TSIZLOJ,O,O,O,O,O,O,X,O,X
TSIZJLO,O,O,O,O,O,O,O,O,X
TSIZJOL,O,O,O,O,O,O,X,O,X
TSIZOLJ,O,O,O,O,O,O,X,O,X
TSIZOJL,O,O,O,O,O,O,X,O,X
TSIOLJZ,X,O,X,O,X,O,O,X,X
TSIOLZJ,X,O,X,O,X,O,X,X,X
TSIOJLZ,O,O,X,O,X,O,O,X,X
TSIOJZL,O,X,X,O,X,O,X,X,X
TSIOZLJ,O,O,X,O,X,O,X,X,X
TSIOZJL,O,O,X,O,X,O,X,X,X
TSLIJZO,O,X,X,O,O,O,O,X,X
TSLIJOZ,O,O,X,O,X,O,O,X,X
TSLIZJO,O,O,O,O,O,O,O,O,X
TSLIZOJ,O,O,O,O,O,O,X,O,X
TSLIOJZ,X,O,X,O,X,O,O,X,X
TSLIOZJ,X,O,X,O,X,O,X,X,X
TSLJIZO,O,X,O,O,O,O,O,O,X
TSLJIOZ,O,O,X,O,X,O,O,X,X
TSLJZIO,O,O,O,O,O,O,O,O,X
TSLJZOI,O,O,O,O,O,O,X,O,X
TSLJOIZ,O,O,O,O,X,O,O,X,X
TSLJOZI,O,O,O,O,O,O,X,O,X
TSLZIJO,O,O,O,O,O,O,O,O,X
TSLZIOJ,O,O,O,O,O,O,X,O,X
TSLZJIO,O,O,O,O,O,O,O,O,X
TSLZJOI,O,O,O,O,O,O,X,O,X
TSLZOIJ,O,O,O,O,O,O,X,O,X
TSLZOJI,O,O,X,O,O,O,X,X,X
TSLOIJZ,X,O,X,O,X,O,O,X,X
TSLOIZJ,X,O,X,O,X,O,X,X,X
TSLOJIZ,O,O,X,O,X,O,O,X,X
TSLOJZI,O,O,X,O,O,O,X,X,X
TSLOZIJ,O,O,O,O,O,O,X,O,X
TSLOZJI,O,O,X,O,O,O,X,X,X
TSJILZO,O,X,O,O,O,O,O,O,X
TSJILOZ,O,O,X,O,X,O,O,X,X
TSJIZLO,O,X,O,O,O,O,O,O,X
TSJIZOL,O,X,O,O,O,O,X,O,X
TSJIOLZ,O,O,O,O,X,O,O,X,X
TSJIOZL,O,X,O,O,X,O,X,X,X
TSJLIZO,O,X,O,O,O,O,O,O,X
TSJLIOZ,O,O,X,O,X,O,O,X,X
TSJLZIO,O,O,O,O,O,O,O,O,X
TSJLZOI,O,O,O,O,O,O,X,O,X
TSJLOIZ,O,O,O,O,X,O,O,X,X
TSJLOZI,O,O,O,O,O,O,X,O,X
TSJZILO,O,O,O,O,O,O,O,O,X
TSJZIOL,O,O,O,O,O,O,X,O,X
TSJZLIO,O,O,O,O,O,O,O,O,X
TSJZLOI,O,O,O,O,O,O,X,O,X
TSJZOIL,O,O,O,O,O,O,X,O,X
TSJZOLI,O,O,O,O,O,O,X,O,X
TSJOILZ,O,O,O,O,X,O,O,X,X
TSJOIZL,O,X,O,O,X,O,X,X,X
TSJOLIZ,O,O,O,O,X,O,O,X,X
TSJOLZI,O,O,O,O,O,O,X,O,X
TSJOZIL,O,O,O,O,O,O,X,O,X
TSJOZLI,O,O,O,O,O,O,X,O,X
TSZILJO,O,O,O,O,O,O,O,O,X
TSZILOJ,O,O,O,O,O,O,X,O,X
TSZIJLO,O,O,O,O,O,O,O,O,X
TSZIJOL,O,O,O,O,O,O,X,O,X
TSZIOLJ,O,O,O,O,O,O,X,O,X
TSZIOJL,O,O,O,O,O,O,X,O,X
TSZLIJO,O,O,O,O,O,O,O,O,X
TSZLIOJ,O,O,O,O,O,O,X,O,X
TSZLJIO,O,O,O,O,O,O,O,O,X
TSZLJOI,O,O,O,O,O,O,X,O,X
TSZLOIJ,O,O,O,O,O,O,X,O,X
TSZLOJI,O,O,X,O,O,O,X,X,X
TSZJILO,O,O,O,O,O,O,O,O,X
TSZJIOL,O,O,O,O,O,O,X,O,X
TSZJLIO,O,O,O,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,O,X,O,X
TSZJOIL,O,O,O,O,O,O,X,O,X
TSZJOLI,O,O,O,O,O,O,X,O,X
TSZOILJ,O,O,O,O,O,O,X,O,X
TSZOIJL,O,O,O,O,O,O,X,O,X
TSZOLIJ,O,O,O,O,O,O,X,O,X
TSZOLJI,O,O,X,O,O,O,X,X,X
TSZOJIL,O,O,O,O,O,O,X,O,X
TSZOJLI,O,O,O,O,O,O,X,O,X
TSOILJZ,X,O,X,O,X,O,O,X,X
TSOILZJ,X,O,X,O,X,O,X,X,X
TSOIJLZ,O,O,X,O,X,O,O,X,X
TSOIJZL,O,X,X,O,X,O,X,X,X
TSOIZLJ,O,O,X,O,X,O,X,X,X
TSOIZJL,O,O,X,O,X,O,X,X,X
TSOLIJZ,X,O,X,O,X,O,O,X,X
TSOLIZJ,X,O,X,O,X,O,X,X,X
TSOLJIZ,O,O,O,O,X,O,O,X,X
TSOLJZI,O,O,O,O,O,O,X,X,X
TSOLZIJ,O,O,O,O,O,O,X,O,X
TSOLZJI,O,O,X,O,O,O,X,X,X
TSOJILZ,O,O,O,O,X,O,O,X,X
TSOJIZL,O,X,O,O,X,O,X,X,X
TSOJLIZ,O,O,O,O,X,O,O,X,X
TSOJLZI,O,O,O,O,O,O,X,O,X
TSOJZIL,O,O,O,O,O,O,X,O,X
TSOJZLI,O,O,O,O,O,O,X,O,X
TSOZILJ,O,O,O,O,O,O,X,O,X
TSOZIJL,O,O,O,O,O,O,X,O,X
TSOZLIJ,O,O,O,O,O,O,X,O,X
TSOZLJI,O,O,X,O,O,O,X,X,X
TSOZJIL,O,O,O,O,O,O,X,O,X
TSOZJLI,O,O,O,O,O,O,X,O,X
TZILJSO,O,O,O,X,O,O,X,O,X
TZILJOS,O,O,O,O,O,O,X,X,X
TZILSJO,O,O,O,X,O,O,O,O,X
TZILSOJ,O,O,O,X,O,O,X,O,X
TZILOJS,O,O,O,O,O,O,X,X,X
TZILOSJ,O,O,O,X,O,O,X,X,X
TZIJLSO,O,O,O,X,O,O,X,O,X
TZIJLOS,O,O,O,O,O,O,X,X,X
TZIJSLO,O,O,O,X,O,O,X,O,X
TZIJSOL,O,O,O,X,O,O,X,O,X
TZIJOLS,O,O,O,O,O,O,X,X,X
TZIJOSL,O,O,O,X,X,O,X,X,X
TZISLJO,O,O,O,X,O,O,O,O,X
TZISLOJ,O,O,O,X,O,O,X,O,X
TZISJLO,O,O,O,X,O,O,O,O,X
TZISJOL,O,O,O,X,O,O,X,O,X
TZISOLJ,O,O,O,X,O,O,X,O,X
TZISOJL,O,O,O,X,O,O,X,O,X
TZIOLJS,O,O,O,O,O,O,X,X,X
TZIOLSJ,O,O,O,X,O,O,X,X,X
TZIOJLS,O,O,O,O,O,O,X,X,X
TZIOJSL,O,O,O,X,X,O,X,X,X
TZIOSLJ,O,O,O,X,O,O,X,X,X
TZIOSJL,O,O,O,X,O,O,X,X,X
TZLIJSO,O,O,O,X,O,O,X,O,X
