sequence,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFCgBThB/nB8pB+q?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Jei/IvhF5lBThB/nBcpBeq?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Je/EJvhFUgBRhB6rBTnB2u?BlqB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFukBclBThB/nBSv?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Je0/IvhF6lBThB/nB2pBlr?BxuB,v115@EhC8HeB8HeB8DeA8AeD8Jex/IvhFThB/nB0kB6qB2u?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Jei/IvhF5lBlhBcpBeqB/r?BTsB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFCgBlhB8pBTnBGr?B3qB,v115@EhC8HeB8HeB8DeA8AeD8Jex/IvhFThB/nBKpBGlBUq?BlrB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFzfBUiBFmB3lBWv?BCsB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFukBclBlhB/rBTn?BSvB,v115@EhC8HeB8HeB8DeA8AeD8JeKEJvhFGgBThB/nBUlBlr?BxuB,v115@EhC8HeB8HeB8DeA8AeD8Jem/IvhF5lBThB/nBipBlr?B0pB,v115@EhC8HeB8HeB8DeA8AeD8JeyEJvhF5lBThB/nB0kB2u?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Je5FJvhFlhBmkB/rBTnB0p?BipB,v115@EhC8HeB8HeB8DeA8AeD8Je5FJvhFThB/nBmkB0pBlr?BipB
TIJOLSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOLZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOSLZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TIJOZSL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TISLJZO,O,O,X,O,O,X,O,X,X,X,O,O,O,O,X,X
TISLJOZ,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X
TISLZJO,O,X,X,O,O,X,X,X,X,X,O,O,O,X,X,O
TISLZOJ,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,O
TISLOJZ,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X
TISLOZJ,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,O
TISJLZO,O,O,X,O,O,X,O,X,X,X,O,O,O,O,X,X
TISJLOZ,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X
TISJZLO,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
TISJZOL,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O
TISJOLZ,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X
TISJOZL,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O
TISZLJO,O,X,X,O,O,X,X,X,X,X,O,O,O,X,X,O
TISZLOJ,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,O
TISZJLO,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
TISZJOL,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O
TISZOLJ,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O
TISZOJL,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TISOLJZ,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X
TISOLZJ,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,O
TISOJLZ,O,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X
TISOJZL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
TISOZLJ,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O
TISOZJL,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIZLJSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZLSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZJSLO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TIZJSOL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIZJOLS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZSLJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZSLOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZSJLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZSJOL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIZSOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZSOJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZOLJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TIZOSLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIZOSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLJSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOLZJS,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TIOJZSL,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOSJLZ,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOSJZL,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
TIOSZLJ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
TIOSZJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZLJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIOZJSL,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X
TIOZSLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOZSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIJSZO,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TLIJSOZ,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TLIJZSO,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJOSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLISJZO,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X
TLISJOZ,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLISZJO,X,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X
TLISZOJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
TLISOJZ,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
TLISOZJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
TLIZJSO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLIZSJO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
TLIZSOJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIOZJS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJISZO,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TLJISOZ,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TLJIZSO,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSIZO,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TLJSIOZ,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TLJSZIO,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TLJSZOI,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TLJSOIZ,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TLJSOZI,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TLJZISO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJZSIO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJZSOI,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOISZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOZIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOZSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSIJZO,X,X,O,O,X,O,X,X,X,O,O,X,O,X,X,X
TLSIJOZ,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLSIZJO,X,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X
TLSIZOJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
TLSIOJZ,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
TLSIOZJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
TLSJIZO,X,X,O,O,X,O,X,X,X,O,O,X,O,X,X,X
TLSJIOZ,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLSJZIO,X,X,O,O,X,O,X,X,O,O,O,X,O,X,X,X
TLSJZOI,X,X,O,O,X,O,X,X,O,O,O,X,O,X,X,X
TLSJOIZ,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLSJOZI,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLSZIJO,X,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X
TLSZIOJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
TLSZJIO,X,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X
TLSZJOI,X,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X
TLSZOIJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
TLSZOJI,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
TLSOIJZ,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
TLSOIZJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
TLSOJIZ,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
TLSOJZI,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
TLSOZIJ,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
TLSOZJI,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
TLZIJSO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZISJO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
TLZISOJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZJISO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZJSIO,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
TLZJSOI,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZSIJO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
TLZSIOJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLZSJIO,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
TLZSJOI,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
TLZSOIJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLZSOJI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZOJSI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOIJSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOIJZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOISJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOISZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOIZJS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOJISZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJIZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJZIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJZSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOSIZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOSJIZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOSJZI,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOZIJS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOZISJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOZJIS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOZJSI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJILSZO,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TJILSOZ,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TJILZSO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJILOSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJISLZO,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TJISLOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJISZLO,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
TJISZOL,O,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
TJISOLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJISOZL,O,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
TJIZLSO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJIZSLO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TJIZSOL,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJIOLSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIOLZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIOSLZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TJIOZSL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TJLISZO,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TJLISOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TJLIZSO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJLIOSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSIZO,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TJLSIOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TJLSZIO,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TJLSZOI,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TJLSOIZ,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TJLSOZI,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TJLZISO,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJLZSIO,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TJLZSOI,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOIZS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOZIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOZSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSILZO,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
TJSILOZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TJSIZLO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X
TJSIZOL,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
TJSIOLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TJSIOZL,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
TJSLIZO,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
TJSLIOZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TJSLZIO,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
TJSLZOI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
TJSLOIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TJSLOZI,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TJSZILO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X
TJSZIOL,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
TJSZLIO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X
TJSZLOI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
TJSZOIL,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
TJSZOLI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
TJSOILZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TJSOIZL,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
TJSOLIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
