sequence,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8JeO/IvhF8fBzcB?CeBlmB3nBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Je2/IvhFzcBCeB?3fB0mBlnBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jei6IvhF+hBxdB?3fBlnBzrB0sB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jem6IvhFxdBTfB?lmB3nBqrB0sB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8JeO/IvhF8fBCeB?3hBlnBzmBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jem6IvhFxdBTfB?1nB6rB0sBfsB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8JeK/IvhFzaBFiB?XjB0mBGnBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Je2/IvhFzcB1nB?3fB0mBCoBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jem6IvhFUdBTfB?1mBXjBSsBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jei6IvhFzcB5iB?3fBUsBOtBlrB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jei6IvhFUdB3fB?1mB5nBzrBOtB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8JeK/IvhFzaB3hB?5nB8rBOtBFsB
TIJZSLO,O,O,X,X,O,X,X,X,X,X,X,X
TIJZSOL,O,O,X,X,X,X,X,O,X,X,X,X
TIJZOLS,O,O,X,X,O,X,X,O,O,X,X,X
TIJZOSL,O,O,X,X,X,X,X,O,O,X,X,X
TIJOLSZ,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,O,X,X,X,X,X,X,O,X,X,X
TIJOSLZ,X,O,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X,O,X,X,X
TIJOZLS,O,O,X,X,X,X,X,O,O,X,X,X
TIJOZSL,O,O,X,X,X,X,X,O,O,X,X,X
TISLJZO,O,O,X,X,O,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,O,X,X,O,X,X,X,X,X,X,X
TISLZOJ,O,O,X,X,O,X,X,X,X,X,X,X
TISLOJZ,O,O,X,O,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,O,O,X,X,X,X,X,X,O
TISJLZO,O,O,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X,O,X,X,X,X
TISJOLZ,O,O,X,O,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,O,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,X,O,X,X,X,X,X,X,X
TISZLOJ,O,O,X,X,O,X,X,X,X,X,X,X
TISZJLO,O,O,X,X,O,X,X,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X,O,X,X,X,X
TISZOLJ,O,O,X,O,X,X,X,X,X,X,X,X
TISZOJL,O,O,X,O,X,X,X,O,O,X,X,X
TISOLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,O,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,O,X,X,X,X,O,X,X,X
TISOZLJ,O,X,X,O,X,X,X,X,X,X,X,X
TISOZJL,O,X,X,O,X,X,X,X,O,X,X,X
TIZLJSO,O,O,X,X,O,X,X,X,X,X,X,X
TIZLJOS,O,O,X,X,O,X,O,O,X,X,X,X
TIZLSJO,O,O,X,X,O,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,O,X,O,X,X,X,X,X
TIZLOJS,O,O,X,X,O,X,O,O,O,X,X,X
TIZLOSJ,O,O,X,X,O,X,O,X,X,X,X,X
TIZJLSO,O,O,X,X,O,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,O,X,O,O,X,X,X,X
TIZJSLO,O,O,X,X,O,X,X,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,O,X,X,X,X
TIZJOLS,O,O,X,X,O,X,X,O,O,X,X,X
TIZJOSL,O,O,X,X,X,X,X,O,O,X,X,X
TIZSLJO,O,O,X,X,O,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,O,X,O,X,X,X,X,X
TIZSJLO,O,O,X,X,O,X,X,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,O,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,O,O,X,X,X
TIZOLJS,O,O,X,X,O,X,O,O,O,X,X,X
TIZOLSJ,O,O,X,X,O,X,O,X,X,X,X,X
TIZOJLS,O,O,X,X,O,X,X,O,O,X,X,X
TIZOJSL,O,O,X,X,X,X,X,O,O,X,X,X
TIZOSLJ,O,O,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X,O,O,X,X,X
TIOLJSZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,X,X,X,X,X,X,O,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,X,X,X,X,X,X
TIOLZJS,O,O,X,X,O,X,X,X,O,X,X,X
TIOLZSJ,O,O,X,X,O,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,O,X,X,X,X,X,X,O,X,X,X
TIOJSLZ,X,O,X,O,X,X,X,X,X,X,X,X
TIOJSZL,X,X,X,O,X,X,X,X,O,X,X,X
TIOJZLS,O,O,X,X,X,X,X,O,O,X,X,X
TIOJZSL,O,O,X,X,X,X,X,O,O,X,X,X
TIOSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,O,X,X,X,X,O,X,X,X
TIOSZLJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOSZJL,O,X,X,O,X,X,X,X,O,X,X,X
TIOZLJS,O,O,X,X,O,X,X,O,O,X,X,X
TIOZLSJ,O,O,X,X,O,X,X,X,X,X,X,X
TIOZJLS,O,O,X,X,O,X,X,O,O,X,X,X
TIOZJSL,O,O,X,X,X,X,X,O,O,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X,O,O,X,X,X
TLIJSZO,X,O,X,X,O,X,X,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,O,X,X,O,X,X,X,X,X,X,X
TLIJZOS,O,O,X,X,O,X,X,O,X,X,X,X
TLIJOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,O,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,O,X,X,O,X,X,X,X,X,X,X
TLISJOZ,O,O,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,O,X,X,O,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,O,X,X,X,X,X,X,X
TLISOJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,O,X,X,X,X,X,X,O
TLIZJSO,O,O,X,X,O,X,X,X,X,X,X,X
TLIZJOS,O,O,X,X,O,X,O,O,X,X,X,X
TLIZSJO,O,O,X,X,O,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,O,X,O,X,X,X,X,X
TLIZOJS,O,O,X,X,O,X,O,O,X,X,X,X
TLIZOSJ,O,O,X,X,O,X,O,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,O,X,X,X,X,X,X,O
TLIOZJS,O,O,X,X,O,X,O,X,X,X,X,X
TLIOZSJ,O,O,X,X,O,X,O,X,X,X,X,X
TLJISZO,X,O,X,X,O,X,X,X,X,X,X,X
TLJISOZ,X,O,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,O,X,X,O,X,X,X,X,X,X,X
TLJIZOS,X,O,X,X,O,X,X,O,X,X,X,X
TLJIOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,O,X,X,X,X,X,X,X,X,X,X
TLJSZIO,X,X,X,X,O,X,X,X,X,X,X,X
TLJSZOI,X,O,X,X,O,X,X,X,X,X,X,X
TLJSOIZ,X,O,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,O,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,O,X,X,O,X,X,X,X,X,X,X
TLJZIOS,O,O,X,X,O,X,X,X,X,X,X,X
TLJZSIO,X,X,X,X,O,X,X,X,X,X,X,X
TLJZSOI,O,O,X,X,O,X,X,X,X,X,X,X
TLJZOIS,O,O,X,X,O,X,X,X,X,X,X,X
TLJZOSI,O,O,X,X,O,X,X,O,X,X,X,X
TLJOISZ,X,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,O,X,X,X,X,X,X,X,X,X,X
TLJOZIS,O,O,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,O,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,X,O,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,X,X,O,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,O,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,O,O,X,X,X,X,X,X,O
TLSJIZO,X,O,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,O,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,O,X,X,X,X,X,X,X
TLSJZOI,O,O,X,X,O,X,X,X,X,X,X,X
TLSJOIZ,X,O,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,O,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,O,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,X,O,X,X,X,X,X,X,X
TLSZJIO,O,X,X,X,O,X,X,X,X,X,X,X
TLSZJOI,O,O,X,X,O,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,O,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,O,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,O,X,X,X,X,X,X,X,O
TLSOJIZ,X,O,X,O,X,X,X,X,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,O,X,X,X,X,X,X,X,X
TLSOZJI,O,X,X,O,O,X,X,X,X,X,X,X
TLZIJSO,O,O,X,X,O,X,X,X,X,X,X,X
TLZIJOS,O,O,X,X,O,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,O,X,X,X,X,X,X,X
TLZISOJ,O,O,X,X,O,X,X,X,X,X,X,X
TLZIOJS,O,O,X,X,O,O,X,X,X,X,X,X
TLZIOSJ,O,O,X,X,O,O,O,X,X,X,X,X
TLZJISO,O,O,X,X,O,X,X,X,X,X,X,X
TLZJIOS,O,O,X,X,O,X,X,X,X,X,X,X
TLZJSIO,O,X,X,X,O,X,X,X,X,X,X,X
TLZJSOI,O,O,X,X,O,X,X,X,X,X,X,X
TLZJOIS,O,O,X,X,O,O,X,X,X,X,X,X
TLZJOSI,O,O,X,X,O,O,O,O,X,X,X,X
TLZSIJO,O,X,X,X,O,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,O,X,X,X,X,X,X,X
TLZSJIO,O,X,X,X,O,X,X,X,X,X,X,X
TLZSJOI,O,O,X,X,O,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,O,O,X,X,X,X,X
TLZSOJI,O,O,X,X,O,O,O,X,X,X,X,X
TLZOIJS,O,O,X,X,O,O,X,X,X,X,X,X
TLZOISJ,X,X,X,X,O,O,O,X,X,X,X,X
TLZOJIS,O,O,X,X,O,O,X,X,X,X,X,X
TLZOJSI,O,O,X,X,O,O,O,O,X,X,X,X
TLZOSIJ,X,X,X,X,X,O,O,X,X,X,X,X
TLZOSJI,O,O,X,X,O,O,O,X,X,X,X,X
TLOIJSZ,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJZS,X,O,X,X,X,X,X,X,X,X,X,X
TLOISJZ,X,O,X,X,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,O,X,X,X,X,X,X,O
TLOIZJS,O,O,X,X,O,X,O,X,X,X,X,X
TLOIZSJ,X,O,X,X,O,X,O,X,X,X,X,X
TLOJISZ,X,O,X,X,X,X,X,X,X,X,X,X
TLOJIZS,X,O,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,X,O,X,O,X,X,X,X,X,X,X,X
TLOJSZI,X,O,X,O,X,X,X,X,X,X,X,X
TLOJZIS,O,O,X,X,X,O,X,X,X,X,X,X
TLOJZSI,O,O,X,X,X,O,X,X,X,X,X,X
TLOSIJZ,X,X,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,O,X,X,X,X,X,X,X,O
TLOSJIZ,X,O,X,O,X,X,X,X,X,X,X,X
TLOSJZI,X,O,X,O,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,O,X,X,X,X,X,X,X,X
TLOSZJI,O,X,X,O,O,X,X,X,X,X,X,X
TLOZIJS,O,O,X,X,O,O,X,X,X,X,X,X
TLOZISJ,X,X,X,X,O,O,O,X,X,X,X,X
TLOZJIS,O,O,X,X,O,O,X,X,X,X,X,X
TLOZJSI,O,O,X,X,O,O,O,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,O,O,X,X,X,X,X
TLOZSJI,O,O,X,X,O,O,O,X,X,X,X,X
TJILSZO,X,O,X,X,O,X,X,X,X,X,X,X
TJILSOZ,X,O,X,X,X,X,X,X,X,X,X,X
TJILZSO,X,O,X,X,O,X,X,X,X,X,X,X
TJILZOS,X,O,X,X,O,X,X,O,X,X,X,X
TJILOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,O,X,X,X,X,X,X,X,X,X,X
TJISLZO,X,O,X,X,X,X,X,X,X,X,X,X
TJISLOZ,X,O,O,X,X,X,X,X,X,X,X,X
TJISZLO,X,O,X,X,X,X,X,X,X,X,X,X
TJISZOL,X,O,X,X,X,X,X,O,X,X,X,X
TJISOLZ,X,O,X,X,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,X,O,X,X,O,X,X,X,X,X,X,X
TJIZLOS,X,O,X,X,O,X,X,O,X,X,X,X
TJIZSLO,X,O,X,X,O,X,X,X,X,X,X,X
TJIZSOL,X,O,X,X,X,X,X,O,X,X,X,X
TJIZOLS,X,O,X,X,O,X,X,O,X,X,X,X
TJIZOSL,X,O,X,X,X,X,X,O,X,X,X,X
TJIOLSZ,X,O,X,X,X,X,X,X,X,X,X,X
TJIOLZS,X,O,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,X,O,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,O,X,X,X,X,X,O,X,X,X,X
TJIOZSL,X,O,X,X,X,X,X,O,X,X,X,X
TJLISZO,X,O,X,X,O,X,X,X,X,X,X,X
TJLISOZ,X,O,X,X,X,X,X,X,X,X,X,X
TJLIZSO,X,O,X,X,O,X,X,X,X,X,X,X
TJLIZOS,X,O,X,X,O,X,X,O,X,X,X,X
TJLIOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,O,X,X,X,X,X,X,X,X,X,X
TJLSIZO,X,O,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,O,X,X,X,X,X,X,X,X,X,X
TJLSZIO,X,X,X,X,O,X,X,X,X,X,X,X
TJLSZOI,X,O,X,X,O,X,X,X,X,X,X,X
TJLSOIZ,X,O,X,X,X,X,X,X,X,X,X,X
TJLSOZI,X,O,X,X,X,X,X,X,X,X,X,X
TJLZISO,X,O,X,X,O,X,X,X,X,X,X,X
TJLZIOS,O,O,X,X,O,X,X,X,X,X,X,X
TJLZSIO,X,X,X,X,O,X,X,X,X,X,X,X
TJLZSOI,O,O,X,X,O,X,X,X,X,X,X,X
TJLZOIS,O,O,X,X,O,X,X,X,X,X,X,X
TJLZOSI,O,O,X,X,O,X,X,O,X,X,X,X
TJLOISZ,X,O,X,X,X,X,X,X,X,X,X,X
TJLOIZS,X,O,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,X,O,X,X,X,X,X,X,X,X,X,X
TJLOSZI,X,O,X,X,X,X,X,X,X,X,X,X
TJLOZIS,O,O,X,X,X,X,X,X,X,X,X,X
TJLOZSI,O,O,X,X,X,X,X,X,X,X,X,X
TJSILZO,X,O,X,X,X,X,X,X,X,X,X,X
TJSILOZ,X,O,O,X,X,X,X,X,X,X,X,X
TJSIZLO,X,O,X,X,X,X,X,X,X,X,X,X
TJSIZOL,X,O,X,X,X,X,X,O,X,X,X,X
TJSIOLZ,X,O,X,O,X,X,X,X,X,X,X,X
TJSIOZL,X,X,X,O,X,X,X,X,X,X,X,X
TJSLIZO,X,O,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,X,O,O,X,X,X,X,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X,X,X,X,X,X,X
TJSLZOI,O,O,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,O,O,X,X,X,X,X,X,X,X,X
TJSLOZI,O,O,O,X,X,X,X,X,X,X,X,X
TJSZILO,O,X,X,X,X,X,X,X,X,X,X,X
TJSZIOL,X,X,X,X,X,X,X,X,X,X,X,X
TJSZLIO,O,X,X,X,X,X,X,X,X,X,X,X
TJSZLOI,O,O,X,X,X,X,X,X,X,X,X,X
TJSZOIL,O,X,X,X,X,X,X,O,X,X,X,X
TJSZOLI,O,O,X,X,X,X,X,O,X,X,X,X
TJSOILZ,X,X,O,O,X,X,X,X,X,X,X,X
TJSOIZL,X,X,O,O,X,X,X,X,X,X,X,X
TJSOLIZ,X,O,O,O,X,X,X,X,X,X,X,X
TJSOLZI,O,O,O,O,X,X,X,X,X,X,X,X
TJSOZIL,O,X,O,O,X,X,X,X,X,X,X,X
TJSOZLI,O,X,O,O,X,X,X,X,X,X,X,X
TJZILSO,X,O,X,X,O,X,X,X,X,X,X,X
TJZILOS,O,O,X,X,O,X,X,O,X,X,X,X
TJZISLO,O,O,X,X,O,X,X,X,X,X,X,X
TJZISOL,X,O,X,X,X,X,X,O,X,X,X,X
TJZIOLS,O,O,X,X,O,X,X,O,X,X,X,X
TJZIOSL,X,O,X,X,X,X,X,O,X,X,X,X
TJZLISO,X,O,X,X,O,X,X,X,X,X,X,X
TJZLIOS,O,O,X,X,O,X,X,X,X,X,X,X
TJZLSIO,O,X,X,X,O,X,X,X,X,X,X,X
TJZLSOI,O,O,X,X,O,X,X,X,X,X,X,X
TJZLOIS,O,O,X,X,O,X,X,X,X,X,X,X
TJZLOSI,O,O,X,X,O,X,X,O,X,X,X,X
TJZSILO,O,X,X,X,O,X,X,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLIO,O,X,X,X,O,X,X,X,X,X,X,X
TJZSLOI,O,O,X,X,O,X,X,X,X,X,X,X
TJZSOIL,O,X,X,X,X,X,X,O,X,X,X,X
TJZSOLI,O,O,X,X,X,X,X,O,X,X,X,X
TJZOILS,O,O,X,X,O,X,X,X,X,X,X,X
TJZOISL,X,X,X,X,X,X,X,O,X,X,X,X
TJZOLIS,O,O,X,X,O,X,X,X,X,X,X,X
TJZOLSI,O,O,X,X,O,X,X,O,X,X,X,X
TJZOSIL,X,X,X,X,X,X,X,O,X,X,X,X
TJZOSLI,O,O,X,X,X,X,X,O,X,X,X,X
TJOILSZ,X,O,O,X,X,X,X,X,X,X,X,X
TJOILZS,X,O,X,X,X,X,X,X,X,X,X,X
TJOISLZ,X,O,O,O,X,X,X,X,X,X,X,X
TJOISZL,X,X,O,O,X,X,X,X,X,X,X,X
TJOIZLS,X,O,X,X,X,X,X,O,X,X,X,X
TJOIZSL,X,O,O,X,X,X,X,O,X,X,X,X
TJOLISZ,X,O,O,X,X,X,X,X,X,X,X,X
TJOLIZS,X,O,X,X,X,X,X,X,X,X,X,X
TJOLSIZ,X,O,O,O,X,X,X,X,X,X,X,X
TJOLSZI,X,O,O,O,X,X,X,X,X,X,X,X
TJOLZIS,O,O,X,X,X,X,X,X,X,X,X,X
TJOLZSI,O,O,X,X,X,X,X,X,X,X,X,X
TJOSILZ,X,X,O,O,X,X,X,X,X,X,X,X
TJOSIZL,X,X,O,O,X,X,X,X,X,X,X,X
TJOSLIZ,X,O,O,O,X,X,X,X,X,X,X,X
TJOSLZI,X,O,O,O,X,X,X,X,X,X,X,X
TJOSZIL,X,X,O,O,X,X,X,X,X,X,X,X
TJOSZLI,X,X,O,O,X,X,X,X,X,X,X,X
TJOZILS,O,O,X,X,X,X,X,X,X,X,X,X
TJOZISL,X,X,O,X,X,X,X,O,X,X,X,X
TJOZLIS,O,O,X,X,X,X,X,X,X,X,X,X
TJOZLSI,O,O,X,X,X,X,X,O,X,X,X,X
TJOZSIL,X,X,O,O,X,X,X,O,X,X,X,X
TJOZSLI,O,O,O,O,X,X,X,O,X,X,X,X
TSILJZO,O,O,X,X,O,X,X,X,X,X,X,X
TSILJOZ,O,O,X,X,X,X,X,X,X,X,X,X
TSILZJO,O,O,X,X,O,X,X,X,X,X,X,X
TSILZOJ,O,O,X,X,O,X,X,X,X,X,X,X
TSILOJZ,O,O,X,O,X,X,X,X,X,X,X,X
TSILOZJ,O,X,X,O,O,X,X,X,X,X,X,O
TSIJLZO,O,O,X,X,X,X,X,X,X,X,X,X
TSIJLOZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIJZLO,O,O,X,X,X,X,X,X,X,X,X,X
TSIJZOL,O,O,X,X,X,X,X,O,X,X,X,X
TSIJOLZ,O,O,X,O,X,X,X,X,X,X,X,X
TSIJOZL,O,X,X,O,X,X,X,X,X,X,X,X
TSIZLJO,O,O,X,X,O,X,X,X,X,X,X,X
TSIZLOJ,O,O,X,X,O,X,X,X,X,X,X,X
TSIZJLO,O,O,X,X,O,X,X,X,X,X,X,X
TSIZJOL,O,O,X,X,X,X,X,O,X,X,X,X
TSIZOLJ,O,O,X,O,X,X,X,X,X,X,X,X
TSIZOJL,O,O,X,O,X,X,X,O,X,X,X,X
TSIOLJZ,O,O,X,O,X,X,X,X,X,X,X,X
TSIOLZJ,O,X,X,O,X,X,X,X,X,X,X,X
TSIOJLZ,O,O,X,O,X,X,X,X,X,X,X,X
TSIOJZL,O,X,X,O,X,X,X,X,X,X,X,X
TSIOZLJ,O,X,X,O,X,X,X,X,X,X,X,X
TSIOZJL,O,X,X,O,X,X,X,X,X,X,X,X
TSLIJZO,O,O,X,X,O,X,X,X,X,X,X,X
TSLIJOZ,O,O,X,X,X,X,X,X,X,X,X,X
TSLIZJO,O,O,X,X,O,X,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,O,X,X,X,X,X,X,X
TSLIOJZ,O,O,X,O,X,X,X,X,X,X,X,X
TSLIOZJ,O,X,X,O,O,X,X,X,X,X,X,O
TSLJIZO,X,O,X,X,X,X,X,X,X,X,X,X
TSLJIOZ,X,O,O,X,X,X,X,X,X,X,X,X
