sequence,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFRbBUdB6lBOmBdq?BzrB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFUbBRcB6mBOnBdq?BzqB,v115@6gC8HeC8FeD8FeE8AeG8Je2/IvhFRbBUdB9lBThBfq?BywB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFWhBNiBClB0mBZl?BXrB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFKgBGcBNiBUhBfq?BRwB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFNiBxgBClB0mBOq?BXrB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFRbBUdBmlBzmBdq?BCrB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhF+gBTcBNiB0mBRq?BaqB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFWhBNiBClBXmBZl?B0rB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhF0gBxhBdqBzrBGq?BirB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFUbBxhBulBdqBir?BzrB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFUbBxhBanBdqBGr?BzqB,v115@6gC8HeC8FeD8FeE8AeG8Jex6IvhFTcBNiBmfBqlBfq?B0rB,v115@6gC8HeC8FeD8FeE8AeG8JeU9IvhFxfBXhB6kBNqBzr?BmqB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhF+gBNhBUdBzmBRq?BaqB,v115@6gC8HeC8FeD8FeE8AeG8Jei6IvhFzbB+hBNiBUgBfq?BRwB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFdhBUdBfnBClBxq?BOqB,v115@6gC8HeC8FeD8FeE8AeG8Jex6IvhF6kB0gBXiBNqBTr?BmrB,v115@6gC8HeC8FeD8FeE8AeG8Jei6IvhFRcBtkB0hBzlBOq?BXsB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFxgBOnB3hBClBNq?BUrB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFmbBNiBfqBxqBqr?B0qB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFRcB8kBChBXiB2r?BNqB
TIJSLZO,O,O,X,X,O,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIJSLOZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIJSZLO,O,O,X,X,O,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIJSZOL,O,O,X,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
TIJSOLZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIJSOZL,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIJZLSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZSLO,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIJZSOL,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZOSL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOLSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIJOLZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIJOSLZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIJOZSL,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TISLJZO,O,O,O,X,O,X,X,O,O,X,O,O,O,X,X,O,O,O,X,X,O,X
TISLJOZ,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TISLZJO,O,O,O,X,O,X,X,X,O,X,O,O,O,X,X,O,O,O,X,X,O,X
TISLZOJ,O,O,O,X,O,X,X,X,O,O,O,O,O,X,X,O,O,O,X,X,O,X
TISLOJZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X
TISLOZJ,O,O,O,X,O,X,X,X,O,X,O,X,O,X,X,O,O,O,X,X,O,X
TISJLZO,O,O,O,X,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,X,O,X
TISJLOZ,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TISJZLO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,O,X
TISJZOL,O,O,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TISJOLZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X
TISJOZL,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X
TISZLJO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,O,X,X,O,X
TISZLOJ,O,O,O,X,O,X,X,O,X,O,O,O,O,X,X,O,O,O,X,X,O,X
TISZJLO,O,O,O,X,O,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,O,X
TISZJOL,O,O,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TISZOLJ,O,O,X,X,O,X,X,O,X,O,O,O,O,X,X,O,O,X,X,X,O,X
TISZOJL,O,O,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TISOLJZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X
TISOLZJ,O,O,O,X,O,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,O,X
TISOJLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X
TISOJZL,O,O,O,X,X,X,X,O,X,O,X,O,X,O,O,O,X,X,X,X,O,X
TISOZLJ,O,O,X,X,O,X,X,X,X,O,O,O,X,O,O,O,O,X,X,X,O,X
TISOZJL,O,O,O,X,O,X,X,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X
TIZLJSO,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIZLJOS,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZLSJO,O,X,O,O,O,X,X,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TIZLSOJ,O,X,O,O,O,O,X,O,X,O,O,X,O,X,X,O,O,O,X,X,X,X
TIZLOJS,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TIZJLSO,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJLOS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJSLO,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZJSOL,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJOSL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZSLJO,O,X,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,O,X,X,X,X
TIZSLOJ,O,X,O,X,O,O,X,O,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TIZSJLO,O,X,O,X,O,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIZSJOL,O,X,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
TIZSOLJ,O,X,X,X,O,O,X,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X
TIZSOJL,O,X,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
TIZOLJS,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TIOLJZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOLSJZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X
TIOLSZJ,O,O,X,X,O,O,X,X,O,O,O,X,X,O,O,O,O,X,X,X,X,X
TIOLZJS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TIOLZSJ,O,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X
TIOJLSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOJLZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOJSZL,O,O,X,X,X,X,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X
TIOJZLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOJZSL,O,O,X,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X
TIOSLZJ,O,O,X,X,O,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,O,X
TIOSJLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X
TIOSJZL,O,O,X,X,X,X,X,O,X,O,X,O,X,O,O,O,X,X,X,X,O,X
TIOSZLJ,O,O,X,X,O,X,X,X,X,O,O,O,X,O,O,O,O,X,X,X,O,X
TIOSZJL,O,O,X,X,O,X,X,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X
TIOZLJS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TIOZLSJ,O,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TIOZJLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TIOZJSL,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TIOZSLJ,O,X,X,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TIOZSJL,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TLIJSZO,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLIJZSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLIJOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLISJZO,O,O,O,X,O,X,X,O,O,X,O,O,O,X,X,O,O,O,X,X,X,X
TLISJOZ,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLISZJO,O,O,O,X,O,X,X,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X
TLISZOJ,O,O,O,X,O,X,X,X,O,O,O,O,O,X,X,O,O,O,X,X,X,X
TLISOJZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLISOZJ,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,O,O,O,X,X,X,X
TLIZJSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TLIZJOS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIZSJO,O,O,O,O,O,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLIZSOJ,O,O,O,O,O,O,X,X,X,O,O,X,O,X,X,O,O,O,X,X,X,X
TLIZOJS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TLIOJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLIOJZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLIOSZJ,O,O,O,X,O,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X
TLIOZJS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLIOZSJ,O,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X
TLJISZO,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X
TLJISOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLJIZSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLJIOSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TLJIOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSIZO,O,O,O,X,X,X,X,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X
TLJSIOZ,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJSZIO,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
TLJSZOI,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
TLJSOIZ,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLJSOZI,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLJZISO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJZIOS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLJZSOI,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLJZOIS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOISZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLJOIZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJOSZI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJOZIS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJOZSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSIJZO,O,O,O,X,X,X,X,O,O,X,O,O,O,X,X,O,O,O,X,X,O,X
TLSIJOZ,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TLSIZJO,O,O,O,X,O,X,X,X,O,X,O,O,O,X,X,O,O,O,X,X,O,X
TLSIZOJ,O,O,O,X,O,X,X,X,O,O,O,O,O,X,X,O,O,O,X,X,O,X
TLSIOJZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X
TLSIOZJ,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,O,O,O,X,X,O,X
TLSJIZO,O,O,O,X,X,X,X,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLSJZIO,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
TLSJZOI,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
TLSJOIZ,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSJOZI,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSZIJO,O,O,O,O,O,X,X,O,O,X,O,O,O,X,X,O,O,O,X,X,X,X
TLSZIOJ,O,O,O,O,O,O,X,O,O,O,O,O,O,X,X,O,O,O,X,X,X,X
TLSZJIO,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
TLSZJOI,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
TLSZOIJ,O,O,O,O,O,O,X,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X
TLSZOJI,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
TLSOIJZ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X
TLSOIZJ,O,O,O,X,O,O,X,X,O,O,O,X,O,X,X,O,O,O,X,X,O,X
TLSOJIZ,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSOJZI,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSOZIJ,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,O,O,O,X,X,X
TLSOZJI,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X
TLZIJSO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TLZIJOS,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLZISJO,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TLZISOJ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,X,O,O,O,X,X,X,X
TLZIOJS,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TLZJISO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZJIOS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZJSIO,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLZJSOI,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLZJOIS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZJOSI,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,O,X,X,X,O,O,X,O,X,O,X,X,O,O,O,X,X,X,X
TLZSIOJ,O,O,O,O,X,O,X,O,O,O,O,X,O,X,X,O,O,O,X,X,X,X
TLZSJIO,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
TLZSJOI,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
TLZSOIJ,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X
TLZSOJI,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
TLZOIJS,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLZOISJ,O,X,O,O,X,O,X,O,X,X,X,X,O,O,X,X,O,O,O,X,X,X
TLZOJIS,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLZOJSI,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLZOSIJ,O,X,O,O,X,O,X,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X
TLZOSJI,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X
TLOIJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOIJZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOISJZ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLOISZJ,O,O,O,X,O,O,X,X,O,O,O,X,X,O,X,O,O,O,X,X,X,X
TLOIZJS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLOIZSJ,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,O,O,O,X,X,X
TLOJISZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLOJIZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOJSZI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
