sequence,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeR8IvhFCeBTgB/mBU?iB2wBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeC8IvhFxdB2lBlhBc?nBTrB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFxdB6mBTiBX?hB2wBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeF8IvhFxdBTgBumBc?nBKrB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFxdBXhBTiB6?mB2wBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Jex9IvhFTgBlhBcnBK?rBGmB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeG8IvhFxdBigBTiB1?rB3sBUrB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFCeBlhBmlB0?nBzmBxwB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFehBCeBzhB1?sB3mBxwB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFCeBFmBRsB/?sBTrBmrB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFzcBylB5nBc?rBesBFtB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFTcBxdBXiBa?rB1sBWxB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFxdBTiBmlBq?rBlsBcrB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFxdBXhBTiBq?rBOrBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeR8IvhFTgBXiB0rBl?sBOrBCtB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je1BJvhFxdBTgBcnBa?mB+rB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhF3cBTiBFmBR?sB2wBCtB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhF2hBCeBFmBR?sBTsB3rB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFTcB6iBenBF?mBXoBxwB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFxhBzhBCjB0?rBlsBmqB
TIJLSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TIJLZOS,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TIJLOSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJSZOL,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X
TIJZLOS,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X
TIJZSLO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TIJZSOL,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TIJZOLS,X,X,O,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X
TIJZOSL,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TIJOLSZ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJOLZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIJOSLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOZLS,O,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TIJOZSL,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJZOL,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJOLZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISZLJO,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TISZLOJ,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TISZJLO,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TISZJOL,X,O,O,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TISZOLJ,X,O,X,O,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TISZOJL,X,O,O,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TISOLJZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TISOLZJ,X,X,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TISOJLZ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,O,X,O,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TISOZJL,X,O,O,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TIZLJSO,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X
TIZLJOS,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TIZLSJO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIZLOJS,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X
TIZLOSJ,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TIZJLSO,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O
TIZJLOS,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TIZJSLO,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O
TIZJSOL,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O
TIZJOLS,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X
TIZJOSL,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O,O
TIZSLJO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIZSJLO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X
TIZSJOL,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X
TIZSOLJ,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TIZSOJL,X,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,X,O,O,X
TIZOLJS,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,O,O,X
TIZOLSJ,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X
TIZOJLS,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X
TIZOJSL,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,O,O,O,X
TIZOSLJ,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X
TIZOSJL,X,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X
TIOLJSZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLJZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOLZJS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIOLZSJ,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOJLSZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOJLZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIOJSLZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJZLS,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOJZSL,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TIOSZJL,X,O,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TIOZLJS,O,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
TIOZLSJ,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
TIOZJLS,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOZJSL,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X
TIOZSLJ,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
TIOZSJL,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X
TLIJSZO,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJOZS,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLISJZO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLIZJOS,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIZOJS,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TLIZOSJ,X,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TLIOJSZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOJZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLIOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLIOZJS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLIOZSJ,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJISZO,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIOZS,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJSIZO,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSZOI,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSOZI,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJZIOS,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZSOI,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJZOIS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLJZOSI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJOISZ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOIZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLJOSIZ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOSZI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOZIS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLJOZSI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSIJZO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSJOZI,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSZIJO,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSZJIO,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSZJOI,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSOJZI,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZIJOS,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZISJO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZISOJ,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZIOJS,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TLZIOSJ,X,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O
TLZJIOS,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLZJSIO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TLZJSOI,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLZJOIS,O,X,O,X,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLZJOSI,O,X,O,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TLZSIJO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZSJIO,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TLZSOJI,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TLZOIJS,O,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
TLZOISJ,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TLZOJIS,O,X,O,X,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLZOJSI,O,X,O,X,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X
TLZOSIJ,X,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TLZOSJI,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TLOIJSZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOIJZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLOISJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOISZJ,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOIZJS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLOIZSJ,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOJISZ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJIZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLOJSIZ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJSZI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJZIS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLOJZSI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOSJZI,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLOZISJ,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOZJIS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLOZJSI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOZSIJ,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOZSJI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJILSZO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJILSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJILZOS,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
