sequence,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBGeBCiB/?oBUiBlsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFCcB/iB0hBT?jBGoBlsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBuhBciB6?oBXjBlsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBuhB0iB6?oB/sBFtB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBFdB8iB+?jBfnBCtB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbB6jBfnBU?oBlnBGsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBqhBliBc?oB/sBGtB
TJZISLO,X,O,O,X,X,X,X
TJZISOL,X,O,O,X,X,X,X
TJZIOLS,X,O,O,X,X,X,X
TJZIOSL,X,O,O,X,X,X,X
TJZLISO,X,O,O,X,X,X,X
TJZLIOS,X,O,O,X,X,X,X
TJZLSIO,X,O,O,X,X,X,X
TJZLSOI,X,O,O,X,X,X,X
TJZLOIS,X,O,O,X,X,X,X
TJZLOSI,X,O,O,X,X,X,X
TJZSILO,X,O,O,X,X,X,X
TJZSIOL,X,O,O,X,X,X,X
TJZSLIO,X,O,O,X,X,X,X
TJZSLOI,X,O,O,X,X,X,X
TJZSOIL,X,O,O,X,X,X,X
TJZSOLI,X,O,O,X,X,X,X
TJZOILS,X,O,O,X,X,X,X
TJZOISL,X,O,O,X,X,X,X
TJZOLIS,X,O,O,X,X,X,X
TJZOLSI,X,O,O,X,X,X,X
TJZOSIL,X,O,O,X,X,X,X
TJZOSLI,X,O,O,X,X,X,X
TJOILSZ,O,X,O,O,X,X,X
TJOILZS,X,O,O,X,X,X,X
TJOISLZ,O,X,O,O,X,X,X
TJOISZL,O,X,O,O,X,X,X
TJOIZLS,X,O,O,X,X,X,X
TJOIZSL,X,O,O,X,X,X,X
TJOLISZ,O,X,O,O,X,X,X
TJOLIZS,X,O,O,X,X,X,X
TJOLSIZ,O,X,O,O,X,X,X
TJOLSZI,O,X,O,O,X,X,X
TJOLZIS,X,O,O,X,X,X,X
TJOLZSI,X,O,O,X,X,X,X
TJOSILZ,O,X,O,O,X,X,X
TJOSIZL,O,X,O,O,X,X,X
TJOSLIZ,O,X,O,O,X,X,X
TJOSLZI,O,X,O,O,X,X,X
TJOSZIL,O,X,O,O,X,X,X
TJOSZLI,O,X,O,O,X,X,X
TJOZILS,X,O,O,X,X,X,X
TJOZISL,X,O,O,X,X,X,X
TJOZLIS,X,O,O,X,X,X,X
TJOZLSI,X,O,O,X,X,X,X
TJOZSIL,X,O,O,X,X,X,X
TJOZSLI,X,O,O,X,X,X,X
TSILJZO,O,X,O,O,O,X,X
TSILJOZ,O,X,O,O,O,X,X
TSILZJO,O,O,O,O,X,X,X
TSILZOJ,O,O,O,O,X,X,X
TSILOJZ,O,X,O,O,O,X,X
TSILOZJ,O,O,O,O,X,X,X
TSIJLZO,O,X,O,O,X,X,X
TSIJLOZ,O,X,O,O,X,X,X
TSIJZLO,O,X,O,O,X,X,X
TSIJZOL,O,X,O,O,X,X,X
TSIJOLZ,O,X,O,O,X,X,X
TSIJOZL,O,X,O,O,X,X,X
TSIZLJO,O,O,O,O,X,O,X
TSIZLOJ,O,O,O,O,X,O,X
TSIZJLO,O,O,O,O,X,X,X
TSIZJOL,O,O,O,O,X,X,X
TSIZOLJ,O,O,O,O,X,O,X
TSIZOJL,O,O,O,O,X,X,X
TSIOLJZ,O,X,O,O,O,X,X
TSIOLZJ,O,O,O,O,X,X,X
TSIOJLZ,O,X,O,O,X,X,X
TSIOJZL,O,X,O,O,X,X,X
TSIOZLJ,O,O,O,O,X,O,X
TSIOZJL,O,O,O,O,X,X,X
TSLIJZO,O,X,O,O,O,X,X
TSLIJOZ,O,X,O,O,O,X,X
TSLIZJO,O,O,O,O,X,X,X
TSLIZOJ,O,O,O,O,X,X,X
TSLIOJZ,O,X,O,O,O,X,X
TSLIOZJ,O,O,O,O,X,X,X
TSLJIZO,O,X,O,O,O,X,X
TSLJIOZ,O,X,O,O,O,X,X
TSLJZIO,O,X,O,O,O,X,X
TSLJZOI,O,X,O,O,O,X,X
TSLJOIZ,O,X,O,O,O,X,X
TSLJOZI,O,X,O,O,O,X,X
TSLZIJO,O,O,O,O,X,X,X
TSLZIOJ,O,O,O,O,X,X,X
TSLZJIO,O,O,O,O,X,X,X
TSLZJOI,O,O,O,O,X,X,X
TSLZOIJ,O,O,O,O,X,X,X
TSLZOJI,O,O,O,O,X,X,X
TSLOIJZ,O,X,O,O,O,X,X
TSLOIZJ,O,O,O,O,X,X,X
TSLOJIZ,O,X,O,O,O,X,X
TSLOJZI,O,X,O,O,O,X,X
TSLOZIJ,O,O,O,O,X,X,X
TSLOZJI,O,O,O,O,X,X,X
TSJILZO,O,X,O,O,X,X,X
TSJILOZ,O,X,O,O,X,X,X
TSJIZLO,O,X,O,O,X,X,X
TSJIZOL,O,X,O,O,X,X,X
TSJIOLZ,O,X,O,O,X,X,X
TSJIOZL,O,X,O,O,X,X,X
TSJLIZO,O,X,O,O,X,X,X
TSJLIOZ,O,X,O,O,X,X,X
TSJLZIO,O,X,O,O,X,X,X
TSJLZOI,O,X,O,O,X,X,X
TSJLOIZ,O,X,O,O,X,X,X
TSJLOZI,O,X,O,O,X,X,X
TSJZILO,O,X,O,O,X,X,X
TSJZIOL,O,X,O,O,X,X,X
TSJZLIO,O,X,O,O,X,X,X
TSJZLOI,O,X,O,O,X,X,X
TSJZOIL,O,X,O,O,X,X,X
TSJZOLI,O,X,O,O,X,X,X
TSJOILZ,O,X,O,O,X,X,X
TSJOIZL,O,X,O,O,X,X,X
TSJOLIZ,O,X,O,O,X,X,X
TSJOLZI,O,X,O,O,X,X,X
TSJOZIL,O,X,O,O,X,X,X
TSJOZLI,O,X,O,O,X,X,X
TSZILJO,O,O,O,O,X,O,X
TSZILOJ,O,O,O,O,X,O,X
TSZIJLO,O,O,O,O,X,X,X
TSZIJOL,O,O,O,O,X,X,X
TSZIOLJ,O,O,O,O,X,O,X
TSZIOJL,O,O,O,O,X,X,X
TSZLIJO,O,O,O,O,X,O,X
TSZLIOJ,O,O,O,O,X,O,X
TSZLJIO,O,O,O,O,X,X,X
TSZLJOI,O,O,O,O,X,X,X
TSZLOIJ,O,O,O,O,X,O,X
TSZLOJI,O,O,O,O,X,X,X
TSZJILO,O,O,O,O,X,X,X
TSZJIOL,O,O,O,O,X,X,X
TSZJLIO,O,O,O,O,X,X,X
TSZJLOI,O,O,O,O,X,X,X
TSZJOIL,O,O,O,O,X,X,X
TSZJOLI,O,O,O,O,X,X,X
TSZOILJ,O,O,O,O,X,O,X
TSZOIJL,O,O,O,O,X,X,X
TSZOLIJ,O,O,O,O,X,O,X
TSZOLJI,O,O,O,O,X,X,X
TSZOJIL,O,O,O,O,X,X,X
TSZOJLI,O,O,O,O,X,X,X
TSOILJZ,O,X,O,O,O,X,X
TSOILZJ,O,O,O,O,X,X,X
TSOIJLZ,O,X,O,O,X,X,X
TSOIJZL,O,X,O,O,X,X,X
TSOIZLJ,O,O,O,O,X,O,X
TSOIZJL,O,O,O,O,X,X,X
TSOLIJZ,O,X,O,O,O,X,X
TSOLIZJ,O,O,O,O,X,X,X
TSOLJIZ,O,X,O,O,O,X,X
TSOLJZI,O,X,O,O,O,X,X
TSOLZIJ,O,O,O,O,X,X,X
TSOLZJI,O,O,O,O,X,X,X
TSOJILZ,O,X,O,O,X,X,X
TSOJIZL,O,X,O,O,X,X,X
TSOJLIZ,O,X,O,O,X,X,X
TSOJLZI,O,X,O,O,X,X,X
TSOJZIL,O,X,O,O,X,X,X
TSOJZLI,O,X,O,O,X,X,X
TSOZILJ,O,O,O,O,X,O,X
TSOZIJL,O,O,O,O,X,X,X
TSOZLIJ,O,O,O,O,X,O,X
TSOZLJI,O,O,O,O,X,X,X
TSOZJIL,O,O,O,O,X,X,X
TSOZJLI,O,O,O,O,X,X,X
TZILJSO,X,O,O,X,X,X,X
TZILJOS,X,O,O,X,X,X,O
TZILSJO,O,O,O,X,X,O,X
TZILSOJ,O,O,O,X,X,O,O
TZILOJS,X,O,O,X,X,X,O
TZILOSJ,O,O,O,X,X,O,O
TZIJLSO,X,O,O,X,X,X,X
TZIJLOS,X,O,O,X,X,X,O
TZIJSLO,X,O,O,X,X,X,X
TZIJSOL,X,O,O,X,X,X,X
TZIJOLS,X,O,O,X,X,X,X
TZIJOSL,X,O,O,X,X,X,X
TZISLJO,O,O,O,X,X,O,X
TZISLOJ,O,O,O,X,X,O,O
TZISJLO,O,O,O,X,X,X,X
TZISJOL,O,O,O,X,X,X,X
TZISOLJ,O,O,O,X,X,O,X
TZISOJL,O,O,O,X,X,X,X
TZIOLJS,X,O,O,X,X,X,O
TZIOLSJ,O,O,O,X,X,O,O
TZIOJLS,X,O,O,X,X,X,X
TZIOJSL,X,O,O,X,X,X,X
TZIOSLJ,O,O,O,X,X,O,X
TZIOSJL,O,O,O,X,X,X,X
TZLIJSO,X,O,O,X,X,X,X
TZLIJOS,X,O,O,X,X,X,O
TZLISJO,O,O,O,X,X,O,X
TZLISOJ,O,O,O,X,X,O,O
TZLIOJS,X,O,O,X,X,X,O
TZLIOSJ,O,O,O,X,X,O,O
TZLJISO,X,O,O,X,X,X,X
TZLJIOS,X,O,O,X,X,X,O
TZLJSIO,X,O,O,X,X,X,X
TZLJSOI,X,O,O,X,X,X,X
TZLJOIS,X,O,O,X,X,X,O
TZLJOSI,X,O,O,X,X,X,X
TZLSIJO,O,O,O,X,X,O,X
TZLSIOJ,O,O,O,X,X,O,O
TZLSJIO,O,O,O,X,X,X,X
TZLSJOI,O,O,O,X,X,X,X
TZLSOIJ,O,O,O,X,X,O,O
TZLSOJI,O,O,O,X,X,X,X
TZLOIJS,X,O,O,X,X,X,O
TZLOISJ,O,O,O,X,X,O,O
TZLOJIS,X,O,O,X,X,X,O
TZLOJSI,X,O,O,X,X,X,X
TZLOSIJ,O,O,O,X,X,O,O
TZLOSJI,O,O,O,X,X,X,X
TZJILSO,X,O,O,X,X,X,X
TZJILOS,X,O,O,X,X,X,O
TZJISLO,X,O,O,X,X,X,X
TZJISOL,X,O,O,X,X,X,X
TZJIOLS,X,O,O,X,X,X,X
TZJIOSL,X,O,O,X,X,X,X
TZJLISO,X,O,O,X,X,X,X
TZJLIOS,X,O,O,X,X,X,O
TZJLSIO,X,O,O,X,X,X,X
TZJLSOI,X,O,O,X,X,X,X
TZJLOIS,X,O,O,X,X,X,O
TZJLOSI,X,O,O,X,X,X,X
TZJSILO,X,O,O,X,X,X,X
TZJSIOL,X,O,O,X,X,X,X
TZJSLIO,X,O,O,X,X,X,X
TZJSLOI,X,O,O,X,X,X,X
TZJSOIL,X,O,O,X,X,X,X
TZJSOLI,X,O,O,X,X,X,X
TZJOILS,X,O,O,X,X,X,X
TZJOISL,X,O,O,X,X,X,X
TZJOLIS,X,O,O,X,X,X,X
TZJOLSI,X,O,O,X,X,X,X
TZJOSIL,X,O,O,X,X,X,X
TZJOSLI,X,O,O,X,X,X,X
TZSILJO,O,O,O,X,X,O,X
TZSILOJ,O,O,O,X,X,O,O
TZSIJLO,O,O,O,X,X,X,X
TZSIJOL,O,O,O,X,X,X,X
TZSIOLJ,O,O,O,X,X,O,X
TZSIOJL,O,O,O,X,X,X,X
TZSLIJO,O,O,O,X,X,O,X
TZSLIOJ,O,O,O,X,X,O,O
TZSLJIO,O,O,O,X,X,X,X
TZSLJOI,O,O,O,X,X,X,X
TZSLOIJ,O,O,O,X,X,O,O
TZSLOJI,O,O,O,X,X,X,X
TZSJILO,O,O,O,X,X,X,X
TZSJIOL,O,O,O,X,X,X,X
TZSJLIO,O,O,O,X,X,X,X
TZSJLOI,O,O,O,X,X,X,X
TZSJOIL,O,O,O,X,X,X,X
TZSJOLI,O,O,O,X,X,X,X
TZSOILJ,O,O,O,X,X,O,X
TZSOIJL,O,O,O,X,X,X,X
TZSOLIJ,O,O,O,X,X,O,X
TZSOLJI,O,O,O,X,X,X,X
TZSOJIL,O,O,O,X,X,X,X
TZSOJLI,O,O,O,X,X,X,X
TZOILJS,X,O,O,X,X,X,O
TZOILSJ,O,O,O,X,X,O,O
TZOIJLS,X,O,O,X,X,X,X
TZOIJSL,X,O,O,X,X,X,X
