sequence,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBGeBCiB/?oBUiBlsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFCcB/iB0hBT?jBGoBlsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBuhBciB6?oBXjBlsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBuhB0iB6?oB/sBFtB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBFdB8iB+?jBfnBCtB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbB6jBfnBU?oBlnBGsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBqhBliBc?oB/sBGtB
ISOJLTZ,O,X,X,O,O,X,X
ISOJLZT,O,X,X,O,O,X,X
ISOJZTL,O,X,X,O,X,X,X
ISOJZLT,O,X,X,O,X,O,X
ISOZTLJ,O,X,X,O,X,O,X
ISOZTJL,O,X,X,O,X,X,X
ISOZLTJ,X,X,X,O,X,O,O
ISOZLJT,O,X,X,O,O,O,X
ISOZJTL,O,X,X,O,X,X,X
ISOZJLT,O,X,X,O,X,O,X
IZTLJSO,X,O,O,X,X,X,X
IZTLJOS,X,O,O,X,X,X,O
IZTLSJO,O,O,O,X,X,O,X
IZTLSOJ,O,O,O,X,X,O,O
IZTLOJS,X,O,O,X,X,X,O
IZTLOSJ,O,O,O,X,X,O,O
IZTJLSO,X,O,O,X,X,X,X
IZTJLOS,X,O,O,X,X,X,O
IZTJSLO,X,O,O,X,X,X,X
IZTJSOL,X,O,O,X,X,X,X
IZTJOLS,X,O,O,X,X,X,X
IZTJOSL,X,O,O,X,X,X,X
IZTSLJO,O,O,O,X,X,O,X
IZTSLOJ,O,O,O,X,X,O,O
IZTSJLO,O,O,O,X,X,X,X
IZTSJOL,O,O,O,X,X,X,X
IZTSOLJ,O,O,O,X,X,O,X
IZTSOJL,O,O,O,X,X,X,X
IZTOLJS,X,O,O,X,X,X,O
IZTOLSJ,O,O,O,X,X,O,O
IZTOJLS,X,O,O,X,X,X,X
IZTOJSL,X,O,O,X,X,X,X
IZTOSLJ,O,O,O,X,X,O,X
IZTOSJL,O,O,O,X,X,X,X
IZLTJSO,X,O,O,X,X,X,X
IZLTJOS,X,O,O,X,X,X,O
IZLTSJO,O,O,O,X,X,O,X
IZLTSOJ,O,O,O,X,X,O,O
IZLTOJS,X,O,O,X,X,X,O
IZLTOSJ,O,O,O,X,X,O,O
IZLJTSO,X,O,X,X,O,X,X
IZLJTOS,X,O,X,X,O,X,O
IZLJSTO,X,O,X,O,O,O,X
IZLJSOT,X,X,X,O,O,O,X
IZLJOTS,X,X,X,X,O,X,O
IZLJOST,X,X,X,O,O,O,X
IZLSTJO,X,O,X,O,X,O,X
IZLSTOJ,X,O,X,O,X,O,O
IZLSJTO,X,O,X,O,O,O,X
IZLSJOT,O,X,X,O,O,O,X
IZLSOTJ,X,O,X,O,X,O,O
IZLSOJT,O,X,X,O,O,O,X
IZLOTJS,X,O,O,X,X,X,O
IZLOTSJ,O,O,O,X,X,O,O
IZLOJTS,X,X,X,X,O,X,O
IZLOJST,X,X,X,O,O,O,X
IZLOSTJ,X,O,X,O,X,O,O
IZLOSJT,O,X,X,O,O,O,X
IZJTLSO,X,O,O,X,X,X,X
IZJTLOS,X,O,O,X,X,X,O
IZJTSLO,X,O,O,X,X,X,X
IZJTSOL,X,O,O,X,X,X,X
IZJTOLS,X,O,O,X,X,X,X
IZJTOSL,X,O,O,X,X,X,X
IZJLTSO,X,O,X,X,X,X,X
IZJLTOS,X,O,X,X,X,X,O
IZJLSTO,X,O,X,O,X,O,X
IZJLSOT,X,X,X,O,X,O,X
IZJLOTS,X,X,X,X,X,X,O
IZJLOST,X,X,X,O,X,O,X
IZJSTLO,X,O,X,O,X,X,X
IZJSTOL,X,O,X,O,X,X,X
IZJSLTO,X,O,X,O,X,O,X
IZJSLOT,X,X,X,O,X,O,X
IZJSOTL,X,X,X,O,X,X,X
IZJSOLT,X,X,X,O,X,O,X
IZJOTLS,X,X,O,X,X,X,X
IZJOTSL,X,X,O,X,X,X,X
IZJOLTS,X,X,X,X,X,X,O
IZJOLST,X,X,X,O,X,O,X
IZJOSTL,X,X,X,O,X,X,X
IZJOSLT,X,X,X,O,X,O,X
IZSTLJO,O,O,X,O,X,O,X
IZSTLOJ,O,O,X,O,X,O,O
IZSTJLO,O,O,X,O,X,X,X
IZSTJOL,O,O,X,O,X,X,X
IZSTOLJ,O,O,X,O,X,O,X
IZSTOJL,O,O,X,O,X,X,X
IZSLTJO,X,O,X,O,X,O,X
IZSLTOJ,X,O,X,O,X,O,O
IZSLJTO,X,O,X,O,O,O,X
IZSLJOT,O,X,X,O,O,O,X
IZSLOTJ,X,O,X,O,X,O,O
IZSLOJT,O,X,X,O,O,O,X
IZSJTLO,O,O,X,O,X,X,X
IZSJTOL,O,O,X,O,X,X,X
IZSJLTO,X,O,X,O,X,O,X
IZSJLOT,O,X,X,O,X,O,X
IZSJOTL,O,X,X,O,X,X,X
IZSJOLT,O,X,X,O,X,O,X
IZSOTLJ,O,O,X,O,X,O,X
IZSOTJL,O,O,X,O,X,X,X
IZSOLTJ,X,O,X,O,X,O,O
IZSOLJT,O,X,X,O,O,O,X
IZSOJTL,O,X,X,O,X,X,X
IZSOJLT,O,X,X,O,X,O,X
IZOTLJS,X,O,O,X,X,X,O
IZOTLSJ,O,O,O,X,X,O,O
IZOTJLS,X,O,O,X,X,X,X
IZOTJSL,X,O,O,X,X,X,X
IZOTSLJ,O,O,O,X,X,O,X
IZOTSJL,O,O,O,X,X,X,X
IZOLTJS,X,O,O,X,X,X,O
IZOLTSJ,O,O,O,X,X,O,O
IZOLJTS,X,X,X,X,O,X,O
IZOLJST,X,X,X,O,O,O,X
IZOLSTJ,X,O,X,O,X,O,O
IZOLSJT,O,X,X,O,O,O,X
IZOJTLS,X,X,O,X,X,X,X
IZOJTSL,X,X,O,X,X,X,X
IZOJLTS,X,X,X,X,X,X,O
IZOJLST,X,X,X,O,X,O,X
IZOJSTL,X,X,X,O,X,X,X
IZOJSLT,X,X,X,O,X,O,X
IZOSTLJ,O,O,X,O,X,O,X
IZOSTJL,O,O,X,O,X,X,X
IZOSLTJ,X,O,X,O,X,O,O
IZOSLJT,O,X,X,O,O,O,X
IZOSJTL,O,X,X,O,X,X,X
IZOSJLT,O,X,X,O,X,O,X
IOTLJSZ,O,X,O,O,O,X,X
IOTLJZS,X,O,O,X,O,X,X
IOTLSJZ,O,X,O,O,O,X,X
IOTLSZJ,O,O,O,O,X,X,X
IOTLZJS,X,O,O,X,X,X,O
IOTLZSJ,O,O,O,X,X,X,O
IOTJLSZ,O,X,O,O,X,X,X
IOTJLZS,X,O,O,X,X,X,X
IOTJSLZ,O,X,O,O,X,X,X
IOTJSZL,O,X,O,O,X,X,X
IOTJZLS,X,O,O,X,X,X,X
IOTJZSL,X,O,O,X,X,X,X
IOTSLJZ,O,X,O,O,O,X,X
IOTSLZJ,O,O,O,O,X,X,X
IOTSJLZ,O,X,O,O,X,X,X
IOTSJZL,O,X,O,O,X,X,X
IOTSZLJ,O,O,O,O,X,O,X
IOTSZJL,O,O,O,O,X,X,X
IOTZLJS,X,O,O,X,X,X,O
IOTZLSJ,O,O,O,X,X,O,O
IOTZJLS,X,O,O,X,X,X,X
IOTZJSL,X,O,O,X,X,X,X
IOTZSLJ,O,O,O,X,X,O,X
IOTZSJL,O,O,O,X,X,X,X
IOLTJSZ,O,X,O,O,O,X,X
IOLTJZS,X,O,O,X,O,X,X
IOLTSJZ,O,X,O,O,O,X,X
IOLTSZJ,O,O,O,O,X,X,X
IOLTZJS,X,O,O,X,X,X,O
IOLTZSJ,O,O,O,X,X,X,O
IOLJTSZ,O,X,O,O,O,X,X
IOLJTZS,X,X,O,X,O,X,X
IOLJSTZ,O,X,X,O,O,X,X
IOLJSZT,O,X,X,O,O,X,X
IOLJZTS,X,X,X,X,O,X,O
IOLJZST,X,X,X,O,O,X,X
IOLSTJZ,O,X,O,O,O,X,X
IOLSTZJ,O,X,O,O,X,X,X
IOLSJTZ,O,X,X,O,O,X,X
IOLSJZT,O,X,X,O,O,X,X
IOLSZTJ,X,X,X,O,X,O,O
IOLSZJT,O,X,X,O,O,O,X
IOLZTJS,X,O,O,X,X,X,O
IOLZTSJ,O,O,O,X,X,O,O
IOLZJTS,X,X,X,X,O,X,O
IOLZJST,X,X,X,O,O,O,X
IOLZSTJ,X,O,X,O,X,O,O
IOLZSJT,O,X,X,O,O,O,X
IOJTLSZ,O,X,O,O,X,X,X
IOJTLZS,X,X,O,X,X,X,X
IOJTSLZ,O,X,O,O,X,X,X
IOJTSZL,O,X,O,O,X,X,X
IOJTZLS,X,X,O,X,X,X,X
IOJTZSL,X,X,O,X,X,X,X
IOJLTSZ,O,X,O,O,O,X,X
IOJLTZS,X,X,O,X,O,X,X
IOJLSTZ,O,X,X,O,O,X,X
IOJLSZT,O,X,X,O,O,X,X
IOJLZTS,X,X,X,X,O,X,O
IOJLZST,X,X,X,O,O,X,X
IOJSTLZ,O,X,O,O,X,X,X
IOJSTZL,O,X,O,O,X,X,X
IOJSLTZ,O,X,X,O,O,X,X
IOJSLZT,O,X,X,O,O,X,X
IOJSZTL,O,X,X,O,X,X,X
IOJSZLT,O,X,X,O,X,O,X
IOJZTLS,X,X,O,X,X,X,X
IOJZTSL,X,X,O,X,X,X,X
IOJZLTS,X,X,X,X,X,X,O
IOJZLST,X,X,X,O,X,O,X
IOJZSTL,X,X,X,O,X,X,X
IOJZSLT,X,X,X,O,X,O,X
IOSTLJZ,O,X,O,O,O,X,X
IOSTLZJ,O,X,O,O,X,X,X
IOSTJLZ,O,X,O,O,X,X,X
IOSTJZL,O,X,O,O,X,X,X
IOSTZLJ,O,X,O,O,X,O,X
IOSTZJL,O,X,O,O,X,X,X
IOSLTJZ,O,X,O,O,O,X,X
IOSLTZJ,O,X,O,O,X,X,X
IOSLJTZ,O,X,X,O,O,X,X
IOSLJZT,O,X,X,O,O,X,X
IOSLZTJ,X,X,X,O,X,O,O
IOSLZJT,O,X,X,O,O,O,X
IOSJTLZ,O,X,O,O,X,X,X
IOSJTZL,O,X,O,O,X,X,X
IOSJLTZ,O,X,X,O,O,X,X
IOSJLZT,O,X,X,O,O,X,X
IOSJZTL,O,X,X,O,X,X,X
IOSJZLT,O,X,X,O,X,O,X
IOSZTLJ,O,X,X,O,X,O,X
IOSZTJL,O,X,X,O,X,X,X
IOSZLTJ,X,X,X,O,X,O,O
IOSZLJT,O,X,X,O,O,O,X
IOSZJTL,O,X,X,O,X,X,X
IOSZJLT,O,X,X,O,X,O,X
IOZTLJS,X,O,O,X,X,X,O
IOZTLSJ,O,O,O,X,X,O,O
IOZTJLS,X,O,O,X,X,X,X
IOZTJSL,X,O,O,X,X,X,X
IOZTSLJ,O,O,O,X,X,O,X
IOZTSJL,O,O,O,X,X,X,X
IOZLTJS,X,O,O,X,X,X,O
IOZLTSJ,O,O,O,X,X,O,O
IOZLJTS,X,X,X,X,O,X,O
IOZLJST,X,X,X,O,O,O,X
IOZLSTJ,X,O,X,O,X,O,O
IOZLSJT,O,X,X,O,O,O,X
IOZJTLS,X,X,O,X,X,X,X
IOZJTSL,X,X,O,X,X,X,X
IOZJLTS,X,X,X,X,X,X,O
IOZJLST,X,X,X,O,X,O,X
IOZJSTL,X,X,X,O,X,X,X
IOZJSLT,X,X,X,O,X,O,X
IOZSTLJ,O,O,X,O,X,O,X
IOZSTJL,O,O,X,O,X,X,X
IOZSLTJ,X,O,X,O,X,O,O
IOZSLJT,O,X,X,O,O,O,X
IOZSJTL,O,X,X,O,X,X,X
IOZSJLT,O,X,X,O,X,O,X
LTIJSZO,O,X,O,O,O,X,X
LTIJSOZ,O,X,O,O,O,X,X
LTIJZSO,X,O,O,X,O,X,X
LTIJZOS,X,O,O,X,O,X,X
LTIJOSZ,O,X,O,O,O,X,X
LTIJOZS,X,O,O,X,O,X,X
LTISJZO,O,X,O,O,O,X,X
LTISJOZ,O,X,O,O,O,X,X
LTISZJO,O,O,O,O,X,X,X
LTISZOJ,O,O,O,O,X,X,X
LTISOJZ,O,X,O,O,O,X,X
LTISOZJ,O,O,O,O,X,X,X
LTIZJSO,X,O,O,X,X,X,X
LTIZJOS,X,O,O,X,X,X,O
LTIZSJO,O,O,O,X,X,X,X
LTIZSOJ,O,O,O,X,X,X,O
LTIZOJS,X,O,O,X,X,X,O
LTIZOSJ,O,O,O,X,X,X,O
LTIOJSZ,O,X,O,O,O,X,X
LTIOJZS,X,O,O,X,O,X,X
LTIOSJZ,O,X,O,O,O,X,X
LTIOSZJ,O,O,O,O,X,X,X
LTIOZJS,X,O,O,X,X,X,O
LTIOZSJ,O,O,O,X,X,X,O
LTJISZO,O,X,O,O,O,X,X
LTJISOZ,O,X,O,O,O,X,X
LTJIZSO,X,O,O,X,O,X,X
LTJIZOS,X,O,O,X,O,X,X
LTJIOSZ,O,X,O,O,O,X,X
LTJIOZS,X,O,O,X,O,X,X
LTJSIZO,O,X,O,O,O,X,X
LTJSIOZ,O,X,O,O,O,X,X
LTJSZIO,O,X,O,O,O,X,X
LTJSZOI,O,X,O,O,O,X,X
LTJSOIZ,O,X,O,O,O,X,X
LTJSOZI,O,X,O,O,O,X,X
LTJZISO,X,O,O,X,O,X,X
LTJZIOS,X,O,O,X,O,X,X
LTJZSIO,X,O,O,X,O,X,X
LTJZSOI,X,O,O,X,O,X,X
LTJZOIS,X,O,O,X,O,X,X
LTJZOSI,X,O,O,X,O,X,X
LTJOISZ,O,X,O,O,O,X,X
LTJOIZS,X,O,O,X,O,X,X
LTJOSIZ,O,X,O,O,O,X,X
LTJOSZI,O,X,O,O,O,X,X
LTJOZIS,X,O,O,X,O,X,X
LTJOZSI,X,O,O,X,O,X,X
LTSIJZO,O,X,O,O,O,X,X
LTSIJOZ,O,X,O,O,O,X,X
LTSIZJO,O,O,O,O,X,X,X
LTSIZOJ,O,O,O,O,X,X,X
LTSIOJZ,O,X,O,O,O,X,X
LTSIOZJ,O,O,O,O,X,X,X
LTSJIZO,O,X,O,O,O,X,X
LTSJIOZ,O,X,O,O,O,X,X
LTSJZIO,O,X,O,O,O,X,X
LTSJZOI,O,X,O,O,O,X,X
LTSJOIZ,O,X,O,O,O,X,X
LTSJOZI,O,X,O,O,O,X,X
LTSZIJO,O,O,O,O,X,X,X
LTSZIOJ,O,O,O,O,X,X,X
LTSZJIO,O,O,O,O,X,X,X
LTSZJOI,O,O,O,O,X,X,X
LTSZOIJ,O,O,O,O,X,X,X
LTSZOJI,O,O,O,O,X,X,X
LTSOIJZ,O,X,O,O,O,X,X
LTSOIZJ,O,O,O,O,X,X,X
LTSOJIZ,O,X,O,O,O,X,X
LTSOJZI,O,X,O,O,O,X,X
LTSOZIJ,O,O,O,O,X,X,X
LTSOZJI,O,O,O,O,X,X,X
LTZIJSO,X,O,O,X,X,X,X
LTZIJOS,X,O,O,X,X,X,O
LTZISJO,O,O,O,X,X,X,X
LTZISOJ,O,O,O,X,X,X,O
LTZIOJS,X,O,O,X,X,X,O
LTZIOSJ,O,O,O,X,X,X,O
LTZJISO,X,O,O,X,X,X,X
LTZJIOS,X,O,O,X,X,X,O
LTZJSIO,X,O,O,X,X,X,X
LTZJSOI,X,O,O,X,X,X,X
LTZJOIS,X,O,O,X,X,X,O
LTZJOSI,X,O,O,X,X,X,X
LTZSIJO,O,O,O,X,X,X,X
LTZSIOJ,O,O,O,X,X,X,O
LTZSJIO,O,O,O,X,X,X,X
LTZSJOI,O,O,O,X,X,X,X
LTZSOIJ,O,O,O,X,X,X,O
LTZSOJI,O,O,O,X,X,X,X
LTZOIJS,X,O,O,X,X,X,O
LTZOISJ,O,O,O,X,X,X,O
LTZOJIS,X,O,O,X,X,X,O
LTZOJSI,X,O,O,X,X,X,X
LTZOSIJ,O,O,O,X,X,X,O
LTZOSJI,O,O,O,X,X,X,X
LTOIJSZ,O,X,O,O,O,X,X
LTOIJZS,X,O,O,X,O,X,X
LTOISJZ,O,X,O,O,O,X,X
LTOISZJ,O,O,O,O,X,X,X
LTOIZJS,X,O,O,X,X,X,O
LTOIZSJ,O,O,O,X,X,X,O
LTOJISZ,O,X,O,O,O,X,X
LTOJIZS,X,O,O,X,O,X,X
LTOJSIZ,O,X,O,O,O,X,X
LTOJSZI,O,X,O,O,O,X,X
LTOJZIS,X,O,O,X,O,X,X
LTOJZSI,X,O,O,X,O,X,X
LTOSIJZ,O,X,O,O,O,X,X
LTOSIZJ,O,O,O,O,X,X,X
LTOSJIZ,O,X,O,O,O,X,X
LTOSJZI,O,X,O,O,O,X,X
LTOSZIJ,O,O,O,O,X,X,X
LTOSZJI,O,O,O,O,X,X,X
LTOZIJS,X,O,O,X,X,X,O
LTOZISJ,O,O,O,X,X,X,O
LTOZJIS,X,O,O,X,X,X,O
LTOZJSI,X,O,O,X,X,X,X
LTOZSIJ,O,O,O,X,X,X,O
LTOZSJI,O,O,O,X,X,X,X
LITJSZO,O,X,O,O,O,X,X
LITJSOZ,O,X,O,O,O,X,X
LITJZSO,X,O,O,X,O,X,X
LITJZOS,X,O,O,X,O,X,X
LITJOSZ,O,X,O,O,O,X,X
LITJOZS,X,O,O,X,O,X,X
LITSJZO,O,X,O,O,O,X,X
LITSJOZ,O,X,O,O,O,X,X
LITSZJO,O,O,O,O,X,X,X
LITSZOJ,O,O,O,O,X,X,X
LITSOJZ,O,X,O,O,O,X,X
LITSOZJ,O,O,O,O,X,X,X
LITZJSO,X,O,O,X,X,X,X
LITZJOS,X,O,O,X,X,X,O
LITZSJO,O,O,O,X,X,X,X
LITZSOJ,O,O,O,X,X,X,O
LITZOJS,X,O,O,X,X,X,O
LITZOSJ,O,O,O,X,X,X,O
LITOJSZ,O,X,O,O,O,X,X
LITOJZS,X,O,O,X,O,X,X
LITOSJZ,O,X,O,O,O,X,X
LITOSZJ,O,O,O,O,X,X,X
LITOZJS,X,O,O,X,X,X,O
LITOZSJ,O,O,O,X,X,X,O
LIJTSZO,O,X,O,O,O,X,X
LIJTSOZ,O,X,O,O,O,X,X
LIJTZSO,X,O,O,X,O,X,X
LIJTZOS,X,O,O,X,O,X,X
LIJTOSZ,O,X,O,O,O,X,X
LIJTOZS,X,O,O,X,O,X,X
LIJSTZO,X,X,X,O,O,X,X
LIJSTOZ,O,X,X,O,O,X,X
LIJSZTO,X,X,X,O,O,X,X
LIJSZOT,O,X,X,O,O,X,X
LIJSOTZ,O,X,X,O,O,X,X
LIJSOZT,O,X,X,O,O,X,X
LIJZTSO,X,O,X,X,O,X,X
LIJZTOS,X,O,X,X,O,X,O
LIJZSTO,X,O,X,O,O,X,X
LIJZSOT,X,X,X,O,O,X,X
LIJZOTS,X,X,X,X,O,X,O
LIJZOST,X,X,X,O,O,X,X
LIJOTSZ,O,X,O,O,O,X,X
LIJOTZS,X,X,O,X,O,X,X
LIJOSTZ,O,X,X,O,O,X,X
LIJOSZT,O,X,X,O,O,X,X
LIJOZTS,X,X,X,X,O,X,O
LIJOZST,X,X,X,O,O,X,X
LISTJZO,O,X,O,O,O,X,X
LISTJOZ,O,X,O,O,O,X,X
LISTZJO,O,O,O,O,X,X,X
LISTZOJ,O,O,O,O,X,X,X
LISTOJZ,O,X,O,O,O,X,X
LISTOZJ,O,O,O,O,X,X,X
LISJTZO,O,X,X,O,O,X,X
LISJTOZ,O,X,X,O,O,X,X
LISJZTO,X,X,X,O,O,X,X
LISJZOT,O,X,X,O,O,X,X
LISJOTZ,O,X,X,O,O,X,X
LISJOZT,O,X,X,O,O,X,X
LISZTJO,X,O,X,O,X,O,X
LISZTOJ,X,O,X,O,X,O,O
LISZJTO,X,O,X,O,O,O,X
LISZJOT,O,X,X,O,O,O,X
LISZOTJ,X,O,X,O,X,O,O
LISZOJT,O,X,X,O,O,O,X
LISOTJZ,O,X,O,O,O,X,X
LISOTZJ,O,X,O,O,X,X,X
LISOJTZ,O,X,X,O,O,X,X
LISOJZT,O,X,X,O,O,X,X
LISOZTJ,X,X,X,O,X,O,O
LISOZJT,O,X,X,O,O,O,X
LIZTJSO,X,O,O,X,X,X,X
LIZTJOS,X,O,O,X,X,X,O
LIZTSJO,O,O,O,X,X,O,X
LIZTSOJ,O,O,O,X,X,O,O
LIZTOJS,X,O,O,X,X,X,O
LIZTOSJ,O,O,O,X,X,O,O
LIZJTSO,X,O,X,X,O,X,X
LIZJTOS,X,O,X,X,O,X,O
LIZJSTO,X,O,X,O,O,O,X
LIZJSOT,X,X,X,O,O,O,X
LIZJOTS,X,X,X,X,O,X,O
LIZJOST,X,X,X,O,O,O,X
LIZSTJO,X,O,X,O,X,O,X
LIZSTOJ,X,O,X,O,X,O,O
LIZSJTO,X,O,X,O,O,O,X
LIZSJOT,O,X,X,O,O,O,X
LIZSOTJ,X,O,X,O,X,O,O
LIZSOJT,O,X,X,O,O,O,X
LIZOTJS,X,O,O,X,X,X,O
LIZOTSJ,O,O,O,X,X,O,O
LIZOJTS,X,X,X,X,O,X,O
LIZOJST,X,X,X,O,O,O,X
LIZOSTJ,X,O,X,O,X,O,O
LIZOSJT,O,X,X,O,O,O,X
LIOTJSZ,O,X,O,O,O,X,X
LIOTJZS,X,O,O,X,O,X,X
LIOTSJZ,O,X,O,O,O,X,X
LIOTSZJ,O,O,O,O,X,X,X
LIOTZJS,X,O,O,X,X,X,O
LIOTZSJ,O,O,O,X,X,X,O
LIOJTSZ,O,X,O,O,O,X,X
LIOJTZS,X,X,O,X,O,X,X
LIOJSTZ,O,X,X,O,O,X,X
LIOJSZT,O,X,X,O,O,X,X
LIOJZTS,X,X,X,X,O,X,O
LIOJZST,X,X,X,O,O,X,X
LIOSTJZ,O,X,O,O,O,X,X
LIOSTZJ,O,X,O,O,X,X,X
LIOSJTZ,O,X,X,O,O,X,X
LIOSJZT,O,X,X,O,O,X,X
LIOSZTJ,X,X,X,O,X,O,O
LIOSZJT,O,X,X,O,O,O,X
LIOZTJS,X,O,O,X,X,X,O
LIOZTSJ,O,O,O,X,X,O,O
LIOZJTS,X,X,X,X,O,X,O
LIOZJST,X,X,X,O,O,O,X
LIOZSTJ,X,O,X,O,X,O,O
LIOZSJT,O,X,X,O,O,O,X
LJTISZO,O,X,O,O,O,X,X
LJTISOZ,O,X,O,O,O,X,X
LJTIZSO,X,O,O,X,O,X,X
LJTIZOS,X,O,O,X,O,X,X
LJTIOSZ,O,X,O,O,O,X,X
LJTIOZS,X,O,O,X,O,X,X
LJTSIZO,O,X,O,O,O,X,X
LJTSIOZ,O,X,O,O,O,X,X
LJTSZIO,O,X,O,O,O,X,X
LJTSZOI,O,X,O,O,O,X,X
LJTSOIZ,O,X,O,O,O,X,X
LJTSOZI,O,X,O,O,O,X,X
LJTZISO,X,O,O,X,O,X,X
LJTZIOS,X,O,O,X,O,X,X
LJTZSIO,X,O,O,X,O,X,X
LJTZSOI,X,O,O,X,O,X,X
LJTZOIS,X,O,O,X,O,X,X
LJTZOSI,X,O,O,X,O,X,X
LJTOISZ,O,X,O,O,O,X,X
LJTOIZS,X,O,O,X,O,X,X
LJTOSIZ,O,X,O,O,O,X,X
LJTOSZI,O,X,O,O,O,X,X
LJTOZIS,X,O,O,X,O,X,X
LJTOZSI,X,O,O,X,O,X,X
LJITSZO,O,X,O,O,O,X,X
LJITSOZ,O,X,O,O,O,X,X
LJITZSO,X,O,O,X,O,X,X
LJITZOS,X,O,O,X,O,X,X
LJITOSZ,O,X,O,O,O,X,X
LJITOZS,X,O,O,X,O,X,X
LJISTZO,X,X,X,O,O,X,X
LJISTOZ,O,X,X,O,O,X,X
LJISZTO,X,X,X,O,O,X,X
LJISZOT,O,X,X,O,O,X,X
LJISOTZ,O,X,X,O,O,X,X
LJISOZT,O,X,X,O,O,X,X
LJIZTSO,X,O,X,X,O,X,X
LJIZTOS,X,O,X,X,O,X,O
LJIZSTO,X,O,X,O,O,X,X
LJIZSOT,X,X,X,O,O,X,X
LJIZOTS,X,X,X,X,O,X,O
LJIZOST,X,X,X,O,O,X,X
LJIOTSZ,O,X,O,O,O,X,X
LJIOTZS,X,X,O,X,O,X,X
LJIOSTZ,O,X,X,O,O,X,X
LJIOSZT,O,X,X,O,O,X,X
LJIOZTS,X,X,X,X,O,X,O
LJIOZST,X,X,X,O,O,X,X
LJSTIZO,X,X,X,O,O,X,X
LJSTIOZ,O,X,X,O,O,X,X
LJSTZIO,X,X,X,O,O,X,X
LJSTZOI,X,X,X,O,O,X,X
LJSTOIZ,O,X,X,O,O,X,X
LJSTOZI,X,X,X,O,O,X,X
LJSITZO,X,X,X,O,O,X,X
LJSITOZ,O,X,X,O,O,X,X
LJSIZTO,X,X,X,O,O,X,X
LJSIZOT,O,X,X,O,O,X,X
LJSIOTZ,O,X,X,O,O,X,X
LJSIOZT,O,X,X,O,O,X,X
LJSZTIO,X,X,X,O,O,X,X
LJSZTOI,X,X,X,O,O,X,X
LJSZITO,X,X,X,O,O,X,X
LJSZIOT,O,X,X,O,O,X,X
LJSZOTI,X,X,X,O,O,X,X
LJSZOIT,O,X,X,O,O,X,X
LJSOTIZ,O,X,X,O,O,X,X
LJSOTZI,X,X,X,O,O,X,X
LJSOITZ,O,X,X,O,O,X,X
LJSOIZT,O,X,X,O,O,X,X
LJSOZTI,X,X,X,O,O,X,X
LJSOZIT,O,X,X,O,O,X,X
LJZTISO,X,O,X,X,O,X,X
LJZTIOS,X,O,X,X,O,X,O
LJZTSIO,X,O,X,X,O,X,X
LJZTSOI,X,O,X,X,O,X,X
LJZTOIS,X,O,X,X,O,X,O
LJZTOSI,X,O,X,X,O,X,X
LJZITSO,X,O,X,X,O,X,X
LJZITOS,X,O,X,X,O,X,O
LJZISTO,X,O,X,O,O,X,X
LJZISOT,X,X,X,O,O,X,X
LJZIOTS,X,X,X,X,O,X,O
LJZIOST,X,X,X,O,O,X,X
LJZSTIO,X,O,X,O,O,X,X
LJZSTOI,X,O,X,O,O,X,X
LJZSITO,X,O,X,O,O,X,X
LJZSIOT,X,X,X,O,O,X,X
LJZSOTI,X,X,X,O,O,X,X
LJZSOIT,X,X,X,O,O,X,X
LJZOTIS,X,X,X,X,O,X,O
LJZOTSI,X,X,X,X,O,X,X
LJZOITS,X,X,X,X,O,X,O
LJZOIST,X,X,X,O,O,X,X
LJZOSTI,X,X,X,O,O,X,X
LJZOSIT,X,X,X,O,O,X,X
LJOTISZ,O,X,O,O,O,X,X
LJOTIZS,X,X,O,X,O,X,X
LJOTSIZ,O,X,O,O,O,X,X
LJOTSZI,O,X,O,O,O,X,X
LJOTZIS,X,X,O,X,O,X,X
LJOTZSI,X,X,O,X,O,X,X
LJOITSZ,O,X,O,O,O,X,X
LJOITZS,X,X,O,X,O,X,X
LJOISTZ,O,X,X,O,O,X,X
LJOISZT,O,X,X,O,O,X,X
LJOIZTS,X,X,X,X,O,X,O
LJOIZST,X,X,X,O,O,X,X
LJOSTIZ,O,X,X,O,O,X,X
LJOSTZI,X,X,X,O,O,X,X
LJOSITZ,O,X,X,O,O,X,X
LJOSIZT,O,X,X,O,O,X,X
LJOSZTI,X,X,X,O,O,X,X
LJOSZIT,O,X,X,O,O,X,X
LJOZTIS,X,X,X,X,O,X,O
LJOZTSI,X,X,X,X,O,X,X
LJOZITS,X,X,X,X,O,X,O
LJOZIST,X,X,X,O,O,X,X
LJOZSTI,X,X,X,O,O,X,X
LJOZSIT,X,X,X,O,O,X,X
LSTIJZO,O,X,O,O,O,X,X
LSTIJOZ,O,X,O,O,O,X,X
LSTIZJO,O,O,O,O,X,X,X
LSTIZOJ,O,O,O,O,X,X,X
LSTIOJZ,O,X,O,O,O,X,X
