sequence,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdBmgBzkBq?qBFnB0rB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhFlgB3hBzkBO?sB0lBSwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFxcBClB/rBF?nB0qBmrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdBigBWqBF?nB0rBzqB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jei7IvhFFdBulBcmBz?kBXnBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFxcBlhBClB/?rBOsB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeeAJvhFzbBFdBcmBS?qBXnBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdB0gBzkBF?nBCrB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je08IvhFlgBzkBxmB6?qBXnB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeF9IvhF8kB5lBThBX?nBilB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFXdBClBFnBx?qBerB0rB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je2AJvhFXdBzkBUmBF?nBCmBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jei7IvhF5lBzkB/rBF?nBcrBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhF6lBzkB/rBF?nBmrB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je6AJvhFTcB8kBxmBl?qB3rBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je8EJvhFXhBFnBxqB6?qBOsBTrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhFClB/rBFnBT?lBmrB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhF0gBzkBFnBX?mBSwBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhF8kB3lBFnBT?rBOsBCrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXhBVnBzkB0?lBOsBSwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdB6lBzkBF?nB0rBerB
TIJOSLZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOSZL,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X
TISLOZJ,O,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TISZLJO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZLOJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZJLO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZJOL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TISZOLJ,O,X,X,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TISZOJL,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TISOLJZ,O,X,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TISOLZJ,O,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TISOZLJ,O,X,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TISOZJL,O,X,X,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIZLJSO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZLJOS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIZLSOJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIZLOJS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJLSO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJSOL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIZJOLS,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSLOJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSJLO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSJOL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIZSOLJ,O,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X
TIZSOJL,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X
TIZOLJS,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TIZOLSJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TIZOSJL,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TIOLJSZ,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOLZJS,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TIOJLSZ,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOSLZJ,O,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
TIOSJLZ,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TIOSZJL,O,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TIOZLJS,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TIOZLSJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TIOZJLS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLIOZJS,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLJISZO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJOZIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSIJZO,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X
TLSIOZJ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSJOZI,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSZIJO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSZIOJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSZJIO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSOIJZ,O,O,X,X,O,O,X,O,X,X,O,O,O,O,X,X,O,X,X,X,X
TLSOIZJ,O,X,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
TLSOJIZ,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
TLSOJZI,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X
TLSOZIJ,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X
TLSOZJI,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,O,O,X,O,X
TLZIJSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZISOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZIOJS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZSIOJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZSJIO,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLZSOJI,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZOIJS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TLZOISJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZOJIS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZOJSI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TLZOSIJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TLZOSJI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
TLOIJSZ,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TLOIZJS,X,X,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TLOJISZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOJSZI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOJZIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOSIJZ,O,O,X,X,O,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
TLOSJIZ,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TLOSJZI,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TLOSZIJ,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
