sequence,v115@vhHT5IXjB0gBStBlrB0qB2uBxxB,v115@vhHP9I0hBTfB+tBlsB0rBipBRvB,v115@vhH6IJXiB0gBznBlrB0qB2uBxxB,v115@vhHT5IXjB0hB+tBlsB0rBipBRvB,v115@vhHZ6IsnBOlBFmBMpBTtB3rBSvB,v115@vhHvAJTaB5oBysBlkB0rB0qB2uB,v115@vhHG5IvjBtnB0fBKpBTtBUsBRqB,v115@vhH5+IsnBOlBFmBMpBTtB3rBSvB,v115@vhHz1IKaB0gBvtBlkBxrB0qB2uB,v115@vhHX5IMjBTfB+tBlsB0rBipBRvB,v115@vhHx2IqgBzfB+tBssB3rBlqB0pB,v115@vhH+DJ0fBMsBRmBKpBTtBXrBFqB,v115@vhHX5IMjBTiB+tBlsB0rBipBRvB,v115@vhHU4IPoBzhB2pBSyBFsBUrBxuB,v115@vhH32IzgBskBStBlrB0qB2uBxxB,v115@vhH6+IziB+tBRmBUlBvpBlsB0rB,v115@vhHvAJTaBMoBlkBSyBxrB0qB2uB,v115@vhHz2I6jB0gBvtBlkBxrB0qB2uB,v115@vhHT1IPoB0fB2pBSyBFsBUrBxuB,v115@vhHvDJZkBlnBKrBUlBTtBUsBWvB,v115@vhHMCJvhB6oBznBlrB0qB2uBxxB,v115@vhHMDJviBTfB+tBlsB0rBipBRvB,v115@vhHz1IKaB0gBvtBlkB0sBxqB2uB,v115@vhH69IXjBsmB+tBMqBlsBTpBRwB,v115@vhHz2IKaB0gBvtBlkBxrB0qB2uB,v115@vhHzBJslBalB+tBMpB3sBlrBRvB,v115@vhHG5IUYBvjBtnBKpBTtBUsBRqB,v115@vhHz1IslBalB+tBMpB3sBlrBRvB,v115@vhHG5IvjB0fBlnBKpBTtBUsBRqB,v115@vhHq6IziBsmB+tBMpBlsBXqBRwB,v115@vhH02IvfBTgBsrBerBKpBFqBxxB,v115@vhHUDJZkBFnBMqBupBTtBSxBXrB,v115@vhHPDJ2kBStBFnBUmB0qBTpBRxB,v115@vhHvDJZfBlnBKqB+pBTtBUsBUrB,v115@vhHZ6IWjB6tBFnBMpBzsB0rBXqB,v115@vhHT1IMjBifB+tBMpBlsBXqBRwB,v115@vhH6+IvoB0mBtqBzkBUtB2uBxwB,v115@vhHT9IXjB0hB+tBlsB0rBipBRvB,v115@vhHZ6IzhBylBGoBMpB3sBlrB0qB,v115@vhHXDJzgBskBStB9rB0qB2uBxxB,v115@vhHT1I6oB0iBFgBvkBRmB0qB2uB,v115@vhHM+I+oBlnBzlBikB3rBUqBxxB,v115@vhHT5IMoBXmBspBOpBSyBFsBxvB,v115@vhHT+IMiBZkBFoBMrBSyBXsBGqB,v115@vhHvDJZfBlnB0mBKqB+pBTtBUrB,v115@vhHPIJzhB0fB2pBSyBFsBUrBxuB,v115@vhHXDJzgBskBStBlrB0qB2uBxxB,v115@vhHX5IMjBTiBStBlrB0qB2uBxxB,v115@vhHT5IMiBXjBStBlrB0qB2uBxxB,v115@vhHm4I0dB3hBznBdsBSyBUrBxuB,v115@vhHM/IynBMtBXmBFlBGsBTpBxvB,v115@vhHX4IMiB6oBznBlrB0qB2uBxxB,v115@vhHG5IvjBtnBypBTtBUsBUrBxuB,v115@vhHe9I5oBPlBlnB0mByxBUrBTpB,v115@vhHX5IMjBTiB+tBqrBMpBlsBRvB,v115@vhHT5IMoBunB3hBdsBSyBUrBxuB,v115@vhHG5IvjBlnBypBTtBUsBUrBxuB,v115@vhHT6IskB+tB3mBMqBKpBlsBRwB,v115@vhHyAJvoB0mBtqBzkBUtB2uBxwB,v115@vhH6+IziBsmB+tBMpBlsBXqBRwB,v115@vhHM+I+oBTfBlnBsqB3rBipBxxB,v115@vhHv6IKkBGnBFlBTtBUsBUrBxuB,v115@vhHM+I5oBlnBsqBOqByxB3rBTpB,v115@vhHT4IMoBunB3hBdsBSyBUrBxuB,v115@vhHT+IMiBvkBFoBSyBxrB0qB2uB,v115@vhH2BJvtBTnBMrBllBKpBUqBRxB,v115@vhHM+I+oBqmBPlBlnBUrBTpBxxB,v115@vhHT5IMoBliBRmBspBOpBSyBXsB,v115@vhHT5ItiBMoBRmBspBOpBSyBXsB,v115@vhHvDJZfBtnBKqB+pBTtBUsBUrB,v115@vhH01IvfBTgBsrBerBKpBFqBxxB,v115@vhHv6I6oBZkBzmBFlBUtBUrBWvB,v115@vhHX5IMjBykB+tBtsBMqBTpBRwB,v115@vhHPDJZkBMtBFnBUmBupBSxBTqB,v115@vhHs/I5oBatBvsBllB0rB2vBTpB,v115@vhHv6IKkBGoBzmBFlBUtBUrBxuB,v115@vhHM+I5oBlnBzlBspBOpByxB3rB,v115@vhH5+IiVBMfBvtBFlB0sBGrBTpB,v115@vhH6+IvoBTiB0mBUtBlqB2uBxwB,v115@vhHT6IMoBXmBspBOpBSyBFsBxvB,v115@vhHMDJ3dBykB+tBtsBMqBTpBRwB,v115@vhHZ6IziBymB+tBMpBlsB0rBXqB,v115@vhHT8I+fB6tB0nBxlB3rBlqB0pB,v115@vhHU3IPhBKkBWsBFlBTtBUrBxuB,v115@vhHZ6IWoBzhBilBMpBXtBFsBUrB,v115@vhHG3IsgB3hBznBdsBSyBUrBxuB,v115@vhH5DJMfBunBKtBFlBUsB3qBTpB,v115@vhH5+IulBMkB3nBlmBspBTtByvB,v115@vhHT7I5oBtkBatBvsBUmB0qB2uB
TILSZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X,O
TILSZOJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O
TILSOJZ,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
TILSOZJ,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TILZJSO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O
TILZJOS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TILZSJO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O
TILZSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O
TILZOJS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILZOSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILOJSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOJZS,X,O,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOSZJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOZJS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O
TIJLSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TIJLZSO,O,O,X,O,X,O,X,X,X,O,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TIJLZOS,O,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIJLOZS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
TIJSLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X
TIJSZLO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,O
TIJSZOL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O
TIJSOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TIJZLSO,O,O,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O
TIJZLOS,O,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TIJZSLO,O,O,O,X,X,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O
