sequence,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhFRdBzhBaoBc?sBGrBdrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhFTdBejBRmB9?mBUrBisB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhFTdBZjBWrBc?sBirB9rB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhFRdB8lBdoBa?sBGnBTrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFciBZjBXmBS?sBTrBmrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhFqhBTdBZjBc?sBGrBdrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFTcB/iBajBU?rBRsBmrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhFRdBeoBzlBt?rBcsBirB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFicBZjBXmBT?nB+rBcsB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je6CJvhFZjBzhBUmB9?lBXsBOrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFxcBXmBmnB8?nBzrBirB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFzdB2nBXmBR?sB0rBirB,v115@zgC8FeC8GeD8FeD8FeE8CeC8JeT8IvhFZjB8mB+nBa?rB9lBXsB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFZjBUiBXmB6?nBzrBOrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhF6iBZjBzlBU?nBtmB2wB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFRdBiiBXmBz?nB0mB2wB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je39IvhFxgBdoBzlBW?sBasBUrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8JeU8IvhF3dB6lBdoBz?hBxrB2wB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFRdBmmBznB/?mBUrBisB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFRiBXmB8rBz?nBOrBisB,v115@zgC8FeC8GeD8FeD8FeE8CeC8JeyCJvhFxgBtlBXiBz?nB0mB2wB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFzdBXmBRsBi?sBOrB8rB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFTcBeoBxmBX?nBUrBisB,v115@zgC8FeC8GeD8FeD8FeE8CeC8JeaCJvhFxgBdoBzlBf?sBunBUrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8JeZDJvhFarBGnB9lB/?mBcnBzrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Jez9IvhFxgBCmBmnBN?sB3mBUrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFmiBxmB/mBa?sBznBUrB
TILOZSJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TIJLZSO,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TIJLZOS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJLOSZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJSLZO,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJSZOL,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJZLSO,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJZLOS,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJZSOL,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJZOLS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIJOLZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TISLJZO,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TISLZJO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TISLZOJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TISLOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X
TISLOZJ,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TISJLZO,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TISJZLO,X,X,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZLOJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZJLO,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISZOJL,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
TISOLZJ,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
TISOJLZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TISOJZL,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOZJL,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZLJOS,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TIZJLOS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TIZJSOL,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIZJOLS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O
TIZSLJO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZSJOL,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZSOLJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TIZOSLJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOLJZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOLSZJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOLZJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLZSJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOJLZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOSLZJ,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOSJLZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOSJZL,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSZJL,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X
TLIJZSO,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLIJZOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TLIJOZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TLISJZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZJSO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZSJO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
TLJISOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X
TLJIZSO,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X
TLJIZOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TLJIOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TLJIOZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TLJSIZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TLJSZIO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJSOZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLJZIOS,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLJZSIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJZOSI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLJOIZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJOSIZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJOSZI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJOZSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLSIZJO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSIZOJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X
TLSIOZJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSJIZO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSJZIO,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
