sequence,v115@vhHX5IcjBTfB+tBTpBiqBlsBRwB,v115@vhH01I/fBTjBKpBFqBGsBTtBRwB,v115@vhHX5IcjBzfB+tBTpBiqBlsBRwB,v115@vhH01I/fBziBKpBFqBGsBTtBRwB,v115@vhH/CJcjBTfB+tBTpBiqBlsBRwB,v115@vhH//IcgBTjBKpBFqBGsBTtBRwB,v115@vhHX+ITfB8lB5oBTpB2vBlrByxB,v115@vhH06IZkBfnBTjBWvBFrBSxBTtB,v115@vhH07ITfBZlBfoBTpBWwBFsBSyB,v115@vhHX9I8kB5nBTjB2uBlqBywBTtB,v115@vhH07IZkBzfBfoBzpBWwBFsBSyB,v115@vhHX9I8kBziB5oB2uBlqBywBzsB,v115@vhHX+IzfB8lB5oBTpB2vBlrByxB,v115@vhH06IZkBfnBziBWvBFrBSxBTtB,v115@vhH02I/gBTfBKqBTpBFrBGtBRxB,v115@vhHX4IciBTjB+sBipBlrBTtBRvB,v115@vhHX4IciB6oBznBTpB2vBlrBxxB,v115@vhH02I/gBOkBzkBFrBSxBTtBxuB,v115@vhH/AJchBTfBKqBTpBFrBGtBRxB,v115@vhH/BJciBTjB+sBipBlrBTtBRvB,v115@vhH/BJciB6oBznBTpB2vBlrBxxB,v115@vhH/AJchBOkBzkBFrBSxBTtBxuB,v115@vhHi1IcfBTeBFlB+tBTpB3qBRsB,v115@vhHG5ITaB/jBKpBlnBRqBUsBTtB,v115@vhHi1IcfBFlBWsBTpB3qBTtBxwB,v115@vhHG5I/jByqBlnBTpBUsBTtBxvB,v115@vhHi1IcfBTbBFlB+tBTpB3qBRsB,v115@vhHG5ITdB/jBKpBlnBRqBUsBTtB,v115@vhHX5IcjBTiBStBTpB2vBlrBxxB,v115@vhH01I/fBTgB2pBFrBSxBTtBxuB,v115@vhHT5IciBXjBStBTpB2vBlrBxxB,v115@vhHT1I/gB0fB2pBFrBSxBTtBxuB,v115@vhHf9IGeBUjBFnBTpBxqBSxBTtB,v115@vhH87IiaB3fBllBTpB2vBxrBTtB,v115@vhHc/ISoBFlBWsBTpB3qBTtBxwB,v115@vhH/DJ2kByqBlnBTpBUsBTtBxvB,v115@vhHc/I5oBFlB+rBatBTpB3qBTsB,v115@vhH/DJZkBupBKrBlnBTqBUsBTtB,v115@vhHZ6IGZB/jBtnBTpBiqBUsBTtB,v115@vhHi1I5eBcfBdlBTpB3qBGsBTtB,v115@vhHT/IulBKqBNrBUnB/tBTpBRxB,v115@vhHaHJTjBcpB3lB9rB+sBTtBRvB,v115@vhHc+ITfB5oB2qBlnBTpB3rByxB,v115@vhH/6IZkBTjBFlBSsBWvBUrBTtB,v115@vhHT/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHuEJTjBKpBNqBUmB/sBTtBRwB,v115@vhHG5IzdBcoBXmBTpBFsBSyBxvB,v115@vhHi1IzaB/kB0mB2uBlqBTtBxwB,v115@vhHz/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHuEJziBKpBNqBUmB/sBTtBRwB,v115@vhH++IUhBFlBSsBToBTpB3qBxxB,v115@vhHK6I3hBTkB2qBlnBUsBTtBxuB,v115@vhHi1IcfBdlBWsBTpB3qBTtBxwB,v115@vhHG5I/jBtnByqBTpBUsBTtBxvB,v115@vhHi1IcfBTbBFlBXmB+tBTpBRsB,v115@vhHG5ITdB/jBKpB0mBlnBRqBTtB,v115@vhHT1I/bBifBUlBFmB+tBTpBRsB,v115@vhHc9ITZBGjBKpBlmB3nBRqBTtB,v115@vhHyEJXjBRmB+tBTpBTqB0rBlsB,v115@vhH0/IWoBKpBRmBFqBXrBTsBTtB,v115@vhHZ6IGZB/jBlnBTpBiqBUsBTtB,v115@vhHi1I5eBcfBFlBTpB3qBGsBTtB
SIZLOTJ,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,O,O,O,O,O,X,O,O,X,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,O
SIZLOJT,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,X,X,O,O,O
SIZJTLO,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X
SIZJTOL,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X,X,O,X,X,X
SIZJLTO,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X
SIZJLOT,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,O,O,O,O
SIZJOTL,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X,X,O,X,O,O
SIZJOLT,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,O,X,O,O
SIZOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,O,O,O,O,O,X,X,X,X,X,X,O,O
SIZOTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,O,O
SIZOLTJ,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,O,O,O,O,O,X,X,X,X,X,O,O,O
SIZOLJT,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,O,O
SIZOJTL,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,O,O
SIZOJLT,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,O,O
SIOTLJZ,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X
SIOTLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X
SIOTJLZ,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X
SIOTJZL,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,O
SIOTZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X,O,O
SIOTZJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,O
SIOLTJZ,X,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X
SIOLTZJ,X,O,X,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,O,X,O,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X
SIOLJTZ,X,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O,O,X
SIOLJZT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O,X,X,X,X,O,O,O,O
SIOLZTJ,X,O,X,O,X,X,X,O,O,X,O,X,X,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,O,O,X,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,O
SIOLZJT,X,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,O,O,O,O
SIOJTLZ,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O,O,X
SIOJTZL,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O
SIOJLTZ,X,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O,O,X
SIOJLZT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O,X,X,X,X,O,O,O,O
SIOJZTL,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,O,O
SIOJZLT,O,X,O,X,O,X,O,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,O,O
SIOZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,O,O,O,O,O,X,X,X,X,X,X,O,O
SIOZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,O,O
SIOZLTJ,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,O,O,O,O,O,X,X,X,X,X,O,O,O
SIOZLJT,X,X,X,X,X,X,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,O,O
SIOZJTL,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,O,O
SIOZJLT,X,X,X,X,X,X,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,O,O
SLTIJZO,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
SLTIJOZ,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
SLTIZJO,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
SLTIZOJ,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
SLTIOJZ,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLTIOZJ,X,O,X,O,X,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
SLTJIZO,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X
SLTJIOZ,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
SLTJZIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
SLTJZOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X
SLTJOIZ,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X
SLTJOZI,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X
SLTZIJO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLTZIOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLTZJIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
SLTZJOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
SLTZOIJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SLTZOJI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
SLTOIJZ,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SLTOIZJ,X,O,X,O,X,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
SLTOJIZ,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
SLTOJZI,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
SLTOZIJ,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SLTOZJI,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
SLITJZO,X,O,X,O,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X
SLITJOZ,X,O,X,O,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
SLITZJO,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X
SLITZOJ,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,O,X,X
SLITOJZ,X,O,X,O,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
SLITOZJ,X,O,X,O,X,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X
SLIJTZO,X,O,X,O,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,O,O,X,X
SLIJTOZ,X,O,X,O,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X
SLIJZTO,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X,O,O,X,O,O,O,O,O,X,X
SLIJZOT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,X,O,O,O,X,O,X,O,X,O,X,O,O,O,O,O,O,X,O,X,O,X,X,O,O,X,X,O,O,X,O,O,X,O,O,O,O,O,O,X
SLIJOTZ,X,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,O,O,O,X
SLIJOZT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,O,X,O,O,O,X,O,X,O,X,X,X,O,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,O,O,X,O,O,X,O,O,O,O,O,O,O
SLIZTJO,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X
SLIZTOJ,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,O,O,X,X,O,O,X,O,O,X,O,X,X,X,O,X,X
SLIZJTO,X,O,X,O,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X,O,O,X,O,O,O,O,O,X,X
SLIZJOT,X,O,X,O,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,O,O,O,O,O,X,O,X,O,X,X,O,O,X,X,O,O,X,O,O,X,O,O,O,O,O,O,X
SLIZOTJ,X,O,X,O,X,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X,O,O,O,O,X,O,X,O,X,X,O,O,X,X,O,O,X,O,O,X,O,X,X,X,O,O,X
SLIZOJT,X,O,X,O,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,O,O,O,O,O,X,O,X,O,X,X,O,O,X,X,O,O,X,O,O,X,O,O,X,X,O,O,X
SLIOTJZ,X,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X
SLIOTZJ,X,O,X,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,O,X,O,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X
SLIOJTZ,X,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X
SLIOJZT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,O,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,O,O,X,O,O,X,O,O,O,X,O,O,O
SLIOZTJ,X,O,X,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X,O,O,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,O,O,X,O,X,X,X,O,O,O
SLIOZJT,X,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O,X,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,O,O,X,O,O,X,X,O,O,O
SLJTIZO,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X
SLJTIOZ,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
SLJTZIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
SLJTZOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X
SLJTOIZ,X,O,X,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X
