sequence,v115@9gA8IeA8IeA8DeC8BeA8CeE8Ke5EJvhFigBUiBGjBF?mB/tBTqB,v115@9gA8IeA8IeA8DeC8BeA8CeE8KeRAJvhFUiBGjBzkBF?mB/tBSvB,v115@9gA8IeA8IeA8DeC8BeA8CeE8Kez/IvhFUiBaoB5oBF?mB3lBWvB,v115@9gA8IeA8IeA8DeC8BeA8CeE8Ke5EJvhFUiB/qBFmBT?oBiqBGtB,v115@9gA8IeA8IeA8DeC8BeA8CeE8KeRAJvhFUiBqpB/qBF?mBToBGtB
TSIOLJZ,X,X,X,X,X
TSIOLZJ,X,X,X,X,X
TSIOJLZ,X,X,X,X,X
TSIOJZL,X,X,X,X,X
TSIOZLJ,X,X,X,O,X
TSIOZJL,X,X,X,O,X
TSLIJZO,O,O,X,X,X
TSLIJOZ,X,X,X,X,X
TSLIZJO,O,O,X,X,X
TSLIZOJ,X,X,X,X,X
TSLIOJZ,X,X,X,X,X
TSLIOZJ,X,X,X,X,X
TSLJIZO,O,O,X,X,X
TSLJIOZ,X,X,X,X,X
TSLJZIO,O,O,X,X,X
TSLJZOI,X,O,X,X,X
TSLJOIZ,X,O,X,X,X
TSLJOZI,X,O,X,X,X
TSLZIJO,O,O,X,X,X
TSLZIOJ,X,X,X,X,X
TSLZJIO,O,O,X,X,X
TSLZJOI,X,O,X,X,X
TSLZOIJ,X,O,X,X,X
TSLZOJI,X,O,X,X,X
TSLOIJZ,X,O,X,X,X
TSLOIZJ,X,O,X,X,X
TSLOJIZ,X,O,X,X,X
TSLOJZI,X,O,X,X,X
TSLOZIJ,X,O,X,X,X
TSLOZJI,X,O,X,X,X
TSJILZO,O,X,X,X,X
TSJILOZ,X,X,X,X,X
TSJIZLO,O,O,X,X,X
TSJIZOL,X,X,X,X,X
TSJIOLZ,X,X,X,X,X
TSJIOZL,X,X,X,X,X
TSJLIZO,O,O,X,X,X
TSJLIOZ,X,X,X,X,X
TSJLZIO,O,O,X,X,X
TSJLZOI,X,O,X,X,X
TSJLOIZ,X,O,X,X,X
TSJLOZI,X,O,X,X,X
TSJZILO,O,O,X,X,X
TSJZIOL,X,X,X,X,X
TSJZLIO,O,O,X,X,X
TSJZLOI,X,O,X,X,X
TSJZOIL,O,X,X,X,X
TSJZOLI,O,X,X,X,X
TSJOILZ,O,X,X,X,X
TSJOIZL,O,X,X,X,X
TSJOLIZ,O,X,X,X,X
TSJOLZI,O,X,X,X,X
TSJOZIL,O,X,X,X,X
TSJOZLI,O,X,X,X,X
TSZILJO,O,X,X,X,X
TSZILOJ,X,X,X,X,X
TSZIJLO,O,O,X,X,X
TSZIJOL,X,X,X,X,X
TSZIOLJ,X,X,X,O,X
TSZIOJL,X,X,X,O,X
TSZLIJO,O,O,X,X,X
TSZLIOJ,X,X,X,X,X
TSZLJIO,O,O,X,X,X
TSZLJOI,X,O,X,X,X
TSZLOIJ,X,O,X,X,X
TSZLOJI,X,O,X,X,X
TSZJILO,O,O,X,X,X
TSZJIOL,X,X,X,X,X
TSZJLIO,O,O,X,X,X
TSZJLOI,X,O,X,X,X
TSZJOIL,O,X,X,X,X
TSZJOLI,O,X,X,X,X
TSZOILJ,O,X,X,O,X
TSZOIJL,O,X,X,O,X
TSZOLIJ,O,X,X,X,X
TSZOLJI,O,X,X,X,X
TSZOJIL,O,X,X,X,X
TSZOJLI,O,X,X,X,X
TSOILJZ,O,X,X,X,X
TSOILZJ,O,X,X,X,X
TSOIJLZ,O,X,X,X,X
TSOIJZL,O,X,X,X,X
TSOIZLJ,O,X,X,O,X
TSOIZJL,O,X,X,O,X
TSOLIJZ,O,X,X,X,X
TSOLIZJ,O,X,X,X,X
TSOLJIZ,O,X,X,X,X
TSOLJZI,O,X,X,X,X
TSOLZIJ,O,X,X,X,X
TSOLZJI,O,X,X,X,X
TSOJILZ,O,X,X,X,X
TSOJIZL,O,X,X,X,X
TSOJLIZ,O,X,X,X,X
TSOJLZI,O,X,X,X,X
TSOJZIL,O,X,X,X,X
TSOJZLI,O,X,X,X,X
TSOZILJ,O,X,X,O,X
TSOZIJL,O,X,X,O,X
TSOZLIJ,O,X,X,X,X
TSOZLJI,O,X,X,X,X
TSOZJIL,O,X,X,X,X
TSOZJLI,O,X,X,X,X
TZILJSO,X,X,X,X,X
TZILJOS,X,X,O,X,X
TZILSJO,O,X,X,X,X
TZILSOJ,X,X,X,X,X
TZILOJS,X,X,X,X,X
TZILOSJ,X,X,X,X,X
TZIJLSO,X,X,X,X,X
TZIJLOS,X,X,O,X,X
TZIJSLO,X,X,X,X,X
TZIJSOL,X,X,X,X,X
TZIJOLS,X,X,O,X,X
TZIJOSL,X,X,X,X,X
TZISLJO,O,X,X,X,X
TZISLOJ,X,X,X,X,X
TZISJLO,O,O,X,X,X
TZISJOL,X,X,X,X,X
TZISOLJ,X,X,X,X,X
TZISOJL,X,X,X,X,X
TZIOLJS,X,X,X,X,X
TZIOLSJ,X,X,X,X,X
TZIOJLS,X,X,X,X,X
TZIOJSL,X,X,X,X,X
TZIOSLJ,X,X,X,X,X
TZIOSJL,X,X,X,X,X
TZLIJSO,X,X,X,X,X
TZLIJOS,X,X,O,X,X
TZLISJO,O,O,X,X,X
TZLISOJ,X,X,X,X,X
TZLIOJS,X,X,X,X,X
TZLIOSJ,X,X,X,X,X
TZLJISO,X,X,X,X,X
TZLJIOS,X,X,O,X,X
TZLJSIO,X,X,X,X,X
TZLJSOI,X,X,X,X,X
TZLJOIS,X,X,O,X,X
TZLJOSI,X,X,X,X,X
TZLSIJO,O,O,X,X,X
TZLSIOJ,X,X,X,X,X
TZLSJIO,O,O,X,X,X
TZLSJOI,X,O,X,X,X
TZLSOIJ,X,O,X,X,X
TZLSOJI,X,O,X,X,X
TZLOIJS,X,X,X,X,X
TZLOISJ,X,O,X,X,X
TZLOJIS,X,X,X,X,X
TZLOJSI,X,X,X,X,X
TZLOSIJ,X,O,X,X,X
TZLOSJI,X,O,X,X,X
TZJILSO,X,X,X,X,X
TZJILOS,X,X,O,X,X
TZJISLO,X,X,X,X,X
TZJISOL,X,X,X,X,X
TZJIOLS,X,X,O,X,X
