sequence,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFOhBXdBCgBTlBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFxbBXdBmgBTlBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgB0cBzgBFnBxq?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgBXdBzgBFnBxq?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhF0cBzfB+lBKmBFn?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhF/gBUcBFdB2qBxm?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFXdBzfB+lBKmBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je06IvhFZhBCdB+lBVnBXg?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhF0cBmgBTgBFnBxq?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgBxcBUhB1qBXn?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFXdBmgBTgBFnBxq?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je5AJvhF0cBzfBKmBFnBmk?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFzfB3lBCnBOnBFm?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je5AJvhFXdBzfBKmBFnBmk?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Jez/IvhFRhBUmBFnBmkBCm?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFTcBSlB/rBFnBUl?BOsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFzfBUmBFnB3lB6r?BOsB
TIJOSZL,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
TIJOZSL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TISLJZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TISLJOZ,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TISLZJO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TISLZOJ,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TISLOJZ,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TISLOZJ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TISJLZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TISJLOZ,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TISJZLO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TISJZOL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TISJOLZ,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TISJOZL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TISZLOJ,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TISZJLO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TISZJOL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISZOLJ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TISZOJL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TISOLJZ,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TISOLZJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOJLZ,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TISOJZL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TISOZJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZLJSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIZLJOS,O,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TIZLSJO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIZLSOJ,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZLOJS,O,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TIZLOSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TIZJLSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIZJLOS,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZJSLO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIZJSOL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZJOLS,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TIZJOSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZSLJO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIZSLOJ,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZSJLO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIZSJOL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZSOLJ,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TIZSOJL,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TIZOLJS,O,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TIZOLSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TIZOJLS,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TIZOJSL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZOSLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
TIZOSJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
TIOLJSZ,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X
TIOLJZS,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TIOLSJZ,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X
TIOLSZJ,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
TIOLZJS,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O,X,X
TIOLZSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TIOJLSZ,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TIOJLZS,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
TIOJSLZ,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TIOJSZL,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOJZLS,X,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
TIOJZSL,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TIOSLJZ,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X
TIOSLZJ,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOSJLZ,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOSJZL,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOSZJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOZLJS,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O,X,X
TIOZLSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOZJLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
TIOZJSL,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TIOZSLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
TIOZSJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
TLIJSZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLIJSOZ,O,X,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TLIJZSO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLIJZOS,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TLIJOSZ,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TLIJOZS,X,X,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X
TLISJZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLISJOZ,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TLISZJO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TLISZOJ,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
TLISOJZ,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TLISOZJ,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TLIZJSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLIZJOS,O,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TLIZSJO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TLIZSOJ,O,X,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
TLIZOJS,O,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TLIZOSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TLIOJSZ,O,O,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X
TLIOJZS,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TLIOSJZ,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X
TLIOSZJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TLIOZJS,O,X,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X
TLIOZSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TLJISZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLJISOZ,O,X,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TLJIZSO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLJIZOS,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TLJIOSZ,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TLJIOZS,X,X,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X
TLJSIZO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TLJSIOZ,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TLJSZIO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLJSZOI,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJSOIZ,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TLJSOZI,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TLJZIOS,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TLJZSIO,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X
TLJZOSI,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLJOISZ,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TLJOIZS,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TLJOSIZ,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TLJOSZI,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJOZIS,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TLJOZSI,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLSIJOZ,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
TLSIZOJ,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X
TLSIOJZ,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TLSIOZJ,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X
TLSJIZO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TLSJIOZ,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TLSJZIO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X
TLSJZOI,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TLSJOIZ,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TLSJOZI,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TLSZIJO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
TLSZIOJ,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X
TLSZJIO,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TLSZJOI,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X
TLSZOIJ,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X
TLSZOJI,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TLSOIJZ,O,O,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X
TLSOIZJ,O,O,X,O,X,X,X,X,X,X,X,O,O,O,X,O,X
TLSOJIZ,O,O,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X
TLSOJZI,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X
TLSOZIJ,O,O,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X
TLSOZJI,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X
TLZIJSO,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLZIJOS,O,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TLZISJO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TLZISOJ,O,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
TLZIOJS,O,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TLZIOSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TLZJISO,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TLZJIOS,O,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TLZJSIO,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZJSOI,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLZJOIS,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X
TLZJOSI,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZSIJO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TLZSIOJ,O,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
TLZSJIO,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZSJOI,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZSOIJ,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
TLZSOJI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZOIJS,O,O,O,X,X,O,X,X,O,O,X,O,X,X,O,X,X
TLZOISJ,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X
TLZOJIS,O,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
TLZOJSI,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
TLZOSJI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TLOIJSZ,O,O,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X
TLOIJZS,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TLOISJZ,O,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,X
TLOISZJ,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
TLOIZJS,O,X,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X
TLOIZSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TLOJISZ,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TLOJIZS,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TLOJSIZ,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TLOJSZI,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLOJZIS,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TLOJZSI,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X
TLOSIZJ,O,O,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X
TLOSJIZ,O,O,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X
TLOSJZI,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X
TLOSZJI,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLOZIJS,O,O,O,X,X,O,X,X,O,O,X,O,X,X,O,X,X
TLOZISJ,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X
TLOZJIS,O,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
TLOZJSI,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
TLOZSJI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TJILSZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJILSOZ,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJILZOS,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TJILOSZ,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TJILOZS,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJISLOZ,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TJISZLO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJISZOL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJISOLZ,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TJISOZL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJIZLOS,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TJIZSLO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJIZOLS,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TJIZOSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TJIOLSZ,X,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X
TJIOLZS,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TJIOSLZ,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TJIOSZL,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
TJIOZSL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TJLISZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJLISOZ,O,X,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TJLIZSO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJLIZOS,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TJLIOSZ,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TJLIOZS,X,X,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X
TJLSIZO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TJLSIOZ,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TJLSZIO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TJLSZOI,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLSOIZ,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TJLSOZI,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TJLZIOS,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TJLZSIO,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X
TJLZOSI,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJLOISZ,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TJLOIZS,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TJLOSIZ,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TJLOSZI,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLOZIS,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TJLOZSI,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJSILZO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TJSILOZ,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TJSIZLO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
