sequence,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxdB0gBlhB3?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFqgBxdBlhB3?iB0mB2wB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeB0gBF?nBTrBmrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBxdBlgB3?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxdB0gBlhB3?iBmrBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFXeBxgBUmBF?nBOsBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFWhBxcBXeBU?mBFnBywB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBxdBlgB3?iBmrBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeBlgBU?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeBUiBF?mBzrBmqB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBXeBlgBx?mBOsBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFCcBxdBlhB3?iBmrBUrB
TISLZJO,O,X,O,O,O,O,X,O,O,X,O,X
TISLZOJ,O,O,O,O,O,O,X,O,O,X,O,O
TISLOJZ,X,O,X,O,X,X,X,X,O,X,O,O
TISLOZJ,O,O,O,O,X,X,X,O,O,X,O,O
TISJLZO,X,O,O,O,O,X,X,O,O,X,O,O
TISJLOZ,X,O,X,O,X,X,X,O,O,X,O,O
TISJZLO,O,O,O,O,O,X,X,O,O,X,O,O
TISJZOL,X,X,X,O,O,X,X,O,O,X,X,O
TISJOLZ,X,O,X,O,X,X,X,O,O,X,O,O
TISJOZL,X,X,X,O,O,X,X,O,X,X,O,O
TISZLJO,O,X,O,O,O,O,O,O,O,X,O,X
TISZLOJ,O,O,O,O,O,O,O,O,O,X,O,O
TISZJLO,O,X,O,O,O,O,O,O,O,X,O,X
TISZJOL,X,X,X,X,X,O,O,X,X,X,X,X
TISZOLJ,O,X,O,O,O,O,O,O,O,X,O,O
TISZOJL,X,X,O,X,X,O,O,X,X,X,O,X
TISOLJZ,X,O,X,O,X,X,X,X,O,X,O,O
TISOLZJ,O,O,O,O,X,X,X,O,O,X,O,O
TISOJLZ,X,O,X,O,X,X,X,X,O,X,O,O
TISOJZL,O,X,X,O,X,X,X,X,X,X,O,O
TISOZLJ,O,X,O,O,O,X,O,O,O,X,O,O
TISOZJL,O,X,X,O,X,X,O,X,O,X,O,X
TIZLJSO,X,X,X,O,O,O,O,O,O,X,O,X
TIZLJOS,X,X,X,O,X,O,O,O,X,X,X,X
TIZLSJO,O,X,O,O,O,O,O,O,O,X,O,X
TIZLSOJ,O,X,O,O,O,O,O,O,O,X,O,X
TIZLOJS,X,X,O,X,X,O,O,X,X,X,O,X
TIZLOSJ,X,X,O,O,X,O,O,O,O,X,O,X
TIZJLSO,X,X,X,O,O,O,O,O,O,X,O,X
TIZJLOS,X,X,X,O,X,O,O,O,X,X,X,X
TIZJSLO,X,X,X,O,O,O,O,O,O,X,O,X
TIZJSOL,X,X,X,X,O,O,O,O,X,X,X,X
TIZJOLS,X,X,X,O,X,O,O,O,X,X,X,X
TIZJOSL,X,X,X,X,X,O,O,X,X,X,X,X
TIZSLJO,O,X,O,O,O,O,O,O,O,X,O,X
TIZSLOJ,O,X,O,O,O,O,O,O,O,X,O,X
TIZSJLO,O,X,O,O,O,O,O,O,O,X,O,X
TIZSJOL,X,X,X,X,X,O,O,X,X,X,X,X
TIZSOLJ,O,X,O,O,O,O,O,O,O,X,O,X
TIZSOJL,X,X,O,X,X,O,O,X,X,X,O,X
TIZOLJS,X,X,O,X,X,O,O,X,X,X,O,X
TIZOLSJ,X,X,O,O,X,O,O,O,O,X,O,X
TIZOJLS,X,X,O,X,X,O,O,X,X,X,O,X
TIZOJSL,X,X,O,X,X,O,O,X,X,X,O,X
TIZOSLJ,X,X,O,X,X,O,O,X,O,X,O,X
TIZOSJL,X,X,O,X,X,O,O,X,X,X,O,X
TIOLJSZ,X,O,X,O,X,X,X,O,O,X,O,X
TIOLJZS,X,X,X,O,X,X,X,O,X,X,O,X
TIOLSJZ,X,O,X,O,X,X,X,X,O,X,O,X
TIOLSZJ,O,O,X,O,X,X,X,O,O,X,O,X
TIOLZJS,X,X,X,O,X,X,X,X,O,X,O,X
TIOLZSJ,O,X,X,O,X,X,X,O,O,X,O,X
TIOJLSZ,X,O,X,O,X,X,X,O,O,X,O,X
TIOJLZS,X,X,X,O,X,X,X,O,X,X,O,X
TIOJSLZ,X,O,X,O,X,X,X,O,O,X,O,O
TIOJSZL,X,X,X,O,X,X,X,O,X,X,O,O
TIOJZLS,X,X,X,O,X,X,X,O,X,X,O,O
TIOJZSL,X,X,X,O,X,X,X,X,X,X,O,O
TIOSLJZ,X,O,X,O,X,X,X,X,O,X,O,O
TIOSLZJ,O,O,X,O,X,X,X,O,O,X,O,O
TIOSJLZ,X,O,X,O,X,X,X,X,O,X,O,O
TIOSJZL,O,X,X,O,X,X,X,X,X,X,O,O
TIOSZLJ,O,X,X,O,X,X,O,O,O,X,O,O
TIOSZJL,O,X,X,O,X,X,O,X,O,X,O,X
TIOZLJS,X,X,X,O,X,X,O,X,O,X,O,X
TIOZLSJ,O,X,X,O,X,X,O,O,O,X,O,X
TIOZJLS,X,X,X,O,X,X,O,X,O,X,O,X
TIOZJSL,X,X,X,X,X,X,O,X,O,X,O,X
TIOZSLJ,O,X,X,O,X,X,O,X,O,X,O,X
TIOZSJL,O,X,X,O,X,X,O,X,O,X,O,X
TLIJSZO,X,O,X,O,O,X,X,O,O,X,O,X
TLIJSOZ,X,O,X,O,X,X,X,O,O,X,O,X
TLIJZSO,X,X,X,O,O,X,X,O,O,X,O,X
TLIJZOS,X,X,X,O,X,X,X,O,O,X,X,X
TLIJOSZ,X,O,X,X,X,X,X,O,O,X,O,X
TLIJOZS,X,X,X,O,X,X,X,O,X,X,O,X
TLISJZO,X,O,O,O,O,X,X,O,O,X,O,X
TLISJOZ,X,O,X,O,X,X,X,O,O,X,O,X
TLISZJO,O,X,O,O,O,O,X,O,O,X,O,X
TLISZOJ,O,O,O,O,O,O,X,O,O,X,O,X
TLISOJZ,X,O,X,O,X,X,X,X,O,X,O,X
TLISOZJ,O,O,O,O,X,X,X,O,O,X,O,X
TLIZJSO,X,X,X,O,O,O,X,O,O,X,O,X
TLIZJOS,X,X,X,O,X,O,X,O,X,X,X,X
TLIZSJO,O,X,O,O,O,O,X,O,O,X,O,X
TLIZSOJ,O,X,O,O,O,O,X,O,O,X,O,X
TLIZOJS,X,X,O,X,X,O,X,X,X,X,O,X
TLIZOSJ,X,X,O,O,X,O,X,O,O,X,O,X
TLIOJSZ,X,O,X,O,X,X,X,O,O,X,O,X
TLIOJZS,X,X,X,O,X,X,X,O,X,X,O,X
TLIOSJZ,X,O,X,O,X,X,X,X,O,X,O,X
TLIOSZJ,O,O,X,O,X,X,X,O,O,X,O,X
TLIOZJS,X,X,X,O,X,X,X,X,O,X,O,X
TLIOZSJ,O,X,X,O,X,X,X,O,O,X,O,X
TLJISZO,X,O,X,O,O,X,X,O,O,X,O,X
TLJISOZ,X,O,X,O,X,X,X,O,O,X,O,X
TLJIZSO,X,X,X,O,O,X,X,O,O,X,O,X
TLJIZOS,X,X,X,O,X,X,X,O,O,X,X,X
TLJIOSZ,X,O,X,X,X,X,X,O,O,X,O,X
TLJIOZS,X,X,X,O,X,X,X,O,X,X,O,X
TLJSIZO,X,O,O,O,O,X,X,O,O,X,O,X
TLJSIOZ,X,O,X,O,X,X,X,O,O,X,O,X
TLJSZIO,X,O,O,O,O,O,X,O,O,X,O,X
TLJSZOI,X,O,O,O,O,O,X,O,O,X,X,X
TLJSOIZ,X,O,X,O,X,X,X,O,O,X,O,X
TLJSOZI,X,O,X,O,X,X,X,O,O,X,O,X
TLJZISO,X,X,X,O,O,O,X,O,O,X,O,X
TLJZIOS,X,X,X,O,X,O,X,O,O,X,X,X
TLJZSIO,X,O,O,O,O,O,X,O,O,X,O,X
TLJZSOI,X,O,O,O,O,O,X,O,O,X,X,X
TLJZOIS,X,X,O,O,X,O,X,O,O,X,X,X
TLJZOSI,X,O,O,O,O,O,X,O,O,X,X,X
TLJOISZ,X,O,X,O,X,X,X,O,O,X,O,X
TLJOIZS,X,X,X,O,X,X,X,O,X,X,O,X
TLJOSIZ,X,O,X,O,X,X,X,O,O,X,O,X
TLJOSZI,X,O,X,O,X,X,X,O,O,X,O,X
TLJOZIS,X,X,X,O,X,X,X,O,O,X,O,X
TLJOZSI,X,O,X,O,X,X,X,O,O,X,O,X
TLSIJZO,X,O,O,O,O,X,X,O,O,X,O,X
TLSIJOZ,X,O,X,O,X,X,X,O,O,X,O,X
TLSIZJO,O,X,O,O,O,O,X,O,O,X,O,X
TLSIZOJ,O,O,O,O,O,O,X,O,O,X,O,X
TLSIOJZ,X,O,O,O,X,X,X,X,O,O,O,X
TLSIOZJ,O,O,O,O,X,X,X,O,O,O,O,X
TLSJIZO,X,O,O,O,O,X,X,O,O,X,O,X
TLSJIOZ,X,O,X,O,X,X,X,O,O,X,O,X
TLSJZIO,X,O,O,O,O,O,X,O,O,X,O,X
TLSJZOI,X,O,O,O,O,O,X,O,O,X,X,X
TLSJOIZ,X,O,X,O,X,X,X,O,O,X,O,X
TLSJOZI,X,O,X,O,X,X,X,O,O,X,O,X
TLSZIJO,O,X,O,O,O,O,O,O,O,X,O,X
TLSZIOJ,O,O,O,O,O,O,O,O,O,X,O,X
TLSZJIO,O,X,O,O,O,O,O,O,O,X,O,X
TLSZJOI,O,X,O,O,O,O,O,O,O,X,X,X
TLSZOIJ,O,O,O,O,O,O,O,O,O,X,O,X
TLSZOJI,O,O,O,X,O,O,O,X,O,X,O,X
TLSOIJZ,X,O,O,O,X,X,X,X,O,O,O,X
TLSOIZJ,O,O,O,O,X,X,X,O,O,O,O,X
TLSOJIZ,X,O,O,O,X,X,X,O,O,O,O,X
TLSOJZI,X,O,O,O,X,X,X,O,O,O,O,X
TLSOZIJ,O,O,O,O,X,O,O,O,O,O,O,X
TLSOZJI,O,O,O,O,X,O,O,X,O,O,O,X
TLZIJSO,X,X,X,O,O,O,O,O,O,X,O,X
TLZIJOS,X,X,X,O,X,O,O,O,X,X,X,X
TLZISJO,O,X,O,O,O,O,O,O,O,X,O,X
TLZISOJ,O,X,O,O,O,O,O,O,O,X,O,X
TLZIOJS,X,X,O,X,X,O,O,X,X,X,O,X
TLZIOSJ,X,X,O,O,X,O,O,O,O,X,O,X
TLZJISO,X,X,X,O,O,O,O,O,O,X,O,X
TLZJIOS,X,X,X,O,X,O,O,O,O,X,X,X
TLZJSIO,O,X,O,O,O,O,O,O,O,X,O,X
TLZJSOI,O,X,O,O,O,O,O,O,O,X,X,X
TLZJOIS,X,X,O,O,X,O,O,O,O,X,X,X
TLZJOSI,X,X,O,O,O,O,O,O,O,X,X,X
TLZSIJO,O,X,O,O,O,O,O,O,O,X,O,X
TLZSIOJ,O,O,O,O,O,O,O,O,O,X,O,X
TLZSJIO,O,X,O,O,O,O,O,O,O,X,O,X
TLZSJOI,O,X,O,O,O,O,O,O,O,X,X,X
TLZSOIJ,O,O,O,O,O,O,O,O,O,X,O,X
TLZSOJI,O,O,O,X,O,O,O,X,O,X,O,X
TLZOIJS,X,X,O,O,X,O,O,X,O,X,O,X
TLZOISJ,O,X,O,O,X,O,O,O,O,X,O,X
TLZOJIS,X,X,O,O,X,O,O,X,O,X,O,X
TLZOJSI,O,X,O,O,X,O,O,X,O,X,O,X
TLZOSIJ,O,O,O,O,O,O,O,O,O,X,O,X
TLZOSJI,O,O,O,O,O,O,O,X,O,X,O,X
TLOIJSZ,X,O,X,O,X,X,X,O,O,X,O,X
TLOIJZS,X,X,X,O,X,X,X,O,X,X,O,X
TLOISJZ,X,O,O,O,X,X,X,X,O,O,O,X
TLOISZJ,O,O,O,O,X,X,X,O,O,O,O,X
TLOIZJS,X,X,O,O,X,X,X,X,O,O,O,X
TLOIZSJ,O,X,O,O,X,X,X,O,O,O,O,X
TLOJISZ,X,O,X,O,X,X,X,O,O,X,O,X
TLOJIZS,X,X,X,O,X,X,X,O,X,X,O,X
TLOJSIZ,X,O,O,O,X,X,X,O,O,O,O,X
TLOJSZI,X,O,O,O,X,X,X,O,O,O,O,X
TLOJZIS,X,X,O,O,X,X,X,O,O,O,O,X
TLOJZSI,X,O,O,O,X,X,X,O,O,O,O,X
TLOSIJZ,X,O,O,O,X,X,X,X,O,O,O,X
TLOSIZJ,O,O,O,O,X,X,X,O,O,O,O,X
TLOSJIZ,X,O,O,O,X,X,X,O,O,O,O,X
TLOSJZI,X,O,O,O,X,X,X,O,O,O,O,X
TLOSZIJ,O,O,O,O,X,O,O,O,O,O,O,X
TLOSZJI,O,O,O,O,X,O,O,X,O,O,O,X
TLOZIJS,X,X,O,O,X,O,O,X,O,O,O,X
TLOZISJ,O,X,O,O,X,O,O,O,O,O,O,X
TLOZJIS,X,X,O,O,X,O,O,X,O,O,O,X
TLOZJSI,O,X,O,O,X,O,O,X,O,O,O,X
TLOZSIJ,O,O,O,O,X,O,O,O,O,O,O,X
TLOZSJI,O,O,O,O,X,O,O,X,O,O,O,X
TJILSZO,X,O,X,O,O,X,X,O,O,X,O,X
TJILSOZ,X,O,X,O,X,X,X,O,O,X,O,X
TJILZSO,X,X,X,O,O,X,X,O,O,X,O,X
TJILZOS,X,X,X,O,X,X,X,O,O,X,X,X
TJILOSZ,X,O,X,X,X,X,X,O,O,X,O,X
TJILOZS,X,X,X,O,X,X,X,O,X,X,O,X
TJISLZO,X,O,X,O,O,X,X,O,O,X,O,O
TJISLOZ,X,O,X,O,X,X,X,O,O,X,O,O
TJISZLO,X,O,X,O,O,X,X,O,O,X,O,O
TJISZOL,X,X,X,O,O,X,X,O,O,X,X,O
TJISOLZ,X,O,X,O,X,X,X,O,O,X,O,O
TJISOZL,X,X,X,O,O,X,X,O,X,X,O,O
TJIZLSO,X,X,X,O,O,X,X,O,O,X,O,O
TJIZLOS,X,X,X,O,X,X,X,O,O,X,X,O
TJIZSLO,X,X,X,O,O,X,X,O,O,X,O,O
TJIZSOL,X,X,X,O,O,X,X,O,O,X,X,O
TJIZOLS,X,X,X,O,X,X,X,O,O,X,X,O
TJIZOSL,X,X,X,X,X,X,X,X,O,X,X,O
TJIOLSZ,X,O,X,X,X,X,X,O,O,X,O,X
TJIOLZS,X,X,X,O,X,X,X,O,X,X,O,X
TJIOSLZ,X,O,X,X,X,X,X,O,O,X,O,O
TJIOSZL,X,X,X,X,X,X,X,O,X,X,O,O
TJIOZLS,X,X,X,O,X,X,X,O,X,X,O,O
TJIOZSL,X,X,X,X,X,X,X,O,X,X,O,O
TJLISZO,X,O,X,O,O,X,X,O,O,X,O,X
TJLISOZ,X,O,X,O,X,X,X,O,O,X,O,X
TJLIZSO,X,X,X,O,O,X,X,O,O,X,O,X
TJLIZOS,X,X,X,O,X,X,X,O,O,X,X,X
TJLIOSZ,X,O,X,X,X,X,X,O,O,X,O,X
TJLIOZS,X,X,X,O,X,X,X,O,X,X,O,X
TJLSIZO,X,O,O,O,O,X,X,O,O,X,O,X
TJLSIOZ,X,O,X,O,X,X,X,O,O,X,O,X
TJLSZIO,X,O,O,O,O,O,X,O,O,X,O,X
TJLSZOI,X,O,O,O,O,O,X,O,O,X,X,X
TJLSOIZ,X,O,X,O,X,X,X,O,O,X,O,X
TJLSOZI,X,O,X,O,X,X,X,O,O,X,O,X
TJLZISO,X,X,X,O,O,O,X,O,O,X,O,X
TJLZIOS,X,X,X,O,X,O,X,O,O,X,X,X
TJLZSIO,X,O,O,O,O,O,X,O,O,X,O,X
TJLZSOI,X,O,O,O,O,O,X,O,O,X,X,X
TJLZOIS,X,X,O,O,X,O,X,O,O,X,X,X
TJLZOSI,X,O,O,O,O,O,X,O,O,X,X,X
TJLOISZ,X,O,X,O,X,X,X,O,O,X,O,X
TJLOIZS,X,X,X,O,X,X,X,O,X,X,O,X
TJLOSIZ,X,O,X,O,X,X,X,O,O,X,O,X
TJLOSZI,X,O,X,O,X,X,X,O,O,X,O,X
TJLOZIS,X,X,X,O,X,X,X,O,O,X,O,X
TJLOZSI,X,O,X,O,X,X,X,O,O,X,O,X
TJSILZO,X,O,O,O,O,X,X,O,O,X,O,O
TJSILOZ,X,O,X,O,X,X,X,O,O,X,O,O
TJSIZLO,X,O,O,O,O,X,X,O,O,X,O,O
TJSIZOL,X,X,X,O,O,X,X,O,O,X,X,O
TJSIOLZ,X,O,X,O,X,X,X,O,O,X,O,O
TJSIOZL,X,X,X,O,O,X,X,O,X,X,O,O
TJSLIZO,X,O,O,O,O,X,X,O,O,X,O,O
TJSLIOZ,X,O,X,O,X,X,X,O,O,X,O,O
TJSLZIO,X,O,O,O,O,O,X,O,O,X,O,O
TJSLZOI,X,O,O,O,O,O,X,O,O,X,X,O
TJSLOIZ,X,O,X,O,X,X,X,O,O,X,O,O
TJSLOZI,X,O,X,O,X,X,X,O,O,X,O,O
TJSZILO,X,O,O,O,O,O,O,O,O,X,X,O
TJSZIOL,X,X,X,O,O,O,O,O,O,X,X,O
TJSZLIO,X,O,O,O,O,O,O,O,O,X,O,O
TJSZLOI,X,O,O,O,O,O,O,O,O,X,X,O
TJSZOIL,X,X,O,O,O,O,O,O,O,X,X,O
TJSZOLI,X,X,O,O,O,O,O,O,O,X,X,O
TJSOILZ,X,O,X,O,X,X,X,O,O,X,O,O
TJSOIZL,X,X,X,O,O,X,X,O,X,X,O,O
TJSOLIZ,X,O,X,O,X,X,X,O,O,X,O,O
TJSOLZI,X,O,X,O,X,X,X,O,O,X,O,O
TJSOZIL,X,X,X,O,O,X,O,O,O,X,X,O
TJSOZLI,X,X,X,O,O,X,O,O,O,X,O,O
TJZILSO,X,X,X,O,O,O,O,O,O,X,O,O
TJZILOS,X,X,X,O,X,O,O,O,O,X,X,O
TJZISLO,X,X,X,O,O,O,O,O,O,X,O,O
TJZISOL,X,X,X,O,O,O,O,O,O,X,X,O
TJZIOLS,X,X,X,O,X,O,O,O,O,X,X,O
TJZIOSL,X,X,X,X,X,O,O,X,O,X,X,O
TJZLISO,X,X,X,O,O,O,O,O,O,X,O,O
TJZLIOS,X,X,X,O,X,O,O,O,O,X,X,O
TJZLSIO,X,X,O,O,O,O,O,O,O,X,O,O
TJZLSOI,X,X,O,O,O,O,O,O,O,X,X,O
TJZLOIS,X,X,O,O,X,O,O,O,O,X,X,O
TJZLOSI,X,X,O,O,O,O,O,O,O,X,X,O
TJZSILO,X,X,O,O,O,O,O,O,O,X,X,O
TJZSIOL,X,X,X,O,O,O,O,O,O,X,X,O
TJZSLIO,X,X,O,O,O,O,O,O,O,X,O,O
TJZSLOI,X,X,O,O,O,O,O,O,O,X,X,O
TJZSOIL,X,X,O,O,O,O,O,O,O,X,X,O
TJZSOLI,X,X,O,O,O,O,O,O,O,X,X,O
TJZOILS,X,X,O,O,X,O,O,O,O,X,X,O
TJZOISL,X,X,O,X,X,O,O,X,O,X,X,O
TJZOLIS,X,X,O,O,X,O,O,O,O,X,X,O
TJZOLSI,X,X,O,O,O,O,O,O,O,X,X,O
TJZOSIL,X,X,O,O,O,O,O,O,O,X,X,O
TJZOSLI,X,X,O,O,O,O,O,O,O,X,X,O
TJOILSZ,X,O,X,O,X,X,X,O,O,X,O,X
TJOILZS,X,X,X,O,X,X,X,O,X,X,O,X
TJOISLZ,X,O,X,O,X,X,X,O,O,X,O,O
TJOISZL,X,X,X,O,X,X,X,O,X,X,O,O
TJOIZLS,X,X,X,O,X,X,X,O,X,X,O,O
TJOIZSL,X,X,X,X,X,X,X,O,X,X,O,O
TJOLISZ,X,O,X,O,X,X,X,O,O,X,O,X
TJOLIZS,X,X,X,O,X,X,X,O,X,X,O,X
TJOLSIZ,X,O,X,O,X,X,X,O,O,X,O,X
TJOLSZI,X,O,X,O,X,X,X,O,O,X,O,X
TJOLZIS,X,X,X,O,X,X,X,O,O,X,O,X
TJOLZSI,X,O,X,O,X,X,X,O,O,X,O,X
TJOSILZ,X,O,X,O,X,X,X,O,O,X,O,O
TJOSIZL,X,X,X,O,X,X,X,O,X,X,O,O
TJOSLIZ,X,O,X,O,X,X,X,O,O,X,O,O
TJOSLZI,X,O,X,O,X,X,X,O,O,X,O,O
TJOSZIL,X,X,X,O,X,X,O,O,O,X,X,O
TJOSZLI,X,X,X,O,X,X,O,O,O,X,O,O
TJOZILS,X,X,X,O,X,X,O,O,O,X,O,O
TJOZISL,X,X,X,X,X,X,O,O,O,X,O,O
TJOZLIS,X,X,X,O,X,X,O,O,O,X,O,O
TJOZLSI,X,X,X,O,X,X,O,O,O,X,O,O
TJOZSIL,X,X,X,O,X,X,O,O,O,X,X,O
TJOZSLI,X,X,X,O,X,X,O,O,O,X,O,O
TSILJZO,X,O,O,O,O,X,X,O,O,X,O,X
TSILJOZ,X,O,X,O,X,X,X,O,O,X,O,O
TSILZJO,O,X,O,O,O,O,X,O,O,X,O,X
TSILZOJ,O,O,O,O,O,O,X,O,O,X,O,O
TSILOJZ,X,O,O,O,X,X,X,X,O,O,O,O
TSILOZJ,O,O,O,O,X,X,X,O,O,O,O,O
TSIJLZO,X,O,O,O,O,X,X,O,O,X,O,O
TSIJLOZ,X,O,X,O,X,X,X,O,O,X,O,O
TSIJZLO,O,O,O,O,O,X,X,O,O,X,O,O
TSIJZOL,X,X,X,O,O,X,X,O,O,X,X,O
TSIJOLZ,X,O,X,O,X,X,X,O,O,X,O,O
TSIJOZL,X,X,X,O,O,X,X,O,X,X,O,O
TSIZLJO,O,X,O,O,O,O,O,O,O,X,O,X
TSIZLOJ,O,O,O,O,O,O,O,O,O,X,O,O
TSIZJLO,O,X,O,O,O,O,O,O,O,X,O,X
TSIZJOL,X,X,X,X,X,O,O,X,X,X,X,X
TSIZOLJ,O,X,O,O,O,O,O,O,O,X,O,O
TSIZOJL,X,X,O,X,X,O,O,X,X,X,O,X
TSIOLJZ,X,O,X,O,X,X,X,X,O,X,O,O
TSIOLZJ,O,O,O,O,X,X,X,O,O,X,O,O
TSIOJLZ,X,O,X,O,X,X,X,X,O,X,O,O
TSIOJZL,O,X,X,O,X,X,X,X,X,X,O,O
TSIOZLJ,O,X,O,O,O,X,O,O,O,X,O,O
TSIOZJL,O,X,X,O,X,X,O,X,O,X,O,X
TSLIJZO,X,O,O,O,O,X,X,O,O,X,O,X
TSLIJOZ,X,O,X,O,X,X,X,O,O,X,O,O
TSLIZJO,O,X,O,O,O,O,X,O,O,X,O,X
TSLIZOJ,O,O,O,O,O,O,X,O,O,X,O,O
TSLIOJZ,X,O,O,O,X,X,X,X,O,O,O,O
TSLIOZJ,O,O,O,O,X,X,X,O,O,O,O,O
TSLJIZO,X,O,O,O,O,X,X,O,O,X,O,X
TSLJIOZ,X,O,X,O,X,X,X,O,O,X,O,O
TSLJZIO,X,O,O,O,O,O,X,O,O,X,O,X
TSLJZOI,X,O,O,O,O,O,X,O,O,X,X,X
TSLJOIZ,X,O,X,O,X,X,X,O,O,X,O,O
