sequence,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?3gBTjB8qB+rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjB6rBzqB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBzdB?+jBxlBXmBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjBCrBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBCeB?TjBxlBGrBXrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBzdB?+jBxlB0lBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBCeB?TjBxlBGrB0qB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBfjB?6jBxlBTmBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBGeB?UjBxlB6qBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?/mBTjB0lBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhFxdB9lB?XiBTjBmlBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFCeB9lB?TjB3mBerB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFzdB+jB?9lBihBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFWjB9lB?ihBTjBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je9FJvhF0hBxiB?mgBTjBXrBCsB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhF9jB5lB?XiBigBmiBTrB
JLISTOZ,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
JLISZTO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JLISZOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JLISOTZ,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
JLISOZT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JLIZTSO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JLIZTOS,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JLIZSTO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JLIZSOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JLIZOTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JLIZOST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLIOTSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JLIOTZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JLIOSTZ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JLIOSZT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLIOZTS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JLIOZST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSTIZO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
JLSTIOZ,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
JLSTZIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JLSTZOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
JLSTOIZ,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X,X
JLSTOZI,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X,X
JLSITZO,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JLSITOZ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JLSIZTO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JLSIZOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSIOTZ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JLSIOZT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSZTIO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLSZTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLSZITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLSZIOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSZOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLSZOIT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSOTIZ,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X
JLSOTZI,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X
JLSOITZ,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X
JLSOIZT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSOZTI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSOZIT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JLZTISO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JLZTIOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JLZTSIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JLZTSOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JLZTOIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JLZTOSI,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JLZITSO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JLZITOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JLZISTO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JLZISOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JLZIOTS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JLZIOST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JLZSTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLZSITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLZSIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLZSOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLZSOIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLZOTIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JLZOTSI,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JLZOITS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JLZOIST,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZOSTI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZOSIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOTISZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JLOTIZS,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOTSIZ,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X
JLOTSZI,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X
JLOTZIS,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOTZSI,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOITSZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JLOITZS,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOISTZ,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JLOISZT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOIZTS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JLOIZST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOSTIZ,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X
JLOSTZI,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X
JLOSITZ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X
JLOSIZT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOSZTI,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOSZIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOZTIS,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOZTSI,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOZITS,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOZIST,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOZSTI,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOZSIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTILZO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
JSTILOZ,O,X,O,X,X,O,O,O,X,X,X,X,O,O,X,X
JSTIZLO,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O
JSTIZOL,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O
JSTIOLZ,O,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X
JSTIOZL,X,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X
JSTLIZO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
JSTLIOZ,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
JSTLZIO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JSTLZOI,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
JSTLOIZ,X,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X
JSTLOZI,X,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X
JSTZILO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O
JSTZIOL,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O
JSTZLIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JSTZLOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
JSTZOIL,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X
JSTZOLI,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,X
JSTOILZ,O,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X
JSTOIZL,X,X,O,X,O,O,O,O,X,X,O,O,X,X,X,O
JSTOLIZ,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
JSTOLZI,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
JSTOZIL,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O
JSTOZLI,O,X,O,X,O,O,O,O,X,X,O,O,O,X,X,X
JSITLZO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
JSITLOZ,O,X,O,X,X,O,O,O,X,X,X,X,O,O,X,X
JSITZLO,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O
JSITZOL,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O
JSITOLZ,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
JSITOZL,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
JSILTZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSILTOZ,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSILZTO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSILZOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSILOTZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSILOZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSIZTLO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JSIZTOL,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
JSIZLTO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSIZLOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSIZOTL,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSIZOLT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSIOTLZ,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
JSIOTZL,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSIOLZT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSIOZTL,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSIOZLT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLTIZO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
JSLTIOZ,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
JSLTZIO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JSLTZOI,O,X,O,X,X,O,X,O,X,X,O,X,O,O,X,X
JSLTOIZ,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X,X
JSLTOZI,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X,X
JSLITZO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSLITOZ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSLIZTO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSLIZOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLIOTZ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSLIOZT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLZTIO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLZTOI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLZITO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLZIOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLZOTI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLZOIT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLOTIZ,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X
JSLOTZI,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X
JSLOITZ,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X
JSLOIZT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLOZTI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLOZIT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZTILO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O
JSZTIOL,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O
JSZTLIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JSZTLOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
JSZTOIL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JSZITLO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O
JSZITOL,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JSZILTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZILOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZIOTL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZIOLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZLTIO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZLTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZLITO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZLIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZLOTI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZLOIT,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZOTIL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JSZOITL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZOILT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZOLTI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSZOLIT,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSOTILZ,O,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X
JSOTIZL,X,X,O,X,O,O,O,O,X,X,O,O,X,X,X,O
JSOTLIZ,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
JSOTLZI,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
JSOTZIL,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O
JSOTZLI,O,X,O,X,O,O,O,O,X,X,O,O,O,X,X,X
JSOITLZ,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
JSOITZL,X,X,O,X,O,O,O,O,X,X,O,X,X,X,X,O
JSOILTZ,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
JSOILZT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSOIZTL,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O
JSOIZLT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSOLTIZ,O,X,O,X,O,O,O,O,X,X,O,O,O,X,X,X
JSOLTZI,O,X,O,X,O,O,O,O,X,X,O,O,O,X,X,X
JSOLITZ,X,X,O,X,O,O,O,O,X,X,O,X,X,X,X,X
JSOLIZT,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSOLZTI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSOLZIT,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSOZTIL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOZTLI,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
JSOZITL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JSOZILT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOZLTI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSOZLIT,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTILSO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JZTILOS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JZTISLO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JZTISOL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
JZTIOLS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JZTIOSL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
JZTLISO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZTLIOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZTLSIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
JZTLSOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZTLOIS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JZTLOSI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JZTSILO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
JZTSIOL,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
JZTSLIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
JZTSLOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
JZTSOIL,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
JZTSOLI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JZTOILS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JZTOISL,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JZTOLIS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JZTOLSI,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
JZTOSIL,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
JZTOSLI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JZITLSO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JZITLOS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JZITSLO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JZITSOL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
JZITOLS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JZITOSL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
JZILTSO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JZILTOS,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JZILSTO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZILSOT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZILOTS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILOST,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
JZISTOL,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JZISLTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISLOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISOTL,O,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X
JZISOLT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZIOTLS,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
JZIOTSL,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X
JZIOLTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JZIOLST,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
JZIOSLT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLTISO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZLTIOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZLTSIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
JZLTSOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLTOIS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JZLTOSI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JZLITSO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JZLITOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZLISTO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLISOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLIOTS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLIOST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JZLSTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLSITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLSIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLSOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLSOIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLOTIS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JZLOTSI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JZLOITS,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JZLOIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOSTI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
JZSTIOL,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
JZSTLIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
JZSTLOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
JZSTOIL,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
JZSTOLI,O,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X
JZSITLO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
JZSITOL,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
JZSILTO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSILOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSIOTL,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZSIOLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSLTIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JZSLTOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSLITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSLIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSLOTI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSLOIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSOTIL,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
JZSOTLI,O,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X
JZSOITL,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X
JZSOILT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSOLTI,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
JZSOLIT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOTILS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JZOTISL,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JZOTLIS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JZOTLSI,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
JZOTSIL,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
JZOTSLI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
JZOITLS,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
JZOITSL,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X
JZOILTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JZOILST,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,O,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
JZOISLT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOLTIS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JZOLTSI,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
JZOLITS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JZOLIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOLSTI,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JZOLSIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
JZOSTLI,O,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X
JZOSITL,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X
JZOSILT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOSLTI,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
