sequence,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?3gBTjB8qB+rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjB6rBzqB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBzdB?+jBxlBXmBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjBCrBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBCeB?TjBxlBGrBXrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBzdB?+jBxlB0lBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBCeB?TjBxlBGrB0qB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBfjB?6jBxlBTmBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBGeB?UjBxlB6qBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?/mBTjB0lBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhFxdB9lB?XiBTjBmlBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFCeB9lB?TjB3mBerB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFzdB+jB?9lBihBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFWjB9lB?ihBTjBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je9FJvhF0hBxiB?mgBTjBXrBCsB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhF9jB5lB?XiBigBmiBTrB
TIOLSZJ,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,O
TIOLZJS,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TIOJLSZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOJLZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,O
TIOJZLS,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TIOJZSL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
TIOSLZJ,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O
TIOSJLZ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TIOSJZL,X,O,X,X,O,O,O,X,O,X,O,O,X,X,X,O
TIOSZLJ,X,O,X,X,O,X,O,O,O,X,O,X,X,X,O,O
TIOSZJL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O
TIOZLJS,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TIOZJLS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TIOZJSL,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O
TIOZSJL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
TLIJSZO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLISJOZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLISZJO,X,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O
TLISZOJ,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O
TLISOJZ,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X
TLISOZJ,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
TLIZJSO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLIZJOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLIZSJO,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TLIZSOJ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLIZOJS,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TLIOJZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O
TLIOZJS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLJISZO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJISOZ,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJIZSO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJIZOS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
